,PR.AXIS_RECTANGULARITY_num,RADIUS_RATIO_num,SKEWNESS_ABOUT_MAJOR_num,Class_cat,MAX.LENGTH_RECTANGULARITY_num,PR.AXIS_ASPECT_RATIO_num,DISTANCE_CIRCULARITY_num,COMPACTNESS_num,SCALED_VARIANCE_MINOR_num,SCATTER_RATIO_num
72,21.0,191.0,67.0,opel,137.0,62.0,91.0,92.0,466.0,176.0
73,18.0,111.0,82.0,opel,128.0,54.0,53.0,73.0,227.0,126.0
74,19.0,147.0,72.0,van,145.0,61.0,89.0,89.0,338.0,151.0
75,22.0,203.0,68.0,opel,162.0,63.0,103.0,101.0,571.0,195.0
76,21.0,170.0,72.0,saab,134.0,60.0,83.0,91.0,445.0,172.0
77,19.0,140.0,82.0,saab,133.0,62.0,62.0,86.0,330.0,150.0
78,24.0,208.0,76.0,bus,161.0,66.0,94.0,104.0,666.0,208.0
79,19.0,113.0,88.0,bus,147.0,50.0,68.0,89.0,328.0,150.0
80,19.0,159.0,73.0,bus,146.0,66.0,71.0,87.0,343.0,151.0
81,24.0,203.0,78.0,bus,159.0,65.0,92.0,99.0,671.0,209.0
82,18.0,127.0,66.0,van,132.0,54.0,68.0,94.0,242.0,127.0
83,19.0,133.0,76.0,opel,135.0,55.0,80.0,79.0,311.0,147.0
84,19.0,188.0,72.0,bus,136.0,76.0,76.0,89.0,342.0,150.0
85,28.0,180.0,83.0,bus,171.0,51.0,106.0,110.0,998.0,261.0
86,19.0,141.0,72.0,van,145.0,58.0,84.0,89.0,330.0,149.0
87,17.0,115.0,72.0,van,132.0,54.0,60.0,86.0,209.0,119.0
88,20.0,209.0,69.0,bus,138.0,75.0,84.0,91.0,446.0,171.0
89,18.0,116.0,81.0,opel,125.0,55.0,57.0,80.0,229.0,125.0
90,24.0,222.0,71.0,saab,173.0,68.0,107.0,104.0,703.0,218.0
91,20.0,158.0,69.0,opel,130.0,55.0,84.0,94.0,430.0,169.0
92,23.0,191.0,70.0,saab,158.0,59.0,100.0,104.0,583.0,197.0
93,20.0,162.0,75.0,van,161.0,64.0,87.0,94.0,363.0,157.0
94,19.0,154.0,73.0,bus,144.0,65.0,66.0,84.0,312.0,145.0
95,24.0,211.0,72.0,opel,156.0,65.0,108.0,97.0,683.0,214.0
96,19.0,151.0,74.0,saab,139.0,62.0,80.0,89.0,308.0,144.0
97,19.0,152.0,75.0,bus,142.0,62.0,68.0,86.0,337.0,150.0
98,23.0,219.0,69.0,opel,148.0,68.0,105.0,95.0,602.0,201.0
99,19.0,124.0,87.0,bus,144.0,56.0,65.0,87.0,321.0,149.0
100,19.0,252.0,119.0,bus,144.0,126.0,66.0,82.0,326.0,148.0
101,19.0,174.0,65.0,van,144.0,66.0,85.0,95.0,347.0,153.0
102,18.0,150.0,69.0,van,143.0,64.0,68.0,94.0,246.0,128.0
103,17.0,130.0,72.0,van,132.0,62.0,60.0,92.0,194.0,114.0
104,22.0,198.0,79.0,bus,146.0,65.0,83.0,102.0,576.0,194.0
105,25.0,202.0,73.0,saab,168.0,64.0,103.0,108.0,711.0,220.0
106,23.0,209.0,65.0,opel,152.0,64.0,105.0,99.0,575.0,197.0
107,19.0,151.0,73.0,opel,134.0,59.0,77.0,85.0,331.0,150.0
108,19.0,135.0,80.0,bus,145.0,59.0,68.0,80.0,329.0,150.0
109,22.0,199.0,74.0,bus,153.0,68.0,79.0,99.0,524.0,185.0
110,19.0,159.0,70.0,van,141.0,65.0,77.0,89.0,314.0,144.0
111,19.0,162.0,74.0,van,153.0,64.0,83.0,94.0,357.0,156.0
112,19.0,144.0,80.0,opel,132.0,59.0,75.0,77.0,315.0,147.0
113,17.0,121.0,74.0,opel,122.0,58.0,50.0,88.0,192.0,114.0
114,19.0,133.0,75.0,van,153.0,54.0,85.0,93.0,351.0,155.0
115,20.0,162.0,71.0,van,157.0,64.0,88.0,95.0,371.0,159.0
116,23.0,209.0,72.0,opel,147.0,65.0,100.0,100.0,611.0,201.0
117,25.0,221.0,72.0,saab,169.0,69.0,109.0,109.0,712.0,221.0
118,19.0,128.0,82.0,bus,144.0,56.0,64.0,85.0,324.0,150.0
119,21.0,180.0,70.0,bus,158.0,65.0,79.0,93.0,463.0,173.0
120,18.0,119.0,79.0,saab,127.0,53.0,54.0,89.0,266.0,134.0
121,20.0,142.0,76.0,van,160.0,59.0,78.0,90.0,370.0,160.0
122,19.0,163.0,64.0,van,140.0,63.0,82.0,92.0,319.0,146.0
123,17.0,130.0,68.0,saab,127.0,57.0,57.0,90.0,216.0,121.0
124,19.0,150.0,72.0,van,147.0,63.0,71.0,85.0,307.0,143.0
125,20.0,143.0,74.0,van,156.0,62.0,80.0,90.0,366.0,159.0
126,19.0,148.0,76.0,bus,143.0,62.0,70.0,89.0,323.0,147.0
127,19.0,155.0,75.0,bus,139.0,65.0,66.0,85.0,330.0,149.0
128,20.0,173.0,67.0,van,157.0,67.0,88.0,97.0,365.0,157.0
129,23.0,209.0,73.0,bus,150.0,68.0,95.0,100.0,605.0,199.0
130,23.0,184.0,73.0,saab,147.0,60.0,104.0,100.0,578.0,197.0
131,19.0,165.0,66.0,saab,128.0,60.0,77.0,86.0,331.0,150.0
132,22.0,186.0,67.0,saab,138.0,59.0,101.0,97.0,511.0,186.0
133,18.0,121.0,75.0,van,142.0,49.0,68.0,98.0,261.0,134.0
134,24.0,163.0,76.0,opel,173.0,53.0,100.0,102.0,669.0,213.0
135,20.0,322.0,97.0,van,163.0,133.0,83.0,89.0,364.0,158.0
136,20.0,136.0,75.0,van,163.0,58.0,75.0,86.0,371.0,161.0
137,18.0,150.0,67.0,van,142.0,64.0,64.0,87.0,264.0,133.0
138,18.0,130.0,74.0,saab,130.0,58.0,63.0,88.0,230.0,125.0
139,19.0,162.0,70.0,van,145.0,66.0,80.0,91.0,331.0,148.0
140,20.0,171.0,60.0,saab,132.0,58.0,80.0,90.0,373.0,157.0
141,19.0,125.0,86.0,bus,145.0,55.0,63.0,81.0,320.0,149.0
142,24.0,194.0,67.0,opel,161.0,57.0,107.0,106.0,670.0,214.0
143,19.0,120.0,85.0,bus,145.0,54.0,68.0,80.0,329.0,150.0
144,20.0,186.0,65.0,opel,145.0,62.0,80.0,95.0,406.0,164.0
145,25.0,218.0,67.0,opel,174.0,64.0,107.0,103.0,728.0,222.0
146,20.0,164.0,71.0,van,163.0,64.0,85.0,100.0,387.0,163.0
147,19.0,171.0,68.0,bus,135.0,67.0,76.0,91.0,332.0,149.0
148,19.0,172.0,61.0,saab,144.0,59.0,72.0,90.0,360.0,154.0
149,18.0,165.0,67.0,van,136.0,69.0,64.0,93.0,279.0,136.0
150,22.0,211.0,65.0,saab,156.0,65.0,96.0,104.0,527.0,187.0
151,22.0,216.0,73.0,bus,145.0,74.0,84.0,94.0,525.0,184.0
152,19.0,172.0,62.0,opel,124.0,62.0,72.0,93.0,334.0,149.0
153,24.0,211.0,68.0,saab,158.0,64.0,106.0,106.0,645.0,208.0
154,19.0,154.0,71.0,van,139.0,64.0,79.0,89.0,311.0,144.0
155,27.0,223.0,85.0,bus,169.0,64.0,103.0,110.0,928.0,250.0
156,19.0,149.0,64.0,opel,128.0,55.0,78.0,85.0,321.0,147.0
157,18.0,131.0,74.0,van,145.0,56.0,70.0,93.0,240.0,127.0
158,19.0,152.0,70.0,saab,136.0,58.0,74.0,87.0,337.0,151.0
159,19.0,154.0,66.0,opel,146.0,57.0,75.0,91.0,335.0,150.0
160,18.0,125.0,87.0,opel,128.0,59.0,53.0,82.0,259.0,133.0
161,23.0,218.0,65.0,opel,164.0,64.0,101.0,107.0,610.0,202.0
162,20.0,191.0,62.0,saab,138.0,64.0,81.0,98.0,415.0,166.0
163,18.0,139.0,68.0,saab,135.0,59.0,72.0,85.0,260.0,132.0
164,24.0,186.0,73.0,opel,172.0,59.0,104.0,98.0,665.0,213.0
165,25.0,179.0,72.0,opel,170.0,57.0,91.0,103.0,707.0,220.0
166,19.0,165.0,60.0,saab,128.0,57.0,78.0,92.0,349.0,153.0
167,24.0,191.0,68.0,saab,162.0,57.0,104.0,110.0,674.0,213.0
168,19.0,139.0,80.0,bus,143.0,64.0,68.0,82.0,320.0,147.0
169,18.0,125.0,74.0,van,139.0,52.0,70.0,98.0,243.0,130.0
170,24.0,197.0,67.0,opel,160.0,60.0,103.0,108.0,661.0,211.0
171,27.0,161.0,85.0,bus,166.0,47.0,103.0,106.0,892.0,247.0
172,19.0,166.0,66.0,van,147.0,67.0,81.0,94.0,313.0,145.0
173,24.0,187.0,77.0,bus,152.0,59.0,98.0,96.0,680.0,213.0
174,20.0,150.0,73.0,van,165.0,63.0,84.0,93.0,354.0,156.0
175,20.0,186.0,73.0,bus,134.0,73.0,78.0,88.0,379.0,158.0
176,21.0,180.0,71.0,opel,131.0,60.0,90.0,84.0,469.0,177.0
177,19.0,160.0,69.0,bus,147.0,66.0,72.0,89.0,312.0,144.0
178,19.0,174.0,68.0,bus,131.0,68.0,73.0,93.0,347.0,151.0
179,18.0,137.0,78.0,van,146.0,58.0,70.0,89.0,273.0,136.0
180,24.0,221.0,71.0,saab,164.0,68.0,106.0,102.0,638.0,207.0
181,17.0,116.0,78.0,opel,124.0,56.0,60.0,78.0,221.0,123.0
182,19.0,169.0,67.0,bus,140.0,66.0,66.0,91.0,325.0,145.0
183,17.0,122.0,76.0,saab,123.0,57.0,53.0,84.0,196.0,116.0
184,23.0,209.0,70.0,saab,149.0,66.0,106.0,103.0,612.0,203.0
185,21.0,205.0,72.0,bus,138.0,71.0,75.0,100.0,479.0,176.0
186,20.0,193.0,68.0,bus,137.0,69.0,81.0,91.0,434.0,169.0
187,20.0,166.0,69.0,opel,148.0,60.0,76.0,98.0,371.0,157.0
188,24.0,212.0,73.0,opel,162.0,68.0,105.0,101.0,653.0,209.0
189,19.0,179.0,66.0,opel,126.0,64.0,78.0,90.0,367.0,157.0
190,21.0,198.0,64.0,opel,155.0,63.0,94.0,97.0,494.0,181.0
191,19.0,162.0,70.0,van,139.0,68.0,81.0,87.0,317.0,146.0
192,19.0,149.0,69.0,saab,143.0,57.0,76.0,93.0,335.0,149.0
193,26.0,199.0,80.0,bus,168.0,59.0,98.0,107.0,866.0,240.0
194,20.0,167.0,68.0,saab,131.0,60.0,86.0,92.0,373.0,158.0
195,19.0,130.0,81.0,bus,142.0,56.0,66.0,86.0,340.0,152.0
196,25.0,231.0,71.0,saab,172.0,71.0,104.0,107.0,705.0,219.0
197,19.0,150.0,80.0,bus,144.0,64.0,72.0,82.0,350.0,154.0
198,19.0,130.0,81.0,bus,149.0,56.0,71.0,81.0,342.0,153.0
199,19.0,136.0,81.0,bus,143.0,61.0,72.0,82.0,317.0,147.0
200,20.0,163.0,74.0,van,158.0,66.0,85.0,93.0,355.0,156.0
201,19.0,171.0,61.0,saab,128.0,60.0,74.0,90.0,367.0,157.0
202,25.0,171.0,69.0,opel,172.0,50.0,103.0,111.0,727.0,221.0
203,24.0,194.0,73.0,opel,175.0,62.0,100.0,103.0,666.0,212.0
204,17.0,137.0,63.0,van,140.0,58.0,58.0,89.0,225.0,122.0
205,19.0,149.0,72.0,van,152.0,62.0,81.0,87.0,325.0,147.0
206,20.0,176.0,67.0,opel,149.0,64.0,79.0,92.0,396.0,162.0
207,19.0,121.0,85.0,bus,146.0,55.0,64.0,85.0,323.0,149.0
208,19.0,149.0,77.0,bus,146.0,65.0,70.0,86.0,331.0,149.0
209,24.0,168.0,74.0,opel,175.0,55.0,100.0,101.0,681.0,214.0
210,21.0,194.0,63.0,opel,135.0,62.0,89.0,94.0,444.0,172.0
211,18.0,150.0,71.0,van,134.0,63.0,69.0,86.0,284.0,138.0
212,19.0,169.0,71.0,bus,138.0,68.0,71.0,90.0,336.0,150.0
213,24.0,168.0,78.0,bus,153.0,54.0,89.0,104.0,682.0,212.0
214,18.0,141.0,72.0,opel,126.0,56.0,72.0,89.0,286.0,138.0
215,20.0,169.0,74.0,opel,131.0,62.0,86.0,90.0,388.0,162.0
216,19.0,150.0,77.0,saab,143.0,59.0,77.0,84.0,344.0,152.0
217,25.0,216.0,73.0,opel,176.0,69.0,103.0,104.0,708.0,219.0
218,19.0,144.0,74.0,bus,143.0,61.0,68.0,83.0,325.0,147.0
219,17.0,126.0,64.0,van,135.0,56.0,57.0,85.0,195.0,114.0
220,25.0,206.0,71.0,opel,180.0,62.0,101.0,99.0,722.0,222.0
221,20.0,139.0,76.0,van,155.0,56.0,85.0,88.0,363.0,157.0
222,22.0,197.0,74.0,bus,158.0,67.0,81.0,100.0,531.0,186.0
223,19.0,139.0,81.0,bus,146.0,60.0,72.0,81.0,347.0,153.0
224,18.0,133.0,74.0,saab,136.0,56.0,66.0,86.0,274.0,136.0
225,19.0,159.0,67.0,van,150.0,63.0,79.0,93.0,309.0,144.0
226,24.0,210.0,71.0,saab,169.0,66.0,98.0,107.0,704.0,218.0
227,18.0,147.0,66.0,van,127.0,62.0,66.0,94.0,258.0,131.0
228,24.0,215.0,69.0,saab,166.0,68.0,106.0,105.0,640.0,208.0
229,19.0,148.0,80.0,saab,138.0,61.0,64.0,86.0,333.0,150.0
230,17.0,110.0,89.0,van,122.0,55.0,47.0,85.0,203.0,117.0
231,17.0,115.0,86.0,saab,119.0,57.0,40.0,85.0,184.0,112.0
232,19.0,120.0,86.0,bus,147.0,53.0,68.0,81.0,333.0,151.0
233,24.0,189.0,70.0,saab,163.0,59.0,104.0,100.0,642.0,208.0
234,18.0,158.0,71.0,van,142.0,68.0,64.0,93.0,268.0,134.0
235,20.0,134.0,76.0,van,167.0,56.0,78.0,90.0,366.0,160.0
236,20.0,199.0,72.0,bus,128.0,74.0,74.0,96.0,419.0,165.0
237,19.0,128.0,81.0,bus,145.0,56.0,65.0,85.0,332.0,151.0
238,25.0,189.0,71.0,opel,177.0,57.0,101.0,100.0,731.0,222.0
239,19.0,141.0,77.0,bus,149.0,61.0,74.0,79.0,349.0,153.0
240,19.0,172.0,63.0,opel,125.0,62.0,77.0,89.0,367.0,157.0
241,20.0,164.0,65.0,opel,146.0,59.0,73.0,93.0,379.0,159.0
242,19.0,132.0,83.0,bus,144.0,58.0,59.0,85.0,320.0,149.0
243,24.0,228.0,71.0,saab,168.0,69.0,108.0,101.0,684.0,215.0
244,20.0,121.0,77.0,van,165.0,53.0,75.0,85.0,358.0,157.0
245,18.0,124.0,77.0,van,141.0,51.0,75.0,93.0,284.0,140.0
246,19.0,191.0,71.0,bus,126.0,73.0,73.0,95.0,374.0,156.0
247,20.0,176.0,67.0,saab,132.0,59.0,83.0,91.0,426.0,169.0
248,24.0,211.0,72.0,opel,165.0,65.0,103.0,103.0,673.0,212.0
249,17.0,127.0,70.0,saab,121.0,58.0,53.0,85.0,197.0,116.0
250,18.0,126.0,78.0,van,140.0,52.0,66.0,95.0,253.0,133.0
251,25.0,230.0,71.0,opel,176.0,69.0,103.0,104.0,716.0,219.0
252,20.0,140.0,74.0,van,157.0,58.0,80.0,84.0,349.0,156.0
253,18.0,170.0,65.0,bus,142.0,67.0,68.0,94.0,310.0,142.0
254,19.0,161.0,76.0,van,157.0,65.0,85.0,93.0,354.0,155.0
255,24.0,186.0,71.0,saab,159.0,56.0,110.0,112.0,676.0,214.0
256,19.0,157.0,65.0,saab,126.0,56.0,77.0,91.0,361.0,155.0
257,19.0,158.0,63.0,opel,143.0,56.0,69.0,92.0,333.0,149.0
258,23.0,196.0,73.0,saab,152.0,63.0,104.0,99.0,604.0,201.0
259,25.0,208.0,71.0,opel,182.0,65.0,101.0,98.0,748.0,226.0
260,18.0,118.0,81.0,saab,127.0,55.0,54.0,83.0,245.0,129.0
261,21.0,189.0,69.0,saab,132.0,63.0,88.0,91.0,457.0,175.0
262,17.0,131.0,65.0,van,137.0,56.0,60.0,89.0,209.0,118.0
263,17.0,138.0,64.0,van,128.0,58.0,70.0,89.0,237.0,126.0
264,22.0,194.0,62.0,saab,160.0,60.0,100.0,103.0,518.0,185.0
265,19.0,128.0,79.0,bus,147.0,56.0,71.0,80.0,337.0,151.0
266,19.0,116.0,85.0,bus,141.0,53.0,65.0,86.0,335.0,152.0
267,20.0,187.0,63.0,saab,154.0,61.0,81.0,100.0,415.0,166.0
268,17.0,140.0,61.0,van,134.0,60.0,60.0,86.0,212.0,119.0
269,17.0,113.0,79.0,van,129.0,53.0,62.0,83.0,218.0,122.0
270,19.0,150.0,80.0,bus,144.0,69.0,68.0,82.0,322.0,148.0
271,21.0,200.0,66.0,saab,151.0,66.0,88.0,93.0,452.0,173.0
272,19.0,157.0,64.0,van,157.0,61.0,88.0,91.0,326.0,149.0
273,19.0,162.0,64.0,van,148.0,63.0,80.0,96.0,316.0,146.0
274,28.0,179.0,83.0,bus,172.0,51.0,106.0,107.0,954.0,257.0
275,19.0,179.0,69.0,bus,141.0,75.0,70.0,87.0,326.0,146.0
276,19.0,137.0,75.0,bus,146.0,59.0,73.0,83.0,327.0,148.0
277,18.0,129.0,74.0,opel,136.0,55.0,66.0,86.0,266.0,135.0
278,24.0,225.0,68.0,saab,169.0,68.0,109.0,109.0,675.0,214.0
279,19.0,186.0,67.0,bus,127.0,71.0,73.0,94.0,362.0,154.0
280,22.0,193.0,66.0,opel,147.0,62.0,93.0,100.0,521.0,186.0
281,19.0,154.0,76.0,bus,143.0,65.0,73.0,82.0,341.0,151.0
282,19.0,125.0,82.0,bus,147.0,57.0,73.0,86.0,334.0,151.0
283,24.0,231.0,67.0,saab,165.0,67.0,110.0,116.0,692.0,217.0
284,20.0,125.0,78.0,van,160.0,52.0,77.0,89.0,351.0,156.0
285,20.0,189.0,64.0,saab,153.0,64.0,85.0,89.0,427.0,169.0
286,19.0,155.0,71.0,bus,141.0,65.0,70.0,83.0,309.0,144.0
287,19.0,136.0,73.0,van,150.0,55.0,84.0,88.0,350.0,154.0
288,23.0,215.0,73.0,opel,147.0,69.0,103.0,96.0,598.0,200.0
289,18.0,132.0,83.0,saab,125.0,62.0,57.0,88.0,265.0,135.0
290,18.0,130.0,69.0,van,138.0,55.0,66.0,98.0,251.0,130.0
291,20.0,246.0,90.0,van,160.0,102.0,81.0,89.0,347.0,155.0
292,19.0,159.0,76.0,bus,138.0,65.0,76.0,87.0,362.0,155.0
293,18.0,139.0,67.0,van,136.0,57.0,63.0,93.0,260.0,132.0
294,26.0,169.0,84.0,bus,165.0,51.0,102.0,109.0,870.0,241.0
295,19.0,164.0,66.0,bus,131.0,64.0,75.0,90.0,345.0,151.0
296,22.0,207.0,75.0,bus,161.0,69.0,86.0,98.0,570.0,192.0
297,18.0,126.0,72.0,saab,127.0,54.0,66.0,82.0,252.0,132.0
298,21.0,192.0,66.0,saab,135.0,64.0,98.0,91.0,465.0,177.0
299,21.0,171.0,72.0,bus,139.0,61.0,77.0,98.0,457.0,172.0
300,24.0,193.0,73.0,saab,169.0,60.0,98.0,106.0,681.0,215.0
301,19.0,166.0,68.0,opel,141.0,59.0,78.0,93.0,342.0,151.0
302,19.0,193.0,70.0,bus,133.0,72.0,72.0,94.0,385.0,158.0
303,18.0,149.0,62.0,van,134.0,60.0,68.0,89.0,265.0,133.0
304,19.0,130.0,79.0,bus,146.0,58.0,70.0,85.0,334.0,151.0
305,19.0,152.0,71.0,bus,145.0,63.0,73.0,86.0,335.0,149.0
306,24.0,202.0,70.0,saab,153.0,61.0,107.0,106.0,635.0,207.0
307,24.0,186.0,66.0,opel,162.0,57.0,103.0,107.0,676.0,214.0
308,22.0,197.0,64.0,opel,161.0,59.0,100.0,109.0,553.0,192.0
309,23.0,215.0,65.0,opel,158.0,62.0,107.0,109.0,624.0,205.0
310,21.0,188.0,69.0,saab,158.0,61.0,90.0,90.0,492.0,181.0
311,20.0,142.0,75.0,van,155.0,56.0,83.0,93.0,364.0,157.0
312,19.0,155.0,72.0,bus,138.0,64.0,70.0,82.0,328.0,148.0
313,23.0,222.0,67.0,opel,163.0,67.0,104.0,96.0,589.0,198.0
314,19.0,126.0,81.0,bus,142.0,55.0,63.0,90.0,336.0,152.0
315,18.0,117.0,78.0,van,145.0,49.0,62.0,93.0,249.0,131.0
316,18.0,131.0,72.0,van,144.0,56.0,66.0,91.0,237.0,126.0
317,22.0,208.0,64.0,saab,150.0,64.0,105.0,95.0,520.0,187.0
318,17.0,111.0,82.0,van,127.0,54.0,51.0,89.0,213.0,120.0
319,25.0,194.0,80.0,bus,162.0,60.0,92.0,102.0,731.0,220.0
320,25.0,220.0,73.0,saab,170.0,69.0,100.0,105.0,718.0,221.0
321,28.0,194.0,85.0,bus,175.0,56.0,109.0,113.0,982.0,260.0
322,19.0,127.0,85.0,bus,143.0,56.0,65.0,87.0,322.0,149.0
323,22.0,203.0,68.0,saab,157.0,66.0,96.0,98.0,533.0,188.0
324,21.0,179.0,66.0,saab,131.0,60.0,88.0,94.0,435.0,170.0
325,19.0,123.0,81.0,bus,147.0,54.0,63.0,82.0,329.0,151.0
326,21.0,201.0,62.0,opel,158.0,61.0,96.0,106.0,494.0,181.0
327,19.0,136.0,68.0,opel,144.0,54.0,82.0,89.0,332.0,149.0
328,19.0,170.0,65.0,van,147.0,66.0,88.0,93.0,334.0,150.0
329,20.0,169.0,68.0,saab,131.0,59.0,80.0,89.0,389.0,161.0
330,18.0,160.0,63.0,van,148.0,63.0,78.0,98.0,300.0,142.0
331,22.0,188.0,67.0,opel,161.0,59.0,96.0,104.0,530.0,188.0
332,25.0,220.0,70.0,opel,176.0,66.0,109.0,99.0,725.0,221.0
333,19.0,125.0,85.0,bus,140.0,54.0,65.0,86.0,327.0,150.0
334,26.0,184.0,77.0,bus,171.0,55.0,102.0,107.0,822.0,234.0
