,O_num,ITEM_cat,P_num,N_num
44,632.6,FAMILY_INCOME_6_MONTHS_FROM_NOW,421.8,2371.5
45,150.3,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,80.2,250.5
46,75.1,JOBS_DURING_THE_COMING_12_MONTHS,190.4,230.5
47,280.6,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,70.1,145.3
48,576.3,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,539.2,2220.8
49,431.4,JOBS_6_MONTHS_FROM_NOW,845.9,2055.7
50,596.5,FAMILY_INCOME_6_MONTHS_FROM_NOW,401.0,2338.8
51,131.3,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,95.9,257.6
52,75.8,JOBS_DURING_THE_COMING_12_MONTHS,212.1,217.1
53,297.9,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,85.9,121.2
54,492.8,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,467.5,2167.1
55,401.2,JOBS_6_MONTHS_FROM_NOW,739.2,1983.9
56,527.6,FAMILY_INCOME_6_MONTHS_FROM_NOW,388.6,2211.3
57,150.0,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,80.0,240.0
58,80.0,JOBS_DURING_THE_COMING_12_MONTHS,205.0,205.0
59,290.0,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,70.0,130.0
60,703.9,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,426.9,2102.1
61,544.3,JOBS_6_MONTHS_FROM_NOW,638.8,2040.1
62,612.7,FAMILY_INCOME_6_MONTHS_FROM_NOW,400.9,2219.4
63,156.2,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,75.6,252.0
64,95.8,JOBS_DURING_THE_COMING_12_MONTHS,141.1,262.1
65,312.5,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,55.4,126.0
66,899.1,BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,333.6,1915.7
67,692.6,JOBS_6_MONTHS_FROM_NOW,565.5,1884.0
68,689.4,FAMILY_INCOME_6_MONTHS_FROM_NOW,339.9,2128.6
69,236.9,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,55.4,191.5
70,136.1,JOBS_DURING_THE_COMING_12_MONTHS,131.0,231.8
71,322.6,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,50.4,126.0
