,Contraceptive_method_used_cat,Wifes_age_num,Wifes_education_cat,Husbands_education_cat,Number_of_children_ever_born_num,Wifes_religion_cat,Wifes_now_working%3F_cat,Husbands_occupation_cat,Standard-of-living_index_cat,Media_exposure_cat
147,1,41,4,4,2,1,1,1,4,0
148,1,32,4,4,1,1,0,1,3,0
149,1,43,4,4,5,1,1,1,4,0
150,1,44,4,4,3,1,1,2,4,0
151,1,21,1,3,4,1,1,3,2,0
152,1,44,3,4,2,1,1,1,4,1
153,1,23,4,4,2,1,1,2,4,0
154,1,47,1,2,4,1,1,2,2,0
155,1,47,1,1,7,1,1,2,3,1
156,1,35,4,4,2,1,0,2,4,0
157,1,32,2,4,4,1,1,3,2,0
158,1,45,1,4,5,1,1,1,2,1
159,1,22,2,2,2,1,1,3,1,0
160,1,23,1,1,3,1,1,2,1,1
161,1,30,4,4,0,1,0,1,4,0
162,1,44,1,3,0,1,1,2,3,0
163,1,40,3,3,1,1,0,3,3,0
164,1,34,4,4,4,1,1,2,3,0
165,1,37,3,4,1,1,1,2,4,0
166,1,49,3,4,5,1,1,1,4,0
167,1,26,4,4,1,1,1,1,4,0
168,1,22,4,4,0,1,1,2,4,0
169,1,20,3,4,0,1,0,2,4,0
170,1,47,4,4,4,1,1,1,4,0
171,1,49,2,2,8,1,0,3,1,0
172,1,22,2,4,1,1,1,2,4,0
173,1,22,3,3,2,1,1,3,4,0
174,1,25,3,2,2,1,1,3,2,0
175,1,32,2,4,0,1,0,3,4,0
176,1,28,4,4,0,0,1,1,3,0
177,1,30,2,4,4,1,0,1,4,0
178,1,45,2,4,2,1,0,2,4,0
179,1,49,2,1,10,1,0,2,4,0
180,1,34,4,4,2,1,0,1,4,0
181,1,25,2,4,1,1,1,2,2,0
182,1,42,1,3,12,1,1,3,3,0
183,1,48,2,1,3,1,0,4,3,0
184,1,35,3,4,5,1,0,2,2,0
185,1,33,2,3,1,1,1,3,4,0
186,1,20,2,4,0,1,1,3,2,0
187,1,36,2,3,4,1,1,3,1,1
188,1,19,3,3,2,1,1,3,2,0
189,1,27,3,2,3,1,1,3,2,0
190,1,30,1,2,4,1,1,4,1,0
191,1,31,3,4,3,1,0,3,2,0
192,1,44,1,1,11,1,1,4,1,1
193,1,24,3,3,2,1,1,3,3,0
194,1,18,3,4,0,1,0,3,1,0
195,1,45,1,2,6,1,1,3,3,1
196,1,25,2,2,3,1,0,3,1,0
197,1,36,3,4,6,1,1,2,4,0
198,1,30,1,1,5,1,1,2,2,0
199,1,32,2,4,2,1,1,3,3,0
200,1,42,1,4,11,0,1,2,2,1
201,1,22,2,4,0,1,1,3,3,0
202,1,36,2,4,2,1,0,2,4,0
203,1,27,2,3,2,1,1,3,3,0
204,1,40,3,4,1,1,1,1,2,0
205,1,22,2,3,2,1,1,3,1,0
206,1,26,2,4,0,1,1,3,1,0
207,1,31,3,4,0,1,0,2,3,0
208,1,32,4,4,1,1,1,1,4,0
209,1,34,2,3,3,1,0,3,2,0
210,1,40,3,3,1,0,1,3,4,0
211,1,45,1,2,1,1,0,3,3,0
212,1,26,3,4,3,1,1,3,2,0
213,1,48,1,3,5,1,1,3,2,0
214,1,43,1,3,8,1,1,3,1,0
215,1,27,3,4,2,1,0,2,2,0
216,1,42,3,2,1,1,1,3,3,0
217,1,34,3,2,8,1,0,2,3,1
218,1,32,3,2,4,1,1,2,2,1
219,1,31,3,3,2,1,0,2,3,0
220,1,22,2,3,1,1,1,3,3,0
221,1,27,3,4,0,1,1,3,3,0
222,1,37,1,2,2,1,1,2,2,1
223,1,22,1,2,0,1,1,2,4,0
224,1,47,4,4,4,1,1,1,4,0
225,1,32,4,4,4,1,0,1,3,0
226,1,37,3,3,2,1,1,1,4,0
227,1,45,1,3,1,1,1,2,3,1
228,1,47,1,4,8,1,1,3,3,0
229,1,28,3,4,0,1,1,3,2,0
230,1,48,1,3,4,1,1,3,4,1
231,1,26,2,4,1,1,1,1,3,0
232,1,21,3,4,0,1,0,3,1,0
233,1,20,2,3,1,1,1,2,4,0
234,1,39,1,1,5,1,0,3,1,1
235,1,27,2,3,1,1,0,3,4,0
236,1,37,2,3,5,1,0,3,2,0
237,1,24,4,4,1,1,1,3,3,0
238,1,39,3,3,6,1,1,3,3,0
239,1,20,3,3,1,1,1,2,3,0
240,1,19,3,4,1,1,1,2,3,0
241,1,40,3,3,4,1,1,2,2,0
242,1,41,1,4,4,1,1,3,3,0
243,1,22,4,4,2,1,1,1,3,0
244,1,32,3,4,4,1,1,1,4,0
245,1,34,4,4,2,0,1,1,4,0
246,1,34,4,4,2,1,0,1,3,0
247,1,23,4,4,2,1,1,1,4,0
248,1,27,4,4,1,1,1,1,2,0
249,1,46,3,2,11,1,0,2,2,1
250,1,34,4,4,3,0,1,1,2,0
251,1,33,4,4,5,1,1,3,3,0
252,1,25,3,3,1,1,1,3,2,0
253,1,26,4,4,1,1,0,1,4,0
254,1,48,1,3,4,1,1,3,3,1
255,1,36,4,4,2,1,1,3,3,0
256,1,38,3,4,2,0,1,2,4,0
257,1,44,1,2,7,1,1,3,4,0
258,1,44,2,2,1,1,0,3,2,0
259,1,39,3,3,1,0,1,3,4,0
260,1,47,1,2,7,1,0,3,2,0
261,1,43,1,3,5,1,0,3,2,0
262,1,29,3,3,3,1,0,2,4,0
263,1,22,3,3,0,1,1,2,2,0
264,1,31,2,4,5,1,1,3,2,0
265,1,22,4,4,0,1,1,1,3,0
266,1,45,3,4,6,1,1,2,4,0
267,1,42,3,4,10,1,0,3,2,0
268,1,38,3,3,7,1,1,3,1,0
269,1,47,1,1,6,1,0,3,1,0
270,1,30,4,4,2,1,1,1,4,0
271,1,28,3,4,1,1,1,3,4,0
272,1,25,3,4,1,1,1,2,1,0
273,1,49,2,4,6,0,1,2,3,0
274,1,23,3,4,2,1,0,2,3,0
275,1,35,3,4,1,0,1,2,3,0
276,1,47,2,1,5,0,1,2,4,0
277,1,35,2,3,0,1,1,2,4,0
278,1,44,3,4,6,1,1,3,4,0
279,1,48,4,4,3,1,1,2,4,0
280,1,43,2,3,6,1,0,3,3,0
281,1,21,2,4,2,1,1,3,1,0
282,1,22,4,4,0,1,1,1,4,0
283,1,41,3,3,5,1,1,3,4,0
284,1,29,2,4,2,1,0,4,4,1
285,1,44,4,4,5,0,1,2,4,0
286,1,22,4,4,0,1,0,1,4,0
287,1,23,2,4,4,1,1,3,3,0
288,1,22,2,1,0,1,1,3,2,0
289,1,35,1,3,0,1,1,2,2,1
290,1,24,4,4,1,1,1,2,2,0
291,1,36,4,4,4,1,1,1,4,0
292,1,47,1,2,2,1,1,2,4,0
293,1,40,4,4,3,1,1,3,4,0
294,1,29,4,4,1,1,1,1,3,0
295,1,49,3,4,6,1,1,1,4,0
296,1,49,3,4,9,1,1,1,4,0
297,1,47,4,4,2,1,1,1,4,0
298,1,28,4,4,3,0,1,1,4,0
299,1,26,4,4,1,1,1,1,4,0
300,1,29,1,2,7,1,1,2,4,0
301,1,29,4,2,0,1,0,2,2,0
302,1,25,3,3,1,1,1,3,4,0
303,1,24,2,4,2,1,1,3,4,0
304,1,23,4,4,1,1,0,2,4,0
305,1,23,4,4,2,1,0,3,3,0
306,1,44,1,2,2,1,1,2,4,0
307,1,39,3,4,6,1,1,1,4,0
308,1,21,3,3,0,1,1,2,2,0
309,1,22,3,4,2,1,1,2,3,0
310,1,47,3,4,3,1,1,2,3,0
311,1,36,3,3,2,1,0,2,4,0
312,1,25,1,4,2,1,0,3,3,1
313,1,40,4,4,2,1,1,3,4,0
314,1,36,2,2,0,0,0,3,3,0
315,1,37,2,3,5,0,0,2,4,0
316,1,28,1,4,2,1,0,2,3,0
317,1,30,3,3,5,1,0,3,4,0
318,1,16,3,4,1,1,1,3,3,0
319,1,32,2,3,4,0,1,2,4,0
320,1,40,4,4,3,0,1,3,4,0
321,1,40,1,1,2,1,0,3,4,0
322,1,45,3,4,2,0,1,1,4,0
323,1,21,1,3,0,1,0,3,4,1
324,1,28,4,4,1,0,1,1,3,0
325,1,25,4,4,1,0,1,2,3,0
326,1,44,1,3,4,1,1,3,3,1
327,1,35,4,4,2,0,1,3,4,0
328,1,49,4,4,4,1,1,3,4,0
329,1,39,3,4,1,0,1,3,4,0
330,1,32,3,4,1,0,1,2,4,0
331,1,35,1,2,0,1,0,4,4,0
332,1,21,1,2,1,1,0,3,4,0
333,1,47,4,4,1,0,1,1,4,0
334,1,27,4,4,1,0,1,3,4,0
335,1,31,2,2,8,1,1,2,2,1
336,1,34,4,3,0,0,0,3,3,0
337,1,30,4,4,3,1,0,2,4,0
338,1,25,4,4,0,1,0,2,4,0
339,1,28,3,4,3,1,1,2,1,0
340,1,30,2,3,4,1,0,3,2,0
341,1,42,3,3,8,1,1,4,3,0
342,1,23,4,4,0,0,1,2,4,0
343,1,45,3,4,3,0,1,3,4,0
344,1,21,4,4,1,1,1,3,3,0
345,1,28,4,4,1,0,1,2,4,0
346,1,33,4,4,1,0,0,3,4,0
347,1,32,1,2,4,1,1,3,2,1
348,1,25,2,2,3,1,1,3,3,0
349,1,25,3,3,1,1,1,3,1,0
350,1,19,2,2,2,1,1,3,1,0
351,1,40,1,2,6,1,1,3,1,1
352,1,24,2,2,2,1,1,3,1,1
353,1,32,2,2,1,1,1,2,1,0
354,1,35,2,3,8,1,1,3,2,0
355,1,27,2,2,1,1,0,3,2,1
356,1,23,2,4,2,1,1,1,4,0
357,1,22,2,4,4,1,1,3,4,0
358,1,49,2,3,0,1,1,1,2,0
359,1,25,2,3,0,1,1,2,4,0
360,1,18,3,4,1,1,1,3,1,0
361,1,43,3,3,4,1,1,2,4,0
362,1,37,1,3,0,1,1,3,4,0
363,1,30,2,3,2,1,0,2,4,0
364,1,29,3,2,0,1,1,2,2,0
365,1,20,2,3,3,1,1,3,4,0
366,1,42,3,3,3,1,0,2,4,0
367,1,23,4,4,1,1,1,2,3,0
368,1,34,2,3,7,1,0,3,3,0
369,1,23,3,3,6,1,1,3,3,0
370,1,38,3,3,5,1,1,1,4,0
371,1,37,2,3,4,1,1,2,3,0
372,1,17,2,3,1,1,1,3,2,0
373,1,39,3,4,3,1,1,1,4,0
374,1,49,1,3,0,1,1,3,3,1
375,1,23,3,3,2,1,1,2,2,0
376,1,40,3,3,3,1,1,2,2,1
377,1,32,2,4,5,1,1,2,3,0
378,1,18,2,3,1,1,1,2,3,0
379,1,46,1,2,8,1,1,3,3,1
380,1,37,3,3,6,1,1,2,2,0
381,1,38,2,4,5,0,1,2,2,0
382,1,37,2,3,2,0,0,3,3,0
383,1,25,2,3,1,1,0,2,1,0
384,1,38,2,4,5,1,1,3,3,0
385,1,39,4,4,2,1,0,1,4,0
386,1,44,4,4,3,1,0,1,4,1
387,1,19,4,4,0,0,1,3,4,0
388,1,28,2,4,1,1,0,3,4,0
389,1,20,2,3,1,1,1,3,4,0
390,1,33,4,4,0,1,0,3,3,0
391,1,33,4,4,5,1,1,3,4,0
392,1,47,1,4,6,1,1,1,4,0
393,1,25,3,3,0,1,1,3,4,0
394,1,29,4,4,0,1,0,2,4,0
395,1,37,4,4,2,0,1,1,4,0
396,1,49,1,3,6,1,1,2,4,0
397,1,48,1,1,8,1,0,2,2,1
398,1,19,2,2,0,1,1,2,2,0
399,1,46,1,2,3,1,1,2,1,1
400,1,39,1,2,2,1,1,3,1,1
401,1,30,3,4,5,1,1,1,4,0
402,1,40,2,2,8,1,1,2,2,0
403,1,43,1,2,1,1,1,3,4,1
404,1,29,3,4,4,1,0,1,3,0
405,1,23,3,3,2,1,1,3,3,0
406,1,24,2,2,3,1,1,2,4,0
407,1,47,3,3,2,1,1,2,4,0
408,1,35,3,3,2,1,0,2,2,0
409,1,19,3,3,1,1,1,2,4,0
410,1,45,2,3,4,1,0,2,4,0
411,1,42,2,4,2,1,1,3,4,0
412,1,47,1,1,1,1,1,3,4,0
413,1,25,2,2,2,1,1,3,1,0
414,1,20,2,3,3,1,1,3,4,0
415,2,33,3,3,6,1,1,3,4,0
416,2,46,4,3,5,1,1,1,4,0
417,2,35,4,4,4,1,1,1,4,0
418,2,26,4,4,2,1,0,1,4,0
419,2,36,3,3,5,1,0,1,3,0
420,2,37,3,4,3,1,1,1,3,0
421,2,44,2,4,4,1,1,3,3,0
422,2,32,4,4,2,1,1,1,4,0
423,2,25,2,4,6,1,1,3,4,0
424,2,42,2,3,7,1,1,3,4,0
425,2,30,4,4,2,0,0,1,4,0
426,2,39,4,4,4,1,1,1,4,0
427,2,26,1,1,2,1,1,3,4,0
428,2,30,2,4,3,1,1,3,4,0
429,2,38,4,4,4,0,0,1,2,0
430,2,23,4,4,1,1,1,1,2,0
431,2,18,3,4,1,1,1,3,4,0
432,2,25,3,4,3,1,1,2,3,0
433,2,37,4,4,2,1,0,3,3,0
434,2,20,3,4,1,1,1,3,2,0
435,2,45,4,4,7,1,1,1,4,0
436,2,28,2,1,2,1,0,3,3,0
437,2,33,2,2,3,1,1,2,3,0
438,2,28,2,3,2,1,1,3,3,0
439,2,30,2,4,1,1,0,3,4,0
440,2,32,4,4,4,1,1,2,4,0
441,2,48,4,3,7,1,0,2,4,0
442,2,46,4,4,2,1,0,1,4,0
443,2,32,4,4,2,0,0,1,4,0
444,2,49,4,4,10,1,1,1,4,0
445,2,33,2,2,6,1,0,3,4,0
446,2,39,4,4,3,1,1,1,4,0
447,2,35,4,4,5,0,0,1,4,0
448,2,36,4,4,3,0,1,1,3,0
449,2,20,3,4,1,1,1,2,4,0
450,2,23,4,4,1,1,1,3,4,0
451,2,26,2,4,2,1,1,1,3,0
452,2,25,3,3,1,1,1,3,1,0
453,2,31,4,4,1,1,1,1,4,0
454,2,36,4,4,2,1,1,2,4,0
455,2,32,3,3,2,1,0,3,4,0
456,2,36,4,4,3,1,1,1,4,0
457,2,40,4,4,3,1,1,1,4,0
458,2,46,4,4,4,1,1,1,4,0
459,2,42,4,4,8,0,1,1,4,0
460,2,39,4,4,4,1,0,1,4,0
461,2,34,4,4,2,1,1,1,4,0
462,2,36,4,4,3,1,1,1,4,0
463,2,37,4,4,3,1,1,1,4,0
464,2,36,4,4,4,0,1,1,4,0
465,2,38,4,4,2,1,1,1,4,0
466,2,27,3,3,1,0,0,2,4,0
467,2,37,4,3,8,1,1,1,4,0
468,2,24,1,4,1,1,0,4,2,1
469,2,42,2,4,8,1,1,1,4,0
470,2,31,4,4,3,0,0,4,4,0
471,2,34,2,3,2,1,1,3,3,0
472,2,34,4,4,4,1,1,3,3,0
473,2,36,4,4,4,0,0,1,4,0
474,2,47,4,4,8,1,1,1,4,0
475,2,34,4,4,3,1,1,1,4,0
476,2,44,4,4,6,0,1,1,3,0
477,2,21,4,4,1,1,1,1,4,0
478,2,42,4,4,6,1,1,1,3,0
479,2,44,4,4,4,1,0,2,3,0
480,2,19,4,4,1,1,1,2,3,0
481,2,35,1,3,7,1,0,2,3,1
482,2,24,4,4,1,1,1,3,2,0
483,2,32,3,4,7,0,1,1,3,0
484,2,31,3,3,2,1,0,3,3,0
485,2,47,3,4,11,1,0,2,3,0
486,2,38,4,4,6,1,0,3,3,0
487,2,40,4,4,4,1,1,1,3,0
488,2,35,3,3,4,1,1,3,2,0
489,2,26,3,4,3,1,1,3,4,0
490,2,23,4,3,3,1,1,3,3,0
491,2,40,4,4,6,0,0,1,4,0
492,2,37,4,4,3,1,1,1,4,0
493,2,39,4,4,5,1,1,2,4,0
494,2,25,4,4,2,1,1,2,4,0
495,2,48,4,4,4,0,1,1,4,0
496,2,31,4,4,3,1,1,1,4,0
497,2,26,4,4,1,0,1,2,4,0
498,2,44,4,4,5,1,0,1,4,0
499,2,29,4,4,1,1,0,2,4,0
500,2,36,2,1,6,1,1,2,1,0
501,2,29,4,4,2,1,0,1,3,0
502,2,37,2,3,7,1,1,3,4,0
503,2,28,3,3,3,1,1,1,2,0
504,2,40,2,3,6,1,1,1,2,0
505,2,33,4,4,4,1,1,1,4,0
506,2,22,4,4,1,1,1,1,2,0
507,2,35,3,4,5,1,0,1,3,1
508,2,32,4,4,3,0,1,3,3,0
509,2,35,4,4,5,1,0,1,3,0
510,2,29,4,4,2,1,1,1,4,0
511,2,23,3,3,2,1,0,3,4,0
512,2,35,4,4,2,1,0,1,4,0
513,2,36,4,4,3,1,0,2,4,0
514,2,32,4,4,2,1,0,1,4,0
515,2,30,4,1,4,1,1,3,3,0
516,2,36,4,4,4,0,1,2,4,0
517,2,33,4,4,3,1,1,3,4,0
518,2,33,3,4,5,0,1,3,3,0
519,2,43,2,4,13,1,1,2,3,0
520,2,35,3,3,6,1,1,2,3,0
521,2,38,4,4,5,1,1,1,3,0
522,2,25,3,1,4,1,1,3,1,0
523,2,26,3,3,2,1,1,3,2,0
524,2,24,4,4,1,1,1,3,4,0
525,2,22,3,4,1,1,1,4,4,0
526,2,33,2,3,5,1,0,2,1,0
527,2,45,3,3,7,1,1,3,4,0
528,2,29,4,4,2,1,0,1,3,0
529,2,47,2,2,7,1,1,2,4,0
530,2,36,3,2,6,1,1,3,2,0
531,2,45,3,3,8,1,1,2,3,0
532,2,47,4,4,6,1,0,1,4,0
533,2,43,3,4,2,1,0,2,4,0
534,2,44,4,4,7,1,1,3,2,0
535,2,24,2,4,2,1,1,3,3,0
536,2,28,4,4,2,1,0,1,3,0
537,2,34,4,4,5,1,1,3,4,0
538,2,31,3,4,4,1,1,1,3,0
539,2,27,4,4,3,1,1,1,4,0
540,2,27,3,3,1,1,0,3,4,0
541,2,26,4,4,1,1,0,1,3,0
542,2,36,3,4,7,1,1,2,2,0
543,2,35,4,4,4,0,1,3,3,0
544,2,38,4,4,6,1,1,3,3,0
545,2,44,4,4,7,1,1,2,4,0
546,2,25,4,4,1,1,1,1,4,0
547,2,25,4,4,2,0,1,1,3,0
548,2,41,4,4,4,1,1,1,4,0
549,2,41,3,4,5,1,1,1,3,0
550,2,24,4,4,1,1,0,1,4,0
551,2,33,4,4,3,1,1,3,3,0
552,2,29,4,4,3,1,0,3,3,0
553,2,47,4,4,4,1,0,1,4,0
554,2,28,4,4,4,1,1,1,3,0
555,2,21,2,2,1,1,1,3,2,0
556,2,32,3,3,6,1,0,3,3,0
557,2,30,3,4,2,1,1,1,4,0
558,2,37,4,4,5,1,1,3,4,0
559,2,29,4,3,4,1,0,3,2,0
560,2,38,4,4,3,1,0,1,4,0
561,2,49,3,3,11,1,1,1,4,0
562,2,41,3,3,5,1,1,1,4,0
563,2,43,3,4,5,1,1,3,2,1
564,2,47,1,1,10,1,1,3,3,0
565,2,22,4,4,1,1,1,1,3,0
566,2,27,4,4,1,0,0,1,4,0
567,2,34,3,4,2,0,1,2,3,0
568,2,42,3,3,4,1,1,2,4,0
569,2,39,4,4,3,0,0,1,4,0
570,2,36,4,4,3,0,1,2,4,0
571,2,21,4,4,1,1,1,2,1,0
572,2,36,3,4,4,0,0,2,4,0
573,2,25,2,3,1,1,0,4,4,0
574,2,41,4,4,4,0,0,2,4,0
575,2,32,4,4,4,0,0,2,4,0
576,2,41,4,4,4,0,0,2,4,0
577,2,43,4,4,3,0,1,1,4,0
578,2,35,4,4,3,1,1,2,3,0
579,2,24,4,4,2,1,0,1,3,0
580,2,43,4,4,6,1,1,1,4,0
581,2,48,4,4,7,0,1,1,4,0
582,2,28,4,4,2,1,1,1,3,0
583,2,24,4,4,1,1,1,1,4,0
584,2,42,4,4,3,1,0,1,4,0
585,2,39,4,4,3,1,1,1,4,0
586,2,24,4,4,1,1,1,1,4,0
587,2,33,4,3,5,1,1,2,4,0
588,2,29,4,4,2,1,1,3,4,0
589,2,44,4,4,5,1,1,1,4,0
590,2,17,4,4,1,1,1,2,4,0
591,2,35,3,4,3,1,1,2,2,0
592,2,32,3,4,5,1,1,1,2,0
593,2,27,4,4,2,1,0,1,3,0
594,2,44,4,4,4,1,1,1,4,0
595,2,42,4,4,5,1,1,1,4,0
596,2,40,4,4,6,1,1,1,3,0
597,2,44,4,4,3,1,1,1,4,0
598,2,33,4,4,5,1,1,2,4,0
599,2,35,2,4,3,0,0,3,4,1
600,2,31,4,2,2,0,1,1,3,0
601,2,37,4,4,3,0,1,3,4,0
602,2,45,4,4,3,0,1,2,4,0
603,2,26,4,4,2,0,1,1,4,0
604,2,40,3,4,2,0,1,3,4,0
605,2,30,4,4,1,0,1,2,4,0
606,2,36,3,4,3,0,0,3,4,0
607,2,33,3,4,3,0,1,2,4,0
608,2,41,4,4,5,0,1,2,4,0
609,2,45,3,3,6,0,1,2,4,0
610,2,48,4,4,6,0,1,2,4,0
611,2,35,4,4,3,0,0,3,4,0
612,2,37,4,4,4,0,0,2,4,0
613,2,46,4,4,3,0,0,1,4,0
614,2,38,4,4,4,0,1,3,4,0
615,2,30,3,4,7,1,1,2,4,0
616,2,42,4,3,7,1,0,1,4,0
617,2,35,2,2,6,1,1,3,4,0
618,2,34,4,4,6,1,1,3,4,0
619,2,37,4,4,4,1,1,1,4,0
620,2,38,4,4,6,1,1,1,4,0
621,2,30,3,3,2,1,1,2,3,0
622,2,46,4,4,4,1,1,1,4,0
623,2,31,4,4,3,0,1,2,4,0
624,2,41,4,4,6,0,1,1,4,0
