,housing_cat,other_parties_cat,credit_history_cat,num_dependents_num,job_cat,other_payment_plans_cat,existing_credits_num,purpose_cat,duration_num,savings_status_cat
38,own,none,existing paid,1.0,skilled,none,1.0,domestic appliance,10.0,<100
39,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,9.0,<100
40,own,none,existing paid,1.0,high qualif/self emp/mgmt,bank,1.0,radio/tv,30.0,500<=X<1000
41,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,12.0,500<=X<1000
42,own,none,delayed previously,2.0,unskilled resident,none,1.0,repairs,18.0,<100
43,rent,none,critical/other existing credit,1.0,skilled,none,2.0,used car,30.0,100<=X<500
44,for free,none,critical/other existing credit,1.0,unskilled resident,stores,2.0,used car,48.0,<100
45,own,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,2.0,new car,11.0,<100
46,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,36.0,500<=X<1000
47,rent,none,existing paid,1.0,unemp/unskilled non res,none,1.0,used car,6.0,500<=X<1000
48,own,none,critical/other existing credit,1.0,unskilled resident,none,2.0,new car,11.0,<100
49,own,co applicant,existing paid,1.0,skilled,none,1.0,radio/tv,12.0,100<=X<500
50,own,none,delayed previously,1.0,unskilled resident,bank,1.0,furniture/equipment,24.0,no known savings
51,own,none,delayed previously,1.0,high qualif/self emp/mgmt,none,2.0,used car,27.0,<100
52,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,12.0,<100
53,own,none,existing paid,1.0,skilled,none,1.0,used car,18.0,no known savings
54,for free,none,delayed previously,1.0,skilled,bank,2.0,new car,36.0,<100
55,own,guarantor,all paid,2.0,unskilled resident,stores,1.0,new car,6.0,no known savings
56,own,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,radio/tv,12.0,no known savings
57,own,none,critical/other existing credit,1.0,skilled,stores,2.0,radio/tv,36.0,<100
58,own,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,new car,18.0,<100
59,rent,co applicant,critical/other existing credit,1.0,unskilled resident,none,2.0,furniture/equipment,36.0,<100
60,own,none,existing paid,1.0,skilled,bank,1.0,business,9.0,<100
61,own,guarantor,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,15.0,no known savings
62,for free,none,no credits/all paid,1.0,high qualif/self emp/mgmt,none,1.0,business,36.0,<100
63,own,none,no credits/all paid,1.0,skilled,none,1.0,business,48.0,<100
64,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,24.0,<100
65,own,none,existing paid,2.0,skilled,none,4.0,repairs,27.0,no known savings
66,own,none,existing paid,1.0,skilled,bank,1.0,radio/tv,12.0,<100
67,own,none,existing paid,1.0,skilled,none,1.0,new car,12.0,>=1000
68,for free,none,existing paid,1.0,skilled,stores,1.0,education,36.0,<100
69,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,36.0,no known savings
70,own,none,existing paid,1.0,skilled,bank,1.0,used car,36.0,<100
71,rent,none,critical/other existing credit,1.0,unskilled resident,none,2.0,radio/tv,7.0,no known savings
72,for free,none,critical/other existing credit,2.0,high qualif/self emp/mgmt,bank,2.0,other,8.0,<100
73,own,none,critical/other existing credit,1.0,unskilled resident,bank,2.0,business,42.0,<100
74,own,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,education,36.0,no known savings
75,for free,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,2.0,used car,12.0,<100
76,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,42.0,<100
77,own,none,delayed previously,1.0,skilled,none,1.0,radio/tv,11.0,<100
78,own,none,no credits/all paid,2.0,unskilled resident,none,1.0,used car,54.0,no known savings
79,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,30.0,<100
80,own,none,existing paid,1.0,skilled,none,2.0,radio/tv,24.0,no known savings
81,own,none,existing paid,1.0,skilled,stores,1.0,radio/tv,15.0,500<=X<1000
82,rent,none,existing paid,1.0,unskilled resident,none,1.0,business,18.0,100<=X<500
83,own,guarantor,existing paid,1.0,unskilled resident,none,1.0,other,24.0,<100
84,own,none,existing paid,1.0,unskilled resident,none,1.0,radio/tv,10.0,<100
85,own,guarantor,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,2.0,business,12.0,<100
86,own,none,critical/other existing credit,1.0,skilled,none,2.0,furniture/equipment,18.0,<100
87,for free,none,existing paid,2.0,skilled,none,1.0,education,36.0,100<=X<500
88,own,none,existing paid,2.0,high qualif/self emp/mgmt,none,1.0,new car,18.0,100<=X<500
89,own,none,no credits/all paid,1.0,skilled,none,2.0,repairs,12.0,<100
90,own,none,critical/other existing credit,1.0,skilled,none,1.0,radio/tv,12.0,<100
91,own,none,critical/other existing credit,1.0,skilled,none,1.0,used car,12.0,<100
92,own,none,critical/other existing credit,2.0,unskilled resident,bank,1.0,radio/tv,12.0,no known savings
93,rent,co applicant,critical/other existing credit,1.0,skilled,none,2.0,furniture/equipment,24.0,no known savings
94,own,none,existing paid,1.0,skilled,none,1.0,new car,12.0,>=1000
95,rent,none,no credits/all paid,1.0,skilled,none,1.0,business,54.0,<100
96,own,none,critical/other existing credit,1.0,skilled,none,1.0,education,12.0,no known savings
97,own,none,existing paid,1.0,skilled,none,1.0,business,18.0,100<=X<500
98,own,none,critical/other existing credit,1.0,skilled,none,1.0,radio/tv,36.0,<100
99,rent,none,delayed previously,2.0,high qualif/self emp/mgmt,bank,2.0,used car,20.0,no known savings
100,rent,none,existing paid,1.0,unskilled resident,none,1.0,new car,24.0,100<=X<500
101,rent,none,existing paid,1.0,skilled,none,1.0,radio/tv,36.0,<100
102,own,none,delayed previously,1.0,skilled,none,1.0,radio/tv,6.0,<100
103,rent,none,critical/other existing credit,1.0,skilled,none,1.0,furniture/equipment,9.0,<100
104,rent,none,existing paid,1.0,skilled,none,1.0,used car,12.0,no known savings
105,own,co applicant,critical/other existing credit,2.0,high qualif/self emp/mgmt,none,2.0,other,24.0,<100
106,own,none,all paid,2.0,high qualif/self emp/mgmt,bank,2.0,new car,18.0,<100
107,own,none,existing paid,1.0,skilled,none,1.0,new car,12.0,<100
108,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,24.0,no known savings
109,own,none,existing paid,1.0,skilled,none,1.0,business,14.0,500<=X<1000
110,own,none,delayed previously,2.0,skilled,bank,2.0,business,6.0,100<=X<500
111,rent,none,existing paid,1.0,skilled,none,1.0,education,15.0,<100
112,rent,none,existing paid,1.0,unskilled resident,none,1.0,new car,18.0,<100
113,own,none,critical/other existing credit,1.0,skilled,stores,2.0,new car,36.0,<100
114,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,12.0,500<=X<1000
115,own,none,critical/other existing credit,1.0,skilled,none,1.0,radio/tv,48.0,no known savings
116,own,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,radio/tv,42.0,no known savings
117,rent,co applicant,critical/other existing credit,1.0,skilled,none,2.0,furniture/equipment,10.0,no known savings
118,own,none,critical/other existing credit,1.0,skilled,none,2.0,furniture/equipment,33.0,500<=X<1000
119,own,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,1.0,new car,12.0,500<=X<1000
120,own,none,existing paid,1.0,skilled,none,2.0,radio/tv,21.0,<100
121,rent,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,2.0,used car,24.0,<100
122,rent,none,existing paid,1.0,unskilled resident,none,1.0,furniture/equipment,12.0,<100
123,for free,none,critical/other existing credit,1.0,skilled,none,2.0,new car,10.0,<100
124,rent,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,18.0,no known savings
125,own,none,critical/other existing credit,1.0,skilled,none,2.0,new car,12.0,<100
126,own,none,existing paid,1.0,unskilled resident,none,1.0,radio/tv,12.0,<100
127,own,none,existing paid,1.0,skilled,none,1.0,repairs,12.0,<100
128,own,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,2.0,used car,12.0,<100
129,own,co applicant,critical/other existing credit,1.0,skilled,none,2.0,new car,12.0,<100
130,own,none,existing paid,1.0,skilled,none,1.0,new car,48.0,no known savings
131,own,none,delayed previously,1.0,skilled,stores,1.0,education,36.0,<100
132,own,none,existing paid,1.0,unskilled resident,bank,2.0,furniture/equipment,15.0,<100
133,for free,none,existing paid,1.0,skilled,bank,2.0,furniture/equipment,18.0,<100
134,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,60.0,100<=X<500
135,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,12.0,no known savings
136,own,none,delayed previously,1.0,skilled,none,2.0,used car,27.0,>=1000
137,own,none,existing paid,1.0,unskilled resident,none,1.0,radio/tv,12.0,500<=X<1000
138,own,guarantor,critical/other existing credit,1.0,skilled,bank,3.0,radio/tv,15.0,no known savings
139,rent,none,existing paid,1.0,unskilled resident,none,1.0,radio/tv,12.0,<100
140,own,none,existing paid,1.0,unemp/unskilled non res,none,1.0,new car,6.0,>=1000
141,own,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,radio/tv,36.0,<100
142,own,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,radio/tv,27.0,<100
143,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,18.0,<100
144,own,none,critical/other existing credit,1.0,skilled,none,1.0,furniture/equipment,21.0,<100
145,own,none,all paid,1.0,skilled,none,1.0,business,48.0,100<=X<500
146,own,none,critical/other existing credit,1.0,skilled,none,2.0,new car,6.0,<100
147,own,none,critical/other existing credit,1.0,skilled,none,2.0,new car,12.0,100<=X<500
148,own,guarantor,critical/other existing credit,1.0,skilled,none,2.0,furniture/equipment,36.0,<100
149,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,18.0,>=1000
150,for free,none,existing paid,2.0,skilled,bank,1.0,radio/tv,6.0,100<=X<500
151,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,10.0,<100
152,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,36.0,<100
153,rent,none,critical/other existing credit,1.0,skilled,none,1.0,used car,24.0,>=1000
154,rent,none,delayed previously,1.0,high qualif/self emp/mgmt,none,1.0,business,24.0,100<=X<500
155,rent,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,12.0,<100
156,own,guarantor,critical/other existing credit,2.0,skilled,none,2.0,repairs,9.0,100<=X<500
157,own,none,all paid,1.0,unskilled resident,bank,1.0,retraining,12.0,<100
158,own,none,existing paid,1.0,skilled,bank,2.0,new car,24.0,100<=X<500
159,own,none,critical/other existing credit,2.0,unskilled resident,none,2.0,radio/tv,6.0,no known savings
160,own,none,critical/other existing credit,2.0,skilled,none,1.0,radio/tv,24.0,100<=X<500
161,own,none,critical/other existing credit,1.0,skilled,none,2.0,new car,18.0,<100
162,own,none,existing paid,1.0,skilled,none,2.0,domestic appliance,15.0,500<=X<1000
163,for free,none,existing paid,1.0,high qualif/self emp/mgmt,bank,1.0,new car,10.0,<100
164,own,none,existing paid,1.0,skilled,none,1.0,new car,36.0,500<=X<1000
165,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,6.0,500<=X<1000
166,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,18.0,<100
167,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,11.0,>=1000
168,rent,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,24.0,<100
169,own,none,critical/other existing credit,1.0,skilled,none,2.0,business,24.0,<100
170,rent,none,no credits/all paid,2.0,skilled,none,2.0,new car,15.0,<100
171,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,12.0,<100
172,own,none,delayed previously,1.0,high qualif/self emp/mgmt,none,1.0,furniture/equipment,24.0,<100
173,own,guarantor,existing paid,1.0,skilled,none,1.0,radio/tv,8.0,<100
174,own,none,delayed previously,1.0,skilled,none,2.0,education,21.0,<100
175,own,none,all paid,1.0,high qualif/self emp/mgmt,bank,1.0,used car,30.0,no known savings
176,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,12.0,<100
177,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,6.0,500<=X<1000
178,rent,none,existing paid,2.0,high qualif/self emp/mgmt,none,2.0,radio/tv,12.0,<100
179,own,none,critical/other existing credit,1.0,skilled,none,2.0,new car,21.0,<100
180,own,none,delayed previously,1.0,skilled,none,2.0,business,36.0,<100
181,own,none,delayed previously,1.0,high qualif/self emp/mgmt,stores,2.0,business,36.0,<100
182,own,none,all paid,2.0,unskilled resident,none,2.0,new car,21.0,no known savings
183,own,none,critical/other existing credit,1.0,skilled,none,1.0,furniture/equipment,24.0,>=1000
184,own,none,critical/other existing credit,2.0,skilled,bank,1.0,new car,18.0,<100
185,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,15.0,<100
186,for free,none,all paid,2.0,high qualif/self emp/mgmt,bank,1.0,used car,9.0,<100
187,for free,none,critical/other existing credit,1.0,unemp/unskilled non res,none,3.0,new car,16.0,<100
188,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,12.0,100<=X<500
189,own,none,no credits/all paid,1.0,skilled,bank,2.0,furniture/equipment,18.0,<100
190,own,none,existing paid,1.0,high qualif/self emp/mgmt,none,3.0,business,24.0,>=1000
191,for free,none,no credits/all paid,2.0,unskilled resident,none,1.0,business,48.0,100<=X<500
192,own,none,existing paid,2.0,skilled,none,1.0,business,27.0,<100
193,rent,none,existing paid,1.0,skilled,none,1.0,radio/tv,6.0,<100
194,rent,guarantor,existing paid,1.0,skilled,none,1.0,radio/tv,45.0,100<=X<500
195,own,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,2.0,education,9.0,<100
196,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,6.0,<100
197,rent,none,existing paid,1.0,skilled,bank,4.0,furniture/equipment,12.0,100<=X<500
198,for free,none,existing paid,1.0,skilled,bank,1.0,used car,24.0,no known savings
199,own,none,delayed previously,1.0,high qualif/self emp/mgmt,none,1.0,furniture/equipment,18.0,<100
200,own,none,critical/other existing credit,1.0,skilled,none,2.0,education,9.0,500<=X<1000
201,own,none,existing paid,1.0,unskilled resident,none,1.0,new car,12.0,<100
202,own,none,delayed previously,1.0,skilled,none,2.0,business,27.0,<100
203,rent,none,existing paid,1.0,skilled,none,1.0,retraining,12.0,<100
204,own,none,critical/other existing credit,2.0,unskilled resident,none,2.0,new car,12.0,<100
205,for free,none,critical/other existing credit,2.0,high qualif/self emp/mgmt,none,3.0,used car,30.0,<100
206,own,none,critical/other existing credit,1.0,skilled,none,3.0,furniture/equipment,12.0,<100
207,own,none,critical/other existing credit,1.0,skilled,none,1.0,domestic appliance,12.0,<100
208,own,none,existing paid,1.0,unskilled resident,stores,1.0,business,24.0,<100
209,own,none,existing paid,1.0,skilled,none,1.0,used car,12.0,>=1000
210,own,none,critical/other existing credit,2.0,skilled,none,2.0,radio/tv,9.0,no known savings
211,own,none,existing paid,1.0,unskilled resident,none,1.0,radio/tv,36.0,no known savings
212,own,none,no credits/all paid,1.0,skilled,stores,2.0,business,27.0,<100
213,own,none,delayed previously,1.0,high qualif/self emp/mgmt,none,1.0,business,30.0,<100
214,own,none,critical/other existing credit,1.0,skilled,none,1.0,radio/tv,36.0,no known savings
215,own,none,critical/other existing credit,1.0,unskilled resident,none,2.0,retraining,6.0,no known savings
216,own,none,no credits/all paid,1.0,skilled,bank,1.0,business,18.0,<100
217,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,36.0,<100
218,rent,none,existing paid,1.0,unskilled resident,none,1.0,furniture/equipment,24.0,<100
219,own,none,existing paid,1.0,skilled,none,1.0,new car,10.0,<100
220,own,guarantor,existing paid,1.0,unskilled resident,bank,1.0,radio/tv,12.0,<100
221,rent,none,existing paid,1.0,skilled,bank,1.0,education,12.0,no known savings
222,own,none,existing paid,1.0,skilled,bank,2.0,radio/tv,12.0,<100
223,own,none,delayed previously,2.0,skilled,none,2.0,business,24.0,no known savings
224,own,none,existing paid,1.0,skilled,none,1.0,used car,15.0,<100
225,own,none,no credits/all paid,1.0,skilled,none,2.0,repairs,36.0,<100
226,own,co applicant,existing paid,1.0,skilled,bank,2.0,radio/tv,48.0,>=1000
227,for free,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,furniture/equipment,12.0,<100
228,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,9.0,<100
229,for free,none,existing paid,1.0,skilled,bank,1.0,furniture/equipment,24.0,<100
230,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,36.0,<100
231,for free,none,existing paid,1.0,unskilled resident,none,1.0,new car,9.0,500<=X<1000
232,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,12.0,100<=X<500
233,own,guarantor,existing paid,1.0,unskilled resident,none,1.0,radio/tv,18.0,<100
234,own,none,critical/other existing credit,2.0,unskilled resident,none,3.0,radio/tv,4.0,<100
235,own,none,existing paid,2.0,high qualif/self emp/mgmt,stores,1.0,radio/tv,24.0,<100
236,own,none,existing paid,1.0,unemp/unskilled non res,none,1.0,new car,6.0,no known savings
237,rent,none,existing paid,1.0,unskilled resident,bank,2.0,business,21.0,100<=X<500
238,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,12.0,<100
239,own,guarantor,existing paid,2.0,skilled,none,1.0,radio/tv,30.0,<100
240,own,none,existing paid,1.0,skilled,bank,1.0,new car,24.0,no known savings
241,own,none,existing paid,2.0,skilled,none,1.0,radio/tv,6.0,<100
242,for free,none,no credits/all paid,2.0,skilled,none,2.0,used car,48.0,<100
243,own,none,critical/other existing credit,1.0,skilled,none,2.0,business,12.0,<100
244,own,none,all paid,2.0,unskilled resident,none,1.0,retraining,12.0,500<=X<1000
245,own,none,existing paid,1.0,skilled,none,1.0,business,24.0,<100
246,own,none,critical/other existing credit,1.0,skilled,none,3.0,radio/tv,12.0,<100
247,rent,none,no credits/all paid,1.0,skilled,bank,1.0,new car,6.0,100<=X<500
248,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,24.0,<100
249,rent,co applicant,existing paid,1.0,skilled,none,1.0,radio/tv,18.0,<100
250,own,none,critical/other existing credit,1.0,unskilled resident,none,2.0,new car,6.0,>=1000
251,own,none,existing paid,1.0,unskilled resident,none,1.0,furniture/equipment,12.0,<100
252,own,guarantor,existing paid,1.0,skilled,bank,1.0,new car,30.0,<100
253,own,none,delayed previously,1.0,skilled,none,2.0,furniture/equipment,24.0,100<=X<500
254,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,9.0,no known savings
255,own,none,delayed previously,1.0,unskilled resident,none,1.0,radio/tv,60.0,no known savings
256,own,none,critical/other existing credit,1.0,unskilled resident,none,2.0,radio/tv,24.0,<100
257,for free,none,all paid,1.0,skilled,none,1.0,radio/tv,12.0,<100
258,own,none,existing paid,1.0,skilled,none,1.0,used car,15.0,100<=X<500
259,own,none,critical/other existing credit,1.0,unskilled resident,none,3.0,radio/tv,11.0,100<=X<500
260,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,12.0,<100
261,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,24.0,<100
262,for free,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,3.0,new car,18.0,<100
263,for free,none,critical/other existing credit,1.0,unskilled resident,bank,3.0,education,12.0,<100
264,own,none,critical/other existing credit,2.0,unskilled resident,none,2.0,new car,10.0,<100
265,own,none,existing paid,2.0,skilled,none,1.0,radio/tv,15.0,<100
266,own,none,critical/other existing credit,1.0,skilled,none,2.0,business,36.0,no known savings
267,own,none,existing paid,1.0,skilled,stores,1.0,radio/tv,24.0,<100
268,own,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,new car,14.0,<100
269,own,none,existing paid,1.0,skilled,none,2.0,radio/tv,24.0,no known savings
270,own,none,existing paid,1.0,skilled,none,1.0,new car,18.0,no known savings
271,rent,none,critical/other existing credit,1.0,skilled,none,1.0,furniture/equipment,12.0,500<=X<1000
272,for free,co applicant,all paid,1.0,high qualif/self emp/mgmt,none,1.0,new car,48.0,no known savings
273,own,none,existing paid,1.0,skilled,none,2.0,radio/tv,48.0,<100
274,own,none,existing paid,1.0,unskilled resident,none,1.0,repairs,30.0,<100
275,own,none,existing paid,2.0,skilled,none,1.0,radio/tv,9.0,<100
276,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,18.0,<100
277,own,none,existing paid,1.0,unskilled resident,none,1.0,furniture/equipment,12.0,no known savings
278,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,6.0,<100
279,rent,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,radio/tv,24.0,100<=X<500
280,rent,none,critical/other existing credit,1.0,skilled,none,2.0,used car,15.0,>=1000
281,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,12.0,<100
282,own,none,all paid,1.0,unskilled resident,bank,1.0,radio/tv,18.0,no known savings
283,own,none,critical/other existing credit,1.0,skilled,none,1.0,furniture/equipment,15.0,no known savings
284,own,none,critical/other existing credit,1.0,skilled,none,1.0,new car,24.0,100<=X<500
285,own,none,existing paid,1.0,unskilled resident,none,1.0,new car,47.0,<100
286,own,none,existing paid,2.0,skilled,none,1.0,used car,48.0,<100
287,for free,none,delayed previously,1.0,high qualif/self emp/mgmt,none,1.0,other,48.0,100<=X<500
288,own,guarantor,existing paid,1.0,skilled,none,2.0,radio/tv,12.0,<100
289,own,none,delayed previously,1.0,skilled,stores,1.0,radio/tv,24.0,<100
290,own,none,existing paid,1.0,skilled,none,1.0,business,12.0,<100
291,rent,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,used car,36.0,<100
292,for free,none,critical/other existing credit,2.0,high qualif/self emp/mgmt,none,2.0,used car,24.0,<100
293,for free,none,critical/other existing credit,1.0,skilled,none,1.0,used car,42.0,<100
294,own,none,critical/other existing credit,2.0,high qualif/self emp/mgmt,bank,2.0,business,48.0,no known savings
295,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,48.0,<100
296,rent,none,existing paid,1.0,skilled,none,1.0,used car,12.0,no known savings
297,own,co applicant,existing paid,1.0,unskilled resident,none,1.0,new car,10.0,no known savings
298,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,18.0,<100
299,own,none,critical/other existing credit,1.0,skilled,none,2.0,furniture/equipment,21.0,>=1000
300,own,none,existing paid,1.0,unemp/unskilled non res,none,1.0,new car,6.0,<100
301,own,none,no credits/all paid,1.0,skilled,none,1.0,radio/tv,36.0,<100
302,own,none,critical/other existing credit,2.0,unskilled resident,bank,2.0,new car,24.0,no known savings
303,own,co applicant,critical/other existing credit,1.0,skilled,none,2.0,new car,10.0,<100
304,for free,none,critical/other existing credit,1.0,skilled,bank,1.0,new car,48.0,500<=X<1000
305,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,6.0,>=1000
306,rent,none,existing paid,1.0,unskilled resident,stores,1.0,used car,30.0,no known savings
307,own,none,existing paid,1.0,unskilled resident,none,1.0,radio/tv,12.0,100<=X<500
308,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,8.0,<100
309,rent,none,existing paid,1.0,unskilled resident,none,1.0,new car,9.0,<100
310,for free,none,existing paid,1.0,unemp/unskilled non res,bank,1.0,other,48.0,no known savings
311,own,none,existing paid,1.0,skilled,stores,1.0,furniture/equipment,24.0,100<=X<500
312,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,24.0,<100
313,own,none,existing paid,1.0,unskilled resident,bank,1.0,new car,12.0,<100
314,own,none,existing paid,2.0,unskilled resident,none,1.0,new car,4.0,no known savings
315,own,none,all paid,1.0,skilled,bank,1.0,furniture/equipment,36.0,<100
316,own,guarantor,existing paid,2.0,unskilled resident,none,1.0,furniture/equipment,12.0,<100
317,own,none,existing paid,1.0,unskilled resident,none,1.0,furniture/equipment,24.0,no known savings
318,own,none,critical/other existing credit,1.0,skilled,none,2.0,education,12.0,<100
319,own,none,delayed previously,1.0,unskilled resident,none,2.0,furniture/equipment,15.0,<100
320,own,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,2.0,new car,30.0,<100
321,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,24.0,<100
322,for free,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,used car,24.0,<100
323,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,18.0,>=1000
324,own,none,critical/other existing credit,1.0,skilled,none,2.0,new car,18.0,<100
325,own,none,critical/other existing credit,1.0,unskilled resident,none,2.0,new car,8.0,<100
326,rent,none,critical/other existing credit,1.0,skilled,none,1.0,furniture/equipment,12.0,no known savings
