,other_parties_cat,savings_status_cat,class_cat,other_payment_plans_cat,credit_history_cat,personal_status_cat,property_magnitude_cat,num_dependents_num,purpose_cat,credit_amount_num
114,none,500<=X<1000,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,1680.0
115,none,no known savings,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,3578.0
116,none,no known savings,bad,none,existing paid,female div/dep/mar,car,1.0,radio/tv,7174.0
117,co applicant,no known savings,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,furniture/equipment,2132.0
118,none,500<=X<1000,bad,none,critical/other existing credit,female div/dep/mar,car,1.0,furniture/equipment,4281.0
119,none,500<=X<1000,good,none,critical/other existing credit,male div/sep,car,1.0,new car,2366.0
120,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,1835.0
121,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,used car,3868.0
122,none,<100,good,none,existing paid,male single,real estate,1.0,furniture/equipment,1768.0
123,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,new car,781.0
124,none,no known savings,bad,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,1924.0
125,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,new car,2121.0
126,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,701.0
127,none,<100,bad,none,existing paid,male single,car,1.0,repairs,639.0
128,none,<100,good,none,critical/other existing credit,male single,car,1.0,used car,1860.0
129,co applicant,<100,bad,none,critical/other existing credit,female div/dep/mar,real estate,1.0,new car,3499.0
130,none,no known savings,good,none,existing paid,female div/dep/mar,car,1.0,new car,8487.0
131,none,<100,bad,stores,delayed previously,male single,life insurance,1.0,education,6887.0
132,none,<100,good,bank,existing paid,male single,life insurance,1.0,furniture/equipment,2708.0
133,none,<100,good,bank,existing paid,male single,no known property,1.0,furniture/equipment,1984.0
134,none,100<=X<500,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,10144.0
135,none,no known savings,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,radio/tv,1240.0
136,none,>=1000,good,none,delayed previously,male single,car,1.0,used car,8613.0
137,none,500<=X<1000,bad,none,existing paid,male single,real estate,1.0,radio/tv,766.0
138,guarantor,no known savings,good,bank,critical/other existing credit,male single,real estate,1.0,radio/tv,2728.0
139,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1881.0
140,none,>=1000,good,none,existing paid,male mar/wid,real estate,1.0,new car,709.0
141,none,<100,good,none,existing paid,female div/dep/mar,no known property,1.0,radio/tv,4795.0
142,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,3416.0
143,none,<100,bad,none,existing paid,male single,car,1.0,furniture/equipment,2462.0
144,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,2288.0
145,none,100<=X<500,good,none,all paid,male single,car,1.0,business,3566.0
146,none,<100,good,none,critical/other existing credit,female div/dep/mar,no known property,1.0,new car,860.0
147,none,100<=X<500,good,none,critical/other existing credit,female div/dep/mar,car,1.0,new car,682.0
148,guarantor,<100,good,none,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,5371.0
149,none,>=1000,good,none,critical/other existing credit,male single,car,1.0,radio/tv,1582.0
150,none,100<=X<500,good,bank,existing paid,male single,no known property,2.0,radio/tv,1346.0
151,none,<100,good,none,existing paid,male single,life insurance,1.0,radio/tv,1924.0
152,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,5848.0
153,none,>=1000,good,none,critical/other existing credit,female div/dep/mar,no known property,1.0,used car,7758.0
154,none,100<=X<500,good,none,delayed previously,male single,car,1.0,business,6967.0
155,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,1282.0
156,guarantor,100<=X<500,good,none,critical/other existing credit,male single,real estate,2.0,repairs,1288.0
157,none,<100,good,bank,all paid,male mar/wid,car,1.0,retraining,339.0
158,none,100<=X<500,good,bank,existing paid,male single,car,1.0,new car,3512.0
159,none,no known savings,good,none,critical/other existing credit,male single,real estate,2.0,radio/tv,1898.0
160,none,100<=X<500,good,none,critical/other existing credit,male single,real estate,2.0,radio/tv,2872.0
161,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,new car,1055.0
162,none,500<=X<1000,good,none,existing paid,male single,life insurance,1.0,domestic appliance,1262.0
163,none,<100,good,bank,existing paid,male single,no known property,1.0,new car,7308.0
164,none,500<=X<1000,good,none,existing paid,male single,life insurance,1.0,new car,909.0
165,none,500<=X<1000,good,none,existing paid,male single,car,1.0,furniture/equipment,2978.0
166,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,1131.0
167,none,>=1000,good,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,1577.0
168,none,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,3972.0
169,none,<100,bad,none,critical/other existing credit,male div/sep,real estate,1.0,business,1935.0
170,none,<100,bad,none,no credits/all paid,male single,car,2.0,new car,950.0
171,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,763.0
172,none,<100,bad,none,delayed previously,female div/dep/mar,life insurance,1.0,furniture/equipment,2064.0
173,guarantor,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,1414.0
174,none,<100,bad,none,delayed previously,male single,life insurance,1.0,education,3414.0
175,none,no known savings,bad,bank,all paid,female div/dep/mar,real estate,1.0,used car,7485.0
176,none,<100,good,none,existing paid,male div/sep,car,1.0,furniture/equipment,2577.0
177,none,500<=X<1000,good,none,critical/other existing credit,male single,car,1.0,radio/tv,338.0
178,none,<100,good,none,existing paid,male single,car,2.0,radio/tv,1963.0
179,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,new car,571.0
180,none,<100,bad,none,delayed previously,male div/sep,car,1.0,business,9572.0
181,none,<100,bad,stores,delayed previously,male div/sep,real estate,1.0,business,4455.0
182,none,no known savings,bad,none,all paid,male single,life insurance,2.0,new car,1647.0
183,none,>=1000,good,none,critical/other existing credit,male single,real estate,1.0,furniture/equipment,3777.0
184,none,<100,bad,bank,critical/other existing credit,male single,car,2.0,new car,884.0
185,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,1360.0
186,none,<100,bad,bank,all paid,female div/dep/mar,no known property,2.0,used car,5129.0
187,none,<100,good,none,critical/other existing credit,male single,car,1.0,new car,1175.0
188,none,100<=X<500,bad,none,existing paid,male mar/wid,life insurance,1.0,radio/tv,674.0
189,none,<100,good,bank,no credits/all paid,female div/dep/mar,car,1.0,furniture/equipment,3244.0
190,none,>=1000,bad,none,existing paid,male single,life insurance,1.0,business,4591.0
191,none,100<=X<500,bad,none,no credits/all paid,male single,no known property,2.0,business,3844.0
192,none,<100,bad,none,existing paid,male single,car,2.0,business,3915.0
193,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,2108.0
194,guarantor,100<=X<500,bad,none,existing paid,male single,life insurance,1.0,radio/tv,3031.0
195,none,<100,bad,none,critical/other existing credit,female div/dep/mar,car,1.0,education,1501.0
196,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,1382.0
197,none,100<=X<500,bad,bank,existing paid,female div/dep/mar,car,1.0,furniture/equipment,951.0
198,none,no known savings,good,bank,existing paid,male single,no known property,1.0,used car,2760.0
199,none,<100,bad,none,delayed previously,male div/sep,no known property,1.0,furniture/equipment,4297.0
200,none,500<=X<1000,good,none,critical/other existing credit,male single,car,1.0,education,936.0
201,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,new car,1168.0
202,none,<100,good,none,delayed previously,male single,car,1.0,business,5117.0
203,none,<100,bad,none,existing paid,male mar/wid,life insurance,1.0,retraining,902.0
204,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,1495.0
205,none,<100,good,none,critical/other existing credit,male single,no known property,2.0,used car,10623.0
206,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,furniture/equipment,1935.0
207,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,domestic appliance,1424.0
208,none,<100,good,stores,existing paid,male mar/wid,car,1.0,business,6568.0
209,none,>=1000,good,none,existing paid,male single,life insurance,1.0,used car,1413.0
210,none,no known savings,good,none,critical/other existing credit,male single,real estate,2.0,radio/tv,3074.0
211,none,no known savings,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,3835.0
212,none,<100,bad,stores,no credits/all paid,male single,life insurance,1.0,business,5293.0
213,none,<100,bad,none,delayed previously,male single,real estate,1.0,business,1908.0
214,none,no known savings,good,none,critical/other existing credit,male single,car,1.0,radio/tv,3342.0
215,none,no known savings,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,retraining,932.0
216,none,<100,good,bank,no credits/all paid,male single,life insurance,1.0,business,3104.0
217,none,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,3913.0
218,none,<100,good,none,existing paid,male div/sep,real estate,1.0,furniture/equipment,3021.0
219,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,new car,1364.0
220,guarantor,<100,good,bank,existing paid,male mar/wid,real estate,1.0,radio/tv,625.0
221,none,no known savings,good,bank,existing paid,female div/dep/mar,life insurance,1.0,education,1200.0
222,none,<100,good,bank,existing paid,male single,real estate,1.0,radio/tv,707.0
223,none,no known savings,good,none,delayed previously,male single,real estate,2.0,business,2978.0
224,none,<100,good,none,existing paid,male single,car,1.0,used car,4657.0
225,none,<100,good,none,no credits/all paid,male single,car,1.0,repairs,2613.0
226,co applicant,>=1000,bad,bank,existing paid,male single,no known property,1.0,radio/tv,10961.0
227,none,<100,bad,none,existing paid,male single,no known property,1.0,furniture/equipment,7865.0
228,none,<100,bad,none,existing paid,male single,car,1.0,radio/tv,1478.0
229,none,<100,good,bank,existing paid,male single,no known property,1.0,furniture/equipment,3149.0
230,none,<100,bad,none,existing paid,male single,car,1.0,radio/tv,4210.0
231,none,500<=X<1000,good,none,existing paid,male single,no known property,1.0,new car,2507.0
232,none,100<=X<500,good,none,existing paid,male single,no known property,1.0,radio/tv,2141.0
233,guarantor,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,866.0
234,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,radio/tv,1544.0
235,none,<100,bad,stores,existing paid,male single,car,2.0,radio/tv,1823.0
236,none,no known savings,bad,none,existing paid,male single,life insurance,1.0,new car,14555.0
237,none,100<=X<500,bad,bank,existing paid,male div/sep,car,1.0,business,2767.0
238,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,radio/tv,1291.0
239,guarantor,<100,good,none,existing paid,male single,life insurance,2.0,radio/tv,2522.0
240,none,no known savings,bad,bank,existing paid,female div/dep/mar,car,1.0,new car,915.0
241,none,<100,good,none,existing paid,male single,life insurance,2.0,radio/tv,1595.0
242,none,<100,bad,none,no credits/all paid,male single,no known property,2.0,used car,4605.0
243,none,<100,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,business,1185.0
244,none,500<=X<1000,good,none,all paid,female div/dep/mar,real estate,2.0,retraining,3447.0
245,none,<100,good,none,existing paid,male single,real estate,1.0,business,1258.0
246,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,717.0
247,none,100<=X<500,good,bank,no credits/all paid,male single,no known property,1.0,new car,1204.0
248,none,<100,good,none,existing paid,male single,real estate,1.0,furniture/equipment,1925.0
249,co applicant,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,433.0
250,none,>=1000,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,new car,666.0
251,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,2251.0
252,guarantor,<100,bad,bank,existing paid,female div/dep/mar,no known property,1.0,new car,2150.0
253,none,100<=X<500,good,none,delayed previously,male single,life insurance,1.0,furniture/equipment,4151.0
254,none,no known savings,good,none,existing paid,male single,car,1.0,furniture/equipment,2030.0
255,none,no known savings,good,none,delayed previously,male single,real estate,1.0,radio/tv,7418.0
256,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,2684.0
257,none,<100,bad,none,all paid,male div/sep,no known property,1.0,radio/tv,2149.0
258,none,100<=X<500,good,none,existing paid,female div/dep/mar,car,1.0,used car,3812.0
259,none,100<=X<500,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,radio/tv,1154.0
260,none,<100,good,none,existing paid,male single,real estate,1.0,furniture/equipment,1657.0
261,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1603.0
262,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,new car,5302.0
263,none,<100,good,bank,critical/other existing credit,female div/dep/mar,no known property,1.0,education,2748.0
264,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,1231.0
265,none,<100,bad,none,existing paid,male single,car,2.0,radio/tv,802.0
266,none,no known savings,good,none,critical/other existing credit,male single,real estate,1.0,business,6304.0
267,none,<100,good,stores,existing paid,female div/dep/mar,car,1.0,radio/tv,1533.0
268,none,<100,bad,none,existing paid,male div/sep,life insurance,1.0,new car,8978.0
269,none,no known savings,good,none,existing paid,male single,car,1.0,radio/tv,999.0
270,none,no known savings,good,none,existing paid,male single,life insurance,1.0,new car,2662.0
271,none,500<=X<1000,good,none,critical/other existing credit,female div/dep/mar,car,1.0,furniture/equipment,1402.0
272,co applicant,no known savings,good,none,all paid,male single,no known property,1.0,new car,12169.0
273,none,<100,bad,none,existing paid,male single,real estate,1.0,radio/tv,3060.0
274,none,<100,bad,none,existing paid,male div/sep,no known property,1.0,repairs,11998.0
275,none,<100,good,none,existing paid,male single,real estate,2.0,radio/tv,2697.0
276,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,2404.0
277,none,no known savings,good,none,existing paid,male div/sep,life insurance,1.0,furniture/equipment,1262.0
278,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,4611.0
279,none,100<=X<500,good,none,existing paid,male single,car,1.0,radio/tv,1901.0
280,none,>=1000,good,none,critical/other existing credit,male single,no known property,1.0,used car,3368.0
281,none,<100,good,none,existing paid,male single,real estate,1.0,furniture/equipment,1574.0
282,none,no known savings,good,bank,all paid,male single,car,1.0,radio/tv,1445.0
283,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,1520.0
284,none,100<=X<500,good,none,critical/other existing credit,male div/sep,car,1.0,new car,3878.0
285,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,new car,10722.0
286,none,<100,good,none,existing paid,male single,life insurance,2.0,used car,4788.0
287,none,100<=X<500,good,none,delayed previously,male single,no known property,1.0,other,7582.0
288,guarantor,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,1092.0
289,none,<100,bad,stores,delayed previously,male mar/wid,real estate,1.0,radio/tv,1024.0
290,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,business,1076.0
291,none,<100,bad,none,existing paid,male mar/wid,car,1.0,used car,9398.0
292,none,<100,good,none,critical/other existing credit,female div/dep/mar,no known property,2.0,used car,6419.0
293,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,used car,4796.0
294,none,no known savings,good,bank,critical/other existing credit,male div/sep,car,2.0,business,7629.0
295,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,9960.0
296,none,no known savings,good,none,existing paid,female div/dep/mar,car,1.0,used car,4675.0
297,co applicant,no known savings,good,none,existing paid,male single,life insurance,1.0,new car,1287.0
298,none,<100,good,none,existing paid,male single,real estate,1.0,furniture/equipment,2515.0
299,none,>=1000,good,none,critical/other existing credit,male single,car,1.0,furniture/equipment,2745.0
300,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,new car,672.0
301,none,<100,bad,none,no credits/all paid,female div/dep/mar,car,1.0,radio/tv,3804.0
302,none,no known savings,bad,bank,critical/other existing credit,male single,real estate,2.0,new car,1344.0
303,co applicant,<100,good,none,critical/other existing credit,male single,life insurance,1.0,new car,1038.0
304,none,500<=X<1000,bad,bank,critical/other existing credit,male single,no known property,1.0,new car,10127.0
305,none,>=1000,good,none,existing paid,male div/sep,real estate,1.0,furniture/equipment,1543.0
306,none,no known savings,good,stores,existing paid,female div/dep/mar,life insurance,1.0,used car,4811.0
307,none,100<=X<500,bad,none,existing paid,male mar/wid,no known property,1.0,radio/tv,727.0
308,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,1237.0
309,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,new car,276.0
310,none,no known savings,good,bank,existing paid,male single,no known property,1.0,other,5381.0
311,none,100<=X<500,good,stores,existing paid,male single,car,1.0,furniture/equipment,5511.0
312,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,3749.0
313,none,<100,bad,bank,existing paid,male mar/wid,car,1.0,new car,685.0
314,none,no known savings,good,none,existing paid,male single,real estate,2.0,new car,1494.0
315,none,<100,bad,bank,all paid,male single,car,1.0,furniture/equipment,2746.0
316,guarantor,<100,good,none,existing paid,male single,life insurance,2.0,furniture/equipment,708.0
317,none,no known savings,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,4351.0
318,none,<100,good,none,critical/other existing credit,male single,car,1.0,education,701.0
319,none,<100,good,none,delayed previously,female div/dep/mar,life insurance,1.0,furniture/equipment,3643.0
320,none,<100,bad,none,critical/other existing credit,male mar/wid,car,1.0,new car,4249.0
321,none,<100,bad,none,existing paid,male div/sep,life insurance,1.0,radio/tv,1938.0
322,none,<100,good,none,existing paid,male single,no known property,1.0,used car,2910.0
323,none,>=1000,good,none,existing paid,male single,car,1.0,furniture/equipment,2659.0
324,none,<100,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,new car,1028.0
325,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,new car,3398.0
326,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,5801.0
327,none,>=1000,good,none,existing paid,female div/dep/mar,car,2.0,new car,1525.0
328,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,4473.0
329,none,<100,good,none,existing paid,male single,car,2.0,radio/tv,1068.0
330,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,used car,6615.0
