,lenght_num,area_num,eccen_num,blackand_num,height_num,p_and_num
116,116,348,38.667,129,3,0.371
117,18,36,9.0,26,2,0.722
118,132,396,44.0,221,3,0.558
119,17,17,17.0,17,1,1.0
120,8,8,8.0,8,1,1.0
121,69,138,34.5,125,2,0.906
122,46,92,23.0,70,2,0.761
123,77,847,7.0,740,11,0.874
124,41,369,4.556,327,9,0.886
125,57,57,57.0,57,1,1.0
126,10,10,10.0,10,1,1.0
127,185,2590,13.214,1687,14,0.651
128,152,1520,15.2,1182,10,0.778
129,116,232,58.0,186,2,0.802
130,123,1107,13.667,1091,9,0.986
131,17,34,8.5,33,2,0.971
132,131,1310,13.1,1123,10,0.857
133,12,12,12.0,12,1,1.0
134,27,162,4.5,78,6,0.481
135,15,105,2.143,80,7,0.762
136,58,406,8.286,305,7,0.751
137,46,322,6.571,189,7,0.587
138,27,27,27.0,27,1,1.0
139,17,119,2.429,69,7,0.58
140,31,62,15.5,32,2,0.516
141,12,12,12.0,12,1,1.0
142,17,34,8.5,34,2,1.0
143,11,22,5.5,21,2,0.955
144,19,38,9.5,38,2,1.0
145,107,749,15.286,490,7,0.654
146,9,45,1.8,35,5,0.778
147,9,99,0.818,72,11,0.727
148,8,88,0.727,88,11,1.0
149,8,88,0.727,41,11,0.466
150,7,77,0.636,77,11,1.0
151,7,77,0.636,77,11,1.0
152,9,99,0.818,63,11,0.636
153,8,88,0.727,75,11,0.852
154,43,43,43.0,43,1,1.0
155,38,380,3.8,337,10,0.887
156,20,160,2.5,160,8,1.0
157,36,324,4.0,301,9,0.929
158,98,980,9.8,818,10,0.835
159,49,490,4.9,471,10,0.961
160,21,210,2.1,177,10,0.843
161,19,171,2.111,130,9,0.76
162,55,495,6.111,495,9,1.0
163,14,126,1.556,118,9,0.937
164,23,184,2.875,184,8,1.0
165,35,280,4.375,248,8,0.886
166,96,864,10.667,704,9,0.815
167,66,594,7.333,478,9,0.805
168,34,306,3.778,250,9,0.817
169,83,664,10.375,603,8,0.908
170,80,640,10.0,590,8,0.922
171,95,855,10.556,618,9,0.723
172,80,640,10.0,565,8,0.883
173,13,130,1.3,89,10,0.685
174,70,560,8.75,514,8,0.918
175,84,924,7.636,758,11,0.82
176,99,891,11.0,729,9,0.818
177,80,720,8.889,625,9,0.868
178,101,1111,9.182,909,11,0.818
179,26,312,2.167,312,12,1.0
180,40,480,3.333,352,12,0.733
181,84,672,10.5,649,8,0.966
182,53,424,6.625,416,8,0.981
183,41,328,5.125,309,8,0.942
184,82,738,9.111,546,9,0.74
185,14,98,2.0,60,7,0.612
186,26,208,3.25,197,8,0.947
187,46,368,5.75,350,8,0.951
188,34,306,3.778,294,9,0.961
189,26,286,2.364,269,11,0.941
190,42,462,3.818,383,11,0.829
191,62,744,5.167,491,12,0.66
192,75,600,9.375,533,8,0.888
193,18,144,2.25,142,8,0.986
194,33,231,4.714,195,7,0.844
195,64,576,7.111,518,9,0.899
196,36,324,4.0,302,9,0.932
197,8,64,1.0,22,8,0.344
198,21,168,2.625,113,8,0.673
199,99,891,11.0,839,9,0.942
200,84,756,9.333,598,9,0.791
201,31,248,3.875,196,8,0.79
202,2,38,0.105,31,19,0.816
203,101,909,11.222,783,9,0.861
204,118,1298,10.727,1061,11,0.817
205,2,10,0.4,8,5,0.8
206,126,1260,12.6,1049,10,0.833
207,117,1404,9.75,945,12,0.673
208,35,315,3.889,210,9,0.667
209,46,414,5.111,280,9,0.676
210,2,20,0.2,12,10,0.6
211,44,352,5.5,330,8,0.938
212,48,384,6.0,310,8,0.807
213,40,320,5.0,317,8,0.991
214,45,360,5.625,344,8,0.956
215,20,180,2.222,100,9,0.556
216,22,198,2.444,191,9,0.965
217,41,328,5.125,306,8,0.933
218,112,224,56.0,113,2,0.504
219,45,45,45.0,45,1,1.0
220,75,75,75.0,75,1,1.0
221,43,344,5.375,280,8,0.814
222,301,3311,27.364,2435,11,0.735
223,35,245,5.0,214,7,0.873
224,122,1098,13.556,1040,9,0.947
225,130,1300,13.0,1005,10,0.773
226,46,276,7.667,222,6,0.804
227,27,162,4.5,109,6,0.673
228,8,40,1.6,27,5,0.675
229,3,15,0.6,15,5,1.0
230,35,175,7.0,145,5,0.829
231,47,188,11.75,139,4,0.739
232,31,93,10.333,72,3,0.774
233,16,48,5.333,45,3,0.938
234,122,854,17.429,535,7,0.626
235,21,231,1.909,157,11,0.68
236,8,88,0.727,53,11,0.602
237,9,99,0.818,81,11,0.818
238,8,80,0.8,80,10,1.0
239,21,210,2.1,126,10,0.6
240,157,314,78.5,173,2,0.551
241,38,380,3.8,341,10,0.897
242,36,324,4.0,296,9,0.914
243,20,160,2.5,150,8,0.938
244,96,960,9.6,851,10,0.886
245,49,441,5.444,440,9,0.998
246,32,32,32.0,32,1,1.0
247,52,52,52.0,52,1,1.0
248,13,13,13.0,13,1,1.0
249,23,207,2.556,207,9,1.0
250,37,333,4.111,269,9,0.808
251,20,180,2.222,157,9,0.872
252,79,632,9.875,604,8,0.956
253,81,729,9.0,654,9,0.897
254,67,536,8.375,400,8,0.746
255,32,288,3.556,238,9,0.826
256,2,188,0.021,97,94,0.516
257,11,110,1.1,110,10,1.0
258,64,640,6.4,517,10,0.808
259,83,830,8.3,602,10,0.725
260,73,876,6.083,518,12,0.591
261,17,136,2.125,109,8,0.801
262,12,108,1.333,95,9,0.88
263,82,738,9.111,674,9,0.913
264,53,424,6.625,382,8,0.901
265,83,913,7.545,822,11,0.9
266,81,810,8.1,656,10,0.81
267,82,738,9.111,643,9,0.871
268,100,1100,9.091,842,11,0.765
269,71,1775,2.84,1328,25,0.748
270,82,738,9.111,690,9,0.935
271,97,873,10.778,804,9,0.921
272,32,288,3.556,248,9,0.861
273,82,656,10.25,624,8,0.951
274,13,156,1.083,153,12,0.981
275,8,96,0.667,96,12,1.0
276,43,516,3.583,408,12,0.791
277,75,600,9.375,546,8,0.91
278,84,924,7.636,629,11,0.681
279,123,246,61.5,124,2,0.504
280,36,36,36.0,36,1,1.0
281,123,2337,6.474,208,19,0.089
282,6,48,0.75,31,8,0.646
283,65,650,6.5,592,10,0.911
284,37,333,4.111,315,9,0.946
285,20,180,2.222,139,9,0.772
286,8,32,2.0,25,4,0.781
287,100,1000,10.0,874,10,0.874
288,32,288,3.556,225,9,0.781
289,82,738,9.111,603,9,0.817
290,101,1010,10.1,902,10,0.893
291,116,1392,9.667,984,12,0.707
292,126,1260,12.6,1068,10,0.848
293,86,774,9.556,501,9,0.647
294,115,1265,10.455,915,11,0.723
295,2,8,0.5,7,4,0.875
296,44,396,4.889,374,9,0.944
297,46,368,5.75,338,8,0.918
298,40,320,5.0,317,8,0.991
299,45,405,5.0,387,9,0.956
300,45,360,5.625,323,8,0.897
301,41,328,5.125,317,8,0.966
302,19,19,19.0,19,1,1.0
303,9,9,9.0,9,1,1.0
304,42,336,5.25,326,8,0.97
305,339,4746,24.214,2596,14,0.547
306,123,1230,12.3,1092,10,0.888
307,446,892,223.0,538,2,0.603
308,3,198,0.045,180,66,0.909
309,131,1310,13.1,1115,10,0.851
310,4,372,0.043,210,93,0.565
311,3,132,0.068,111,44,0.841
312,7,294,0.167,127,42,0.432
313,236,472,118.0,325,2,0.689
314,61,61,61.0,61,1,1.0
315,14,112,1.75,74,8,0.661
316,174,1566,19.333,1154,9,0.737
317,45,360,5.625,261,8,0.725
318,27,189,3.857,117,7,0.619
319,9,9,9.0,9,1,1.0
320,122,976,15.25,634,8,0.65
321,96,1056,8.727,1007,11,0.954
322,402,19296,8.375,1814,48,0.094
323,463,140752,1.523,17081,304,0.121
324,20,200,2.0,178,10,0.89
325,97,873,10.778,849,9,0.973
326,21,189,2.333,166,9,0.878
327,80,720,8.889,687,9,0.954
328,85,935,7.727,621,11,0.664
329,76,684,8.444,598,9,0.874
330,2,16,0.25,9,8,0.563
331,33,297,3.667,230,9,0.774
332,120,1080,13.333,928,9,0.859
333,118,1416,9.833,1086,12,0.767
334,207,2277,18.818,1647,11,0.723
335,92,828,10.222,790,9,0.954
336,93,837,10.333,743,9,0.888
337,43,387,4.778,357,9,0.922
338,213,639,71.0,242,3,0.379
339,465,142290,1.52,17452,306,0.123
340,79,3555,1.756,693,45,0.195
341,9,63,1.286,31,7,0.492
342,7,21,2.333,13,3,0.619
343,152,152,152.0,152,1,1.0
344,51,51,51.0,51,1,1.0
345,17,102,2.833,84,6,0.824
346,22,132,3.667,132,6,1.0
347,29,174,4.833,160,6,0.92
348,46,230,9.2,192,5,0.835
349,30,150,6.0,99,5,0.66
350,16,64,4.0,60,4,0.938
351,45,315,6.429,244,7,0.775
352,27,189,3.857,140,7,0.741
353,122,1220,12.2,659,10,0.54
354,49,539,4.455,359,11,0.666
355,35,385,3.182,225,11,0.584
356,462,8778,24.316,6035,19,0.688
357,38,380,3.8,339,10,0.892
358,36,324,4.0,300,9,0.926
359,98,980,9.8,863,10,0.881
360,21,189,2.333,181,9,0.958
361,49,490,4.9,462,10,0.943
362,49,49,49.0,49,1,1.0
363,52,52,52.0,52,1,1.0
364,52,52,52.0,52,1,1.0
365,24,240,2.4,197,10,0.821
366,36,324,4.0,288,9,0.889
367,21,189,2.333,170,9,0.899
368,78,702,8.667,606,9,0.863
369,67,737,6.091,622,11,0.844
370,33,330,3.3,285,10,0.864
371,79,790,7.9,695,10,0.88
372,80,800,8.0,639,10,0.799
373,97,1067,8.818,711,11,0.666
374,82,738,9.111,679,9,0.92
375,69,621,7.667,544,9,0.876
376,84,1008,7.0,784,12,0.778
377,82,738,9.111,649,9,0.879
378,11,110,1.1,110,10,1.0
379,63,630,6.3,564,10,0.895
380,102,1122,9.273,930,11,0.829
381,82,738,9.111,690,9,0.935
382,26,572,1.182,525,22,0.918
383,47,1034,2.136,779,22,0.753
384,53,530,5.3,477,10,0.9
385,40,400,4.0,351,10,0.878
386,82,656,10.25,654,8,0.997
387,34,340,3.4,273,10,0.803
388,81,729,9.0,676,9,0.927
389,13,143,1.182,140,11,0.979
390,8,88,0.727,88,11,1.0
391,43,473,3.909,414,11,0.875
392,75,675,8.333,617,9,0.914
393,86,946,7.818,723,11,0.764
394,33,33,33.0,33,1,1.0
395,124,124,124.0,124,1,1.0
396,75,75,75.0,75,1,1.0
397,6,54,0.667,32,9,0.593
398,64,640,6.4,618,10,0.966
399,36,324,4.0,300,9,0.926
400,34,306,3.778,196,9,0.641
401,98,980,9.8,926,10,0.945
402,121,1089,13.444,890,9,0.817
403,100,1100,9.091,970,11,0.882
404,118,2950,4.72,2198,25,0.745
405,126,1260,12.6,1113,10,0.883
406,85,850,8.5,592,10,0.696
407,43,387,4.778,371,9,0.959
408,47,423,5.222,320,9,0.757
409,40,400,4.0,358,10,0.895
410,44,396,4.889,374,9,0.944
411,47,423,5.222,330,9,0.78
412,41,369,4.556,355,9,0.962
413,8,8,8.0,8,1,1.0
414,40,40,40.0,40,1,1.0
415,55,55,55.0,55,1,1.0
416,39,351,4.333,329,9,0.937
417,340,4760,24.286,2819,14,0.592
418,123,1107,13.667,1097,9,0.991
419,115,115,115.0,115,1,1.0
420,131,1310,13.1,1107,10,0.845
421,11,11,11.0,11,1,1.0
422,46,46,46.0,46,1,1.0
423,64,128,32.0,75,2,0.586
424,47,329,6.714,289,7,0.878
425,27,216,3.375,179,8,0.829
426,17,119,2.429,111,7,0.933
427,59,472,7.375,416,8,0.881
428,47,376,5.875,331,8,0.88
429,32,256,4.0,202,8,0.789
430,16,128,2.0,116,8,0.906
431,115,460,28.75,224,4,0.487
432,16,112,2.286,86,7,0.768
433,100,700,14.286,594,7,0.849
434,8,96,0.667,63,12,0.656
435,8,96,0.667,93,12,0.969
436,8,96,0.667,48,12,0.5
437,8,96,0.667,96,12,1.0
438,7,84,0.583,84,12,1.0
439,23,276,1.917,172,12,0.623
440,463,143993,1.489,23092,311,0.16
441,18,252,1.286,153,14,0.607
442,51,510,5.1,436,10,0.855
443,24,216,2.667,216,9,1.0
444,22,220,2.2,184,10,0.836
445,37,333,4.111,300,9,0.901
446,101,3737,2.73,2596,37,0.695
447,34,340,3.4,308,10,0.906
448,98,1078,8.909,693,11,0.643
449,83,996,6.917,811,12,0.814
450,114,3876,3.353,1166,34,0.301
451,101,1212,8.417,960,12,0.792
452,87,870,8.7,784,10,0.901
453,98,980,9.8,844,10,0.861
454,84,840,8.4,713,10,0.849
455,47,423,5.222,401,9,0.948
456,33,297,3.667,292,9,0.983
457,78,780,7.8,668,10,0.856
458,8,96,0.667,96,12,1.0
459,43,516,3.583,438,12,0.849
460,86,946,7.818,764,11,0.808
461,5,45,0.556,40,9,0.889
462,146,1752,12.167,225,12,0.128
463,2,34,0.118,24,17,0.706
464,7,63,0.778,43,9,0.683
465,21,168,2.625,125,8,0.744
466,121,1089,13.444,918,9,0.843
467,118,1298,10.727,1035,11,0.797
468,37,370,3.7,262,10,0.708
469,47,470,4.7,295,10,0.628
470,92,1012,8.364,861,11,0.851
471,21,210,2.1,172,10,0.819
472,47,423,5.222,366,9,0.865
473,41,369,4.556,366,9,0.992
474,18,180,1.8,157,10,0.872
475,47,423,5.222,388,9,0.917
476,41,369,4.556,360,9,0.976
477,45,405,5.0,380,9,0.938
478,48,48,48.0,48,1,1.0
479,29,29,29.0,29,1,1.0
480,17,17,17.0,17,1,1.0
481,46,368,5.75,301,8,0.818
482,31,217,4.429,186,7,0.857
483,17,102,2.833,70,6,0.686
484,59,472,7.375,419,8,0.888
485,17,119,2.429,102,7,0.857
486,28,224,3.5,189,8,0.844
487,45,360,5.625,284,8,0.789
488,123,1353,11.182,695,11,0.514
489,9,99,0.818,76,11,0.768
490,8,88,0.727,88,11,1.0
491,61,671,5.545,412,11,0.614
492,330,9240,11.786,614,28,0.066
493,464,98368,2.189,6884,212,0.07
494,38,380,3.8,357,10,0.939
495,36,324,4.0,299,9,0.923
496,98,882,10.889,859,9,0.974
497,21,189,2.333,162,9,0.857
498,49,490,4.9,481,10,0.982
499,286,858,95.333,366,3,0.427
500,23,207,2.556,207,9,1.0
501,37,333,4.111,270,9,0.811
502,21,210,2.1,159,10,0.757
503,79,711,8.778,639,9,0.899
504,66,660,6.6,515,10,0.78
505,34,306,3.778,276,9,0.902
506,82,738,9.111,691,9,0.936
507,79,790,7.9,619,10,0.784
508,98,1176,8.167,737,12,0.627
509,83,830,8.3,675,10,0.813
510,11,110,1.1,110,10,1.0
511,53,530,5.3,430,10,0.811
512,85,1020,7.083,845,12,0.828
513,82,738,9.111,682,9,0.924
514,80,800,8.0,670,10,0.838
515,102,1224,8.5,935,12,0.764
516,82,738,9.111,639,9,0.866
517,26,598,1.13,574,23,0.96
518,47,1081,2.043,808,23,0.747
519,99,891,11.0,829,9,0.93
520,83,747,9.222,679,9,0.909
521,34,340,3.4,303,10,0.891
522,82,738,9.111,682,9,0.924
523,13,156,1.083,153,12,0.981
524,8,96,0.667,96,12,1.0
525,42,504,3.5,397,12,0.788
526,86,860,8.6,726,10,0.844
527,76,684,8.444,650,9,0.95
528,6,54,0.667,41,9,0.759
529,65,650,6.5,631,10,0.971
530,36,324,4.0,307,9,0.948
531,7,63,0.778,38,9,0.603
532,22,198,2.444,167,9,0.843
533,99,990,9.9,908,10,0.917
534,85,765,9.444,647,9,0.846
535,32,288,3.556,228,9,0.792
536,100,1100,9.091,970,11,0.882
537,118,2714,5.13,2129,23,0.784
538,125,1375,11.364,1105,11,0.804
539,85,850,8.5,574,10,0.675
540,43,430,4.3,404,10,0.94
541,48,480,4.8,356,10,0.742
542,40,360,4.444,357,9,0.992
543,44,396,4.889,348,9,0.879
544,47,423,5.222,349,9,0.825
545,42,378,4.667,369,9,0.976
546,18,18,18.0,18,1,1.0
547,7,7,7.0,7,1,1.0
548,117,117,117.0,117,1,1.0
549,42,420,4.2,357,10,0.85
550,340,8160,14.167,3822,24,0.468
551,77,77,77.0,77,1,1.0
552,40,40,40.0,40,1,1.0
553,130,1300,13.0,1113,10,0.856
554,28,28,28.0,28,1,1.0
555,35,35,35.0,35,1,1.0
556,13,78,2.167,45,6,0.577
557,18,126,2.571,57,7,0.452
558,42,294,6.0,252,7,0.857
559,31,217,4.429,155,7,0.714
560,16,112,2.286,71,7,0.634
561,23,161,3.286,87,7,0.54
562,8,56,1.143,29,7,0.518
563,2,14,0.286,13,7,0.929
564,7,49,1.0,44,7,0.898
565,11,66,1.833,56,6,0.848
566,121,847,17.286,514,7,0.607
567,21,231,1.909,166,11,0.719
568,9,99,0.818,76,11,0.768
569,8,80,0.8,56,10,0.7
570,8,88,0.727,87,11,0.989
571,7,77,0.636,37,11,0.481
572,8,88,0.727,87,11,0.989
573,14,14,14.0,14,1,1.0
574,38,342,4.222,307,9,0.898
575,20,180,2.222,180,9,1.0
576,36,324,4.0,292,9,0.901
577,98,1078,8.909,839,11,0.778
578,49,441,5.444,440,9,0.998
579,23,23,23.0,23,1,1.0
580,19,19,19.0,19,1,1.0
581,78,702,8.667,629,9,0.896
582,14,112,1.75,112,8,1.0
583,106,2226,5.048,881,21,0.396
584,24,192,3.0,187,8,0.974
585,36,288,4.5,255,8,0.885
586,22,198,2.444,180,9,0.909
587,12,108,1.333,108,9,1.0
588,6,54,0.667,49,9,0.907
589,38,304,4.75,230,8,0.757
590,34,306,3.778,274,9,0.895
591,12,108,1.333,108,9,1.0
592,63,567,7.0,446,9,0.787
593,104,936,11.556,846,9,0.904
594,75,825,6.818,560,11,0.679
595,17,136,2.125,92,8,0.676
596,82,738,9.111,574,9,0.778
597,16,128,2.0,110,8,0.859
598,12,96,1.5,96,8,1.0
599,53,424,6.625,377,8,0.889
600,85,935,7.727,843,11,0.902
601,12,120,1.2,120,10,1.0
602,63,630,6.3,566,10,0.898
603,82,738,9.111,699,9,0.947
604,10,90,1.111,47,9,0.522
605,102,1224,8.5,984,12,0.804
606,90,1080,7.5,773,12,0.716
607,26,312,2.167,283,12,0.907
608,41,492,3.417,364,12,0.74
609,99,792,12.375,762,8,0.962
610,81,729,9.0,602,9,0.826
611,26,208,3.25,197,8,0.947
612,46,414,5.111,351,9,0.848
613,34,306,3.778,264,9,0.863
614,26,312,2.167,259,12,0.83
615,43,516,3.583,407,12,0.789
616,75,600,9.375,573,8,0.955
617,86,946,7.818,663,11,0.701
618,79,79,79.0,79,1,1.0
619,6,48,0.75,39,8,0.813
620,11,11,11.0,11,1,1.0
621,98,98,98.0,98,1,1.0
622,13,13,13.0,13,1,1.0
623,64,576,7.111,567,9,0.984
624,36,288,4.5,272,8,0.944
625,8,64,1.0,43,8,0.672
626,21,168,2.625,142,8,0.845
627,99,891,11.0,807,9,0.906
628,121,1089,13.444,845,9,0.776
629,100,900,11.111,817,9,0.908
630,118,1298,10.727,1036,11,0.798
631,126,1134,14.0,1029,9,0.907
632,117,1404,9.75,891,12,0.635
633,14,112,1.75,62,8,0.554
634,71,568,8.875,441,8,0.776
635,44,352,5.5,334,8,0.949
636,48,384,6.0,340,8,0.885
637,40,320,5.0,319,8,0.997
638,45,405,5.0,363,9,0.896
639,47,376,5.875,337,8,0.896
640,42,336,5.25,316,8,0.94
641,17,17,17.0,17,1,1.0
642,43,344,5.375,329,8,0.956
643,300,4200,21.429,2550,14,0.607
644,35,245,5.0,206,7,0.841
645,122,1098,13.556,910,9,0.829
646,130,1170,14.444,1026,9,0.877
647,45,360,5.625,290,8,0.806
648,31,217,4.429,185,7,0.853
649,14,42,4.667,37,3,0.881
650,18,144,2.25,117,8,0.813
651,58,406,8.286,342,7,0.842
652,40,280,5.714,211,7,0.754
653,28,168,4.667,89,6,0.53
654,15,60,3.75,48,4,0.8
655,38,532,2.714,260,14,0.489
656,31,465,2.067,216,15,0.465
657,77,1001,5.923,565,13,0.564
658,33,429,2.538,229,13,0.534
659,19,190,1.9,132,10,0.695
660,121,847,17.286,572,7,0.675
661,22,242,2.0,168,11,0.694
662,9,99,0.818,71,11,0.717
663,8,88,0.727,88,11,1.0
664,21,231,1.909,134,11,0.58
665,8,80,0.8,70,10,0.875
666,461,23972,8.865,5938,52,0.248
667,38,380,3.8,357,10,0.939
668,36,324,4.0,295,9,0.91
669,21,189,2.333,178,9,0.942
670,97,873,10.778,820,9,0.939
671,49,441,5.444,439,9,0.995
672,15,15,15.0,15,1,1.0
673,23,207,2.556,204,9,0.986
674,37,333,4.111,283,9,0.85
675,21,189,2.333,147,9,0.778
676,91,819,10.111,783,9,0.956
677,67,670,6.7,435,10,0.649
678,32,288,3.556,232,9,0.806
679,92,828,10.222,759,9,0.917
680,12,108,1.333,108,9,1.0
681,64,576,7.111,471,9,0.818
682,98,1176,8.167,734,12,0.624
683,100,900,11.111,762,9,0.847
684,12,108,1.333,108,9,1.0
685,53,477,5.889,384,9,0.805
686,84,924,7.636,779,11,0.843
687,81,729,9.0,669,9,0.918
688,13,117,1.444,88,9,0.752
689,80,800,8.0,640,10,0.8
690,101,1111,9.182,947,11,0.852
691,81,729,9.0,710,9,0.974
692,9,81,1.0,70,9,0.864
693,72,864,6.0,697,12,0.807
694,84,756,9.333,722,9,0.955
695,52,468,5.778,466,9,0.996
696,41,369,4.556,312,9,0.846
697,27,243,3.0,237,9,0.975
698,46,460,4.6,388,10,0.843
699,33,297,3.667,288,9,0.97
700,81,729,9.0,668,9,0.916
701,7,42,1.167,29,6,0.69
702,14,154,1.273,151,11,0.981
703,8,88,0.727,88,11,1.0
704,43,473,3.909,356,11,0.753
705,75,675,8.333,616,9,0.913
706,48,576,4.0,435,12,0.755
707,9,81,1.0,65,9,0.802
708,18,144,2.25,144,8,1.0
709,6,42,0.857,23,7,0.548
710,1,76,0.013,76,76,1.0
711,64,640,6.4,585,10,0.914
712,36,288,4.5,270,8,0.938
713,33,264,4.125,186,8,0.705
714,99,990,9.9,903,10,0.912
715,122,1220,12.2,840,10,0.689
716,101,1010,10.1,878,10,0.869
717,118,1416,9.833,1039,12,0.734
718,125,1250,12.5,1078,10,0.862
719,117,1404,9.75,1000,12,0.712
720,85,765,9.444,569,9,0.744
721,43,387,4.778,367,9,0.948
722,47,423,5.222,312,9,0.738
723,40,360,4.444,320,9,0.889
724,44,352,5.5,335,8,0.952
725,46,414,5.111,347,9,0.838
726,42,378,4.667,352,9,0.931
727,37,37,37.0,37,1,1.0
728,46,46,46.0,46,1,1.0
729,42,42,42.0,42,1,1.0
730,42,378,4.667,352,9,0.931
731,300,4500,20.0,2594,15,0.576
732,35,210,5.833,198,6,0.943
733,122,1098,13.556,1055,9,0.961
734,176,352,88.0,213,2,0.605
735,3,207,0.043,197,69,0.952
736,130,1170,14.444,1082,9,0.925
737,17,17,17.0,17,1,1.0
738,39,39,39.0,39,1,1.0
739,44,44,44.0,44,1,1.0
740,14,14,14.0,14,1,1.0
741,36,36,36.0,36,1,1.0
742,17,17,17.0,17,1,1.0
743,52,104,26.0,73,2,0.702
744,17,68,4.25,38,4,0.559
745,31,155,6.2,151,5,0.974
746,23,115,4.6,115,5,1.0
747,44,220,8.8,174,5,0.791
748,56,168,18.667,84,3,0.5
749,32,128,8.0,128,4,1.0
750,16,80,3.2,65,5,0.813
751,14,28,7.0,23,2,0.821
752,183,549,61.0,317,3,0.577
753,77,1309,4.529,995,17,0.76
754,34,476,2.429,405,14,0.851
755,22,242,2.0,193,11,0.798
756,67,737,6.091,508,11,0.689
757,123,861,17.571,539,7,0.626
758,8,96,0.667,49,12,0.51
759,8,96,0.667,89,12,0.927
760,9,108,0.75,71,12,0.657
761,9,99,0.818,81,11,0.818
762,9,99,0.818,72,11,0.727
763,8,88,0.727,88,11,1.0
764,8,88,0.727,88,11,1.0
765,29,29,29.0,29,1,1.0
