,mcg_num,gvh_num,alm_num,mit_num,erl_num,pox_num,vac_num,nuc_num,class_protein_localization_cat
39,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,MIT
40,0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,ME2
41,0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,ME2
42,0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,ME2
43,0.41,0.54,0.39,0.2,0.5,0.0,0.51,0.22,ME3
44,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,VAC
45,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,NUC
46,0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,ME2
47,0.49,0.39,0.52,0.29,0.5,0.0,0.48,0.22,EXC
48,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,VAC
49,0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,ME3
50,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,CYT
51,0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,ME3
52,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,NUC
53,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,CYT
54,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,CYT
55,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,CYT
56,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,CYT
57,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,CYT
58,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,CYT
59,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,MIT
60,0.43,0.35,0.52,0.52,0.5,0.0,0.54,0.22,MIT
61,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,NUC
62,0.48,0.43,0.51,0.32,0.5,0.0,0.52,0.43,NUC
63,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,NUC
64,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,CYT
65,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,CYT
66,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,CYT
67,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,CYT
68,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,CYT
69,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,EXC
70,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,CYT
71,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,CYT
72,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,MIT
73,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,MIT
74,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,MIT
75,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,MIT
76,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,MIT
77,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,MIT
78,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,MIT
79,0.43,0.57,0.51,0.49,0.5,0.0,0.48,0.22,MIT
80,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,MIT
81,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,MIT
82,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,MIT
83,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,MIT
84,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,MIT
85,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,ME3
86,0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,ME3
87,0.8,0.63,0.45,0.29,0.5,0.0,0.51,0.22,EXC
88,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,NUC
89,0.42,0.47,0.52,0.41,0.5,0.0,0.53,0.32,CYT
90,0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,CYT
91,0.46,0.38,0.47,0.22,0.5,0.0,0.52,0.27,MIT
92,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,CYT
93,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,NUC
94,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,CYT
95,0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,ME3
96,0.69,0.7,0.52,0.36,0.5,0.0,0.46,0.22,EXC
97,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,MIT
98,0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,MIT
99,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,CYT
100,0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,ME3
101,0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,ME3
102,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,CYT
103,0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,NUC
104,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,CYT
105,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,ME3
106,0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,CYT
107,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,CYT
108,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,CYT
109,0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,CYT
110,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,POX
111,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,NUC
112,0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,NUC
113,0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,NUC
114,0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,NUC
115,0.45,0.45,0.5,0.6,0.5,0.0,0.49,0.22,MIT
116,0.59,0.67,0.56,0.41,0.5,0.0,0.47,0.22,MIT
117,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,MIT
118,0.35,0.52,0.48,0.22,0.5,0.0,0.26,0.22,MIT
119,0.47,0.41,0.66,0.26,0.5,0.0,0.53,0.22,MIT
120,0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,MIT
121,0.55,0.53,0.55,0.46,0.5,0.0,0.52,0.22,MIT
122,0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,MIT
123,0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,MIT
124,0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,ME3
125,0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,MIT
126,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,NUC
127,0.46,0.71,0.48,0.53,0.5,0.0,0.53,0.22,MIT
128,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,NUC
129,0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,CYT
130,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,CYT
131,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,CYT
132,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,CYT
133,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,NUC
134,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,NUC
135,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,CYT
136,0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,ME3
137,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,NUC
138,0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,CYT
139,0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,NUC
140,0.39,0.47,0.56,0.16,0.5,0.0,0.47,0.22,CYT
141,0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,NUC
142,0.64,0.6,0.57,0.19,0.5,0.0,0.43,0.22,NUC
143,0.37,0.46,0.4,0.27,0.5,0.0,0.45,0.22,NUC
144,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,CYT
145,0.28,0.37,0.61,0.09,0.5,0.0,0.52,0.55,NUC
146,0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25,CYT
147,0.39,0.55,0.48,0.31,0.5,0.0,0.54,0.29,CYT
148,0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,NUC
149,0.51,0.34,0.5,0.19,0.5,0.0,0.5,0.22,NUC
150,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,NUC
151,0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,CYT
152,0.41,0.39,0.44,0.34,0.5,0.0,0.48,0.4,NUC
153,0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,CYT
154,0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,NUC
155,0.42,0.31,0.5,0.15,0.5,0.0,0.53,0.22,NUC
156,0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,CYT
157,0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,NUC
158,0.49,0.47,0.53,0.16,0.5,0.0,0.48,0.27,NUC
159,0.71,0.59,0.48,0.43,0.5,0.0,0.59,0.22,MIT
160,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,CYT
161,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,CYT
162,0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,CYT
163,0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,NUC
164,0.57,0.51,0.53,0.18,0.5,0.0,0.56,0.25,NUC
165,0.35,0.45,0.43,0.11,0.5,0.0,0.56,0.22,ME3
166,0.42,0.42,0.42,0.2,0.5,0.0,0.49,0.22,ME3
167,0.26,0.5,0.33,0.28,0.5,0.0,0.51,0.22,ME3
168,0.39,0.42,0.38,0.4,0.5,0.0,0.49,0.47,ME3
169,0.26,0.44,0.3,0.11,0.5,0.0,0.51,0.47,ME3
170,0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,NUC
171,0.48,0.61,0.44,0.2,0.5,0.0,0.47,0.22,CYT
172,0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,CYT
173,0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,CYT
174,0.38,0.68,0.44,0.45,0.5,0.0,0.53,0.22,MIT
175,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,POX
176,0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,NUC
177,0.49,0.31,0.49,0.35,0.5,0.0,0.51,0.29,NUC
178,0.38,0.37,0.56,0.21,0.5,0.0,0.49,0.22,NUC
179,0.39,0.4,0.53,0.67,0.5,0.0,0.47,0.22,CYT
180,0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,CYT
181,0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,CYT
182,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,CYT
183,0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,CYT
184,0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,CYT
185,0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,CYT
186,0.32,0.57,0.5,0.15,0.5,0.0,0.53,0.22,CYT
187,0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,CYT
188,0.59,0.5,0.52,0.28,0.5,0.0,0.55,0.25,CYT
189,0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,CYT
190,0.75,0.7,0.38,0.27,0.5,0.0,0.49,0.22,ME1
191,0.61,0.72,0.31,0.33,0.5,0.0,0.56,0.22,MIT
192,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,CYT
193,0.52,0.51,0.51,0.54,0.5,0.0,0.55,0.27,MIT
194,0.63,0.56,0.45,0.58,0.5,0.0,0.51,0.22,MIT
195,0.52,0.56,0.54,0.53,0.5,0.0,0.45,0.22,MIT
196,0.58,0.58,0.58,0.49,0.5,0.0,0.49,0.26,MIT
197,0.72,0.62,0.34,0.29,0.5,0.0,0.56,0.28,MIT
198,0.72,0.61,0.37,0.3,0.5,0.0,0.57,0.22,MIT
199,0.46,0.43,0.38,0.33,0.5,0.0,0.48,0.28,MIT
200,0.57,0.57,0.44,0.37,0.5,0.0,0.52,0.25,MIT
201,0.42,0.31,0.62,0.12,0.5,0.0,0.4,0.22,MIT
202,0.49,0.46,0.45,0.45,0.5,0.0,0.52,0.22,MIT
203,0.42,0.58,0.41,0.65,0.5,0.0,0.46,0.26,MIT
204,0.59,0.61,0.34,0.22,0.5,0.0,0.51,0.22,MIT
205,0.52,0.77,0.38,0.34,0.5,0.0,0.51,0.22,MIT
206,0.5,0.52,0.6,0.51,0.5,0.0,0.48,0.22,MIT
207,0.49,0.6,0.43,0.56,0.5,0.0,0.36,0.22,MIT
208,0.5,0.41,0.44,0.5,0.5,0.0,0.42,0.22,MIT
209,0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,MIT
210,0.37,0.58,0.44,0.51,0.5,0.0,0.44,0.22,MIT
211,0.55,0.45,0.45,0.54,0.5,0.0,0.5,0.22,MIT
212,0.67,0.68,0.46,0.29,0.5,0.0,0.46,0.22,MIT
213,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,CYT
214,0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,CYT
215,0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,CYT
216,0.77,0.79,0.58,0.23,0.5,0.0,0.48,0.22,EXC
217,0.47,0.46,0.59,0.49,0.5,0.0,0.56,0.22,MIT
218,0.73,0.83,0.43,0.3,0.5,0.0,0.55,0.22,ME1
219,0.78,0.74,0.58,0.25,1.0,0.0,0.53,0.22,ERL
220,0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,VAC
221,0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,ME3
222,0.56,0.52,0.48,0.17,0.5,0.0,0.46,0.22,NUC
223,0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22,CYT
224,0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,CYT
225,0.58,0.56,0.45,0.12,0.5,0.0,0.51,0.22,NUC
226,0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,NUC
227,0.34,0.36,0.54,0.11,0.5,0.0,0.36,0.21,NUC
228,0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,ME2
229,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,POX
230,0.41,0.45,0.53,0.17,0.5,0.0,0.51,0.25,NUC
231,0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,NUC
232,0.36,0.37,0.33,0.14,0.5,0.0,0.57,0.31,ME3
233,0.82,0.78,0.49,0.23,0.5,0.0,0.46,0.22,EXC
234,0.82,0.75,0.54,0.23,0.5,0.0,0.46,0.22,EXC
235,0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,CYT
236,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,CYT
237,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,CYT
238,0.53,0.44,0.51,0.33,0.5,0.0,0.52,0.22,MIT
239,0.46,0.54,0.71,0.15,0.5,0.0,0.59,0.22,MIT
240,0.4,0.56,0.48,0.14,0.5,0.0,0.47,0.22,MIT
241,0.53,0.53,0.6,0.13,0.5,0.0,0.49,0.22,MIT
242,0.42,0.57,0.72,0.22,0.5,0.0,0.57,0.22,MIT
243,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,CYT
244,0.2,0.26,0.52,0.14,0.5,0.0,0.53,0.44,CYT
245,0.51,0.53,0.55,0.14,0.5,0.0,0.51,0.22,CYT
246,0.44,0.68,0.45,0.51,0.5,0.0,0.52,0.41,MIT
247,0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,MIT
248,0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,ME3
249,0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,ME3
250,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,POX
251,0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,NUC
252,0.39,0.28,0.46,0.12,0.5,0.0,0.41,0.22,NUC
253,0.56,0.43,0.54,0.16,0.5,0.0,0.5,0.22,NUC
254,0.36,0.68,0.38,0.08,0.5,0.0,0.53,0.25,VAC
255,0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,NUC
256,0.35,0.4,0.59,0.22,0.5,0.0,0.47,0.37,NUC
257,0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,NUC
258,0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,NUC
259,0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,NUC
260,0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,NUC
261,0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,CYT
262,0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,CYT
263,0.6,0.56,0.47,0.2,0.5,0.0,0.5,0.38,NUC
264,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,NUC
265,0.47,0.65,0.54,0.62,0.5,0.0,0.53,0.36,MIT
266,0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,NUC
267,0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,NUC
268,0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,NUC
269,0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,ME2
270,0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,CYT
271,0.46,0.43,0.49,0.79,0.5,0.0,0.49,0.63,NUC
272,0.51,0.55,0.35,0.16,0.5,0.0,0.51,0.47,ME3
273,0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,CYT
274,0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,NUC
275,0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,NUC
276,0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,ME2
277,0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,CYT
278,0.52,0.54,0.5,0.21,0.5,0.0,0.48,0.3,CYT
279,0.35,0.39,0.57,0.11,0.5,0.0,0.48,0.22,NUC
280,0.36,0.49,0.3,0.22,0.5,0.0,0.52,0.31,ME3
281,0.78,0.7,0.32,0.23,0.5,0.0,0.53,0.22,ME1
282,0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,CYT
283,0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22,CYT
284,0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,CYT
285,0.29,0.43,0.4,0.15,0.5,0.0,0.53,0.22,ME3
286,0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,ME3
287,0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,ME2
288,0.58,0.6,0.43,0.12,0.5,0.0,0.55,0.22,ME3
289,0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,CYT
290,0.57,0.59,0.44,0.16,0.5,0.0,0.52,0.22,ME2
291,0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27,CYT
292,0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,ME2
293,0.55,0.56,0.45,0.14,0.5,0.0,0.54,0.22,CYT
294,0.63,0.61,0.41,0.22,0.5,0.0,0.51,0.22,ME3
295,0.58,0.53,0.38,0.18,0.5,0.0,0.52,0.22,ME3
296,0.36,0.46,0.43,0.19,0.5,0.0,0.48,0.22,ME3
297,0.32,0.47,0.55,0.12,0.5,0.0,0.52,0.22,CYT
298,0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,ME2
299,0.62,0.58,0.46,0.13,0.5,0.0,0.53,0.22,CYT
300,0.53,0.68,0.42,0.19,0.5,0.0,0.53,0.22,ME3
301,0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,ME2
302,0.55,0.46,0.46,0.31,0.5,0.0,0.58,0.48,NUC
303,0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,NUC
304,0.77,0.8,0.51,0.4,1.0,0.0,0.54,0.22,ERL
305,0.77,0.87,0.47,0.37,0.5,0.0,0.48,0.22,EXC
306,0.35,0.46,0.49,0.15,1.0,0.0,0.55,0.35,CYT
307,0.43,0.51,0.48,0.14,0.5,0.0,0.5,0.22,CYT
308,0.57,0.61,0.45,0.26,0.5,0.0,0.5,0.22,CYT
309,0.63,0.62,0.42,0.12,0.5,0.0,0.52,0.25,CYT
310,0.25,0.4,0.51,0.18,0.5,0.0,0.5,0.27,CYT
311,0.56,0.62,0.53,0.24,0.5,0.0,0.57,0.22,CYT
312,0.58,0.6,0.51,0.24,0.5,0.0,0.53,0.22,CYT
313,0.71,0.59,0.53,0.15,0.5,0.0,0.49,0.33,CYT
314,0.46,0.35,0.33,0.17,0.5,0.0,0.55,0.22,ME3
315,0.54,0.55,0.42,0.22,0.5,0.0,0.48,0.22,ME3
316,0.39,0.44,0.28,0.12,0.5,0.0,0.46,0.27,ME3
317,0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,NUC
318,0.81,0.82,0.41,0.36,0.5,0.0,0.39,0.22,EXC
319,0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22,POX
320,0.46,0.48,0.44,0.21,0.5,0.0,0.55,0.22,POX
321,0.35,0.36,0.57,0.17,0.5,0.0,0.52,0.22,CYT
322,0.74,0.72,0.47,0.25,0.5,0.0,0.57,0.22,ME1
323,0.54,0.57,0.52,0.19,0.5,0.0,0.59,0.67,NUC
324,0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,ME3
325,0.91,0.77,0.34,0.47,0.5,0.0,0.52,0.31,ME1
326,0.81,0.9,0.39,0.41,0.5,0.0,0.53,0.22,ME2
327,0.45,0.4,0.56,0.14,0.5,0.0,0.54,0.22,CYT
328,0.47,0.47,0.58,0.16,0.5,0.0,0.49,0.28,CYT
329,0.41,0.39,0.51,0.52,0.5,0.0,0.49,0.22,CYT
330,0.37,0.34,0.32,0.22,0.5,0.0,0.56,0.22,ME3
331,0.69,0.6,0.5,0.31,0.5,0.0,0.55,0.22,CYT
332,0.35,0.56,0.36,0.3,0.5,0.0,0.53,0.25,ME3
333,0.84,0.66,0.36,0.78,0.5,0.0,0.49,0.5,ME1
334,0.51,0.58,0.54,0.29,0.5,0.0,0.53,0.22,CYT
335,0.37,0.43,0.62,0.27,0.5,0.0,0.48,0.22,NUC
336,0.55,0.66,0.57,0.32,0.5,0.0,0.57,0.34,CYT
337,0.48,0.35,0.42,0.21,0.5,0.0,0.57,0.22,CYT
338,0.62,0.58,0.52,0.15,0.5,0.0,0.52,0.29,CYT
339,0.56,0.59,0.53,0.16,0.5,0.0,0.24,0.42,NUC
340,0.44,0.51,0.37,0.15,0.5,0.0,0.51,0.22,ME3
341,0.44,0.44,0.49,0.15,0.5,0.0,0.46,0.27,NUC
342,0.5,0.5,0.48,0.17,0.5,0.0,0.47,0.26,CYT
343,0.6,0.6,0.49,0.3,0.5,0.0,0.53,0.22,NUC
344,0.49,0.46,0.34,0.21,0.5,0.0,0.55,0.22,ME3
345,0.35,0.68,0.57,0.4,0.5,0.0,0.53,0.36,NUC
346,0.7,0.69,0.43,0.33,0.5,0.0,0.58,0.22,ME1
347,0.23,0.3,0.58,0.22,0.5,0.0,0.48,0.27,NUC
348,0.45,0.42,0.52,0.2,0.5,0.0,0.5,0.25,CYT
349,0.51,0.35,0.46,0.15,0.5,0.0,0.51,0.42,CYT
350,0.42,0.39,0.47,0.13,0.5,0.0,0.5,0.27,CYT
351,0.32,0.38,0.52,0.2,0.5,0.0,0.52,0.28,CYT
352,0.59,0.65,0.52,0.3,0.5,0.0,0.46,0.31,CYT
353,0.41,0.52,0.41,0.11,0.5,0.0,0.54,0.35,CYT
354,0.37,0.33,0.5,0.12,0.5,0.0,0.51,0.54,CYT
355,0.45,0.56,0.49,0.17,0.5,0.0,0.52,0.22,CYT
356,0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,NUC
357,0.31,0.31,0.54,0.18,0.5,0.0,0.52,0.29,NUC
358,0.27,0.51,0.47,0.35,0.5,0.0,0.49,0.28,NUC
359,0.54,0.56,0.57,0.18,0.5,0.0,0.45,0.25,NUC
360,0.17,0.38,0.45,0.09,0.5,0.0,0.54,0.27,NUC
361,0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,NUC
362,0.6,0.4,0.59,0.18,0.5,0.0,0.48,0.22,CYT
363,0.91,0.69,0.57,0.45,0.5,0.0,0.56,0.22,ME2
364,0.38,0.47,0.53,0.12,0.5,0.0,0.48,0.22,CYT
