,Economics_num,Climate_and_Terrain_num,Housing_num,Health_Care_and_Environment_num,Crime_num,Transportation_num,Education_num,The_Arts_num,Recreation_num
185,7101,404,9860,737,633,4595,2728,475,837
186,4386,558,6881,303,1072,2876,2871,554,1133
187,5739,238,5345,372,836,2117,2644,1231,1059
188,3692,611,9008,256,728,3512,2797,1856,1416
189,7089,582,8721,517,1039,2560,2814,437,3800
190,5160,514,7015,2043,1488,6247,2804,4486,1994
191,5840,634,10267,2314,2459,5202,2879,4837,4300
192,6324,559,12135,2589,691,4198,3539,8058,1596
193,6307,593,11652,884,646,4636,3128,730,1682
194,9980,603,8672,97,1166,5310,2416,438,1502
195,4982,460,10176,3053,826,4945,3044,8766,2902
196,5843,293,9559,3934,906,5606,3013,11714,2158
197,4565,442,6704,1469,1511,3345,2779,1764,2164
198,5107,639,8630,347,1154,2000,2616,631,833
199,6154,615,11660,2482,819,2690,2787,7563,3544
200,5537,455,6190,331,957,3606,2453,1528,1541
201,4892,483,6754,832,815,3509,2388,1374,1112
202,3980,530,5800,949,783,4325,2965,2498,1428
203,3708,580,6391,699,1537,3353,2630,529,2666
204,6962,538,10757,853,452,3320,2728,2122,1523
205,5938,600,7800,1850,984,5030,2763,4342,1849
206,7371,656,11138,3919,566,2119,3234,8640,3705
207,4937,643,8087,519,1012,3219,2439,766,1450
208,6470,516,10509,1245,903,4900,3128,1360,1217
209,5478,583,11460,2068,893,5938,3495,7852,1604
210,6672,583,10218,556,633,4505,3244,1164,2281
211,6453,498,8515,2586,1604,4579,2995,7978,3500
212,5338,638,13358,7850,2498,8625,2984,56745,3579
213,5690,601,14220,4106,1461,3514,3362,14224,1818
214,4463,554,7686,507,775,5561,2538,966,1873
215,5866,632,8568,1932,997,3215,3014,7087,2964
216,6432,648,20151,2530,625,3536,3029,7273,2268
217,5457,910,13135,2362,1533,6430,2646,6162,2394
218,7060,333,6750,489,1327,3798,2864,266,3095
219,7565,603,6689,384,1698,1944,2721,259,900
220,8119,554,7186,1623,1297,4459,2908,4843,1742
221,4912,726,8263,338,752,4083,2625,708,1451
222,5853,440,7128,2559,1008,5806,3069,3787,1977
223,5822,509,10173,1574,804,3299,2754,6987,1866
224,7413,457,8196,765,1671,5887,2976,2681,2881
225,6062,524,6760,812,568,2273,2491,804,852
226,5514,890,14000,1106,791,2238,2155,2769,2135
227,6083,536,6373,201,1344,2778,2500,755,2089
228,5187,617,6657,665,488,4399,2503,91,1148
229,4491,584,6248,593,591,1750,1701,155,1956
230,5154,586,9462,1117,744,4738,3058,480,1513
231,6029,536,6479,563,1472,2918,2914,1954,2160
232,4073,491,8388,1184,921,2967,2452,2294,1688
233,5638,630,8310,5158,1059,5903,3781,17270,1979
234,6415,536,8921,1584,1268,4729,2942,4573,2472
235,4247,463,5674,617,1169,1671,2554,373,793
236,5261,586,8099,3413,687,5616,3544,11069,2145
237,5483,482,7807,694,638,3759,3264,228,1420
238,6186,483,8100,834,823,5185,2973,2351,3366
239,4535,768,9912,1590,1504,5947,3343,5160,2532
240,8367,469,9966,596,475,2321,3026,165,1390
241,6746,488,9981,355,633,4166,2898,785,1670
242,5154,586,9274,2467,998,5474,3558,6152,2263
243,3459,500,9321,198,485,4546,2618,1985,3300
244,4646,497,6637,468,1181,3501,2653,1307,1619
245,4415,496,8943,931,1055,3558,2732,1171,2016
246,6405,647,8230,3476,981,6544,3455,5730,1606
247,5587,614,7614,1154,522,3120,3028,1108,1549
248,4459,664,8584,274,892,5727,2471,845,2424
249,5677,535,12449,615,1116,6767,2529,2210,2386
250,5326,664,8461,300,779,4714,1728,529,1204
251,5870,585,8343,2448,1076,6680,2940,5697,1943
252,4923,615,9754,2201,1475,3141,2596,5327,1918
253,5287,652,7476,1036,784,3872,2723,1263,2036
254,6099,308,9193,2966,437,4399,2134,769,1503
255,6304,536,8609,1969,894,5165,3582,6956,2659
256,4592,466,7584,969,1156,2987,2680,1026,933
257,5309,576,9855,1027,1363,5097,2793,4483,2306
258,3709,515,7368,1022,1068,3186,2772,1708,2059
259,5488,195,7235,603,343,4565,2502,1871,1572
260,5991,475,5589,223,969,2689,2927,879,1265
261,5800,537,7605,2850,1306,7119,3530,8896,2243
262,3835,716,8378,749,1014,4732,3278,691,1873
263,6309,644,11622,1232,490,3459,2729,3276,2234
264,5656,843,13838,352,1107,4160,2439,1004,3179
265,4942,541,9466,1631,969,6228,2340,5528,3900
266,7720,488,6321,236,1032,2938,2707,1301,1136
267,6873,398,6898,1337,1197,5387,2938,4295,1509
268,5489,903,14465,2416,1099,5489,2794,8818,3347
269,6063,910,17158,3726,1619,8299,3371,14226,4600
270,7270,850,16048,2117,1065,5224,2709,6446,1964
271,5821,855,15547,532,1026,5662,2719,2684,3300
272,5335,843,14303,1035,964,5010,2611,3748,1703
273,5703,732,12931,1052,912,3313,2722,3457,2255
274,7715,391,9560,801,939,3742,2626,817,2535
275,5591,542,6896,1084,1614,5958,2456,2262,2237
276,4907,575,6697,1219,372,3683,3230,1832,1386
277,5901,808,10183,2715,1170,6634,2710,9577,4800
278,4055,570,6697,700,384,2017,3022,52,1100
279,4765,442,8121,593,450,3458,2557,268,1316
280,6213,524,5722,394,1035,1922,2652,68,937
281,6585,508,6534,1445,1197,4401,2858,2826,1389
282,4648,385,6528,846,759,4316,2673,1393,1359
283,5204,276,7983,1041,556,6271,2651,465,1324
284,5056,545,5938,830,1038,5634,2874,2672,1819
285,4722,574,6927,497,869,5534,2774,2988,1517
286,5384,524,7882,1877,1225,6172,3078,1983,1536
287,5289,453,8039,710,1212,6159,3525,3466,1514
288,5932,544,6343,577,892,3828,2709,1634,1737
289,6158,648,23640,2610,835,3110,3029,7865,1729
290,4677,575,8405,612,540,2740,3169,1271,1200
291,3744,542,6578,505,418,1532,2672,147,1460
292,5672,625,8474,342,1395,4427,2155,1579,1630
293,4474,548,7670,1040,689,6951,3144,5080,2851
294,4887,808,7770,539,1162,4730,2546,4297,4000
295,6021,404,8029,370,1161,5530,2790,2181,1936
296,7256,440,7442,1189,1493,5588,3044,5040,2943
297,4353,557,5527,453,630,3550,3012,1226,1401
298,4772,467,5717,343,822,2537,2899,63,669
299,4534,518,7767,1738,998,5323,2852,4389,1952
300,5464,501,7110,1148,999,5348,2795,1632,1141
301,5772,636,10616,1372,1181,4786,3311,5029,1646
302,6147,589,8548,1259,1400,4397,2685,4889,3131
303,7115,530,7498,1581,1080,3758,2628,4248,2024
304,4900,470,6464,674,1014,4723,2390,1432,1090
305,7327,500,7298,672,955,3460,3283,404,631
306,5226,548,6744,391,400,4592,2970,858,1750
307,5819,821,10503,1079,964,4153,2498,2962,1559
308,4571,768,9015,517,752,3817,2332,1557,1464
309,7599,336,7143,260,1092,2407,2696,87,1410
310,5023,615,7295,807,1135,4133,2747,2097,1474
311,5563,543,7778,210,1132,3094,2128,511,2800
312,6259,412,6106,538,1166,3018,2867,1141,1248
313,6072,631,13724,4361,1317,8236,3635,21701,1578
314,5656,569,10024,1218,789,2434,2995,318,946
315,4407,347,7881,925,700,3351,2889,3000,1900
316,4300,308,7642,818,442,3496,2749,761,1654
317,7992,509,10512,375,1783,5201,3224,2888,3772
318,4740,542,6576,791,308,2450,3002,422,1271
319,6036,494,7061,806,1164,3933,2981,2987,1508
320,6805,456,6404,549,1179,2793,2747,599,1126
321,3288,558,7284,860,464,3097,2906,196,726
322,6174,597,7927,1445,1115,4532,3112,4545,1923
323,5390,564,6858,1099,1423,2904,2876,1077,2668
324,5040,562,8715,1805,680,3643,3299,1784,910
325,4986,535,6440,317,1106,3731,2491,996,2140
326,4946,540,8371,713,440,2267,2903,1022,842
327,3894,570,7021,1097,938,3374,2920,2797,1327
328,4694,608,7875,212,1179,2768,2387,122,918
