,Number_of_children_ever_born_num,Wifes_age_num,Wifes_religion_cat,Contraceptive_method_used_cat,Husbands_occupation_cat
420,3,37,1,2,1
421,4,44,1,2,3
422,2,32,1,2,1
423,6,25,1,2,3
424,7,42,1,2,3
425,2,30,0,2,1
426,4,39,1,2,1
427,2,26,1,2,3
428,3,30,1,2,3
429,4,38,0,2,1
430,1,23,1,2,1
431,1,18,1,2,3
432,3,25,1,2,2
433,2,37,1,2,3
434,1,20,1,2,3
435,7,45,1,2,1
436,2,28,1,2,3
437,3,33,1,2,2
438,2,28,1,2,3
439,1,30,1,2,3
440,4,32,1,2,2
441,7,48,1,2,2
442,2,46,1,2,1
443,2,32,0,2,1
444,10,49,1,2,1
445,6,33,1,2,3
446,3,39,1,2,1
447,5,35,0,2,1
448,3,36,0,2,1
449,1,20,1,2,2
450,1,23,1,2,3
451,2,26,1,2,1
452,1,25,1,2,3
453,1,31,1,2,1
454,2,36,1,2,2
455,2,32,1,2,3
456,3,36,1,2,1
457,3,40,1,2,1
458,4,46,1,2,1
459,8,42,0,2,1
460,4,39,1,2,1
461,2,34,1,2,1
462,3,36,1,2,1
463,3,37,1,2,1
464,4,36,0,2,1
465,2,38,1,2,1
466,1,27,0,2,2
467,8,37,1,2,1
468,1,24,1,2,4
469,8,42,1,2,1
470,3,31,0,2,4
471,2,34,1,2,3
472,4,34,1,2,3
473,4,36,0,2,1
474,8,47,1,2,1
475,3,34,1,2,1
476,6,44,0,2,1
477,1,21,1,2,1
478,6,42,1,2,1
479,4,44,1,2,2
480,1,19,1,2,2
481,7,35,1,2,2
482,1,24,1,2,3
483,7,32,0,2,1
484,2,31,1,2,3
485,11,47,1,2,2
486,6,38,1,2,3
487,4,40,1,2,1
488,4,35,1,2,3
489,3,26,1,2,3
490,3,23,1,2,3
491,6,40,0,2,1
492,3,37,1,2,1
493,5,39,1,2,2
494,2,25,1,2,2
495,4,48,0,2,1
496,3,31,1,2,1
497,1,26,0,2,2
498,5,44,1,2,1
499,1,29,1,2,2
500,6,36,1,2,2
501,2,29,1,2,1
502,7,37,1,2,3
503,3,28,1,2,1
504,6,40,1,2,1
505,4,33,1,2,1
506,1,22,1,2,1
507,5,35,1,2,1
508,3,32,0,2,3
509,5,35,1,2,1
510,2,29,1,2,1
511,2,23,1,2,3
512,2,35,1,2,1
513,3,36,1,2,2
514,2,32,1,2,1
515,4,30,1,2,3
516,4,36,0,2,2
517,3,33,1,2,3
518,5,33,0,2,3
519,13,43,1,2,2
520,6,35,1,2,2
521,5,38,1,2,1
522,4,25,1,2,3
523,2,26,1,2,3
524,1,24,1,2,3
525,1,22,1,2,4
526,5,33,1,2,2
527,7,45,1,2,3
528,2,29,1,2,1
529,7,47,1,2,2
530,6,36,1,2,3
531,8,45,1,2,2
532,6,47,1,2,1
533,2,43,1,2,2
534,7,44,1,2,3
535,2,24,1,2,3
536,2,28,1,2,1
537,5,34,1,2,3
538,4,31,1,2,1
539,3,27,1,2,1
540,1,27,1,2,3
541,1,26,1,2,1
542,7,36,1,2,2
543,4,35,0,2,3
544,6,38,1,2,3
545,7,44,1,2,2
546,1,25,1,2,1
547,2,25,0,2,1
548,4,41,1,2,1
549,5,41,1,2,1
550,1,24,1,2,1
551,3,33,1,2,3
552,3,29,1,2,3
553,4,47,1,2,1
554,4,28,1,2,1
555,1,21,1,2,3
556,6,32,1,2,3
557,2,30,1,2,1
558,5,37,1,2,3
559,4,29,1,2,3
560,3,38,1,2,1
561,11,49,1,2,1
562,5,41,1,2,1
563,5,43,1,2,3
564,10,47,1,2,3
565,1,22,1,2,1
566,1,27,0,2,1
567,2,34,0,2,2
568,4,42,1,2,2
569,3,39,0,2,1
570,3,36,0,2,2
571,1,21,1,2,2
572,4,36,0,2,2
573,1,25,1,2,4
574,4,41,0,2,2
575,4,32,0,2,2
576,4,41,0,2,2
577,3,43,0,2,1
578,3,35,1,2,2
579,2,24,1,2,1
580,6,43,1,2,1
581,7,48,0,2,1
582,2,28,1,2,1
583,1,24,1,2,1
584,3,42,1,2,1
585,3,39,1,2,1
586,1,24,1,2,1
587,5,33,1,2,2
588,2,29,1,2,3
589,5,44,1,2,1
590,1,17,1,2,2
591,3,35,1,2,2
592,5,32,1,2,1
593,2,27,1,2,1
594,4,44,1,2,1
595,5,42,1,2,1
596,6,40,1,2,1
597,3,44,1,2,1
598,5,33,1,2,2
599,3,35,0,2,3
600,2,31,0,2,1
601,3,37,0,2,3
602,3,45,0,2,2
603,2,26,0,2,1
604,2,40,0,2,3
605,1,30,0,2,2
606,3,36,0,2,3
607,3,33,0,2,2
608,5,41,0,2,2
609,6,45,0,2,2
610,6,48,0,2,2
611,3,35,0,2,3
612,4,37,0,2,2
613,3,46,0,2,1
614,4,38,0,2,3
615,7,30,1,2,2
616,7,42,1,2,1
617,6,35,1,2,3
618,6,34,1,2,3
619,4,37,1,2,1
620,6,38,1,2,1
621,2,30,1,2,2
622,4,46,1,2,1
623,3,31,0,2,2
624,6,41,0,2,1
625,7,41,1,2,2
626,2,32,0,2,2
627,4,44,1,2,1
628,4,39,0,2,1
629,5,39,1,2,1
630,4,45,1,2,1
631,3,33,1,2,1
632,3,39,0,2,1
633,3,44,1,2,1
634,6,34,1,2,3
635,5,33,1,2,3
636,8,34,1,2,2
637,5,27,1,2,2
638,8,47,1,2,3
639,3,25,1,2,1
640,5,24,1,2,1
641,4,41,1,2,1
642,4,29,1,3,3
643,5,27,1,3,3
644,5,40,1,3,1
645,6,30,1,3,3
646,1,24,1,3,1
647,2,36,1,3,1
648,1,17,1,3,3
649,4,28,1,3,2
650,1,27,1,3,1
651,1,21,1,3,3
652,4,30,1,3,2
653,16,48,1,3,1
654,3,29,1,3,3
655,2,29,1,3,3
656,2,20,1,3,1
657,1,28,1,3,3
658,5,32,1,3,2
659,1,27,1,3,3
660,1,25,1,3,3
661,3,43,1,3,1
662,2,35,1,3,2
663,1,30,1,3,1
664,3,29,1,3,4
665,8,33,1,3,3
666,5,37,1,3,2
667,3,27,1,3,4
668,3,33,1,3,2
669,6,35,1,3,3
670,2,20,1,3,2
671,3,26,1,3,3
672,2,24,1,3,3
673,3,45,1,3,3
674,4,34,1,3,1
675,13,49,1,3,1
676,5,33,1,3,1
677,8,33,1,3,3
678,3,24,1,3,1
679,4,30,1,3,2
680,4,27,1,3,2
681,1,23,1,3,2
682,4,35,1,3,1
683,1,35,0,3,1
684,2,40,0,3,1
685,1,29,1,3,3
686,3,33,1,3,3
687,6,36,0,3,1
688,4,36,0,3,1
689,1,41,1,3,3
690,3,38,1,3,3
691,3,29,1,3,3
692,1,19,1,3,1
693,2,34,1,3,2
694,3,26,1,3,3
695,1,22,1,3,2
696,7,42,1,3,2
697,2,27,1,3,3
698,2,27,1,3,1
699,1,39,1,3,2
700,1,21,1,3,3
701,7,36,1,3,3
702,5,29,1,3,1
703,4,29,1,3,2
704,2,22,1,3,2
705,1,20,1,3,2
706,4,33,1,3,2
707,3,27,1,3,2
708,3,25,1,3,1
709,2,25,1,3,3
710,4,32,1,3,3
711,2,39,1,3,1
712,3,31,1,3,2
713,4,26,1,3,3
714,7,30,1,3,3
715,5,43,1,3,3
716,4,34,1,3,3
717,3,43,1,3,1
718,3,32,0,3,1
719,5,41,1,3,1
720,3,32,0,3,1
721,4,46,1,3,1
722,3,40,1,3,1
723,1,21,1,3,2
724,3,32,1,3,1
725,1,25,0,3,3
726,1,24,1,3,1
727,1,21,1,3,3
728,1,22,1,3,3
729,4,32,1,3,1
730,2,30,1,3,2
731,2,25,1,3,2
732,6,31,0,3,3
733,1,19,1,3,2
734,7,33,1,3,2
735,2,24,1,3,3
736,3,19,1,3,2
737,5,27,1,3,3
738,2,32,0,3,1
739,2,32,1,3,1
740,5,29,1,3,3
741,1,23,1,3,2
742,7,34,1,3,2
743,1,27,1,3,3
744,4,37,1,3,3
745,4,26,1,3,2
746,7,31,1,3,3
747,11,44,1,3,1
748,4,35,1,3,1
749,2,23,1,3,3
750,2,24,1,3,1
751,2,24,1,3,1
752,3,39,1,3,2
753,4,33,1,3,3
754,2,24,1,3,2
755,4,35,1,3,1
756,6,35,1,3,1
757,2,34,1,3,3
758,3,48,1,3,2
759,1,28,1,3,1
760,1,26,1,3,3
761,8,43,1,3,1
762,5,28,1,3,2
763,3,22,1,3,2
764,3,26,1,3,3
765,4,30,1,3,3
766,5,38,1,3,2
767,8,44,1,3,2
768,1,25,0,3,1
769,3,34,1,3,1
770,3,26,1,3,3
771,2,20,1,3,1
772,2,39,0,3,1
773,4,27,1,3,3
774,2,32,1,3,3
775,8,48,1,3,1
776,4,39,1,3,3
777,3,37,1,3,1
778,2,33,0,3,1
779,3,32,1,3,1
780,2,25,1,3,1
781,3,37,1,3,2
782,4,40,1,3,1
783,6,38,1,3,2
784,4,36,1,3,1
785,3,27,1,3,2
786,2,22,1,3,3
787,2,22,1,3,2
788,3,30,1,3,2
789,2,20,1,3,3
790,2,34,1,3,1
791,5,31,1,3,3
792,3,30,1,3,3
793,5,44,1,3,1
794,3,24,1,3,2
795,2,19,1,3,1
796,5,28,1,3,2
797,1,27,0,3,1
798,3,29,1,3,2
799,3,37,1,3,2
800,8,32,1,3,2
801,1,21,1,3,4
802,7,33,1,3,3
803,2,23,1,3,3
804,5,36,1,3,3
805,3,33,1,3,3
806,2,35,1,3,1
807,4,25,1,3,3
808,4,29,1,3,2
809,1,23,1,3,2
810,1,19,1,3,2
811,6,35,1,3,2
812,3,25,1,3,3
813,6,40,1,3,1
814,1,17,1,3,2
815,3,25,1,3,3
816,1,24,1,3,3
817,1,23,1,3,3
818,3,25,1,3,3
819,4,30,1,3,3
820,3,31,1,3,4
821,2,26,1,3,3
822,2,28,1,3,2
823,3,30,1,3,3
824,5,29,1,3,1
825,4,24,1,3,3
826,2,26,1,3,1
827,3,25,1,3,3
828,3,35,1,3,1
829,1,22,1,3,2
830,1,19,1,3,2
831,5,29,1,3,2
832,2,21,1,3,3
833,1,21,1,3,3
834,9,41,1,3,2
835,3,37,1,3,2
836,3,27,1,3,3
837,2,26,1,3,2
838,6,37,1,3,3
839,3,25,1,3,2
840,3,32,1,3,2
841,4,34,1,3,3
842,2,23,1,3,2
843,2,28,1,3,3
844,1,24,1,3,3
845,4,32,1,3,2
846,3,22,1,3,3
847,1,25,1,3,2
848,2,25,1,3,2
849,3,38,1,3,2
850,2,33,1,3,3
851,8,41,1,3,1
852,4,29,1,3,3
853,1,22,1,3,1
854,6,29,1,3,3
855,3,26,1,3,3
856,3,28,1,3,3
857,1,27,0,3,3
858,2,29,1,3,3
859,2,24,1,3,3
860,3,29,1,3,3
861,7,38,1,3,3
862,2,23,1,3,3
863,1,20,1,3,3
864,4,32,1,3,3
865,2,25,1,3,3
866,3,26,1,3,3
867,3,23,1,3,3
868,3,23,1,3,3
869,5,28,1,3,2
870,3,22,1,3,3
871,4,28,1,3,3
872,3,26,1,3,3
873,2,26,1,3,3
874,3,24,1,3,3
875,3,29,1,3,1
876,4,29,1,3,1
877,5,42,1,3,1
878,2,27,1,3,3
879,5,35,1,3,1
880,1,21,1,3,3
881,1,21,1,3,3
882,1,22,1,3,3
883,4,28,1,3,3
884,1,22,0,3,1
885,1,23,1,3,3
886,2,28,0,3,2
887,3,30,0,3,2
888,3,25,1,3,3
889,4,33,1,3,2
890,6,33,1,3,3
891,2,30,0,3,3
892,1,22,1,3,3
893,2,38,0,3,3
894,2,35,0,3,3
895,4,34,0,3,3
896,2,39,0,3,3
897,4,47,1,3,1
898,2,38,1,3,1
899,5,43,1,3,1
900,1,21,1,3,2
901,2,30,1,3,1
902,2,27,1,3,1
903,1,22,0,3,3
904,3,25,1,3,2
905,2,22,1,3,3
906,4,28,1,3,2
907,2,25,1,3,2
908,2,26,1,3,3
909,3,31,1,3,3
910,4,32,1,3,3
911,6,35,1,3,3
912,5,24,1,3,3
913,2,28,1,3,1
914,3,36,0,3,2
915,5,47,1,3,1
916,2,26,1,3,1
917,2,22,0,3,3
918,2,30,1,3,4
919,5,41,1,3,1
920,1,19,1,3,3
921,2,45,0,3,3
922,5,35,1,3,2
923,1,21,1,3,3
924,6,32,0,3,2
925,5,32,0,3,3
926,6,46,0,3,3
927,6,41,1,3,3
928,3,36,0,3,3
929,3,37,0,3,3
930,4,37,0,3,2
931,3,35,0,3,3
932,4,29,1,3,3
933,2,28,0,3,2
934,4,46,0,3,1
935,3,34,0,3,2
936,2,43,0,3,3
937,3,28,0,3,3
938,3,28,1,3,2
939,6,34,1,3,2
940,4,27,1,3,3
941,6,36,1,3,3
942,0,17,1,3,3
943,1,21,1,3,3
944,1,25,1,3,3
945,2,23,1,3,3
946,1,25,1,3,3
947,4,35,1,3,4
948,4,32,1,3,3
949,5,37,1,3,4
950,4,31,1,3,3
951,3,25,1,3,3
952,4,26,1,3,2
953,2,39,1,3,2
954,2,21,1,3,2
955,9,35,1,3,3
956,1,20,1,3,3
957,5,40,1,3,3
958,7,41,0,3,2
959,8,36,1,3,1
960,3,40,0,3,3
961,3,32,1,3,1
962,4,24,1,3,2
963,1,20,0,3,2
964,4,32,1,3,1
965,3,22,1,3,3
966,4,30,1,3,2
967,3,31,1,3,1
968,5,35,1,3,1
969,2,38,1,3,3
970,1,31,1,3,1
971,2,25,1,3,2
972,2,30,1,3,1
973,2,22,1,3,3
974,3,31,1,3,1
975,3,29,1,3,3
976,3,29,1,3,3
977,3,38,0,3,3
978,2,22,1,3,2
979,3,45,1,3,1
980,3,26,1,3,3
981,3,37,0,3,3
982,3,36,0,3,2
983,2,33,1,3,2
984,3,32,1,3,1
985,4,35,0,3,1
986,1,25,1,3,1
987,3,31,1,3,4
988,5,25,1,3,2
989,5,26,1,3,2
990,3,23,1,3,2
991,3,28,1,3,1
992,3,34,0,3,3
993,9,46,1,3,3
994,1,25,1,3,1
995,3,21,1,3,3
996,4,25,1,3,3
997,6,28,1,3,2
998,11,36,1,3,1
999,9,46,1,3,3
1000,6,35,1,1,3
1001,11,41,1,1,2
1002,1,27,1,1,1
1003,0,25,1,1,3
1004,2,23,1,1,3
1005,1,48,1,1,3
1006,0,23,1,1,1
1007,2,31,1,1,3
1008,1,49,1,1,3
1009,2,42,1,1,1
1010,3,26,1,1,3
1011,1,21,1,1,3
1012,4,29,1,1,1
1013,12,38,1,1,2
1014,2,25,1,1,3
1015,0,22,1,1,3
1016,0,20,1,1,3
1017,1,35,1,1,1
1018,1,32,1,1,3
1019,3,38,1,1,1
1020,4,27,1,1,1
1021,1,41,1,1,2
1022,0,28,1,1,1
1023,1,23,1,1,3
1024,1,27,0,1,2
1025,2,33,0,1,1
1026,5,39,1,1,3
1027,5,41,0,1,2
1028,8,40,1,1,1
1029,10,43,1,1,3
1030,6,35,1,1,2
1031,0,32,1,1,3
1032,4,49,1,1,2
1033,4,47,1,1,3
1034,1,42,1,1,2
1035,4,48,0,1,1
1036,3,42,1,1,1
1037,2,37,1,1,1
1038,1,23,1,1,2
1039,0,24,1,1,2
1040,3,43,0,1,2
1041,2,24,1,1,3
1042,0,29,1,1,3
1043,0,45,0,1,2
1044,3,31,1,1,2
1045,9,44,1,1,1
1046,1,28,1,1,3
1047,1,28,0,1,2
1048,0,33,1,1,3
1049,6,43,1,1,1
1050,4,34,1,1,1
1051,2,36,1,1,2
1052,0,22,1,1,2
1053,8,35,1,1,3
1054,1,25,1,1,1
1055,8,43,1,1,2
1056,8,46,1,1,1
1057,2,27,1,1,1
1058,7,30,1,1,2
1059,1,25,1,1,3
1060,1,42,1,1,1
1061,1,30,1,1,3
1062,4,27,1,1,2
1063,11,45,1,1,2
1064,2,29,1,1,1
1065,1,36,1,1,3
1066,8,49,1,1,3
1067,7,47,1,1,2
1068,4,30,1,1,2
1069,2,24,1,1,3
1070,6,48,1,1,2
1071,2,47,1,1,2
1072,1,24,1,1,3
1073,5,48,1,1,2
1074,8,38,1,1,3
1075,0,45,1,1,1
1076,3,43,0,1,2
1077,5,33,1,1,3
1078,7,37,1,1,3
1079,6,36,1,1,2
1080,3,25,1,1,1
1081,6,49,0,1,1
1082,1,30,1,1,1
1083,5,35,1,1,1
1084,0,28,1,1,3
1085,0,30,1,1,3
1086,2,27,1,1,1
1087,8,45,1,1,2
1088,5,46,1,1,3
1089,0,28,1,1,4
1090,0,21,1,1,2
1091,2,20,1,1,3
1092,5,28,1,1,3
1093,1,25,1,1,2
1094,6,38,1,1,2
1095,1,20,1,1,3
1096,2,24,1,1,2
1097,1,39,1,1,2
1098,1,25,1,1,4
1099,4,23,1,1,3
1100,1,24,1,1,1
1101,3,26,1,1,1
1102,2,20,1,1,3
1103,1,31,1,1,3
1104,0,22,1,1,2
1105,6,36,1,1,2
1106,0,45,1,1,1
1107,7,47,1,1,2
1108,1,30,1,1,2
1109,3,35,1,1,1
1110,9,34,1,1,2
1111,1,28,1,1,1
1112,1,18,1,1,3
1113,2,25,1,1,3
1114,0,27,1,1,3
1115,1,21,1,1,3
1116,1,19,1,1,1
1117,0,26,1,1,3
1118,5,28,1,1,1
1119,4,38,1,1,2
1120,10,39,1,1,3
1121,6,45,1,1,3
1122,4,30,0,1,2
1123,2,47,1,1,3
1124,6,38,1,1,3
1125,5,42,1,1,2
1126,2,31,1,1,1
1127,2,44,1,1,3
1128,3,42,1,1,1
1129,2,28,1,1,1
1130,6,34,1,1,3
1131,7,45,1,1,1
1132,5,43,1,1,1
1133,0,28,1,1,3
1134,0,27,1,1,3
1135,1,26,1,1,4
1136,1,26,0,1,2
1137,4,37,1,1,2
1138,11,48,1,1,1
1139,12,47,1,1,3
1140,1,22,1,1,3
1141,1,48,0,1,1
1142,12,42,1,1,2
1143,3,32,1,1,1
