,Score_num,Occasion_cat,Judges_cat,Interval_cat,Sittings_cat,Position_cat,Squares_cat,Rows_cat,Columns_cat,Halfplot_cat,Trellis_cat,Method_cat
78,15.5,1,2,2,4,3,1,3,4,2,4,2
79,16.0,1,2,2,4,4,1,3,4,1,4,1
80,16.5,1,2,3,1,1,1,1,2,1,4,1
81,15.5,1,2,3,1,2,1,1,2,2,4,2
82,16.0,1,2,3,1,3,1,1,2,1,4,1
83,16.0,1,2,3,1,4,1,1,2,2,4,2
84,16.0,1,2,3,2,1,1,1,1,1,2,1
85,15.0,1,2,3,2,2,1,1,1,1,2,1
86,16.0,1,2,3,2,3,1,1,1,2,2,2
87,15.5,1,2,3,2,4,1,1,1,2,2,2
88,16.0,1,2,3,3,1,1,1,3,1,1,1
89,17.0,1,2,3,3,2,1,1,3,2,1,2
90,16.5,1,2,3,3,3,1,1,3,2,1,2
91,15.5,1,2,3,3,4,1,1,3,1,1,1
92,16.5,1,2,3,4,1,1,1,4,1,3,1
93,17.0,1,2,3,4,2,1,1,4,1,3,1
94,16.5,1,2,3,4,3,1,1,4,2,3,2
95,16.0,1,2,3,4,4,1,1,4,2,3,2
96,14.5,1,3,1,1,1,1,1,1,2,2,2
97,15.0,1,3,1,1,2,1,1,1,1,2,1
98,16.5,1,3,1,1,3,1,1,1,1,2,1
99,16.5,1,3,1,1,4,1,1,1,2,2,2
100,15.0,1,3,1,2,1,1,1,3,2,1,2
101,14.5,1,3,1,2,2,1,1,3,2,1,2
102,15.0,1,3,1,2,3,1,1,3,1,1,1
103,16.5,1,3,1,2,4,1,1,3,1,1,1
104,16.0,1,3,1,3,1,1,1,4,2,3,2
105,15.5,1,3,1,3,2,1,1,4,2,3,2
106,15.0,1,3,1,3,3,1,1,4,1,3,1
107,15.5,1,3,1,3,4,1,1,4,1,3,1
108,16.0,1,3,1,4,1,1,1,2,2,4,2
109,16.0,1,3,1,4,2,1,1,2,1,4,1
110,15.0,1,3,1,4,3,1,1,2,2,4,2
111,14.0,1,3,1,4,4,1,1,2,1,4,1
112,16.5,1,3,2,1,1,1,2,2,1,2,1
113,14.5,1,3,2,1,2,1,2,2,2,2,2
114,16.0,1,3,2,1,3,1,2,2,1,2,1
115,15.5,1,3,2,1,4,1,2,2,2,2,2
116,15.5,1,3,2,2,1,1,2,1,2,4,2
117,15.5,1,3,2,2,2,1,2,1,2,4,2
118,16.0,1,3,2,2,3,1,2,1,1,4,1
119,15.5,1,3,2,2,4,1,2,1,1,4,1
120,16.0,1,3,2,3,1,1,2,3,2,3,2
121,16.5,1,3,2,3,2,1,2,3,1,3,1
122,17.0,1,3,2,3,3,1,2,3,2,3,2
123,17.0,1,3,2,3,4,1,2,3,1,3,1
124,16.5,1,3,2,4,1,1,2,4,2,1,2
125,15.0,1,3,2,4,2,1,2,4,1,1,1
126,17.0,1,3,2,4,3,1,2,4,2,1,2
127,17.5,1,3,2,4,4,1,2,4,1,1,1
128,15.5,1,3,3,1,1,1,3,2,2,1,2
129,16.5,1,3,3,1,2,1,3,2,2,1,2
130,15.0,1,3,3,1,3,1,3,2,1,1,1
131,15.0,1,3,3,1,4,1,3,2,1,1,1
132,16.0,1,3,3,2,1,1,3,1,2,3,2
133,15.5,1,3,3,2,2,1,3,1,1,3,1
134,14.5,1,3,3,2,3,1,3,1,2,3,2
135,16.0,1,3,3,2,4,1,3,1,1,3,1
136,14.5,1,3,3,3,1,1,3,3,2,2,2
137,15.5,1,3,3,3,2,1,3,3,1,2,1
138,16.0,1,3,3,3,3,1,3,3,1,2,1
139,15.5,1,3,3,3,4,1,3,3,2,2,2
140,15.5,1,3,3,4,1,1,3,4,2,4,2
141,15.5,1,3,3,4,2,1,3,4,1,4,1
142,15.5,1,3,3,4,3,1,3,4,2,4,2
143,16.0,1,3,3,4,4,1,3,4,1,4,1
144,14.5,1,4,1,1,1,1,3,1,2,3,2
145,14.0,1,4,1,1,2,1,3,1,2,3,2
146,14.0,1,4,1,1,3,1,3,1,1,3,1
147,15.0,1,4,1,1,4,1,3,1,1,3,1
148,14.5,1,4,1,2,1,1,3,3,1,2,1
149,12.5,1,4,1,2,2,1,3,3,1,2,1
150,12.5,1,4,1,2,3,1,3,3,2,2,2
151,14.5,1,4,1,2,4,1,3,3,2,2,2
152,13.0,1,4,1,3,1,1,3,4,2,4,2
153,13.5,1,4,1,3,2,1,3,4,1,4,1
154,13.0,1,4,1,3,3,1,3,4,1,4,1
155,13.5,1,4,1,3,4,1,3,4,2,4,2
156,14.0,1,4,1,4,1,1,3,2,2,1,2
157,14.0,1,4,1,4,2,1,3,2,2,1,2
158,13.5,1,4,1,4,3,1,3,2,1,1,1
159,13.0,1,4,1,4,4,1,3,2,1,1,1
160,14.5,1,4,2,1,1,1,1,2,1,4,1
161,14.5,1,4,2,1,2,1,1,2,2,4,2
162,15.0,1,4,2,1,3,1,1,2,1,4,1
163,15.5,1,4,2,1,4,1,1,2,2,4,2
164,15.0,1,4,2,2,1,1,1,1,1,2,1
165,14.0,1,4,2,2,2,1,1,1,2,2,2
166,15.0,1,4,2,2,3,1,1,1,2,2,2
167,14.5,1,4,2,2,4,1,1,1,1,2,1
168,14.0,1,4,2,3,1,1,1,3,2,1,2
169,15.0,1,4,2,3,2,1,1,3,1,1,1
170,14.5,1,4,2,3,3,1,1,3,2,1,2
171,14.5,1,4,2,3,4,1,1,3,1,1,1
172,14.5,1,4,2,4,1,1,1,4,1,3,1
173,15.5,1,4,2,4,2,1,1,4,2,3,2
174,15.0,1,4,2,4,3,1,1,4,2,3,2
175,15.0,1,4,2,4,4,1,1,4,1,3,1
176,15.0,1,4,3,1,1,1,2,2,2,2,2
177,15.0,1,4,3,1,2,1,2,2,1,2,1
178,14.5,1,4,3,1,3,1,2,2,1,2,1
179,14.5,1,4,3,1,4,1,2,2,2,2,2
180,15.5,1,4,3,2,1,1,2,1,1,4,1
181,14.5,1,4,3,2,2,1,2,1,1,4,1
182,15.0,1,4,3,2,3,1,2,1,2,4,2
183,14.5,1,4,3,2,4,1,2,1,2,4,2
184,15.5,1,4,3,3,1,1,2,3,1,3,1
185,15.0,1,4,3,3,2,1,2,3,2,3,2
186,15.5,1,4,3,3,3,1,2,3,1,3,1
187,16.0,1,4,3,3,4,1,2,3,2,3,2
188,15.5,1,4,3,4,1,1,2,4,2,1,2
189,16.5,1,4,3,4,2,1,2,4,1,1,1
190,15.0,1,4,3,4,3,1,2,4,2,1,2
191,15.5,1,4,3,4,4,1,2,4,1,1,1
192,15.5,1,5,1,1,1,1,2,3,1,3,1
193,16.0,1,5,1,1,2,1,2,3,2,3,2
194,15.5,1,5,1,1,3,1,2,3,1,3,1
195,16.0,1,5,1,1,4,1,2,3,2,3,2
196,16.0,1,5,1,2,1,1,2,1,2,4,2
197,15.5,1,5,1,2,2,1,2,1,1,4,1
198,15.5,1,5,1,2,3,1,2,1,1,4,1
199,15.5,1,5,1,2,4,1,2,1,2,4,2
200,14.5,1,5,1,3,1,1,2,2,2,2,2
201,16.0,1,5,1,3,2,1,2,2,1,2,1
202,15.5,1,5,1,3,3,1,2,2,2,2,2
203,14.5,1,5,1,3,4,1,2,2,1,2,1
204,15.5,1,5,1,4,1,1,2,4,2,1,2
205,14.0,1,5,1,4,2,1,2,4,1,1,1
206,16.0,1,5,1,4,3,1,2,4,2,1,2
207,16.5,1,5,1,4,4,1,2,4,1,1,1
208,13.5,1,5,2,1,1,1,3,3,2,2,2
209,13.5,1,5,2,1,2,1,3,3,1,2,1
210,14.5,1,5,2,1,3,1,3,3,1,2,1
211,15.0,1,5,2,1,4,1,3,3,2,2,2
212,14.5,1,5,2,2,1,1,3,4,1,4,1
213,14.0,1,5,2,2,2,1,3,4,2,4,2
214,14.0,1,5,2,2,3,1,3,4,2,4,2
215,14.5,1,5,2,2,4,1,3,4,1,4,1
216,14.5,1,5,2,3,1,1,3,2,2,1,2
217,14.5,1,5,2,3,2,1,3,2,1,1,1
218,13.5,1,5,2,3,3,1,3,2,1,1,1
219,15.5,1,5,2,3,4,1,3,2,2,1,2
220,15.0,1,5,2,4,1,1,3,1,2,3,2
221,15.0,1,5,2,4,2,1,3,1,2,3,2
222,15.0,1,5,2,4,3,1,3,1,1,3,1
223,13.5,1,5,2,4,4,1,3,1,1,3,1
224,14.0,1,5,3,1,1,1,1,1,1,2,1
225,14.0,1,5,3,1,2,1,1,1,1,2,1
226,14.5,1,5,3,1,3,1,1,1,2,2,2
227,14.0,1,5,3,1,4,1,1,1,2,2,2
228,15.5,1,5,3,2,1,1,1,2,2,4,2
229,14.5,1,5,3,2,2,1,1,2,2,4,2
230,14.5,1,5,3,2,3,1,1,2,1,4,1
231,16.0,1,5,3,2,4,1,1,2,1,4,1
232,15.0,1,5,3,3,1,1,1,4,2,3,2
233,15.0,1,5,3,3,2,1,1,4,1,3,1
234,14.5,1,5,3,3,3,1,1,4,2,3,2
235,15.0,1,5,3,3,4,1,1,4,1,3,1
236,15.0,1,5,3,4,1,1,1,3,1,1,1
237,15.5,1,5,3,4,2,1,1,3,2,1,2
238,16.0,1,5,3,4,3,1,1,3,2,1,2
239,15.5,1,5,3,4,4,1,1,3,1,1,1
240,14.5,1,6,1,1,1,1,1,3,2,1,2
241,15.0,1,6,1,1,2,1,1,3,1,1,1
242,15.0,1,6,1,1,3,1,1,3,2,1,2
243,15.5,1,6,1,1,4,1,1,3,1,1,1
244,14.5,1,6,1,2,1,1,1,1,1,2,1
245,14.0,1,6,1,2,2,1,1,1,2,2,2
246,14.5,1,6,1,2,3,1,1,1,1,2,1
247,13.5,1,6,1,2,4,1,1,1,2,2,2
248,15.0,1,6,1,3,1,1,1,2,1,4,1
249,14.0,1,6,1,3,2,1,1,2,1,4,1
250,14.5,1,6,1,3,3,1,1,2,2,4,2
251,13.0,1,6,1,3,4,1,1,2,2,4,2
252,15.0,1,6,1,4,1,1,1,4,1,3,1
253,14.5,1,6,1,4,2,1,1,4,2,3,2
254,15.0,1,6,1,4,3,1,1,4,1,3,1
255,14.0,1,6,1,4,4,1,1,4,2,3,2
256,15.0,1,6,2,1,1,1,2,3,2,3,2
257,15.0,1,6,2,1,2,1,2,3,1,3,1
258,15.5,1,6,2,1,3,1,2,3,2,3,2
259,15.5,1,6,2,1,4,1,2,3,1,3,1
260,15.0,1,6,2,2,1,1,2,4,2,1,2
261,14.5,1,6,2,2,2,1,2,4,2,1,2
262,15.5,1,6,2,2,3,1,2,4,1,1,1
263,13.5,1,6,2,2,4,1,2,4,1,1,1
264,13.5,1,6,2,3,1,1,2,2,2,2,2
265,15.5,1,6,2,3,2,1,2,2,1,2,1
266,14.5,1,6,2,3,3,1,2,2,1,2,1
267,15.5,1,6,2,3,4,1,2,2,2,2,2
268,14.0,1,6,2,4,1,1,2,1,1,4,1
269,13.5,1,6,2,4,2,1,2,1,1,4,1
270,15.5,1,6,2,4,3,1,2,1,2,4,2
271,16.0,1,6,2,4,4,1,2,1,2,4,2
272,15.0,1,6,3,1,1,1,3,1,2,3,2
273,14.0,1,6,3,1,2,1,3,1,1,3,1
274,14.5,1,6,3,1,3,1,3,1,1,3,1
275,15.0,1,6,3,1,4,1,3,1,2,3,2
276,14.5,1,6,3,2,1,1,3,2,2,1,2
277,15.0,1,6,3,2,2,1,3,2,2,1,2
278,15.0,1,6,3,2,3,1,3,2,1,1,1
279,14.0,1,6,3,2,4,1,3,2,1,1,1
280,14.5,1,6,3,3,1,1,3,4,2,4,2
281,15.0,1,6,3,3,2,1,3,4,1,4,1
282,14.5,1,6,3,3,3,1,3,4,1,4,1
283,15.0,1,6,3,3,4,1,3,4,2,4,2
284,14.0,1,6,3,4,1,1,3,3,2,2,2
285,14.5,1,6,3,4,2,1,3,3,1,2,1
286,13.0,1,6,3,4,3,1,3,3,2,2,2
287,14.5,1,6,3,4,4,1,3,3,1,2,1
288,15.0,2,1,1,1,1,2,3,4,2,2,2
289,13.5,2,1,1,1,2,2,3,4,2,2,2
290,13.5,2,1,1,1,3,2,3,4,1,2,1
291,14.0,2,1,1,1,4,2,3,4,1,2,1
292,14.0,2,1,1,2,1,2,3,1,2,1,2
293,15.5,2,1,1,2,2,2,3,1,2,1,2
294,14.5,2,1,1,2,3,2,3,1,1,1,1
295,14.0,2,1,1,2,4,2,3,1,1,1,1
296,14.5,2,1,1,3,1,2,3,2,1,4,1
297,15.0,2,1,1,3,2,2,3,2,2,4,2
298,15.5,2,1,1,3,3,2,3,2,1,4,1
299,15.0,2,1,1,3,4,2,3,2,2,4,2
300,16.0,2,1,1,4,1,2,3,3,1,3,1
301,14.0,2,1,1,4,2,2,3,3,2,3,2
302,15.0,2,1,1,4,3,2,3,3,2,3,2
303,15.0,2,1,1,4,4,2,3,3,1,3,1
304,15.5,2,1,2,1,1,2,2,4,1,3,1
305,14.5,2,1,2,1,2,2,2,4,2,3,2
306,16.5,2,1,2,1,3,2,2,4,1,3,1
307,17.5,2,1,2,1,4,2,2,4,2,3,2
308,15.5,2,1,2,2,1,2,2,1,1,2,1
309,16.0,2,1,2,2,2,2,2,1,2,2,2
310,15.0,2,1,2,2,3,2,2,1,2,2,2
311,16.0,2,1,2,2,4,2,2,1,1,2,1
312,15.5,2,1,2,3,1,2,2,3,2,4,2
313,15.0,2,1,2,3,2,2,2,3,2,4,2
314,16.0,2,1,2,3,3,2,2,3,1,4,1
315,16.0,2,1,2,3,4,2,2,3,1,4,1
316,16.0,2,1,2,4,1,2,2,2,2,1,2
317,15.0,2,1,2,4,2,2,2,2,1,1,1
318,16.0,2,1,2,4,3,2,2,2,2,1,2
319,15.5,2,1,2,4,4,2,2,2,1,1,1
320,15.0,2,1,3,1,1,2,1,3,2,2,2
321,15.5,2,1,3,1,2,2,1,3,1,2,1
322,15.5,2,1,3,1,3,2,1,3,1,2,1
323,15.0,2,1,3,1,4,2,1,3,2,2,2
324,16.0,2,1,3,2,1,2,1,2,1,3,1
325,15.0,2,1,3,2,2,2,1,2,2,3,2
326,14.0,2,1,3,2,3,2,1,2,2,3,2
327,15.0,2,1,3,2,4,2,1,2,1,3,1
328,14.5,2,1,3,3,1,2,1,1,2,4,2
329,14.5,2,1,3,3,2,2,1,1,1,4,1
330,14.5,2,1,3,3,3,2,1,1,1,4,1
331,16.0,2,1,3,3,4,2,1,1,2,4,2
332,15.5,2,1,3,4,1,2,1,4,2,1,2
333,14.5,2,1,3,4,2,2,1,4,1,1,1
334,15.5,2,1,3,4,3,2,1,4,2,1,2
335,14.5,2,1,3,4,4,2,1,4,1,1,1
336,15.0,2,2,1,1,1,2,1,3,1,2,1
337,15.0,2,2,1,1,2,2,1,3,2,2,2
338,14.0,2,2,1,1,3,2,1,3,1,2,1
339,16.0,2,2,1,1,4,2,1,3,2,2,2
340,15.0,2,2,1,2,1,2,1,2,2,3,2
341,15.0,2,2,1,2,2,2,1,2,1,3,1
342,16.5,2,2,1,2,3,2,1,2,1,3,1
343,16.0,2,2,1,2,4,2,1,2,2,3,2
344,15.0,2,2,1,3,1,2,1,1,2,4,2
345,14.5,2,2,1,3,2,2,1,1,1,4,1
346,15.5,2,2,1,3,3,2,1,1,1,4,1
347,15.5,2,2,1,3,4,2,1,1,2,4,2
348,14.5,2,2,1,4,1,2,1,4,1,1,1
349,15.0,2,2,1,4,2,2,1,4,2,1,2
350,14.5,2,2,1,4,3,2,1,4,1,1,1
351,15.0,2,2,1,4,4,2,1,4,2,1,2
352,15.0,2,2,2,1,1,2,3,1,1,1,1
353,15.0,2,2,2,1,2,2,3,1,2,1,2
354,14.5,2,2,2,1,3,2,3,1,1,1,1
355,14.5,2,2,2,1,4,2,3,1,2,1,2
356,14.5,2,2,2,2,1,2,3,4,2,2,2
357,14.0,2,2,2,2,2,2,3,4,2,2,2
358,14.5,2,2,2,2,3,2,3,4,1,2,1
359,14.0,2,2,2,2,4,2,3,4,1,2,1
360,14.0,2,2,2,3,1,2,3,2,2,4,2
361,14.5,2,2,2,3,2,2,3,2,1,4,1
362,15.5,2,2,2,3,3,2,3,2,2,4,2
363,15.0,2,2,2,3,4,2,3,2,1,4,1
364,15.0,2,2,2,4,1,2,3,3,1,3,1
365,14.0,2,2,2,4,2,2,3,3,2,3,2
366,15.5,2,2,2,4,3,2,3,3,1,3,1
367,14.5,2,2,2,4,4,2,3,3,2,3,2
368,14.5,2,2,3,1,1,2,2,1,2,2,2
369,14.0,2,2,3,1,2,2,2,1,1,2,1
370,15.5,2,2,3,1,3,2,2,1,2,2,2
371,15.0,2,2,3,1,4,2,2,1,1,2,1
372,15.5,2,2,3,2,1,2,2,4,1,3,1
373,15.5,2,2,3,2,2,2,2,4,2,3,2
374,14.0,2,2,3,2,3,2,2,4,1,3,1
375,14.5,2,2,3,2,4,2,2,4,2,3,2
376,15.0,2,2,3,3,1,2,2,3,2,4,2
377,15.0,2,2,3,3,2,2,2,3,1,4,1
378,14.0,2,2,3,3,3,2,2,3,1,4,1
379,15.5,2,2,3,3,4,2,2,3,2,4,2
380,14.5,2,2,3,4,1,2,2,2,1,1,1
381,15.5,2,2,3,4,2,2,2,2,2,1,2
382,15.0,2,2,3,4,3,2,2,2,2,1,2
383,14.0,2,2,3,4,4,2,2,2,1,1,1
384,14.5,2,3,1,1,1,2,2,3,2,4,2
385,16.0,2,3,1,1,2,2,2,3,2,4,2
386,15.0,2,3,1,1,3,2,2,3,1,4,1
387,14.5,2,3,1,1,4,2,2,3,1,4,1
388,15.0,2,3,1,2,1,2,2,2,2,1,2
389,14.5,2,3,1,2,2,2,2,2,1,1,1
390,15.0,2,3,1,2,3,2,2,2,1,1,1
391,15.0,2,3,1,2,4,2,2,2,2,1,2
392,14.5,2,3,1,3,1,2,2,1,2,2,2
393,14.5,2,3,1,3,2,2,2,1,1,2,1
394,15.5,2,3,1,3,3,2,2,1,1,2,1
395,14.5,2,3,1,3,4,2,2,1,2,2,2
396,16.5,2,3,1,4,1,2,2,4,2,3,2
397,14.5,2,3,1,4,2,2,2,4,1,3,1
398,15.5,2,3,1,4,3,2,2,4,2,3,2
399,15.0,2,3,1,4,4,2,2,4,1,3,1
400,15.5,2,3,2,1,1,2,1,1,2,4,2
401,15.0,2,3,2,1,2,2,1,1,2,4,2
402,15.5,2,3,2,1,3,2,1,1,1,4,1
403,14.5,2,3,2,1,4,2,1,1,1,4,1
404,14.5,2,3,2,2,1,2,1,4,1,1,1
405,15.5,2,3,2,2,2,2,1,4,2,1,2
406,15.0,2,3,2,2,3,2,1,4,2,1,2
407,15.0,2,3,2,2,4,2,1,4,1,1,1
408,15.0,2,3,2,3,1,2,1,2,1,3,1
409,14.5,2,3,2,3,2,2,1,2,2,3,2
410,15.0,2,3,2,3,3,2,1,2,2,3,2
411,15.0,2,3,2,3,4,2,1,2,1,3,1
412,14.0,2,3,2,4,1,2,1,3,1,2,1
413,14.0,2,3,2,4,2,2,1,3,2,2,2
414,15.0,2,3,2,4,3,2,1,3,2,2,2
415,15.5,2,3,2,4,4,2,1,3,1,2,1
416,14.5,2,3,3,1,1,2,3,1,1,1,1
417,14.0,2,3,3,1,2,2,3,1,2,1,2
418,14.5,2,3,3,1,3,2,3,1,2,1,2
419,14.0,2,3,3,1,4,2,3,1,1,1,1
420,15.5,2,3,3,2,1,2,3,4,1,2,1
421,14.5,2,3,3,2,2,2,3,4,2,2,2
422,15.0,2,3,3,2,3,2,3,4,2,2,2
423,14.0,2,3,3,2,4,2,3,4,1,2,1
424,16.0,2,3,3,3,1,2,3,3,1,3,1
425,15.0,2,3,3,3,2,2,3,3,2,3,2
426,14.5,2,3,3,3,3,2,3,3,1,3,1
427,14.5,2,3,3,3,4,2,3,3,2,3,2
428,15.0,2,3,3,4,1,2,3,2,1,4,1
429,15.0,2,3,3,4,2,2,3,2,2,4,2
430,14.5,2,3,3,4,3,2,3,2,2,4,2
431,14.0,2,3,3,4,4,2,3,2,1,4,1
432,16.0,2,4,1,1,1,2,3,3,2,3,2
433,16.0,2,4,1,1,2,2,3,3,1,3,1
434,14.5,2,4,1,1,3,2,3,3,1,3,1
435,14.5,2,4,1,1,4,2,3,3,2,3,2
436,15.0,2,4,1,2,1,2,3,2,1,4,1
437,15.5,2,4,1,2,2,2,3,2,2,4,2
438,15.5,2,4,1,2,3,2,3,2,2,4,2
439,16.0,2,4,1,2,4,2,3,2,1,4,1
440,16.0,2,4,1,3,1,2,3,1,1,1,1
441,15.0,2,4,1,3,2,2,3,1,2,1,2
442,15.0,2,4,1,3,3,2,3,1,2,1,2
443,15.0,2,4,1,3,4,2,3,1,1,1,1
444,16.0,2,4,1,4,1,2,3,4,1,2,1
445,14.0,2,4,1,4,2,2,3,4,2,2,2
446,15.5,2,4,1,4,3,2,3,4,1,2,1
447,14.5,2,4,1,4,4,2,3,4,2,2,2
448,15.0,2,4,2,1,1,2,2,1,1,2,1
449,16.0,2,4,2,1,2,2,2,1,1,2,1
450,16.0,2,4,2,1,3,2,2,1,2,2,2
451,15.5,2,4,2,1,4,2,2,1,2,2,2
452,17.5,2,4,2,2,1,2,2,4,2,3,2
453,16.0,2,4,2,2,2,2,2,4,1,3,1
454,16.5,2,4,2,2,3,2,2,4,1,3,1
455,17.0,2,4,2,2,4,2,2,4,2,3,2
456,16.5,2,4,2,3,1,2,2,2,2,1,2
457,15.5,2,4,2,3,2,2,2,2,1,1,1
458,15.5,2,4,2,3,3,2,2,2,2,1,2
459,15.5,2,4,2,3,4,2,2,2,1,1,1
460,15.5,2,4,2,4,1,2,2,3,2,4,2
461,15.0,2,4,2,4,2,2,2,3,2,4,2
462,15.5,2,4,2,4,3,2,2,3,1,4,1
463,15.5,2,4,2,4,4,2,2,3,1,4,1
464,14.5,2,4,3,1,1,2,1,1,2,4,2
465,14.0,2,4,3,1,2,2,1,1,1,4,1
466,15.0,2,4,3,1,3,2,1,1,2,4,2
467,14.5,2,4,3,1,4,2,1,1,1,4,1
468,15.5,2,4,3,2,1,2,1,4,2,1,2
469,14.5,2,4,3,2,2,2,1,4,1,1,1
470,15.0,2,4,3,2,3,2,1,4,2,1,2
471,13.5,2,4,3,2,4,2,1,4,1,1,1
472,13.5,2,4,3,3,1,2,1,3,2,2,2
473,14.5,2,4,3,3,2,2,1,3,1,2,1
474,15.5,2,4,3,3,3,2,1,3,1,2,1
475,13.0,2,4,3,3,4,2,1,3,2,2,2
476,14.0,2,4,3,4,1,2,1,2,2,3,2
477,14.5,2,4,3,4,2,2,1,2,1,3,1
478,15.0,2,4,3,4,3,2,1,2,1,3,1
479,14.5,2,4,3,4,4,2,1,2,2,3,2
480,14.0,2,5,1,1,1,2,1,4,1,1,1
481,15.5,2,5,1,1,2,2,1,4,2,1,2
482,14.0,2,5,1,1,3,2,1,4,1,1,1
483,16.0,2,5,1,1,4,2,1,4,2,1,2
484,15.0,2,5,1,2,1,2,1,1,2,4,2
485,15.5,2,5,1,2,2,2,1,1,1,4,1
486,15.0,2,5,1,2,3,2,1,1,2,4,2
487,16.5,2,5,1,2,4,2,1,1,1,4,1
488,15.0,2,5,1,3,1,2,1,2,1,3,1
489,15.5,2,5,1,3,2,2,1,2,2,3,2
490,15.5,2,5,1,3,3,2,1,2,1,3,1
491,16.0,2,5,1,3,4,2,1,2,2,3,2
492,14.5,2,5,1,4,1,2,1,3,2,2,2
