,bore_num,curb-weight_num,fuel-system_cat,fuel-type_cat,peak-rpm_num,length_num,stroke_num,compression-ratio_num,aspiration_cat,make_cat,horsepower_num,body-style_cat,engine-type_cat
99,3.33,2324.0,2bbl,gas,5200.0,173.4,3.47,8.5,std,nissan,97.0,hatchback,ohc
100,3.33,2302.0,2bbl,gas,5200.0,173.4,3.47,8.5,std,nissan,97.0,sedan,ohc
101,3.43,3095.0,mpfi,gas,5200.0,181.7,3.27,9.0,std,nissan,152.0,sedan,ohcv
102,3.43,3296.0,mpfi,gas,5200.0,184.6,3.27,9.0,std,nissan,152.0,wagon,ohcv
103,3.43,3060.0,mpfi,gas,5200.0,184.6,3.27,9.0,std,nissan,152.0,sedan,ohcv
104,3.43,3071.0,mpfi,gas,5200.0,170.7,3.27,9.0,std,nissan,160.0,hatchback,ohcv
105,3.43,3139.0,mpfi,gas,5200.0,170.7,3.27,7.8,turbo,nissan,200.0,hatchback,ohcv
106,3.43,3139.0,mpfi,gas,5200.0,178.5,3.27,9.0,std,nissan,160.0,hatchback,ohcv
107,3.46,3020.0,mpfi,gas,5000.0,186.7,3.19,8.4,std,peugot,97.0,sedan,l
108,3.7,3197.0,idi,diesel,4150.0,186.7,3.52,21.0,turbo,peugot,95.0,sedan,l
109,3.46,3230.0,mpfi,gas,5000.0,198.9,3.19,8.4,std,peugot,97.0,wagon,l
110,3.7,3430.0,idi,diesel,4150.0,198.9,3.52,21.0,turbo,peugot,95.0,wagon,l
111,3.46,3075.0,mpfi,gas,5000.0,186.7,2.19,8.4,std,peugot,95.0,sedan,l
112,3.7,3252.0,idi,diesel,4150.0,186.7,3.52,21.0,turbo,peugot,95.0,sedan,l
113,3.46,3285.0,mpfi,gas,5000.0,198.9,2.19,8.4,std,peugot,95.0,wagon,l
114,3.7,3485.0,idi,diesel,4150.0,198.9,3.52,21.0,turbo,peugot,95.0,wagon,l
115,3.46,3075.0,mpfi,gas,5000.0,186.7,3.19,8.4,std,peugot,97.0,sedan,l
116,3.7,3252.0,idi,diesel,4150.0,186.7,3.52,21.0,turbo,peugot,95.0,sedan,l
117,3.61,3130.0,mpfi,gas,5600.0,186.7,3.21,7.0,turbo,peugot,142.0,sedan,l
118,2.97,1918.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,plymouth,68.0,hatchback,ohc
119,3.03,2128.0,spdi,gas,5500.0,157.3,3.39,7.6,turbo,plymouth,102.0,hatchback,ohc
120,2.97,1967.0,2bbl,gas,5500.0,157.3,3.23,9.4,std,plymouth,68.0,hatchback,ohc
121,2.97,1989.0,2bbl,gas,5500.0,167.3,3.23,9.4,std,plymouth,68.0,sedan,ohc
122,2.97,2191.0,2bbl,gas,5500.0,167.3,3.23,9.4,std,plymouth,68.0,sedan,ohc
123,3.35,2535.0,2bbl,gas,5000.0,174.6,3.46,8.5,std,plymouth,88.0,wagon,ohc
124,3.59,2818.0,spdi,gas,5000.0,173.2,3.86,7.0,turbo,plymouth,145.0,hatchback,ohc
125,3.94,2778.0,mpfi,gas,5500.0,168.9,3.11,9.5,std,porsche,143.0,hatchback,ohc
126,3.74,2756.0,mpfi,gas,5900.0,168.9,2.9,9.5,std,porsche,207.0,hardtop,ohcf
127,3.74,2756.0,mpfi,gas,5900.0,168.9,2.9,9.5,std,porsche,207.0,hardtop,ohcf
128,3.74,2800.0,mpfi,gas,5900.0,168.9,2.9,9.5,std,porsche,207.0,convertible,ohcf
129,3.94,3366.0,mpfi,gas,5750.0,175.7,3.11,10.0,std,porsche,288.0,hatchback,dohcv
130,3.46,2579.0,mpfi,gas,,181.5,3.9,8.7,std,renault,,wagon,ohc
131,3.46,2460.0,mpfi,gas,,176.8,3.9,8.7,std,renault,,hatchback,ohc
132,3.54,2658.0,mpfi,gas,5250.0,186.6,3.07,9.31,std,saab,110.0,hatchback,ohc
133,3.54,2695.0,mpfi,gas,5250.0,186.6,3.07,9.3,std,saab,110.0,sedan,ohc
134,2.54,2707.0,mpfi,gas,5250.0,186.6,2.07,9.3,std,saab,110.0,hatchback,ohc
135,3.54,2758.0,mpfi,gas,5250.0,186.6,3.07,9.3,std,saab,110.0,sedan,ohc
136,3.54,2808.0,mpfi,gas,5500.0,186.6,3.07,9.0,turbo,saab,160.0,hatchback,dohc
137,3.54,2847.0,mpfi,gas,5500.0,186.6,3.07,9.0,turbo,saab,160.0,sedan,dohc
138,3.62,2050.0,2bbl,gas,4900.0,156.9,2.36,9.0,std,subaru,69.0,hatchback,ohcf
139,3.62,2120.0,2bbl,gas,4400.0,157.9,2.64,8.7,std,subaru,73.0,hatchback,ohcf
140,3.62,2240.0,2bbl,gas,4400.0,157.3,2.64,8.7,std,subaru,73.0,hatchback,ohcf
141,3.62,2145.0,2bbl,gas,4800.0,172.0,2.64,9.5,std,subaru,82.0,sedan,ohcf
142,3.62,2190.0,2bbl,gas,4400.0,172.0,2.64,9.5,std,subaru,82.0,sedan,ohcf
143,3.62,2340.0,mpfi,gas,5200.0,172.0,2.64,9.0,std,subaru,94.0,sedan,ohcf
144,3.62,2385.0,2bbl,gas,4800.0,172.0,2.64,9.0,std,subaru,82.0,sedan,ohcf
145,3.62,2510.0,mpfi,gas,4800.0,172.0,2.64,7.7,turbo,subaru,111.0,sedan,ohcf
146,3.62,2290.0,2bbl,gas,4800.0,173.5,2.64,9.0,std,subaru,82.0,wagon,ohcf
147,3.62,2455.0,mpfi,gas,5200.0,173.5,2.64,9.0,std,subaru,94.0,wagon,ohcf
148,3.62,2420.0,2bbl,gas,4800.0,173.6,2.64,9.0,std,subaru,82.0,wagon,ohcf
149,3.62,2650.0,mpfi,gas,4800.0,173.6,2.64,7.7,turbo,subaru,111.0,wagon,ohcf
150,3.05,1985.0,2bbl,gas,4800.0,158.7,3.03,9.0,std,toyota,62.0,hatchback,ohc
151,3.05,2040.0,2bbl,gas,4800.0,158.7,3.03,9.0,std,toyota,62.0,hatchback,ohc
152,3.05,2015.0,2bbl,gas,4800.0,158.7,3.03,9.0,std,toyota,62.0,hatchback,ohc
153,3.05,2280.0,2bbl,gas,4800.0,169.7,3.03,9.0,std,toyota,62.0,wagon,ohc
154,3.05,2290.0,2bbl,gas,4800.0,169.7,3.03,9.0,std,toyota,62.0,wagon,ohc
155,3.05,3110.0,2bbl,gas,4800.0,169.7,3.03,9.0,std,toyota,62.0,wagon,ohc
156,3.19,2081.0,2bbl,gas,4800.0,166.3,3.03,9.0,std,toyota,70.0,sedan,ohc
157,3.19,2109.0,2bbl,gas,4800.0,166.3,3.03,9.0,std,toyota,70.0,hatchback,ohc
158,3.27,2275.0,idi,diesel,4500.0,166.3,3.35,22.5,std,toyota,56.0,sedan,ohc
159,3.27,2275.0,idi,diesel,4500.0,166.3,3.35,22.5,std,toyota,56.0,hatchback,ohc
160,3.19,2094.0,2bbl,gas,4800.0,166.3,3.03,9.0,std,toyota,70.0,sedan,ohc
161,3.19,2122.0,2bbl,gas,4800.0,166.3,3.03,9.0,std,toyota,70.0,hatchback,ohc
162,3.19,2140.0,2bbl,gas,4800.0,166.3,3.03,9.0,std,toyota,70.0,sedan,ohc
163,3.19,2169.0,2bbl,gas,4800.0,168.7,3.03,9.0,std,toyota,70.0,sedan,ohc
164,3.19,2204.0,2bbl,gas,4800.0,168.7,3.03,9.0,std,toyota,70.0,hatchback,ohc
165,3.24,2265.0,mpfi,gas,6600.0,168.7,3.08,9.4,std,toyota,112.0,sedan,dohc
166,3.24,2300.0,mpfi,gas,6600.0,168.7,3.08,9.4,std,toyota,112.0,hatchback,dohc
167,3.62,2540.0,mpfi,gas,4800.0,176.2,3.5,9.3,std,toyota,116.0,hardtop,ohc
168,3.62,2536.0,mpfi,gas,4800.0,176.2,3.5,9.3,std,toyota,116.0,hardtop,ohc
169,3.62,2551.0,mpfi,gas,4800.0,176.2,3.5,9.3,std,toyota,116.0,hatchback,ohc
170,3.62,2679.0,mpfi,gas,4800.0,176.2,3.5,9.3,std,toyota,116.0,hardtop,ohc
171,3.62,2714.0,mpfi,gas,4800.0,176.2,3.5,9.3,std,toyota,116.0,hatchback,ohc
172,3.62,2975.0,mpfi,gas,4800.0,176.2,3.5,9.3,std,toyota,116.0,convertible,ohc
173,3.31,2326.0,mpfi,gas,4200.0,175.6,3.54,8.7,std,toyota,92.0,sedan,ohc
174,3.27,2480.0,idi,diesel,4500.0,175.6,3.35,22.5,turbo,toyota,73.0,sedan,ohc
175,3.31,2414.0,mpfi,gas,4200.0,175.6,3.54,8.7,std,toyota,92.0,hatchback,ohc
176,3.31,2414.0,mpfi,gas,4200.0,175.6,3.54,8.7,std,toyota,92.0,sedan,ohc
177,3.31,2458.0,mpfi,gas,4200.0,175.6,3.54,8.7,std,toyota,92.0,hatchback,ohc
178,3.27,2976.0,mpfi,gas,5200.0,183.5,3.35,9.3,std,toyota,161.0,hatchback,dohc
179,3.27,3016.0,mpfi,gas,5200.0,183.5,3.35,9.3,std,toyota,161.0,hatchback,dohc
180,3.27,3131.0,mpfi,gas,5200.0,187.8,3.35,9.2,std,toyota,156.0,sedan,dohc
181,3.27,3151.0,mpfi,gas,5200.0,187.8,3.35,9.2,std,toyota,156.0,wagon,dohc
182,3.01,2261.0,idi,diesel,4800.0,171.7,3.4,23.0,std,volkswagen,52.0,sedan,ohc
183,3.19,2209.0,mpfi,gas,5250.0,171.7,3.4,9.0,std,volkswagen,85.0,sedan,ohc
184,3.01,2264.0,idi,diesel,4800.0,171.7,3.4,23.0,std,volkswagen,52.0,sedan,ohc
185,3.19,2212.0,mpfi,gas,5250.0,171.7,3.4,9.0,std,volkswagen,85.0,sedan,ohc
186,3.19,2275.0,mpfi,gas,5250.0,171.7,3.4,9.0,std,volkswagen,85.0,sedan,ohc
187,3.01,2319.0,idi,diesel,4500.0,171.7,3.4,23.0,turbo,volkswagen,68.0,sedan,ohc
188,3.19,2300.0,mpfi,gas,5500.0,171.7,3.4,10.0,std,volkswagen,100.0,sedan,ohc
189,3.19,2254.0,mpfi,gas,5500.0,159.3,3.4,8.5,std,volkswagen,90.0,convertible,ohc
190,3.19,2221.0,mpfi,gas,5500.0,165.7,3.4,8.5,std,volkswagen,90.0,hatchback,ohc
191,3.19,2661.0,mpfi,gas,5500.0,180.2,3.4,8.5,std,volkswagen,110.0,sedan,ohc
192,3.01,2579.0,idi,diesel,4500.0,180.2,3.4,23.0,turbo,volkswagen,68.0,sedan,ohc
193,3.19,2563.0,mpfi,gas,5500.0,183.1,3.4,9.0,std,volkswagen,88.0,wagon,ohc
194,3.78,2912.0,mpfi,gas,5400.0,188.8,3.15,9.5,std,volvo,114.0,sedan,ohc
195,3.78,3034.0,mpfi,gas,5400.0,188.8,3.15,9.5,std,volvo,114.0,wagon,ohc
196,3.78,2935.0,mpfi,gas,5400.0,188.8,3.15,9.5,std,volvo,114.0,sedan,ohc
197,3.78,3042.0,mpfi,gas,5400.0,188.8,3.15,9.5,std,volvo,114.0,wagon,ohc
198,3.62,3045.0,mpfi,gas,5100.0,188.8,3.15,7.5,turbo,volvo,162.0,sedan,ohc
199,3.62,3157.0,mpfi,gas,5100.0,188.8,3.15,7.5,turbo,volvo,162.0,wagon,ohc
200,3.78,2952.0,mpfi,gas,5400.0,188.8,3.15,9.5,std,volvo,114.0,sedan,ohc
201,3.78,3049.0,mpfi,gas,5300.0,188.8,3.15,8.7,turbo,volvo,160.0,sedan,ohc
202,3.58,3012.0,mpfi,gas,5500.0,188.8,2.87,8.8,std,volvo,134.0,sedan,ohcv
203,3.01,3217.0,idi,diesel,4800.0,188.8,3.4,23.0,turbo,volvo,106.0,sedan,ohc
204,3.78,3062.0,mpfi,gas,5400.0,188.8,3.15,9.5,turbo,volvo,114.0,sedan,ohc
