,attribute_40_num,attribute_42_num,attribute_2_num,attribute_49_num,attribute_51_num,attribute_26_num,attribute_34_num,attribute_36_num,attribute_41_num,attribute_39_num,attribute_24_num,attribute_54_num,attribute_46_num,attribute_3_num,attribute_27_num,attribute_59_num,attribute_21_num,attribute_10_num,attribute_53_num,attribute_19_num,attribute_33_num,attribute_57_num,attribute_17_num,attribute_52_num,attribute_50_num,attribute_47_num,attribute_31_num,attribute_48_num,attribute_38_num,attribute_56_num
10,0.3749,0.0511,0.0063,0.0228,0.0062,0.7476,0.6055,0.4499,0.1972,0.4427,0.5707,0.0052,0.069,0.0152,0.7654,0.0053,0.1847,0.0452,0.012,0.1223,0.7757,0.0042,0.1177,0.0062,0.0073,0.0402,0.7502,0.0534,0.4281,0.0093
11,0.2522,0.1354,0.0309,0.0134,0.0188,0.8275,0.2641,0.2698,0.1782,0.394,0.3653,0.0224,0.0861,0.0169,1.0,0.0009,0.7852,0.0835,0.0265,0.5824,0.2817,0.0026,0.1463,0.0133,0.0217,0.0872,0.394,0.0445,0.4576,0.0118
12,0.1089,0.0839,0.0086,0.0152,0.0174,0.5136,0.2351,0.3649,0.1043,0.0989,0.8036,0.0088,0.0663,0.0055,0.309,0.0059,0.9674,0.124,0.0127,0.7271,0.1717,0.0059,0.3943,0.0176,0.0266,0.1202,0.1905,0.0692,0.1589,0.0019
13,0.6114,0.2312,0.0062,0.0146,0.0187,0.869,0.3601,0.7761,0.351,0.3684,0.4601,0.0194,0.157,0.0253,0.8345,0.0189,0.3542,0.1895,0.0095,0.3024,0.3844,0.0158,0.4022,0.0059,0.0068,0.0479,0.538,0.0538,0.0667,0.0152
14,0.5018,0.2802,0.0433,0.045,0.0078,0.894,0.3082,0.4109,0.3132,0.5499,0.3691,0.0174,0.0724,0.0604,0.8978,0.0147,0.5801,0.212,0.0057,0.5929,0.434,0.0114,0.3657,0.0083,0.0167,0.0621,0.1553,0.0318,0.4129,0.0054
15,0.3163,0.2898,0.0615,0.0452,0.0154,0.462,0.8889,0.7133,0.2809,0.3009,0.9165,0.0071,0.1633,0.065,0.2771,0.02,0.3932,0.0852,0.0153,0.4348,0.5792,0.0152,0.5638,0.0031,0.0064,0.1252,0.5192,0.0748,0.4401,0.0076
16,0.6087,0.5977,0.0116,0.0216,0.0426,0.5599,0.8697,0.7552,0.7322,0.1252,0.3395,0.0154,0.3424,0.0191,0.8145,0.0073,0.3158,0.2912,0.0158,0.2493,0.675,0.0095,0.2299,0.0346,0.0469,0.2303,0.593,0.0689,0.4713,0.0048
17,0.3133,0.6378,0.0607,0.052,0.036,0.4862,0.3785,0.5771,0.6096,0.357,0.7756,0.012,0.1288,0.0378,0.4181,0.0112,0.5399,0.1186,0.0131,0.7157,0.5976,0.0045,0.6426,0.0331,0.0216,0.079,0.1816,0.0829,0.8409,0.0024
18,0.1536,0.2031,0.0092,0.0325,0.0045,0.9819,0.6083,0.5972,0.2003,0.2924,0.6173,0.0018,0.1373,0.0145,0.9823,0.007,0.443,0.152,0.001,0.3093,0.6671,0.012,0.683,0.0084,0.0179,0.0749,0.8473,0.0472,0.5242,0.0039
19,0.3195,0.0836,0.0149,0.0372,0.0153,0.5922,0.2009,0.1547,0.3051,0.3171,0.547,0.0098,0.0516,0.0641,0.5448,0.0116,1.0,0.592,0.0035,0.8215,0.2544,0.0181,0.8292,0.0092,0.0121,0.0073,0.2005,0.0278,0.2446,0.0006
20,0.5316,0.1791,0.0509,0.0436,0.0107,0.2596,0.787,0.586,0.4069,0.6286,0.7369,0.0064,0.1643,0.0819,0.3392,0.0028,0.8319,0.3759,0.0118,0.6744,0.7704,0.0049,0.4474,0.0193,0.0175,0.0604,0.7449,0.0209,0.7279,0.0054
21,0.7061,0.5898,0.0575,0.0578,0.0135,0.2736,0.6942,0.8169,0.6803,0.8753,0.1686,0.0043,0.1216,0.0842,0.2984,0.0109,0.3246,0.1838,0.019,0.6086,0.6715,0.0024,0.5837,0.0141,0.0235,0.1306,0.7956,0.1198,1.0,0.0026
22,0.9297,0.7911,0.0484,0.1981,0.0396,0.257,0.6234,0.7523,0.8995,0.9709,0.1783,0.0115,0.5507,0.0299,0.1036,0.0106,0.1441,0.1882,0.0149,0.2298,0.7208,0.0029,0.2589,0.0173,0.0779,0.4331,0.4756,0.2905,0.9252,0.0139
23,0.0866,0.1891,0.015,0.0704,0.0107,0.5218,0.6152,0.5757,0.0646,0.1669,0.4012,0.0084,0.1668,0.0136,0.7552,0.007,0.4449,0.0734,0.0016,0.4243,0.7262,0.0029,0.3232,0.0091,0.0167,0.1015,0.8283,0.1195,0.3672,0.0026
24,0.2382,0.3821,0.0644,0.0567,0.017,0.2606,0.9435,0.896,0.3318,0.2338,0.4259,0.0083,0.1433,0.039,0.0874,0.0095,0.2111,0.086,0.0052,0.3326,0.8048,0.0105,0.1179,0.0035,0.0133,0.1634,0.8096,0.1133,0.3037,0.0075
25,0.3105,0.4105,0.0026,0.0337,0.0072,0.8788,0.9647,0.5307,0.379,0.1374,0.7523,0.0063,0.2024,0.0138,0.7901,0.0057,0.3825,0.1097,0.007,0.3436,0.9708,0.0007,0.0624,0.0108,0.0122,0.1043,0.9236,0.0453,0.1953,0.0011
26,0.198,0.2379,0.032,0.0219,0.0086,0.6543,0.2962,0.1866,0.3175,0.2405,0.7701,0.0084,0.0422,0.0599,0.504,0.0023,0.6736,0.1205,0.0015,0.9154,0.0637,0.0011,0.695,0.0061,0.0059,0.0493,0.1631,0.0476,0.1497,0.0054
27,0.0606,0.0983,0.03,0.0356,0.0168,0.775,0.3076,0.2226,0.153,0.1049,0.9213,0.0044,0.1917,0.0288,0.5593,0.0032,0.4865,0.0613,0.0122,0.2644,0.333,0.0099,0.5153,0.0102,0.027,0.1467,0.477,0.0392,0.0603,0.0124
28,0.2278,0.1986,0.0275,0.0589,0.0118,0.6875,0.3341,0.5077,0.2044,0.2723,0.6394,0.0036,0.1948,0.019,0.4081,0.0091,0.9857,0.2668,0.0104,0.7966,0.2227,0.0117,0.6795,0.0088,0.0247,0.1211,0.3791,0.0843,0.3352,0.0047
29,0.0202,0.1583,0.0308,0.0108,0.0091,0.5897,0.1588,0.1369,0.1638,0.0734,0.2824,0.0142,0.0663,0.0197,0.4967,0.0052,0.7473,0.2522,0.0096,0.2226,0.0507,0.0099,0.6988,0.0038,0.0143,0.0183,0.2268,0.0404,0.2061,0.014
30,0.0751,0.3745,0.0218,0.0144,0.0061,0.8943,0.1615,0.5564,0.3321,0.1582,0.8133,0.0093,0.1687,0.0324,0.8929,0.0066,0.5053,0.0389,0.0146,0.6791,0.3459,0.0054,0.3015,0.0162,0.0226,0.0738,0.554,0.0634,0.0979,0.0094
31,0.191,0.0933,0.0153,0.0106,0.0056,0.8223,0.1693,0.3195,0.1174,0.1681,0.7361,0.0136,0.0956,0.0291,0.7772,0.0072,0.3733,0.1753,0.0114,0.6222,0.337,0.0058,0.7231,0.0236,0.0179,0.0426,0.3534,0.0407,0.1048,0.006
32,0.5493,0.2028,0.0213,0.0343,0.0261,0.6042,0.5294,0.448,0.3548,0.6475,0.5952,0.0271,0.159,0.0058,0.4375,0.0021,0.8631,0.0242,0.0074,0.6428,0.3891,0.0095,0.3175,0.0157,0.037,0.0562,0.3851,0.0617,0.5031,0.0089
33,0.433,0.1466,0.0477,0.0719,0.021,0.3241,0.412,0.5569,0.2556,0.4611,0.8515,0.0135,0.137,0.0049,0.2054,0.0059,0.8017,0.1268,0.0216,0.8345,0.5185,0.008,0.2468,0.0204,0.0637,0.1344,0.7532,0.0416,0.3831,0.0073
34,0.1848,0.2328,0.0491,0.0592,0.0089,0.3482,0.126,0.4676,0.1679,0.2139,0.6043,0.013,0.0779,0.0692,0.6158,0.0046,0.7672,0.0767,0.0032,0.9064,0.4124,0.0229,0.5395,0.0087,0.0068,0.0761,0.583,0.0845,0.315,0.0101
35,0.1319,0.0334,0.0132,0.0221,0.0307,0.5341,0.3325,0.3228,0.0683,0.2396,0.8675,0.0018,0.0522,0.0533,0.6197,0.0109,0.4497,0.1573,0.0147,0.3812,0.1386,0.0077,0.236,0.0386,0.0144,0.05,0.2481,0.0231,0.204,0.0096
36,0.3662,0.22,0.0166,0.0174,0.0134,0.6937,0.9039,0.6695,0.3267,0.2685,0.8786,0.0145,0.0635,0.0398,0.5674,0.0077,0.4925,0.1328,0.0191,0.3684,0.8108,0.0217,0.1224,0.0141,0.0172,0.0465,0.5836,0.0422,0.237,0.0129
37,0.2646,0.1883,0.0221,0.0021,0.0036,0.8772,0.6859,0.5142,0.1994,0.1551,0.9364,0.006,0.0695,0.027,0.8553,0.0051,0.3485,0.092,0.0032,0.0494,0.5716,0.0143,0.1642,0.0022,0.0068,0.0598,0.6601,0.0456,0.1358,0.0063
38,0.1131,0.1757,0.0022,0.0272,0.0149,0.8119,0.5255,0.3929,0.1306,0.0859,0.5906,0.0026,0.058,0.0196,0.8594,0.0047,0.1354,0.0475,0.0134,0.1218,0.4629,0.0113,0.1956,0.0125,0.0074,0.0319,0.6292,0.0301,0.0411,0.0018
39,0.2598,0.3594,0.0213,0.0367,0.03,0.8206,0.8741,0.6718,0.2742,0.2702,0.6933,0.0102,0.0187,0.0206,0.7049,0.0071,0.231,0.0837,0.0112,0.1661,0.5356,0.0098,0.1264,0.0112,0.0155,0.0797,0.4846,0.0748,0.315,0.0097
40,0.0842,0.1754,0.0232,0.0093,0.0199,0.6874,0.5686,0.4546,0.1173,0.1681,0.8037,0.0055,0.0213,0.0513,0.6997,0.0194,0.2493,0.2475,0.0163,0.2373,0.6902,0.0041,0.0666,0.0173,0.0204,0.0354,0.8996,0.042,0.1587,0.0068
41,0.1469,0.1449,0.0185,0.0085,0.0022,0.6571,0.6211,0.5868,0.222,0.2043,0.5026,0.0129,0.0791,0.0056,0.6632,0.0058,0.43,0.064,0.0064,0.2479,0.6308,0.0089,0.3491,0.0069,0.012,0.0365,0.8448,0.0152,0.3683,0.0054
42,0.4057,0.2331,0.0319,0.0171,0.0053,0.8901,0.761,1.0,0.3019,0.5915,0.7012,0.0153,0.191,0.0415,0.8745,0.007,0.3363,0.0568,0.0042,0.25,0.6832,0.0105,0.6861,0.009,0.0383,0.1096,0.892,0.03,0.7388,0.002
43,0.4816,0.1769,0.0269,0.0176,0.0309,0.8989,0.8773,0.9922,0.2917,0.6605,0.736,0.0056,0.1938,0.0217,0.942,0.006,0.433,0.136,0.0091,0.6271,0.7547,0.007,0.7312,0.0212,0.0205,0.1106,0.7284,0.0693,0.8388,0.0092
44,0.8979,0.7247,0.0447,0.0956,0.0206,0.5715,0.5092,0.7313,0.7751,0.8849,0.5768,0.0096,0.4514,0.0388,0.4006,0.0255,0.4978,0.0561,0.0153,0.5017,0.3379,0.0025,0.2009,0.0096,0.0206,0.3096,0.8052,0.1859,0.704,0.0198
45,0.5003,0.4824,0.0653,0.0475,0.0066,0.8905,0.805,0.7468,0.522,0.2916,0.7605,0.0184,0.0442,0.0397,0.7652,0.007,0.8835,0.2176,0.0129,0.7062,0.8032,0.0199,0.4203,0.0062,0.0235,0.0663,0.2787,0.0418,0.173,0.0198
46,0.641,0.3178,0.0339,0.0422,0.007,0.7755,0.6963,0.7022,0.4375,0.4738,0.5973,0.0138,0.1136,0.0202,0.6111,0.0056,1.0,0.2795,0.0127,0.8793,0.5555,0.0029,0.735,0.0167,0.0117,0.1034,0.2438,0.0688,0.1421,0.0051
47,0.6003,0.6633,0.0281,0.0317,0.0066,0.6215,0.6539,0.5393,0.7196,0.4145,0.8553,0.0024,0.2518,0.0232,0.5736,0.0085,0.6079,0.0802,0.0045,0.1792,0.7272,0.0096,0.2241,0.0008,0.0269,0.1482,0.513,0.0988,0.4081,0.0073
48,0.3845,0.5067,0.0038,0.0325,0.0026,0.8582,0.5308,0.5271,0.4107,0.1205,0.8766,0.0112,0.1124,0.0642,0.6563,0.0055,0.6484,0.0349,0.0118,0.3819,0.5385,0.0072,0.2164,0.0093,0.007,0.0651,0.4521,0.0789,0.2436,0.014
49,0.2811,0.5147,0.0582,0.0304,0.0069,0.9481,0.5621,0.6078,0.3422,0.0477,0.8253,0.0074,0.1343,0.0623,0.7539,0.003,0.7468,0.0864,0.0103,0.3279,0.6084,0.0076,0.1934,0.0025,0.0074,0.0838,0.5619,0.0755,0.2829,0.0069
50,0.348,0.2304,0.0713,0.0559,0.0098,0.7876,0.6807,1.0,0.2585,0.5647,0.2264,0.0043,0.2193,0.0326,0.7158,0.0093,0.1268,0.088,0.0242,0.1091,0.8436,0.0037,0.1699,0.0163,0.0035,0.1316,0.7659,0.1078,0.7866,0.0108
51,0.446,0.2873,0.0068,0.0108,0.0109,0.8386,0.4366,0.5122,0.4196,0.4603,0.5956,0.004,0.0527,0.0308,0.8875,0.0052,0.4084,0.0901,0.0028,0.3221,0.3034,0.0053,0.3526,0.0062,0.0077,0.0383,0.492,0.0107,0.4902,0.0039
52,0.1444,0.1745,0.0046,0.0159,0.0015,0.9419,0.0688,0.2157,0.1513,0.2309,0.7577,0.0079,0.0138,0.0081,1.0,0.0058,0.5665,0.0818,0.0038,0.3924,0.2025,0.003,0.2933,0.0052,0.0045,0.0469,0.4147,0.048,0.2776,0.005
53,0.188,0.2522,0.0378,0.0397,0.0076,0.8938,0.1721,0.2561,0.1552,0.2724,0.7527,0.0108,0.0681,0.0257,0.9928,0.005,0.5402,0.0751,0.0072,0.3295,0.2797,0.0041,0.2676,0.0065,0.0093,0.1091,0.6126,0.0919,0.3209,0.0102
54,0.206,0.2633,0.008,0.0325,0.0136,0.8823,0.2298,0.2123,0.1659,0.2865,0.6741,0.0021,0.1286,0.0188,0.9196,0.0028,0.4893,0.0922,0.0028,0.4077,0.3663,0.0138,0.2394,0.0044,0.0258,0.0926,0.6463,0.0716,0.2673,0.0048
55,0.2123,0.2655,0.0116,0.049,0.0032,0.9405,0.2196,0.268,0.117,0.3392,0.7476,0.0056,0.1044,0.0123,1.0,0.0008,0.5328,0.1199,0.0045,0.4327,0.3718,0.0045,0.2532,0.0076,0.0224,0.1225,0.6701,0.0745,0.3104,0.0037
56,0.222,0.2064,0.0102,0.0412,0.0048,0.9858,0.1744,0.2297,0.0871,0.3312,0.7114,0.0036,0.0815,0.0113,1.0,0.0034,0.5525,0.1504,0.0041,0.4026,0.2897,0.0037,0.2538,0.0049,0.012,0.1117,0.5893,0.095,0.3101,0.0046
57,0.3273,0.153,0.0124,0.0179,0.0018,0.9105,0.6168,0.6764,0.2509,0.389,0.761,0.0096,0.0978,0.0174,0.8807,0.0006,0.5438,0.0866,0.0049,0.3294,0.5929,0.0047,0.174,0.0052,0.0092,0.0452,0.6407,0.0273,0.5117,0.0122
58,0.1651,0.0652,0.0019,0.0119,0.0051,0.9942,0.5967,0.5459,0.1836,0.2087,0.9214,0.01,0.0297,0.0075,1.0,0.0021,0.5958,0.1452,0.0129,0.3094,0.5588,0.003,0.259,0.0034,0.0073,0.0241,0.6499,0.0379,0.3965,0.0057
59,0.189,0.1041,0.0152,0.0102,0.0019,0.9802,0.4994,0.5071,0.1967,0.1845,0.8425,0.003,0.0505,0.0218,1.0,0.0086,0.5959,0.1302,0.0074,0.3193,0.4776,0.0017,0.2048,0.0041,0.0047,0.0247,0.5786,0.0219,0.3505,0.0048
60,0.175,0.0674,0.0006,0.0073,0.0092,1.0,0.5389,0.5318,0.1679,0.1831,0.9027,0.0013,0.0278,0.0088,0.9821,0.0023,0.6673,0.1483,0.0041,0.364,0.5142,0.0039,0.2137,0.0078,0.0116,0.0179,0.59,0.0114,0.379,0.0045
61,0.1193,0.0431,0.0045,0.0192,0.0025,0.9174,0.5159,0.5284,0.1088,0.2282,0.8948,0.0102,0.0473,0.0051,0.9307,0.003,0.6797,0.1908,0.0084,0.3862,0.4563,0.0037,0.2658,0.0037,0.0094,0.0408,0.5831,0.029,0.3742,0.0024
62,0.2366,0.1013,0.0215,0.0101,0.0047,0.8756,0.6954,0.668,0.1716,0.3439,0.871,0.0022,0.0333,0.0242,1.0,0.0024,0.6275,0.1185,0.0054,0.3669,0.6591,0.0058,0.269,0.0072,0.0095,0.0205,0.6987,0.0309,0.4899,0.0029
63,0.2853,0.1641,0.0096,0.0306,0.0029,0.5647,0.5516,0.5515,0.2502,0.3384,0.5998,0.002,0.0687,0.0024,0.6906,0.0051,0.5911,0.118,0.0023,0.4451,0.5468,0.0034,0.2038,0.0048,0.0154,0.0602,0.7676,0.0561,0.3466,0.0019
64,0.6326,0.4161,0.0103,0.0355,0.0252,0.1653,0.8897,0.9517,0.5102,0.6697,0.1426,0.0076,0.0971,0.0135,0.3399,0.0073,0.3031,0.0898,0.0048,0.0827,0.6764,0.0054,0.0892,0.0043,0.0233,0.0879,0.6102,0.0863,0.7073,0.0105
65,0.6148,0.4813,0.0172,0.0563,0.0088,0.2141,0.8443,0.9705,0.545,0.576,0.1242,0.0171,0.064,0.0501,0.4642,0.0294,0.1976,0.0474,0.0175,0.1316,0.5934,0.0112,0.1568,0.0042,0.0187,0.0911,0.7046,0.098,0.6313,0.005
66,0.6663,0.5247,0.044,0.0524,0.01,0.2278,0.8747,0.9348,0.5651,0.5872,0.2384,0.0156,0.0508,0.0137,0.5872,0.0086,0.2224,0.0779,0.0187,0.1078,0.6545,0.0073,0.207,0.0038,0.0188,0.0931,0.8055,0.0982,0.5733,0.0097
67,0.672,0.5155,0.0403,0.0566,0.0058,0.1923,0.8708,0.9605,0.6035,0.6431,0.2547,0.016,0.0801,0.0317,0.4753,0.0078,0.2069,0.0506,0.016,0.1857,0.6601,0.0135,0.1424,0.0091,0.0175,0.0804,0.7063,0.0752,0.6772,0.007
68,0.1493,0.1654,0.0142,0.0155,0.0125,0.5448,0.6547,0.4593,0.1713,0.0699,0.5848,0.012,0.2414,0.0181,0.4772,0.0067,0.2297,0.1191,0.0067,0.388,0.7662,0.0058,0.1226,0.0028,0.0187,0.1077,0.9546,0.0224,0.1987,0.0022
69,0.1291,0.1915,0.0215,0.0357,0.0082,1.0,0.2092,0.2344,0.2241,0.0528,0.5386,0.0052,0.067,0.0273,0.8684,0.0009,0.2005,0.0973,0.0044,0.0746,0.162,0.0047,0.1929,0.014,0.0136,0.0342,0.3609,0.0469,0.0383,0.0021
70,0.2452,0.3041,0.0122,0.0276,0.0023,0.9622,0.2176,0.1725,0.2984,0.1847,0.6168,0.0027,0.1178,0.0068,0.828,0.0006,0.2146,0.1109,0.0025,0.1095,0.1863,0.0026,0.1268,0.0069,0.01,0.0608,0.2727,0.0333,0.0621,0.0036
71,0.1969,0.2507,0.0078,0.0336,0.0079,1.0,0.2227,0.2268,0.2619,0.1166,0.5828,0.0035,0.0965,0.0092,0.8457,0.0024,0.2257,0.0888,0.0055,0.1455,0.192,0.0018,0.1477,0.0119,0.0055,0.0381,0.3233,0.0435,0.0748,0.0004
72,0.2481,0.292,0.0186,0.0265,0.014,1.0,0.1582,0.1787,0.315,0.1762,0.6443,0.0081,0.091,0.0131,0.8087,0.0049,0.2429,0.1093,0.0063,0.1397,0.1339,0.0028,0.1615,0.0074,0.0095,0.0441,0.2746,0.0244,0.1096,0.0044
73,0.2806,0.2112,0.0222,0.0445,0.0024,0.7511,0.2907,0.2288,0.2682,0.2921,0.8757,0.0113,0.1717,0.0089,0.6858,0.0039,0.3797,0.1015,0.0072,0.2991,0.2672,0.0025,0.1066,0.0062,0.011,0.0898,0.2206,0.0656,0.2871,0.0022
74,0.0117,0.0288,0.0093,0.0182,0.0124,0.9667,0.2112,0.2276,0.0488,0.0371,0.8894,0.0117,0.0025,0.0121,1.0,0.0055,0.8297,0.1036,0.0023,0.8152,0.1746,0.0076,0.7738,0.0077,0.0108,0.0327,0.2895,0.0257,0.1601,0.0077
75,0.1485,0.0569,0.0104,0.0235,0.0188,0.9309,0.3,0.1348,0.0845,0.1598,1.0,0.0067,0.057,0.0325,0.9351,0.0073,0.9413,0.137,0.0081,0.8616,0.4031,0.0049,0.8341,0.0127,0.0006,0.0426,0.4161,0.0425,0.2255,0.0065
76,0.1062,0.03,0.0189,0.0201,0.0155,0.9724,0.3172,0.0733,0.0694,0.0712,0.9761,0.008,0.0391,0.0466,0.9675,0.0036,1.0,0.1376,0.0151,0.9045,0.3381,0.0045,0.8669,0.0091,0.0095,0.0546,0.4727,0.0469,0.1888,0.0078
77,0.1811,0.0799,0.0294,0.0259,0.0033,0.9086,0.2847,0.0549,0.1264,0.0855,0.9601,0.0032,0.0505,0.0476,0.7931,0.0069,1.0,0.0842,0.0111,0.7988,0.2849,0.0137,0.7327,0.015,0.017,0.0949,0.4633,0.0677,0.1154,0.0169
78,0.1454,0.044,0.0351,0.0497,0.0154,0.943,0.1529,0.0352,0.1115,0.1331,0.876,0.0022,0.0654,0.003,0.8846,0.0043,1.0,0.0347,0.0097,0.7708,0.2277,0.0056,0.7521,0.0106,0.0313,0.0844,0.2992,0.0595,0.1373,0.0072
79,0.2169,0.0644,0.0086,0.0262,0.0161,0.7895,0.3336,0.0671,0.1677,0.1694,0.9432,0.0114,0.021,0.0058,0.6501,0.0026,0.9493,0.0393,0.0078,0.706,0.3735,0.0003,0.539,0.0029,0.0101,0.0509,0.4929,0.0387,0.0461,0.0058
80,0.279,0.0056,0.0369,0.0309,0.0115,0.3443,0.2484,0.2312,0.161,0.2474,0.5146,0.0122,0.0276,0.004,0.6981,0.0104,0.9116,0.1631,0.0022,1.0,0.1709,0.0026,0.8137,0.0064,0.024,0.0763,0.438,0.0631,0.2056,0.0056
81,0.3151,0.2054,0.0194,0.0773,0.0122,0.8458,0.3992,0.1975,0.1968,0.1583,0.6107,0.0077,0.2195,0.0155,0.6319,0.0053,0.8142,0.299,0.0073,0.851,0.4106,0.008,1.0,0.013,0.0196,0.193,0.6005,0.1498,0.1339,0.006
82,0.1286,0.2191,0.0421,0.0665,0.0113,0.8014,0.4786,0.0899,0.1581,0.0407,0.6444,0.0105,0.2732,0.0573,0.6053,0.003,0.7561,0.2259,0.0036,0.8871,0.3638,0.0061,0.9522,0.0028,0.0405,0.1874,0.5563,0.1062,0.1707,0.0087
83,0.2396,0.2029,0.034,0.0506,0.0095,0.8204,0.3481,0.1422,0.2241,0.1003,0.5815,0.0078,0.17,0.0392,0.5601,0.0013,0.8106,0.1777,0.0103,0.9407,0.3746,0.0031,0.9819,0.0031,0.0224,0.1829,0.5753,0.1403,0.1866,0.0094
84,0.3179,0.2714,0.0318,0.0423,0.0093,0.6793,0.3894,0.1036,0.2649,0.2569,0.4033,0.0078,0.22,0.0423,0.6389,0.0043,0.8443,0.2053,0.0044,0.9843,0.3969,0.0061,0.9739,0.0046,0.0162,0.2198,0.4729,0.1074,0.0864,0.0065
85,0.3027,0.3868,0.1632,0.1022,0.0223,0.7092,0.0401,0.6847,0.3966,0.0612,1.0,0.0205,0.1704,0.1636,0.7009,0.011,0.5605,0.3735,0.0071,0.445,0.1423,0.0078,0.835,0.011,0.0151,0.1587,0.4072,0.1792,0.3597,0.0063
86,0.269,0.3874,0.037,0.1366,0.0143,0.6797,0.0588,0.7147,0.42,0.0589,1.0,0.0113,0.1886,0.0953,0.6971,0.0068,0.5148,0.1806,0.0033,0.42,0.1668,0.009,0.7906,0.0093,0.0398,0.196,0.4241,0.1701,0.3509,0.0057
87,0.3508,0.4208,0.0454,0.1326,0.0128,0.6247,0.1997,0.7409,0.4482,0.1416,0.9304,0.0079,0.2798,0.0382,0.6024,0.0037,0.5297,0.2751,0.0138,0.3785,0.2779,0.0258,0.7066,0.0172,0.0358,0.2392,0.4754,0.2021,0.4424,0.0051
88,0.3244,0.2975,0.0242,0.0748,0.0255,0.6399,0.0765,0.5843,0.399,0.0999,0.8364,0.0085,0.0729,0.0621,0.5759,0.022,0.5103,0.1808,0.0108,0.7434,0.1942,0.0104,0.9062,0.0113,0.0067,0.119,0.2665,0.1297,0.2347,0.0074
89,0.4947,0.4041,0.0291,0.0929,0.0242,0.7115,0.1107,0.665,0.4925,0.1951,1.0,0.0095,0.1946,0.0749,0.7726,0.0108,0.4019,0.3674,0.0037,0.4509,0.1811,0.0132,0.7505,0.0083,0.0179,0.1723,0.4906,0.1522,0.2166,0.003
