,Na_num,Fe_num,K_num,Al_num,Type_cat
49,13.2,0.0,0.54,1.15,build wind non-float
50,12.57,0.06,0.6,1.38,build wind float
51,13.2,0.17,0.57,1.07,build wind non-float
52,13.3,0.0,0.58,1.14,build wind float
53,13.09,0.0,0.67,1.52,build wind non-float
54,14.37,0.0,0.0,2.74,headlamps
55,13.02,0.07,0.54,1.69,build wind float
56,14.86,0.0,0.76,2.06,headlamps
57,13.69,0.0,0.09,1.12,build wind float
58,13.65,0.0,0.11,1.11,vehic wind float
59,13.41,0.0,0.51,1.33,build wind non-float
60,13.64,0.32,0.54,1.27,build wind non-float
61,13.6,0.0,0.14,1.11,build wind float
62,13.29,0.0,0.56,1.21,build wind float
63,14.21,0.0,0.11,0.47,build wind float
64,13.72,0.16,0.09,0.51,build wind float
65,13.87,0.01,0.14,2.54,headlamps
66,13.2,0.11,0.6,1.28,build wind float
67,14.19,0.37,0.23,0.91,vehic wind float
68,10.73,0.28,0.58,2.1,build wind non-float
69,13.05,0.17,0.19,0.87,build wind float
70,14.46,0.0,0.0,1.62,tableware
71,13.46,0.14,0.57,1.26,build wind non-float
72,14.99,0.0,0.0,1.74,tableware
73,13.24,0.1,0.55,1.41,build wind non-float
74,13.31,0.03,0.12,0.82,build wind float
75,13.56,0.0,0.64,1.47,build wind non-float
76,12.56,0.0,0.57,1.43,build wind float
77,12.99,0.31,0.62,1.12,build wind float
78,13.04,0.0,0.52,1.26,vehic wind float
79,12.87,0.0,0.56,1.33,build wind float
80,12.8,0.0,0.6,1.27,build wind float
81,13.27,0.0,0.55,1.24,build wind float
82,14.32,0.0,0.0,0.83,vehic wind float
83,13.21,0.0,0.59,1.33,build wind float
84,11.56,0.0,0.47,1.56,containers
85,13.71,0.15,0.54,1.54,build wind non-float
86,12.64,0.0,0.06,0.67,build wind non-float
87,12.82,0.19,0.54,1.49,build wind float
88,12.98,0.0,0.65,1.21,build wind float
89,13.75,0.0,0.33,1.36,build wind non-float
90,14.94,0.0,0.0,1.87,headlamps
91,12.73,0.3,0.62,1.19,build wind float
92,13.12,0.16,0.23,0.9,build wind float
93,13.79,0.0,0.0,1.19,tableware
94,14.85,0.0,0.0,2.42,headlamps
95,13.48,0.07,0.18,0.9,build wind float
96,14.95,0.0,0.0,1.8,headlamps
97,13.98,0.18,0.39,1.63,build wind non-float
98,12.9,0.0,0.44,1.45,build wind non-float
99,13.1,0.0,0.6,1.19,build wind non-float
100,13.89,0.0,0.48,1.36,build wind float
101,13.3,0.29,0.65,1.53,build wind non-float
102,15.79,0.0,0.31,1.31,headlamps
103,14.92,0.0,0.0,1.99,headlamps
104,14.8,0.0,0.0,1.99,headlamps
105,13.02,0.0,6.21,3.04,containers
106,13.0,0.0,0.66,1.79,build wind non-float
107,14.7,0.0,0.0,2.34,headlamps
108,13.58,0.0,0.59,1.23,build wind float
109,12.64,0.0,0.38,1.65,containers
110,12.62,0.2,0.35,0.83,build wind non-float
111,14.95,0.0,0.0,2.27,headlamps
112,13.9,0.0,0.06,1.18,build wind float
113,14.38,0.0,0.0,1.94,headlamps
114,12.86,0.0,0.61,1.31,vehic wind float
115,13.44,0.0,0.6,1.23,headlamps
116,13.55,0.17,0.53,1.67,build wind non-float
117,14.32,0.0,1.46,2.22,headlamps
118,13.72,0.0,0.0,0.56,build wind non-float
119,12.45,0.24,0.56,1.29,build wind float
120,12.99,0.24,0.58,1.23,build wind non-float
121,12.88,0.24,0.69,1.4,build wind float
122,13.83,0.0,0.08,1.17,build wind non-float
123,13.8,0.0,0.08,0.66,build wind non-float
124,12.97,0.28,0.13,1.51,containers
125,12.86,0.17,0.54,1.27,build wind float
126,11.95,0.0,2.7,1.19,headlamps
127,14.14,0.0,0.08,2.88,headlamps
128,13.64,0.0,0.06,1.1,build wind float
129,12.61,0.0,0.58,1.31,build wind float
130,13.02,0.0,0.72,1.54,build wind non-float
131,12.79,0.0,0.66,1.54,build wind non-float
132,14.36,0.0,0.0,2.02,headlamps
133,12.65,0.14,0.61,1.3,build wind float
134,13.44,0.0,0.32,1.58,containers
135,13.15,0.0,0.57,1.05,build wind float
136,13.48,0.0,0.59,1.17,build wind float
137,12.89,0.0,0.61,1.57,build wind non-float
138,13.73,0.0,0.17,0.72,build wind float
139,13.09,0.09,0.68,1.55,build wind non-float
140,12.68,0.0,0.61,1.16,build wind float
141,13.89,0.0,0.51,1.32,build wind float
142,13.81,0.0,0.12,1.32,build wind float
143,12.86,0.0,0.97,1.83,containers
144,13.34,0.0,0.61,1.57,build wind non-float
145,12.93,0.12,0.58,1.56,build wind non-float
146,13.72,0.0,0.64,1.81,build wind non-float
147,13.78,0.17,0.49,1.43,build wind non-float
148,14.86,0.12,0.16,1.74,build wind non-float
149,13.43,0.0,0.58,1.18,build wind non-float
150,13.69,0.0,1.76,1.81,headlamps
151,14.17,0.0,0.0,0.78,build wind float
152,13.7,0.1,0.19,1.36,build wind non-float
153,13.33,0.0,0.52,1.25,build wind non-float
154,13.41,0.0,0.52,1.28,vehic wind float
155,12.81,0.0,0.62,1.35,build wind float
156,15.15,0.0,0.0,2.25,headlamps
157,12.73,0.0,0.6,1.86,containers
158,14.77,0.0,0.03,0.29,build wind float
159,13.25,0.0,0.58,1.32,build wind non-float
160,11.23,0.0,0.0,0.77,build wind non-float
161,13.51,0.11,0.23,0.88,build wind float
162,14.85,0.09,0.0,2.38,headlamps
163,13.0,0.0,6.21,3.02,containers
164,11.02,0.0,0.0,0.75,build wind non-float
165,14.21,0.0,0.11,0.47,build wind float
166,12.84,0.0,0.56,1.14,build wind float
167,12.85,0.35,0.62,1.24,build wind non-float
168,13.41,0.0,0.68,1.25,build wind non-float
169,15.01,0.0,0.05,2.51,headlamps
170,12.94,0.0,0.56,1.26,build wind non-float
171,13.12,0.19,0.07,1.58,build wind non-float
172,13.99,0.1,0.02,0.71,build wind float
173,14.39,0.0,1.41,1.82,headlamps
174,14.04,0.0,0.56,1.37,build wind float
175,13.88,0.0,0.0,1.79,headlamps
176,14.36,0.0,0.15,0.89,build wind float
177,12.87,0.0,0.6,1.29,build wind float
178,11.03,0.0,0.58,1.56,containers
179,14.56,0.0,0.0,0.56,tableware
180,13.01,0.0,0.6,1.48,build wind non-float
181,13.4,0.1,0.67,1.52,build wind non-float
182,13.5,0.09,0.57,1.63,vehic wind float
183,14.43,0.08,0.1,1.0,build wind non-float
184,12.69,0.0,0.57,1.34,build wind float
185,14.23,0.0,0.0,2.08,headlamps
186,12.78,0.0,0.59,1.29,build wind float
187,13.43,0.0,0.55,1.19,build wind float
188,13.24,0.1,0.56,1.38,vehic wind float
189,13.38,0.0,0.33,1.4,containers
190,13.49,0.0,0.55,1.35,build wind float
191,13.21,0.09,0.51,1.29,build wind float
192,14.0,0.0,0.0,1.56,tableware
193,14.38,0.0,0.04,2.66,headlamps
194,14.15,0.0,0.0,2.09,tableware
195,13.02,0.15,0.64,1.06,build wind non-float
196,13.02,0.0,0.69,1.51,build wind non-float
197,13.25,0.0,0.61,1.43,build wind non-float
198,12.55,0.09,0.63,1.87,build wind non-float
199,12.93,0.21,0.64,1.62,build wind non-float
200,13.33,0.0,0.68,1.61,build wind non-float
201,13.19,0.16,0.57,1.18,build wind float
202,13.53,0.0,0.58,1.52,vehic wind float
203,12.85,0.22,0.61,1.23,build wind float
204,13.36,0.0,0.51,1.43,build wind non-float
205,13.38,0.0,0.5,1.15,build wind float
206,14.2,0.09,0.04,2.79,headlamps
207,13.53,0.0,0.39,1.54,build wind float
208,12.81,0.0,0.58,1.23,build wind float
209,13.42,0.0,0.59,1.22,vehic wind float
210,12.86,0.0,0.69,2.12,build wind non-float
211,13.92,0.14,0.37,1.25,build wind non-float
212,12.67,0.0,0.73,1.71,build wind non-float
213,14.09,0.0,0.0,1.66,tableware
