,A3_num,A13_cat,A7_cat,A2_num,A6_cat,A10_cat,A4_cat,A1_cat
124,9.0,g,v,23.5,q,t,u,a
125,5.0,g,h,34.92,x,t,u,b
126,2.5,g,bb,47.67,m,t,u,b
127,11.0,g,v,22.75,q,t,u,b
128,4.25,g,bb,34.42,i,t,u,b
129,3.5,s,v,28.42,w,f,u,a
130,5.5,g,z,67.75,e,t,u,b
131,1.835,g,v,20.42,c,t,u,b
132,8.0,g,bb,47.42,e,t,u,a
133,5.0,g,bb,36.25,c,t,u,b
134,5.5,g,h,32.67,q,t,u,b
135,6.5,g,h,48.58,q,f,u,b
136,0.54,g,v,39.92,aa,t,y,b
137,2.75,g,v,33.58,m,t,u,b
138,9.5,g,v,18.83,w,t,u,a
139,13.5,g,h,26.92,q,t,u,a
140,3.75,g,h,31.25,cc,t,u,a
141,16.0,g,ff,56.5,j,t,u,a
142,0.29,g,h,43.0,cc,t,y,b
143,11.0,g,v,22.33,w,t,u,b
144,1.665,g,h,27.25,cc,t,u,b
145,2.5,g,h,32.83,cc,t,u,b
146,1.5,g,v,23.25,q,t,u,b
147,7.54,g,h,40.33,q,t,y,a
148,6.5,g,bb,30.5,c,t,u,a
149,15.0,g,v,52.83,c,t,u,a
150,0.46,g,h,46.67,cc,t,u,a
151,10.0,g,v,58.33,q,t,u,a
152,6.5,g,h,37.33,m,t,u,b
153,2.5,g,v,23.08,c,t,u,b
154,1.5,g,h,32.75,cc,t,u,b
155,11.5,g,j,21.67,j,t,y,a
156,3.04,g,h,28.5,x,t,y,a
157,15.0,g,z,68.67,e,t,u,a
158,2.0,g,h,28.0,k,t,u,b
159,0.08,g,bb,34.08,m,t,y,b
160,2.0,g,h,27.67,x,t,u,b
161,2.0,g,v,44.0,m,t,u,b
162,1.71,g,v,25.08,x,t,u,b
163,1.75,g,h,32.0,e,f,y,b
164,16.5,g,v,60.58,q,f,u,a
165,10.0,g,h,40.83,q,f,u,a
166,9.5,g,v,19.33,q,f,u,b
167,0.54,g,v,32.33,cc,f,u,a
168,3.25,g,h,36.67,q,f,u,b
169,1.125,g,v,37.5,d,f,y,b
170,2.54,g,v,25.08,aa,f,y,a
171,0.0,g,bb,41.33,c,f,u,b
172,12.5,g,h,56.0,k,f,u,b
173,13.585,g,h,49.83,k,f,u,a
174,10.5,g,h,22.67,q,f,u,b
175,1.5,g,v,27.0,w,f,y,b
176,12.5,s,v,25.0,aa,f,u,b
177,8.665,g,v,26.08,aa,f,u,a
178,9.25,g,v,18.42,q,t,u,a
179,8.17,g,v,20.17,aa,t,u,b
180,0.29,g,bb,47.67,c,t,u,b
181,2.335,s,bb,21.25,i,t,u,a
182,3.0,g,v,20.67,q,t,u,a
183,19.5,g,v,57.08,c,t,u,a
184,5.665,g,v,22.42,q,t,u,a
185,8.5,g,h,48.75,c,t,u,b
186,6.5,g,bb,40.0,aa,t,u,b
187,5.0,g,v,40.58,c,t,u,b
188,1.04,g,v,28.67,c,t,u,a
189,4.625,g,h,33.08,q,t,u,a
190,10.5,g,v,21.33,c,f,u,b
191,0.205,g,h,42.0,i,f,u,b
192,0.96,g,v,41.75,x,f,u,b
193,1.585,g,v,22.67,w,t,y,b
194,4.04,g,bb,34.5,i,t,y,b
195,5.04,g,bb,28.25,c,t,y,b
196,3.165,g,v,33.17,x,t,y,b
197,7.625,g,h,48.17,w,t,u,b
198,2.04,g,v,27.58,aa,t,y,b
199,10.04,g,v,22.58,x,t,u,b
200,0.5,g,h,24.08,q,t,u,a
201,1.0,g,bb,41.33,i,f,u,a
202,2.75,g,v,24.83,c,t,u,b
203,10.25,g,v,20.75,q,t,u,a
204,2.125,g,v,36.33,w,t,y,b
205,12.0,g,h,35.42,q,t,u,a
206,0.0,p,,71.58,,f,,a
207,9.335,g,h,28.67,q,t,u,b
208,2.5,g,v,35.17,k,t,u,b
209,4.25,g,bb,39.5,c,t,u,b
210,5.875,g,h,39.33,cc,t,u,b
211,6.625,s,v,24.33,d,f,y,b
212,14.5,g,ff,60.08,ff,t,u,b
213,11.5,g,v,23.08,i,t,u,b
214,2.71,g,v,26.67,cc,t,y,b
215,3.5,s,v,48.17,aa,f,u,b
216,4.04,g,h,41.17,cc,t,u,b
217,11.5,g,ff,55.92,ff,t,u,b
218,9.625,g,v,53.92,e,t,u,b
219,9.25,g,v,18.92,c,t,y,a
220,12.54,g,v,50.08,aa,t,u,a
221,11.0,g,z,65.42,e,t,u,b
222,9.0,g,v,17.58,aa,f,u,a
223,9.54,g,v,18.83,aa,f,u,a
224,5.5,g,v,37.75,q,f,u,a
225,4.0,g,bb,23.25,c,f,u,b
226,5.5,g,v,18.08,k,f,u,b
227,8.46,g,v,22.5,x,f,y,a
228,0.375,g,v,19.67,q,t,u,b
229,11.0,g,v,22.08,cc,f,u,b
230,3.5,g,v,25.17,cc,t,u,b
231,3.0,g,v,47.42,x,t,u,a
232,1.75,g,h,33.5,x,t,u,b
233,13.75,g,v,27.67,w,f,u,b
234,21.0,g,bb,58.42,i,t,u,a
235,1.835,g,v,20.67,q,t,u,a
236,0.25,g,bb,26.17,i,f,u,b
237,7.5,g,v,21.33,aa,t,u,b
238,4.625,s,v,42.83,q,f,u,b
239,10.125,g,v,38.17,x,t,u,b
240,10.0,s,v,20.5,c,f,y,b
241,25.085,g,v,48.25,w,t,u,b
242,5.0,g,v,28.33,w,f,u,b
243,7.5,g,v,18.75,q,t,u,a
244,2.0,g,v,18.5,i,t,u,b
245,3.04,g,h,33.17,c,t,y,b
246,8.5,g,h,45.0,cc,t,u,b
247,0.21,g,h,19.67,q,t,u,a
248,12.75,g,bb,24.5,c,t,u,
249,11.0,g,v,21.83,x,t,u,b
250,21.5,g,z,40.25,e,t,u,b
251,5.0,g,h,41.42,q,t,u,b
252,11.0,g,h,17.83,x,t,u,a
253,11.125,g,h,23.17,x,t,u,b
254,0.625,g,v,,k,f,u,b
255,10.25,g,h,18.17,c,f,u,b
256,11.045,g,v,20.0,c,f,u,b
257,0.0,g,v,20.0,d,f,u,b
258,9.54,g,v,20.75,i,f,u,a
259,1.75,g,v,24.5,c,f,y,a
260,2.335,g,h,32.75,d,f,u,b
261,0.0,g,ff,52.17,ff,f,y,a
262,1.335,g,o,48.17,i,f,u,a
263,10.5,g,h,20.42,x,f,y,a
264,0.585,g,ff,50.75,ff,f,u,b
265,0.085,g,v,17.08,c,f,y,b
266,1.21,g,dd,18.33,e,f,y,b
267,6.0,g,v,32.0,d,f,u,a
268,1.54,g,v,59.67,q,f,u,b
269,0.165,g,n,18.0,q,f,u,b
270,0.0,p,,37.58,,f,,b
271,2.5,g,v,32.33,c,f,u,b
272,6.75,g,v,18.08,m,f,y,b
273,10.125,g,v,38.25,k,f,y,b
274,2.5,s,h,30.67,cc,f,u,b
275,5.71,g,v,18.58,d,f,u,b
276,5.415,g,h,19.17,i,f,u,a
277,10.0,g,h,18.17,q,f,y,a
278,13.5,g,ff,24.58,ff,f,y,b
279,0.835,s,v,16.25,m,f,u,b
280,0.875,g,h,21.17,c,f,y,b
281,0.585,g,h,23.92,cc,f,y,b
282,4.46,s,v,17.67,c,f,u,b
283,1.25,g,v,16.5,q,t,u,a
284,12.625,g,v,23.25,c,t,u,b
285,10.0,g,h,17.58,w,t,u,b
286,1.5,g,ff,,ff,t,u,a
287,0.58,g,v,29.5,w,t,u,b
288,0.415,g,v,18.83,c,t,y,b
289,1.75,g,j,21.75,j,f,y,a
290,0.75,s,v,23.0,m,f,u,b
291,10.0,g,v,18.25,w,t,u,a
292,0.54,g,v,25.42,w,t,u,b
293,2.415,g,v,35.75,w,t,u,b
294,0.335,g,ff,16.08,ff,t,u,a
295,3.125,g,ff,31.92,ff,t,u,a
296,9.0,g,ff,69.17,ff,t,u,b
297,2.5,g,v,32.92,aa,t,u,b
298,2.75,g,v,16.33,aa,t,u,b
299,12.125,g,v,22.17,c,t,u,b
300,2.0,g,ff,57.58,ff,t,u,a
301,0.165,s,v,18.25,d,f,u,b
302,1.0,s,v,23.42,c,f,u,b
303,2.875,g,v,15.92,q,f,u,a
304,13.665,g,h,24.75,q,f,u,a
305,26.335,g,ff,48.75,ff,f,y,b
306,2.75,g,ff,23.5,ff,f,u,b
307,10.29,g,ff,18.58,ff,f,u,b
308,1.29,s,h,27.75,k,f,u,b
309,3.0,g,j,31.75,j,f,y,a
310,4.5,g,v,24.83,w,f,u,a
311,1.75,g,v,19.0,c,f,y,b
312,0.21,g,v,16.33,aa,f,u,a
313,10.0,g,v,18.58,d,f,u,a
314,0.0,g,v,16.25,aa,f,y,b
315,0.75,s,v,23.0,m,f,u,b
316,0.25,g,h,21.17,c,f,y,b
317,22.0,p,o,17.5,ff,f,l,b
318,0.0,s,bb,19.17,m,f,y,b
319,0.125,g,v,36.75,c,f,y,b
320,1.5,g,v,21.25,w,f,u,b
321,0.375,s,ff,18.08,cc,f,l,a
322,0.375,g,v,33.67,cc,f,u,a
323,0.205,g,v,48.58,k,t,y,b
324,1.25,g,v,33.67,w,f,u,b
325,1.085,g,v,29.5,x,f,y,a
326,1.085,g,v,30.17,c,f,y,b
327,3.5,s,bb,40.83,i,f,u,
328,2.5,s,v,34.83,w,f,y,b
329,4.0,g,v,,i,f,y,b
330,0.0,p,,20.42,,f,,b
331,2.5,g,v,33.25,c,f,y,a
332,2.5,g,v,34.08,c,f,u,b
333,12.5,g,v,25.25,d,f,u,a
334,2.5,g,bb,34.75,cc,f,u,b
335,0.75,g,h,27.67,q,f,u,b
336,6.5,g,v,47.33,c,f,u,b
337,1.25,g,h,34.83,i,f,y,a
338,3.0,g,v,33.25,aa,f,y,a
339,3.0,g,v,28.0,w,f,u,b
340,4.0,g,v,39.08,c,f,u,a
341,4.085,g,v,42.75,aa,f,u,b
342,2.25,g,bb,26.92,i,f,u,b
343,2.75,g,bb,33.75,i,f,u,b
344,1.75,g,v,38.92,k,f,u,b
345,7.0,g,z,62.75,e,f,u,b
346,1.5,g,v,32.25,c,f,u,
347,4.5,g,bb,26.75,c,f,y,b
348,0.54,g,v,63.33,c,t,u,b
349,1.5,g,v,27.83,w,t,u,b
350,2.0,g,j,26.17,j,f,u,a
351,0.585,g,ff,22.17,ff,f,y,b
352,11.5,g,v,22.5,m,f,y,b
353,1.585,s,v,30.75,d,f,u,b
354,2.0,g,v,36.67,i,f,u,b
355,0.165,g,v,16.0,aa,t,u,a
356,1.335,g,v,41.17,d,f,u,b
357,0.165,g,v,19.5,q,f,u,a
358,3.0,g,v,32.42,d,f,u,b
359,4.71,g,ff,36.75,ff,f,u,a
360,5.5,s,v,30.25,k,f,u,a
361,2.5,g,ff,23.08,ff,f,u,b
362,0.54,g,ff,26.83,k,f,u,b
363,0.335,s,v,16.92,k,f,y,b
364,2.0,g,dd,24.42,e,t,u,b
365,1.25,g,v,42.83,m,t,u,b
366,6.165,g,v,22.75,aa,f,u,a
367,1.71,s,v,39.42,m,f,y,b
368,11.5,g,h,23.58,k,f,y,a
369,0.75,g,n,21.42,r,f,y,b
370,2.5,g,v,33.0,w,f,y,b
371,13.0,g,dd,26.33,e,f,u,b
372,4.585,s,h,45.0,k,f,u,a
373,1.54,g,v,26.25,w,f,u,b
374,0.585,g,v,28.17,aa,f,u,
375,0.5,g,dd,20.83,e,f,y,a
376,14.5,g,v,28.67,d,f,u,b
377,0.835,s,v,20.67,c,f,y,b
378,1.335,g,bb,34.42,i,f,u,b
379,0.25,s,bb,33.58,i,f,u,b
380,5.0,g,bb,43.17,i,f,u,b
381,7.0,g,v,22.67,c,f,u,a
382,2.5,g,bb,24.33,i,f,y,a
383,4.25,g,ff,56.83,ff,f,y,a
384,11.46,g,v,22.08,k,f,u,b
385,5.5,g,v,34.0,c,f,y,b
386,1.5,g,v,22.58,aa,f,y,b
387,0.0,s,v,21.17,c,f,u,b
388,14.585,g,bb,26.67,i,f,u,b
389,0.17,s,v,22.92,m,f,u,b
390,7.0,g,v,15.17,e,f,u,b
391,5.0,g,bb,39.92,i,f,u,b
392,12.5,g,bb,27.42,aa,f,u,b
393,0.54,g,v,24.75,m,f,u,b
394,1.25,g,v,41.17,w,f,y,b
395,1.625,g,v,33.08,d,f,u,a
396,2.04,g,h,29.83,x,f,y,b
397,0.585,g,ff,23.58,ff,f,y,a
398,12.5,g,h,26.17,k,f,y,b
399,2.085,g,v,31.0,c,f,u,b
400,5.085,g,v,20.75,j,f,y,b
401,0.375,g,v,28.92,c,f,u,b
402,6.5,g,bb,51.92,i,f,u,a
403,0.335,s,v,22.67,q,f,u,a
404,5.085,g,bb,34.0,i,f,y,b
405,6.0,s,ff,69.5,ff,f,u,a
406,8.125,g,v,40.33,k,t,y,a
407,0.665,g,v,19.58,c,t,y,a
408,3.125,g,v,16.0,w,t,u,b
409,0.25,g,v,17.08,q,t,u,b
410,2.835,g,ff,31.25,ff,t,u,b
411,3.0,g,v,25.17,c,t,u,b
412,0.79,g,v,22.67,i,f,u,a
413,1.5,s,bb,40.58,i,f,u,b
414,0.46,g,v,22.25,k,f,u,b
415,1.25,g,ff,22.25,ff,f,y,a
416,0.125,g,v,22.5,k,f,y,b
417,1.79,g,v,23.58,c,f,u,b
418,0.705,g,v,38.42,c,t,u,b
419,2.54,g,ff,26.58,ff,f,y,a
420,2.5,g,v,35.0,i,f,u,b
421,1.085,g,v,20.42,q,f,u,b
422,1.25,g,v,29.42,w,f,u,b
423,0.835,g,v,26.17,cc,f,u,b
424,2.165,p,v,33.67,c,f,u,b
425,1.25,g,v,24.58,c,f,u,b
426,2.04,g,v,27.67,w,f,u,a
427,0.835,g,v,37.5,e,f,u,b
428,2.29,g,ff,49.17,ff,f,u,b
429,0.335,g,v,33.58,cc,f,y,b
430,3.0,g,ff,51.83,ff,f,y,b
431,3.165,g,v,22.92,c,f,y,b
432,1.54,g,v,21.83,k,f,u,b
433,1.0,g,v,25.25,aa,f,u,b
434,2.71,g,v,58.58,c,f,u,b
435,0.0,g,ff,19.0,ff,t,y,b
436,0.585,g,ff,19.58,ff,t,u,b
437,0.165,s,ff,53.33,ff,f,u,a
438,1.25,g,ff,27.17,ff,t,u,a
439,0.875,g,v,25.92,k,t,u,b
440,0.0,s,v,23.08,k,t,u,b
441,5.0,g,ff,39.58,ff,t,u,b
442,2.71,s,v,30.58,m,f,y,b
443,3.0,g,v,17.25,k,f,u,b
444,0.0,g,ff,17.67,j,f,y,a
445,11.25,g,ff,,ff,f,u,a
446,0.125,g,v,16.5,c,f,u,b
447,1.665,g,ff,27.33,ff,f,u,a
448,1.125,g,ff,31.25,ff,t,u,b
449,7.0,g,v,20.0,c,f,u,b
450,3.0,g,bb,,i,f,y,b
451,1.625,g,v,39.5,c,f,u,b
452,4.25,g,v,36.5,q,f,u,b
453,0.665,g,v,29.75,w,f,u,
454,1.5,g,v,52.42,d,f,u,b
455,18.125,g,v,36.17,w,f,u,b
456,0.0,p,,34.58,,f,,b
457,0.75,g,v,29.67,c,f,y,b
458,5.5,g,bb,36.17,i,f,u,b
459,0.29,g,v,25.67,c,f,y,b
460,2.415,g,v,24.5,c,f,y,a
461,0.875,g,v,24.08,m,t,u,b
462,0.5,g,v,21.92,c,f,u,b
463,0.29,g,ff,36.58,ff,t,u,a
464,1.835,g,j,23.0,j,t,u,a
465,3.0,g,v,27.58,m,t,u,a
466,3.085,g,v,31.08,c,t,u,b
467,1.375,g,h,30.42,w,t,u,a
468,2.335,g,v,22.08,k,f,u,b
469,4.085,g,h,16.33,i,f,u,b
470,11.665,g,h,21.92,k,f,u,a
471,4.125,g,h,21.08,i,f,y,b
472,6.5,g,v,17.42,i,f,u,b
473,4.0,g,v,19.17,i,f,y,b
474,0.415,g,v,20.67,c,f,u,b
475,2.0,g,v,26.75,d,f,u,b
476,0.835,g,h,23.58,i,f,u,b
477,2.5,s,h,39.17,i,f,y,b
478,11.5,g,v,22.75,i,f,u,b
479,2.71,s,,26.5,,f,y,
480,0.5,g,v,16.92,i,t,u,a
481,3.165,g,v,23.5,k,t,y,b
482,9.5,g,v,17.33,aa,t,u,a
483,0.415,g,v,23.75,c,t,y,b
484,1.08,s,v,34.67,m,f,u,b
485,19.0,g,ff,74.83,ff,t,y,b
486,0.125,g,v,28.17,k,f,y,b
487,13.335,g,v,24.5,aa,f,y,b
488,3.54,g,ff,18.83,ff,f,y,b
489,1.0,g,v,45.33,q,f,u,
490,0.75,g,h,47.25,q,t,u,a
491,0.875,g,v,24.17,q,t,u,b
492,9.5,g,v,39.25,m,t,u,b
493,11.835,g,h,20.5,c,f,u,a
494,4.415,g,h,18.83,c,f,y,a
495,9.5,g,v,19.17,w,f,u,b
496,0.875,g,h,25.0,x,f,u,a
497,9.25,g,v,20.17,c,t,u,b
498,0.5,g,v,25.75,c,t,u,b
499,7.0,g,v,20.42,c,t,u,b
500,4.0,g,v,,x,t,u,b
501,5.0,g,v,39.0,cc,t,u,b
502,0.165,g,ff,64.08,ff,t,u,a
503,5.125,g,v,28.25,x,t,u,b
504,3.75,g,v,28.75,c,t,u,a
505,19.5,g,v,31.33,c,t,u,b
506,9.0,g,v,18.92,aa,t,u,a
507,3.0,g,h,24.75,q,t,u,a
508,12.0,g,v,30.67,c,t,u,a
509,4.79,g,v,21.0,w,t,y,b
510,4.0,g,v,13.75,w,t,y,b
511,4.0,g,j,46.0,j,f,u,a
512,0.0,g,v,44.33,c,f,u,a
513,9.96,g,dd,20.25,e,f,u,b
514,2.54,g,h,22.67,c,f,y,b
515,10.5,g,v,,x,f,u,b
516,5.0,g,v,60.92,aa,t,u,a
517,0.75,g,v,16.08,c,t,u,b
518,0.375,g,v,28.17,q,t,u,a
519,1.71,g,v,39.17,x,t,u,b
520,7.5,g,v,20.42,k,t,u,
521,5.29,g,dd,30.0,e,t,u,a
522,3.0,g,v,22.83,m,t,u,b
523,8.5,g,v,22.5,q,t,u,a
524,1.665,g,v,28.58,q,f,u,a
525,1.5,g,v,45.17,c,f,u,b
526,1.75,g,v,41.58,k,f,u,b
527,0.335,g,bb,57.08,i,f,u,a
528,7.08,g,h,55.75,k,t,u,a
529,25.21,g,h,43.25,q,t,u,b
530,2.085,g,h,25.33,c,f,u,a
531,0.67,g,h,24.58,aa,f,u,a
532,2.25,g,bb,43.17,i,f,u,b
533,0.835,g,ff,40.92,ff,f,u,b
534,2.5,g,v,31.83,aa,f,u,b
535,1.585,g,ff,33.92,ff,f,y,a
536,1.25,g,ff,24.92,ff,f,u,a
537,3.165,g,h,35.25,x,f,u,b
538,1.75,g,bb,34.25,w,f,u,b
539,5.5,g,,80.25,,f,u,b
540,1.5,g,v,19.42,cc,f,y,b
541,3.0,g,bb,42.75,i,f,u,b
542,10.0,g,h,19.67,k,f,y,b
543,3.79,g,v,36.33,w,f,u,b
544,1.04,g,bb,30.08,i,t,y,b
545,11.0,s,v,44.25,d,f,y,b
546,0.46,g,v,23.58,w,t,y,b
547,1.5,g,h,23.92,d,t,u,b
548,1.0,g,v,33.17,x,t,u,b
549,12.0,s,v,48.33,m,f,u,b
550,22.29,g,z,76.75,e,t,u,b
551,10.0,g,bb,51.33,i,t,u,b
552,15.0,g,n,34.75,r,t,u,b
553,3.335,g,v,38.58,w,t,u,b
554,11.25,g,h,22.42,x,t,y,a
555,0.42,g,h,41.92,c,t,u,b
556,4.5,g,v,29.58,w,t,u,b
557,1.46,g,v,32.17,w,t,u,a
558,0.04,g,h,51.42,x,f,u,b
559,2.29,g,h,22.83,q,t,u,a
560,12.33,g,h,25.0,cc,t,u,a
561,1.125,g,h,26.75,x,f,u,b
562,1.5,g,h,23.33,c,f,u,b
563,12.335,g,h,24.42,q,f,u,b
564,5.04,g,h,42.17,q,f,u,b
565,3.0,g,v,20.83,aa,f,u,a
566,11.5,g,h,23.08,w,t,u,b
567,2.875,g,h,25.17,x,f,u,a
568,0.375,g,v,43.08,c,t,y,b
569,0.915,g,v,35.75,aa,t,u,a
570,2.75,g,v,59.5,w,t,u,b
571,3.0,g,v,21.0,d,t,y,b
572,0.54,g,v,21.92,x,t,y,b
573,14.0,g,ff,65.17,ff,t,u,a
574,10.0,g,h,20.33,c,t,u,a
575,0.165,g,h,32.25,c,t,y,b
576,0.5,g,v,30.17,c,t,u,b
577,6.0,g,v,25.17,c,t,u,b
578,1.625,g,v,39.17,c,t,u,b
579,6.0,g,v,39.08,m,t,u,b
580,0.83,g,v,31.67,x,t,u,b
581,0.04,s,v,41.0,e,t,u,b
582,4.25,g,v,48.5,m,f,u,b
583,9.0,g,h,32.67,w,f,y,b
584,15.0,g,z,28.08,e,f,y,a
585,17.75,g,ff,73.42,ff,f,u,b
586,20.0,g,h,64.08,x,t,u,b
587,15.0,g,v,51.58,c,t,u,b
588,1.75,g,v,26.67,c,t,y,b
589,0.58,g,v,25.33,c,t,u,b
590,6.5,g,v,30.17,cc,t,u,b
591,0.75,g,h,27.0,c,t,u,b
592,0.0,p,,23.17,,f,,b
593,5.25,g,v,34.17,w,f,u,b
594,0.21,g,v,38.67,k,f,u,b
595,0.75,g,bb,25.75,c,f,u,b
596,3.0,g,v,46.08,c,t,u,a
597,6.0,g,v,21.5,aa,t,u,a
598,0.125,g,v,20.08,q,t,u,
599,2.415,g,v,20.5,c,t,u,b
600,0.46,g,v,29.5,k,t,u,a
601,1.75,g,,42.25,,f,y,
602,1.25,g,v,29.83,k,f,y,b
603,0.25,g,v,20.08,q,f,u,b
604,0.585,g,h,23.42,c,f,u,b
605,1.75,g,v,29.58,k,f,y,a
606,0.04,g,v,16.17,c,f,u,b
607,3.5,g,v,32.33,k,f,u,b
608,0.04,g,v,,d,f,y,b
609,4.165,g,bb,47.83,x,f,u,b
610,1.25,g,v,20.0,k,f,y,b
611,3.25,g,h,27.58,q,t,y,b
612,0.79,g,v,22.0,w,t,u,b
613,10.915,g,bb,19.33,c,t,u,b
614,4.415,g,v,38.33,c,f,u,a
615,1.25,g,h,29.42,c,t,u,b
616,0.75,g,v,22.67,i,t,u,b
617,14.0,g,ff,32.25,ff,t,y,b
618,4.75,g,v,29.58,m,t,u,b
619,10.415,g,v,18.42,aa,f,y,b
620,2.25,g,v,22.17,i,f,u,b
621,0.165,s,j,22.67,c,f,u,b
622,0.0,p,,25.58,,f,,a
623,0.0,g,v,18.83,q,f,u,b
