,highway-mpg_num,symboling_cat,wheel-base_num,compression-ratio_num,engine-size_num,height_num,body-style_cat,fuel-type_cat,fuel-system_cat,city-mpg_num,engine-type_cat,aspiration_cat,length_num
111,24.0,0,107.9,8.4,120.0,56.7,sedan,gas,mpfi,19.0,l,std,186.7
112,33.0,0,107.9,21.0,152.0,56.7,sedan,diesel,idi,28.0,l,turbo,186.7
113,24.0,0,114.2,8.4,120.0,56.7,wagon,gas,mpfi,19.0,l,std,198.9
114,25.0,0,114.2,21.0,152.0,58.7,wagon,diesel,idi,25.0,l,turbo,198.9
115,24.0,0,107.9,8.4,120.0,56.7,sedan,gas,mpfi,19.0,l,std,186.7
116,33.0,0,107.9,21.0,152.0,56.7,sedan,diesel,idi,28.0,l,turbo,186.7
117,24.0,0,108.0,7.0,134.0,56.0,sedan,gas,mpfi,18.0,l,turbo,186.7
118,41.0,1,93.7,9.4,90.0,50.8,hatchback,gas,2bbl,37.0,ohc,std,157.3
119,30.0,1,93.7,7.6,98.0,50.8,hatchback,gas,spdi,24.0,ohc,turbo,157.3
120,38.0,1,93.7,9.4,90.0,50.6,hatchback,gas,2bbl,31.0,ohc,std,157.3
121,38.0,1,93.7,9.4,90.0,50.8,sedan,gas,2bbl,31.0,ohc,std,167.3
122,38.0,1,93.7,9.4,98.0,50.8,sedan,gas,2bbl,31.0,ohc,std,167.3
123,30.0,-1,103.3,8.5,122.0,59.8,wagon,gas,2bbl,24.0,ohc,std,174.6
124,24.0,3,95.9,7.0,156.0,50.2,hatchback,gas,spdi,19.0,ohc,turbo,173.2
125,27.0,3,94.5,9.5,151.0,50.2,hatchback,gas,mpfi,19.0,ohc,std,168.9
126,25.0,3,89.5,9.5,194.0,51.6,hardtop,gas,mpfi,17.0,ohcf,std,168.9
127,25.0,3,89.5,9.5,194.0,51.6,hardtop,gas,mpfi,17.0,ohcf,std,168.9
128,25.0,3,89.5,9.5,194.0,51.6,convertible,gas,mpfi,17.0,ohcf,std,168.9
129,28.0,1,98.4,10.0,203.0,50.5,hatchback,gas,mpfi,17.0,dohcv,std,175.7
130,31.0,0,96.1,8.7,132.0,55.2,wagon,gas,mpfi,23.0,ohc,std,181.5
131,31.0,2,96.1,8.7,132.0,50.5,hatchback,gas,mpfi,23.0,ohc,std,176.8
132,28.0,3,99.1,9.31,121.0,56.1,hatchback,gas,mpfi,21.0,ohc,std,186.6
133,28.0,2,99.1,9.3,121.0,56.1,sedan,gas,mpfi,21.0,ohc,std,186.6
134,28.0,3,99.1,9.3,121.0,56.1,hatchback,gas,mpfi,21.0,ohc,std,186.6
135,28.0,2,99.1,9.3,121.0,56.1,sedan,gas,mpfi,21.0,ohc,std,186.6
136,26.0,3,99.1,9.0,121.0,56.1,hatchback,gas,mpfi,19.0,dohc,turbo,186.6
137,26.0,2,99.1,9.0,121.0,56.1,sedan,gas,mpfi,19.0,dohc,turbo,186.6
138,36.0,2,93.7,9.0,97.0,53.7,hatchback,gas,2bbl,31.0,ohcf,std,156.9
139,31.0,2,93.7,8.7,108.0,53.7,hatchback,gas,2bbl,26.0,ohcf,std,157.9
140,31.0,2,93.3,8.7,108.0,55.7,hatchback,gas,2bbl,26.0,ohcf,std,157.3
141,37.0,0,97.2,9.5,108.0,52.5,sedan,gas,2bbl,32.0,ohcf,std,172.0
142,33.0,0,97.2,9.5,108.0,52.5,sedan,gas,2bbl,28.0,ohcf,std,172.0
143,32.0,0,97.2,9.0,108.0,52.5,sedan,gas,mpfi,26.0,ohcf,std,172.0
144,25.0,0,97.0,9.0,108.0,54.3,sedan,gas,2bbl,24.0,ohcf,std,172.0
145,29.0,0,97.0,7.7,108.0,54.3,sedan,gas,mpfi,24.0,ohcf,turbo,172.0
146,32.0,0,97.0,9.0,108.0,53.0,wagon,gas,2bbl,28.0,ohcf,std,173.5
147,31.0,0,97.0,9.0,108.0,53.0,wagon,gas,mpfi,25.0,ohcf,std,173.5
148,29.0,0,96.9,9.0,108.0,54.9,wagon,gas,2bbl,23.0,ohcf,std,173.6
149,23.0,0,96.9,7.7,108.0,54.9,wagon,gas,mpfi,23.0,ohcf,turbo,173.6
150,39.0,1,95.7,9.0,92.0,54.5,hatchback,gas,2bbl,35.0,ohc,std,158.7
151,38.0,1,95.7,9.0,92.0,54.5,hatchback,gas,2bbl,31.0,ohc,std,158.7
152,38.0,1,95.7,9.0,92.0,54.5,hatchback,gas,2bbl,31.0,ohc,std,158.7
153,37.0,0,95.7,9.0,92.0,59.1,wagon,gas,2bbl,31.0,ohc,std,169.7
154,32.0,0,95.7,9.0,92.0,59.1,wagon,gas,2bbl,27.0,ohc,std,169.7
155,32.0,0,95.7,9.0,92.0,59.1,wagon,gas,2bbl,27.0,ohc,std,169.7
156,37.0,0,95.7,9.0,98.0,53.0,sedan,gas,2bbl,30.0,ohc,std,166.3
157,37.0,0,95.7,9.0,98.0,52.8,hatchback,gas,2bbl,30.0,ohc,std,166.3
158,36.0,0,95.7,22.5,110.0,53.0,sedan,diesel,idi,34.0,ohc,std,166.3
159,47.0,0,95.7,22.5,110.0,52.8,hatchback,diesel,idi,38.0,ohc,std,166.3
160,47.0,0,95.7,9.0,98.0,53.0,sedan,gas,2bbl,38.0,ohc,std,166.3
161,34.0,0,95.7,9.0,98.0,52.8,hatchback,gas,2bbl,28.0,ohc,std,166.3
162,34.0,0,95.7,9.0,98.0,52.8,sedan,gas,2bbl,28.0,ohc,std,166.3
163,34.0,1,94.5,9.0,98.0,52.6,sedan,gas,2bbl,29.0,ohc,std,168.7
164,34.0,1,94.5,9.0,98.0,52.6,hatchback,gas,2bbl,29.0,ohc,std,168.7
165,29.0,1,94.5,9.4,98.0,52.6,sedan,gas,mpfi,26.0,dohc,std,168.7
166,29.0,1,94.5,9.4,98.0,52.6,hatchback,gas,mpfi,26.0,dohc,std,168.7
167,30.0,2,98.4,9.3,146.0,52.0,hardtop,gas,mpfi,24.0,ohc,std,176.2
168,30.0,2,98.4,9.3,146.0,52.0,hardtop,gas,mpfi,24.0,ohc,std,176.2
169,30.0,2,98.4,9.3,146.0,52.0,hatchback,gas,mpfi,24.0,ohc,std,176.2
170,30.0,2,98.4,9.3,146.0,52.0,hardtop,gas,mpfi,24.0,ohc,std,176.2
171,30.0,2,98.4,9.3,146.0,52.0,hatchback,gas,mpfi,24.0,ohc,std,176.2
172,30.0,2,98.4,9.3,146.0,53.0,convertible,gas,mpfi,24.0,ohc,std,176.2
173,34.0,-1,102.4,8.7,122.0,54.9,sedan,gas,mpfi,29.0,ohc,std,175.6
174,33.0,-1,102.4,22.5,110.0,54.9,sedan,diesel,idi,30.0,ohc,turbo,175.6
175,32.0,-1,102.4,8.7,122.0,53.9,hatchback,gas,mpfi,27.0,ohc,std,175.6
176,32.0,-1,102.4,8.7,122.0,54.9,sedan,gas,mpfi,27.0,ohc,std,175.6
177,32.0,-1,102.4,8.7,122.0,53.9,hatchback,gas,mpfi,27.0,ohc,std,175.6
178,24.0,3,102.9,9.3,171.0,52.0,hatchback,gas,mpfi,20.0,dohc,std,183.5
179,24.0,3,102.9,9.3,171.0,52.0,hatchback,gas,mpfi,19.0,dohc,std,183.5
180,24.0,-1,104.5,9.2,171.0,54.1,sedan,gas,mpfi,20.0,dohc,std,187.8
181,24.0,-1,104.5,9.2,161.0,54.1,wagon,gas,mpfi,19.0,dohc,std,187.8
182,46.0,2,97.3,23.0,97.0,55.7,sedan,diesel,idi,37.0,ohc,std,171.7
183,34.0,2,97.3,9.0,109.0,55.7,sedan,gas,mpfi,27.0,ohc,std,171.7
184,46.0,2,97.3,23.0,97.0,55.7,sedan,diesel,idi,37.0,ohc,std,171.7
185,34.0,2,97.3,9.0,109.0,55.7,sedan,gas,mpfi,27.0,ohc,std,171.7
186,34.0,2,97.3,9.0,109.0,55.7,sedan,gas,mpfi,27.0,ohc,std,171.7
187,42.0,2,97.3,23.0,97.0,55.7,sedan,diesel,idi,37.0,ohc,turbo,171.7
188,32.0,2,97.3,10.0,109.0,55.7,sedan,gas,mpfi,26.0,ohc,std,171.7
189,29.0,3,94.5,8.5,109.0,55.6,convertible,gas,mpfi,24.0,ohc,std,159.3
190,29.0,3,94.5,8.5,109.0,51.4,hatchback,gas,mpfi,24.0,ohc,std,165.7
191,24.0,0,100.4,8.5,136.0,55.1,sedan,gas,mpfi,19.0,ohc,std,180.2
192,38.0,0,100.4,23.0,97.0,55.1,sedan,diesel,idi,33.0,ohc,turbo,180.2
193,31.0,0,100.4,9.0,109.0,55.1,wagon,gas,mpfi,25.0,ohc,std,183.1
194,28.0,-2,104.3,9.5,141.0,56.2,sedan,gas,mpfi,23.0,ohc,std,188.8
195,28.0,-1,104.3,9.5,141.0,57.5,wagon,gas,mpfi,23.0,ohc,std,188.8
196,28.0,-2,104.3,9.5,141.0,56.2,sedan,gas,mpfi,24.0,ohc,std,188.8
197,28.0,-1,104.3,9.5,141.0,57.5,wagon,gas,mpfi,24.0,ohc,std,188.8
198,22.0,-2,104.3,7.5,130.0,56.2,sedan,gas,mpfi,17.0,ohc,turbo,188.8
199,22.0,-1,104.3,7.5,130.0,57.5,wagon,gas,mpfi,17.0,ohc,turbo,188.8
200,28.0,-1,109.1,9.5,141.0,55.5,sedan,gas,mpfi,23.0,ohc,std,188.8
201,25.0,-1,109.1,8.7,141.0,55.5,sedan,gas,mpfi,19.0,ohc,turbo,188.8
202,23.0,-1,109.1,8.8,173.0,55.5,sedan,gas,mpfi,18.0,ohcv,std,188.8
203,27.0,-1,109.1,23.0,145.0,55.5,sedan,diesel,idi,26.0,ohc,turbo,188.8
204,25.0,-1,109.1,9.5,141.0,55.5,sedan,gas,mpfi,19.0,ohc,turbo,188.8
