,Won.state.1996_cat,State_cat,Perjury.guilty_cat,Obstruction.guilty_cat,Total.guilty_cat,Party_cat,Conservatism_num,Clinton.vote.1996_num,Reelection.year_cat,First.term_cat
37,Clinton,ME,Not_guilty,Not_guilty,0,Republican,44,52,2000,Yes
38,Clinton,MD,Not_guilty,Not_guilty,0,Democrat,4,54,2004,No
39,Clinton,MD,Not_guilty,Not_guilty,0,Democrat,0,54,2000,No
40,Clinton,MA,Not_guilty,Not_guilty,0,Democrat,4,62,2000,No
41,Clinton,MA,Not_guilty,Not_guilty,0,Democrat,0,62,2002,No
42,Clinton,MI,Guilty,Guilty,2,Republican,76,52,2000,Yes
43,Clinton,MI,Not_guilty,Not_guilty,0,Democrat,0,52,2002,No
44,Clinton,MN,Guilty,Guilty,2,Republican,100,51,2000,Yes
45,Clinton,MN,Not_guilty,Not_guilty,0,Democrat,4,51,2002,No
46,Dole,MS,Guilty,Guilty,2,Republican,56,44,2002,No
47,Dole,MS,Guilty,Guilty,2,Republican,72,44,2000,No
48,Clinton,MO,Guilty,Guilty,2,Republican,100,48,2000,Yes
49,Clinton,MO,Guilty,Guilty,2,Republican,76,48,2004,No
50,Dole,MT,Not_guilty,Not_guilty,0,Democrat,4,41,2002,No
51,Dole,MT,Guilty,Guilty,2,Republican,88,41,2000,No
52,Dole,NE,Guilty,Guilty,2,Republican,80,35,2002,Yes
53,Dole,NE,Not_guilty,Not_guilty,0,Democrat,4,35,2000,No
54,Clinton,NV,Not_guilty,Not_guilty,0,Democrat,4,44,2000,No
55,Clinton,NV,Not_guilty,Not_guilty,0,Democrat,8,44,2004,No
56,Clinton,NH,Guilty,Guilty,2,Republican,76,49,2004,No
57,Clinton,NH,Guilty,Guilty,2,Republican,96,49,2002,No
58,Clinton,NJ,Not_guilty,Not_guilty,0,Democrat,0,53,2000,No
59,Clinton,NJ,Not_guilty,Not_guilty,0,Democrat,16,53,2002,Yes
60,Clinton,NM,Not_guilty,Not_guilty,0,Democrat,0,50,2000,No
61,Clinton,NM,Guilty,Guilty,2,Republican,60,50,2002,No
62,Clinton,NY,Not_guilty,Not_guilty,0,Democrat,12,59,2000,No
63,Clinton,NY,Not_guilty,Not_guilty,0,Democrat,19,59,2004,Yes
64,Dole,NC,Not_guilty,Not_guilty,0,Democrat,40,44,2004,Yes
65,Dole,NC,Guilty,Guilty,2,Republican,100,44,2002,No
66,Dole,ND,Not_guilty,Not_guilty,0,Democrat,16,40,2000,No
67,Dole,ND,Not_guilty,Not_guilty,0,Democrat,16,40,2004,No
68,Clinton,OH,Guilty,Guilty,2,Republican,68,48,2000,Yes
69,Clinton,OH,Guilty,Guilty,2,Republican,60,48,2004,Yes
70,Dole,OK,Guilty,Guilty,2,Republican,100,40,2002,Yes
71,Dole,OK,Guilty,Guilty,2,Republican,96,40,2004,No
72,Clinton,OR,Guilty,Guilty,2,Republican,72,47,2002,Yes
73,Clinton,OR,Not_guilty,Not_guilty,0,Democrat,8,47,2004,Yes
74,Clinton,PA,Guilty,Guilty,2,Republican,84,49,2000,Yes
75,Clinton,PA,Not_guilty,Not_guilty,0,Republican,32,49,2004,No
76,Clinton,RI,Not_guilty,Not_guilty,0,Republican,24,60,2000,No
77,Clinton,RI,Not_guilty,Not_guilty,0,Democrat,0,60,2002,Yes
78,Dole,SC,Not_guilty,Not_guilty,0,Democrat,8,44,2004,No
79,Dole,SC,Guilty,Guilty,2,Republican,96,44,2002,No
80,Dole,SD,Not_guilty,Not_guilty,0,Democrat,4,43,2004,No
81,Dole,SD,Not_guilty,Not_guilty,0,Democrat,12,43,2002,Yes
82,Clinton,TN,Guilty,Guilty,2,Republican,72,48,2000,Yes
83,Clinton,TN,Not_guilty,Guilty,1,Republican,88,48,2002,Yes
84,Dole,TX,Guilty,Guilty,2,Republican,100,44,2002,No
85,Dole,TX,Guilty,Guilty,2,Republican,92,44,2000,Yes
86,Dole,UT,Guilty,Guilty,2,Republican,68,33,2004,No
87,Dole,UT,Guilty,Guilty,2,Republican,68,33,2000,No
88,Clinton,VT,Not_guilty,Not_guilty,0,Republican,21,54,2000,No
89,Clinton,VT,Not_guilty,Not_guilty,0,Democrat,13,54,2004,No
90,Dole,VA,Not_guilty,Not_guilty,0,Democrat,4,45,2000,No
91,Dole,VA,Not_guilty,Guilty,1,Republican,80,45,2002,No
92,Clinton,WA,Not_guilty,Guilty,1,Republican,60,51,2000,No
93,Clinton,WA,Not_guilty,Not_guilty,0,Democrat,0,51,2004,No
94,Clinton,WV,Not_guilty,Not_guilty,0,Democrat,16,51,2000,No
95,Clinton,WV,Not_guilty,Not_guilty,0,Democrat,8,51,2002,No
96,Clinton,WI,Not_guilty,Not_guilty,0,Democrat,8,49,2004,No
97,Clinton,WI,Not_guilty,Not_guilty,0,Democrat,20,49,2000,No
98,Dole,WY,Guilty,Guilty,2,Republican,88,37,2002,Yes
99,Dole,WY,Guilty,Guilty,2,Republican,84,37,2000,Yes
