,Class_cat,top-left-square_cat,top-middle-square_cat,top-right-square_cat,middle-left-square_cat,middle-middle-square_cat,middle-right-square_cat,bottom-left-square_cat,bottom-middle-square_cat,bottom-right-square_cat
177,positive,x,o,o,o,b,b,x,x,x
178,positive,x,o,o,b,x,x,o,b,x
179,positive,x,o,o,b,x,x,b,o,x
180,positive,x,o,o,b,x,o,x,b,x
181,positive,x,o,o,b,x,o,b,x,x
182,positive,x,o,o,b,x,b,x,o,x
183,positive,x,o,o,b,x,b,o,x,x
184,positive,x,o,o,b,x,b,b,b,x
185,positive,x,o,o,b,o,b,x,x,x
186,positive,x,o,o,b,b,o,x,x,x
187,positive,x,o,b,x,x,x,o,o,b
188,positive,x,o,b,x,x,x,o,b,o
189,positive,x,o,b,x,x,x,b,o,o
190,positive,x,o,b,x,x,o,x,o,b
191,positive,x,o,b,x,x,o,x,b,o
192,positive,x,o,b,x,x,o,o,b,x
193,positive,x,o,b,x,x,o,b,o,x
194,positive,x,o,b,x,x,b,x,o,o
195,positive,x,o,b,x,x,b,o,o,x
196,positive,x,o,b,x,o,x,x,b,o
197,positive,x,o,b,x,o,o,x,x,b
198,positive,x,o,b,x,o,o,x,b,x
199,positive,x,o,b,x,o,b,x,x,o
200,positive,x,o,b,x,o,b,x,b,b
201,positive,x,o,b,x,b,x,x,o,o
202,positive,x,o,b,x,b,o,x,x,o
203,positive,x,o,b,x,b,o,x,o,x
204,positive,x,o,b,x,b,o,x,b,b
205,positive,x,o,b,x,b,b,x,o,b
206,positive,x,o,b,x,b,b,x,b,o
207,positive,x,o,b,o,x,x,o,b,x
208,positive,x,o,b,o,x,x,b,o,x
209,positive,x,o,b,o,x,o,x,b,x
210,positive,x,o,b,o,x,o,b,x,x
211,positive,x,o,b,o,x,b,x,o,x
212,positive,x,o,b,o,x,b,o,x,x
213,positive,x,o,b,o,x,b,b,b,x
214,positive,x,o,b,o,o,b,x,x,x
215,positive,x,o,b,o,b,o,x,x,x
216,positive,x,o,b,b,x,x,o,o,x
217,positive,x,o,b,b,x,o,x,o,x
218,positive,x,o,b,b,x,o,o,x,x
219,positive,x,o,b,b,x,o,b,b,x
220,positive,x,o,b,b,x,b,o,b,x
221,positive,x,o,b,b,x,b,b,o,x
222,positive,x,o,b,b,o,o,x,x,x
223,positive,x,b,x,x,o,o,x,o,b
224,positive,x,b,x,x,o,o,x,b,o
225,positive,x,b,x,x,o,b,x,o,o
226,positive,x,b,x,x,b,o,x,o,o
227,positive,x,b,x,o,x,o,x,o,b
228,positive,x,b,x,o,x,o,x,b,o
229,positive,x,b,x,o,x,o,o,b,x
230,positive,x,b,x,o,x,o,b,o,x
231,positive,x,b,x,o,x,b,x,o,o
232,positive,x,b,x,o,x,b,o,o,x
233,positive,x,b,x,o,o,x,o,b,x
234,positive,x,b,x,o,o,x,b,o,x
235,positive,x,b,x,o,b,x,o,o,x
236,positive,x,b,x,b,x,o,x,o,o
237,positive,x,b,x,b,x,o,o,o,x
238,positive,x,b,x,b,o,x,o,o,x
239,positive,x,b,o,x,x,x,o,o,b
240,positive,x,b,o,x,x,x,o,b,o
241,positive,x,b,o,x,x,x,b,o,o
242,positive,x,b,o,x,x,o,x,o,b
243,positive,x,b,o,x,x,o,o,b,x
244,positive,x,b,o,x,x,o,b,o,x
245,positive,x,b,o,x,x,b,x,o,o
246,positive,x,b,o,x,x,b,o,o,x
247,positive,x,b,o,x,o,x,x,o,b
248,positive,x,b,o,x,o,x,x,b,o
249,positive,x,b,o,x,o,o,x,x,b
250,positive,x,b,o,x,o,o,x,b,x
251,positive,x,b,o,x,o,b,x,x,o
252,positive,x,b,o,x,o,b,x,o,x
253,positive,x,b,o,x,o,b,x,b,b
254,positive,x,b,o,x,b,x,x,o,o
255,positive,x,b,o,x,b,o,x,o,x
256,positive,x,b,o,x,b,o,x,b,b
257,positive,x,b,o,x,b,b,x,o,b
258,positive,x,b,o,x,b,b,x,b,o
259,positive,x,b,o,o,x,x,o,b,x
260,positive,x,b,o,o,x,x,b,o,x
261,positive,x,b,o,o,x,o,x,b,x
262,positive,x,b,o,o,x,o,b,x,x
263,positive,x,b,o,o,x,b,x,o,x
264,positive,x,b,o,o,x,b,o,x,x
265,positive,x,b,o,o,x,b,b,b,x
266,positive,x,b,o,o,o,b,x,x,x
267,positive,x,b,o,o,b,o,x,x,x
268,positive,x,b,o,b,x,x,o,o,x
269,positive,x,b,o,b,x,o,x,o,x
270,positive,x,b,o,b,x,o,o,x,x
271,positive,x,b,o,b,x,o,b,b,x
272,positive,x,b,o,b,x,b,o,b,x
273,positive,x,b,o,b,x,b,b,o,x
274,positive,x,b,o,b,o,o,x,x,x
275,positive,x,b,b,x,x,o,x,o,o
276,positive,x,b,b,x,x,o,o,o,x
277,positive,x,b,b,x,o,x,x,o,o
278,positive,x,b,b,x,o,o,x,x,o
279,positive,x,b,b,x,o,o,x,o,x
280,positive,x,b,b,x,o,o,x,b,b
281,positive,x,b,b,x,o,b,x,o,b
282,positive,x,b,b,x,o,b,x,b,o
283,positive,x,b,b,x,b,o,x,o,b
284,positive,x,b,b,x,b,o,x,b,o
285,positive,x,b,b,x,b,b,x,o,o
286,positive,x,b,b,o,x,x,o,o,x
287,positive,x,b,b,o,x,o,x,o,x
288,positive,x,b,b,o,x,o,o,x,x
289,positive,x,b,b,o,x,o,b,b,x
290,positive,x,b,b,o,x,b,o,b,x
291,positive,x,b,b,o,x,b,b,o,x
292,positive,x,b,b,b,x,o,o,b,x
293,positive,x,b,b,b,x,o,b,o,x
294,positive,x,b,b,b,x,b,o,o,x
295,positive,o,x,x,x,x,o,x,o,o
296,positive,o,x,x,x,x,o,o,x,o
297,positive,o,x,x,x,o,x,o,o,x
298,positive,o,x,x,o,x,x,x,o,o
299,positive,o,x,x,o,x,o,x,x,o
300,positive,o,x,x,o,x,o,x,o,x
301,positive,o,x,x,o,x,o,x,b,b
302,positive,o,x,x,o,x,o,b,x,b
303,positive,o,x,x,o,x,b,x,o,b
304,positive,o,x,x,o,x,b,x,b,o
305,positive,o,x,x,o,x,b,b,x,o
306,positive,o,x,x,o,o,x,x,o,x
307,positive,o,x,x,o,o,x,b,b,x
308,positive,o,x,x,o,b,x,b,o,x
309,positive,o,x,x,b,x,o,x,o,b
310,positive,o,x,x,b,x,o,x,b,o
311,positive,o,x,x,b,x,o,o,x,b
312,positive,o,x,x,b,x,o,b,x,o
313,positive,o,x,x,b,x,b,x,o,o
314,positive,o,x,x,b,x,b,o,x,o
315,positive,o,x,x,b,o,x,o,b,x
316,positive,o,x,x,b,o,x,b,o,x
317,positive,o,x,x,b,b,x,o,o,x
318,positive,o,x,o,x,x,x,x,o,o
319,positive,o,x,o,x,x,x,o,x,o
320,positive,o,x,o,x,x,x,o,o,x
321,positive,o,x,o,x,x,x,o,b,b
322,positive,o,x,o,x,x,x,b,o,b
323,positive,o,x,o,x,x,x,b,b,o
324,positive,o,x,o,x,x,o,o,x,x
325,positive,o,x,o,x,x,o,b,x,b
326,positive,o,x,o,x,x,b,o,x,b
327,positive,o,x,o,x,x,b,b,x,o
328,positive,o,x,o,x,o,o,x,x,x
329,positive,o,x,o,o,x,x,x,x,o
330,positive,o,x,o,o,x,x,b,x,b
331,positive,o,x,o,o,x,o,x,x,x
332,positive,o,x,o,o,x,b,x,x,b
333,positive,o,x,o,o,x,b,b,x,x
334,positive,o,x,o,o,o,x,x,x,x
335,positive,o,x,o,o,b,b,x,x,x
336,positive,o,x,o,b,x,x,o,x,b
337,positive,o,x,o,b,x,x,b,x,o
338,positive,o,x,o,b,x,o,x,x,b
339,positive,o,x,o,b,x,o,b,x,x
340,positive,o,x,o,b,x,b,x,x,o
341,positive,o,x,o,b,x,b,o,x,x
342,positive,o,x,o,b,x,b,b,x,b
343,positive,o,x,o,b,o,b,x,x,x
344,positive,o,x,o,b,b,o,x,x,x
345,positive,o,x,b,x,x,x,o,o,b
346,positive,o,x,b,x,x,x,o,b,o
347,positive,o,x,b,x,x,x,b,o,o
348,positive,o,x,b,x,x,o,o,x,b
349,positive,o,x,b,x,x,o,b,x,o
350,positive,o,x,b,x,x,b,o,x,o
351,positive,o,x,b,o,x,x,b,x,o
352,positive,o,x,b,o,x,o,x,x,b
353,positive,o,x,b,o,x,o,b,x,x
354,positive,o,x,b,o,x,b,x,x,o
355,positive,o,x,b,o,x,b,b,x,b
356,positive,o,x,b,o,o,b,x,x,x
357,positive,o,x,b,o,b,o,x,x,x
358,positive,o,x,b,b,x,x,o,x,o
359,positive,o,x,b,b,x,o,x,x,o
360,positive,o,x,b,b,x,o,o,x,x
361,positive,o,x,b,b,x,o,b,x,b
362,positive,o,x,b,b,x,b,o,x,b
363,positive,o,x,b,b,x,b,b,x,o
364,positive,o,x,b,b,o,o,x,x,x
365,positive,o,o,x,x,x,x,x,o,o
366,positive,o,o,x,x,x,x,o,x,o
367,positive,o,o,x,x,x,x,o,o,x
368,positive,o,o,x,x,x,x,o,b,b
369,positive,o,o,x,x,x,x,b,o,b
370,positive,o,o,x,x,x,x,b,b,o
371,positive,o,o,x,x,x,o,x,x,o
372,positive,o,o,x,x,x,o,x,o,x
373,positive,o,o,x,x,x,o,x,b,b
374,positive,o,o,x,x,x,b,x,o,b
375,positive,o,o,x,x,x,b,x,b,o
376,positive,o,o,x,x,o,x,o,x,x
377,positive,o,o,x,x,o,x,b,b,x
378,positive,o,o,x,x,o,o,x,x,x
379,positive,o,o,x,x,b,x,o,b,x
380,positive,o,o,x,x,b,x,b,o,x
381,positive,o,o,x,o,x,x,x,x,o
382,positive,o,o,x,o,x,x,x,o,x
383,positive,o,o,x,o,x,x,x,b,b
384,positive,o,o,x,o,x,x,b,b,x
385,positive,o,o,x,o,x,o,x,x,x
386,positive,o,o,x,o,x,b,x,x,b
387,positive,o,o,x,o,x,b,x,b,x
388,positive,o,o,x,o,o,x,x,x,x
389,positive,o,o,x,o,b,x,x,b,x
390,positive,o,o,x,o,b,x,b,x,x
391,positive,o,o,x,o,b,b,x,x,x
392,positive,o,o,x,b,x,x,x,o,b
393,positive,o,o,x,b,x,x,x,b,o
394,positive,o,o,x,b,x,x,o,b,x
395,positive,o,o,x,b,x,x,b,o,x
396,positive,o,o,x,b,x,o,x,x,b
397,positive,o,o,x,b,x,o,x,b,x
398,positive,o,o,x,b,x,b,x,x,o
399,positive,o,o,x,b,x,b,x,o,x
400,positive,o,o,x,b,x,b,x,b,b
401,positive,o,o,x,b,o,x,x,b,x
402,positive,o,o,x,b,o,x,b,x,x
403,positive,o,o,x,b,o,b,x,x,x
404,positive,o,o,x,b,b,x,x,o,x
405,positive,o,o,x,b,b,x,o,x,x
406,positive,o,o,x,b,b,x,b,b,x
407,positive,o,o,x,b,b,o,x,x,x
408,positive,o,o,b,x,x,x,x,o,b
409,positive,o,o,b,x,x,x,x,b,o
410,positive,o,o,b,x,x,x,o,x,b
411,positive,o,o,b,x,x,x,o,b,x
412,positive,o,o,b,x,x,x,b,x,o
413,positive,o,o,b,x,x,x,b,o,x
414,positive,o,o,b,x,x,x,b,b,b
415,positive,o,o,b,x,o,b,x,x,x
416,positive,o,o,b,x,b,o,x,x,x
417,positive,o,o,b,o,x,b,x,x,x
418,positive,o,o,b,o,b,x,x,x,x
419,positive,o,o,b,b,x,o,x,x,x
420,positive,o,o,b,b,o,x,x,x,x
421,positive,o,o,b,b,b,b,x,x,x
422,positive,o,b,x,x,x,x,o,o,b
423,positive,o,b,x,x,x,x,o,b,o
424,positive,o,b,x,x,x,x,b,o,o
425,positive,o,b,x,x,x,o,x,o,b
426,positive,o,b,x,x,x,o,x,b,o
427,positive,o,b,x,x,x,b,x,o,o
428,positive,o,b,x,x,o,x,o,b,x
429,positive,o,b,x,x,o,x,b,o,x
430,positive,o,b,x,x,b,x,o,o,x
431,positive,o,b,x,o,x,x,x,o,b
432,positive,o,b,x,o,x,x,x,b,o
433,positive,o,b,x,o,x,x,b,o,x
434,positive,o,b,x,o,x,o,x,x,b
435,positive,o,b,x,o,x,o,x,b,x
436,positive,o,b,x,o,x,b,x,x,o
437,positive,o,b,x,o,x,b,x,o,x
438,positive,o,b,x,o,x,b,x,b,b
439,positive,o,b,x,o,o,x,x,b,x
440,positive,o,b,x,o,o,x,b,x,x
441,positive,o,b,x,o,o,b,x,x,x
442,positive,o,b,x,o,b,x,x,o,x
443,positive,o,b,x,o,b,x,b,b,x
444,positive,o,b,x,o,b,o,x,x,x
445,positive,o,b,x,b,x,x,x,o,o
446,positive,o,b,x,b,x,x,o,o,x
447,positive,o,b,x,b,x,o,x,x,o
448,positive,o,b,x,b,x,o,x,o,x
449,positive,o,b,x,b,x,o,x,b,b
450,positive,o,b,x,b,x,b,x,o,b
451,positive,o,b,x,b,x,b,x,b,o
452,positive,o,b,x,b,o,x,x,o,x
453,positive,o,b,x,b,o,x,o,x,x
454,positive,o,b,x,b,o,x,b,b,x
455,positive,o,b,x,b,o,o,x,x,x
456,positive,o,b,x,b,b,x,o,b,x
457,positive,o,b,x,b,b,x,b,o,x
458,positive,o,b,o,x,x,x,x,o,b
459,positive,o,b,o,x,x,x,x,b,o
460,positive,o,b,o,x,x,x,o,x,b
461,positive,o,b,o,x,x,x,o,b,x
462,positive,o,b,o,x,x,x,b,x,o
463,positive,o,b,o,x,x,x,b,o,x
464,positive,o,b,o,x,x,x,b,b,b
465,positive,o,b,o,x,o,b,x,x,x
466,positive,o,b,o,x,b,o,x,x,x
467,positive,o,b,o,o,x,b,x,x,x
468,positive,o,b,o,o,b,x,x,x,x
469,positive,o,b,o,b,x,o,x,x,x
470,positive,o,b,o,b,o,x,x,x,x
471,positive,o,b,o,b,b,b,x,x,x
472,positive,o,b,b,x,x,x,x,o,o
473,positive,o,b,b,x,x,x,o,x,o
474,positive,o,b,b,x,x,x,o,o,x
475,positive,o,b,b,x,x,x,o,b,b
476,positive,o,b,b,x,x,x,b,o,b
477,positive,o,b,b,x,x,x,b,b,o
478,positive,o,b,b,x,o,o,x,x,x
479,positive,o,b,b,o,x,o,x,x,x
480,positive,o,b,b,o,o,x,x,x,x
481,positive,o,b,b,o,b,b,x,x,x
482,positive,o,b,b,b,o,b,x,x,x
483,positive,o,b,b,b,b,o,x,x,x
484,positive,b,x,x,o,x,o,x,o,b
485,positive,b,x,x,o,x,o,x,b,o
486,positive,b,x,x,o,x,o,o,x,b
487,positive,b,x,x,o,x,o,b,x,o
488,positive,b,x,x,o,x,b,x,o,o
489,positive,b,x,x,o,x,b,o,x,o
490,positive,b,x,x,o,o,x,o,b,x
491,positive,b,x,x,o,o,x,b,o,x
492,positive,b,x,x,o,b,x,o,o,x
493,positive,b,x,x,b,x,o,x,o,o
494,positive,b,x,x,b,x,o,o,x,o
495,positive,b,x,x,b,o,x,o,o,x
496,positive,b,x,o,x,x,x,o,o,b
497,positive,b,x,o,x,x,x,o,b,o
498,positive,b,x,o,x,x,x,b,o,o
499,positive,b,x,o,x,x,o,o,x,b
500,positive,b,x,o,x,x,b,o,x,o
501,positive,b,x,o,o,x,x,o,x,b
502,positive,b,x,o,o,x,x,b,x,o
503,positive,b,x,o,o,x,o,x,x,b
504,positive,b,x,o,o,x,o,b,x,x
505,positive,b,x,o,o,x,b,x,x,o
506,positive,b,x,o,o,x,b,o,x,x
507,positive,b,x,o,o,x,b,b,x,b
508,positive,b,x,o,o,o,b,x,x,x
509,positive,b,x,o,o,b,o,x,x,x
510,positive,b,x,o,b,x,x,o,x,o
511,positive,b,x,o,b,x,o,o,x,x
512,positive,b,x,o,b,x,o,b,x,b
513,positive,b,x,o,b,x,b,o,x,b
514,positive,b,x,o,b,x,b,b,x,o
515,positive,b,x,o,b,o,o,x,x,x
516,positive,b,x,b,x,x,o,o,x,o
517,positive,b,x,b,o,x,x,o,x,o
518,positive,b,x,b,o,x,o,x,x,o
519,positive,b,x,b,o,x,o,o,x,x
520,positive,b,x,b,o,x,o,b,x,b
521,positive,b,x,b,o,x,b,o,x,b
522,positive,b,x,b,o,x,b,b,x,o
523,positive,b,x,b,b,x,o,o,x,b
524,positive,b,x,b,b,x,o,b,x,o
525,positive,b,x,b,b,x,b,o,x,o
526,positive,b,o,x,x,x,x,o,o,b
527,positive,b,o,x,x,x,x,o,b,o
528,positive,b,o,x,x,x,x,b,o,o
529,positive,b,o,x,x,x,o,x,o,b
530,positive,b,o,x,x,x,o,x,b,o
531,positive,b,o,x,x,x,b,x,o,o
532,positive,b,o,x,x,o,x,o,b,x
533,positive,b,o,x,x,b,x,o,o,x
534,positive,b,o,x,o,x,x,x,o,b
535,positive,b,o,x,o,x,x,x,b,o
536,positive,b,o,x,o,x,x,o,b,x
537,positive,b,o,x,o,x,x,b,o,x
538,positive,b,o,x,o,x,o,x,x,b
539,positive,b,o,x,o,x,o,x,b,x
540,positive,b,o,x,o,x,b,x,x,o
541,positive,b,o,x,o,x,b,x,o,x
542,positive,b,o,x,o,x,b,x,b,b
543,positive,b,o,x,o,o,x,x,b,x
544,positive,b,o,x,o,o,x,b,x,x
545,positive,b,o,x,o,o,b,x,x,x
546,positive,b,o,x,o,b,x,x,o,x
547,positive,b,o,x,o,b,x,o,x,x
548,positive,b,o,x,o,b,x,b,b,x
549,positive,b,o,x,o,b,o,x,x,x
550,positive,b,o,x,b,x,x,x,o,o
551,positive,b,o,x,b,x,x,o,o,x
552,positive,b,o,x,b,x,o,x,x,o
553,positive,b,o,x,b,x,o,x,o,x
554,positive,b,o,x,b,x,o,x,b,b
555,positive,b,o,x,b,x,b,x,o,b
556,positive,b,o,x,b,x,b,x,b,o
557,positive,b,o,x,b,o,x,o,x,x
558,positive,b,o,x,b,o,x,b,b,x
559,positive,b,o,x,b,o,o,x,x,x
560,positive,b,o,x,b,b,x,o,b,x
561,positive,b,o,x,b,b,x,b,o,x
562,positive,b,o,o,x,x,x,x,o,b
563,positive,b,o,o,x,x,x,x,b,o
564,positive,b,o,o,x,x,x,o,x,b
565,positive,b,o,o,x,x,x,o,b,x
566,positive,b,o,o,x,x,x,b,x,o
567,positive,b,o,o,x,x,x,b,o,x
568,positive,b,o,o,x,x,x,b,b,b
569,positive,b,o,o,x,o,b,x,x,x
570,positive,b,o,o,x,b,o,x,x,x
571,positive,b,o,o,o,x,b,x,x,x
572,positive,b,o,o,o,b,x,x,x,x
573,positive,b,o,o,b,x,o,x,x,x
574,positive,b,o,o,b,o,x,x,x,x
575,positive,b,o,o,b,b,b,x,x,x
576,positive,b,o,b,x,x,x,x,o,o
577,positive,b,o,b,x,x,x,o,x,o
578,positive,b,o,b,x,x,x,o,o,x
579,positive,b,o,b,x,x,x,o,b,b
580,positive,b,o,b,x,x,x,b,o,b
581,positive,b,o,b,x,x,x,b,b,o
582,positive,b,o,b,x,o,o,x,x,x
583,positive,b,o,b,o,x,o,x,x,x
584,positive,b,o,b,o,o,x,x,x,x
585,positive,b,o,b,o,b,b,x,x,x
586,positive,b,o,b,b,o,b,x,x,x
587,positive,b,o,b,b,b,o,x,x,x
588,positive,b,b,x,x,x,o,x,o,o
589,positive,b,b,x,x,o,x,o,o,x
590,positive,b,b,x,o,x,x,x,o,o
591,positive,b,b,x,o,x,x,o,o,x
592,positive,b,b,x,o,x,o,x,x,o
593,positive,b,b,x,o,x,o,x,o,x
594,positive,b,b,x,o,x,o,x,b,b
595,positive,b,b,x,o,x,b,x,o,b
596,positive,b,b,x,o,x,b,x,b,o
597,positive,b,b,x,o,o,x,x,o,x
598,positive,b,b,x,o,o,x,o,x,x
599,positive,b,b,x,o,o,x,b,b,x
