,dwipd_cat,hdchk_cat,stlmt_cat,wkcti_cat,mulch_cat,blxwp_cat,wknck_cat,class_cat,wkovl_cat,skach_cat,dsopp_cat,bkblk_cat,spcop_cat,reskd_cat,skewr_cat,rxmsq_cat,skrxp_cat,bxqsq_cat
40,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
41,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
42,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
43,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
44,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
45,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
46,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
47,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
48,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
49,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
50,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
51,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
52,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
53,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
54,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
55,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
56,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
57,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
58,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
59,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
60,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
61,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
62,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
63,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
64,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
65,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
66,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
67,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
68,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
69,l,f,f,f,f,f,t,won,f,f,f,f,f,f,t,f,f,f
70,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
71,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
72,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
73,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
74,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
75,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
76,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
77,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
78,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
79,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
80,l,f,f,t,f,f,t,won,f,f,f,f,f,f,t,f,f,f
81,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
82,l,f,f,t,f,f,t,won,f,f,f,f,f,f,t,f,f,f
83,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
84,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
85,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
86,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
87,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
88,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
89,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
90,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
91,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
92,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
93,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
94,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
95,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
96,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
97,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
98,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
99,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
100,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
101,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
102,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
103,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
104,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
105,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
106,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
107,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
108,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
109,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
110,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
111,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
112,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
113,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
114,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
115,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
116,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
117,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
118,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
119,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
120,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
121,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
122,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
123,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
124,l,f,f,f,f,f,t,won,f,f,f,f,f,f,t,f,f,f
125,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
126,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
127,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
128,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
129,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
130,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
131,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
132,l,f,f,f,f,f,t,won,f,f,f,f,f,f,t,f,f,f
133,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
134,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
135,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
136,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
137,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
138,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
139,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
140,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
141,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
142,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
143,l,f,f,t,f,t,f,won,f,f,f,f,f,f,t,f,f,f
144,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
145,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
146,l,f,f,t,f,t,f,won,f,f,f,f,f,f,t,f,f,f
147,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
148,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
149,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
150,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
151,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
152,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
153,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
154,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
155,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
156,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
157,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
158,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
159,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
160,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
161,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
162,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
163,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
164,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
165,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
166,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
167,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
168,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
169,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
170,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
171,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
172,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
173,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
174,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
175,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
176,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
177,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
178,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
179,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
180,l,f,f,f,f,f,f,won,f,f,f,t,f,f,t,f,f,f
181,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
182,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
183,l,f,f,f,f,t,f,won,t,f,f,t,f,f,t,f,f,f
184,l,f,f,f,f,t,f,won,t,f,f,t,f,f,t,f,f,f
185,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
186,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
187,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
188,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
189,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
190,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
191,l,f,f,f,f,f,f,won,f,f,f,t,f,f,t,f,f,f
192,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
193,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
194,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
195,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
196,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
197,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,f,f,f
198,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
199,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
200,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
201,l,f,f,f,f,f,f,won,t,f,f,t,f,f,t,f,f,f
202,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
203,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
204,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
205,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
206,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
207,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
208,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
209,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
210,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
211,l,f,f,f,f,f,t,won,f,f,f,f,f,f,t,f,f,f
212,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
213,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
214,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
215,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
216,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
217,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
218,l,f,f,f,f,f,t,won,f,f,f,f,f,f,t,f,f,f
219,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
220,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
221,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
222,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
223,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
224,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
225,l,f,f,t,f,t,f,won,f,f,f,f,f,f,t,f,f,f
226,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
227,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
228,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
229,l,f,f,t,f,f,t,won,f,f,f,f,f,f,t,f,f,f
230,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
231,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
232,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
233,l,f,f,t,f,f,t,won,f,f,f,f,f,f,t,f,f,f
234,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
235,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
236,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
237,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
238,l,f,f,t,f,f,f,won,f,f,f,f,f,f,t,f,f,f
239,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
240,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
241,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
242,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
243,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
244,l,f,f,f,f,f,f,won,f,f,f,f,f,f,t,f,f,f
245,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
246,l,f,f,f,f,f,f,won,f,f,f,t,f,f,t,f,f,f
247,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
248,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
249,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
250,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
251,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
252,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
253,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
254,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
255,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
256,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
257,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
258,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
259,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
260,l,f,f,f,f,t,f,won,t,f,f,t,f,f,t,f,f,f
261,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
262,l,f,f,f,f,t,f,won,f,f,f,f,f,f,t,f,f,f
263,l,f,f,t,f,f,f,won,t,f,f,t,f,f,t,t,f,f
264,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
265,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
266,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
267,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
268,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
269,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
270,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
271,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
272,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
273,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
274,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
275,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
276,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
277,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
278,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
279,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
280,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
281,l,f,f,f,f,f,t,won,f,f,f,f,f,f,f,f,f,f
282,l,f,f,f,f,f,t,won,f,f,f,f,f,f,f,f,f,f
283,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
284,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
285,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
286,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
287,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
288,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
289,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
290,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
291,l,f,f,f,f,f,t,won,f,f,f,f,f,f,f,f,f,f
292,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
293,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
294,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
295,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
296,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
297,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,t,f,f
298,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,t,f,f
299,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
300,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
301,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
302,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
303,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
304,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
305,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
306,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
307,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
308,l,f,f,f,f,f,t,won,f,f,f,f,f,f,f,f,f,f
309,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
310,l,f,f,f,f,t,f,won,f,f,f,f,f,f,f,f,f,f
311,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
312,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
313,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
314,l,f,f,f,f,t,f,won,f,f,f,f,f,f,f,f,f,f
315,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
316,l,f,f,f,f,t,f,won,f,f,f,f,f,f,f,f,f,f
317,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
318,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
319,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
320,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
321,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
322,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
323,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
324,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
325,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
326,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
327,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
328,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
329,l,f,f,f,f,f,t,won,f,f,f,f,f,f,f,f,f,f
330,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
331,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
332,l,f,f,f,f,f,f,won,t,f,f,f,f,f,f,f,f,f
333,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
334,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
335,l,f,f,f,f,f,f,won,f,f,f,f,f,f,f,f,f,f
336,l,f,f,f,f,f,t,won,f,f,f,f,f,f,f,f,f,f
337,l,f,f,f,f,f,t,won,f,f,f,f,f,f,f,f,f,f
338,l,f,f,f,f,t,f,won,f,f,f,f,f,f,f,f,f,f
339,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
340,l,f,f,f,f,t,f,won,f,f,f,f,f,f,f,f,f,f
341,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
342,l,f,f,f,f,t,f,won,t,f,f,f,f,f,f,f,f,f
343,l,f,f,f,f,t,f,won,f,f,f,f,f,f,f,f,f,f
344,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
345,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
346,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
347,g,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
348,g,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
349,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
350,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
351,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
352,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
353,g,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
354,g,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
355,g,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
356,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
357,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
358,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
359,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
360,g,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
