,eccen_num,height_num,blackand_num,p_black_num,class_cat,mean_tr_num
86,44.0,1,44,0.25,2,2.2
87,10.0,2,35,0.725,2,29.0
88,10.0,2,34,0.775,2,31.0
89,0.769,13,105,0.3,1,6.5
90,7.818,11,807,0.413,1,3.1
91,1.818,11,165,0.168,1,3.36
92,0.556,9,42,0.378,1,2.83
93,0.375,8,10,0.417,1,10.0
94,37.667,3,128,0.357,2,30.25
95,0.031,98,143,0.48,4,141.0
96,24.0,2,65,0.625,2,30.0
97,5.909,11,627,0.39,1,2.61
98,4.111,9,299,0.526,1,3.18
99,2.333,9,144,0.291,1,1.57
100,1.0,8,21,0.234,1,5.0
101,10.0,10,910,0.436,1,2.53
102,9.444,9,621,0.302,1,1.82
103,3.556,9,225,0.302,1,2.07
104,9.182,11,987,0.398,1,2.76
105,10.818,11,1045,0.261,1,1.88
106,12.6,10,1086,0.425,1,2.68
107,1.444,9,54,0.239,1,4.67
108,8.333,9,409,0.256,1,2.19
109,10.818,11,978,0.236,1,1.75
110,4.4,10,375,0.393,1,3.15
111,4.444,9,348,0.356,1,2.29
112,6.0,8,351,0.302,1,1.76
113,4.889,9,371,0.46,1,2.84
114,5.222,9,316,0.274,1,2.42
115,4.444,9,331,0.319,1,2.35
116,38.667,3,129,0.356,2,62.0
117,9.0,2,26,0.722,2,26.0
118,44.0,3,221,0.505,2,20.0
119,17.0,1,17,0.765,2,3.25
120,8.0,1,8,1.0,2,8.0
121,34.5,2,125,0.623,2,10.75
122,23.0,2,70,0.587,2,18.0
123,7.0,11,740,0.345,1,2.43
124,4.556,9,327,0.301,1,1.91
125,57.0,1,57,0.456,2,3.71
126,10.0,1,10,0.9,2,9.0
127,13.214,14,1687,0.254,1,2.27
128,15.2,10,1182,0.297,1,2.17
129,58.0,2,186,0.616,2,17.88
130,13.667,9,1091,0.362,1,2.62
131,8.5,2,33,0.588,2,6.67
132,13.1,10,1123,0.415,1,2.74
133,12.0,1,12,0.583,1,3.5
134,4.5,6,78,0.154,1,2.78
135,2.143,7,80,0.324,1,3.09
136,8.286,7,305,0.202,1,2.34
137,6.571,7,189,0.155,1,4.17
138,27.0,1,27,0.593,1,4.0
139,2.429,7,69,0.227,1,2.7
140,15.5,2,32,0.194,1,2.0
141,12.0,1,12,0.583,1,3.5
142,8.5,2,34,0.324,1,2.75
143,5.5,2,21,0.409,1,9.0
144,9.5,2,38,0.237,1,1.8
145,15.286,7,490,0.27,1,1.6
146,1.8,5,35,0.267,1,1.71
147,0.818,11,72,0.485,1,6.0
148,0.727,11,88,0.705,1,7.75
149,0.727,11,41,0.443,1,39.0
150,0.636,11,77,0.597,1,5.75
151,0.636,11,77,0.468,1,3.6
152,0.818,11,63,0.475,1,15.67
153,0.727,11,75,0.511,1,9.0
154,43.0,1,43,0.907,2,9.75
155,3.8,10,337,0.387,1,2.49
156,2.5,8,160,0.5,1,2.76
157,4.0,9,301,0.54,1,2.87
158,9.8,10,818,0.391,1,2.41
159,4.9,10,471,0.52,1,2.97
160,2.1,10,177,0.329,1,2.56
161,2.111,9,130,0.292,1,2.63
162,6.111,9,495,0.299,1,1.92
163,1.556,9,118,0.127,1,1.78
164,2.875,8,184,0.288,1,1.47
165,4.375,8,248,0.379,1,1.66
166,10.667,9,704,0.281,1,1.96
167,7.333,9,478,0.323,1,2.0
168,3.778,9,250,0.337,1,1.81
169,10.375,8,603,0.325,1,1.76
170,10.0,8,590,0.303,1,1.72
171,10.556,9,618,0.285,1,2.1
172,10.0,8,565,0.298,1,1.72
173,1.3,10,89,0.108,1,2.33
174,8.75,8,514,0.341,1,1.66
175,7.636,11,758,0.262,1,1.69
176,11.0,9,729,0.27,1,1.93
177,8.889,9,625,0.293,1,1.85
178,9.182,11,909,0.239,1,1.61
179,2.167,12,312,0.221,1,1.6
180,3.333,12,352,0.271,1,1.97
181,10.5,8,649,0.269,1,1.79
182,6.625,8,416,0.358,1,1.54
183,5.125,8,309,0.363,1,1.63
184,9.111,9,546,0.252,1,2.0
185,2.0,7,60,0.184,1,18.0
186,3.25,8,197,0.375,1,1.77
187,5.75,8,350,0.391,1,1.85
188,3.778,9,294,0.379,1,1.71
189,2.364,11,269,0.297,1,2.02
190,3.818,11,383,0.335,1,2.25
191,5.167,12,491,0.234,1,1.58
192,9.375,8,533,0.328,1,1.86
193,2.25,8,142,0.479,1,2.16
194,4.714,7,195,0.143,1,2.36
195,7.111,9,518,0.465,1,2.58
196,4.0,9,302,0.568,1,3.02
197,1.0,8,22,0.203,1,4.33
198,2.625,8,113,0.339,1,1.97
199,11.0,9,839,0.464,1,2.52
200,9.333,9,598,0.288,1,1.83
201,3.875,8,196,0.327,1,1.84
202,0.105,19,31,0.816,4,31.0
203,11.222,9,783,0.442,1,2.68
204,10.727,11,1061,0.26,1,2.01
205,0.4,5,8,0.8,4,8.0
206,12.6,10,1049,0.41,1,2.63
207,9.75,12,945,0.22,1,1.68
208,3.889,9,210,0.263,1,2.86
209,5.111,9,280,0.292,1,1.92
210,0.2,10,12,0.55,2,11.0
211,5.5,8,330,0.426,1,3.26
212,6.0,8,310,0.31,1,1.92
213,5.0,8,317,0.403,1,2.53
214,5.625,8,344,0.469,1,2.91
215,2.222,9,100,0.261,1,2.35
216,2.444,9,191,0.298,1,2.11
217,5.125,8,306,0.335,1,2.08
218,56.0,2,113,0.496,2,55.5
219,45.0,1,45,0.756,2,5.67
220,75.0,1,75,0.813,2,5.55
221,5.375,8,280,0.349,1,2.26
222,27.364,11,2435,0.308,1,2.22
223,5.0,7,214,0.453,1,2.47
224,13.556,9,1040,0.339,1,2.57
225,13.0,10,1005,0.425,1,2.79
226,7.667,6,222,0.217,1,2.0
227,4.5,6,109,0.136,1,2.0
228,1.6,5,27,0.35,1,4.67
229,0.6,5,15,0.467,1,7.0
230,7.0,5,145,0.2,1,4.38
231,11.75,4,139,0.298,1,2.33
232,10.333,3,72,0.226,1,2.1
233,5.333,3,45,0.375,1,2.25
234,17.429,7,535,0.281,1,1.73
235,1.909,11,157,0.411,1,3.96
236,0.727,11,53,0.375,1,4.13
237,0.818,11,81,0.465,1,9.2
238,0.8,10,80,0.5,1,5.0
239,2.1,10,126,0.324,1,3.4
240,78.5,2,173,0.506,2,26.5
241,3.8,10,341,0.439,1,2.83
242,4.0,9,296,0.549,1,3.3
243,2.5,8,150,0.525,1,3.5
244,9.6,10,851,0.418,1,2.49
245,5.444,9,440,0.594,1,3.05
246,32.0,1,32,0.719,2,5.75
247,52.0,1,52,0.788,2,10.25
248,13.0,1,13,0.692,2,4.5
249,2.556,9,207,0.304,1,1.62
250,4.111,9,269,0.381,1,2.05
251,2.222,9,157,0.339,1,2.35
252,9.875,8,604,0.375,1,2.12
253,9.0,9,654,0.388,1,2.38
254,8.375,8,400,0.381,1,2.49
255,3.556,9,238,0.292,1,1.53
256,0.021,94,97,0.516,4,97.0
257,1.1,10,110,0.382,1,1.5
258,6.4,10,517,0.295,1,2.25
259,8.3,10,602,0.295,1,2.02
260,6.083,12,518,0.257,1,2.14
261,2.125,8,109,0.353,1,2.0
262,1.333,9,95,0.407,1,1.69
263,9.111,9,674,0.343,1,2.02
264,6.625,8,382,0.37,1,1.76
265,7.545,11,822,0.274,1,1.71
266,8.1,10,656,0.279,1,2.11
267,9.111,9,643,0.329,1,2.11
268,9.091,11,842,0.269,1,1.9
269,2.84,25,1328,0.234,1,2.22
270,9.111,9,690,0.247,1,2.09
271,10.778,9,804,0.328,1,1.77
272,3.556,9,248,0.333,1,1.68
273,10.25,8,624,0.398,1,2.51
274,1.083,12,153,0.372,1,2.32
275,0.667,12,96,0.198,1,2.11
276,3.583,12,408,0.293,1,2.29
277,9.375,8,546,0.415,1,2.37
278,7.636,11,629,0.251,1,1.77
279,61.5,2,124,0.5,2,123.0
280,36.0,1,36,0.722,2,8.67
281,6.474,19,208,0.089,1,207.0
282,0.75,8,31,0.5,1,8.0
283,6.5,10,592,0.445,1,2.58
284,4.111,9,315,0.598,1,3.49
285,2.222,9,139,0.339,1,1.74
286,2.0,4,25,0.344,1,1.83
287,10.0,10,874,0.449,1,2.82
288,3.556,9,225,0.365,1,2.23
289,9.111,9,603,0.337,1,2.01
290,10.1,10,902,0.466,1,3.02
291,9.667,12,984,0.246,1,1.99
292,12.6,10,1068,0.463,1,3.16
293,9.556,9,501,0.301,1,2.22
294,10.455,11,915,0.266,1,1.79
295,0.5,4,7,0.875,4,7.0
296,4.889,9,374,0.465,1,3.35
297,5.75,8,338,0.348,1,1.97
298,5.0,8,317,0.391,1,2.08
299,5.0,9,387,0.442,1,3.31
300,5.625,8,323,0.367,1,2.44
301,5.125,8,317,0.424,1,2.53
302,19.0,1,19,0.789,2,3.75
303,9.0,1,9,0.778,2,7.0
304,5.25,8,326,0.363,1,2.18
305,24.214,14,2596,0.248,1,2.44
306,12.3,10,1092,0.362,1,2.99
307,223.0,2,538,0.439,2,17.82
308,0.045,66,180,0.657,4,2.6
309,13.1,10,1115,0.456,1,3.0
310,0.043,93,210,0.419,4,2.89
311,0.068,44,111,0.598,4,2.47
312,0.167,42,127,0.282,4,2.18
313,118.0,2,325,0.566,2,10.27
314,61.0,1,61,1.0,2,61.0
315,1.75,8,74,0.223,1,3.57
316,19.333,9,1154,0.178,1,1.71
317,5.625,8,261,0.156,1,1.87
318,3.857,7,117,0.101,1,3.8
319,9.0,1,9,0.778,1,7.0
320,15.25,8,634,0.227,1,1.44
321,8.727,11,1007,0.331,1,4.32
322,8.375,48,1814,0.055,5,4.13
323,1.523,304,17081,0.063,5,3.91
324,2.0,10,178,0.435,1,2.9
325,10.778,9,849,0.466,1,2.42
326,2.333,9,166,0.354,1,2.68
327,8.889,9,687,0.338,1,2.04
328,7.727,11,621,0.25,1,1.73
329,8.444,9,598,0.363,1,2.18
330,0.25,8,9,0.563,1,9.0
331,3.667,9,230,0.259,1,1.67
332,13.333,9,928,0.331,1,1.98
333,9.833,12,1086,0.253,1,1.95
334,18.818,11,1647,0.268,1,1.84
335,10.222,9,790,0.365,1,2.2
336,10.333,9,743,0.323,1,2.06
337,4.778,9,357,0.377,1,2.25
338,71.0,3,242,0.318,2,11.94
339,1.52,306,17452,0.055,5,2.69
340,1.756,45,693,0.087,5,4.81
341,1.286,7,31,0.333,1,21.0
342,2.333,3,13,0.619,1,13.0
343,152.0,1,152,0.822,2,11.36
344,51.0,1,51,0.471,2,2.4
345,2.833,6,84,0.275,1,2.0
346,3.667,6,132,0.197,1,2.89
347,4.833,6,160,0.293,1,1.5
348,9.2,5,192,0.278,1,2.21
349,6.0,5,99,0.16,1,1.71
350,4.0,4,60,0.391,1,1.67
351,6.429,7,244,0.2,1,1.91
352,3.857,7,140,0.238,1,2.81
353,12.2,10,659,0.273,1,2.03
354,4.455,11,359,0.343,1,4.3
355,3.182,11,225,0.335,1,4.78
356,24.316,19,6035,0.523,2,16.88
357,3.8,10,339,0.434,1,2.89
358,4.0,9,300,0.552,1,3.51
359,9.8,10,863,0.448,1,2.74
360,2.333,9,181,0.529,1,3.33
361,4.9,10,462,0.551,1,3.07
362,49.0,1,49,0.286,1,7.0
363,52.0,1,52,0.981,2,51.0
364,52.0,1,52,0.538,2,14.0
365,2.4,10,197,0.267,1,2.06
366,4.0,9,288,0.42,1,2.0
367,2.333,9,170,0.392,1,2.74
368,8.667,9,606,0.349,1,2.17
369,6.091,11,622,0.331,1,2.28
370,3.3,10,285,0.367,1,1.95
371,7.9,10,695,0.385,1,2.13
372,8.0,10,639,0.314,1,2.06
373,8.818,11,711,0.297,1,2.4
374,9.111,9,679,0.389,1,2.33
375,7.667,9,544,0.343,1,1.75
376,7.0,12,784,0.282,1,1.91
377,9.111,9,649,0.379,1,2.35
378,1.1,10,110,0.373,1,1.58
379,6.3,10,564,0.294,1,2.2
380,9.273,11,930,0.289,1,1.87
381,9.111,9,690,0.385,1,2.29
382,1.182,22,525,0.283,1,1.93
383,2.136,22,779,0.319,1,2.13
384,5.3,10,477,0.34,1,1.82
385,4.0,10,351,0.338,1,1.9
386,10.25,8,654,0.288,1,1.99
387,3.4,10,273,0.356,1,1.83
388,9.0,9,676,0.348,1,2.21
389,1.182,11,140,0.42,1,2.22
390,0.727,11,88,0.25,1,2.44
391,3.909,11,414,0.334,1,2.47
392,8.333,9,617,0.396,1,2.21
393,7.818,11,723,0.283,1,1.91
394,33.0,1,33,1.0,2,33.0
395,124.0,1,124,0.444,2,7.86
396,75.0,1,75,0.92,2,11.5
397,0.667,9,32,0.5,1,13.5
398,6.4,10,618,0.514,1,2.84
399,4.0,9,300,0.611,1,3.36
400,3.778,9,196,0.288,1,2.1
401,9.8,10,926,0.463,1,2.72
402,13.444,9,890,0.356,1,2.2
403,9.091,11,970,0.456,1,3.04
404,4.72,25,2198,0.268,1,2.02
405,12.6,10,1113,0.456,1,2.85
406,8.5,10,592,0.333,1,2.28
407,4.778,9,371,0.509,1,3.58
408,5.222,9,320,0.333,1,2.39
409,4.0,10,358,0.428,1,3.05
410,4.889,9,374,0.467,1,3.14
411,5.222,9,330,0.31,1,2.34
412,4.556,9,355,0.425,1,2.71
413,8.0,1,8,0.875,2,7.0
414,40.0,1,40,1.0,2,40.0
415,55.0,1,55,0.564,2,10.33
416,4.333,9,329,0.293,1,2.06
417,24.286,14,2819,0.259,1,2.45
418,13.667,9,1097,0.395,1,2.84
419,115.0,1,115,0.2,2,4.6
420,13.1,10,1107,0.439,1,2.79
421,11.0,1,11,1.0,2,11.0
422,46.0,1,46,0.783,2,12.0
423,32.0,2,75,0.531,2,17.0
424,6.714,7,289,0.271,1,2.23
425,3.375,8,179,0.218,1,2.14
426,2.429,7,111,0.412,1,2.72
427,7.375,8,416,0.322,1,2.41
428,5.875,8,331,0.362,1,2.0
429,4.0,8,202,0.336,1,2.46
430,2.0,8,116,0.477,1,2.44
431,28.75,4,224,0.426,2,17.82
432,2.286,7,86,0.42,1,2.14
433,14.286,7,594,0.411,1,1.83
434,0.667,12,63,0.448,1,4.3
435,0.667,12,93,0.615,1,5.9
436,0.667,12,48,0.479,1,46.0
437,0.667,12,96,0.792,1,15.2
438,0.583,12,84,0.56,1,5.22
439,1.917,12,172,0.417,1,8.21
440,1.489,311,23092,0.088,5,3.93
441,1.286,14,153,0.159,1,3.33
442,5.1,10,436,0.306,1,2.29
443,2.667,9,216,0.537,1,2.9
444,2.2,10,184,0.336,1,2.74
445,4.111,9,300,0.538,1,2.8
446,2.73,37,2596,0.282,1,2.44
447,3.4,10,308,0.421,1,2.01
448,8.909,11,693,0.317,1,2.8
449,6.917,12,811,0.301,1,1.99
450,3.353,34,1166,0.105,1,2.59
451,8.417,12,960,0.292,1,1.99
452,8.7,10,784,0.344,1,2.27
453,9.8,10,844,0.376,1,2.1
454,8.4,10,713,0.356,1,2.47
455,5.222,9,401,0.492,1,2.42
456,3.667,9,292,0.458,1,2.19
457,7.8,10,668,0.381,1,2.52
458,0.667,12,96,0.292,1,3.11
459,3.583,12,438,0.357,1,2.71
460,7.818,11,764,0.332,1,2.2
461,0.556,9,40,0.711,1,10.67
462,12.167,12,225,0.091,5,26.67
463,0.118,17,24,0.706,4,24.0
464,0.778,9,43,0.349,1,2.2
465,2.625,8,125,0.31,1,1.68
466,13.444,9,918,0.399,1,2.4
467,10.727,11,1035,0.348,1,2.71
468,3.7,10,262,0.354,1,3.2
469,4.7,10,295,0.336,1,2.26
470,8.364,11,861,0.361,1,2.3
471,2.1,10,172,0.362,1,2.11
472,5.222,9,366,0.371,1,2.75
473,4.556,9,366,0.507,1,3.28
474,1.8,10,157,0.511,1,2.97
475,5.222,9,388,0.385,1,2.51
476,4.556,9,360,0.444,1,2.88
477,5.0,9,380,0.425,1,2.77
478,48.0,1,48,0.875,2,10.5
479,29.0,1,29,0.586,2,2.13
480,17.0,1,17,0.412,2,1.75
481,5.75,8,301,0.318,1,2.09
482,4.429,7,186,0.295,1,1.64
483,2.833,6,70,0.314,1,2.29
484,7.375,8,419,0.292,1,1.82
485,2.429,7,102,0.387,1,2.71
486,3.5,8,189,0.259,1,1.93
487,5.625,8,284,0.206,1,1.8
488,11.182,11,695,0.25,1,1.95
489,0.818,11,76,0.465,1,3.83
490,0.727,11,88,0.602,1,4.08
491,5.545,11,412,0.361,1,5.04
492,11.786,28,614,0.057,2,31.0
493,2.189,212,6884,0.052,5,11.84
494,3.8,10,357,0.432,1,2.78
495,4.0,9,299,0.556,1,3.21
496,10.889,9,859,0.491,1,2.78
497,2.333,9,162,0.487,1,3.29
498,4.9,10,481,0.59,1,3.11
499,95.333,3,366,0.406,2,87.0
500,2.556,9,207,0.3,1,1.51
501,4.111,9,270,0.39,1,2.03
502,2.1,10,159,0.348,1,3.17
503,8.778,9,639,0.343,1,2.2
504,6.6,10,515,0.324,1,2.25
505,3.778,9,276,0.412,1,1.91
506,9.111,9,691,0.428,1,2.38
507,7.9,10,619,0.347,1,2.25
508,8.167,12,737,0.267,1,2.33
509,8.3,10,675,0.357,1,2.28
510,1.1,10,110,0.427,1,1.52
511,5.3,10,430,0.343,1,2.0
512,7.083,12,845,0.305,1,1.94
513,9.111,9,682,0.408,1,2.39
514,8.0,10,670,0.308,1,2.02
515,8.5,12,935,0.292,1,2.09
516,9.111,9,639,0.374,1,2.3
517,1.13,23,574,0.278,1,1.8
518,2.043,23,808,0.315,1,2.2
519,11.0,9,829,0.38,1,1.92
520,9.222,9,679,0.292,1,2.42
521,3.4,10,303,0.388,1,2.1
522,9.111,9,682,0.37,1,2.39
523,1.083,12,153,0.391,1,2.35
524,0.667,12,96,0.302,1,2.9
525,3.5,12,397,0.355,1,2.71
526,8.6,10,726,0.326,1,1.85
527,8.444,9,650,0.38,1,2.2
528,0.667,9,41,0.667,1,18.0
529,6.5,10,631,0.475,1,2.76
530,4.0,9,307,0.586,1,3.45
531,0.778,9,38,0.302,1,1.9
532,2.444,9,167,0.389,1,1.93
533,9.9,10,908,0.473,1,2.93
534,9.444,9,647,0.395,1,2.32
535,3.556,9,228,0.382,1,2.16
536,9.091,11,970,0.473,1,3.29
537,5.13,23,2129,0.293,1,2.06
538,11.364,11,1105,0.432,1,3.03
539,8.5,10,574,0.324,1,2.25
540,4.3,10,404,0.458,1,3.58
541,4.8,10,356,0.331,1,2.37
542,4.444,9,357,0.483,1,2.85
543,4.889,9,348,0.449,1,2.97
544,5.222,9,349,0.371,1,2.75
545,4.667,9,369,0.429,1,2.75
546,18.0,1,18,0.944,2,17.0
547,7.0,1,7,1.0,2,7.0
548,117.0,1,117,0.393,2,5.75
549,4.2,10,357,0.317,1,2.22
550,14.167,24,3822,0.211,1,2.67
551,77.0,1,77,0.403,2,5.17
552,40.0,1,40,0.875,2,11.67
553,13.0,10,1113,0.486,1,3.18
554,28.0,1,28,0.964,2,27.0
555,35.0,1,35,0.829,2,9.67
556,2.167,6,45,0.128,1,1.67
557,2.571,7,57,0.119,1,2.14
558,6.0,7,252,0.293,1,2.61
559,4.429,7,155,0.267,1,2.15
560,2.286,7,71,0.241,1,2.45
561,3.286,7,87,0.093,1,1.36
562,1.143,7,29,0.161,1,1.8
563,0.286,7,13,0.5,1,7.0
564,1.0,7,44,0.327,1,2.29
565,1.833,6,56,0.197,1,1.3
566,17.286,7,514,0.276,1,1.79
567,1.909,11,166,0.468,1,7.2
568,0.818,11,76,0.515,1,8.5
569,0.8,10,56,0.4,1,4.0
570,0.727,11,87,0.727,1,10.67
571,0.636,11,37,0.468,1,36.0
572,0.727,11,87,0.693,1,10.17
573,14.0,1,14,0.571,2,2.0
574,4.222,9,307,0.444,1,2.71
575,2.222,9,180,0.461,1,2.59
576,4.0,9,292,0.506,1,2.83
577,8.909,11,839,0.397,1,2.61
578,5.444,9,440,0.592,1,2.97
579,23.0,1,23,0.826,2,19.0
580,19.0,1,19,0.684,2,4.33
581,8.667,9,629,0.329,1,2.1
582,1.75,8,112,0.143,1,2.67
583,5.048,21,881,0.136,1,1.99
584,3.0,8,187,0.297,1,1.43
585,4.5,8,255,0.465,1,2.13
586,2.444,9,180,0.318,1,2.42
587,1.333,9,108,0.407,1,1.63
588,0.667,9,49,0.37,1,2.5
589,4.75,8,230,0.349,1,1.93
590,3.778,9,274,0.31,1,1.61
591,1.333,9,108,0.407,1,1.57
592,7.0,9,446,0.298,1,2.01
593,11.556,9,846,0.282,1,1.93
594,6.818,11,560,0.27,1,2.08
595,2.125,8,92,0.309,1,2.33
596,9.111,9,574,0.309,1,1.93
597,2.0,8,110,0.156,5,5.0
598,1.5,8,96,0.469,1,1.61
599,6.625,8,377,0.337,1,1.64
600,7.727,11,843,0.268,1,1.73
601,1.2,10,120,0.367,1,1.57
602,6.3,10,566,0.251,1,1.84
603,9.111,9,699,0.32,1,2.13
604,1.111,9,47,0.144,5,6.5
605,8.5,12,984,0.257,1,1.77
606,7.5,12,773,0.183,1,1.92
607,2.167,12,283,0.224,1,1.63
608,3.417,12,364,0.289,1,2.06
609,12.375,8,762,0.351,1,1.66
610,9.0,9,602,0.287,1,2.22
611,3.25,8,197,0.37,1,1.79
612,5.111,9,351,0.365,1,2.01
613,3.778,9,264,0.363,1,1.76
614,2.167,12,259,0.276,1,2.21
615,3.583,12,407,0.328,1,2.56
616,9.375,8,573,0.373,1,1.95
617,7.818,11,663,0.289,1,1.98
618,79.0,1,79,0.608,2,6.86
619,0.75,8,39,0.583,1,7.0
620,11.0,1,11,0.727,2,4.0
621,98.0,1,98,0.939,2,30.67
622,13.0,1,13,0.692,2,3.0
623,7.111,9,567,0.491,1,2.57
624,4.5,8,272,0.559,1,3.04
625,1.0,8,43,0.25,1,1.6
626,2.625,8,142,0.381,1,1.88
627,11.0,9,807,0.461,1,2.65
628,13.444,9,845,0.322,1,2.08
629,11.111,9,817,0.463,1,2.92
630,10.727,11,1036,0.29,1,1.99
631,14.0,9,1029,0.466,1,2.84
632,9.75,12,891,0.251,1,1.86
633,1.75,8,62,0.268,1,3.0
634,8.875,8,441,0.329,1,1.83
635,5.5,8,334,0.455,1,3.2
636,6.0,8,340,0.328,1,2.0
637,5.0,8,319,0.409,1,2.22
638,5.0,9,363,0.447,1,3.23
639,5.875,8,337,0.324,1,2.18
640,5.25,8,316,0.39,1,2.43
641,17.0,1,17,0.824,2,4.67
642,5.375,8,329,0.372,1,2.1
643,21.429,14,2550,0.263,1,2.39
644,5.0,7,206,0.482,1,2.81
645,13.556,9,910,0.333,1,2.54
646,14.444,9,1026,0.448,1,2.63
647,5.625,8,290,0.222,1,1.9
648,4.429,7,185,0.221,1,1.78
649,4.667,3,37,0.381,1,3.2
650,2.25,8,117,0.215,1,2.38
651,8.286,7,342,0.212,1,2.26
652,5.714,7,211,0.186,1,2.26
653,4.667,6,89,0.143,1,1.71
654,3.75,4,48,0.267,1,4.0
655,2.714,14,260,0.244,1,2.95
656,2.067,15,216,0.204,1,3.96
657,5.923,13,565,0.258,1,3.04
658,2.538,13,229,0.245,1,3.89
659,1.9,10,132,0.332,1,3.71
660,17.286,7,572,0.305,1,1.79
661,2.0,11,168,0.417,1,4.04
662,0.818,11,71,0.404,1,4.44
663,0.727,11,88,0.545,1,3.2
664,1.909,11,134,0.316,1,4.29
665,0.8,10,70,0.525,1,7.0
666,8.865,52,5938,0.192,5,11.52
667,3.8,10,357,0.424,1,2.78
668,4.0,9,295,0.506,1,2.93
669,2.333,9,178,0.519,1,3.27
670,10.778,9,820,0.455,1,2.28
671,5.444,9,439,0.58,1,2.98
672,15.0,1,15,0.867,2,6.5
673,2.556,9,204,0.324,1,1.63
674,4.111,9,283,0.396,1,2.03
675,2.333,9,147,0.317,1,2.61
676,10.111,9,783,0.302,1,1.98
677,6.7,10,435,0.291,1,2.17
678,3.556,9,232,0.354,1,1.7
679,10.222,9,759,0.35,1,2.07
680,1.333,9,108,0.444,1,1.78
681,7.111,9,471,0.318,1,2.18
682,8.167,12,734,0.245,1,2.23
683,11.111,9,762,0.276,1,1.91
684,1.333,9,108,0.426,1,1.59
685,5.889,9,384,0.317,1,1.66
686,7.636,11,779,0.291,1,1.74
687,9.0,9,669,0.337,1,1.97
688,1.444,9,88,0.103,2,4.0
689,8.0,10,640,0.279,1,1.92
690,9.182,11,947,0.264,1,1.65
691,9.0,9,710,0.332,1,2.09
692,1.0,9,70,0.16,1,1.63
693,6.0,12,697,0.281,1,2.15
