,x27_num,x9_num,x14_num,class_cat,x2_num,x30_num,x13_num,x36_num,x17_num,x37_num,x38_num,x29_num,x24_num,x12_num,x16_num,x1_num,x33_num,x23_num,x25_num,x19_num
22,-0.07,3.03,1.66,0,2.45,0.59,1.35,0.62,1.01,-0.57,-0.64,-0.03,-1.12,2.16,1.6,-0.53,1.48,-0.06,1.15,0.5
23,1.18,3.15,5.24,2,1.78,-0.67,6.03,0.87,2.54,0.03,0.42,0.42,0.79,4.84,2.97,-1.22,-0.36,-0.82,-0.26,-0.26
24,-0.22,2.06,-1.69,1,-0.02,-0.6,0.34,-0.5,-0.61,0.11,-0.83,-0.15,-1.17,-0.02,1.11,0.66,1.6,0.79,0.69,0.15
25,-0.68,4.59,-0.39,1,1.62,-1.81,0.61,0.75,-0.7,-0.72,0.05,0.49,-0.37,3.29,0.12,1.0,1.58,-1.49,1.31,1.48
26,0.47,3.41,5.4,2,-0.19,-0.81,5.66,1.73,0.71,-0.68,0.83,1.13,2.05,5.8,1.11,0.05,-2.12,-0.57,0.42,1.41
27,1.47,5.1,0.02,0,-0.99,-0.62,0.48,-0.35,2.02,1.0,0.01,1.5,0.48,1.97,-0.12,-0.76,0.2,1.45,-0.96,0.42
28,-0.43,1.08,1.91,0,1.65,0.49,1.53,0.27,2.34,-1.94,-2.53,0.24,-0.86,2.75,1.73,1.56,-0.0,1.94,0.63,1.67
29,1.28,0.87,2.47,0,0.75,-1.37,2.42,0.47,2.6,-1.36,-1.86,2.48,1.89,2.66,2.51,0.79,-0.83,0.07,-1.52,1.3
30,-0.7,1.27,5.59,2,-0.12,-0.96,5.14,-1.23,3.71,-0.03,-1.78,0.57,0.77,3.14,5.27,1.85,-1.14,0.87,0.91,2.51
31,1.21,5.44,1.57,1,-0.62,0.28,2.58,1.55,0.07,-1.06,-0.16,-0.87,-1.09,3.41,0.64,-1.13,0.17,0.04,0.27,-1.71
32,1.69,2.44,1.68,2,-1.01,0.76,3.11,0.35,3.89,-1.36,0.53,-0.02,0.39,3.61,1.41,-1.54,1.22,0.21,-0.5,1.42
33,-0.75,0.06,3.99,0,-1.33,-0.46,2.63,1.06,2.28,-0.06,-0.39,-0.12,-0.85,3.03,5.0,0.83,-1.19,-0.53,0.87,1.65
34,0.17,4.1,4.8,2,0.13,0.48,2.75,-1.65,1.76,-2.27,0.8,-0.75,-2.23,5.29,3.41,-1.49,1.31,0.83,-1.56,0.9
35,0.66,0.46,4.59,0,1.09,-0.17,4.14,-2.14,3.56,0.54,-1.52,-0.94,0.33,2.12,6.04,-1.03,1.11,1.53,0.18,3.5
36,0.27,5.11,0.87,1,-0.86,-0.03,0.58,-0.65,0.12,-1.73,-0.13,-1.1,0.57,1.18,-0.85,-1.38,-0.52,0.1,-0.73,-1.22
37,0.36,2.54,3.99,0,0.75,-0.66,3.67,-0.64,1.55,-0.02,1.49,-1.28,0.69,2.29,3.14,-0.68,-0.6,-2.2,0.12,0.73
38,1.32,5.36,3.02,1,0.27,0.18,1.11,0.3,0.78,-0.17,0.17,-0.78,0.36,2.27,0.78,-0.42,-1.35,-0.38,-0.87,1.36
39,-0.4,2.21,1.45,0,0.95,0.23,2.84,-1.67,2.95,-0.23,0.57,-0.82,-1.23,0.48,2.83,0.55,-1.19,0.01,-2.06,1.02
40,-0.08,4.33,2.47,1,3.21,-0.02,2.25,-0.57,0.21,0.83,-1.11,-1.12,-1.45,3.42,0.5,-1.47,-1.94,-1.19,-0.34,-1.06
41,-0.23,2.13,2.35,0,-0.38,-1.28,3.16,0.97,2.22,0.9,1.9,0.15,0.92,2.53,3.51,0.25,-0.36,0.41,0.78,2.11
42,-0.37,0.7,3.05,2,-1.34,-0.37,5.21,0.29,2.04,1.72,0.3,-1.41,-1.38,4.34,0.48,-0.27,0.02,1.4,-1.16,1.92
43,-0.34,1.71,1.65,2,0.13,0.45,4.74,-0.12,0.95,0.62,-0.17,-0.81,2.28,4.53,0.18,-0.5,-1.69,1.14,-2.58,1.01
44,0.13,3.89,-0.05,1,0.46,-0.92,1.62,0.01,-0.53,1.03,-0.39,0.44,1.21,4.11,0.36,-0.91,-0.15,1.48,0.4,-0.47
45,0.32,0.58,3.13,0,0.94,0.86,2.36,-0.04,4.61,0.58,-0.34,-1.66,-1.65,2.8,4.17,-0.22,-1.03,0.15,-1.2,0.14
46,1.04,-0.49,5.22,2,0.36,-0.58,2.74,0.88,2.56,-0.32,1.24,0.86,-0.72,4.01,6.82,1.55,-1.31,-0.58,1.01,1.02
47,-0.43,5.53,2.99,1,0.56,2.03,1.8,0.32,-0.63,0.66,1.95,0.52,-1.01,4.43,0.1,0.16,-0.06,-1.79,0.44,0.43
48,0.58,4.76,3.22,1,-0.56,0.39,1.99,0.46,-1.61,-0.54,-0.22,0.11,0.78,4.78,0.19,0.45,-2.21,1.53,-1.07,-1.16
49,-0.68,3.26,3.9,1,-0.03,-1.88,3.41,-1.41,-0.49,-1.49,0.65,-0.31,0.15,3.21,0.41,-0.4,0.04,-0.29,-0.72,-1.91
50,-0.92,1.12,3.63,2,-0.03,-0.48,5.98,1.63,1.66,-1.39,-1.48,2.15,-0.1,3.78,4.05,0.76,1.09,0.18,-0.14,0.51
51,0.3,2.22,3.66,0,-1.07,0.07,1.6,1.4,2.67,-1.24,0.94,0.79,1.84,3.03,2.49,-0.97,-0.44,-0.41,-0.67,2.2
52,0.46,-0.64,2.69,0,-0.19,0.62,2.53,0.06,2.96,0.91,-0.35,-1.11,1.07,3.9,3.4,1.24,-0.48,-0.15,1.81,3.02
53,-1.57,3.41,4.69,0,0.81,-1.02,5.8,-0.09,3.32,-0.46,-0.16,1.75,1.53,2.61,4.59,-1.12,-0.2,-1.04,1.44,0.71
54,1.82,2.91,2.97,1,-0.7,-1.05,3.37,0.64,0.17,-1.56,0.11,0.81,0.23,6.56,2.28,0.84,1.44,-0.64,-1.23,0.27
55,-0.18,2.13,3.83,2,0.02,-1.53,3.74,0.42,3.62,-1.4,-0.88,-0.95,-0.7,2.5,2.61,1.34,0.29,-0.09,-1.37,0.09
56,1.93,2.76,2.97,1,-2.16,1.92,3.48,0.65,0.26,0.54,1.7,-0.21,0.46,4.81,0.09,-0.59,-2.63,-1.36,-0.38,0.95
57,0.51,3.75,3.64,1,-1.23,-0.6,5.32,-0.12,0.92,0.1,0.02,0.8,-0.69,5.46,-0.69,0.3,1.44,-0.81,-1.49,-0.28
58,0.47,3.49,3.12,1,0.59,-0.94,3.78,1.09,-0.58,1.2,-0.17,-2.63,1.41,4.05,1.39,2.61,-0.02,-0.94,-1.2,1.35
59,0.93,2.33,3.71,1,0.75,-1.78,2.77,-1.03,1.11,0.04,2.02,-1.03,-0.6,5.48,0.24,0.48,-0.16,-0.14,0.23,0.73
60,3.39,3.88,2.47,1,0.32,0.33,5.65,2.43,0.24,0.94,0.41,1.78,-0.6,3.63,1.49,-0.34,0.97,1.1,0.34,1.51
61,0.35,0.96,4.23,2,0.31,-0.81,5.51,0.92,4.24,-0.34,0.63,-0.11,-2.7,4.1,4.59,0.63,-0.92,-0.63,0.34,1.83
62,0.36,4.24,2.33,1,1.59,0.04,3.36,1.77,0.11,0.62,0.16,2.21,-0.77,3.98,1.18,-0.13,1.08,-0.09,0.97,0.24
63,0.53,5.23,-1.19,0,1.22,0.33,-0.08,0.38,-0.08,1.07,0.96,0.31,0.93,1.87,0.96,-0.08,2.7,0.39,-0.54,-1.27
64,2.43,5.44,2.13,2,0.92,0.48,4.36,1.33,-1.89,0.39,0.44,1.51,-1.03,3.81,1.43,0.8,0.39,-1.23,-0.77,-1.19
65,-0.83,3.78,3.09,0,0.09,-0.01,1.14,-0.47,2.09,-1.71,0.3,-1.01,-0.8,0.21,2.54,0.04,-0.18,-0.36,0.49,0.31
66,3.27,5.11,2.92,1,-0.43,-2.03,0.87,0.4,0.36,-0.34,-0.02,0.52,0.62,3.23,2.37,-0.44,-0.19,0.37,0.61,1.69
67,0.88,4.54,-0.94,0,0.67,0.62,-0.93,-0.28,-1.35,-1.07,-1.23,-1.57,-1.18,-0.06,1.7,-0.43,0.21,0.84,0.85,-0.58
68,-1.86,2.34,2.3,0,0.57,0.99,2.77,-1.36,2.27,-0.69,1.26,-1.34,-0.58,1.07,5.97,-0.63,-0.25,-0.0,0.32,3.5
69,0.16,5.42,1.5,1,0.44,-0.29,0.48,0.43,-1.61,-0.23,-0.33,0.43,-0.44,1.46,-1.02,-1.45,-2.17,1.21,-0.28,-0.05
70,0.71,2.5,1.66,1,1.27,-0.7,3.61,0.07,1.62,-1.07,-0.04,0.52,-1.02,2.89,-0.29,1.36,0.46,0.15,-0.36,-1.19
71,0.63,3.71,3.16,1,0.34,1.82,3.47,0.19,0.5,-2.45,1.18,0.11,1.07,3.26,0.73,-0.12,0.22,1.63,0.94,-1.22
72,-1.75,0.92,4.76,2,0.68,0.03,4.14,-1.27,2.35,-0.64,1.86,0.78,-1.26,4.61,4.56,0.27,-1.21,-1.62,-0.11,0.33
73,0.6,1.99,2.32,0,0.29,1.05,4.82,0.11,2.76,1.23,1.43,-0.36,-0.54,2.45,2.34,0.33,-0.33,0.19,2.63,2.79
74,0.74,3.3,0.52,1,1.52,-0.1,0.78,-1.13,1.56,-2.07,0.09,-1.12,0.42,1.5,-0.68,0.15,-0.86,-0.24,-0.32,-1.5
75,1.33,-0.63,3.56,2,0.14,0.4,2.87,-0.32,3.04,0.45,1.58,0.68,-0.81,3.47,6.42,-1.4,-0.03,0.01,-0.98,2.24
76,0.8,5.0,2.3,0,1.8,0.98,0.97,-0.03,1.65,1.61,-0.72,1.68,0.07,1.09,1.71,0.62,1.4,-1.09,-0.23,-0.34
77,0.1,3.66,2.16,1,-0.57,0.23,3.88,0.29,-0.32,0.03,1.51,-0.82,0.01,4.07,-0.0,-0.04,-2.03,0.0,1.04,-0.07
78,0.58,1.72,2.83,0,1.2,0.45,1.26,2.22,1.44,0.1,-0.39,0.64,1.32,2.34,3.21,0.6,0.4,0.58,0.07,1.48
79,0.26,3.03,0.97,1,-0.03,1.07,3.13,1.48,0.06,1.84,0.87,1.58,0.87,3.83,1.87,0.2,1.08,-0.78,0.56,-0.3
80,1.18,-0.51,3.91,2,-0.31,0.46,3.9,0.68,1.41,-1.04,0.72,-1.06,1.46,2.54,4.55,0.36,-1.75,-0.1,-0.59,0.12
81,0.54,3.57,3.93,1,0.59,-2.25,2.09,-0.01,-0.41,1.23,0.75,0.74,0.96,2.18,0.76,-1.67,0.23,-1.39,-0.26,0.4
82,-1.09,2.95,2.88,1,-1.47,0.24,3.08,0.23,-0.41,1.02,-0.38,1.08,2.42,4.02,0.38,1.76,0.95,-0.31,0.38,-0.13
83,1.56,1.39,0.43,0,-2.44,-0.41,0.86,-0.39,1.77,-0.53,0.54,2.02,0.69,0.99,1.63,-0.27,-0.34,-0.94,-0.11,1.91
84,0.77,2.32,4.6,2,-1.98,0.25,4.26,-0.33,4.43,-0.51,-0.41,-0.03,-1.01,5.34,3.16,-0.18,0.82,-1.44,1.63,-1.18
85,0.73,6.25,0.34,0,2.12,-0.69,0.68,0.78,0.81,-0.72,0.08,-0.82,0.28,1.8,-1.34,0.88,0.8,-1.36,-0.94,1.64
86,-0.25,3.83,2.47,1,1.56,0.41,2.59,-0.26,-1.0,0.44,0.5,-0.2,0.01,3.28,2.14,1.36,0.2,0.28,0.46,-1.58
87,1.18,3.79,3.35,0,1.27,0.24,2.57,0.55,3.25,0.44,0.23,-0.49,0.33,0.16,2.48,-1.5,0.75,0.89,-0.06,0.95
88,0.77,1.0,6.03,2,0.73,1.31,3.03,0.79,3.78,-0.14,-0.08,0.55,0.06,4.59,3.5,-0.55,0.22,-0.31,-0.25,3.11
89,-1.27,1.25,6.05,2,-0.37,-1.11,5.11,-1.8,3.67,-0.38,-2.11,-0.64,0.38,3.53,4.14,-0.34,-0.18,0.3,0.85,2.01
90,0.63,4.84,0.82,1,1.69,-2.09,0.5,0.98,-0.03,-0.41,-0.75,1.6,-0.04,4.13,-0.49,-0.48,1.07,2.05,0.35,0.85
91,-0.73,4.87,2.98,1,-0.67,0.94,1.29,-1.64,-0.2,0.51,-1.16,2.27,-0.08,2.05,-0.18,-0.72,1.51,1.35,1.69,-0.13
92,-2.01,4.85,0.85,1,1.09,0.26,1.58,-0.22,0.39,-0.88,-0.32,-1.13,0.9,3.43,0.99,0.02,1.46,-1.25,0.56,0.27
93,1.59,4.23,0.81,1,0.9,-0.67,1.93,0.79,2.19,0.36,0.71,-0.58,-0.75,1.96,2.1,-0.27,-0.23,-1.14,-2.46,0.19
94,-0.85,2.25,1.65,0,1.34,0.12,3.83,-0.5,1.85,0.78,0.12,0.13,-0.1,2.94,2.93,-2.52,0.58,-0.25,0.39,2.39
95,0.37,5.05,0.15,1,1.95,1.8,-0.38,-0.27,0.04,0.15,0.52,0.38,0.78,1.76,2.21,0.34,0.84,0.24,-1.01,0.51
96,-0.01,5.8,3.97,2,-0.04,-0.2,6.12,0.33,0.52,0.72,2.54,0.42,-0.57,4.89,0.27,-0.1,-0.23,-0.39,-1.66,0.88
97,-0.35,5.01,2.02,1,0.33,1.18,3.91,0.08,0.71,-1.33,-2.55,-0.83,-1.36,4.22,1.04,0.45,0.62,-0.23,0.27,-1.77
98,0.53,3.7,2.29,0,1.22,0.97,1.51,-0.94,1.79,0.02,1.63,1.63,-0.21,2.96,2.38,1.31,-0.5,-1.12,1.52,0.39
99,0.29,2.94,3.32,2,1.0,0.39,3.68,0.58,1.0,-1.62,-0.21,0.07,0.13,5.71,3.53,-1.43,-0.23,-0.45,-0.14,-0.78
100,-1.89,5.05,1.83,1,0.87,0.89,1.84,0.81,-0.55,2.04,2.56,0.89,0.39,-0.26,0.29,0.31,0.61,0.07,0.44,0.09
101,-0.6,3.41,-0.54,0,0.14,-1.92,1.67,0.64,-0.39,-0.56,0.58,0.15,-0.15,1.01,1.71,-1.42,-0.05,0.27,0.02,0.76
102,2.7,4.08,3.59,0,1.53,-0.88,1.99,0.75,1.62,0.32,-0.12,-0.14,0.87,3.82,4.23,-1.83,1.09,0.73,0.83,-0.92
103,-0.07,4.17,1.72,1,0.05,-0.67,1.52,2.09,-0.34,0.15,-1.23,-0.11,-0.75,3.22,0.99,-0.03,1.29,1.39,-0.6,0.02
104,-0.53,2.41,4.38,2,0.25,1.65,4.59,-0.79,-0.37,-0.71,0.68,0.48,-1.24,5.83,2.14,0.15,0.42,-0.21,1.49,0.35
105,-0.15,-0.59,6.66,2,0.98,-0.22,4.04,1.02,5.19,-0.22,0.22,-0.07,1.98,2.82,4.01,0.17,0.98,-0.86,0.58,1.23
106,0.46,3.39,5.11,2,0.16,0.36,5.26,-0.24,0.18,0.99,0.85,1.48,0.14,5.28,1.67,0.01,0.56,-0.67,0.35,1.19
107,-0.24,-1.55,5.15,2,-0.0,1.02,3.73,-1.29,2.96,-1.58,-0.48,1.03,0.59,3.63,4.12,1.18,0.02,0.06,-0.84,1.45
108,0.9,1.87,2.23,0,1.73,0.57,2.87,-0.88,3.67,0.11,-0.34,1.95,-0.49,1.44,3.37,1.48,-1.31,-1.12,-0.57,2.39
109,-0.1,2.17,1.56,0,1.97,-0.04,0.98,-0.65,1.28,-0.71,-2.35,0.42,0.99,1.51,0.82,-0.84,-1.38,-2.58,-0.43,-0.71
110,-0.89,-1.87,4.25,2,0.22,1.5,4.03,-0.4,2.31,-0.14,-0.12,1.31,-1.56,1.55,6.07,0.07,-0.57,1.14,1.63,4.0
111,-0.16,3.27,0.23,1,-0.4,-0.7,3.3,1.75,-1.48,-1.2,-0.53,0.6,-0.2,2.11,-0.6,-0.36,0.13,0.36,1.09,-1.18
112,1.6,1.07,2.66,0,0.86,0.57,2.95,1.84,1.41,-0.03,0.4,1.85,-0.28,1.86,3.33,-0.03,2.95,-1.13,-0.62,1.17
113,0.78,4.36,0.65,1,-0.65,-0.26,3.53,-0.4,0.74,-1.12,-1.23,-0.15,0.39,3.18,-0.33,-1.11,0.22,-0.83,0.11,0.28
114,0.85,3.98,2.25,2,0.81,0.09,2.97,0.96,1.31,-0.43,0.19,-0.12,-0.92,4.19,1.91,-0.26,-1.3,-0.64,-0.45,-0.17
115,-0.16,1.09,4.78,2,2.28,1.7,2.65,-0.19,4.04,1.25,-1.75,0.51,-0.91,2.38,4.26,-1.18,-0.13,-1.21,-2.83,-0.21
116,1.24,2.96,3.03,2,-0.23,-0.59,3.59,0.76,2.14,-0.65,-1.01,0.12,1.58,4.72,1.7,-1.39,-0.16,-0.79,0.06,-0.73
117,0.53,3.9,1.71,1,0.11,-1.84,2.14,-0.11,0.18,-1.64,0.61,0.57,0.01,4.78,1.72,0.27,0.91,-0.51,0.34,1.9
118,0.4,3.77,0.93,1,0.11,0.33,0.16,-1.43,-2.33,2.42,-1.45,-0.68,-0.7,2.39,1.76,0.03,0.72,-0.27,-0.12,0.41
119,-1.19,4.02,1.85,1,-0.67,-0.75,-0.26,-0.47,0.58,-1.01,-0.71,1.74,-0.46,0.07,-1.21,-0.11,0.55,-1.16,-0.13,-1.0
120,0.54,3.81,1.95,1,1.14,-0.14,3.37,0.89,-0.26,0.34,-1.18,-0.86,-1.87,3.94,0.08,0.39,0.18,0.08,0.76,0.62
121,-0.4,2.12,1.46,1,2.46,2.34,2.27,1.27,1.03,0.14,-0.19,2.11,1.63,0.9,-0.35,1.8,-0.44,-0.96,2.08,-0.88
122,0.56,2.32,2.05,0,0.11,-1.17,1.96,-0.65,1.37,-0.01,0.15,0.18,-1.65,0.12,2.21,-0.36,2.38,0.21,-1.27,1.0
123,-1.82,0.55,4.38,2,0.5,-2.25,4.95,-0.15,2.14,-0.68,-0.48,-0.48,0.36,4.57,2.97,0.69,1.59,-0.84,-1.12,1.06
124,-0.6,2.6,4.28,2,0.8,2.03,4.07,-0.71,0.7,2.36,0.05,1.92,-0.88,5.65,0.8,-0.72,0.4,0.18,1.05,0.48
125,0.52,3.37,2.9,2,-1.56,0.22,3.25,1.65,1.56,0.8,-0.05,-0.42,-2.16,4.66,1.22,0.35,0.75,2.44,-1.54,-0.56
126,0.81,0.54,4.55,2,0.27,0.33,3.76,0.05,2.65,0.03,-0.36,-0.57,1.14,3.77,3.07,0.05,0.2,-0.02,-1.04,1.09
127,0.22,0.34,5.74,0,-0.58,2.32,5.24,0.13,5.11,-1.17,-0.23,-1.02,-0.27,2.64,5.1,-0.01,1.03,-0.78,-1.51,2.61
128,-0.41,4.84,-1.55,1,0.55,-0.36,0.61,-0.91,0.64,-0.53,-1.65,0.12,-0.2,2.42,2.14,1.71,-1.78,-0.96,0.45,-1.06
129,0.2,4.69,1.67,2,-0.45,1.07,5.92,1.1,-0.28,-0.02,1.2,-0.08,-0.85,2.45,2.2,-1.02,1.27,-0.46,-0.15,0.46
130,0.12,3.9,2.32,2,0.65,-0.01,3.45,2.15,0.93,-0.49,0.09,1.03,-0.14,3.85,1.38,0.44,-0.18,-1.12,0.14,1.04
131,-1.99,1.69,3.96,2,-0.03,0.14,3.97,-0.29,2.46,-0.5,-0.34,-0.1,-0.49,4.58,4.6,-0.66,-0.79,-0.27,-0.34,1.95
132,-0.06,3.91,4.75,2,-0.34,0.81,3.43,0.67,-0.25,-1.18,-1.17,-0.92,-0.84,7.17,0.77,-1.75,-1.01,-0.0,-0.7,0.54
133,0.39,0.84,2.69,0,0.46,0.14,2.91,1.06,2.53,-2.43,-0.36,0.4,-0.1,1.91,1.96,-1.11,0.1,-1.68,0.76,2.22
134,-0.04,3.98,2.41,1,0.73,0.78,4.51,0.62,-1.18,0.69,1.03,-0.46,1.97,3.76,0.86,0.2,0.04,1.02,-0.31,0.09
135,-0.18,2.46,4.43,2,-0.59,0.92,3.23,0.37,4.57,1.59,0.76,0.87,0.23,1.45,5.58,0.52,1.49,-0.56,-0.71,2.19
136,-1.21,0.78,3.01,0,1.7,-0.89,2.95,-2.88,2.51,0.28,1.09,0.58,-0.09,3.8,2.96,0.85,0.12,-1.38,0.44,-0.38
137,-0.18,3.86,2.58,1,0.98,-1.0,1.36,-1.22,2.22,-0.64,-0.43,0.75,-0.71,3.54,1.26,-0.55,0.35,-0.26,0.93,0.0
138,1.63,3.51,2.3,0,1.88,-0.64,-1.09,0.9,1.49,-0.55,0.81,-0.39,-1.1,1.2,1.41,-1.23,1.49,-0.44,0.75,0.51
139,0.61,-0.48,3.66,2,0.7,0.3,3.85,2.92,4.65,0.69,1.42,-0.32,1.29,3.84,5.27,0.22,2.0,0.85,2.2,3.26
140,0.03,3.26,2.51,1,2.28,-0.89,1.16,2.14,1.59,0.04,-1.17,0.27,0.31,1.61,-0.64,0.4,1.01,0.8,-1.01,-0.4
141,-0.63,0.47,3.75,0,-0.5,1.06,0.53,0.8,1.07,0.75,1.84,-0.55,-0.19,0.57,4.61,-0.16,-0.79,1.64,-0.17,1.84
142,-1.15,4.2,-0.35,0,0.79,-0.16,-1.24,-0.65,0.3,1.85,0.18,-0.94,-1.47,1.62,-1.18,-0.77,1.03,0.31,2.2,-1.03
143,0.55,0.69,3.65,2,-0.6,0.01,2.39,-1.35,1.82,-1.54,0.92,1.41,-0.32,5.78,2.24,0.76,-0.18,-0.9,-3.73,1.2
144,0.8,1.21,3.83,2,0.11,-1.04,4.34,0.52,1.48,-0.9,-0.08,1.22,0.12,3.62,3.56,-1.3,0.71,0.92,2.44,0.33
145,-0.38,0.8,0.01,0,-0.04,0.15,1.9,-2.5,1.19,0.42,-1.14,-0.62,-0.26,0.53,2.59,-0.07,-0.28,0.32,0.09,1.34
146,-1.64,3.98,2.57,1,-1.01,0.04,3.16,-1.62,0.12,-0.19,-1.19,0.33,-0.27,4.06,2.49,1.73,0.09,-1.29,-0.38,-0.34
147,2.07,3.25,0.29,0,0.51,0.66,0.92,0.05,0.39,0.76,-0.84,0.87,0.3,0.47,0.4,-0.78,-0.13,-1.88,0.74,-0.73
148,1.24,2.92,2.63,0,1.52,-1.06,2.37,-1.15,2.4,0.13,-0.89,-0.87,0.24,2.93,4.92,0.61,-1.17,0.63,0.16,1.17
149,0.64,2.27,0.38,0,1.11,1.26,2.37,1.08,1.13,0.37,-0.24,-0.34,2.44,1.19,2.0,-0.27,-0.3,0.48,-0.92,0.09
150,0.25,4.93,-0.14,0,1.71,-0.15,1.85,-1.01,3.29,1.28,-1.47,-1.04,-0.91,1.69,0.19,-0.07,-0.37,-0.03,-0.49,-0.22
151,-2.33,3.35,3.06,2,1.16,-0.44,2.37,1.15,-1.1,-0.23,0.04,2.29,0.53,4.68,2.55,1.65,-0.52,-0.61,1.16,1.27
152,0.33,3.35,0.58,0,0.86,1.89,1.91,-0.83,0.71,-1.04,-0.58,0.65,0.19,2.5,1.18,-0.69,0.96,-0.18,-0.38,-1.0
153,-0.52,3.32,5.11,2,-0.59,-0.78,5.76,-0.22,-0.4,-2.17,-1.23,0.95,0.04,4.4,2.62,-0.56,-0.0,0.64,-0.04,0.06
154,-0.02,3.23,5.26,2,0.1,1.07,3.62,-0.0,1.57,-0.79,0.84,0.68,2.25,2.24,2.92,2.56,0.73,1.06,-0.29,1.72
155,-1.27,4.95,2.45,1,0.77,1.83,2.81,0.51,1.14,-1.56,1.48,-2.34,-0.95,3.79,-0.03,-1.21,-0.41,-0.89,2.75,0.62
156,0.34,3.96,3.71,1,2.55,-1.09,1.57,1.02,-0.74,-1.27,-0.07,-0.34,0.76,5.11,2.37,-0.19,1.24,-1.09,1.47,0.71
157,0.74,1.46,4.9,2,-0.66,0.23,5.15,0.5,3.61,0.46,-0.62,0.01,0.66,3.03,4.75,-0.42,-1.08,0.63,0.45,0.57
158,-0.54,0.49,5.61,2,0.27,-1.07,2.22,2.02,4.13,0.83,-0.3,-1.57,0.95,4.54,3.66,1.09,-0.47,0.29,-0.86,1.45
