,class_cat,left-weight_num,left-distance_num,right-weight_num,right-distance_num
64,R,1.0,3.0,3.0,5.0
65,R,1.0,3.0,4.0,1.0
66,R,1.0,3.0,4.0,2.0
67,R,1.0,3.0,4.0,3.0
68,R,1.0,3.0,4.0,4.0
69,R,1.0,3.0,4.0,5.0
70,R,1.0,3.0,5.0,1.0
71,R,1.0,3.0,5.0,2.0
72,R,1.0,3.0,5.0,3.0
73,R,1.0,3.0,5.0,4.0
74,R,1.0,3.0,5.0,5.0
75,L,1.0,4.0,1.0,1.0
76,L,1.0,4.0,1.0,2.0
77,L,1.0,4.0,1.0,3.0
78,B,1.0,4.0,1.0,4.0
79,R,1.0,4.0,1.0,5.0
80,L,1.0,4.0,2.0,1.0
81,B,1.0,4.0,2.0,2.0
82,R,1.0,4.0,2.0,3.0
83,R,1.0,4.0,2.0,4.0
84,R,1.0,4.0,2.0,5.0
85,L,1.0,4.0,3.0,1.0
86,R,1.0,4.0,3.0,2.0
87,R,1.0,4.0,3.0,3.0
88,R,1.0,4.0,3.0,4.0
89,R,1.0,4.0,3.0,5.0
90,B,1.0,4.0,4.0,1.0
91,R,1.0,4.0,4.0,2.0
92,R,1.0,4.0,4.0,3.0
93,R,1.0,4.0,4.0,4.0
94,R,1.0,4.0,4.0,5.0
95,R,1.0,4.0,5.0,1.0
96,R,1.0,4.0,5.0,2.0
97,R,1.0,4.0,5.0,3.0
98,R,1.0,4.0,5.0,4.0
99,R,1.0,4.0,5.0,5.0
100,L,1.0,5.0,1.0,1.0
101,L,1.0,5.0,1.0,2.0
102,L,1.0,5.0,1.0,3.0
103,L,1.0,5.0,1.0,4.0
104,B,1.0,5.0,1.0,5.0
105,L,1.0,5.0,2.0,1.0
106,L,1.0,5.0,2.0,2.0
107,R,1.0,5.0,2.0,3.0
108,R,1.0,5.0,2.0,4.0
109,R,1.0,5.0,2.0,5.0
110,L,1.0,5.0,3.0,1.0
111,R,1.0,5.0,3.0,2.0
112,R,1.0,5.0,3.0,3.0
113,R,1.0,5.0,3.0,4.0
114,R,1.0,5.0,3.0,5.0
115,L,1.0,5.0,4.0,1.0
116,R,1.0,5.0,4.0,2.0
117,R,1.0,5.0,4.0,3.0
118,R,1.0,5.0,4.0,4.0
119,R,1.0,5.0,4.0,5.0
120,B,1.0,5.0,5.0,1.0
121,R,1.0,5.0,5.0,2.0
122,R,1.0,5.0,5.0,3.0
123,R,1.0,5.0,5.0,4.0
124,R,1.0,5.0,5.0,5.0
125,L,2.0,1.0,1.0,1.0
126,B,2.0,1.0,1.0,2.0
127,R,2.0,1.0,1.0,3.0
128,R,2.0,1.0,1.0,4.0
129,R,2.0,1.0,1.0,5.0
130,B,2.0,1.0,2.0,1.0
131,R,2.0,1.0,2.0,2.0
132,R,2.0,1.0,2.0,3.0
133,R,2.0,1.0,2.0,4.0
134,R,2.0,1.0,2.0,5.0
135,R,2.0,1.0,3.0,1.0
136,R,2.0,1.0,3.0,2.0
137,R,2.0,1.0,3.0,3.0
138,R,2.0,1.0,3.0,4.0
139,R,2.0,1.0,3.0,5.0
140,R,2.0,1.0,4.0,1.0
141,R,2.0,1.0,4.0,2.0
142,R,2.0,1.0,4.0,3.0
143,R,2.0,1.0,4.0,4.0
144,R,2.0,1.0,4.0,5.0
145,R,2.0,1.0,5.0,1.0
146,R,2.0,1.0,5.0,2.0
147,R,2.0,1.0,5.0,3.0
148,R,2.0,1.0,5.0,4.0
149,R,2.0,1.0,5.0,5.0
150,L,2.0,2.0,1.0,1.0
151,L,2.0,2.0,1.0,2.0
152,L,2.0,2.0,1.0,3.0
153,B,2.0,2.0,1.0,4.0
154,R,2.0,2.0,1.0,5.0
155,L,2.0,2.0,2.0,1.0
156,B,2.0,2.0,2.0,2.0
157,R,2.0,2.0,2.0,3.0
158,R,2.0,2.0,2.0,4.0
159,R,2.0,2.0,2.0,5.0
160,L,2.0,2.0,3.0,1.0
161,R,2.0,2.0,3.0,2.0
162,R,2.0,2.0,3.0,3.0
163,R,2.0,2.0,3.0,4.0
164,R,2.0,2.0,3.0,5.0
165,B,2.0,2.0,4.0,1.0
166,R,2.0,2.0,4.0,2.0
167,R,2.0,2.0,4.0,3.0
168,R,2.0,2.0,4.0,4.0
169,R,2.0,2.0,4.0,5.0
170,R,2.0,2.0,5.0,1.0
171,R,2.0,2.0,5.0,2.0
172,R,2.0,2.0,5.0,3.0
173,R,2.0,2.0,5.0,4.0
174,R,2.0,2.0,5.0,5.0
175,L,2.0,3.0,1.0,1.0
176,L,2.0,3.0,1.0,2.0
177,L,2.0,3.0,1.0,3.0
178,L,2.0,3.0,1.0,4.0
179,L,2.0,3.0,1.0,5.0
180,L,2.0,3.0,2.0,1.0
181,L,2.0,3.0,2.0,2.0
182,B,2.0,3.0,2.0,3.0
183,R,2.0,3.0,2.0,4.0
184,R,2.0,3.0,2.0,5.0
185,L,2.0,3.0,3.0,1.0
186,B,2.0,3.0,3.0,2.0
187,R,2.0,3.0,3.0,3.0
188,R,2.0,3.0,3.0,4.0
189,R,2.0,3.0,3.0,5.0
190,L,2.0,3.0,4.0,1.0
191,R,2.0,3.0,4.0,2.0
192,R,2.0,3.0,4.0,3.0
193,R,2.0,3.0,4.0,4.0
194,R,2.0,3.0,4.0,5.0
195,L,2.0,3.0,5.0,1.0
196,R,2.0,3.0,5.0,2.0
197,R,2.0,3.0,5.0,3.0
198,R,2.0,3.0,5.0,4.0
199,R,2.0,3.0,5.0,5.0
200,L,2.0,4.0,1.0,1.0
201,L,2.0,4.0,1.0,2.0
202,L,2.0,4.0,1.0,3.0
203,L,2.0,4.0,1.0,4.0
204,L,2.0,4.0,1.0,5.0
205,L,2.0,4.0,2.0,1.0
206,L,2.0,4.0,2.0,2.0
207,L,2.0,4.0,2.0,3.0
208,B,2.0,4.0,2.0,4.0
209,R,2.0,4.0,2.0,5.0
210,L,2.0,4.0,3.0,1.0
211,L,2.0,4.0,3.0,2.0
212,R,2.0,4.0,3.0,3.0
213,R,2.0,4.0,3.0,4.0
214,R,2.0,4.0,3.0,5.0
215,L,2.0,4.0,4.0,1.0
216,B,2.0,4.0,4.0,2.0
217,R,2.0,4.0,4.0,3.0
218,R,2.0,4.0,4.0,4.0
219,R,2.0,4.0,4.0,5.0
220,L,2.0,4.0,5.0,1.0
221,R,2.0,4.0,5.0,2.0
222,R,2.0,4.0,5.0,3.0
223,R,2.0,4.0,5.0,4.0
224,R,2.0,4.0,5.0,5.0
225,L,2.0,5.0,1.0,1.0
226,L,2.0,5.0,1.0,2.0
227,L,2.0,5.0,1.0,3.0
228,L,2.0,5.0,1.0,4.0
229,L,2.0,5.0,1.0,5.0
230,L,2.0,5.0,2.0,1.0
231,L,2.0,5.0,2.0,2.0
232,L,2.0,5.0,2.0,3.0
233,L,2.0,5.0,2.0,4.0
234,B,2.0,5.0,2.0,5.0
235,L,2.0,5.0,3.0,1.0
236,L,2.0,5.0,3.0,2.0
237,L,2.0,5.0,3.0,3.0
238,R,2.0,5.0,3.0,4.0
239,R,2.0,5.0,3.0,5.0
240,L,2.0,5.0,4.0,1.0
241,L,2.0,5.0,4.0,2.0
242,R,2.0,5.0,4.0,3.0
243,R,2.0,5.0,4.0,4.0
244,R,2.0,5.0,4.0,5.0
245,L,2.0,5.0,5.0,1.0
246,B,2.0,5.0,5.0,2.0
247,R,2.0,5.0,5.0,3.0
248,R,2.0,5.0,5.0,4.0
249,R,2.0,5.0,5.0,5.0
250,L,3.0,1.0,1.0,1.0
251,L,3.0,1.0,1.0,2.0
252,B,3.0,1.0,1.0,3.0
253,R,3.0,1.0,1.0,4.0
254,R,3.0,1.0,1.0,5.0
255,L,3.0,1.0,2.0,1.0
256,R,3.0,1.0,2.0,2.0
257,R,3.0,1.0,2.0,3.0
258,R,3.0,1.0,2.0,4.0
259,R,3.0,1.0,2.0,5.0
260,B,3.0,1.0,3.0,1.0
261,R,3.0,1.0,3.0,2.0
262,R,3.0,1.0,3.0,3.0
263,R,3.0,1.0,3.0,4.0
264,R,3.0,1.0,3.0,5.0
265,R,3.0,1.0,4.0,1.0
266,R,3.0,1.0,4.0,2.0
267,R,3.0,1.0,4.0,3.0
268,R,3.0,1.0,4.0,4.0
269,R,3.0,1.0,4.0,5.0
270,R,3.0,1.0,5.0,1.0
271,R,3.0,1.0,5.0,2.0
272,R,3.0,1.0,5.0,3.0
273,R,3.0,1.0,5.0,4.0
274,R,3.0,1.0,5.0,5.0
275,L,3.0,2.0,1.0,1.0
276,L,3.0,2.0,1.0,2.0
277,L,3.0,2.0,1.0,3.0
278,L,3.0,2.0,1.0,4.0
279,L,3.0,2.0,1.0,5.0
280,L,3.0,2.0,2.0,1.0
281,L,3.0,2.0,2.0,2.0
282,B,3.0,2.0,2.0,3.0
283,R,3.0,2.0,2.0,4.0
284,R,3.0,2.0,2.0,5.0
285,L,3.0,2.0,3.0,1.0
286,B,3.0,2.0,3.0,2.0
287,R,3.0,2.0,3.0,3.0
288,R,3.0,2.0,3.0,4.0
289,R,3.0,2.0,3.0,5.0
290,L,3.0,2.0,4.0,1.0
291,R,3.0,2.0,4.0,2.0
292,R,3.0,2.0,4.0,3.0
293,R,3.0,2.0,4.0,4.0
294,R,3.0,2.0,4.0,5.0
295,L,3.0,2.0,5.0,1.0
296,R,3.0,2.0,5.0,2.0
297,R,3.0,2.0,5.0,3.0
298,R,3.0,2.0,5.0,4.0
299,R,3.0,2.0,5.0,5.0
300,L,3.0,3.0,1.0,1.0
301,L,3.0,3.0,1.0,2.0
302,L,3.0,3.0,1.0,3.0
303,L,3.0,3.0,1.0,4.0
304,L,3.0,3.0,1.0,5.0
305,L,3.0,3.0,2.0,1.0
306,L,3.0,3.0,2.0,2.0
307,L,3.0,3.0,2.0,3.0
308,L,3.0,3.0,2.0,4.0
309,R,3.0,3.0,2.0,5.0
310,L,3.0,3.0,3.0,1.0
311,L,3.0,3.0,3.0,2.0
312,B,3.0,3.0,3.0,3.0
313,R,3.0,3.0,3.0,4.0
314,R,3.0,3.0,3.0,5.0
315,L,3.0,3.0,4.0,1.0
316,L,3.0,3.0,4.0,2.0
317,R,3.0,3.0,4.0,3.0
318,R,3.0,3.0,4.0,4.0
319,R,3.0,3.0,4.0,5.0
320,L,3.0,3.0,5.0,1.0
321,R,3.0,3.0,5.0,2.0
322,R,3.0,3.0,5.0,3.0
323,R,3.0,3.0,5.0,4.0
324,R,3.0,3.0,5.0,5.0
325,L,3.0,4.0,1.0,1.0
326,L,3.0,4.0,1.0,2.0
327,L,3.0,4.0,1.0,3.0
328,L,3.0,4.0,1.0,4.0
329,L,3.0,4.0,1.0,5.0
330,L,3.0,4.0,2.0,1.0
331,L,3.0,4.0,2.0,2.0
332,L,3.0,4.0,2.0,3.0
333,L,3.0,4.0,2.0,4.0
334,L,3.0,4.0,2.0,5.0
335,L,3.0,4.0,3.0,1.0
336,L,3.0,4.0,3.0,2.0
337,L,3.0,4.0,3.0,3.0
338,B,3.0,4.0,3.0,4.0
339,R,3.0,4.0,3.0,5.0
340,L,3.0,4.0,4.0,1.0
341,L,3.0,4.0,4.0,2.0
342,B,3.0,4.0,4.0,3.0
343,R,3.0,4.0,4.0,4.0
344,R,3.0,4.0,4.0,5.0
345,L,3.0,4.0,5.0,1.0
346,L,3.0,4.0,5.0,2.0
347,R,3.0,4.0,5.0,3.0
348,R,3.0,4.0,5.0,4.0
349,R,3.0,4.0,5.0,5.0
350,L,3.0,5.0,1.0,1.0
351,L,3.0,5.0,1.0,2.0
352,L,3.0,5.0,1.0,3.0
353,L,3.0,5.0,1.0,4.0
354,L,3.0,5.0,1.0,5.0
355,L,3.0,5.0,2.0,1.0
356,L,3.0,5.0,2.0,2.0
357,L,3.0,5.0,2.0,3.0
358,L,3.0,5.0,2.0,4.0
359,L,3.0,5.0,2.0,5.0
360,L,3.0,5.0,3.0,1.0
361,L,3.0,5.0,3.0,2.0
362,L,3.0,5.0,3.0,3.0
363,L,3.0,5.0,3.0,4.0
364,B,3.0,5.0,3.0,5.0
365,L,3.0,5.0,4.0,1.0
366,L,3.0,5.0,4.0,2.0
367,L,3.0,5.0,4.0,3.0
368,R,3.0,5.0,4.0,4.0
369,R,3.0,5.0,4.0,5.0
370,L,3.0,5.0,5.0,1.0
371,L,3.0,5.0,5.0,2.0
372,B,3.0,5.0,5.0,3.0
373,R,3.0,5.0,5.0,4.0
374,R,3.0,5.0,5.0,5.0
375,L,4.0,1.0,1.0,1.0
376,L,4.0,1.0,1.0,2.0
377,L,4.0,1.0,1.0,3.0
378,B,4.0,1.0,1.0,4.0
379,R,4.0,1.0,1.0,5.0
380,L,4.0,1.0,2.0,1.0
381,B,4.0,1.0,2.0,2.0
382,R,4.0,1.0,2.0,3.0
383,R,4.0,1.0,2.0,4.0
384,R,4.0,1.0,2.0,5.0
385,L,4.0,1.0,3.0,1.0
386,R,4.0,1.0,3.0,2.0
387,R,4.0,1.0,3.0,3.0
388,R,4.0,1.0,3.0,4.0
389,R,4.0,1.0,3.0,5.0
390,B,4.0,1.0,4.0,1.0
391,R,4.0,1.0,4.0,2.0
392,R,4.0,1.0,4.0,3.0
393,R,4.0,1.0,4.0,4.0
394,R,4.0,1.0,4.0,5.0
395,R,4.0,1.0,5.0,1.0
396,R,4.0,1.0,5.0,2.0
397,R,4.0,1.0,5.0,3.0
398,R,4.0,1.0,5.0,4.0
399,R,4.0,1.0,5.0,5.0
400,L,4.0,2.0,1.0,1.0
401,L,4.0,2.0,1.0,2.0
402,L,4.0,2.0,1.0,3.0
403,L,4.0,2.0,1.0,4.0
404,L,4.0,2.0,1.0,5.0
405,L,4.0,2.0,2.0,1.0
406,L,4.0,2.0,2.0,2.0
407,L,4.0,2.0,2.0,3.0
408,B,4.0,2.0,2.0,4.0
409,R,4.0,2.0,2.0,5.0
410,L,4.0,2.0,3.0,1.0
411,L,4.0,2.0,3.0,2.0
412,R,4.0,2.0,3.0,3.0
413,R,4.0,2.0,3.0,4.0
414,R,4.0,2.0,3.0,5.0
415,L,4.0,2.0,4.0,1.0
416,B,4.0,2.0,4.0,2.0
417,R,4.0,2.0,4.0,3.0
418,R,4.0,2.0,4.0,4.0
419,R,4.0,2.0,4.0,5.0
420,L,4.0,2.0,5.0,1.0
421,R,4.0,2.0,5.0,2.0
422,R,4.0,2.0,5.0,3.0
423,R,4.0,2.0,5.0,4.0
424,R,4.0,2.0,5.0,5.0
425,L,4.0,3.0,1.0,1.0
426,L,4.0,3.0,1.0,2.0
427,L,4.0,3.0,1.0,3.0
428,L,4.0,3.0,1.0,4.0
429,L,4.0,3.0,1.0,5.0
430,L,4.0,3.0,2.0,1.0
431,L,4.0,3.0,2.0,2.0
432,L,4.0,3.0,2.0,3.0
433,L,4.0,3.0,2.0,4.0
434,L,4.0,3.0,2.0,5.0
435,L,4.0,3.0,3.0,1.0
436,L,4.0,3.0,3.0,2.0
437,L,4.0,3.0,3.0,3.0
438,B,4.0,3.0,3.0,4.0
439,R,4.0,3.0,3.0,5.0
440,L,4.0,3.0,4.0,1.0
441,L,4.0,3.0,4.0,2.0
442,B,4.0,3.0,4.0,3.0
443,R,4.0,3.0,4.0,4.0
444,R,4.0,3.0,4.0,5.0
445,L,4.0,3.0,5.0,1.0
446,L,4.0,3.0,5.0,2.0
447,R,4.0,3.0,5.0,3.0
448,R,4.0,3.0,5.0,4.0
449,R,4.0,3.0,5.0,5.0
450,L,4.0,4.0,1.0,1.0
451,L,4.0,4.0,1.0,2.0
452,L,4.0,4.0,1.0,3.0
453,L,4.0,4.0,1.0,4.0
454,L,4.0,4.0,1.0,5.0
455,L,4.0,4.0,2.0,1.0
456,L,4.0,4.0,2.0,2.0
457,L,4.0,4.0,2.0,3.0
458,L,4.0,4.0,2.0,4.0
459,L,4.0,4.0,2.0,5.0
460,L,4.0,4.0,3.0,1.0
461,L,4.0,4.0,3.0,2.0
462,L,4.0,4.0,3.0,3.0
463,L,4.0,4.0,3.0,4.0
464,L,4.0,4.0,3.0,5.0
465,L,4.0,4.0,4.0,1.0
466,L,4.0,4.0,4.0,2.0
467,L,4.0,4.0,4.0,3.0
468,B,4.0,4.0,4.0,4.0
469,R,4.0,4.0,4.0,5.0
470,L,4.0,4.0,5.0,1.0
471,L,4.0,4.0,5.0,2.0
472,L,4.0,4.0,5.0,3.0
473,R,4.0,4.0,5.0,4.0
474,R,4.0,4.0,5.0,5.0
475,L,4.0,5.0,1.0,1.0
476,L,4.0,5.0,1.0,2.0
477,L,4.0,5.0,1.0,3.0
478,L,4.0,5.0,1.0,4.0
479,L,4.0,5.0,1.0,5.0
480,L,4.0,5.0,2.0,1.0
481,L,4.0,5.0,2.0,2.0
482,L,4.0,5.0,2.0,3.0
483,L,4.0,5.0,2.0,4.0
484,L,4.0,5.0,2.0,5.0
485,L,4.0,5.0,3.0,1.0
486,L,4.0,5.0,3.0,2.0
487,L,4.0,5.0,3.0,3.0
488,L,4.0,5.0,3.0,4.0
489,L,4.0,5.0,3.0,5.0
490,L,4.0,5.0,4.0,1.0
491,L,4.0,5.0,4.0,2.0
492,L,4.0,5.0,4.0,3.0
493,L,4.0,5.0,4.0,4.0
494,B,4.0,5.0,4.0,5.0
495,L,4.0,5.0,5.0,1.0
496,L,4.0,5.0,5.0,2.0
497,L,4.0,5.0,5.0,3.0
498,B,4.0,5.0,5.0,4.0
499,R,4.0,5.0,5.0,5.0
500,L,5.0,1.0,1.0,1.0
501,L,5.0,1.0,1.0,2.0
502,L,5.0,1.0,1.0,3.0
503,L,5.0,1.0,1.0,4.0
504,B,5.0,1.0,1.0,5.0
505,L,5.0,1.0,2.0,1.0
506,L,5.0,1.0,2.0,2.0
507,R,5.0,1.0,2.0,3.0
508,R,5.0,1.0,2.0,4.0
509,R,5.0,1.0,2.0,5.0
510,L,5.0,1.0,3.0,1.0
511,R,5.0,1.0,3.0,2.0
512,R,5.0,1.0,3.0,3.0
513,R,5.0,1.0,3.0,4.0
514,R,5.0,1.0,3.0,5.0
515,L,5.0,1.0,4.0,1.0
516,R,5.0,1.0,4.0,2.0
517,R,5.0,1.0,4.0,3.0
518,R,5.0,1.0,4.0,4.0
519,R,5.0,1.0,4.0,5.0
520,B,5.0,1.0,5.0,1.0
521,R,5.0,1.0,5.0,2.0
522,R,5.0,1.0,5.0,3.0
523,R,5.0,1.0,5.0,4.0
524,R,5.0,1.0,5.0,5.0
525,L,5.0,2.0,1.0,1.0
526,L,5.0,2.0,1.0,2.0
527,L,5.0,2.0,1.0,3.0
528,L,5.0,2.0,1.0,4.0
529,L,5.0,2.0,1.0,5.0
530,L,5.0,2.0,2.0,1.0
531,L,5.0,2.0,2.0,2.0
532,L,5.0,2.0,2.0,3.0
533,L,5.0,2.0,2.0,4.0
534,B,5.0,2.0,2.0,5.0
535,L,5.0,2.0,3.0,1.0
536,L,5.0,2.0,3.0,2.0
537,L,5.0,2.0,3.0,3.0
538,R,5.0,2.0,3.0,4.0
539,R,5.0,2.0,3.0,5.0
540,L,5.0,2.0,4.0,1.0
541,L,5.0,2.0,4.0,2.0
542,R,5.0,2.0,4.0,3.0
543,R,5.0,2.0,4.0,4.0
544,R,5.0,2.0,4.0,5.0
545,L,5.0,2.0,5.0,1.0
546,B,5.0,2.0,5.0,2.0
547,R,5.0,2.0,5.0,3.0
548,R,5.0,2.0,5.0,4.0
549,R,5.0,2.0,5.0,5.0
550,L,5.0,3.0,1.0,1.0
551,L,5.0,3.0,1.0,2.0
552,L,5.0,3.0,1.0,3.0
553,L,5.0,3.0,1.0,4.0
554,L,5.0,3.0,1.0,5.0
555,L,5.0,3.0,2.0,1.0
556,L,5.0,3.0,2.0,2.0
557,L,5.0,3.0,2.0,3.0
558,L,5.0,3.0,2.0,4.0
559,L,5.0,3.0,2.0,5.0
560,L,5.0,3.0,3.0,1.0
561,L,5.0,3.0,3.0,2.0
562,L,5.0,3.0,3.0,3.0
563,L,5.0,3.0,3.0,4.0
564,B,5.0,3.0,3.0,5.0
565,L,5.0,3.0,4.0,1.0
566,L,5.0,3.0,4.0,2.0
567,L,5.0,3.0,4.0,3.0
568,R,5.0,3.0,4.0,4.0
569,R,5.0,3.0,4.0,5.0
570,L,5.0,3.0,5.0,1.0
571,L,5.0,3.0,5.0,2.0
572,B,5.0,3.0,5.0,3.0
573,R,5.0,3.0,5.0,4.0
574,R,5.0,3.0,5.0,5.0
575,L,5.0,4.0,1.0,1.0
576,L,5.0,4.0,1.0,2.0
577,L,5.0,4.0,1.0,3.0
578,L,5.0,4.0,1.0,4.0
579,L,5.0,4.0,1.0,5.0
580,L,5.0,4.0,2.0,1.0
581,L,5.0,4.0,2.0,2.0
582,L,5.0,4.0,2.0,3.0
583,L,5.0,4.0,2.0,4.0
584,L,5.0,4.0,2.0,5.0
585,L,5.0,4.0,3.0,1.0
586,L,5.0,4.0,3.0,2.0
587,L,5.0,4.0,3.0,3.0
588,L,5.0,4.0,3.0,4.0
589,L,5.0,4.0,3.0,5.0
590,L,5.0,4.0,4.0,1.0
591,L,5.0,4.0,4.0,2.0
592,L,5.0,4.0,4.0,3.0
593,L,5.0,4.0,4.0,4.0
594,B,5.0,4.0,4.0,5.0
595,L,5.0,4.0,5.0,1.0
596,L,5.0,4.0,5.0,2.0
597,L,5.0,4.0,5.0,3.0
598,B,5.0,4.0,5.0,4.0
599,R,5.0,4.0,5.0,5.0
600,L,5.0,5.0,1.0,1.0
601,L,5.0,5.0,1.0,2.0
602,L,5.0,5.0,1.0,3.0
603,L,5.0,5.0,1.0,4.0
604,L,5.0,5.0,1.0,5.0
605,L,5.0,5.0,2.0,1.0
606,L,5.0,5.0,2.0,2.0
607,L,5.0,5.0,2.0,3.0
608,L,5.0,5.0,2.0,4.0
609,L,5.0,5.0,2.0,5.0
610,L,5.0,5.0,3.0,1.0
611,L,5.0,5.0,3.0,2.0
612,L,5.0,5.0,3.0,3.0
613,L,5.0,5.0,3.0,4.0
614,L,5.0,5.0,3.0,5.0
615,L,5.0,5.0,4.0,1.0
616,L,5.0,5.0,4.0,2.0
617,L,5.0,5.0,4.0,3.0
618,L,5.0,5.0,4.0,4.0
619,L,5.0,5.0,4.0,5.0
620,L,5.0,5.0,5.0,1.0
621,L,5.0,5.0,5.0,2.0
622,L,5.0,5.0,5.0,3.0
623,L,5.0,5.0,5.0,4.0
624,B,5.0,5.0,5.0,5.0
