,acc_num,Q1_num,Q2_num,Q3_num,Q4_num,Q5_num,Q6_num,Q7_num,Q8_num,Q9_num,Q10_num,Q11_num,Q12_num,Q13_num,Q14_num,comp_num
17,64.0,4.1,3.8,3.5,3.0,3.2,3.0,3.2,3.3,3.1,2.4,3.4,2.5,2.4,3.2,33.9
18,78.1,3.8,3.4,2.9,3.1,3.1,3.2,3.4,3.3,2.4,2.4,3.1,2.9,1.8,2.5,54.4
19,83.0,3.5,3.5,3.0,4.0,3.3,3.3,4.0,3.6,3.0,3.9,3.4,2.5,1.9,2.6,29.1
20,85.6,2.6,2.7,2.4,3.5,2.8,3.6,2.3,1.7,2.6,3.7,2.5,2.4,1.6,2.2,20.4
21,78.4,4.9,3.2,3.5,2.8,3.4,3.8,3.0,2.6,3.0,2.3,3.3,3.2,2.5,3.3,20.0
22,62.8,2.6,2.9,2.7,3.0,3.0,3.9,1.9,1.5,2.1,2.4,2.8,2.3,2.5,1.8,25.4
23,72.8,2.3,2.4,1.8,4.5,2.1,2.0,3.5,3.4,3.1,4.1,2.0,1.9,2.2,1.4,15.2
24,58.9,4.5,4.6,4.8,2.0,4.3,4.7,3.1,3.4,1.5,1.3,4.5,2.3,2.6,2.5,92.9
25,64.7,4.4,4.1,3.5,2.9,3.3,3.6,2.5,2.5,2.4,2.4,3.0,2.3,1.5,1.6,43.0
26,48.2,4.2,3.8,3.2,4.4,3.1,1.9,3.7,1.6,2.7,4.3,3.4,1.8,1.0,1.1,52.4
27,63.7,3.7,3.8,4.2,3.1,3.5,3.6,3.4,2.8,2.2,1.7,3.4,1.8,1.6,2.5,59.0
28,73.1,2.5,1.8,1.8,4.8,1.9,3.2,2.9,3.8,3.8,4.8,1.5,1.5,2.5,1.4,23.4
29,78.0,4.1,4.2,4.4,1.8,4.3,4.9,2.2,1.7,1.3,1.8,4.0,1.9,1.2,1.8,77.3
30,81.5,4.0,3.9,3.6,2.9,3.0,3.1,3.1,3.2,3.1,2.5,3.3,3.0,3.4,3.0,44.7
31,90.4,3.9,3.4,3.1,3.0,3.1,3.2,3.3,3.2,2.2,2.5,3.0,2.7,2.4,2.8,45.0
32,85.3,3.6,3.5,3.2,4.0,3.2,3.3,3.9,3.5,3.0,3.7,3.3,2.6,2.7,2.1,27.2
33,85.5,2.6,2.7,2.5,3.5,2.9,3.6,2.5,1.8,2.6,3.7,2.4,2.8,2.2,1.7,21.5
34,61.9,4.9,4.9,4.4,2.5,4.6,4.3,3.6,3.5,1.7,1.4,4.4,1.8,1.3,1.5,78.2
35,93.2,3.1,3.3,3.4,2.8,3.3,3.7,3.0,2.8,3.0,2.4,3.3,3.7,3.4,2.8,68.9
36,62.4,2.6,2.8,2.8,3.0,3.0,3.9,1.9,1.5,2.2,2.4,2.8,1.6,1.7,2.2,25.1
37,68.1,2.3,2.3,1.9,4.5,2.1,2.1,3.6,3.5,3.2,4.1,2.0,1.7,1.5,2.2,15.8
38,58.7,4.4,4.6,4.8,1.9,4.3,4.7,3.0,3.5,1.4,1.3,4.4,2.7,2.2,2.4,68.9
39,48.1,4.4,3.8,3.1,4.6,3.0,2.1,3.9,1.6,2.6,4.4,3.4,1.1,0.4,0.7,37.1
40,63.9,3.7,3.7,4.1,3.0,3.7,3.6,3.3,2.6,2.3,1.8,3.4,1.7,1.5,1.5,60.0
41,58.2,2.5,1.8,1.7,4.8,2.1,3.2,3.0,3.6,3.7,4.8,1.6,1.8,1.8,2.0,25.7
