,Daytime_Casey_cat,Period_Hudson_num,Bouts_Hudson_num,Lockons_Hudson_num,Daytime_Hudson_cat,Period_Casey_num,Bouts_Casey_num,Lockons_Casey_num
104,0,105,11,12,0,105.0,9.0,28.0
105,1,106,6,5,1,106.0,7.0,25.0
106,1,107,10,11,1,107.0,14.0,25.0
107,0,108,7,16,0,108.0,10.0,30.0
108,0,109,7,11,0,109.0,12.0,28.0
109,1,110,8,15,1,110.0,12.0,36.0
110,1,111,11,17,1,111.0,10.0,30.0
111,0,112,8,12,0,112.0,10.0,42.0
112,0,113,10,17,0,113.0,14.0,40.0
113,1,114,7,10,1,114.0,11.0,22.0
114,1,115,9,15,1,115.0,8.0,11.0
115,0,116,9,17,0,116.0,12.0,41.0
116,0,117,9,11,0,117.0,15.0,36.0
117,1,118,15,17,1,118.0,13.0,30.0
118,1,119,6,8,1,119.0,11.0,22.0
119,0,120,11,15,0,120.0,14.0,37.0
120,0,121,8,11,0,121.0,15.0,33.0
121,1,122,7,11,1,122.0,15.0,27.0
122,1,123,10,12,1,123.0,13.0,34.0
123,0,124,5,10,0,124.0,12.0,28.0
124,0,125,10,16,0,125.0,13.0,25.0
125,1,126,9,15,1,126.0,11.0,30.0
126,1,127,10,14,1,127.0,8.0,22.0
127,0,128,8,10,0,128.0,10.0,22.0
128,0,129,6,5,0,129.0,8.0,20.0
129,1,130,6,7,1,130.0,9.0,14.0
130,1,131,12,23,1,131.0,8.0,17.0
131,0,132,5,5,0,132.0,7.0,11.0
132,0,133,4,15,0,133.0,10.0,21.0
133,1,134,3,4,1,134.0,4.0,10.0
134,1,135,6,5,1,135.0,12.0,23.0
135,0,136,5,7,0,136.0,12.0,28.0
136,0,137,4,4,0,137.0,24.0,60.0
137,1,138,6,10,1,138.0,6.0,16.0
138,1,139,2,2,1,139.0,15.0,45.0
139,0,140,1,1,0,140.0,14.0,34.0
140,0,141,3,2,0,141.0,12.0,23.0
141,1,142,4,10,1,142.0,8.0,20.0
142,1,143,4,2,1,143.0,18.0,66.0
143,0,144,7,17,0,144.0,15.0,39.0
144,0,145,7,11,0,145.0,12.0,17.0
145,1,146,3,2,1,146.0,9.0,23.0
146,1,147,8,17,1,147.0,9.0,22.0
147,0,148,6,10,0,148.0,15.0,53.0
148,0,149,2,2,0,149.0,12.0,30.0
149,1,150,9,17,1,150.0,12.0,22.0
150,1,151,4,8,1,151.0,9.0,22.0
151,0,152,10,5,0,152.0,10.0,25.0
152,0,153,7,1,0,153.0,12.0,39.0
153,1,154,13,22,1,154.0,9.0,22.0
154,1,155,10,14,1,155.0,11.0,25.0
155,0,156,6,14,0,156.0,8.0,19.0
156,0,157,7,12,0,157.0,10.0,22.0
157,1,158,7,11,1,158.0,6.0,15.0
158,1,159,6,5,1,159.0,8.0,20.0
159,0,160,10,14,0,160.0,8.0,23.0
160,0,161,8,9,0,161.0,7.0,15.0
161,1,162,12,16,1,162.0,9.0,33.0
162,1,163,10,11,1,163.0,6.0,10.0
163,0,164,8,8,0,164.0,12.0,28.0
164,0,165,6,11,0,165.0,9.0,20.0
165,1,166,5,11,1,166.0,14.0,23.0
166,1,167,14,28,1,167.0,12.0,30.0
167,0,168,4,9,0,168.0,7.0,22.0
168,0,169,13,22,0,169.0,12.0,23.0
169,1,170,3,5,1,170.0,10.0,28.0
170,1,171,12,17,1,171.0,12.0,17.0
171,0,172,9,22,0,172.0,11.0,30.0
172,0,173,18,33,0,173.0,12.0,20.0
173,1,174,10,20,1,174.0,12.0,33.0
174,1,175,15,22,1,175.0,12.0,21.0
175,0,176,10,19,0,176.0,8.0,25.0
176,0,177,12,11,0,177.0,10.0,22.0
177,1,178,10,17,1,178.0,11.0,17.0
178,1,179,10,17,1,179.0,14.0,19.0
179,0,180,12,22,0,180.0,9.0,16.0
180,0,181,10,16,0,181.0,13.0,19.0
181,1,182,6,16,1,182.0,6.0,14.0
182,1,183,11,25,1,183.0,11.0,19.0
183,0,184,6,14,0,184.0,12.0,17.0
184,0,185,11,36,0,185.0,18.0,51.0
185,1,186,7,11,1,186.0,9.0,11.0
186,1,187,6,15,1,187.0,8.0,20.0
187,0,188,6,14,0,188.0,12.0,25.0
188,0,189,6,11,0,189.0,15.0,39.0
189,1,190,3,16,1,190.0,11.0,15.0
190,1,191,2,7,1,191.0,9.0,16.0
191,0,192,12,11,0,192.0,12.0,33.0
192,0,193,6,17,0,193.0,12.0,25.0
193,1,194,13,23,1,194.0,12.0,17.0
194,1,195,10,22,1,195.0,9.0,11.0
195,0,196,12,44,0,196.0,14.0,22.0
196,0,197,9,28,0,197.0,14.0,25.0
197,1,198,6,11,1,198.0,15.0,25.0
198,1,199,4,7,1,199.0,18.0,39.0
199,0,200,12,17,0,200.0,11.0,25.0
200,0,201,6,5,0,201.0,12.0,27.0
201,1,202,10,22,1,202.0,15.0,35.0
202,1,203,7,8,1,203.0,8.0,23.0
203,0,204,9,23,0,204.0,9.0,28.0
204,0,205,12,36,0,205.0,12.0,30.0
205,1,206,9,17,1,206.0,4.0,14.0
206,1,207,10,17,1,207.0,8.0,20.0
207,0,208,13,21,0,208.0,11.0,32.0
208,0,209,11,22,0,209.0,16.0,51.0
209,1,210,16,22,1,210.0,6.0,17.0
210,1,211,12,28,1,211.0,8.0,22.0
211,0,212,10,15,0,212.0,6.0,14.0
212,0,213,12,47,0,213.0,8.0,21.0
213,1,214,5,8,1,214.0,6.0,11.0
214,1,215,12,14,1,215.0,7.0,20.0
215,0,216,10,22,0,216.0,7.0,19.0
216,0,217,15,20,0,217.0,10.0,36.0
217,1,218,15,37,1,218.0,8.0,27.0
218,1,219,17,25,1,219.0,12.0,54.0
219,0,220,6,5,0,220.0,10.0,20.0
220,0,221,7,11,0,221.0,7.0,28.0
221,1,222,11,20,1,222.0,12.0,11.0
222,1,223,8,14,1,223.0,2.0,2.0
223,,224,11,16,0,,,
224,,225,11,23,0,,,
225,,226,11,20,1,,,
226,,227,15,21,1,,,
227,,228,10,28,0,,,
