,adoption-of-the-budget-resolution_cat,superfund-right-to-sue_cat,anti-satellite-test-ban_cat,water-project-cost-sharing_cat,religious-groups-in-schools_cat,immigration_cat,physician-fee-freeze_cat,handicapped-infants_cat
85,y,y,n,n,y,y,n,n
86,n,y,n,n,y,y,y,n
87,n,y,n,n,y,n,y,n
88,y,y,y,y,y,y,n,n
89,n,y,n,n,y,y,y,n
90,y,n,y,n,n,y,n,y
91,y,n,y,n,n,y,n,y
92,y,n,y,y,n,y,n,y
93,y,n,y,n,n,y,n,y
94,y,n,n,n,y,n,n,y
95,y,,n,n,y,n,n,y
96,,y,n,n,y,n,n,n
97,n,n,y,n,y,y,n,y
98,y,n,y,y,y,y,n,y
99,n,y,n,n,y,y,y,n
100,n,n,n,n,y,n,n,y
101,y,n,y,n,y,n,n,y
102,y,y,y,n,y,n,n,y
103,n,n,,n,y,n,n,y
104,,y,y,,y,y,,
105,y,n,n,y,n,n,n,y
106,n,y,n,y,y,n,y,n
107,,,,,,,,n
108,y,n,y,,n,n,n,y
109,y,n,y,,n,n,n,y
110,y,n,y,n,n,y,n,n
111,n,y,n,,y,y,y,n
112,y,n,y,,y,y,n,n
113,n,y,n,,y,y,y,n
114,y,n,y,,n,n,n,y
115,y,n,y,,,y,n,n
116,y,n,y,n,n,n,n,y
117,y,y,y,y,n,n,y,y
118,y,n,n,y,n,y,n,n
119,n,y,n,n,y,n,y,n
120,,y,n,,y,y,y,n
121,n,y,n,,y,y,y,n
122,n,n,n,n,y,y,y,n
123,n,y,n,,y,n,y,y
124,y,n,y,,n,n,n,n
125,n,y,n,,y,y,y,n
126,n,y,n,,y,n,y,n
127,y,n,y,,n,y,n,n
128,y,n,n,,y,y,n,n
129,y,,y,,n,n,n,
130,y,n,y,,,n,n,y
131,y,n,n,n,y,y,n,n
132,n,y,n,n,y,y,y,n
133,n,y,n,n,y,y,y,n
134,n,y,n,n,y,n,y,n
135,n,y,n,n,y,y,y,n
136,n,y,n,y,y,y,y,n
137,y,n,y,,y,y,n,n
138,y,n,y,n,y,y,n,n
139,y,n,y,n,y,n,n,y
140,n,y,y,n,n,y,y,n
141,n,y,y,n,y,y,y,n
142,n,y,y,n,y,y,y,n
143,n,n,y,y,n,y,n,
144,n,n,y,,y,y,n,n
145,y,n,y,n,y,y,n,n
146,n,y,n,y,y,n,y,n
147,n,y,y,n,n,y,n,n
148,n,y,n,y,y,y,y,n
149,y,y,y,n,n,y,n,n
150,n,y,n,y,y,y,y,y
151,,y,n,y,y,n,y,y
152,y,y,n,y,y,y,n,n
153,y,y,y,n,y,y,n,n
154,n,y,n,y,y,n,y,n
155,n,y,n,y,y,n,y,y
156,n,y,y,y,y,n,y,y
157,y,,n,y,y,n,n,n
158,n,y,n,y,y,y,y,n
159,y,n,y,y,y,y,n,n
160,n,y,n,y,y,n,n,n
161,n,y,y,n,y,n,n,n
162,y,y,y,y,y,n,n,n
163,n,y,y,y,y,n,y,n
164,n,y,n,y,y,y,n,y
165,y,y,y,y,y,y,n,n
166,y,n,y,n,y,y,y,y
167,y,n,y,n,y,y,y,y
168,y,y,n,n,y,n,y,n
169,y,n,y,n,n,y,n,y
170,y,n,,n,n,,n,y
171,n,y,n,,y,y,y,n
172,y,,y,y,n,y,n,n
173,n,y,n,n,y,y,n,n
174,y,n,y,,n,n,n,y
175,y,n,y,y,n,y,n,n
176,y,n,y,n,n,y,y,n
177,y,n,y,n,n,y,n,n
178,y,n,y,n,n,y,n,
179,y,n,y,n,n,y,n,y
180,y,n,y,,n,,n,
181,y,n,y,n,n,y,n,n
182,y,n,y,,n,n,n,y
183,,,,,,,,
184,y,n,y,n,n,y,n,n
185,y,n,y,n,n,y,n,y
186,y,n,y,y,n,y,n,n
187,y,n,y,n,n,n,n,y
188,n,,y,,y,n,y,y
189,y,n,y,n,n,n,n,y
190,n,y,n,,y,n,y,n
191,n,y,n,y,y,y,y,n
192,n,n,y,n,y,n,n,n
193,y,n,y,n,n,n,n,n
194,y,n,y,n,y,y,n,n
195,n,y,n,n,y,n,y,n
196,y,n,y,n,y,n,n,n
197,y,n,n,,y,y,y,n
198,y,,y,n,n,y,n,n
199,n,n,y,y,n,n,n,y
200,y,n,y,n,n,n,n,n
201,y,n,y,y,n,n,n,y
202,y,n,y,n,y,y,n,y
203,y,n,y,n,n,y,n,y
204,y,y,y,n,y,n,y,n
205,y,n,y,n,y,y,n,n
206,n,n,n,n,y,y,y,n
207,n,y,y,,y,y,y,y
208,y,n,y,n,n,n,n,n
209,y,n,y,y,n,y,n,y
210,y,n,y,n,y,n,n,n
211,n,y,n,y,y,y,y,n
212,y,n,y,n,n,n,n,n
213,y,y,n,y,y,n,n,n
214,n,y,n,y,y,y,y,y
215,y,y,n,y,y,y,y,n
216,y,n,n,y,y,y,n,y
217,n,y,n,y,y,y,y,n
218,y,n,y,,n,n,n,y
219,y,n,n,y,n,n,n,n
220,y,n,y,n,n,n,n,n
221,y,n,n,y,y,n,n,n
222,y,n,y,n,n,n,n,y
223,n,y,n,n,n,n,y,n
224,n,y,n,y,y,y,y,n
225,n,y,n,,y,n,y,n
226,y,n,y,n,y,n,n,n
227,y,n,y,n,n,n,n,y
228,n,y,n,y,y,n,y,n
229,y,y,y,y,y,y,y,n
230,n,y,n,y,y,n,y,n
231,n,y,n,y,y,y,y,n
232,y,n,y,y,n,n,n,n
233,n,y,n,y,y,y,y,n
234,y,n,y,n,y,y,n,n
235,n,n,n,n,y,y,y,n
236,y,n,y,n,n,n,n,n
237,y,y,y,n,y,n,n,y
238,y,n,y,y,n,y,n,y
239,n,n,y,n,y,y,y,n
240,n,y,y,n,y,n,y,n
241,y,n,y,n,n,y,n,y
242,n,n,y,n,y,n,n,n
243,y,y,y,y,n,y,n,n
244,y,n,n,n,n,y,n,y
245,y,n,y,n,n,y,n,y
246,y,n,y,n,n,n,n,n
247,n,y,,y,y,n,y,n
248,,,,,,,,
249,y,n,y,n,n,n,n,y
250,n,y,n,y,y,n,y,n
251,n,y,n,y,y,n,y,n
252,y,n,y,y,y,n,n,y
253,n,y,n,y,y,n,y,n
254,y,n,y,n,n,y,n,y
255,y,n,y,n,n,y,n,y
256,n,n,n,n,n,n,y,n
257,n,n,n,n,n,n,y,n
258,y,n,y,n,n,n,n,n
259,y,n,y,n,n,n,n,y
260,y,n,y,n,n,y,n,y
261,y,n,y,n,,n,n,y
262,y,,y,n,n,y,n,y
263,y,n,y,n,n,n,n,y
264,y,n,y,n,n,n,n,y
265,y,n,y,n,n,y,n,y
266,n,n,n,n,y,y,y,n
267,n,n,y,n,n,y,n,y
268,y,n,y,n,n,n,n,y
269,y,n,y,n,n,n,n,y
270,y,n,y,y,n,n,n,y
271,y,n,y,y,y,n,n,n
272,y,n,y,n,n,y,n,y
273,n,y,y,n,n,y,y,n
274,n,n,y,n,n,y,y,y
275,y,y,n,n,y,n,n,n
276,n,y,n,n,y,n,y,n
277,y,n,y,n,y,y,y,n
278,n,y,n,n,y,n,y,n
279,n,y,n,n,y,y,y,n
280,y,n,y,n,n,y,n,n
281,y,n,y,n,y,n,y,y
282,n,y,n,n,y,y,y,y
283,n,y,n,n,y,n,y,n
284,y,n,y,n,y,y,n,n
285,y,n,y,n,y,y,n,n
286,y,n,,n,y,y,n,n
287,y,y,y,y,y,n,,y
288,y,y,n,y,y,y,n,y
289,y,y,n,y,y,y,n,y
290,y,y,,n,y,y,n,y
291,y,n,y,n,y,y,n,y
292,y,y,y,n,y,y,n,y
293,y,y,y,y,y,y,n,y
294,y,y,y,y,y,y,n,n
295,n,,,y,y,y,y,n
296,y,y,n,n,y,y,y,n
297,y,,y,y,y,y,n,y
298,n,n,y,y,n,y,n,n
299,y,y,y,y,y,y,n,n
300,n,y,y,n,n,y,y,n
301,,n,y,n,y,n,n,n
302,n,y,y,n,y,y,y,n
303,n,y,n,n,y,n,y,n
304,n,y,n,y,y,y,y,n
305,n,y,n,n,y,y,y,n
306,n,y,n,n,y,n,y,n
307,y,n,y,n,y,n,n,y
308,n,y,n,n,y,y,y,n
309,n,n,y,n,y,y,n,y
310,n,y,n,n,y,y,y,n
311,y,y,y,n,y,y,n,n
312,y,n,y,y,n,y,n,y
313,y,y,n,y,y,y,y,n
314,n,y,y,y,y,n,y,n
315,y,,y,y,y,n,y,n
316,n,y,n,n,y,n,n,n
317,n,n,y,n,n,y,n,y
318,y,n,y,n,n,n,n,n
319,y,n,y,n,n,n,n,y
320,y,y,n,y,y,y,n,n
321,y,y,y,y,n,y,n,y
322,y,y,n,y,y,n,n,y
323,y,y,n,y,y,y,n,y
324,n,y,n,y,y,n,y,n
325,n,y,n,y,y,n,n,n
326,n,n,y,y,n,n,y,y
327,n,y,n,y,y,n,y,n
328,y,n,y,y,n,n,n,y
329,y,n,y,,y,y,n,y
330,n,y,n,y,y,y,y,n
331,y,n,y,,n,n,n,y
332,y,n,y,n,n,n,n,y
333,y,n,y,n,n,n,n,n
334,y,n,y,y,y,n,n,n
335,n,y,n,n,y,y,y,n
336,y,n,y,n,y,n,n,n
337,y,n,y,n,n,n,n,y
338,y,n,y,n,n,y,n,y
339,n,y,n,n,y,n,y,y
340,n,n,n,n,y,y,y,n
341,y,,y,,y,y,,n
342,y,y,y,y,,y,n,n
343,n,n,y,n,n,y,y,n
344,y,n,y,n,n,y,n,n
345,n,n,y,n,y,y,y,n
346,n,y,n,n,y,y,y,n
347,n,y,n,n,y,y,y,y
348,y,n,y,n,n,y,n,y
349,y,y,y,y,y,n,y,n
350,n,n,y,y,y,n,n,n
351,y,y,y,n,y,y,y,n
352,n,y,y,y,y,n,y,n
353,y,y,y,n,y,y,y,n
354,y,n,y,y,y,y,n,n
355,y,n,n,n,n,y,y,y
356,n,y,n,n,y,n,y,n
357,n,y,n,n,y,n,y,n
358,y,y,y,y,y,y,n,y
359,n,y,n,n,y,y,y,n
360,y,y,y,n,y,y,n,y
361,y,y,y,n,y,y,n,y
362,y,y,y,y,y,y,n,y
363,n,y,n,y,y,y,y,y
364,n,y,n,y,y,n,y,y
365,n,y,n,y,y,y,n,n
366,y,n,y,n,n,y,n,y
367,y,n,y,y,y,y,n,y
368,y,n,y,y,y,y,n,n
369,n,y,n,y,y,n,y,n
370,y,n,y,y,y,y,n,y
371,y,n,y,y,n,y,n,y
372,y,,n,y,y,n,y,n
373,y,y,n,y,y,y,,n
374,n,y,n,y,y,n,y,n
375,n,n,n,y,y,n,y,n
376,y,n,y,,n,n,n,y
377,n,y,,y,y,n,y,n
378,n,y,n,n,y,n,y,n
379,n,y,n,n,y,n,y,n
380,y,y,,y,y,n,n,y
381,y,y,y,y,y,y,n,y
382,n,y,n,y,y,n,y,y
383,y,n,n,y,y,y,n,y
384,y,y,n,y,y,n,y,y
385,n,y,n,y,y,n,n,y
386,y,n,n,,y,n,n,n
387,y,n,n,y,y,n,n,y
388,y,y,n,y,y,n,y,n
389,y,n,y,n,n,,n,y
390,n,n,,,y,n,n,
391,n,n,n,y,n,n,n,y
392,n,y,n,y,y,n,y,y
393,,y,n,,y,n,,
394,,y,n,y,y,n,,y
395,y,n,n,y,n,n,,y
396,y,y,n,y,y,n,n,y
397,n,y,n,y,,n,n,y
398,y,n,n,y,y,n,n,n
399,n,y,n,y,y,y,y,n
400,n,,n,y,y,n,y,n
401,n,y,n,y,y,y,y,n
402,y,n,y,n,y,y,y,
403,n,,n,y,y,y,y,n
404,n,y,n,y,y,y,y,y
405,n,y,n,n,y,n,y,n
406,y,y,n,n,y,y,n,y
407,n,y,n,n,y,n,y,n
408,y,,y,n,y,n,n,y
409,n,y,n,n,y,n,y,n
410,n,y,n,n,y,n,y,n
411,y,n,y,n,y,y,n,y
412,n,y,n,n,y,y,y,n
413,y,,y,y,y,y,y,y
414,y,n,y,y,n,n,n,y
415,y,n,y,y,y,y,n,n
416,n,y,n,y,y,y,y,y
417,y,y,y,y,n,y,n,y
418,y,n,y,y,n,y,n,y
419,y,n,y,y,n,n,n,y
420,y,y,y,y,y,y,y,y
421,y,y,y,y,y,n,n,n
422,y,n,y,n,y,n,n,n
423,y,n,y,y,y,n,n,n
424,y,,y,y,,y,n,n
425,y,n,y,n,n,y,n,n
426,y,n,y,n,n,y,n,y
427,n,y,y,n,y,y,y,n
428,,y,y,,n,y,n,
429,y,n,y,n,n,y,n,y
430,y,y,n,n,y,y,y,n
431,y,n,y,n,n,y,n,n
432,n,y,n,,y,n,y,n
433,n,y,,n,y,,y,n
434,n,y,n,y,y,y,y,n
