,top-middle-square_cat,bottom-right-square_cat,middle-right-square_cat,middle-left-square_cat,Class_cat
228,b,o,o,o,positive
229,b,x,o,o,positive
230,b,x,o,o,positive
231,b,o,b,o,positive
232,b,x,b,o,positive
233,b,x,x,o,positive
234,b,x,x,o,positive
235,b,x,x,o,positive
236,b,o,o,b,positive
237,b,x,o,b,positive
238,b,x,x,b,positive
239,b,b,x,x,positive
240,b,o,x,x,positive
241,b,o,x,x,positive
242,b,b,o,x,positive
243,b,x,o,x,positive
244,b,x,o,x,positive
245,b,o,b,x,positive
246,b,x,b,x,positive
247,b,b,x,x,positive
248,b,o,x,x,positive
249,b,b,o,x,positive
250,b,x,o,x,positive
251,b,o,b,x,positive
252,b,x,b,x,positive
253,b,b,b,x,positive
254,b,o,x,x,positive
255,b,x,o,x,positive
256,b,b,o,x,positive
257,b,b,b,x,positive
258,b,o,b,x,positive
259,b,x,x,o,positive
260,b,x,x,o,positive
261,b,x,o,o,positive
262,b,x,o,o,positive
263,b,x,b,o,positive
264,b,x,b,o,positive
265,b,x,b,o,positive
266,b,x,b,o,positive
267,b,x,o,o,positive
268,b,x,x,b,positive
269,b,x,o,b,positive
270,b,x,o,b,positive
271,b,x,o,b,positive
272,b,x,b,b,positive
273,b,x,b,b,positive
274,b,x,o,b,positive
275,b,o,o,x,positive
276,b,x,o,x,positive
277,b,o,x,x,positive
278,b,o,o,x,positive
279,b,x,o,x,positive
280,b,b,o,x,positive
281,b,b,b,x,positive
282,b,o,b,x,positive
283,b,b,o,x,positive
284,b,o,o,x,positive
285,b,o,b,x,positive
286,b,x,x,o,positive
287,b,x,o,o,positive
288,b,x,o,o,positive
289,b,x,o,o,positive
290,b,x,b,o,positive
291,b,x,b,o,positive
292,b,x,o,b,positive
293,b,x,o,b,positive
294,b,x,b,b,positive
295,x,o,o,x,positive
296,x,o,o,x,positive
297,x,x,x,x,positive
298,x,o,x,o,positive
299,x,o,o,o,positive
300,x,x,o,o,positive
301,x,b,o,o,positive
302,x,b,o,o,positive
303,x,b,b,o,positive
304,x,o,b,o,positive
305,x,o,b,o,positive
306,x,x,x,o,positive
307,x,x,x,o,positive
308,x,x,x,o,positive
309,x,b,o,b,positive
310,x,o,o,b,positive
311,x,b,o,b,positive
312,x,o,o,b,positive
313,x,o,b,b,positive
314,x,o,b,b,positive
315,x,x,x,b,positive
316,x,x,x,b,positive
317,x,x,x,b,positive
318,x,o,x,x,positive
319,x,o,x,x,positive
320,x,x,x,x,positive
321,x,b,x,x,positive
322,x,b,x,x,positive
323,x,o,x,x,positive
324,x,x,o,x,positive
325,x,b,o,x,positive
326,x,b,b,x,positive
327,x,o,b,x,positive
328,x,x,o,x,positive
329,x,o,x,o,positive
330,x,b,x,o,positive
331,x,x,o,o,positive
332,x,b,b,o,positive
333,x,x,b,o,positive
334,x,x,x,o,positive
335,x,x,b,o,positive
336,x,b,x,b,positive
337,x,o,x,b,positive
338,x,b,o,b,positive
339,x,x,o,b,positive
340,x,o,b,b,positive
341,x,x,b,b,positive
342,x,b,b,b,positive
343,x,x,b,b,positive
344,x,x,o,b,positive
345,x,b,x,x,positive
346,x,o,x,x,positive
347,x,o,x,x,positive
348,x,b,o,x,positive
349,x,o,o,x,positive
350,x,o,b,x,positive
351,x,o,x,o,positive
352,x,b,o,o,positive
353,x,x,o,o,positive
354,x,o,b,o,positive
355,x,b,b,o,positive
356,x,x,b,o,positive
357,x,x,o,o,positive
358,x,o,x,b,positive
359,x,o,o,b,positive
360,x,x,o,b,positive
361,x,b,o,b,positive
362,x,b,b,b,positive
363,x,o,b,b,positive
364,x,x,o,b,positive
365,o,o,x,x,positive
366,o,o,x,x,positive
367,o,x,x,x,positive
368,o,b,x,x,positive
369,o,b,x,x,positive
370,o,o,x,x,positive
371,o,o,o,x,positive
372,o,x,o,x,positive
373,o,b,o,x,positive
374,o,b,b,x,positive
375,o,o,b,x,positive
376,o,x,x,x,positive
377,o,x,x,x,positive
378,o,x,o,x,positive
379,o,x,x,x,positive
380,o,x,x,x,positive
381,o,o,x,o,positive
382,o,x,x,o,positive
383,o,b,x,o,positive
384,o,x,x,o,positive
385,o,x,o,o,positive
386,o,b,b,o,positive
387,o,x,b,o,positive
388,o,x,x,o,positive
389,o,x,x,o,positive
390,o,x,x,o,positive
391,o,x,b,o,positive
392,o,b,x,b,positive
393,o,o,x,b,positive
394,o,x,x,b,positive
395,o,x,x,b,positive
396,o,b,o,b,positive
397,o,x,o,b,positive
398,o,o,b,b,positive
399,o,x,b,b,positive
400,o,b,b,b,positive
401,o,x,x,b,positive
402,o,x,x,b,positive
403,o,x,b,b,positive
404,o,x,x,b,positive
405,o,x,x,b,positive
406,o,x,x,b,positive
407,o,x,o,b,positive
408,o,b,x,x,positive
409,o,o,x,x,positive
410,o,b,x,x,positive
411,o,x,x,x,positive
412,o,o,x,x,positive
413,o,x,x,x,positive
414,o,b,x,x,positive
415,o,x,b,x,positive
416,o,x,o,x,positive
417,o,x,b,o,positive
418,o,x,x,o,positive
419,o,x,o,b,positive
420,o,x,x,b,positive
421,o,x,b,b,positive
422,b,b,x,x,positive
423,b,o,x,x,positive
424,b,o,x,x,positive
425,b,b,o,x,positive
426,b,o,o,x,positive
427,b,o,b,x,positive
428,b,x,x,x,positive
429,b,x,x,x,positive
430,b,x,x,x,positive
431,b,b,x,o,positive
432,b,o,x,o,positive
433,b,x,x,o,positive
434,b,b,o,o,positive
435,b,x,o,o,positive
436,b,o,b,o,positive
437,b,x,b,o,positive
438,b,b,b,o,positive
439,b,x,x,o,positive
440,b,x,x,o,positive
441,b,x,b,o,positive
442,b,x,x,o,positive
443,b,x,x,o,positive
444,b,x,o,o,positive
445,b,o,x,b,positive
446,b,x,x,b,positive
447,b,o,o,b,positive
448,b,x,o,b,positive
449,b,b,o,b,positive
450,b,b,b,b,positive
451,b,o,b,b,positive
452,b,x,x,b,positive
453,b,x,x,b,positive
454,b,x,x,b,positive
455,b,x,o,b,positive
456,b,x,x,b,positive
457,b,x,x,b,positive
458,b,b,x,x,positive
459,b,o,x,x,positive
460,b,b,x,x,positive
461,b,x,x,x,positive
462,b,o,x,x,positive
463,b,x,x,x,positive
464,b,b,x,x,positive
465,b,x,b,x,positive
466,b,x,o,x,positive
467,b,x,b,o,positive
468,b,x,x,o,positive
469,b,x,o,b,positive
470,b,x,x,b,positive
471,b,x,b,b,positive
472,b,o,x,x,positive
473,b,o,x,x,positive
474,b,x,x,x,positive
475,b,b,x,x,positive
476,b,b,x,x,positive
477,b,o,x,x,positive
478,b,x,o,x,positive
479,b,x,o,o,positive
480,b,x,x,o,positive
481,b,x,b,o,positive
482,b,x,b,b,positive
483,b,x,o,b,positive
484,x,b,o,o,positive
485,x,o,o,o,positive
486,x,b,o,o,positive
487,x,o,o,o,positive
488,x,o,b,o,positive
489,x,o,b,o,positive
490,x,x,x,o,positive
491,x,x,x,o,positive
492,x,x,x,o,positive
493,x,o,o,b,positive
494,x,o,o,b,positive
495,x,x,x,b,positive
496,x,b,x,x,positive
497,x,o,x,x,positive
498,x,o,x,x,positive
499,x,b,o,x,positive
500,x,o,b,x,positive
501,x,b,x,o,positive
502,x,o,x,o,positive
503,x,b,o,o,positive
504,x,x,o,o,positive
505,x,o,b,o,positive
506,x,x,b,o,positive
507,x,b,b,o,positive
508,x,x,b,o,positive
509,x,x,o,o,positive
510,x,o,x,b,positive
511,x,x,o,b,positive
512,x,b,o,b,positive
513,x,b,b,b,positive
514,x,o,b,b,positive
515,x,x,o,b,positive
516,x,o,o,x,positive
517,x,o,x,o,positive
518,x,o,o,o,positive
519,x,x,o,o,positive
520,x,b,o,o,positive
521,x,b,b,o,positive
522,x,o,b,o,positive
523,x,b,o,b,positive
524,x,o,o,b,positive
525,x,o,b,b,positive
526,o,b,x,x,positive
527,o,o,x,x,positive
528,o,o,x,x,positive
529,o,b,o,x,positive
530,o,o,o,x,positive
531,o,o,b,x,positive
532,o,x,x,x,positive
533,o,x,x,x,positive
534,o,b,x,o,positive
535,o,o,x,o,positive
536,o,x,x,o,positive
537,o,x,x,o,positive
538,o,b,o,o,positive
539,o,x,o,o,positive
540,o,o,b,o,positive
541,o,x,b,o,positive
542,o,b,b,o,positive
543,o,x,x,o,positive
544,o,x,x,o,positive
545,o,x,b,o,positive
546,o,x,x,o,positive
547,o,x,x,o,positive
548,o,x,x,o,positive
549,o,x,o,o,positive
550,o,o,x,b,positive
551,o,x,x,b,positive
552,o,o,o,b,positive
553,o,x,o,b,positive
554,o,b,o,b,positive
555,o,b,b,b,positive
556,o,o,b,b,positive
557,o,x,x,b,positive
558,o,x,x,b,positive
559,o,x,o,b,positive
560,o,x,x,b,positive
561,o,x,x,b,positive
562,o,b,x,x,positive
563,o,o,x,x,positive
564,o,b,x,x,positive
565,o,x,x,x,positive
566,o,o,x,x,positive
567,o,x,x,x,positive
568,o,b,x,x,positive
569,o,x,b,x,positive
570,o,x,o,x,positive
571,o,x,b,o,positive
572,o,x,x,o,positive
573,o,x,o,b,positive
574,o,x,x,b,positive
575,o,x,b,b,positive
576,o,o,x,x,positive
577,o,o,x,x,positive
578,o,x,x,x,positive
579,o,b,x,x,positive
580,o,b,x,x,positive
581,o,o,x,x,positive
582,o,x,o,x,positive
583,o,x,o,o,positive
584,o,x,x,o,positive
585,o,x,b,o,positive
586,o,x,b,b,positive
587,o,x,o,b,positive
588,b,o,o,x,positive
589,b,x,x,x,positive
590,b,o,x,o,positive
591,b,x,x,o,positive
592,b,o,o,o,positive
593,b,x,o,o,positive
594,b,b,o,o,positive
595,b,b,b,o,positive
596,b,o,b,o,positive
597,b,x,x,o,positive
598,b,x,x,o,positive
599,b,x,x,o,positive
600,b,x,x,o,positive
601,b,x,x,o,positive
602,b,b,o,b,positive
603,b,o,o,b,positive
604,b,o,b,b,positive
605,b,x,x,b,positive
606,b,x,x,b,positive
607,b,x,x,b,positive
608,b,o,x,x,positive
609,b,o,x,x,positive
610,b,x,x,x,positive
611,b,b,x,x,positive
612,b,b,x,x,positive
613,b,o,x,x,positive
614,b,x,o,x,positive
615,b,x,o,o,positive
616,b,x,x,o,positive
617,b,x,b,o,positive
618,b,x,b,b,positive
619,b,x,o,b,positive
620,b,b,x,x,positive
621,b,o,x,x,positive
622,b,o,x,x,positive
623,b,x,b,o,positive
624,b,x,o,o,positive
625,b,x,o,b,positive
626,x,o,o,x,negative
627,x,o,o,x,negative
628,x,o,b,x,negative
629,x,b,x,x,negative
630,x,o,x,x,negative
631,x,b,o,x,negative
632,x,x,o,x,negative
633,x,o,o,x,negative
634,x,o,b,x,negative
635,x,x,b,x,negative
636,x,b,b,x,negative
637,x,o,x,x,negative
638,x,o,o,x,negative
639,x,o,o,x,negative
640,x,o,o,o,negative
641,x,b,x,o,negative
642,x,x,x,o,negative
643,x,b,o,o,negative
644,x,x,o,o,negative
645,x,x,o,o,negative
646,x,x,b,o,negative
647,x,o,o,o,negative
648,x,o,x,b,negative
649,x,o,o,b,negative
650,x,o,o,b,negative
651,x,o,x,b,negative
652,x,x,x,b,negative
653,x,b,x,b,negative
654,x,o,o,b,negative
655,x,x,o,b,negative
656,x,b,b,b,negative
657,x,x,b,b,negative
658,x,o,o,b,negative
659,x,o,o,b,negative
660,x,o,o,x,negative
661,x,o,x,x,negative
662,x,o,b,x,negative
663,x,o,x,o,negative
664,x,o,o,o,negative
665,x,x,o,o,negative
666,x,b,o,o,negative
667,x,x,o,o,negative
668,x,b,o,o,negative
669,x,x,o,o,negative
670,x,o,b,b,negative
671,x,o,x,b,negative
672,o,o,b,x,negative
673,o,b,x,x,negative
674,o,o,x,x,negative
675,o,x,o,x,negative
676,o,x,b,x,negative
677,o,b,b,x,negative
678,o,o,x,x,negative
679,o,b,x,o,negative
680,o,b,o,o,negative
681,o,x,o,o,negative
682,o,x,o,o,negative
683,o,x,b,o,negative
684,o,o,x,b,negative
685,o,o,x,b,negative
686,o,b,x,b,negative
687,o,x,o,b,negative
688,o,b,b,b,negative
689,o,x,b,b,negative
690,o,o,o,x,negative
691,o,b,x,x,negative
692,o,x,x,x,negative
693,o,x,x,x,negative
694,o,x,b,x,negative
695,o,o,o,b,negative
696,o,x,x,b,negative
697,o,x,x,b,negative
698,o,x,x,x,negative
699,o,b,x,x,negative
700,o,x,b,x,negative
701,o,x,x,o,negative
702,o,b,x,b,negative
703,o,x,x,b,negative
704,o,x,b,b,negative
705,b,o,o,x,negative
706,b,o,x,x,negative
707,b,o,b,x,negative
708,b,o,x,o,negative
709,b,o,o,o,negative
710,b,x,o,o,negative
711,b,b,o,o,negative
712,b,x,o,o,negative
713,b,b,o,o,negative
714,b,x,o,o,negative
715,b,o,b,b,negative
716,b,o,x,b,negative
717,b,o,o,x,negative
718,b,o,o,x,negative
719,b,o,x,x,negative
720,b,x,x,x,negative
721,b,b,x,x,negative
722,b,x,o,x,negative
723,b,b,b,x,negative
724,b,x,b,x,negative
725,b,o,o,x,negative
726,b,o,o,o,negative
727,b,x,x,o,negative
728,b,o,o,b,negative
729,b,o,o,b,negative
730,b,b,x,b,negative
731,b,x,x,b,negative
732,b,x,b,b,negative
733,b,o,o,b,negative
734,b,o,b,x,negative
735,b,o,x,x,negative
736,b,b,o,o,negative
737,b,x,o,o,negative
738,b,x,o,o,negative
739,b,o,x,b,negative
740,x,o,b,x,negative
741,x,o,x,x,negative
742,x,o,x,x,negative
743,x,o,o,x,negative
744,x,o,o,x,negative
745,x,o,b,x,negative
746,x,o,b,x,negative
747,x,o,b,x,negative
748,x,o,x,x,negative
749,x,b,x,o,negative
750,x,o,x,o,negative
751,x,x,o,o,negative
752,x,x,b,o,negative
753,x,b,b,o,negative
754,x,o,x,o,negative
755,x,b,x,o,negative
756,x,o,x,o,negative
757,x,b,o,o,negative
758,x,x,o,o,negative
759,x,x,o,o,negative
760,x,o,b,o,negative
761,x,x,b,o,negative
762,x,o,x,o,negative
763,x,b,x,o,negative
764,x,x,o,o,negative
765,x,b,b,o,negative
766,x,x,b,o,negative
767,x,o,x,b,negative
768,x,o,x,b,negative
769,x,o,x,b,negative
770,x,o,x,b,negative
771,x,o,o,b,negative
772,x,o,b,b,negative
773,x,o,b,b,negative
774,x,o,o,x,negative
775,x,o,x,x,negative
776,x,b,x,x,negative
777,x,x,x,x,negative
778,x,o,x,x,negative
779,x,o,b,x,negative
780,x,x,b,x,negative
781,x,o,o,x,negative
782,x,x,x,o,negative
783,x,x,x,o,negative
784,x,o,x,b,negative
785,x,x,x,b,negative
786,x,o,x,x,negative
787,x,o,x,x,negative
788,x,o,x,x,negative
789,x,o,o,x,negative
790,x,o,b,x,negative
791,x,o,b,x,negative
792,x,x,x,o,negative
793,x,b,x,o,negative
794,x,x,b,o,negative
795,x,o,x,o,negative
796,x,x,x,o,negative
797,x,b,x,o,negative
798,x,x,x,o,negative
799,x,x,b,o,negative
800,x,o,x,b,negative
801,x,o,x,b,negative
802,x,o,b,b,negative
803,o,b,x,x,negative
804,o,o,x,x,negative
805,o,o,x,x,negative
806,o,o,b,x,negative
807,o,x,b,x,negative
808,o,b,x,o,negative
809,o,x,b,o,negative
810,o,o,x,b,negative
811,o,b,o,x,negative
812,o,x,o,x,negative
813,o,x,o,x,negative
814,o,o,b,x,negative
815,o,x,b,x,negative
816,o,b,b,x,negative
817,o,x,b,x,negative
818,o,b,b,x,negative
819,o,x,b,x,negative
820,o,b,x,x,negative
821,o,x,x,x,negative
822,o,x,x,x,negative
823,o,o,x,x,negative
824,o,x,x,x,negative
825,o,b,x,x,negative
826,o,x,x,x,negative
827,o,b,x,x,negative
828,o,x,x,x,negative
829,o,b,b,x,negative
830,o,x,b,x,negative
831,o,x,b,x,negative
832,o,b,x,o,negative
833,o,x,x,o,negative
834,o,x,x,o,negative
835,o,o,x,b,negative
836,o,x,x,b,negative
837,o,b,x,b,negative
838,o,x,x,b,negative
839,o,b,x,b,negative
840,o,x,x,b,negative
841,o,b,b,b,negative
842,o,x,b,b,negative
843,o,x,b,b,negative
844,o,b,x,b,negative
845,o,x,x,b,negative
846,o,x,x,b,negative
847,o,o,x,x,negative
848,o,x,x,x,negative
849,o,x,x,o,negative
850,b,o,x,x,negative
851,b,o,x,x,negative
852,b,o,x,x,negative
853,b,o,o,x,negative
854,b,o,b,x,negative
855,b,o,b,x,negative
856,b,o,x,o,negative
857,b,b,x,o,negative
858,b,x,o,o,negative
859,b,b,b,o,negative
860,b,x,b,o,negative
861,b,o,x,o,negative
862,b,b,x,o,negative
863,b,x,b,o,negative
864,b,o,x,b,negative
865,b,o,x,b,negative
866,b,o,b,b,negative
867,b,o,o,x,negative
868,b,o,x,x,negative
869,b,x,x,x,negative
870,b,x,x,o,negative
871,b,o,x,x,negative
872,b,o,x,x,negative
873,b,o,b,x,negative
874,b,b,x,o,negative
875,b,x,x,o,negative
876,b,x,b,o,negative
877,b,x,x,o,negative
878,b,o,x,b,negative
879,x,o,o,x,negative
880,x,o,x,x,negative
881,x,o,b,x,negative
882,x,o,x,o,negative
883,x,o,o,o,negative
884,x,x,o,o,negative
885,x,b,o,o,negative
886,x,x,o,o,negative
887,x,b,o,o,negative
888,x,x,o,o,negative
889,x,o,b,b,negative
890,x,o,x,b,negative
891,x,o,o,x,negative
892,x,o,o,x,negative
893,x,o,x,x,negative
894,x,x,x,x,negative
895,x,b,x,x,negative
896,x,o,o,x,negative
897,x,x,o,x,negative
898,x,b,b,x,negative
899,x,x,b,x,negative
900,x,o,o,x,negative
901,x,o,o,x,negative
902,x,x,x,o,negative
903,x,o,o,b,negative
904,x,b,x,b,negative
905,x,x,x,b,negative
906,x,x,b,b,negative
907,x,o,o,b,negative
908,x,o,b,x,negative
909,x,o,x,x,negative
910,x,b,o,o,negative
911,x,x,o,o,negative
912,x,x,o,o,negative
913,x,o,x,b,negative
914,o,o,x,x,negative
915,o,b,x,x,negative
916,o,x,o,x,negative
917,o,b,b,x,negative
918,o,x,b,x,negative
919,o,b,x,b,negative
920,o,x,b,b,negative
921,o,o,o,x,negative
922,o,x,x,x,negative
923,o,x,x,x,negative
924,o,b,x,x,negative
925,o,x,x,x,negative
926,o,x,b,x,negative
927,o,x,x,b,negative
928,b,o,b,x,negative
929,b,o,x,x,negative
930,b,b,o,o,negative
931,b,x,o,o,negative
932,b,x,o,o,negative
933,b,o,x,b,negative
934,b,o,o,x,negative
935,b,o,o,x,negative
936,b,b,x,x,negative
937,b,x,x,x,negative
938,b,x,b,x,negative
939,b,o,o,x,negative
940,b,o,o,b,negative
941,b,x,x,b,negative
942,x,o,x,o,negative
943,x,o,x,o,negative
944,x,x,x,o,negative
945,o,o,o,x,negative
946,o,o,x,x,negative
947,o,x,o,x,negative
948,o,o,x,o,negative
949,o,o,x,o,negative
950,o,o,x,o,negative
951,x,x,o,x,negative
952,x,x,o,x,negative
953,x,x,o,x,negative
954,x,x,o,x,negative
955,x,x,x,x,negative
956,x,x,x,o,negative
957,o,x,o,x,negative
