,DISTANCE_CIRCULARITY_num,SKEWNESS_ABOUT_MINOR_num,MAX.LENGTH_ASPECT_RATIO_num,MAX.LENGTH_RECTANGULARITY_num,CIRCULARITY_num,SKEWNESS_ABOUT_MAJOR_num,RADIUS_RATIO_num,KURTOSIS_ABOUT_MAJOR_num,SCATTER_RATIO_num,COMPACTNESS_num
39,68.0,7.0,6.0,146.0,45.0,75.0,169.0,0.0,151.0,81.0
40,104.0,5.0,9.0,151.0,48.0,74.0,214.0,9.0,205.0,95.0
41,51.0,8.0,5.0,128.0,37.0,86.0,105.0,16.0,119.0,88.0
42,87.0,5.0,11.0,162.0,49.0,75.0,137.0,5.0,158.0,94.0
43,76.0,4.0,8.0,134.0,37.0,67.0,183.0,7.0,164.0,93.0
44,106.0,20.0,12.0,167.0,54.0,66.0,220.0,1.0,213.0,119.0
45,82.0,2.0,11.0,160.0,46.0,77.0,145.0,4.0,159.0,93.0
46,70.0,1.0,8.0,146.0,43.0,70.0,133.0,8.0,130.0,91.0
47,66.0,6.0,6.0,141.0,42.0,88.0,122.0,14.0,148.0,85.0
48,81.0,6.0,11.0,163.0,47.0,76.0,147.0,13.0,156.0,89.0
49,79.0,0.0,9.0,148.0,45.0,62.0,176.0,10.0,163.0,91.0
50,63.0,2.0,6.0,130.0,38.0,77.0,115.0,4.0,142.0,78.0
51,71.0,4.0,7.0,133.0,38.0,70.0,174.0,24.0,154.0,92.0
52,101.0,1.0,9.0,168.0,55.0,72.0,228.0,6.0,210.0,98.0
53,62.0,7.0,6.0,139.0,42.0,65.0,175.0,11.0,149.0,101.0
54,104.0,5.0,6.0,168.0,56.0,83.0,185.0,26.0,257.0,101.0
55,66.0,9.0,8.0,135.0,36.0,62.0,151.0,3.0,133.0,94.0
56,96.0,4.0,9.0,144.0,44.0,66.0,195.0,8.0,185.0,97.0
57,84.0,5.0,11.0,160.0,47.0,74.0,133.0,9.0,157.0,89.0
58,103.0,0.0,11.0,163.0,53.0,66.0,221.0,1.0,209.0,107.0
59,68.0,8.0,5.0,135.0,39.0,75.0,119.0,8.0,128.0,85.0
60,98.0,5.0,9.0,161.0,50.0,64.0,212.0,5.0,193.0,103.0
61,63.0,13.0,5.0,130.0,38.0,79.0,135.0,21.0,130.0,77.0
62,70.0,10.0,8.0,141.0,40.0,80.0,120.0,13.0,137.0,96.0
63,66.0,4.0,7.0,144.0,42.0,78.0,156.0,2.0,150.0,83.0
64,86.0,0.0,7.0,145.0,45.0,72.0,201.0,4.0,184.0,93.0
65,75.0,18.0,7.0,137.0,41.0,76.0,143.0,5.0,146.0,89.0
66,68.0,6.0,8.0,146.0,43.0,83.0,125.0,18.0,149.0,81.0
67,101.0,6.0,11.0,178.0,55.0,74.0,219.0,14.0,225.0,98.0
68,78.0,1.0,9.0,147.0,44.0,70.0,164.0,11.0,142.0,86.0
69,84.0,4.0,7.0,154.0,49.0,74.0,219.0,7.0,190.0,98.0
70,98.0,3.0,10.0,175.0,55.0,76.0,161.0,6.0,215.0,96.0
71,108.0,10.0,11.0,186.0,59.0,70.0,227.0,25.0,224.0,97.0
72,91.0,3.0,8.0,137.0,39.0,67.0,191.0,23.0,176.0,92.0
73,53.0,1.0,6.0,128.0,37.0,82.0,111.0,15.0,126.0,73.0
74,89.0,11.0,11.0,145.0,42.0,72.0,147.0,23.0,151.0,89.0
75,103.0,5.0,9.0,162.0,53.0,68.0,203.0,5.0,195.0,101.0
76,83.0,0.0,8.0,134.0,39.0,72.0,170.0,10.0,172.0,91.0
77,62.0,2.0,7.0,133.0,40.0,82.0,140.0,3.0,150.0,86.0
78,94.0,11.0,5.0,161.0,52.0,76.0,208.0,4.0,208.0,104.0
79,68.0,6.0,7.0,147.0,44.0,88.0,113.0,5.0,150.0,89.0
80,71.0,2.0,6.0,146.0,46.0,73.0,159.0,0.0,151.0,87.0
81,92.0,5.0,5.0,159.0,51.0,78.0,203.0,11.0,209.0,99.0
82,68.0,1.0,7.0,132.0,36.0,66.0,127.0,2.0,127.0,94.0
83,80.0,8.0,7.0,135.0,40.0,76.0,133.0,30.0,147.0,79.0
84,76.0,3.0,7.0,136.0,40.0,72.0,188.0,8.0,150.0,89.0
85,106.0,9.0,6.0,171.0,58.0,83.0,180.0,13.0,261.0,110.0
86,84.0,4.0,9.0,145.0,41.0,72.0,141.0,18.0,149.0,89.0
87,60.0,2.0,5.0,132.0,37.0,72.0,115.0,8.0,119.0,86.0
88,84.0,3.0,6.0,138.0,42.0,69.0,209.0,12.0,171.0,91.0
89,57.0,8.0,6.0,125.0,37.0,81.0,116.0,5.0,125.0,80.0
90,107.0,3.0,11.0,173.0,55.0,71.0,222.0,10.0,218.0,104.0
91,84.0,9.0,9.0,130.0,38.0,69.0,158.0,15.0,169.0,94.0
92,100.0,10.0,9.0,158.0,52.0,70.0,191.0,10.0,197.0,104.0
93,87.0,4.0,10.0,161.0,48.0,75.0,162.0,15.0,157.0,94.0
94,66.0,2.0,6.0,144.0,45.0,73.0,154.0,3.0,145.0,84.0
95,108.0,7.0,10.0,156.0,50.0,72.0,211.0,29.0,214.0,97.0
96,80.0,17.0,6.0,139.0,42.0,74.0,151.0,13.0,144.0,89.0
97,68.0,4.0,7.0,142.0,43.0,75.0,152.0,9.0,150.0,86.0
98,105.0,5.0,9.0,148.0,46.0,69.0,219.0,38.0,201.0,95.0
99,65.0,4.0,6.0,144.0,44.0,87.0,124.0,12.0,149.0,87.0
100,66.0,1.0,52.0,144.0,45.0,119.0,252.0,1.0,148.0,82.0
101,85.0,11.0,9.0,144.0,42.0,65.0,174.0,5.0,153.0,95.0
102,68.0,14.0,7.0,143.0,42.0,69.0,150.0,5.0,128.0,94.0
103,60.0,14.0,5.0,132.0,38.0,72.0,130.0,5.0,114.0,92.0
104,83.0,0.0,5.0,146.0,45.0,79.0,198.0,27.0,194.0,102.0
105,103.0,11.0,10.0,168.0,53.0,73.0,202.0,10.0,220.0,108.0
106,105.0,0.0,11.0,152.0,46.0,65.0,209.0,33.0,197.0,99.0
107,77.0,0.0,8.0,134.0,39.0,73.0,151.0,16.0,150.0,85.0
108,68.0,7.0,8.0,145.0,44.0,80.0,135.0,12.0,150.0,80.0
109,79.0,5.0,6.0,153.0,48.0,74.0,199.0,8.0,185.0,99.0
110,77.0,0.0,9.0,141.0,40.0,70.0,159.0,5.0,144.0,89.0
111,83.0,4.0,10.0,153.0,48.0,74.0,162.0,14.0,156.0,94.0
112,75.0,16.0,6.0,132.0,38.0,80.0,144.0,20.0,147.0,77.0
113,50.0,21.0,5.0,122.0,35.0,74.0,121.0,4.0,114.0,88.0
114,85.0,12.0,10.0,153.0,43.0,75.0,133.0,13.0,155.0,93.0
115,88.0,12.0,11.0,157.0,47.0,71.0,162.0,13.0,159.0,95.0
116,100.0,5.0,8.0,147.0,45.0,72.0,209.0,5.0,201.0,100.0
117,109.0,13.0,12.0,169.0,53.0,72.0,221.0,28.0,221.0,109.0
118,64.0,9.0,8.0,144.0,43.0,82.0,128.0,14.0,150.0,85.0
119,79.0,5.0,7.0,158.0,49.0,70.0,180.0,10.0,173.0,93.0
120,54.0,16.0,5.0,127.0,37.0,79.0,119.0,14.0,134.0,89.0
121,78.0,10.0,11.0,160.0,48.0,76.0,142.0,11.0,160.0,90.0
122,82.0,9.0,9.0,140.0,40.0,64.0,163.0,0.0,146.0,92.0
123,57.0,22.0,6.0,127.0,36.0,68.0,130.0,23.0,121.0,90.0
124,71.0,2.0,8.0,147.0,45.0,72.0,150.0,3.0,143.0,85.0
125,80.0,17.0,11.0,156.0,46.0,74.0,143.0,7.0,159.0,90.0
126,70.0,2.0,7.0,143.0,42.0,76.0,148.0,6.0,147.0,89.0
127,66.0,6.0,22.0,139.0,41.0,75.0,155.0,16.0,149.0,85.0
128,88.0,8.0,10.0,157.0,45.0,67.0,173.0,12.0,157.0,97.0
129,95.0,7.0,7.0,150.0,48.0,73.0,209.0,11.0,199.0,100.0
130,104.0,13.0,9.0,147.0,46.0,73.0,184.0,13.0,197.0,100.0
131,77.0,0.0,7.0,128.0,36.0,66.0,165.0,32.0,150.0,86.0
132,101.0,7.0,9.0,138.0,42.0,67.0,186.0,41.0,186.0,97.0
133,68.0,4.0,7.0,142.0,39.0,75.0,121.0,1.0,134.0,98.0
134,100.0,12.0,10.0,173.0,54.0,76.0,163.0,27.0,213.0,102.0
135,83.0,0.0,48.0,163.0,47.0,97.0,322.0,14.0,158.0,89.0
136,75.0,3.0,10.0,163.0,48.0,75.0,136.0,1.0,161.0,86.0
137,64.0,7.0,10.0,142.0,42.0,67.0,150.0,1.0,133.0,87.0
138,63.0,14.0,5.0,130.0,37.0,74.0,130.0,20.0,125.0,88.0
139,80.0,3.0,8.0,145.0,42.0,70.0,162.0,5.0,148.0,91.0
140,80.0,3.0,9.0,132.0,37.0,60.0,171.0,18.0,157.0,90.0
141,63.0,7.0,8.0,145.0,42.0,86.0,125.0,7.0,149.0,81.0
142,107.0,0.0,11.0,161.0,49.0,67.0,194.0,39.0,214.0,106.0
143,68.0,4.0,8.0,145.0,43.0,85.0,120.0,8.0,150.0,80.0
144,80.0,11.0,7.0,145.0,45.0,65.0,186.0,18.0,164.0,95.0
145,107.0,0.0,12.0,174.0,54.0,67.0,218.0,18.0,222.0,103.0
146,85.0,18.0,11.0,163.0,46.0,71.0,164.0,0.0,163.0,100.0
147,76.0,4.0,7.0,135.0,40.0,68.0,171.0,17.0,149.0,91.0
148,72.0,15.0,8.0,144.0,43.0,61.0,172.0,9.0,154.0,90.0
149,64.0,2.0,8.0,136.0,36.0,67.0,165.0,29.0,136.0,93.0
150,96.0,3.0,10.0,156.0,50.0,65.0,211.0,7.0,187.0,104.0
151,84.0,4.0,6.0,145.0,44.0,73.0,216.0,22.0,184.0,94.0
152,72.0,5.0,7.0,124.0,35.0,62.0,172.0,30.0,149.0,93.0
153,106.0,1.0,9.0,158.0,49.0,68.0,211.0,24.0,208.0,106.0
154,79.0,8.0,9.0,139.0,40.0,71.0,154.0,7.0,144.0,89.0
155,103.0,4.0,5.0,169.0,56.0,85.0,223.0,6.0,250.0,110.0
156,78.0,10.0,7.0,128.0,36.0,64.0,149.0,24.0,147.0,85.0
157,70.0,5.0,7.0,145.0,42.0,74.0,131.0,4.0,127.0,93.0
158,74.0,1.0,6.0,136.0,39.0,70.0,152.0,33.0,151.0,87.0
159,75.0,16.0,6.0,146.0,45.0,66.0,154.0,2.0,150.0,91.0
160,53.0,0.0,5.0,128.0,38.0,87.0,125.0,0.0,133.0,82.0
161,101.0,17.0,11.0,164.0,52.0,65.0,218.0,2.0,202.0,107.0
162,81.0,8.0,9.0,138.0,39.0,62.0,191.0,19.0,166.0,98.0
163,72.0,3.0,5.0,135.0,40.0,68.0,139.0,9.0,132.0,85.0
164,104.0,1.0,10.0,172.0,54.0,73.0,186.0,26.0,213.0,98.0
165,91.0,1.0,11.0,170.0,54.0,72.0,179.0,32.0,220.0,103.0
166,78.0,4.0,8.0,128.0,36.0,60.0,165.0,19.0,153.0,92.0
167,104.0,18.0,12.0,162.0,51.0,68.0,191.0,2.0,213.0,110.0
168,68.0,0.0,6.0,143.0,45.0,80.0,139.0,1.0,147.0,82.0
169,70.0,0.0,8.0,139.0,38.0,74.0,125.0,13.0,130.0,98.0
170,103.0,7.0,11.0,160.0,51.0,67.0,197.0,3.0,211.0,108.0
171,103.0,4.0,4.0,166.0,54.0,85.0,161.0,11.0,247.0,106.0
172,81.0,11.0,9.0,147.0,45.0,66.0,166.0,14.0,145.0,94.0
173,98.0,8.0,6.0,152.0,49.0,77.0,187.0,28.0,213.0,96.0
174,84.0,8.0,11.0,165.0,48.0,73.0,150.0,15.0,156.0,93.0
175,78.0,1.0,6.0,134.0,40.0,73.0,186.0,11.0,158.0,88.0
176,90.0,4.0,7.0,131.0,39.0,71.0,180.0,38.0,177.0,84.0
177,72.0,11.0,7.0,147.0,44.0,69.0,160.0,1.0,144.0,89.0
178,73.0,1.0,7.0,131.0,37.0,68.0,174.0,22.0,151.0,93.0
179,70.0,10.0,6.0,146.0,44.0,78.0,137.0,3.0,136.0,89.0
180,106.0,0.0,11.0,164.0,54.0,71.0,221.0,26.0,207.0,102.0
181,60.0,3.0,6.0,124.0,36.0,78.0,116.0,16.0,123.0,78.0
182,66.0,4.0,7.0,140.0,42.0,67.0,169.0,0.0,145.0,91.0
183,53.0,10.0,4.0,123.0,35.0,76.0,122.0,27.0,116.0,84.0
184,106.0,9.0,10.0,149.0,46.0,70.0,209.0,10.0,203.0,103.0
185,75.0,7.0,5.0,138.0,41.0,72.0,205.0,19.0,176.0,100.0
186,81.0,3.0,5.0,137.0,42.0,68.0,193.0,23.0,169.0,91.0
187,76.0,13.0,7.0,148.0,45.0,69.0,166.0,10.0,157.0,98.0
188,105.0,5.0,10.0,162.0,51.0,73.0,212.0,23.0,209.0,101.0
189,78.0,1.0,8.0,126.0,36.0,66.0,179.0,20.0,157.0,90.0
190,94.0,20.0,9.0,155.0,48.0,64.0,198.0,11.0,181.0,97.0
191,81.0,0.0,10.0,139.0,40.0,70.0,162.0,13.0,146.0,87.0
192,76.0,14.0,7.0,143.0,43.0,69.0,149.0,0.0,149.0,93.0
193,98.0,3.0,7.0,168.0,55.0,80.0,199.0,1.0,240.0,107.0
194,86.0,9.0,7.0,131.0,37.0,68.0,167.0,21.0,158.0,92.0
195,66.0,6.0,7.0,142.0,43.0,81.0,130.0,14.0,152.0,86.0
196,104.0,19.0,11.0,172.0,56.0,71.0,231.0,11.0,219.0,107.0
197,72.0,0.0,7.0,144.0,44.0,80.0,150.0,16.0,154.0,82.0
198,71.0,3.0,7.0,149.0,46.0,81.0,130.0,14.0,153.0,81.0
199,72.0,6.0,7.0,143.0,44.0,81.0,136.0,17.0,147.0,82.0
200,85.0,7.0,11.0,158.0,47.0,74.0,163.0,15.0,156.0,93.0
201,74.0,6.0,8.0,128.0,36.0,61.0,171.0,21.0,157.0,90.0
202,103.0,15.0,11.0,172.0,54.0,69.0,171.0,6.0,221.0,111.0
203,100.0,10.0,11.0,175.0,55.0,73.0,194.0,14.0,212.0,103.0
204,58.0,7.0,7.0,140.0,40.0,63.0,137.0,4.0,122.0,89.0
205,81.0,0.0,9.0,152.0,47.0,72.0,149.0,6.0,147.0,87.0
206,79.0,2.0,8.0,149.0,46.0,67.0,176.0,10.0,162.0,92.0
207,64.0,1.0,7.0,146.0,42.0,85.0,121.0,6.0,149.0,85.0
208,70.0,6.0,8.0,146.0,46.0,77.0,149.0,6.0,149.0,86.0
209,100.0,2.0,11.0,175.0,56.0,74.0,168.0,3.0,214.0,101.0
210,89.0,4.0,9.0,135.0,39.0,63.0,194.0,23.0,172.0,94.0
211,69.0,1.0,8.0,134.0,37.0,71.0,150.0,6.0,138.0,86.0
212,71.0,3.0,7.0,138.0,41.0,71.0,169.0,18.0,150.0,90.0
213,89.0,1.0,4.0,153.0,49.0,78.0,168.0,23.0,212.0,104.0
214,72.0,1.0,7.0,126.0,36.0,72.0,141.0,1.0,138.0,89.0
215,86.0,1.0,7.0,131.0,39.0,74.0,169.0,22.0,162.0,90.0
216,77.0,8.0,5.0,143.0,44.0,77.0,150.0,2.0,152.0,84.0
217,103.0,4.0,11.0,176.0,57.0,73.0,216.0,3.0,219.0,104.0
218,68.0,1.0,8.0,143.0,44.0,74.0,144.0,1.0,147.0,83.0
219,57.0,17.0,6.0,135.0,39.0,64.0,126.0,7.0,114.0,85.0
220,101.0,2.0,13.0,180.0,55.0,71.0,206.0,3.0,222.0,99.0
221,85.0,5.0,11.0,155.0,44.0,76.0,139.0,16.0,157.0,88.0
222,81.0,6.0,6.0,158.0,50.0,74.0,197.0,1.0,186.0,100.0
223,72.0,1.0,6.0,146.0,44.0,81.0,139.0,15.0,153.0,81.0
224,66.0,5.0,6.0,136.0,41.0,74.0,133.0,14.0,136.0,86.0
225,79.0,4.0,8.0,150.0,41.0,67.0,159.0,9.0,144.0,93.0
226,98.0,14.0,11.0,169.0,54.0,71.0,210.0,0.0,218.0,107.0
227,66.0,8.0,9.0,127.0,35.0,66.0,147.0,7.0,131.0,94.0
228,106.0,14.0,10.0,166.0,54.0,69.0,215.0,23.0,208.0,105.0
229,64.0,5.0,5.0,138.0,41.0,80.0,148.0,8.0,150.0,86.0
230,47.0,5.0,3.0,122.0,35.0,89.0,110.0,9.0,117.0,85.0
231,40.0,12.0,3.0,119.0,33.0,86.0,115.0,21.0,112.0,85.0
232,68.0,4.0,6.0,147.0,44.0,86.0,120.0,5.0,151.0,81.0
233,104.0,1.0,10.0,163.0,52.0,70.0,189.0,22.0,208.0,100.0
234,64.0,7.0,9.0,142.0,42.0,71.0,158.0,13.0,134.0,93.0
235,78.0,1.0,11.0,167.0,48.0,76.0,134.0,14.0,160.0,90.0
236,74.0,1.0,5.0,128.0,37.0,72.0,199.0,3.0,165.0,96.0
237,65.0,1.0,8.0,145.0,45.0,81.0,128.0,10.0,151.0,85.0
238,101.0,7.0,10.0,177.0,55.0,71.0,189.0,17.0,222.0,100.0
239,74.0,6.0,7.0,149.0,47.0,77.0,141.0,10.0,153.0,79.0
240,77.0,5.0,8.0,125.0,36.0,63.0,172.0,22.0,157.0,89.0
241,73.0,11.0,7.0,146.0,45.0,65.0,164.0,15.0,159.0,93.0
242,59.0,8.0,7.0,144.0,42.0,83.0,132.0,4.0,149.0,85.0
243,108.0,2.0,12.0,168.0,55.0,71.0,228.0,16.0,215.0,101.0
244,75.0,1.0,9.0,165.0,47.0,77.0,121.0,7.0,157.0,85.0
245,75.0,5.0,7.0,141.0,41.0,77.0,124.0,15.0,140.0,93.0
246,73.0,2.0,6.0,126.0,36.0,71.0,191.0,19.0,156.0,95.0
247,83.0,0.0,7.0,132.0,39.0,67.0,176.0,24.0,169.0,91.0
248,103.0,5.0,11.0,165.0,55.0,72.0,211.0,16.0,212.0,103.0
249,53.0,3.0,6.0,121.0,34.0,70.0,127.0,20.0,116.0,85.0
250,66.0,11.0,8.0,140.0,38.0,78.0,126.0,8.0,133.0,95.0
251,103.0,7.0,11.0,176.0,58.0,71.0,230.0,4.0,219.0,104.0
252,80.0,5.0,11.0,157.0,44.0,74.0,140.0,17.0,156.0,84.0
253,68.0,10.0,6.0,142.0,43.0,65.0,170.0,8.0,142.0,94.0
254,85.0,2.0,12.0,157.0,47.0,76.0,161.0,9.0,155.0,93.0
255,110.0,18.0,11.0,159.0,50.0,71.0,186.0,27.0,214.0,112.0
256,77.0,8.0,7.0,126.0,36.0,65.0,157.0,15.0,155.0,91.0
257,69.0,14.0,7.0,143.0,43.0,63.0,158.0,18.0,149.0,92.0
258,104.0,8.0,10.0,152.0,48.0,73.0,196.0,4.0,201.0,99.0
259,101.0,6.0,12.0,182.0,58.0,71.0,208.0,1.0,226.0,98.0
260,54.0,4.0,4.0,127.0,37.0,81.0,118.0,13.0,129.0,83.0
261,88.0,0.0,9.0,132.0,39.0,69.0,189.0,23.0,175.0,91.0
262,60.0,10.0,6.0,137.0,40.0,65.0,131.0,8.0,118.0,89.0
263,70.0,4.0,7.0,128.0,35.0,64.0,138.0,19.0,126.0,89.0
264,100.0,13.0,10.0,160.0,49.0,62.0,194.0,8.0,185.0,103.0
265,71.0,3.0,7.0,147.0,45.0,79.0,128.0,16.0,151.0,80.0
266,65.0,5.0,6.0,141.0,42.0,85.0,116.0,4.0,152.0,86.0
267,81.0,13.0,9.0,154.0,46.0,63.0,187.0,9.0,166.0,100.0
268,60.0,7.0,7.0,134.0,39.0,61.0,140.0,8.0,119.0,86.0
269,62.0,0.0,6.0,129.0,37.0,79.0,113.0,7.0,122.0,83.0
270,68.0,5.0,5.0,144.0,45.0,80.0,150.0,0.0,148.0,82.0
271,88.0,0.0,7.0,151.0,47.0,66.0,200.0,3.0,173.0,93.0
272,88.0,1.0,9.0,157.0,43.0,64.0,157.0,26.0,149.0,91.0
273,80.0,5.0,9.0,148.0,45.0,64.0,162.0,10.0,146.0,96.0
274,106.0,2.0,8.0,172.0,57.0,83.0,179.0,20.0,257.0,107.0
275,70.0,6.0,6.0,141.0,44.0,69.0,179.0,1.0,146.0,87.0
276,73.0,8.0,6.0,146.0,46.0,75.0,137.0,0.0,148.0,83.0
277,66.0,3.0,7.0,136.0,41.0,74.0,129.0,4.0,135.0,86.0
278,109.0,11.0,11.0,169.0,54.0,68.0,225.0,32.0,214.0,109.0
279,73.0,2.0,7.0,127.0,37.0,67.0,186.0,8.0,154.0,94.0
280,93.0,0.0,8.0,147.0,44.0,66.0,193.0,2.0,186.0,100.0
281,73.0,5.0,7.0,143.0,43.0,76.0,154.0,11.0,151.0,82.0
282,73.0,9.0,6.0,147.0,46.0,82.0,125.0,11.0,151.0,86.0
283,110.0,16.0,12.0,165.0,53.0,67.0,231.0,28.0,217.0,116.0
284,77.0,7.0,10.0,160.0,46.0,78.0,125.0,17.0,156.0,89.0
285,85.0,16.0,8.0,153.0,48.0,64.0,189.0,5.0,169.0,89.0
286,70.0,4.0,7.0,141.0,41.0,71.0,155.0,12.0,144.0,83.0
287,84.0,6.0,11.0,150.0,43.0,73.0,136.0,2.0,154.0,88.0
288,103.0,6.0,10.0,147.0,47.0,73.0,215.0,6.0,200.0,96.0
289,57.0,16.0,6.0,125.0,37.0,83.0,132.0,16.0,135.0,88.0
290,66.0,3.0,7.0,138.0,38.0,69.0,130.0,12.0,130.0,98.0
291,81.0,9.0,43.0,160.0,45.0,90.0,246.0,17.0,155.0,89.0
292,76.0,6.0,5.0,138.0,42.0,76.0,159.0,12.0,155.0,87.0
293,63.0,3.0,8.0,136.0,36.0,67.0,139.0,27.0,132.0,93.0
294,102.0,10.0,6.0,165.0,55.0,84.0,169.0,11.0,241.0,109.0
295,75.0,0.0,7.0,131.0,38.0,66.0,164.0,0.0,151.0,90.0
296,86.0,4.0,5.0,161.0,52.0,75.0,207.0,6.0,192.0,98.0
297,66.0,17.0,7.0,127.0,37.0,72.0,126.0,7.0,132.0,82.0
298,98.0,9.0,9.0,135.0,40.0,66.0,192.0,35.0,177.0,91.0
299,77.0,4.0,6.0,139.0,40.0,72.0,171.0,17.0,172.0,98.0
300,98.0,8.0,10.0,169.0,53.0,73.0,193.0,21.0,215.0,106.0
301,78.0,15.0,7.0,141.0,43.0,68.0,166.0,2.0,151.0,93.0
302,72.0,0.0,6.0,133.0,37.0,70.0,193.0,14.0,158.0,94.0
303,68.0,6.0,8.0,134.0,36.0,62.0,149.0,18.0,133.0,89.0
304,70.0,2.0,8.0,146.0,45.0,79.0,130.0,5.0,151.0,85.0
305,73.0,6.0,6.0,145.0,45.0,71.0,152.0,1.0,149.0,86.0
306,107.0,5.0,10.0,153.0,48.0,70.0,202.0,28.0,207.0,106.0
307,103.0,6.0,11.0,162.0,52.0,66.0,186.0,5.0,214.0,107.0
308,100.0,14.0,10.0,161.0,51.0,64.0,197.0,3.0,192.0,109.0
309,107.0,9.0,10.0,158.0,48.0,65.0,215.0,32.0,205.0,109.0
310,90.0,6.0,10.0,158.0,50.0,69.0,188.0,19.0,181.0,90.0
311,83.0,1.0,10.0,155.0,45.0,75.0,142.0,21.0,157.0,93.0
312,70.0,5.0,7.0,138.0,41.0,72.0,155.0,17.0,148.0,82.0
313,104.0,12.0,9.0,163.0,52.0,67.0,222.0,20.0,198.0,96.0
314,63.0,0.0,7.0,142.0,42.0,81.0,126.0,15.0,152.0,90.0
315,62.0,8.0,7.0,145.0,40.0,78.0,117.0,6.0,131.0,93.0
316,66.0,3.0,9.0,144.0,41.0,72.0,131.0,10.0,126.0,91.0
317,105.0,7.0,10.0,150.0,45.0,64.0,208.0,32.0,187.0,95.0
318,51.0,7.0,5.0,127.0,37.0,82.0,111.0,4.0,120.0,89.0
319,92.0,7.0,6.0,162.0,51.0,80.0,194.0,7.0,220.0,102.0
320,100.0,0.0,10.0,170.0,54.0,73.0,220.0,13.0,221.0,105.0
321,109.0,11.0,6.0,175.0,57.0,85.0,194.0,21.0,260.0,113.0
322,65.0,6.0,8.0,143.0,43.0,85.0,127.0,3.0,149.0,87.0
323,96.0,10.0,10.0,157.0,51.0,68.0,203.0,1.0,188.0,98.0
