,binaryClass_cat,col_1_num,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num,col_7_num,col_8_num,col_9_num,col_10_num,col_11_num,col_12_num
58,P,1807.0,12.0,12.2,9.6,23.8,10.0,12.0,12.7,12.0,5.7,8.0,2.6
59,P,1808.0,0.0,4.5,0.0,12.3,13.5,13.5,6.7,8.0,11.7,4.7,10.5
60,P,1809.0,7.2,9.2,0.9,2.5,2.0,7.7,0.3,0.2,0.4,0.0,0.0
61,P,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,P,1811.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,2.4,6.1,0.8
63,P,1812.0,11.3,1.9,0.7,0.0,1.0,1.3,0.5,15.6,5.2,3.9,7.9
64,P,1813.0,0.0,10.3,1.9,16.6,5.5,11.2,18.3,8.4,15.3,27.8,16.7
65,P,1814.0,22.2,12.0,5.7,23.8,5.8,14.9,18.5,2.3,8.1,19.3,14.5
66,N,1815.0,19.2,32.2,26.2,31.6,9.8,55.9,35.5,47.2,31.5,33.5,37.2
67,P,1816.0,26.3,68.8,73.7,58.8,44.3,43.6,38.8,23.2,47.8,56.4,38.1
68,P,1817.0,36.4,57.9,96.2,26.4,21.2,40.0,50.0,45.0,36.7,25.6,28.9
69,P,1818.0,34.9,22.4,25.4,34.5,53.1,36.4,28.0,31.5,26.1,31.7,10.9
70,P,1819.0,32.5,20.7,3.7,20.2,19.6,35.0,31.4,26.1,14.9,27.5,25.1
71,P,1820.0,19.2,26.6,4.5,19.4,29.3,10.8,20.6,25.9,5.2,9.0,7.9
72,P,1821.0,21.5,4.3,5.7,9.2,1.7,1.8,2.5,4.8,4.4,18.8,4.4
73,P,1822.0,0.0,0.9,16.1,13.5,1.5,5.6,7.9,2.1,0.0,0.4,0.0
74,P,1823.0,0.0,0.0,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
75,P,1824.0,21.6,10.8,0.0,19.4,2.8,0.0,0.0,1.4,20.5,25.2,0.0
76,P,1825.0,5.0,15.5,22.4,3.8,15.4,15.4,30.9,25.4,15.7,15.6,11.7
77,N,1826.0,17.7,18.2,36.7,24.0,32.4,37.1,52.5,39.6,18.9,50.6,39.5
78,P,1827.0,34.6,47.4,57.8,46.0,56.3,56.7,42.9,53.7,49.6,57.2,48.2
79,P,1828.0,52.8,64.4,65.0,61.1,89.1,98.0,54.3,76.4,50.4,54.7,57.0
80,N,1829.0,43.0,49.4,72.3,95.0,67.5,73.9,90.8,78.3,52.8,57.2,67.6
81,N,1830.0,52.2,72.1,84.6,107.1,66.3,65.1,43.9,50.7,62.1,84.4,81.2
82,P,1831.0,47.5,50.1,93.4,54.6,38.1,33.4,45.2,54.9,37.9,46.2,43.5
83,P,1832.0,30.9,55.5,55.1,26.9,41.3,26.7,13.9,8.9,8.2,21.1,14.3
84,P,1833.0,11.3,14.9,11.8,2.8,12.9,1.0,7.0,5.7,11.6,7.5,5.9
85,P,1834.0,4.9,18.1,3.9,1.4,8.8,7.8,8.7,4.0,11.5,24.8,30.5
86,N,1835.0,7.5,24.5,19.7,61.5,43.6,33.2,59.8,59.0,100.8,95.2,100.0
87,N,1836.0,88.6,107.6,98.1,142.9,111.4,124.7,116.7,107.8,95.1,137.4,120.9
88,N,1837.0,188.0,175.6,134.6,138.2,111.3,158.0,162.8,134.0,96.3,123.7,107.0
89,N,1838.0,144.9,84.8,140.8,126.6,137.6,94.5,108.2,78.8,73.6,90.8,77.4
90,N,1839.0,107.6,102.5,77.7,61.8,53.8,54.6,84.7,131.2,132.7,90.8,68.8
91,N,1840.0,81.2,87.7,55.5,65.9,69.2,48.5,60.7,57.8,74.0,49.8,54.3
92,P,1841.0,24.0,29.9,29.7,42.6,67.4,55.7,30.8,39.3,35.1,28.5,19.8
93,P,1842.0,20.4,22.1,21.7,26.9,24.9,20.5,12.6,26.5,18.5,38.1,40.5
94,P,1843.0,13.3,3.5,8.3,8.8,21.1,10.5,9.5,11.8,4.2,5.3,19.1
95,P,1844.0,9.4,14.7,13.6,20.8,12.0,3.7,21.2,23.9,6.9,21.5,10.7
96,N,1845.0,25.7,43.6,43.3,56.9,47.8,31.1,30.6,32.3,29.6,40.7,39.4
97,N,1846.0,38.7,51.0,63.9,69.2,59.9,65.1,46.5,54.8,107.1,55.9,60.4
98,N,1847.0,62.6,44.9,85.7,44.7,75.4,85.3,52.2,140.6,161.2,180.4,138.9
99,N,1848.0,159.1,111.8,108.9,107.1,102.2,123.8,139.2,132.5,100.3,132.4,114.6
100,N,1849.0,156.7,131.7,96.5,102.5,80.6,81.2,78.0,61.3,93.7,71.5,99.7
101,N,1850.0,78.0,89.4,82.6,44.1,61.6,70.0,39.1,61.6,86.2,71.0,54.8
102,N,1851.0,75.5,105.4,64.6,56.5,62.6,63.2,36.1,57.4,67.9,62.5,50.9
103,P,1852.0,68.4,67.5,61.2,65.4,54.9,46.9,42.0,39.7,37.5,67.3,54.3
104,P,1853.0,41.1,42.9,37.7,47.6,34.7,40.0,45.9,50.4,33.5,42.3,28.8
105,P,1854.0,15.4,20.0,20.7,26.4,24.0,21.1,18.7,15.8,22.4,12.7,28.2
106,P,1855.0,12.3,11.4,17.4,4.4,9.1,5.3,0.4,3.1,0.0,9.7,4.3
107,P,1856.0,0.5,4.9,0.4,6.5,0.0,5.0,4.6,5.9,4.4,4.5,7.7
108,P,1857.0,13.7,7.4,5.2,11.1,29.2,16.0,22.2,16.9,42.4,40.6,31.4
109,N,1858.0,39.0,34.9,57.5,38.3,41.4,44.5,56.7,55.3,80.1,91.2,51.9
110,N,1859.0,83.7,87.6,90.3,85.7,91.0,87.1,95.2,106.8,105.8,114.6,97.2
111,N,1860.0,81.5,88.0,98.9,71.4,107.1,108.6,116.7,100.3,92.2,90.1,97.9
112,N,1861.0,62.3,77.8,101.0,98.5,56.8,87.8,78.0,82.5,79.9,67.2,53.7
113,P,1862.0,63.1,64.5,43.6,53.7,64.4,84.0,73.4,62.5,66.6,42.0,50.6
114,P,1863.0,48.3,56.7,66.4,40.6,53.8,40.8,32.7,48.1,22.0,39.9,37.7
115,P,1864.0,57.7,47.1,66.3,35.8,40.6,57.8,54.7,54.8,28.5,33.9,57.6
116,P,1865.0,48.7,39.3,39.5,29.4,34.5,33.6,26.8,37.8,21.6,17.1,24.6
117,P,1866.0,31.6,38.4,24.6,17.6,12.9,16.5,9.3,12.7,7.3,14.1,9.0
118,P,1867.0,0.0,0.7,9.2,5.1,2.9,1.5,5.0,4.9,9.8,13.5,9.3
119,N,1868.0,15.6,15.8,26.5,36.6,26.7,31.1,28.6,34.4,43.8,61.7,59.1
120,N,1869.0,60.9,59.3,52.7,41.0,104.0,108.4,59.2,79.6,80.6,59.4,77.4
121,N,1870.0,77.3,114.9,159.4,160.0,176.0,135.6,132.4,153.8,136.0,146.4,147.5
122,N,1871.0,88.3,125.3,143.2,162.4,145.5,91.7,103.0,110.0,80.3,89.0,105.4
123,N,1872.0,79.5,120.1,88.4,102.1,107.6,109.9,105.5,92.9,114.6,103.5,112.0
124,P,1873.0,86.7,107.0,98.3,76.2,47.9,44.8,66.9,68.2,47.5,47.4,55.4
125,P,1874.0,60.8,64.2,46.4,32.0,44.6,38.2,67.8,61.3,28.0,34.3,28.9
126,P,1875.0,14.6,22.2,33.8,29.1,11.5,23.9,12.5,14.6,2.4,12.7,17.7
127,P,1876.0,14.3,15.0,31.2,2.3,5.1,1.6,15.2,8.8,9.9,14.3,9.9
128,P,1877.0,24.4,8.7,11.7,15.8,21.2,13.4,5.9,6.3,16.4,6.7,14.5
129,P,1878.0,3.3,6.0,7.8,0.1,5.8,6.4,0.1,0.0,5.3,1.1,4.1
130,P,1879.0,0.8,0.6,0.0,6.2,2.4,4.8,7.5,10.7,6.1,12.3,12.9
131,P,1880.0,24.0,27.5,19.5,19.3,23.5,34.1,21.9,48.1,66.0,43.0,30.7
132,P,1881.0,36.4,53.2,51.5,51.7,43.5,60.5,76.9,58.0,53.2,64.0,54.8
133,P,1882.0,45.0,69.3,67.5,95.8,64.1,45.2,45.4,40.4,57.7,59.2,84.4
134,N,1883.0,60.6,46.9,42.8,82.1,32.1,76.5,80.6,46.0,52.6,83.8,84.5
135,P,1884.0,91.5,86.9,86.8,76.1,66.5,51.2,53.1,55.8,61.9,47.8,36.6
136,P,1885.0,42.8,71.8,49.8,55.0,73.0,83.7,66.5,50.0,39.6,38.7,33.3
137,P,1886.0,29.9,25.9,57.3,43.7,30.7,27.1,30.3,16.9,21.4,8.6,0.3
138,P,1887.0,10.3,13.2,4.2,6.9,20.0,15.7,23.3,21.4,7.4,6.6,6.9
139,P,1888.0,12.7,7.1,7.8,5.1,7.0,7.1,3.1,2.8,8.8,2.1,10.7
140,P,1889.0,0.8,8.5,7.0,4.3,2.4,6.4,9.7,20.6,6.5,2.1,0.2
141,P,1890.0,5.3,0.6,5.1,1.6,4.8,1.3,11.6,8.5,17.2,11.2,9.6
142,P,1891.0,13.5,22.2,10.4,20.5,41.1,48.3,58.8,33.2,53.8,51.5,41.9
143,N,1892.0,69.1,75.6,49.9,69.6,79.6,76.3,76.8,101.4,62.8,70.5,65.4
144,N,1893.0,75.0,73.0,65.7,88.1,84.7,88.2,88.8,129.2,77.9,79.7,75.1
145,N,1894.0,83.2,84.6,52.3,81.6,101.2,98.9,106.0,70.3,65.9,75.5,56.6
146,N,1895.0,63.3,67.2,61.0,76.9,67.5,71.5,47.8,68.9,57.7,67.9,47.2
147,P,1896.0,29.0,57.4,52.0,43.8,27.7,49.0,45.0,27.2,61.3,28.4,38.0
148,P,1897.0,40.6,29.4,29.1,31.0,20.0,11.3,27.6,21.8,48.1,14.3,8.4
149,P,1898.0,30.2,36.4,38.3,14.5,25.8,22.3,9.0,31.4,34.8,34.4,30.9
150,P,1899.0,19.5,9.2,18.1,14.2,7.7,20.5,13.5,2.9,8.4,13.0,7.8
151,P,1900.0,9.4,13.6,8.6,16.0,15.2,12.1,8.3,4.3,8.3,12.9,4.5
152,P,1901.0,0.2,2.4,4.5,0.0,10.2,5.8,0.7,1.0,0.6,3.7,3.8
153,P,1902.0,5.2,0.0,12.4,0.0,2.8,1.4,0.9,2.3,7.6,16.3,10.3
154,P,1903.0,8.3,17.0,13.5,26.1,14.6,16.3,27.9,28.8,11.1,38.9,44.5
155,N,1904.0,31.6,24.5,37.2,43.0,39.5,41.9,50.6,58.2,30.1,54.2,38.0
156,N,1905.0,54.8,85.8,56.5,39.3,48.0,49.0,73.0,58.8,55.0,78.7,107.2
157,N,1906.0,45.5,31.3,64.5,55.3,57.7,63.2,103.6,47.7,56.1,17.8,38.9
158,P,1907.0,76.4,108.2,60.7,52.6,42.9,40.4,49.7,54.3,85.0,65.4,61.5
159,P,1908.0,39.2,33.9,28.7,57.6,40.8,48.1,39.5,90.5,86.9,32.3,45.5
160,N,1909.0,56.7,46.6,66.3,32.3,36.0,22.6,35.8,23.1,38.8,58.4,55.8
161,P,1910.0,26.4,31.5,21.4,8.4,22.2,12.3,14.1,11.5,26.2,38.3,4.9
162,P,1911.0,3.4,9.0,7.8,16.5,9.0,2.2,3.5,4.0,4.0,2.6,4.2
163,P,1912.0,0.3,0.0,4.9,4.5,4.4,4.1,3.0,0.3,9.5,4.6,1.1
164,P,1913.0,2.3,2.9,0.5,0.9,0.0,0.0,1.7,0.2,1.2,3.1,0.7
165,P,1914.0,2.8,2.6,3.1,17.3,5.2,11.4,5.4,7.7,12.7,8.2,16.4
166,P,1915.0,23.0,42.3,38.8,41.3,33.0,68.8,71.6,69.6,49.5,53.5,42.5
167,N,1916.0,45.3,55.4,67.0,71.8,74.5,67.7,53.5,35.2,45.1,50.7,65.6
168,N,1917.0,74.7,71.9,94.8,74.7,114.1,114.9,119.8,154.5,129.4,72.2,96.4
169,N,1918.0,96.0,65.3,72.2,80.5,76.7,59.4,107.6,101.7,79.9,85.0,83.4
170,P,1919.0,48.1,79.5,66.5,51.8,88.1,111.2,64.7,69.0,54.7,52.8,42.0
171,P,1920.0,51.1,53.9,70.2,14.8,33.3,38.7,27.5,19.2,36.3,49.6,27.2
172,P,1921.0,31.5,28.3,26.7,32.4,22.2,33.7,41.9,22.8,17.8,18.2,17.8
173,P,1922.0,11.8,26.4,54.7,11.0,8.0,5.8,10.9,6.5,4.7,6.2,7.4
174,P,1923.0,4.5,1.5,3.3,6.1,3.2,9.1,3.5,0.5,13.2,11.6,10.0
175,P,1924.0,0.5,5.1,1.8,11.3,20.8,24.0,28.1,19.3,25.1,25.6,22.5
176,N,1925.0,5.5,23.2,18.0,31.7,42.8,47.5,38.5,37.9,60.2,69.2,58.6
177,N,1926.0,71.8,70.0,62.5,38.5,64.3,73.5,52.3,61.6,60.8,71.5,60.5
178,P,1927.0,81.6,93.0,69.6,93.5,79.1,59.1,54.9,53.8,68.4,63.1,67.2
179,N,1928.0,83.5,73.5,85.4,80.6,76.9,91.4,98.0,83.8,89.7,61.4,50.3
180,N,1929.0,68.9,64.1,50.2,52.8,58.2,71.9,70.2,65.8,34.4,54.0,81.1
181,P,1930.0,65.3,49.2,35.0,38.2,36.8,28.8,21.9,24.9,32.1,34.4,35.6
182,P,1931.0,14.6,43.1,30.0,31.2,24.6,15.3,17.4,13.0,19.0,10.0,18.7
183,P,1932.0,12.1,10.6,11.2,11.2,17.9,22.2,9.6,6.8,4.0,8.9,8.2
184,P,1933.0,12.3,22.2,10.1,2.9,3.2,5.2,2.8,0.2,5.1,3.0,0.6
185,P,1934.0,3.4,7.8,4.3,11.3,19.7,6.7,9.3,8.3,4.0,5.7,8.7
186,N,1935.0,18.9,20.5,23.1,12.2,27.3,45.7,33.9,30.1,42.1,53.2,64.2
187,N,1936.0,62.8,74.3,77.1,74.9,54.6,70.0,52.3,87.0,76.0,89.0,115.4
188,N,1937.0,132.5,128.5,83.9,109.3,116.7,130.3,145.1,137.7,100.7,124.9,74.4
189,N,1938.0,98.4,119.2,86.5,101.0,127.4,97.5,165.3,115.7,89.6,99.1,122.2
190,P,1939.0,80.3,77.4,64.6,109.1,118.3,101.0,97.6,105.8,112.6,88.1,68.1
191,N,1940.0,50.5,59.4,83.3,60.7,54.4,83.9,67.5,105.5,66.5,55.0,58.4
192,P,1941.0,45.6,44.5,46.4,32.8,29.5,59.8,66.9,60.0,65.9,46.3,38.3
193,P,1942.0,35.6,52.8,54.2,60.7,25.0,11.4,17.7,20.2,17.2,19.2,30.7
194,P,1943.0,12.4,28.9,27.4,26.1,14.1,7.6,13.2,19.4,10.0,7.8,10.2
195,P,1944.0,3.7,0.5,11.0,0.3,2.5,5.0,5.0,16.7,14.3,16.9,10.8
196,P,1945.0,18.5,12.7,21.5,32.0,30.6,36.2,42.6,25.9,34.9,68.8,46.0
197,N,1946.0,47.6,86.2,76.6,75.7,84.9,73.5,116.2,107.2,94.4,102.3,123.8
198,N,1947.0,115.7,113.4,129.8,149.8,201.3,163.9,157.9,188.8,169.4,163.6,128.0
199,N,1948.0,108.5,86.1,94.8,189.7,174.0,167.8,142.2,157.9,143.3,136.3,95.8
200,N,1949.0,119.1,182.3,157.5,147.0,106.2,121.7,125.8,123.8,145.3,131.6,143.5
201,N,1950.0,101.6,94.8,109.7,113.4,106.2,83.6,91.0,85.2,51.3,61.4,54.8
202,P,1951.0,59.9,59.9,59.9,92.9,108.5,100.6,61.5,61.0,83.1,51.6,52.4
203,P,1952.0,40.7,22.7,22.0,29.1,23.4,36.4,39.3,54.9,28.2,23.8,22.1
204,P,1953.0,26.5,3.9,10.0,27.8,12.5,21.8,8.6,23.5,19.3,8.2,1.6
205,P,1954.0,0.2,0.5,10.9,1.8,0.8,0.2,4.8,8.4,1.5,7.0,9.2
206,N,1955.0,23.1,20.8,4.9,11.3,28.9,31.7,26.7,40.7,42.7,58.5,89.2
207,N,1956.0,73.6,124.0,118.4,110.7,136.6,116.6,129.1,169.6,173.2,155.3,201.3
208,N,1957.0,165.0,130.2,157.4,175.2,164.6,200.7,187.2,158.0,235.8,253.8,210.9
209,N,1958.0,202.5,164.9,190.7,196.0,175.3,171.5,191.4,200.2,201.2,181.5,152.3
210,N,1959.0,217.4,143.1,185.7,163.3,172.0,168.7,149.6,199.6,145.2,111.4,124.0
211,N,1960.0,146.3,106.0,102.2,122.0,119.6,110.2,121.7,134.1,127.2,82.8,89.6
212,P,1961.0,57.9,46.1,53.0,61.4,51.0,77.4,70.2,55.9,63.6,37.7,32.6
213,P,1962.0,38.7,50.3,45.6,46.4,43.7,42.0,21.8,21.8,51.3,39.5,26.9
214,P,1963.0,19.8,24.4,17.1,29.3,43.0,35.9,19.6,33.2,38.8,35.3,23.4
215,P,1964.0,15.3,17.7,16.5,8.6,9.5,9.1,3.1,9.3,4.7,6.1,7.4
216,P,1965.0,17.5,14.2,11.7,6.8,24.1,15.9,11.9,8.9,16.8,20.1,15.8
217,N,1966.0,28.2,24.4,25.3,48.7,45.3,47.7,56.7,51.2,50.2,57.2,57.2
218,N,1967.0,110.9,93.6,111.8,69.5,86.5,67.3,91.5,107.2,76.8,88.2,94.3
219,N,1968.0,121.8,111.9,92.2,81.2,127.2,110.3,96.1,109.3,117.2,107.7,86.0
220,N,1969.0,104.4,120.5,135.8,106.8,120.0,106.0,96.8,98.0,91.3,95.7,93.5
221,N,1970.0,111.5,127.8,102.9,109.5,127.5,106.8,112.5,93.0,99.5,86.6,95.2
222,N,1971.0,91.3,79.0,60.7,71.8,57.5,49.8,81.0,61.4,50.2,51.7,63.2
223,P,1972.0,61.5,88.4,80.1,63.2,80.5,88.0,76.5,76.8,64.0,61.3,41.6
224,P,1973.0,43.4,42.9,46.0,57.7,42.4,39.5,23.1,25.6,59.3,30.7,23.9
225,P,1974.0,27.6,26.0,21.3,40.3,39.5,36.0,55.8,33.6,40.2,47.1,25.0
226,P,1975.0,18.9,11.5,11.5,5.1,9.0,11.4,28.2,39.7,13.9,9.1,19.4
227,P,1976.0,8.1,4.3,21.9,18.8,12.4,12.2,1.9,16.4,13.5,20.6,5.2
228,P,1977.0,16.4,23.1,8.7,12.9,18.6,38.5,21.4,30.1,44.0,43.8,29.1
229,N,1978.0,51.9,93.6,76.5,99.7,82.7,95.1,70.4,58.1,138.2,125.1,97.9
230,N,1979.0,166.6,137.5,138.0,101.5,134.4,149.5,159.4,142.2,188.4,186.2,183.3
231,N,1980.0,159.6,155.0,126.2,164.1,179.9,157.3,136.3,135.4,155.0,164.7,147.9
232,N,1981.0,114.0,141.3,135.5,156.4,127.5,90.0,143.8,158.7,167.3,162.4,137.5
233,N,1982.0,111.2,163.6,153.8,122.0,82.2,110.4,106.1,107.6,118.8,94.7,98.1
234,P,1983.0,84.3,51.0,66.5,80.7,99.2,91.1,82.2,71.8,50.3,55.8,33.3
