,chg_num,mcg_num,alm1_num,gvh_num
227,0.5,0.69,0.74,0.43
228,0.5,0.79,0.82,0.36
229,0.5,0.78,0.77,0.33
230,0.5,0.75,0.7,0.37
231,0.5,0.59,0.75,0.29
232,0.5,0.67,0.64,0.37
233,0.5,0.66,0.7,0.48
234,0.5,0.64,0.73,0.46
235,0.5,0.76,0.71,0.71
236,0.5,0.84,0.78,0.49
237,0.5,0.77,0.78,0.55
238,0.5,0.81,0.67,0.44
239,0.5,0.58,0.73,0.6
240,0.5,0.63,0.77,0.42
241,0.5,0.62,0.79,0.42
242,0.5,0.86,0.89,0.39
243,0.5,0.81,0.87,0.53
244,0.5,0.87,0.76,0.49
245,0.5,0.47,0.74,0.46
246,0.5,0.76,0.59,0.41
247,0.5,0.7,0.86,0.53
248,0.5,0.64,0.61,0.45
249,0.5,0.81,0.78,0.52
250,0.5,0.73,0.75,0.26
251,0.5,0.49,0.71,0.61
252,0.5,0.88,0.73,0.42
253,0.5,0.84,0.92,0.54
254,0.5,0.63,0.72,0.51
255,0.5,0.86,0.81,0.55
256,0.5,0.79,0.66,0.54
257,0.5,0.57,0.49,0.38
258,0.5,0.78,0.73,0.44
259,0.5,0.78,0.4,0.68
260,0.5,0.63,0.41,0.69
261,0.5,0.67,0.5,0.88
262,0.5,0.61,0.33,0.75
263,0.5,0.67,0.54,0.84
264,0.5,0.74,0.53,0.9
265,0.5,0.73,0.58,0.84
266,0.5,0.75,0.57,0.76
267,0.5,0.77,0.53,0.57
268,0.5,0.74,0.54,0.78
269,0.5,0.68,0.45,0.76
270,0.5,0.56,0.36,0.68
271,0.5,0.65,0.54,0.51
272,0.5,0.52,0.38,0.81
273,0.5,0.64,0.33,0.57
274,0.5,0.6,0.59,0.76
275,0.5,0.69,0.39,0.59
276,0.5,0.63,0.45,0.49
277,0.5,0.71,0.43,0.71
278,0.5,0.68,0.4,0.63
279,0.5,0.77,0.54,0.57
280,0.5,0.66,0.56,0.49
281,0.5,0.71,0.59,0.46
282,0.5,0.67,0.58,0.55
283,0.5,0.68,0.55,0.49
284,0.5,0.74,0.54,0.49
285,0.5,0.7,0.52,0.61
286,0.5,0.66,0.41,0.86
287,0.5,0.73,0.51,0.78
288,0.5,0.65,0.47,0.57
289,0.5,0.72,0.55,0.86
290,0.5,0.67,0.45,0.7
291,0.5,0.67,0.49,0.81
292,0.5,0.67,0.37,0.61
293,0.5,0.63,0.51,1.0
294,0.5,0.57,0.47,0.59
295,0.5,0.71,0.54,0.71
296,0.5,0.66,0.38,0.74
297,0.5,0.67,0.42,0.81
298,0.5,0.64,0.42,0.72
299,0.5,0.68,0.65,0.82
300,0.5,0.32,0.28,0.39
301,0.5,0.7,0.51,0.64
302,0.5,0.63,0.7,0.57
303,0.5,0.74,0.49,0.82
304,0.5,0.63,0.47,0.86
305,0.5,0.63,0.39,0.83
306,0.5,0.63,0.4,0.71
307,0.5,0.71,0.54,0.86
308,0.5,0.68,0.44,0.78
309,0.5,0.64,0.45,0.84
310,0.5,0.74,0.57,0.47
311,0.5,0.75,0.52,0.84
312,0.5,0.63,0.44,0.65
313,0.5,0.69,0.39,0.67
314,0.5,0.7,0.84,0.71
315,0.5,0.69,0.57,0.8
316,0.5,0.64,0.39,0.66
317,0.5,0.63,0.31,0.8
318,0.5,0.66,0.5,0.71
319,0.5,0.69,0.44,0.59
320,0.5,0.68,0.4,0.67
321,0.5,0.64,0.36,0.78
322,0.5,0.62,0.49,0.78
323,0.5,0.76,0.39,0.73
324,0.5,0.64,0.39,0.81
325,0.5,0.29,0.4,0.39
326,0.5,0.62,0.36,0.83
327,0.5,0.56,0.37,0.54
328,0.5,0.69,0.5,0.66
329,0.5,0.69,0.48,0.65
330,0.5,0.43,0.49,0.59
331,0.5,0.74,0.68,0.56
332,0.5,0.71,0.35,0.57
333,0.5,0.61,0.39,0.6
334,0.5,0.59,0.42,0.61
335,0.5,0.74,0.53,0.74
