,x3_num,x2_num,x23_num,x38_num,x17_num,x28_num,x19_num,x34_num,x30_num,x22_num,x21_num,x32_num,x27_num,x33_num,x29_num,x31_num,x40_num,x4_num,x14_num,x10_num
17,-0.87,-1.26,-0.71,0.35,3.19,-0.58,2.19,-2.63,-1.44,-1.19,0.45,1.79,0.07,-0.01,-0.27,1.19,-0.98,0.83,4.71,3.01
18,1.27,1.31,1.81,-0.38,-0.73,1.17,0.49,0.75,-0.44,-1.4,-1.29,-1.17,-1.61,-0.47,1.62,-1.05,-1.53,1.55,0.03,3.64
19,-0.18,1.01,0.62,-1.96,1.65,0.18,0.45,-1.66,-1.07,-0.71,2.44,-0.44,0.23,-0.09,-0.71,0.95,0.4,0.68,3.33,2.8
20,-1.39,-1.42,-0.16,1.05,-0.47,-0.94,-1.94,1.03,-0.51,-0.52,-0.01,0.9,0.56,-1.14,0.28,0.61,1.33,2.87,3.31,5.59
21,0.14,0.08,0.31,-1.52,1.64,1.17,0.45,0.66,-0.29,-0.29,1.78,-0.21,0.53,1.0,-1.26,0.64,-0.74,0.45,3.33,1.63
22,-0.22,2.45,-0.06,-0.64,1.01,-1.84,0.5,0.04,0.59,0.3,-1.14,0.05,-0.07,1.48,-0.03,0.58,0.83,3.77,1.66,2.23
23,1.56,1.78,-0.82,0.42,2.54,0.73,-0.26,0.52,-0.67,0.32,0.32,1.24,1.18,-0.36,0.42,0.69,0.69,0.69,5.24,1.41
24,1.62,-0.02,0.79,-0.83,-0.61,0.02,0.15,2.46,-0.6,1.19,1.22,-0.32,-0.22,1.6,-0.15,0.71,-0.55,1.42,-1.69,3.68
25,1.03,1.62,-1.49,0.05,-0.7,-0.35,1.48,0.19,-1.81,1.62,-0.16,-0.12,-0.68,1.58,0.49,-0.03,0.18,2.16,-0.39,4.43
26,-0.2,-0.19,-0.57,0.83,0.71,-0.28,1.41,-0.66,-0.81,0.16,0.04,0.59,0.47,-2.12,1.13,1.25,0.24,-0.03,5.4,3.03
27,1.09,-0.99,1.45,0.01,2.02,0.61,0.42,0.03,-0.62,0.36,-1.1,-0.86,1.47,0.2,1.5,1.19,1.08,1.32,0.02,1.81
28,2.23,1.65,1.94,-2.53,2.34,0.28,1.67,-0.2,0.49,-1.21,-0.07,0.02,-0.43,-0.0,0.24,-0.17,1.71,0.37,1.91,0.84
29,0.45,0.75,0.07,-1.86,2.6,-0.7,1.3,-0.13,-1.37,0.42,0.33,2.86,1.28,-0.83,2.48,-1.38,-2.22,1.16,2.47,-0.03
30,1.02,-0.12,0.87,-1.78,3.71,0.2,2.51,-1.18,-0.96,-0.43,0.91,0.36,-0.7,-1.14,0.57,0.94,-2.08,-0.47,5.59,1.74
31,1.18,-0.62,0.04,-0.16,0.07,1.68,-1.71,0.12,0.28,-2.34,1.09,1.25,1.21,0.17,-0.87,-0.45,-2.01,0.48,1.57,3.99
32,-0.49,-1.01,0.21,0.53,3.89,0.23,1.42,1.14,0.76,0.73,-1.28,-0.33,1.69,1.22,-0.02,0.16,-0.81,0.29,1.68,2.82
33,0.47,-1.33,-0.53,-0.39,2.28,2.26,1.65,0.09,-0.46,-1.26,0.47,-0.14,-0.75,-1.19,-0.12,0.87,1.01,-0.44,3.99,3.16
34,-0.26,0.13,0.83,0.8,1.76,-0.89,0.9,-0.09,0.48,-1.6,-0.84,0.43,0.17,1.31,-0.75,-2.23,-1.26,0.61,4.8,4.08
35,0.7,1.09,1.53,-1.52,3.56,1.27,3.5,-1.3,-0.17,-0.99,0.61,-1.2,0.66,1.11,-0.94,0.12,0.74,-0.14,4.59,2.07
36,-0.53,-0.86,0.1,-0.13,0.12,0.07,-1.22,-0.48,-0.03,-0.44,-0.74,0.21,0.27,-0.52,-1.1,-0.45,0.89,1.98,0.87,4.9
37,-0.41,0.75,-2.2,1.49,1.55,-1.65,0.73,-0.73,-0.66,0.17,-0.49,0.39,0.36,-0.6,-1.28,-0.56,0.93,2.83,3.99,1.3
38,2.67,0.27,-0.38,0.17,0.78,0.76,1.36,1.08,0.18,0.19,-0.24,0.38,1.32,-1.35,-0.78,-0.54,-0.38,2.96,3.02,4.82
39,0.8,0.95,0.01,0.57,2.95,2.38,1.02,0.39,0.23,-0.68,-0.62,-0.11,-0.4,-1.19,-0.82,-0.39,-1.27,3.14,1.45,0.43
40,0.41,3.21,-1.19,-1.11,0.21,-0.09,-1.06,1.43,-0.02,-2.24,1.32,-0.74,-0.08,-1.94,-1.12,-0.73,-2.36,0.65,2.47,5.06
41,0.64,-0.38,0.41,1.9,2.22,0.98,2.11,-1.07,-1.28,-1.55,1.02,1.72,-0.23,-0.36,0.15,0.01,-0.91,0.57,2.35,1.44
42,-0.5,-1.34,1.4,0.3,2.04,1.16,1.92,-1.31,-0.37,-0.09,0.76,1.36,-0.37,0.02,-1.41,1.07,0.62,-0.76,3.05,1.93
43,1.99,0.13,1.14,-0.17,0.95,0.33,1.01,1.53,0.45,-1.05,0.22,2.17,-0.34,-1.69,-0.81,1.14,-0.06,-2.0,1.65,5.42
44,1.58,0.46,1.48,-0.39,-0.53,-0.21,-0.47,-1.27,-0.92,0.64,0.74,1.13,0.13,-0.15,0.44,-1.06,0.0,0.98,-0.05,3.69
45,0.6,0.94,0.15,-0.34,4.61,0.62,0.14,-1.29,0.86,-0.47,-0.86,-1.02,0.32,-1.03,-1.66,0.75,0.3,0.96,3.13,1.25
46,-2.51,0.36,-0.58,1.24,2.56,2.35,1.02,-0.91,-0.58,-2.53,-0.66,-0.67,1.04,-1.31,0.86,-0.74,0.5,0.52,5.22,1.27
47,0.24,0.56,-1.79,1.95,-0.63,-0.91,0.43,1.22,2.03,-0.14,-0.24,-0.73,-0.43,-0.06,0.52,0.28,0.95,0.77,2.99,6.73
48,0.89,-0.56,1.53,-0.22,-1.61,-0.33,-1.16,-0.09,0.39,-1.0,-1.58,0.08,0.58,-2.21,0.11,-0.64,-0.09,-0.47,3.22,4.22
49,-0.69,-0.03,-0.29,0.65,-0.49,-1.37,-1.91,-1.05,-1.88,0.82,1.11,0.04,-0.68,0.04,-0.31,0.69,-0.53,-1.47,3.9,6.08
50,-0.03,-0.03,0.18,-1.48,1.66,0.21,0.51,-0.4,-0.48,-0.83,-0.34,1.41,-0.92,1.09,2.15,-0.57,-1.11,0.07,3.63,3.21
51,0.16,-1.07,-0.41,0.94,2.67,2.05,2.2,0.42,0.07,-0.13,-2.09,-0.84,0.3,-0.44,0.79,-0.26,0.15,2.32,3.66,2.93
52,0.36,-0.19,-0.15,-0.35,2.96,-0.6,3.02,1.03,0.62,0.34,0.23,0.55,0.46,-0.48,-1.11,-1.16,0.11,0.43,2.69,2.39
53,2.97,0.81,-1.04,-0.16,3.32,-0.79,0.71,0.14,-1.02,0.38,1.76,0.75,-1.57,-0.2,1.75,-0.12,1.08,2.0,4.69,2.06
54,-1.76,-0.7,-0.64,0.11,0.17,-1.35,0.27,-1.92,-1.05,0.79,-0.7,0.4,1.82,1.44,0.81,-0.71,-0.16,1.08,2.97,5.53
55,-1.13,0.02,-0.09,-0.88,3.62,-0.44,0.09,0.36,-1.53,-0.88,-0.44,-0.35,-0.18,0.29,-0.95,-0.22,0.1,0.74,3.83,2.62
56,0.67,-2.16,-1.36,1.7,0.26,-1.68,0.95,-0.49,1.92,-0.7,0.84,-0.35,1.93,-2.63,-0.21,0.31,1.02,-0.72,2.97,2.69
57,0.16,-1.23,-0.81,0.02,0.92,-0.22,-0.28,0.87,-0.6,0.76,-0.93,-1.1,0.51,1.44,0.8,-0.76,-0.24,-0.88,3.64,5.12
58,0.89,0.59,-0.94,-0.17,-0.58,1.37,1.35,1.28,-0.94,-0.89,0.24,0.38,0.47,-0.02,-2.63,0.39,-0.13,0.77,3.12,4.45
59,0.94,0.75,-0.14,2.02,1.11,-0.0,0.73,-0.23,-1.78,-0.22,0.96,0.41,0.93,-0.16,-1.03,-0.94,-1.26,0.08,3.71,5.2
60,0.88,0.32,1.1,0.41,0.24,0.2,1.51,-1.14,0.33,0.81,0.5,1.45,3.39,0.97,1.78,2.29,1.71,-0.41,2.47,5.52
61,-0.59,0.31,-0.63,0.63,4.24,1.48,1.83,0.28,-0.81,0.77,0.83,-0.58,0.35,-0.92,-0.11,0.69,0.01,-0.37,4.23,3.48
62,0.9,1.59,-0.09,0.16,0.11,-0.17,0.24,1.0,0.04,0.19,0.65,0.18,0.36,1.08,2.21,-0.17,-0.04,-0.14,2.33,5.14
63,0.91,1.22,0.39,0.96,-0.08,0.62,-1.27,0.79,0.33,0.22,0.28,-0.0,0.53,2.7,0.31,0.11,-1.53,4.47,-1.19,2.37
64,-0.84,0.92,-1.23,0.44,-1.89,0.62,-1.19,0.79,0.48,0.84,1.17,-0.52,2.43,0.39,1.51,0.85,1.43,1.5,2.13,3.88
65,0.93,0.09,-0.36,0.3,2.09,2.57,0.31,1.18,-0.01,2.12,0.56,-0.4,-0.83,-0.18,-1.01,-1.39,-0.83,1.89,3.09,0.7
66,1.2,-0.43,0.37,-0.02,0.36,2.3,1.69,1.73,-2.03,0.94,0.22,0.14,3.27,-0.19,0.52,0.92,-0.45,1.37,2.92,3.1
67,2.2,0.67,0.84,-1.23,-1.35,-0.71,-0.58,0.84,0.62,1.26,-0.41,0.7,0.88,0.21,-1.57,0.64,0.5,2.28,-0.94,2.15
68,0.09,0.57,-0.0,1.26,2.27,-0.43,3.5,-3.2,0.99,0.01,0.17,1.08,-1.86,-0.25,-1.34,2.02,-0.62,0.19,2.3,4.11
69,2.43,0.44,1.21,-0.33,-1.61,0.85,-0.05,0.72,-0.29,-0.17,-0.28,1.61,0.16,-2.17,0.43,0.23,-2.24,2.52,1.5,4.02
70,1.49,1.27,0.15,-0.04,1.62,1.24,-1.19,0.17,-0.7,0.1,0.32,-0.81,0.71,0.46,0.52,-0.22,-0.75,2.79,1.66,4.6
71,-0.28,0.34,1.63,1.18,0.5,-0.85,-1.22,0.54,1.82,-0.71,-0.53,0.78,0.63,0.22,0.11,-0.51,0.64,-0.2,3.16,5.42
72,0.59,0.68,-1.62,1.86,2.35,-0.95,0.33,0.53,0.03,1.11,0.12,-0.15,-1.75,-1.21,0.78,0.78,1.89,0.49,4.76,3.19
73,1.18,0.29,0.19,1.43,2.76,0.03,2.79,0.31,1.05,1.22,1.33,-0.98,0.6,-0.33,-0.36,-2.73,1.34,3.16,2.32,2.05
74,1.25,1.52,-0.24,0.09,1.56,-0.2,-1.5,-0.8,-0.1,-1.87,1.74,0.26,0.74,-0.86,-1.12,-1.07,1.35,1.82,0.52,2.49
75,0.16,0.14,0.01,1.58,3.04,0.69,2.24,1.86,0.4,-0.7,-0.38,-0.28,1.33,-0.03,0.68,-1.07,-0.23,1.11,3.56,1.06
76,2.27,1.8,-1.09,-0.72,1.65,-2.11,-0.34,-1.74,0.98,0.15,-0.79,-0.4,0.8,1.4,1.68,0.92,-0.02,2.64,2.3,1.26
77,0.5,-0.57,0.0,1.51,-0.32,-0.65,-0.07,-1.91,0.23,0.97,1.45,0.11,0.1,-2.03,-0.82,-0.29,-0.41,0.61,2.16,6.13
78,0.35,1.2,0.58,-0.39,1.44,0.95,1.48,0.38,0.45,-0.42,-0.61,-0.59,0.58,0.4,0.64,-0.55,0.17,0.06,2.83,1.35
79,0.55,-0.03,-0.78,0.87,0.06,-1.91,-0.3,-0.58,1.07,-0.69,1.77,1.1,0.26,1.08,1.58,-0.03,-0.27,-0.44,0.97,5.43
80,-0.79,-0.31,-0.1,0.72,1.41,0.26,0.12,-0.3,0.46,2.09,0.13,-0.37,1.18,-1.75,-1.06,-1.68,0.7,-1.17,3.91,1.76
81,-0.69,0.59,-1.39,0.75,-0.41,-1.08,0.4,0.79,-2.25,-0.08,0.53,-1.22,0.54,0.23,0.74,-1.02,-0.74,0.22,3.93,6.0
82,1.8,-1.47,-0.31,-0.38,-0.41,-0.44,-0.13,1.06,0.24,-0.79,0.99,-0.69,-1.09,0.95,1.08,-0.05,1.04,0.61,2.88,3.26
83,1.12,-2.44,-0.94,0.54,1.77,-1.29,1.91,0.12,-0.41,-0.51,-0.92,1.7,1.56,-0.34,2.02,1.46,1.0,1.55,0.43,3.67
84,0.01,-1.98,-1.44,-0.41,4.43,0.32,-1.18,-0.48,0.25,-0.69,-1.1,0.56,0.77,0.82,-0.03,0.68,-1.0,0.6,4.6,1.36
85,2.67,2.12,-1.36,0.08,0.81,-0.75,1.64,1.32,-0.69,0.56,-1.35,-0.39,0.73,0.8,-0.82,-1.56,1.68,2.34,0.34,1.43
86,-0.7,1.56,0.28,0.5,-1.0,-1.23,-1.58,-1.91,0.41,-1.1,0.11,2.19,-0.25,0.2,-0.2,0.45,1.25,2.28,2.47,2.86
87,1.72,1.27,0.89,0.23,3.25,-1.98,0.95,1.25,0.24,-0.84,0.4,1.21,1.18,0.75,-0.49,-0.29,-0.33,4.16,3.35,2.66
88,-1.11,0.73,-0.31,-0.08,3.78,0.72,3.11,0.37,1.31,-0.9,-1.09,-1.11,0.77,0.22,0.55,0.19,0.14,-0.24,6.03,2.17
89,1.36,-0.37,0.3,-2.11,3.67,0.14,2.01,0.33,-1.11,-0.85,0.07,-0.81,-1.27,-0.18,-0.64,-0.83,-0.33,0.44,6.05,0.15
90,1.78,1.69,2.05,-0.75,-0.03,-0.45,0.85,0.2,-2.09,-0.55,1.03,-0.14,0.63,1.07,1.6,-0.89,-0.54,1.52,0.82,4.86
91,1.27,-0.67,1.35,-1.16,-0.2,0.93,-0.13,0.43,0.94,-0.18,0.34,-0.39,-0.73,1.51,2.27,-1.08,-1.47,1.62,2.98,4.43
92,0.32,1.09,-1.25,-0.32,0.39,0.39,0.27,-0.27,0.26,-0.39,-0.45,0.84,-2.01,1.46,-1.13,0.01,-0.57,2.83,0.85,4.95
93,1.15,0.9,-1.14,0.71,2.19,-1.1,0.19,-0.25,-0.67,-0.57,-1.53,-1.16,1.59,-0.23,-0.58,-1.87,0.86,0.31,0.81,2.7
94,1.26,1.34,-0.25,0.12,1.85,-1.29,2.39,-1.04,0.12,0.23,0.92,-1.73,-0.85,0.58,0.13,0.44,-1.22,-1.49,1.65,0.97
95,1.15,1.95,0.24,0.52,0.04,-0.03,0.51,-0.18,1.8,-0.82,1.6,0.0,0.37,0.84,0.38,0.84,-0.01,3.06,0.15,2.26
96,-0.19,-0.04,-0.39,2.54,0.52,1.27,0.88,0.86,-0.2,-2.5,-1.58,-0.36,-0.01,-0.23,0.42,1.06,-1.09,-0.77,3.97,3.47
97,0.59,0.33,-0.23,-2.55,0.71,1.56,-1.77,1.31,1.18,-1.65,-0.46,2.06,-0.35,0.62,-0.83,-0.45,-1.7,0.57,2.02,3.25
98,0.86,1.22,-1.12,1.63,1.79,0.06,0.39,0.21,0.97,0.44,-1.22,0.41,0.53,-0.5,1.63,-1.17,1.19,0.97,2.29,1.77
99,-0.27,1.0,-0.45,-0.21,1.0,2.07,-0.78,1.72,0.39,-0.08,-2.0,1.85,0.29,-0.23,0.07,-0.45,0.47,-0.3,3.32,3.48
100,1.02,0.87,0.07,2.56,-0.55,-1.41,0.09,-0.41,0.89,-1.03,-0.57,1.53,-1.89,0.61,0.89,-0.51,-0.28,4.1,1.83,3.45
101,0.18,0.14,0.27,0.58,-0.39,1.36,0.76,-1.94,-1.92,-0.58,0.09,-1.06,-0.6,-0.05,0.15,-0.77,-0.38,5.18,-0.54,2.6
102,0.44,1.53,0.73,-0.12,1.62,0.42,-0.92,1.68,-0.88,1.14,1.95,0.4,2.7,1.09,-0.14,1.2,0.28,2.75,3.59,2.23
103,2.25,0.05,1.39,-1.23,-0.34,-0.75,0.02,-0.65,-0.67,1.1,1.22,1.03,-0.07,1.29,-0.11,-2.09,-1.23,1.3,1.72,3.93
104,0.1,0.25,-0.21,0.68,-0.37,0.65,0.35,0.47,1.65,-0.03,0.14,-1.18,-0.53,0.42,0.48,1.1,0.76,0.66,4.38,3.52
105,-0.15,0.98,-0.86,0.22,5.19,1.86,1.23,1.15,-0.22,-0.0,0.05,-0.14,-0.15,0.98,-0.07,-0.89,-0.1,-0.9,6.66,1.87
106,0.12,0.16,-0.67,0.85,0.18,0.11,1.19,0.13,0.36,-0.63,-0.67,1.03,0.46,0.56,1.48,0.37,0.73,0.36,5.11,3.45
107,-1.26,-0.0,0.06,-0.48,2.96,-1.16,1.45,0.12,1.02,0.73,-1.0,0.55,-0.24,0.02,1.03,0.07,0.69,0.07,5.15,1.86
108,-0.41,1.73,-1.12,-0.34,3.67,-0.25,2.39,0.61,0.57,-0.13,-2.35,1.77,0.9,-1.31,1.95,1.23,-0.0,1.03,2.23,1.7
109,0.81,1.97,-2.58,-2.35,1.28,2.23,-0.71,0.77,-0.04,1.46,0.5,-0.9,-0.1,-1.38,0.42,-1.69,0.15,3.78,1.56,4.36
110,-0.4,0.22,1.14,-0.12,2.31,-0.98,4.0,1.21,1.5,0.35,-0.31,0.09,-0.89,-0.57,1.31,-0.19,-0.55,-0.72,4.25,0.98
111,1.85,-0.4,0.36,-0.53,-1.48,0.1,-1.18,-0.62,-0.7,-0.61,-1.69,0.2,-0.16,0.13,0.6,0.99,-1.73,2.21,0.23,4.48
112,0.62,0.86,-1.13,0.4,1.41,0.1,1.17,0.24,0.57,-0.96,-0.3,2.42,1.6,2.95,1.85,-1.36,-0.71,1.58,2.66,1.74
113,2.8,-0.65,-0.83,-1.23,0.74,0.91,0.28,-0.55,-0.26,0.05,-1.57,-1.14,0.78,0.22,-0.15,1.73,-0.46,0.23,0.65,2.15
114,0.21,0.81,-0.64,0.19,1.31,-0.01,-0.17,0.48,0.09,-0.03,-0.28,-0.07,0.85,-1.3,-0.12,0.27,0.23,-0.55,2.25,5.37
115,0.85,2.28,-1.21,-1.75,4.04,-0.51,-0.21,-1.45,1.7,-0.9,-0.38,1.83,-0.16,-0.13,0.51,-0.55,1.16,0.15,4.78,1.59
116,1.04,-0.23,-0.79,-1.01,2.14,0.28,-0.73,0.32,-0.59,0.05,2.9,-0.82,1.24,-0.16,0.12,-0.01,-1.11,-2.01,3.03,4.13
117,0.92,0.11,-0.51,0.61,0.18,-0.57,1.9,-0.95,-1.84,1.59,-0.78,0.03,0.53,0.91,0.57,-0.18,1.2,0.49,1.71,3.63
118,-0.41,0.11,-0.27,-1.45,-2.33,-0.07,0.41,1.24,0.33,-1.69,1.32,1.23,0.4,0.72,-0.68,1.29,0.12,1.88,0.93,5.04
119,1.57,-0.67,-1.16,-0.71,0.58,-0.75,-1.0,1.0,-0.75,-1.88,-0.05,0.99,-1.19,0.55,1.74,0.14,0.33,2.85,1.85,2.37
120,0.74,1.14,0.08,-1.18,-0.26,-1.85,0.62,-0.35,-0.14,-1.4,0.78,-1.51,0.54,0.18,-0.86,0.01,0.84,-0.2,1.95,3.01
121,1.19,2.46,-0.96,-0.19,1.03,-0.95,-0.88,-0.23,2.34,0.22,-0.33,-1.68,-0.4,-0.44,2.11,-0.5,1.03,2.24,1.46,5.98
122,0.42,0.11,0.21,0.15,1.37,2.83,1.0,0.45,-1.17,-0.67,-1.04,-0.03,0.56,2.38,0.18,-0.33,0.01,0.55,2.05,2.73
123,-2.91,0.5,-0.84,-0.48,2.14,-1.41,1.06,0.42,-2.25,-1.56,-0.22,0.36,-1.82,1.59,-0.48,0.41,-1.11,-0.08,4.38,1.97
124,0.25,0.8,0.18,0.05,0.7,-0.86,0.48,0.24,2.03,-1.01,-0.68,0.01,-0.6,0.4,1.92,1.02,-0.49,0.17,4.28,4.44
125,1.86,-1.56,2.44,-0.05,1.56,-0.73,-0.56,-0.82,0.22,0.14,-0.53,1.29,0.52,0.75,-0.42,0.81,-0.57,-1.65,2.9,2.38
126,1.3,0.27,-0.02,-0.36,2.65,1.63,1.09,-0.22,0.33,0.72,1.47,-0.18,0.81,0.2,-0.57,-0.2,-0.59,-0.72,4.55,2.19
127,1.07,-0.58,-0.78,-0.23,5.11,0.25,2.61,1.05,2.32,-0.71,0.66,-0.6,0.22,1.03,-1.02,1.83,0.53,0.81,5.74,0.6
128,2.09,0.55,-0.96,-1.65,0.64,-0.11,-1.06,-0.51,-0.36,0.72,0.02,1.41,-0.41,-1.78,0.12,0.25,-0.75,2.57,-1.55,3.1
129,-0.76,-0.45,-0.46,1.2,-0.28,-0.85,0.46,2.22,1.07,0.46,-0.28,0.59,0.2,1.27,-0.08,-0.23,0.64,0.95,1.67,3.65
130,-1.36,0.65,-1.12,0.09,0.93,-0.97,1.04,0.56,-0.01,1.8,0.39,-0.38,0.12,-0.18,1.03,0.82,-1.04,2.21,2.32,1.67
131,0.58,-0.03,-0.27,-0.34,2.46,-0.01,1.95,1.6,0.14,-0.68,0.4,-1.16,-1.99,-0.79,-0.1,-0.9,-1.25,0.66,3.96,3.08
132,-1.5,-0.34,-0.0,-1.17,-0.25,-1.06,0.54,0.55,0.81,0.37,-0.64,-0.88,-0.06,-1.01,-0.92,-0.91,0.15,0.01,4.75,3.46
133,1.12,0.46,-1.68,-0.36,2.53,0.71,2.22,-0.28,0.14,-0.02,0.31,0.31,0.39,0.1,0.4,-1.65,-0.77,0.74,2.69,-0.83
134,-1.94,0.73,1.02,1.03,-1.18,-0.1,0.09,-0.27,0.78,1.66,-0.46,-0.35,-0.04,0.04,-0.46,0.22,1.16,1.95,2.41,4.28
135,-1.02,-0.59,-0.56,0.76,4.57,-0.12,2.19,0.49,0.92,-0.01,1.35,-1.87,-0.18,1.49,0.87,-0.35,0.24,0.25,4.43,1.66
136,1.49,1.7,-1.38,1.09,2.51,0.13,-0.38,-0.71,-0.89,-0.65,0.86,0.37,-1.21,0.12,0.58,-0.37,0.83,3.47,3.01,1.82
137,1.26,0.98,-0.26,-0.43,2.22,0.21,0.0,-0.59,-1.0,-0.63,0.15,-0.91,-0.18,0.35,0.75,1.49,-0.81,0.59,2.58,3.99
138,2.24,1.88,-0.44,0.81,1.49,0.29,0.51,-0.02,-0.64,0.11,0.07,-1.89,1.63,1.49,-0.39,-0.74,0.46,2.91,2.3,1.96
139,-0.09,0.7,0.85,1.42,4.65,-1.23,3.26,-1.62,0.3,-1.29,1.19,-0.48,0.61,2.0,-0.32,1.29,1.18,-0.31,3.66,1.79
140,0.83,2.28,0.8,-1.17,1.59,1.63,-0.4,0.1,-0.89,0.75,-1.89,-1.3,0.03,1.01,0.27,-0.74,1.26,2.15,2.51,4.82
141,1.39,-0.5,1.64,1.84,1.07,-0.54,1.84,0.61,1.06,1.92,-0.34,-0.13,-0.63,-0.79,-0.55,0.32,0.38,0.9,3.75,3.63
142,3.81,0.79,0.31,0.18,0.3,-0.33,-1.03,-0.6,-0.16,-0.61,-0.11,-0.26,-1.15,1.03,-0.94,0.02,-0.7,2.72,-0.35,2.75
143,0.94,-0.6,-0.9,0.92,1.82,-1.35,1.2,-0.75,0.01,1.29,0.08,0.69,0.55,-0.18,1.41,0.1,-1.06,-1.13,3.65,3.11
144,-0.51,0.11,0.92,-0.08,1.48,0.16,0.33,-0.05,-1.04,-1.32,-0.2,0.92,0.8,0.71,1.22,-0.67,-0.58,-0.74,3.83,2.9
145,1.46,-0.04,0.32,-1.14,1.19,0.0,1.34,-1.74,0.15,-0.47,0.87,1.56,-0.38,-0.28,-0.62,-1.72,1.77,2.55,0.01,2.68
146,0.21,-1.01,-1.29,-1.19,0.12,-0.11,-0.34,-0.81,0.04,-0.26,1.23,1.95,-1.64,0.09,0.33,0.1,0.61,0.92,2.57,4.96
147,0.96,0.51,-1.88,-0.84,0.39,1.93,-0.73,0.3,0.66,-0.1,-0.22,0.28,2.07,-0.13,0.87,-0.35,-1.76,3.51,0.29,2.42
148,0.39,1.52,0.63,-0.89,2.4,0.25,1.17,-1.04,-1.06,0.95,-1.59,0.15,1.24,-1.17,-0.87,-0.76,1.0,1.49,2.63,1.16
149,0.95,1.11,0.48,-0.24,1.13,0.72,0.09,0.61,1.26,0.59,-0.75,0.38,0.64,-0.3,-0.34,-0.15,-1.87,0.7,0.38,2.11
150,2.56,1.71,-0.03,-1.47,3.29,0.12,-0.22,2.95,-0.15,1.22,-0.82,0.65,0.25,-0.37,-1.04,0.82,0.74,3.8,-0.14,2.9
151,0.29,1.16,-0.61,0.04,-1.1,-0.48,1.27,1.04,-0.44,-1.59,0.44,0.24,-2.33,-0.52,2.29,0.82,0.48,0.16,3.06,3.27
152,2.83,0.86,-0.18,-0.58,0.71,-0.75,-1.0,1.03,1.89,-0.49,0.27,0.08,0.33,0.96,0.65,-0.59,1.6,3.32,0.58,3.05
