,binaryClass_cat,cylinders_cat,displacement_num,horsepower_num,weight_num,acceleration_num,model_cat,origin_cat
76,P,4,121.0,112.0,2933.0,14.5,72,2
77,P,4,121.0,76.0,2511.0,18.0,72,2
78,P,4,120.0,87.0,2979.0,19.5,72,2
79,N,4,96.0,69.0,2189.0,18.0,72,2
80,P,4,122.0,86.0,2395.0,16.0,72,1
81,N,4,97.0,92.0,2288.0,17.0,72,3
82,P,4,120.0,97.0,2506.0,14.5,72,3
83,N,4,98.0,80.0,2164.0,15.0,72,1
84,N,4,97.0,88.0,2100.0,16.5,72,3
85,P,8,350.0,175.0,4100.0,13.0,73,1
86,P,8,304.0,150.0,3672.0,11.5,73,1
87,P,8,350.0,145.0,3988.0,13.0,73,1
88,P,8,302.0,137.0,4042.0,14.5,73,1
89,P,8,318.0,150.0,3777.0,12.5,73,1
90,P,8,429.0,198.0,4952.0,11.5,73,1
91,P,8,400.0,150.0,4464.0,12.0,73,1
92,P,8,351.0,158.0,4363.0,13.0,73,1
93,P,8,318.0,150.0,4237.0,14.5,73,1
94,P,8,440.0,215.0,4735.0,11.0,73,1
95,P,8,455.0,225.0,4951.0,11.0,73,1
96,P,8,360.0,175.0,3821.0,11.0,73,1
97,P,6,225.0,105.0,3121.0,16.5,73,1
98,P,6,250.0,100.0,3278.0,18.0,73,1
99,P,6,232.0,100.0,2945.0,16.0,73,1
100,P,6,250.0,88.0,3021.0,16.5,73,1
101,P,6,198.0,95.0,2904.0,16.0,73,1
102,N,4,97.0,46.0,1950.0,21.0,73,2
103,P,8,400.0,150.0,4997.0,14.0,73,1
104,P,8,400.0,167.0,4906.0,12.5,73,1
105,P,8,360.0,170.0,4654.0,13.0,73,1
106,P,8,350.0,180.0,4499.0,12.5,73,1
107,P,6,232.0,100.0,2789.0,15.0,73,1
108,P,4,97.0,88.0,2279.0,19.0,73,3
109,P,4,140.0,72.0,2401.0,19.5,73,1
110,P,4,108.0,94.0,2379.0,16.5,73,3
111,P,3,70.0,90.0,2124.0,13.5,73,3
112,P,4,122.0,85.0,2310.0,18.5,73,1
113,P,6,155.0,107.0,2472.0,14.0,73,1
114,N,4,98.0,90.0,2265.0,15.5,73,2
115,P,8,350.0,145.0,4082.0,13.0,73,1
116,P,8,400.0,230.0,4278.0,9.5,73,1
117,N,4,68.0,49.0,1867.0,19.5,73,2
118,N,4,116.0,75.0,2158.0,15.5,73,2
119,P,4,114.0,91.0,2582.0,14.0,73,2
120,P,4,121.0,112.0,2868.0,15.5,73,2
121,P,8,318.0,150.0,3399.0,11.0,73,1
122,N,4,121.0,110.0,2660.0,14.0,73,2
123,P,6,156.0,122.0,2807.0,13.5,73,3
124,P,8,350.0,180.0,3664.0,11.0,73,1
125,P,6,198.0,95.0,3102.0,16.5,74,1
126,P,6,200.0,,2875.0,17.0,74,1
127,P,6,232.0,100.0,2901.0,16.0,74,1
128,P,6,250.0,100.0,3336.0,17.0,74,1
129,N,4,79.0,67.0,1950.0,19.0,74,3
130,N,4,122.0,80.0,2451.0,16.5,74,1
131,N,4,71.0,65.0,1836.0,21.0,74,3
132,N,4,140.0,75.0,2542.0,17.0,74,1
133,P,6,250.0,100.0,3781.0,17.0,74,1
134,P,6,258.0,110.0,3632.0,18.0,74,1
135,P,6,225.0,105.0,3613.0,16.5,74,1
136,P,8,302.0,140.0,4141.0,14.0,74,1
137,P,8,350.0,150.0,4699.0,14.5,74,1
138,P,8,318.0,150.0,4457.0,13.5,74,1
139,P,8,302.0,140.0,4638.0,16.0,74,1
140,P,8,304.0,150.0,4257.0,15.5,74,1
141,N,4,98.0,83.0,2219.0,16.5,74,2
142,N,4,79.0,67.0,1963.0,15.5,74,2
143,N,4,97.0,78.0,2300.0,14.5,74,2
144,N,4,76.0,52.0,1649.0,16.5,74,3
145,N,4,83.0,61.0,2003.0,19.0,74,3
146,N,4,90.0,75.0,2125.0,14.5,74,1
147,N,4,90.0,75.0,2108.0,15.5,74,2
148,N,4,116.0,75.0,2246.0,14.0,74,2
149,N,4,120.0,97.0,2489.0,15.0,74,3
150,N,4,108.0,93.0,2391.0,15.5,74,3
151,N,4,79.0,67.0,2000.0,16.0,74,2
152,P,6,225.0,95.0,3264.0,16.0,75,1
153,P,6,250.0,105.0,3459.0,16.0,75,1
154,P,6,250.0,72.0,3432.0,21.0,75,1
155,P,6,250.0,72.0,3158.0,19.5,75,1
156,P,8,400.0,170.0,4668.0,11.5,75,1
157,P,8,350.0,145.0,4440.0,14.0,75,1
158,P,8,318.0,150.0,4498.0,14.5,75,1
159,P,8,351.0,148.0,4657.0,13.5,75,1
160,P,6,231.0,110.0,3907.0,21.0,75,1
161,P,6,250.0,105.0,3897.0,18.5,75,1
162,P,6,258.0,110.0,3730.0,19.0,75,1
163,P,6,225.0,95.0,3785.0,19.0,75,1
164,P,6,231.0,110.0,3039.0,15.0,75,1
165,P,8,262.0,110.0,3221.0,13.5,75,1
166,P,8,302.0,129.0,3169.0,12.0,75,1
167,N,4,97.0,75.0,2171.0,16.0,75,3
168,P,4,140.0,83.0,2639.0,17.0,75,1
169,P,6,232.0,100.0,2914.0,16.0,75,1
170,P,4,140.0,78.0,2592.0,18.5,75,1
171,N,4,134.0,96.0,2702.0,13.5,75,3
172,N,4,90.0,71.0,2223.0,16.5,75,2
173,N,4,119.0,97.0,2545.0,17.0,75,3
174,P,6,171.0,97.0,2984.0,14.5,75,1
175,N,4,90.0,70.0,1937.0,14.0,75,2
176,P,6,232.0,90.0,3211.0,17.0,75,1
177,P,4,115.0,95.0,2694.0,15.0,75,2
178,P,4,120.0,88.0,2957.0,17.0,75,2
179,P,4,121.0,98.0,2945.0,14.5,75,2
180,N,4,121.0,115.0,2671.0,13.5,75,2
181,N,4,91.0,53.0,1795.0,17.5,75,3
182,N,4,107.0,86.0,2464.0,15.5,76,2
183,N,4,116.0,81.0,2220.0,16.9,76,2
184,N,4,140.0,92.0,2572.0,14.9,76,1
185,N,4,98.0,79.0,2255.0,17.7,76,1
186,N,4,101.0,83.0,2202.0,15.3,76,2
187,P,8,305.0,140.0,4215.0,13.0,76,1
188,P,8,318.0,150.0,4190.0,13.0,76,1
189,P,8,304.0,120.0,3962.0,13.9,76,1
190,P,8,351.0,152.0,4215.0,12.8,76,1
191,P,6,225.0,100.0,3233.0,15.4,76,1
192,P,6,250.0,105.0,3353.0,14.5,76,1
193,N,6,200.0,81.0,3012.0,17.6,76,1
194,P,6,232.0,90.0,3085.0,17.6,76,1
195,N,4,85.0,52.0,2035.0,22.2,76,1
196,N,4,98.0,60.0,2164.0,22.1,76,1
197,N,4,90.0,70.0,1937.0,14.2,76,2
198,N,4,91.0,53.0,1795.0,17.4,76,3
199,P,6,225.0,100.0,3651.0,17.7,76,1
200,P,6,250.0,78.0,3574.0,21.0,76,1
201,P,6,250.0,110.0,3645.0,16.2,76,1
202,P,6,258.0,95.0,3193.0,17.8,76,1
203,N,4,97.0,71.0,1825.0,12.2,76,2
204,N,4,85.0,70.0,1990.0,17.0,76,3
205,N,4,97.0,75.0,2155.0,16.4,76,3
206,N,4,140.0,72.0,2565.0,13.6,76,1
207,P,4,130.0,102.0,3150.0,15.7,76,2
208,P,8,318.0,150.0,3940.0,13.2,76,1
209,P,4,120.0,88.0,3270.0,21.9,76,2
210,P,6,156.0,108.0,2930.0,15.5,76,3
211,P,6,168.0,120.0,3820.0,16.7,76,2
212,P,8,350.0,180.0,4380.0,12.1,76,1
213,P,8,350.0,145.0,4055.0,12.0,76,1
214,P,8,302.0,130.0,3870.0,15.0,76,1
215,P,8,318.0,150.0,3755.0,14.0,76,1
216,N,4,98.0,68.0,2045.0,18.5,77,3
217,N,4,111.0,80.0,2155.0,14.8,77,1
218,N,4,79.0,58.0,1825.0,18.6,77,2
219,N,4,122.0,96.0,2300.0,15.5,77,1
220,N,4,85.0,70.0,1945.0,16.8,77,3
221,P,8,305.0,145.0,3880.0,12.5,77,1
222,P,8,260.0,110.0,4060.0,19.0,77,1
223,P,8,318.0,145.0,4140.0,13.7,77,1
224,P,8,302.0,130.0,4295.0,14.9,77,1
225,P,6,250.0,110.0,3520.0,16.4,77,1
226,P,6,231.0,105.0,3425.0,16.9,77,1
227,P,6,225.0,100.0,3630.0,17.7,77,1
228,P,6,250.0,98.0,3525.0,19.0,77,1
229,P,8,400.0,180.0,4220.0,11.1,77,1
230,P,8,350.0,170.0,4165.0,11.4,77,1
231,P,8,400.0,190.0,4325.0,12.2,77,1
232,P,8,351.0,149.0,4335.0,14.5,77,1
233,N,4,97.0,78.0,1940.0,14.5,77,2
234,N,4,151.0,88.0,2740.0,16.0,77,1
235,N,4,97.0,75.0,2265.0,18.2,77,3
236,N,4,140.0,89.0,2755.0,15.8,77,1
237,N,4,98.0,63.0,2051.0,17.0,77,1
238,N,4,98.0,83.0,2075.0,15.9,77,1
239,N,4,97.0,67.0,1985.0,16.4,77,3
240,N,4,97.0,78.0,2190.0,14.1,77,2
241,P,6,146.0,97.0,2815.0,14.5,77,3
242,P,4,121.0,110.0,2600.0,12.8,77,2
243,P,3,80.0,110.0,2720.0,13.5,77,3
244,N,4,90.0,48.0,1985.0,21.5,78,2
245,N,4,98.0,66.0,1800.0,14.4,78,1
246,N,4,78.0,52.0,1985.0,19.4,78,3
247,N,4,85.0,70.0,2070.0,18.6,78,3
248,N,4,91.0,60.0,1800.0,16.4,78,3
249,P,8,260.0,110.0,3365.0,15.5,78,1
250,P,8,318.0,140.0,3735.0,13.2,78,1
251,P,8,302.0,139.0,3570.0,12.8,78,1
252,P,6,231.0,105.0,3535.0,19.2,78,1
253,P,6,200.0,95.0,3155.0,18.2,78,1
254,P,6,200.0,85.0,2965.0,15.8,78,1
255,N,4,140.0,88.0,2720.0,15.4,78,1
256,P,6,225.0,100.0,3430.0,17.2,78,1
257,P,6,232.0,90.0,3210.0,17.2,78,1
258,P,6,231.0,105.0,3380.0,15.8,78,1
259,P,6,200.0,85.0,3070.0,16.7,78,1
260,P,6,225.0,110.0,3620.0,18.7,78,1
261,P,6,258.0,120.0,3410.0,15.1,78,1
262,P,8,305.0,145.0,3425.0,13.2,78,1
263,P,6,231.0,165.0,3445.0,13.4,78,1
264,P,8,302.0,139.0,3205.0,11.2,78,1
265,P,8,318.0,140.0,4080.0,13.7,78,1
266,N,4,98.0,68.0,2155.0,16.5,78,1
267,N,4,134.0,95.0,2560.0,14.2,78,3
268,N,4,119.0,97.0,2300.0,14.7,78,3
269,N,4,105.0,75.0,2230.0,14.5,78,1
270,P,4,134.0,95.0,2515.0,14.8,78,3
271,P,4,156.0,105.0,2745.0,16.7,78,1
272,N,4,151.0,85.0,2855.0,17.6,78,1
273,N,4,119.0,97.0,2405.0,14.9,78,3
274,P,5,131.0,103.0,2830.0,15.9,78,2
275,P,6,163.0,125.0,3140.0,13.6,78,2
276,P,4,121.0,115.0,2795.0,15.7,78,2
277,P,6,163.0,133.0,3410.0,15.8,78,2
278,N,4,89.0,71.0,1990.0,14.9,78,2
279,N,4,98.0,68.0,2135.0,16.6,78,3
280,P,6,231.0,115.0,3245.0,15.4,79,1
281,P,6,200.0,85.0,2990.0,18.2,79,1
282,P,4,140.0,88.0,2890.0,17.3,79,1
283,P,6,232.0,90.0,3265.0,18.2,79,1
284,P,6,225.0,110.0,3360.0,16.6,79,1
285,P,8,305.0,130.0,3840.0,15.4,79,1
286,P,8,302.0,129.0,3725.0,13.4,79,1
287,P,8,351.0,138.0,3955.0,13.2,79,1
288,P,8,318.0,135.0,3830.0,15.2,79,1
289,P,8,350.0,155.0,4360.0,14.9,79,1
290,P,8,351.0,142.0,4054.0,14.3,79,1
291,P,8,267.0,125.0,3605.0,15.0,79,1
292,P,8,360.0,150.0,3940.0,13.0,79,1
293,N,4,89.0,71.0,1925.0,14.0,79,2
294,N,4,86.0,65.0,1975.0,15.2,79,3
295,N,4,98.0,80.0,1915.0,14.4,79,1
296,N,4,121.0,80.0,2670.0,15.0,79,1
297,N,5,183.0,77.0,3530.0,20.1,79,2
298,P,8,350.0,125.0,3900.0,17.4,79,1
299,N,4,141.0,71.0,3190.0,24.8,79,2
300,N,8,260.0,90.0,3420.0,22.2,79,1
301,N,4,105.0,70.0,2200.0,13.2,79,1
302,N,4,105.0,70.0,2150.0,14.9,79,1
303,N,4,85.0,65.0,2020.0,19.2,79,3
304,N,4,91.0,69.0,2130.0,14.7,79,2
305,N,4,151.0,90.0,2670.0,16.0,79,1
306,N,6,173.0,115.0,2595.0,11.3,79,1
307,N,6,173.0,115.0,2700.0,12.9,79,1
308,N,4,151.0,90.0,2556.0,13.2,79,1
309,N,4,98.0,76.0,2144.0,14.7,80,2
310,N,4,89.0,60.0,1968.0,18.8,80,3
311,N,4,98.0,70.0,2120.0,15.5,80,1
312,N,4,86.0,65.0,2019.0,16.4,80,3
313,N,4,151.0,90.0,2678.0,16.5,80,1
314,N,4,140.0,88.0,2870.0,18.1,80,1
315,N,4,151.0,90.0,3003.0,20.1,80,1
316,P,6,225.0,90.0,3381.0,18.7,80,1
317,N,4,97.0,78.0,2188.0,15.8,80,2
318,N,4,134.0,90.0,2711.0,15.5,80,3
319,N,4,120.0,75.0,2542.0,17.5,80,3
320,N,4,119.0,92.0,2434.0,15.0,80,3
321,N,4,108.0,75.0,2265.0,15.2,80,3
322,N,4,86.0,65.0,2110.0,17.9,80,3
323,N,4,156.0,105.0,2800.0,14.4,80,1
324,N,4,85.0,65.0,2110.0,19.2,80,3
325,N,4,90.0,48.0,2085.0,21.7,80,2
326,N,4,90.0,48.0,2335.0,23.7,80,2
327,N,5,121.0,67.0,2950.0,19.9,80,2
328,N,4,146.0,67.0,3250.0,21.8,80,2
329,N,4,91.0,67.0,1850.0,13.8,80,3
330,N,4,85.0,,1835.0,17.3,80,2
331,N,4,97.0,67.0,2145.0,18.0,80,3
332,N,4,89.0,62.0,1845.0,15.3,80,2
333,N,6,168.0,132.0,2910.0,11.4,80,3
334,N,3,70.0,100.0,2420.0,12.5,80,3
335,N,4,122.0,88.0,2500.0,15.1,80,2
336,N,4,140.0,,2905.0,14.3,80,1
337,N,4,107.0,72.0,2290.0,17.0,80,3
338,N,4,135.0,84.0,2490.0,15.7,81,1
339,N,4,151.0,84.0,2635.0,16.4,81,1
340,N,4,156.0,92.0,2620.0,14.4,81,1
341,P,6,173.0,110.0,2725.0,12.6,81,1
342,N,4,135.0,84.0,2385.0,12.9,81,1
343,N,4,79.0,58.0,1755.0,16.9,81,3
344,N,4,86.0,64.0,1875.0,16.4,81,1
345,N,4,81.0,60.0,1760.0,16.1,81,3
346,N,4,97.0,67.0,2065.0,17.8,81,3
347,N,4,85.0,65.0,1975.0,19.4,81,3
348,N,4,89.0,62.0,2050.0,17.3,81,3
349,N,4,91.0,68.0,1985.0,16.0,81,3
350,N,4,105.0,63.0,2215.0,14.9,81,1
351,N,4,98.0,65.0,2045.0,16.2,81,1
352,N,4,98.0,65.0,2380.0,20.7,81,1
353,N,4,105.0,74.0,2190.0,14.2,81,2
354,N,4,100.0,,2320.0,15.8,81,2
355,N,4,107.0,75.0,2210.0,14.4,81,3
356,N,4,108.0,75.0,2350.0,16.8,81,3
357,N,4,119.0,100.0,2615.0,14.8,81,3
358,N,4,120.0,74.0,2635.0,18.3,81,3
359,N,4,141.0,80.0,3230.0,20.4,81,2
360,N,6,145.0,76.0,3160.0,19.6,81,2
361,N,6,168.0,116.0,2900.0,12.6,81,3
362,N,6,146.0,120.0,2930.0,13.8,81,3
363,P,6,231.0,110.0,3415.0,15.8,81,1
364,N,8,350.0,105.0,3725.0,19.0,81,1
365,P,6,200.0,88.0,3060.0,17.1,81,1
366,P,6,225.0,85.0,3465.0,16.6,81,1
367,N,4,112.0,88.0,2605.0,19.6,82,1
368,N,4,112.0,88.0,2640.0,18.6,82,1
369,N,4,112.0,88.0,2395.0,18.0,82,1
370,N,4,112.0,85.0,2575.0,16.2,82,1
371,N,4,135.0,84.0,2525.0,16.0,82,1
372,N,4,151.0,90.0,2735.0,18.0,82,1
373,N,4,140.0,92.0,2865.0,16.4,82,1
374,P,4,151.0,,3035.0,20.5,82,1
375,N,4,105.0,74.0,1980.0,15.3,82,2
376,N,4,91.0,68.0,2025.0,18.2,82,3
377,N,4,91.0,68.0,1970.0,17.6,82,3
378,N,4,105.0,63.0,2125.0,14.7,82,1
379,N,4,98.0,70.0,2125.0,17.3,82,1
380,N,4,120.0,88.0,2160.0,14.5,82,3
381,N,4,107.0,75.0,2205.0,14.5,82,3
382,N,4,108.0,70.0,2245.0,16.9,82,3
383,N,4,91.0,67.0,1965.0,15.0,82,3
384,N,4,91.0,67.0,1965.0,15.7,82,3
385,N,4,91.0,67.0,1995.0,16.2,82,3
386,N,6,181.0,110.0,2945.0,16.4,82,1
387,N,6,262.0,85.0,3015.0,17.0,82,1
388,N,4,156.0,92.0,2585.0,14.5,82,1
389,P,6,232.0,112.0,2835.0,14.7,82,1
390,N,4,144.0,96.0,2665.0,13.9,82,3
391,N,4,135.0,84.0,2370.0,13.0,82,1
392,N,4,151.0,90.0,2950.0,17.3,82,1
393,N,4,140.0,86.0,2790.0,15.6,82,1
394,N,4,97.0,52.0,2130.0,24.6,82,2
395,N,4,135.0,84.0,2295.0,11.6,82,1
396,N,4,120.0,79.0,2625.0,18.6,82,1
397,N,4,119.0,82.0,2720.0,19.4,82,1
