,bknwy_cat,stlmt_cat,bkon8_cat,rkxwp_cat,skach_cat,skrxp_cat,rimmx_cat,wkpos_cat,reskd_cat,simpl_cat,thrsk_cat,qxmsq_cat,spcop_cat,wkovl_cat,wkcti_cat,skewr_cat,bkona_cat,hdchk_cat
46,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,t,f,f
47,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,t,f,f
48,f,f,f,f,f,f,f,f,f,t,f,f,f,t,t,t,f,f
49,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
50,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
51,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
52,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
53,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
54,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
55,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
56,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,t,f,f
57,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,t,f,f
58,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
59,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
60,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
61,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
62,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
63,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
64,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
65,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
66,f,f,f,f,f,f,f,t,f,t,t,f,f,f,f,t,f,f
67,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
68,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
69,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
70,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
71,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,f,f
72,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,f,f
73,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,t,f
74,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
75,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
76,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
77,f,f,f,f,f,f,f,t,f,t,f,f,f,f,t,t,f,f
78,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
79,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f
80,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f
81,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,t,f,f
82,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,t,f,f
83,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
84,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,f,f
85,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
86,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
87,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
88,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
89,f,f,f,f,f,f,f,t,f,t,f,f,f,f,t,t,f,f
90,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
91,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
92,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
93,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
94,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f
95,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
96,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f
97,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,t,f,f
98,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,t,f,f
99,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
100,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
101,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
102,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
103,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
104,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
105,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
106,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
107,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
108,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
109,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
110,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
111,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
112,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
113,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
114,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
115,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
116,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
117,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,f
118,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
119,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,t,f
120,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,f
121,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
122,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
123,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
124,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
125,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
126,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
127,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
128,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
129,f,f,t,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
130,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,t,f
131,f,f,t,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
132,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
133,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
134,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
135,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,f,f
136,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,t,f
137,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,t,f
138,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
139,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
140,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
141,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
142,f,f,f,t,f,f,f,t,f,f,f,f,f,t,t,t,f,f
143,f,f,f,t,f,f,f,t,f,f,f,f,f,f,t,t,f,f
144,f,f,f,t,f,f,f,t,f,f,f,f,f,t,t,t,f,f
145,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
146,f,f,f,t,f,f,f,t,f,f,f,f,f,f,t,t,f,f
147,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
148,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
149,f,f,f,t,f,f,f,t,f,t,f,f,f,t,t,t,f,f
150,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
151,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f
152,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f
153,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
154,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f
155,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
156,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f
157,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f
158,f,f,f,t,f,f,f,f,f,f,f,f,f,t,t,t,f,f
159,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,t,f,f
160,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,t,f,f
161,f,f,f,f,f,f,f,f,f,t,f,f,f,t,t,t,f,f
162,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
163,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,f,f
164,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
165,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,f,f
166,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
167,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
168,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
169,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
170,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
171,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
172,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
173,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f
174,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f
175,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
176,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
177,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f
178,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,t,f,f
179,f,f,f,f,f,f,f,f,f,t,f,f,f,t,t,t,f,f
180,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
181,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
182,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
183,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
184,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
185,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
186,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
187,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
188,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f
189,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
190,f,f,f,f,f,f,f,f,f,t,f,f,f,t,t,t,f,f
191,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
192,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
193,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
194,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
195,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
196,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
197,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
198,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
199,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
200,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
201,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
202,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
203,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
204,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,f
205,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
206,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,t,f
207,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
208,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
209,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
210,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
211,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
212,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
213,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
214,f,f,t,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
215,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,t,f
216,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,t,f
217,f,f,t,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
218,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
219,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,f,f
220,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
221,f,f,f,f,f,f,f,t,f,t,f,f,f,f,t,t,f,f
222,f,f,f,f,f,f,f,t,f,t,f,f,f,f,t,t,t,f
223,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
224,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
225,f,f,f,t,f,f,f,t,f,t,f,f,f,f,t,t,f,f
226,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f
227,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f
228,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f
229,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f
230,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,t,f,f
231,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f
232,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f
233,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,t,f,f
234,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,f,f
235,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
236,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
237,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
238,f,f,f,f,f,f,f,t,f,t,f,f,f,f,t,t,f,f
239,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
240,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
241,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
242,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f
243,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,t,f,f
244,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f
245,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,t,f,f
246,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
247,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
248,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
249,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
250,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
251,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
252,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
253,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,f
254,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
255,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f
256,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,t,f,f
257,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
258,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
259,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
260,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
261,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f
262,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f
263,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
264,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
265,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
266,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
267,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
268,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
269,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
270,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
271,f,f,f,f,f,f,f,t,f,t,t,f,f,t,f,f,f,f
272,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
273,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,f,f
274,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,f,f
275,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,f,f
276,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
277,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
278,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
279,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
280,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
281,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
282,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
283,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
284,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
285,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
286,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
287,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
288,f,f,f,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f
289,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
290,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
291,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
292,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,f,f
293,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
294,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
295,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
296,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
297,f,f,f,f,f,f,f,t,f,f,f,t,f,t,f,f,f,f
298,f,f,f,f,f,f,f,t,f,t,f,t,f,t,f,f,f,f
299,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
300,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
301,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f
302,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
303,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
304,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,t,f
305,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f
306,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
307,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
308,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
309,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
310,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f
311,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
312,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,t,f
313,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
314,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f
315,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
316,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f
317,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
318,t,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
319,f,f,t,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
320,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
321,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,f,f
322,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,f,f
323,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
324,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
325,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
326,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,t,f
327,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
328,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
329,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
330,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
331,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
332,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
333,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
334,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
335,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,t,f
336,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
337,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f
338,f,f,f,t,f,f,f,t,f,t,f,f,f,f,f,f,f,f
339,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f
340,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
341,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f
342,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f
343,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
344,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
345,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
346,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
347,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
348,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
349,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
350,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
351,f,f,f,f,f,f,f,t,f,t,t,f,f,t,f,t,f,f
352,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
353,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
354,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
355,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
356,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
357,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
358,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,t,f
359,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
360,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
