,spore-print-color_cat,veil-color_cat,cap-color_cat,stalk-surface-below-ring_cat,ring-type_cat,veil-type_cat,stalk-shape_cat,bruises%3F_cat,cap-surface_cat,ring-number_cat,gill-attachment_cat,gill-spacing_cat
166,n,w,w,s,p,p,e,t,s,o,f,c
167,k,w,w,s,p,p,e,t,s,o,f,c
168,k,w,n,y,p,p,e,t,y,o,f,c
169,k,w,w,s,p,p,e,t,s,o,f,c
170,n,w,g,s,p,p,e,f,f,o,f,c
171,n,w,y,s,p,p,e,t,s,o,f,c
172,u,w,y,s,p,p,t,t,f,o,f,w
173,k,w,y,s,p,p,e,t,y,o,f,c
174,n,w,y,y,p,p,e,t,y,o,f,c
175,k,w,w,s,p,p,e,t,y,o,f,c
176,k,w,w,s,p,p,e,t,y,o,f,c
177,n,w,y,s,p,p,e,t,y,o,f,c
178,n,w,y,s,p,p,e,t,y,o,f,c
179,n,w,y,s,p,p,e,t,s,o,f,c
180,n,w,w,s,p,p,e,t,y,o,f,c
181,n,w,n,s,p,p,e,f,f,o,f,c
182,k,w,n,s,p,p,e,f,f,o,f,c
183,n,w,y,s,p,p,e,t,s,o,f,c
184,k,w,n,y,p,p,e,t,y,o,f,c
185,k,w,w,s,p,p,e,t,y,o,f,c
186,n,w,w,s,p,p,e,t,s,o,f,c
187,k,w,g,s,p,p,e,f,f,o,f,c
188,n,w,y,s,p,p,e,t,y,o,f,c
189,n,w,n,y,p,p,e,t,y,o,f,c
190,k,w,w,f,e,p,t,f,f,o,f,w
191,n,w,w,s,p,p,t,t,s,o,f,w
192,n,w,w,s,p,p,e,t,s,o,f,c
193,n,w,y,s,p,p,t,t,s,o,f,w
194,n,w,y,s,p,p,e,t,s,o,f,c
195,n,w,g,s,p,p,e,f,f,o,f,c
196,k,w,y,s,p,p,e,t,s,o,f,c
197,n,w,w,s,p,p,e,t,s,o,f,c
198,n,w,w,s,p,p,e,t,y,o,f,c
199,n,w,w,s,p,p,t,t,s,o,f,w
200,n,w,y,s,p,p,e,t,y,o,f,c
201,k,w,w,s,p,p,e,t,s,o,f,c
202,k,w,w,s,p,p,e,t,s,o,f,c
203,k,w,w,s,e,p,t,f,f,o,f,w
204,k,w,n,y,p,p,e,t,y,o,f,c
205,n,w,w,s,p,p,e,t,s,o,f,c
206,n,w,w,s,p,p,e,t,s,o,f,c
207,k,w,w,s,p,p,e,t,s,o,f,c
208,n,w,w,s,p,p,e,t,y,o,f,c
209,k,w,w,s,p,p,e,t,y,o,f,c
210,k,w,y,s,p,p,e,t,s,o,f,c
211,k,w,w,s,p,p,e,t,s,o,f,c
212,n,w,y,s,p,p,t,t,f,o,f,w
213,n,w,g,s,p,p,e,f,f,o,f,c
214,n,w,y,y,p,p,e,t,y,o,f,c
215,k,w,w,s,p,p,e,t,s,o,f,c
216,k,w,y,s,p,p,e,t,s,o,f,c
217,k,w,y,s,p,p,e,t,y,o,f,c
218,n,w,w,s,p,p,e,t,y,o,f,c
219,n,w,g,s,p,p,e,f,f,o,f,c
220,n,w,w,s,p,p,e,t,s,o,f,c
221,k,w,w,s,p,p,e,t,s,o,f,c
222,n,w,y,y,p,p,e,t,y,o,f,c
223,n,w,w,s,p,p,t,t,f,o,f,w
224,k,w,w,s,p,p,e,t,y,o,f,c
225,k,w,w,s,p,p,e,t,y,o,f,c
226,n,w,w,s,p,p,e,t,s,o,f,c
227,n,w,y,s,p,p,e,t,s,o,f,c
228,k,w,n,s,p,p,e,t,y,o,f,c
229,n,w,y,s,p,p,e,t,s,o,f,c
230,k,w,g,s,p,p,e,f,f,o,f,c
231,k,w,w,s,p,p,e,t,y,o,f,c
232,n,w,y,y,p,p,e,t,y,o,f,c
233,k,w,n,s,p,p,e,f,f,o,f,c
234,n,w,w,s,p,p,e,t,s,o,f,c
235,n,w,w,s,p,p,t,t,f,o,f,w
236,k,w,w,s,p,p,e,t,y,o,f,c
237,n,w,y,s,p,p,e,t,y,o,f,c
238,k,w,y,y,p,p,e,t,y,o,f,c
239,k,w,y,y,p,p,e,t,y,o,f,c
240,k,w,y,y,p,p,e,t,y,o,f,c
241,k,w,w,s,p,p,e,t,s,o,f,c
242,n,w,w,s,p,p,e,t,s,o,f,c
243,k,w,w,s,p,p,e,t,s,o,f,c
244,u,w,w,s,p,p,t,t,f,o,f,w
245,n,w,w,s,p,p,e,t,s,o,f,c
246,u,w,w,s,p,p,t,t,s,o,f,w
247,k,w,w,s,p,p,e,t,y,o,f,c
248,k,w,y,y,p,p,e,t,y,o,f,c
249,k,w,n,s,e,p,t,f,s,o,f,w
250,n,w,y,y,p,p,e,t,y,o,f,c
251,n,w,n,s,p,p,e,t,s,o,f,c
252,n,w,n,s,p,p,e,f,f,o,f,c
253,n,w,y,s,p,p,e,t,y,o,f,c
254,n,w,w,s,p,p,e,t,s,o,f,c
255,n,w,w,s,p,p,e,t,y,o,f,c
256,n,w,n,s,p,p,e,f,f,o,f,c
257,k,w,w,s,p,p,e,t,s,o,f,c
258,k,w,w,s,p,p,e,t,y,o,f,c
259,n,w,w,s,p,p,e,t,y,o,f,c
260,n,w,n,y,p,p,e,t,y,o,f,c
261,k,w,w,s,p,p,e,t,y,o,f,c
262,n,w,w,s,p,p,e,t,s,o,f,c
263,n,w,w,s,p,p,e,t,y,o,f,c
264,u,w,w,s,p,p,t,t,f,o,f,w
265,k,w,g,s,p,p,e,f,f,o,f,c
266,k,w,g,s,e,p,t,f,s,o,f,w
267,n,w,y,s,p,p,e,t,y,o,f,c
268,n,w,w,s,p,p,e,t,s,o,f,c
269,k,w,n,s,p,p,e,t,y,o,f,c
270,k,w,w,s,p,p,e,t,s,o,f,c
271,k,w,n,s,p,p,e,t,s,o,f,c
272,n,w,w,s,p,p,e,t,y,o,f,c
273,n,w,y,s,p,p,e,t,y,o,f,c
274,n,w,y,y,p,p,e,t,y,o,f,c
275,n,w,n,y,p,p,e,t,y,o,f,c
276,n,w,n,y,p,p,e,t,y,o,f,c
277,n,w,w,s,p,p,e,t,y,o,f,c
278,k,w,n,s,e,p,t,f,f,o,f,w
279,n,w,y,s,p,p,e,t,s,o,f,c
280,n,w,w,s,p,p,e,t,y,o,f,c
281,n,w,y,s,p,p,e,t,y,o,f,c
282,n,w,n,s,p,p,e,f,f,o,f,c
283,k,w,y,s,p,p,e,t,s,o,f,c
284,k,w,w,s,p,p,e,t,y,o,f,c
285,k,w,n,y,p,p,e,t,y,o,f,c
286,k,w,y,s,p,p,e,t,y,o,f,c
287,k,w,w,s,p,p,e,t,y,o,f,c
288,n,w,n,y,p,p,e,t,y,o,f,c
289,n,w,g,s,p,p,e,f,f,o,f,c
290,k,w,g,s,p,p,e,f,f,o,f,c
291,k,w,y,s,p,p,e,t,y,o,f,c
292,k,w,y,s,p,p,e,t,s,o,f,c
293,n,w,w,s,p,p,e,t,y,o,f,c
294,k,w,w,s,p,p,e,t,s,o,f,c
295,n,w,y,s,p,p,e,t,s,o,f,c
296,k,w,y,s,p,p,e,t,s,o,f,c
297,k,w,g,f,e,p,t,f,f,o,f,w
298,n,w,y,s,p,p,t,t,s,o,f,w
299,k,w,w,s,p,p,e,t,y,o,f,c
300,k,w,w,s,e,p,t,f,f,o,f,w
301,k,w,w,s,p,p,e,t,y,o,f,c
302,n,w,y,s,p,p,t,t,s,o,f,w
303,k,w,w,s,p,p,e,t,y,o,f,c
304,k,w,w,s,p,p,e,t,y,o,f,c
305,n,w,n,s,p,p,t,t,f,o,f,c
306,n,w,w,s,p,p,e,t,y,o,f,c
307,n,w,y,s,p,p,e,t,s,o,f,c
308,k,w,n,y,p,p,e,t,y,o,f,c
309,n,w,w,s,e,p,t,f,f,o,f,w
310,k,w,y,s,p,p,e,t,s,o,f,c
311,n,w,w,s,p,p,e,t,y,o,f,c
312,k,w,y,s,p,p,e,t,y,o,f,c
313,n,w,w,s,p,p,t,t,f,o,f,w
314,n,w,y,s,p,p,e,t,s,o,f,c
315,k,w,w,s,p,p,e,t,y,o,f,c
316,n,w,y,s,p,p,t,t,s,o,f,w
317,k,w,w,s,p,p,e,t,y,o,f,c
318,n,w,w,s,p,p,t,t,f,o,f,w
319,n,w,w,s,p,p,t,t,s,o,f,w
320,n,w,y,s,p,p,e,t,y,o,f,c
321,u,w,y,s,p,p,t,t,f,o,f,w
322,k,w,w,s,p,p,e,t,s,o,f,c
323,k,w,y,s,p,p,e,t,y,o,f,c
324,n,w,n,y,p,p,e,t,y,o,f,c
325,k,w,w,s,p,p,e,t,y,o,f,c
326,n,w,y,s,p,p,e,t,s,o,f,c
327,n,w,n,s,p,p,e,t,y,o,f,c
328,k,w,y,s,p,p,e,t,s,o,f,c
329,k,w,w,s,p,p,e,t,y,o,f,c
330,k,w,n,s,p,p,e,t,y,o,f,c
331,k,w,w,s,p,p,e,t,s,o,f,c
332,n,w,y,s,p,p,e,t,y,o,f,c
333,k,w,y,s,p,p,e,t,y,o,f,c
334,n,w,w,s,p,p,e,t,y,o,f,c
335,k,w,n,s,p,p,t,t,f,o,f,c
336,k,w,n,y,p,p,e,t,y,o,f,c
337,n,w,y,s,p,p,e,t,s,o,f,c
338,n,w,g,s,p,p,e,f,f,o,f,c
339,k,w,n,y,p,p,e,t,y,o,f,c
340,n,w,w,s,p,p,e,t,s,o,f,c
341,k,w,w,s,p,p,e,t,y,o,f,c
342,k,w,y,s,p,p,e,t,s,o,f,c
343,n,w,y,s,p,p,t,t,f,o,f,w
344,n,w,y,s,p,p,e,t,y,o,f,c
345,n,w,n,f,e,p,t,f,f,o,f,w
346,n,w,y,s,p,p,t,t,f,o,f,w
347,n,w,y,s,p,p,e,t,s,o,f,c
348,k,w,g,f,e,p,t,f,s,o,f,w
349,n,w,n,s,p,p,e,f,f,o,f,c
350,n,w,g,f,e,p,t,f,s,o,f,w
351,n,w,n,y,p,p,e,t,y,o,f,c
352,n,w,w,s,p,p,e,t,y,o,f,c
353,k,w,y,s,p,p,e,t,s,o,f,c
354,k,w,y,y,p,p,e,t,y,o,f,c
355,n,w,g,s,p,p,e,f,f,o,f,c
356,n,w,n,y,p,p,e,t,y,o,f,c
357,k,w,n,s,p,p,e,t,y,o,f,c
358,n,w,y,y,p,p,e,t,y,o,f,c
359,n,w,y,s,p,p,e,t,y,o,f,c
360,n,w,n,f,e,p,t,f,f,o,f,w
361,k,w,n,f,e,p,t,f,f,o,f,w
362,k,w,n,s,e,p,t,f,s,o,f,w
363,n,w,n,y,p,p,e,t,y,o,f,c
364,k,w,y,s,p,p,e,t,s,o,f,c
365,k,w,n,s,p,p,e,f,f,o,f,c
366,n,w,y,y,p,p,e,t,y,o,f,c
367,u,w,y,s,p,p,t,t,f,o,f,w
368,n,w,y,s,p,p,e,t,y,o,f,c
369,k,w,g,s,e,p,t,f,f,o,f,w
370,n,w,y,y,p,p,e,t,y,o,f,c
371,k,w,n,y,p,p,e,t,y,o,f,c
372,k,w,y,s,p,p,e,t,s,o,f,c
373,n,w,n,s,p,p,e,f,f,o,f,c
374,k,w,w,s,p,p,e,t,s,o,f,c
375,k,w,w,s,p,p,e,t,s,o,f,c
376,k,w,n,s,p,p,e,f,f,o,f,c
377,n,w,y,s,p,p,e,t,y,o,f,c
378,n,w,y,s,p,p,e,t,y,o,f,c
379,n,w,y,s,p,p,e,t,y,o,f,c
380,k,w,n,s,p,p,e,t,y,o,f,c
381,n,w,w,s,e,p,t,f,s,o,f,w
382,k,w,w,s,p,p,e,t,y,o,f,c
383,n,w,w,s,p,p,e,t,s,o,f,c
384,n,w,n,s,p,p,t,t,f,o,f,c
385,n,w,n,s,p,p,e,t,s,o,f,c
386,k,w,n,y,p,p,e,t,y,o,f,c
387,k,w,n,s,e,p,t,f,s,o,f,w
388,k,w,y,s,p,p,e,t,y,o,f,c
389,n,w,y,s,p,p,e,t,s,o,f,c
390,n,w,y,s,p,p,e,t,s,o,f,c
391,k,w,y,s,p,p,e,t,s,o,f,c
392,n,w,w,s,p,p,e,t,y,o,f,c
393,n,w,g,s,p,p,e,f,f,o,f,c
394,k,w,n,y,p,p,e,t,y,o,f,c
395,n,w,g,f,e,p,t,f,f,o,f,w
396,n,w,w,s,p,p,e,t,s,o,f,c
397,n,w,y,s,p,p,e,t,y,o,f,c
398,k,w,g,s,p,p,e,f,f,o,f,c
399,n,w,n,s,p,p,e,t,s,o,f,c
400,n,w,w,s,p,p,e,t,y,o,f,c
401,k,w,w,s,p,p,e,t,y,o,f,c
402,n,w,n,s,p,p,e,t,y,o,f,c
403,n,w,y,s,p,p,e,t,s,o,f,c
404,n,w,w,s,p,p,e,t,s,o,f,c
405,k,w,y,s,p,p,e,t,y,o,f,c
406,n,w,y,s,p,p,e,t,y,o,f,c
407,n,w,w,s,p,p,e,t,s,o,f,c
408,k,w,w,s,p,p,e,t,s,o,f,c
409,n,w,n,y,p,p,e,t,y,o,f,c
410,n,w,w,s,p,p,e,t,s,o,f,c
411,k,w,n,f,e,p,t,f,s,o,f,w
412,n,w,n,y,p,p,e,t,y,o,f,c
413,k,w,y,y,p,p,e,t,y,o,f,c
414,k,w,n,s,p,p,e,t,y,o,f,c
415,n,w,y,s,p,p,e,t,y,o,f,c
416,u,w,w,s,p,p,t,t,f,o,f,w
417,k,w,n,s,p,p,e,t,s,o,f,c
418,k,w,y,s,p,p,e,t,y,o,f,c
419,n,w,g,f,e,p,t,f,f,o,f,w
420,k,w,w,s,p,p,e,t,y,o,f,c
421,n,w,w,s,p,p,e,t,y,o,f,c
422,n,w,n,s,p,p,e,t,y,o,f,c
423,k,w,n,y,p,p,e,t,y,o,f,c
424,n,w,w,s,p,p,e,t,s,o,f,c
425,n,w,w,s,p,p,t,t,s,o,f,w
426,n,w,n,y,p,p,e,t,y,o,f,c
427,n,w,w,s,p,p,e,t,s,o,f,c
428,k,w,w,f,e,p,t,f,s,o,f,w
429,n,w,g,s,p,p,e,f,f,o,f,c
430,n,w,w,s,p,p,e,t,y,o,f,c
431,n,w,y,y,p,p,e,t,y,o,f,c
432,n,w,y,s,p,p,e,t,s,o,f,c
433,k,w,y,s,p,p,e,t,s,o,f,c
434,n,w,w,s,p,p,t,t,s,o,f,w
435,k,w,w,s,p,p,e,t,s,o,f,c
436,u,w,y,s,p,p,t,t,f,o,f,w
437,n,w,w,s,p,p,e,t,y,o,f,c
438,n,w,y,s,p,p,e,t,y,o,f,c
439,n,w,n,y,p,p,e,t,y,o,f,c
440,k,w,w,s,p,p,e,t,y,o,f,c
441,k,w,w,s,p,p,e,t,y,o,f,c
442,k,w,y,y,p,p,e,t,y,o,f,c
443,k,w,w,s,p,p,e,t,y,o,f,c
444,k,w,y,s,p,p,e,t,s,o,f,c
445,k,w,n,y,p,p,e,t,y,o,f,c
446,n,w,w,s,p,p,e,t,s,o,f,c
447,k,w,n,y,p,p,e,t,y,o,f,c
448,k,w,w,s,p,p,e,t,s,o,f,c
449,n,w,n,s,p,p,t,t,f,o,f,c
450,n,w,w,s,p,p,e,t,y,o,f,c
451,k,w,w,s,p,p,e,t,s,o,f,c
452,k,w,y,s,p,p,e,t,s,o,f,c
453,n,w,y,s,p,p,t,t,f,o,f,w
454,n,w,w,s,p,p,e,t,s,o,f,c
455,k,w,g,f,e,p,t,f,s,o,f,w
456,n,w,w,s,p,p,e,t,s,o,f,c
457,k,w,y,s,p,p,e,t,s,o,f,c
458,k,w,y,y,p,p,e,t,y,o,f,c
459,n,w,n,y,p,p,e,t,y,o,f,c
460,n,w,w,s,p,p,e,t,s,o,f,c
461,n,w,y,y,p,p,e,t,y,o,f,c
462,k,w,w,s,p,p,e,t,s,o,f,c
463,n,w,y,s,p,p,e,t,y,o,f,c
464,k,w,n,s,p,p,e,f,f,o,f,c
465,n,w,n,y,p,p,e,t,y,o,f,c
466,k,w,w,s,p,p,e,t,s,o,f,c
467,k,w,y,s,p,p,e,t,s,o,f,c
468,k,w,y,s,p,p,e,t,y,o,f,c
469,n,w,y,y,p,p,e,t,y,o,f,c
470,k,w,y,s,p,p,e,t,y,o,f,c
471,k,w,w,s,p,p,e,t,y,o,f,c
472,u,w,w,s,p,p,t,t,f,o,f,w
473,k,w,g,s,p,p,e,f,f,o,f,c
474,n,w,y,s,p,p,t,t,s,o,f,w
475,k,w,g,s,p,p,e,f,f,o,f,c
476,n,w,n,s,p,p,e,f,f,o,f,c
477,n,w,w,s,p,p,e,t,y,o,f,c
478,n,w,w,s,p,p,t,t,s,o,f,w
479,k,w,y,s,p,p,e,t,y,o,f,c
480,k,w,y,s,p,p,e,t,y,o,f,c
481,k,w,y,s,p,p,e,t,y,o,f,c
482,u,w,w,s,p,p,t,t,s,o,f,w
483,k,w,g,s,p,p,e,f,f,o,f,c
484,n,w,w,s,p,p,t,t,s,o,f,w
485,k,w,y,y,p,p,e,t,y,o,f,c
486,n,w,w,s,p,p,e,t,y,o,f,c
487,n,w,n,s,p,p,e,f,f,o,f,c
488,k,w,n,y,p,p,e,t,y,o,f,c
489,k,w,n,y,p,p,e,t,y,o,f,c
490,u,w,y,s,p,p,t,t,f,o,f,w
491,n,w,n,s,p,p,e,t,s,o,f,c
492,n,w,n,s,p,p,e,t,s,o,f,c
493,n,w,n,y,p,p,e,t,y,o,f,c
494,k,w,y,y,p,p,e,t,y,o,f,c
495,n,w,y,s,p,p,e,t,s,o,f,c
496,n,w,w,s,e,p,t,f,f,o,f,w
497,n,w,n,y,p,p,e,t,y,o,f,c
498,n,w,w,s,p,p,e,t,y,o,f,c
499,k,w,y,s,p,p,e,t,s,o,f,c
500,n,w,y,s,p,p,e,t,s,o,f,c
501,k,w,y,s,p,p,e,t,y,o,f,c
502,k,w,w,s,p,p,e,t,s,o,f,c
503,k,w,y,s,p,p,e,t,s,o,f,c
504,n,w,y,s,p,p,e,t,y,o,f,c
505,n,w,n,s,p,p,e,t,s,o,f,c
506,n,w,g,s,e,p,t,f,s,o,f,w
507,n,w,n,s,e,p,t,f,s,o,f,w
508,n,w,w,s,p,p,t,t,f,o,f,w
509,n,w,g,s,p,p,e,f,f,o,f,c
510,n,w,n,s,p,p,e,f,f,o,f,c
511,k,w,y,s,p,p,e,t,y,o,f,c
512,u,w,w,s,p,p,t,t,f,o,f,w
513,n,w,g,s,p,p,e,f,f,o,f,c
514,n,w,n,s,p,p,e,f,f,o,f,c
515,n,w,w,s,e,p,t,f,f,o,f,w
516,k,w,n,y,p,p,e,t,y,o,f,c
517,k,w,y,s,p,p,e,t,s,o,f,c
518,k,w,w,s,p,p,e,t,y,o,f,c
519,n,w,y,s,p,p,e,t,y,o,f,c
520,k,w,w,s,p,p,e,t,s,o,f,c
521,k,w,w,s,p,p,e,t,s,o,f,c
522,n,w,y,y,p,p,e,t,y,o,f,c
523,n,w,n,s,p,p,e,t,s,o,f,c
524,k,w,g,s,p,p,e,f,f,o,f,c
525,n,w,y,s,p,p,e,t,s,o,f,c
526,n,w,n,y,p,p,e,t,y,o,f,c
527,n,w,y,s,p,p,e,t,s,o,f,c
528,k,w,n,s,p,p,e,f,f,o,f,c
