,spore-print-color_cat,class_cat,population_cat,gill-attachment_cat,stalk-color-above-ring_cat,veil-type_cat,cap-color_cat,stalk-surface-above-ring_cat,gill-color_cat,bruises%3F_cat,stalk-shape_cat,odor_cat
153,k,e,v,f,w,p,n,s,k,f,e,n
154,u,e,v,f,w,p,w,s,w,t,t,a
155,k,e,s,f,w,p,n,s,w,t,e,l
156,n,e,n,f,w,p,y,s,k,t,e,a
157,n,e,n,f,w,p,w,s,k,t,e,a
158,k,e,s,f,w,p,w,s,n,t,e,a
159,k,e,s,f,w,p,y,s,g,t,e,a
160,k,e,s,f,w,p,y,s,g,t,e,l
161,k,e,n,f,w,p,y,s,n,t,e,a
162,n,e,y,f,w,p,n,s,k,f,e,n
163,n,e,y,f,w,p,n,s,n,t,e,l
164,n,e,s,f,w,p,w,s,k,t,e,a
165,n,e,y,f,w,p,y,s,w,t,e,l
166,n,e,s,f,w,p,w,s,w,t,e,a
167,k,e,s,f,w,p,w,s,w,t,e,a
168,k,e,y,f,w,p,n,s,w,t,e,l
169,k,e,s,f,w,p,w,s,k,t,e,a
170,n,e,y,f,w,p,g,s,g,f,e,n
171,n,e,s,f,w,p,y,s,k,t,e,l
172,u,e,v,f,w,p,y,s,n,t,t,l
173,k,e,s,f,w,p,y,s,w,t,e,a
174,n,e,s,f,w,p,y,s,p,t,e,l
175,k,e,n,f,w,p,w,s,w,t,e,l
176,k,e,n,f,w,p,w,s,k,t,e,a
177,n,e,s,f,w,p,y,s,g,t,e,a
178,n,e,n,f,w,p,y,s,g,t,e,l
179,n,e,n,f,w,p,y,s,g,t,e,l
180,n,p,v,f,w,p,w,s,p,t,e,p
181,n,e,y,f,w,p,n,s,g,f,e,n
182,k,e,v,f,w,p,n,s,g,f,e,n
183,n,e,s,f,w,p,y,s,g,t,e,a
184,k,e,s,f,w,p,n,s,p,t,e,a
185,k,p,s,f,w,p,w,s,k,t,e,p
186,n,e,s,f,w,p,w,s,g,t,e,l
187,k,e,v,f,w,p,g,s,p,f,e,n
188,n,e,n,f,w,p,y,s,g,t,e,l
189,n,e,y,f,w,p,n,s,w,t,e,a
190,k,e,s,f,w,p,w,s,p,f,t,n
191,n,e,v,f,w,p,w,s,w,t,t,l
192,n,e,s,f,w,p,w,s,w,t,e,l
193,n,e,v,f,w,p,y,s,w,t,t,a
194,n,e,n,f,w,p,y,s,k,t,e,a
195,n,e,y,f,w,p,g,s,g,f,e,n
196,k,e,s,f,w,p,y,s,n,t,e,a
197,n,e,n,f,w,p,w,s,g,t,e,l
198,n,e,s,f,w,p,w,s,n,t,e,l
199,n,e,v,f,w,p,w,s,n,t,t,a
200,n,e,s,f,w,p,y,s,w,t,e,l
201,k,e,s,f,w,p,w,s,w,t,e,l
202,k,e,n,f,w,p,w,s,g,t,e,a
203,k,e,s,f,w,p,w,f,h,f,t,n
204,k,e,y,f,w,p,n,s,n,t,e,l
205,n,p,v,f,w,p,w,s,k,t,e,p
206,n,e,n,f,w,p,w,s,n,t,e,a
207,k,e,s,f,w,p,w,s,k,t,e,a
208,n,e,n,f,w,p,w,s,n,t,e,l
209,k,e,n,f,w,p,w,s,w,t,e,a
210,k,e,s,f,w,p,y,s,w,t,e,a
211,k,e,n,f,w,p,w,s,w,t,e,l
212,n,e,v,f,w,p,y,s,n,t,t,a
213,n,e,y,f,w,p,g,s,n,f,e,n
214,n,e,s,f,w,p,y,s,n,t,e,a
215,k,e,n,f,w,p,w,s,n,t,e,l
216,k,e,s,f,w,p,y,s,g,t,e,a
217,k,e,s,f,w,p,y,s,k,t,e,a
218,n,e,s,f,w,p,w,s,w,t,e,l
219,n,e,v,f,w,p,g,s,p,f,e,n
220,n,e,n,f,w,p,w,s,n,t,e,a
221,k,p,s,f,w,p,w,s,k,t,e,p
222,n,e,s,f,w,p,y,s,n,t,e,a
223,n,e,v,f,w,p,w,s,p,t,t,a
224,k,e,n,f,w,p,w,s,g,t,e,l
225,k,e,s,f,w,p,w,s,n,t,e,l
226,n,e,n,f,w,p,w,s,g,t,e,a
227,n,e,s,f,w,p,y,s,g,t,e,a
228,k,p,v,f,w,p,n,s,p,t,e,p
229,n,e,n,f,w,p,y,s,n,t,e,a
230,k,e,y,f,w,p,g,s,n,f,e,n
231,k,p,s,f,w,p,w,s,k,t,e,p
232,n,e,y,f,w,p,y,s,n,t,e,l
233,k,e,v,f,w,p,n,s,k,f,e,n
234,n,e,n,f,w,p,w,s,k,t,e,l
235,n,e,v,f,w,p,w,s,w,t,t,l
236,k,e,s,f,w,p,w,s,w,t,e,l
237,n,e,s,f,w,p,y,s,n,t,e,l
238,k,e,s,f,w,p,y,s,n,t,e,l
239,k,e,s,f,w,p,y,s,p,t,e,a
240,k,e,y,f,w,p,y,s,w,t,e,a
241,k,e,s,f,w,p,w,s,w,t,e,l
242,n,e,n,f,w,p,w,s,w,t,e,a
243,k,p,v,f,w,p,w,s,n,t,e,p
244,u,e,v,f,w,p,w,s,p,t,t,a
245,n,e,s,f,w,p,w,s,w,t,e,l
246,u,e,v,f,w,p,w,s,p,t,t,l
247,k,e,s,f,w,p,w,s,n,t,e,a
248,k,e,y,f,w,p,y,s,w,t,e,l
249,k,e,s,f,w,p,n,f,p,f,t,n
250,n,e,y,f,w,p,y,s,w,t,e,a
251,n,p,s,f,w,p,n,s,p,t,e,p
252,n,e,v,f,w,p,n,s,g,f,e,n
253,n,e,s,f,w,p,y,s,w,t,e,l
254,n,e,s,f,w,p,w,s,n,t,e,l
255,n,e,n,f,w,p,w,s,k,t,e,l
256,n,e,v,f,w,p,n,s,k,f,e,n
257,k,e,n,f,w,p,w,s,w,t,e,a
258,k,e,n,f,w,p,w,s,g,t,e,l
259,n,e,n,f,w,p,w,s,g,t,e,a
260,n,e,s,f,w,p,n,s,w,t,e,l
261,k,p,v,f,w,p,w,s,k,t,e,p
262,n,e,n,f,w,p,w,s,n,t,e,a
263,n,e,s,f,w,p,w,s,n,t,e,a
264,u,e,v,f,w,p,w,s,w,t,t,l
265,k,e,v,f,w,p,g,s,g,f,e,n
266,k,e,a,f,w,p,g,s,p,f,t,n
267,n,e,s,f,w,p,y,s,g,t,e,a
268,n,e,s,f,w,p,w,s,k,t,e,a
269,k,p,s,f,w,p,n,s,w,t,e,p
270,k,e,n,f,w,p,w,s,n,t,e,l
271,k,p,v,f,w,p,n,s,w,t,e,p
272,n,e,s,f,w,p,w,s,k,t,e,l
273,n,e,n,f,w,p,y,s,k,t,e,a
274,n,e,s,f,w,p,y,s,n,t,e,a
275,n,e,s,f,w,p,n,s,w,t,e,a
276,n,e,y,f,w,p,n,s,w,t,e,a
277,n,e,n,f,w,p,w,s,w,t,e,a
278,k,e,s,f,w,p,n,s,h,f,t,n
279,n,e,n,f,w,p,y,s,k,t,e,l
280,n,p,s,f,w,p,w,s,w,t,e,p
281,n,e,n,f,w,p,y,s,n,t,e,a
282,n,e,v,f,w,p,n,s,p,f,e,n
283,k,e,s,f,w,p,y,s,k,t,e,l
284,k,e,n,f,w,p,w,s,n,t,e,l
285,k,e,s,f,w,p,n,s,n,t,e,a
286,k,e,s,f,w,p,y,s,g,t,e,a
287,k,e,s,f,w,p,w,s,g,t,e,a
288,n,e,y,f,w,p,n,s,n,t,e,l
289,n,e,y,f,w,p,g,s,p,f,e,n
290,k,e,y,f,w,p,g,s,g,f,e,n
291,k,e,s,f,w,p,y,s,n,t,e,l
292,k,e,s,f,w,p,y,s,n,t,e,l
293,n,e,s,f,w,p,w,s,k,t,e,l
294,k,e,s,f,w,p,w,s,g,t,e,a
295,n,e,n,f,w,p,y,s,g,t,e,a
296,k,e,s,f,w,p,y,s,k,t,e,a
297,k,e,s,f,w,p,g,f,p,f,t,n
298,n,e,v,f,w,p,y,s,p,t,t,a
299,k,p,s,f,w,p,w,s,p,t,e,p
300,k,e,a,f,w,p,w,f,k,f,t,n
301,k,e,s,f,w,p,w,s,w,t,e,a
302,n,e,v,f,w,p,y,s,w,t,t,l
303,k,e,s,f,w,p,w,s,n,t,e,a
304,k,e,s,f,w,p,w,s,g,t,e,l
305,n,e,y,f,g,p,n,s,p,t,t,n
306,n,e,s,f,w,p,w,s,k,t,e,l
307,n,e,n,f,w,p,y,s,g,t,e,l
308,k,e,y,f,w,p,n,s,p,t,e,a
309,n,e,s,f,w,p,w,s,n,f,t,n
310,k,e,s,f,w,p,y,s,w,t,e,l
311,n,p,v,f,w,p,w,s,n,t,e,p
312,k,e,s,f,w,p,y,s,n,t,e,l
313,n,e,v,f,w,p,w,s,p,t,t,a
314,n,e,n,f,w,p,y,s,g,t,e,a
315,k,p,v,f,w,p,w,s,k,t,e,p
316,n,e,v,f,w,p,y,s,w,t,t,a
317,k,e,n,f,w,p,w,s,k,t,e,a
318,n,e,v,f,w,p,w,s,n,t,t,l
319,n,e,v,f,w,p,w,s,w,t,t,l
320,n,e,s,f,w,p,y,s,k,t,e,l
321,u,e,v,f,w,p,y,s,w,t,t,a
322,k,e,s,f,w,p,w,s,w,t,e,a
323,k,e,s,f,w,p,y,s,n,t,e,a
324,n,e,s,f,w,p,n,s,p,t,e,l
325,k,e,n,f,w,p,w,s,k,t,e,l
326,n,e,s,f,w,p,y,s,n,t,e,a
327,n,p,v,f,w,p,n,s,n,t,e,p
328,k,e,n,f,w,p,y,s,w,t,e,l
329,k,e,n,f,w,p,w,s,g,t,e,a
330,k,p,v,f,w,p,n,s,w,t,e,p
331,k,e,s,f,w,p,w,s,n,t,e,l
332,n,e,n,f,w,p,y,s,w,t,e,l
333,k,e,s,f,w,p,y,s,n,t,e,a
334,n,e,n,f,w,p,w,s,g,t,e,l
335,k,e,y,f,p,p,n,s,p,t,t,n
336,k,e,y,f,w,p,n,s,w,t,e,a
337,n,e,s,f,w,p,y,s,n,t,e,l
338,n,e,v,f,w,p,g,s,g,f,e,n
339,k,e,y,f,w,p,n,s,n,t,e,l
340,n,e,s,f,w,p,w,s,k,t,e,a
341,k,e,n,f,w,p,w,s,n,t,e,a
342,k,e,s,f,w,p,y,s,g,t,e,a
343,n,e,v,f,w,p,y,s,p,t,t,a
344,n,e,s,f,w,p,y,s,g,t,e,l
345,n,e,a,f,w,p,n,s,n,f,t,n
346,n,e,v,f,w,p,y,s,n,t,t,l
347,n,e,n,f,w,p,y,s,n,t,e,a
348,k,e,s,f,w,p,g,s,n,f,t,n
349,n,e,y,f,w,p,n,s,g,f,e,n
350,n,e,a,f,w,p,g,f,h,f,t,n
351,n,e,s,f,w,p,n,s,p,t,e,a
352,n,e,s,f,w,p,w,s,k,t,e,a
353,k,e,s,f,w,p,y,s,k,t,e,a
354,k,e,s,f,w,p,y,s,w,t,e,l
355,n,e,v,f,w,p,g,s,g,f,e,n
356,n,e,y,f,w,p,n,s,p,t,e,a
357,k,p,s,f,w,p,n,s,k,t,e,p
358,n,e,y,f,w,p,y,s,p,t,e,a
359,n,e,s,f,w,p,y,s,w,t,e,a
360,n,e,s,f,w,p,n,s,h,f,t,n
361,k,e,a,f,w,p,n,f,p,f,t,n
362,k,e,a,f,w,p,n,f,k,f,t,n
363,n,e,s,f,w,p,n,s,n,t,e,a
364,k,e,n,f,w,p,y,s,w,t,e,a
365,k,e,v,f,w,p,n,s,p,f,e,n
366,n,e,s,f,w,p,y,s,w,t,e,a
367,u,e,v,f,w,p,y,s,p,t,t,a
368,n,e,n,f,w,p,y,s,g,t,e,a
369,k,e,s,f,w,p,g,s,n,f,t,n
370,n,e,s,f,w,p,y,s,w,t,e,a
371,k,e,y,f,w,p,n,s,n,t,e,l
372,k,e,s,f,w,p,y,s,w,t,e,a
373,n,e,y,f,w,p,n,s,n,f,e,n
374,k,e,s,f,w,p,w,s,k,t,e,a
375,k,e,n,f,w,p,w,s,n,t,e,l
376,k,e,y,f,w,p,n,s,k,f,e,n
377,n,e,n,f,w,p,y,s,n,t,e,l
378,n,e,n,f,w,p,y,s,k,t,e,l
379,n,e,s,f,w,p,y,s,k,t,e,a
380,k,p,s,f,w,p,n,s,p,t,e,p
381,n,e,s,f,w,p,w,f,k,f,t,n
382,k,e,s,f,w,p,w,s,w,t,e,a
383,n,e,n,f,w,p,w,s,g,t,e,a
384,n,e,y,f,g,p,n,s,n,t,t,n
385,n,p,s,f,w,p,n,s,w,t,e,p
386,k,e,y,f,w,p,n,s,w,t,e,l
387,k,e,a,f,w,p,n,s,n,f,t,n
388,k,e,n,f,w,p,y,s,n,t,e,l
389,n,e,n,f,w,p,y,s,w,t,e,a
390,n,e,s,f,w,p,y,s,n,t,e,a
391,k,e,n,f,w,p,y,s,g,t,e,l
392,n,e,n,f,w,p,w,s,n,t,e,a
393,n,e,v,f,w,p,g,s,k,f,e,n
394,k,e,s,f,w,p,n,s,w,t,e,a
395,n,e,a,f,w,p,g,f,h,f,t,n
396,n,e,n,f,w,p,w,s,k,t,e,l
397,n,e,s,f,w,p,y,s,w,t,e,l
398,k,e,v,f,w,p,g,s,n,f,e,n
399,n,p,s,f,w,p,n,s,p,t,e,p
400,n,e,n,f,w,p,w,s,w,t,e,l
401,k,e,n,f,w,p,w,s,n,t,e,a
402,n,p,v,f,w,p,n,s,p,t,e,p
403,n,e,s,f,w,p,y,s,w,t,e,l
404,n,e,s,f,w,p,w,s,k,t,e,l
405,k,e,s,f,w,p,y,s,n,t,e,l
406,n,e,n,f,w,p,y,s,n,t,e,l
407,n,e,s,f,w,p,w,s,g,t,e,a
408,k,e,s,f,w,p,w,s,g,t,e,a
409,n,e,y,f,w,p,n,s,w,t,e,l
410,n,e,s,f,w,p,w,s,w,t,e,a
411,k,e,s,f,w,p,n,f,n,f,t,n
412,n,e,s,f,w,p,n,s,n,t,e,l
413,k,e,y,f,w,p,y,s,n,t,e,l
414,k,p,v,f,w,p,n,s,k,t,e,p
415,n,e,n,f,w,p,y,s,w,t,e,a
416,u,e,v,f,w,p,w,s,p,t,t,l
417,k,p,s,f,w,p,n,s,w,t,e,p
418,k,e,n,f,w,p,y,s,k,t,e,l
419,n,e,a,f,w,p,g,f,h,f,t,n
420,k,e,s,f,w,p,w,s,n,t,e,l
421,n,e,s,f,w,p,w,s,w,t,e,a
422,n,p,s,f,w,p,n,s,p,t,e,p
423,k,e,s,f,w,p,n,s,w,t,e,l
424,n,e,n,f,w,p,w,s,n,t,e,l
425,n,e,v,f,w,p,w,s,n,t,t,a
426,n,e,y,f,w,p,n,s,n,t,e,a
427,n,e,n,f,w,p,w,s,k,t,e,a
428,k,e,a,f,w,p,w,f,p,f,t,n
429,n,e,v,f,w,p,g,s,n,f,e,n
430,n,e,s,f,w,p,w,s,g,t,e,a
431,n,e,y,f,w,p,y,s,n,t,e,l
432,n,e,s,f,w,p,y,s,g,t,e,l
433,k,e,s,f,w,p,y,s,w,t,e,l
434,n,e,v,f,w,p,w,s,n,t,t,l
435,k,e,n,f,w,p,w,s,w,t,e,a
436,u,e,v,f,w,p,y,s,n,t,t,a
437,n,e,n,f,w,p,w,s,g,t,e,l
438,n,e,n,f,w,p,y,s,k,t,e,l
439,n,e,y,f,w,p,n,s,p,t,e,a
440,k,e,s,f,w,p,w,s,n,t,e,l
441,k,e,s,f,w,p,w,s,g,t,e,l
442,k,e,y,f,w,p,y,s,p,t,e,a
443,k,e,n,f,w,p,w,s,n,t,e,l
444,k,e,n,f,w,p,y,s,w,t,e,l
445,k,e,s,f,w,p,n,s,p,t,e,l
446,n,e,n,f,w,p,w,s,n,t,e,l
447,k,e,s,f,w,p,n,s,n,t,e,l
448,k,e,s,f,w,p,w,s,w,t,e,l
449,n,e,y,f,g,p,n,s,n,t,t,n
450,n,e,s,f,w,p,w,s,k,t,e,l
451,k,e,n,f,w,p,w,s,g,t,e,l
452,k,e,n,f,w,p,y,s,g,t,e,l
453,n,e,v,f,w,p,y,s,p,t,t,l
454,n,e,n,f,w,p,w,s,g,t,e,l
455,k,e,a,f,w,p,g,s,h,f,t,n
456,n,e,n,f,w,p,w,s,k,t,e,a
457,k,e,s,f,w,p,y,s,w,t,e,l
458,k,e,y,f,w,p,y,s,n,t,e,a
459,n,e,y,f,w,p,n,s,w,t,e,a
460,n,e,s,f,w,p,w,s,k,t,e,a
461,n,e,s,f,w,p,y,s,n,t,e,l
462,k,e,s,f,w,p,w,s,g,t,e,a
463,n,e,n,f,w,p,y,s,w,t,e,a
464,k,e,v,f,w,p,n,s,k,f,e,n
465,n,e,y,f,w,p,n,s,p,t,e,a
466,k,e,n,f,w,p,w,s,g,t,e,a
467,k,e,n,f,w,p,y,s,g,t,e,l
468,k,e,n,f,w,p,y,s,g,t,e,l
469,n,e,s,f,w,p,y,s,w,t,e,a
470,k,e,n,f,w,p,y,s,g,t,e,l
471,k,e,n,f,w,p,w,s,w,t,e,a
472,u,e,v,f,w,p,w,s,n,t,t,a
473,k,e,y,f,w,p,g,s,k,f,e,n
474,n,e,v,f,w,p,y,s,n,t,t,l
475,k,e,y,f,w,p,g,s,k,f,e,n
476,n,e,y,f,w,p,n,s,p,f,e,n
477,n,e,n,f,w,p,w,s,w,t,e,a
478,n,e,v,f,w,p,w,s,p,t,t,a
479,k,e,s,f,w,p,y,s,n,t,e,l
480,k,e,s,f,w,p,y,s,k,t,e,a
481,k,e,s,f,w,p,y,s,g,t,e,l
482,u,e,v,f,w,p,w,s,p,t,t,l
483,k,e,y,f,w,p,g,s,g,f,e,n
484,n,e,v,f,w,p,w,s,w,t,t,a
485,k,e,y,f,w,p,y,s,p,t,e,a
486,n,e,s,f,w,p,w,s,w,t,e,l
487,n,e,y,f,w,p,n,s,p,f,e,n
488,k,e,s,f,w,p,n,s,n,t,e,l
489,k,e,s,f,w,p,n,s,n,t,e,a
490,u,e,v,f,w,p,y,s,n,t,t,a
491,n,p,s,f,w,p,n,s,p,t,e,p
492,n,p,v,f,w,p,n,s,k,t,e,p
493,n,e,s,f,w,p,n,s,w,t,e,l
494,k,e,s,f,w,p,y,s,w,t,e,a
495,n,e,n,f,w,p,y,s,k,t,e,a
496,n,e,a,f,w,p,w,f,h,f,t,n
497,n,e,s,f,w,p,n,s,p,t,e,a
498,n,e,s,f,w,p,w,s,n,t,e,a
499,k,e,n,f,w,p,y,s,w,t,e,l
500,n,e,n,f,w,p,y,s,w,t,e,a
501,k,e,n,f,w,p,y,s,g,t,e,a
502,k,e,n,f,w,p,w,s,g,t,e,l
503,k,e,s,f,w,p,y,s,w,t,e,a
504,n,e,s,f,w,p,y,s,w,t,e,a
505,n,p,v,f,w,p,n,s,n,t,e,p
506,n,e,s,f,w,p,g,s,p,f,t,n
507,n,e,a,f,w,p,n,f,p,f,t,n
508,n,e,v,f,w,p,w,s,n,t,t,a
509,n,e,v,f,w,p,g,s,p,f,e,n
510,n,e,y,f,w,p,n,s,k,f,e,n
511,k,e,s,f,w,p,y,s,k,t,e,a
512,u,e,v,f,w,p,w,s,n,t,t,a
513,n,e,v,f,w,p,g,s,n,f,e,n
514,n,e,v,f,w,p,n,s,k,f,e,n
515,n,e,a,f,w,p,w,f,h,f,t,n
516,k,e,y,f,w,p,n,s,n,t,e,l
517,k,e,n,f,w,p,y,s,k,t,e,a
518,k,e,s,f,w,p,w,s,k,t,e,l
519,n,e,n,f,w,p,y,s,k,t,e,a
520,k,e,n,f,w,p,w,s,w,t,e,l
521,k,e,s,f,w,p,w,s,n,t,e,l
522,n,e,y,f,w,p,y,s,p,t,e,a
523,n,p,s,f,w,p,n,s,n,t,e,p
524,k,e,y,f,w,p,g,s,n,f,e,n
525,n,e,s,f,w,p,y,s,w,t,e,l
526,n,e,s,f,w,p,n,s,w,t,e,a
527,n,e,s,f,w,p,y,s,k,t,e,a
528,k,e,y,f,w,p,n,s,k,f,e,n
529,n,e,y,f,w,p,y,s,w,t,e,a
