,surgery_cat,Age_cat,rectal_temperature_num,pulse_num,respiratory_rate_num,temp_extremities_cat,peripheral_pulse_cat,mucous_membranes_cat,capillary_refill_time_cat,pain_cat,peristalsis_cat,abdominal_distension_cat,nasogastric_tube_cat,nasogastric_reflux_cat,nasogastric_reflux_PH_num,rectal_examination_cat,abdomen_cat,packed_cell_volume_num,total_protein_num,abdominocentesis_appearance_cat,abdomcentesis_total_protein_num,outcome_cat,surgical_lesion_cat
24,yes,adult,38.1,60.0,12.0,cool,reduced,pale pink,<3,,absent,moderate,significant,>1l,2.0,,,51.0,65.0,,,lived,yes
25,no,adult,37.8,60.0,42.0,,,,<3,,,,,,,,,,,,,lived,no
26,yes,adult,38.3,72.0,30.0,cold,reduced,pale pink,>=3,intermittent mild pain,hypomotile,moderate,slight,none,,decreased,distended large intestine,43.0,7.0,cloudy,3.9,lived,yes
27,yes,adult,37.8,48.0,12.0,cool,normal,normal pink,<3,,hypomotile,slight,none,none,,normal,firm feces in large intestine,37.0,5.5,cloudy,1.3,lived,no
28,yes,adult,,,,,,,,,,,,,,,,,,,,died,no
29,no,adult,37.7,48.0,,warm,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,,,,45.0,76.0,,,lived,no
30,no,adult,37.7,96.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,>1l,4.0,absent,distended large intestine,66.0,7.5,,,died,yes
31,no,adult,37.2,108.0,12.0,cool,reduced,pale cyanotic,>=3,depressed,absent,slight,,<1l,6.0,decreased,firm feces in large intestine,52.0,8.2,serosanguinous,7.4,euthanized,yes
32,yes,adult,37.2,60.0,,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,,absent,distended large intestine,43.0,6.6,,,lived,yes
33,yes,adult,38.2,64.0,28.0,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,,,,,absent,distended small intestine,49.0,8.6,cloudy,6.6,lived,yes
34,yes,adult,,100.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,<1l,,absent,distended small intestine,52.0,6.6,,,lived,yes
35,no,adult,,104.0,24.0,cold,reduced,pale pink,>=3,intermittent severe pain,absent,moderate,,<1l,,,other,73.0,8.4,,,euthanized,yes
36,no,adult,38.3,112.0,16.0,,reduced,bright red,>=3,,,none,none,>1l,,,distended large intestine,51.0,6.0,cloudy,1.0,euthanized,no
37,yes,adult,37.8,72.0,,,reduced,,<3,continuous severe pain,hypomotile,none,,none,,normal,normal,56.0,80.0,clear,2.0,lived,yes
38,no,adult,38.6,52.0,,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,none,,normal,firm feces in large intestine,32.0,6.6,clear,5.0,lived,no
39,yes,young,39.2,146.0,96.0,,,,,,,,,,,,,,,,,died,yes
40,yes,adult,,88.0,,cool,reduced,dark cyanotic,>=3,continuous severe pain,hypomotile,moderate,none,<1l,,absent,distended large intestine,63.0,6.5,serosanguinous,,died,yes
41,no,young,39.0,150.0,72.0,,,,,,,,,,,,,47.0,8.5,,0.1,lived,yes
42,no,adult,38.0,60.0,12.0,cool,normal,pale pink,<3,intermittent mild pain,hypomotile,none,none,none,,increased,other,47.0,7.0,,,lived,no
43,yes,adult,,120.0,,cool,absent,pale cyanotic,<3,intermittent severe pain,absent,severe,none,none,,,distended large intestine,52.0,67.0,cloudy,2.0,euthanized,yes
44,yes,adult,35.4,140.0,24.0,cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,,slight,none,,,distended large intestine,57.0,69.0,serosanguinous,2.0,euthanized,yes
45,no,adult,,120.0,,cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,none,none,,absent,distended large intestine,60.0,6.5,serosanguinous,,died,yes
46,yes,adult,37.9,60.0,15.0,cool,,pale cyanotic,>=3,continuous severe pain,absent,severe,slight,>1l,,absent,distended large intestine,65.0,7.5,,,lived,yes
47,no,adult,37.5,48.0,16.0,normal,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,,normal,,37.0,6.5,,,lived,no
48,yes,adult,38.9,80.0,44.0,cool,reduced,pale pink,>=3,depressed,hypomotile,moderate,slight,>1l,7.0,decreased,normal,54.0,6.5,serosanguinous,,died,yes
49,no,adult,37.2,84.0,48.0,cool,reduced,bright red,>=3,intermittent severe pain,hypermotile,slight,none,>1l,,increased,normal,73.0,5.5,cloudy,4.1,died,no
50,no,adult,38.6,46.0,,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,none,none,,,other,49.0,9.1,clear,1.6,lived,no
51,yes,adult,37.4,84.0,36.0,normal,,pale pink,>=3,intermittent mild pain,hypomotile,slight,,,,absent,distended large intestine,,,serosanguinous,,died,yes
52,no,adult,,,,normal,normal,pale pink,<3,alert no pain,hypomotile,none,,,,increased,other,43.0,7.7,,,lived,no
53,no,adult,38.6,40.0,20.0,,,,<3,,,,,,,,,41.0,6.4,,,lived,no
54,no,adult,40.3,114.0,36.0,cool,reduced,normal pink,>=3,depressed,hypomotile,moderate,slight,none,7.0,normal,distended large intestine,57.0,8.1,serosanguinous,4.5,euthanized,yes
55,yes,young,38.6,160.0,20.0,cool,,bright red,<3,intermittent mild pain,hypomotile,severe,significant,,,absent,,38.0,,cloudy,,died,yes
56,yes,adult,,,,,,,,,,,,,,,,24.0,6.7,,,lived,yes
57,yes,adult,,64.0,36.0,warm,,bright pink,<3,continuous severe pain,hypomotile,moderate,slight,>1l,,,,42.0,7.7,,,died,yes
58,yes,adult,,,20.0,cold,reduced,pale pink,,continuous severe pain,absent,moderate,slight,,,absent,distended small intestine,53.0,5.9,serosanguinous,,died,yes
59,no,adult,,96.0,,cool,reduced,pale pink,>=3,continuous severe pain,absent,severe,none,>1l,,absent,distended large intestine,60.0,,,,died,yes
60,no,adult,37.8,48.0,32.0,normal,normal,pale pink,<3,depressed,hypermotile,,none,none,,absent,distended large intestine,37.0,6.7,,,lived,no
61,no,adult,38.5,60.0,,warm,increased,normal pink,<3,alert no pain,normal,slight,slight,none,,normal,normal,44.0,7.7,,,lived,no
62,yes,adult,37.8,88.0,22.0,warm,normal,bright pink,<3,intermittent mild pain,,,slight,,,absent,,64.0,8.0,clear,6.0,died,yes
63,no,adult,38.2,130.0,16.0,cold,reduced,pale cyanotic,>=3,depressed,absent,severe,none,none,,,,65.0,82.0,cloudy,2.0,euthanized,no
64,yes,adult,39.0,64.0,36.0,cool,normal,pale cyanotic,>=3,intermittent mild pain,hypomotile,slight,none,>1l,7.0,absent,distended large intestine,44.0,7.5,serosanguinous,5.0,lived,yes
65,yes,adult,,60.0,36.0,cool,normal,pale pink,<3,intermittent mild pain,hypomotile,slight,none,none,,decreased,distended small intestine,26.0,72.0,cloudy,1.0,lived,yes
66,no,adult,37.9,72.0,,normal,normal,bright red,>=3,intermittent mild pain,hypomotile,none,none,<1l,2.0,decreased,distended small intestine,58.0,74.0,clear,2.0,lived,yes
67,no,adult,38.4,54.0,24.0,normal,normal,normal pink,<3,alert no pain,hypomotile,none,slight,none,,decreased,other,49.0,7.2,clear,,lived,no
68,no,adult,,52.0,16.0,normal,,pale pink,<3,,,,slight,<1l,5.5,,,55.0,7.2,,,lived,no
69,no,adult,38.0,48.0,12.0,normal,normal,normal pink,<3,alert no pain,hypomotile,,none,none,,decreased,other,42.0,6.3,cloudy,4.1,lived,no
70,no,adult,37.0,60.0,20.0,cool,,,<3,intermittent mild pain,,moderate,slight,>1l,4.5,absent,distended small intestine,43.0,7.6,,,euthanized,yes
71,yes,adult,37.8,48.0,28.0,normal,normal,normal pink,<3,alert no pain,normal,none,slight,,,normal,normal,46.0,5.9,cloudy,7.0,lived,no
72,yes,adult,37.7,56.0,,,,,,,,,,,,,,,,,,died,yes
73,yes,adult,38.1,52.0,24.0,normal,normal,bright red,<3,intermittent severe pain,hypomotile,none,slight,<1l,7.0,normal,,54.0,7.5,cloudy,2.6,died,yes
74,yes,young,,,,,,,,,,,,,,,,37.0,4.9,,,died,yes
75,yes,young,39.7,100.0,,cool,reduced,bright red,>=3,depressed,hypomotile,,,,,,,48.0,57.0,cloudy,2.0,euthanized,yes
76,yes,adult,37.6,38.0,20.0,cool,reduced,normal pink,<3,intermittent mild pain,hypomotile,slight,,,,decreased,,37.0,68.0,,,lived,yes
77,no,adult,38.7,52.0,20.0,warm,,normal pink,<3,alert no pain,hypermotile,none,none,none,,normal,normal,33.0,77.0,,,lived,no
78,yes,adult,,,,cool,reduced,pale pink,meaning unknown,continuous severe pain,hypomotile,moderate,significant,>1l,,absent,distended large intestine,46.0,5.9,,,died,yes
79,yes,adult,37.5,96.0,18.0,normal,reduced,dark cyanotic,>=3,intermittent mild pain,absent,slight,slight,<1l,5.0,,distended small intestine,69.0,8.9,serosanguinous,,lived,yes
80,yes,adult,36.4,98.0,35.0,cool,reduced,pale cyanotic,<3,intermittent severe pain,hypomotile,slight,,,,absent,distended small intestine,47.0,6.4,serosanguinous,3.6,died,yes
81,yes,adult,37.3,40.0,,,reduced,normal pink,<3,depressed,hypomotile,slight,significant,none,,decreased,distended large intestine,36.0,,serosanguinous,2.0,lived,yes
82,yes,young,38.1,100.0,80.0,cool,normal,bright pink,<3,intermittent mild pain,absent,none,,,,normal,,36.0,5.7,,,lived,yes
83,yes,adult,38.0,,24.0,cool,reduced,dark cyanotic,>=3,continuous severe pain,,severe,none,none,,,,68.0,7.8,,,died,yes
84,yes,adult,37.8,60.0,80.0,normal,reduced,bright pink,>=3,depressed,hypomotile,moderate,,>1l,5.5,absent,,40.0,4.5,cloudy,,lived,yes
85,no,adult,38.0,54.0,30.0,warm,reduced,pale pink,meaning unknown,intermittent mild pain,hypermotile,slight,slight,>1l,,,distended small intestine,45.0,6.2,,,lived,no
86,yes,adult,,88.0,40.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,moderate,significant,,,absent,distended large intestine,50.0,7.7,serosanguinous,1.4,died,yes
87,no,adult,,40.0,16.0,,,,<3,,,,,,,,,50.0,7.0,cloudy,3.9,euthanized,yes
88,no,adult,39.0,64.0,40.0,normal,normal,bright red,<3,intermittent mild pain,hypomotile,slight,slight,none,,decreased,firm feces in large intestine,42.0,7.5,cloudy,2.3,lived,no
89,no,adult,38.3,42.0,10.0,normal,normal,normal pink,<3,alert no pain,hypermotile,none,,,,,,38.0,61.0,,,lived,no
90,no,adult,38.0,52.0,16.0,,,,,depressed,,,,<1l,1.0,normal,normal,53.0,86.0,,,lived,yes
91,no,adult,40.3,114.0,36.0,cool,reduced,normal pink,>=3,depressed,hypomotile,moderate,slight,none,7.0,normal,distended large intestine,57.0,8.1,serosanguinous,4.5,died,yes
92,no,adult,38.8,50.0,20.0,cool,normal,normal pink,<3,alert no pain,hypermotile,none,slight,none,,decreased,normal,42.0,6.2,,,lived,no
93,no,adult,,,,cool,reduced,normal pink,<3,continuous severe pain,hypomotile,moderate,none,none,,absent,distended large intestine,38.0,6.5,,,died,yes
94,no,adult,37.5,48.0,30.0,cold,normal,pale pink,<3,,normal,none,none,none,,normal,normal,48.0,8.6,,,lived,no
95,yes,adult,37.3,48.0,20.0,,normal,bright pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,,decreased,distended large intestine,41.0,69.0,,,lived,yes
96,no,adult,,84.0,36.0,,,pale pink,<3,,hypomotile,none,slight,none,,decreased,other,44.0,8.5,,,lived,yes
97,yes,adult,38.1,88.0,32.0,cool,reduced,pale cyanotic,<3,depressed,hypomotile,moderate,,<1l,1.0,absent,distended large intestine,55.0,60.0,,,euthanized,no
98,no,adult,37.7,44.0,40.0,warm,normal,pale pink,<3,alert no pain,hypomotile,slight,none,none,,normal,distended large intestine,41.0,60.0,,,lived,no
99,no,adult,39.6,108.0,51.0,cool,reduced,dark cyanotic,>=3,depressed,absent,moderate,none,>1l,,decreased,distended large intestine,59.0,8.0,cloudy,2.6,lived,no
100,yes,adult,38.2,40.0,16.0,cool,reduced,normal pink,<3,alert no pain,hypomotile,,,,,normal,normal,34.0,66.0,,,lived,no
101,yes,adult,,60.0,20.0,cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,,,none,,absent,distended large intestine,,,,,euthanized,yes
102,no,adult,38.3,40.0,16.0,cool,,normal pink,<3,depressed,,,,,,,,37.0,57.0,,,lived,no
103,yes,young,38.0,140.0,68.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,,increased,normal,39.0,5.3,,,lived,yes
104,yes,adult,37.8,52.0,24.0,normal,reduced,pale pink,<3,intermittent severe pain,absent,none,slight,<1l,5.7,increased,distended large intestine,48.0,6.6,clear,3.7,died,yes
105,yes,adult,,70.0,36.0,normal,,pale pink,>=3,depressed,hypomotile,slight,slight,,,absent,distended large intestine,36.0,7.3,,,lived,yes
106,yes,adult,38.3,52.0,96.0,,reduced,pale pink,<3,,,,none,none,,normal,,43.0,6.1,,,lived,yes
107,no,adult,37.3,50.0,32.0,normal,normal,pale pink,<3,alert no pain,hypomotile,slight,,,,normal,,44.0,7.0,,,lived,no
108,yes,adult,38.7,60.0,32.0,cold,reduced,bright pink,>=3,intermittent severe pain,absent,severe,,,,absent,distended large intestine,53.0,64.0,serosanguinous,2.0,euthanized,yes
109,yes,young,38.4,84.0,40.0,cool,reduced,bright pink,<3,intermittent mild pain,hypomotile,moderate,none,none,,,,36.0,6.6,cloudy,2.8,died,yes
110,yes,adult,,70.0,16.0,cool,absent,bright red,>=3,depressed,hypomotile,slight,slight,none,,absent,distended large intestine,60.0,7.5,,,died,yes
111,yes,adult,38.3,40.0,16.0,cool,,,<3,alert no pain,hypomotile,slight,,,,,,38.0,58.0,clear,2.0,lived,yes
112,yes,adult,,40.0,,warm,normal,normal pink,<3,alert no pain,hypomotile,none,none,none,,,distended large intestine,39.0,56.0,,,lived,yes
113,yes,adult,36.8,60.0,28.0,,,,,,,,,,,,,,,,10.0,died,yes
114,yes,adult,38.4,44.0,24.0,cool,,pale cyanotic,,continuous severe pain,absent,moderate,slight,none,,absent,distended large intestine,50.0,77.0,,,lived,yes
115,no,adult,,,40.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,,,,45.0,70.0,,,lived,no
116,yes,adult,38.0,44.0,12.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,,absent,distended large intestine,42.0,65.0,,,lived,yes
117,no,adult,39.5,,,cool,reduced,pale cyanotic,>=3,intermittent mild pain,absent,moderate,,<1l,5.5,absent,distended large intestine,,6.7,clear,,euthanized,yes
118,yes,adult,36.5,78.0,30.0,normal,,normal pink,<3,continuous severe pain,hypomotile,none,,none,,,,34.0,75.0,cloudy,1.0,lived,yes
119,no,adult,38.1,56.0,20.0,warm,normal,bright pink,<3,alert no pain,hypomotile,none,none,none,,,,46.0,70.0,,,lived,no
120,yes,adult,39.4,54.0,66.0,normal,normal,bright pink,<3,depressed,hypomotile,slight,none,none,,decreased,distended small intestine,39.0,6.0,cloudy,,lived,yes
121,yes,adult,38.3,80.0,40.0,,,dark cyanotic,>=3,intermittent severe pain,hypomotile,none,,>1l,,normal,distended small intestine,67.0,10.2,cloudy,1.0,euthanized,yes
122,no,adult,38.7,40.0,28.0,warm,normal,normal pink,<3,intermittent mild pain,hypermotile,none,,,,normal,,39.0,62.0,clear,1.0,lived,no
123,yes,adult,38.2,64.0,24.0,normal,normal,pale pink,<3,intermittent severe pain,absent,moderate,slight,none,,absent,distended small intestine,45.0,7.5,clear,2.0,died,yes
124,no,adult,37.6,48.0,20.0,cool,normal,pale cyanotic,<3,alert no pain,hypermotile,moderate,slight,none,,normal,normal,37.0,5.5,,,euthanized,yes
125,yes,adult,38.0,42.0,68.0,cold,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,slight,>1l,,absent,distended small intestine,41.0,7.6,,,lived,yes
126,yes,adult,38.7,,,cool,normal,pale pink,<3,continuous severe pain,absent,slight,,,,,,33.0,6.5,cloudy,,lived,yes
127,yes,adult,37.4,50.0,32.0,cool,reduced,,<3,intermittent severe pain,absent,none,slight,none,,normal,,45.0,7.9,cloudy,1.0,lived,yes
128,yes,adult,37.4,84.0,20.0,,,pale pink,<3,depressed,hypomotile,moderate,,,,,,31.0,61.0,,1.0,euthanized,no
129,yes,adult,38.4,49.0,,,,normal pink,<3,,,none,slight,none,,,,44.0,7.6,,,lived,yes
130,yes,adult,37.8,30.0,12.0,,,,,,,,,,,,,,,,,died,yes
131,no,adult,37.6,88.0,36.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,<1l,1.5,,,44.0,6.0,,,died,yes
132,,adult,38.0,48.0,20.0,cool,normal,pale pink,<3,intermittent severe pain,hypomotile,none,slight,none,,decreased,distended large intestine,43.0,73.0,cloudy,1.0,,yes
133,no,adult,37.9,40.0,24.0,normal,normal,normal pink,<3,depressed,hypomotile,none,,,,,firm feces in large intestine,40.0,5.7,,,lived,yes
134,yes,adult,,100.0,,cool,,pale cyanotic,>=3,continuous severe pain,absent,,slight,,,increased,,59.0,6.3,,,died,yes
135,yes,young,38.1,136.0,48.0,cool,reduced,pale pink,<3,continuous severe pain,hypermotile,moderate,slight,>1l,4.4,increased,,33.0,4.9,cloudy,2.9,died,yes
136,yes,adult,,,,cool,reduced,pale pink,>=3,continuous severe pain,hypomotile,moderate,significant,>1l,,absent,distended large intestine,46.0,5.9,,,died,yes
137,yes,adult,38.0,48.0,,normal,normal,normal pink,<3,alert no pain,normal,severe,slight,>1l,,absent,distended large intestine,,,,,lived,yes
138,no,adult,38.0,56.0,,normal,increased,pale pink,<3,alert no pain,hypermotile,none,none,none,,normal,normal,42.0,71.0,,,lived,no
139,no,adult,38.0,60.0,32.0,normal,normal,,<3,intermittent mild pain,hypomotile,,none,none,,,,50.0,7.0,clear,1.0,lived,no
140,yes,adult,38.1,44.0,9.0,cool,normal,normal pink,<3,depressed,normal,none,none,none,,absent,distended large intestine,31.0,7.3,,,lived,no
141,no,adult,36.0,42.0,30.0,,,bright red,<3,,,,,,,,,64.0,6.8,,,died,no
142,yes,adult,,120.0,,cold,reduced,dark cyanotic,>=3,continuous severe pain,absent,severe,,,,absent,distended large intestine,57.0,4.5,serosanguinous,3.9,died,yes
143,yes,adult,37.8,48.0,28.0,normal,normal,normal pink,>=3,alert no pain,normal,none,slight,,,normal,normal,46.0,5.9,cloudy,7.0,lived,no
144,yes,adult,37.1,84.0,40.0,cool,reduced,dark cyanotic,<3,depressed,absent,severe,significant,>1l,2.0,absent,distended large intestine,75.0,81.0,,,euthanized,no
145,no,adult,,80.0,32.0,cool,reduced,bright pink,<3,depressed,hypomotile,moderate,slight,none,,decreased,,50.0,80.0,,,lived,yes
146,yes,adult,38.2,48.0,,normal,reduced,pale pink,<3,intermittent mild pain,absent,severe,none,<1l,2.0,absent,distended large intestine,42.0,71.0,,,lived,yes
147,no,adult,38.0,44.0,12.0,warm,normal,pale pink,<3,intermittent mild pain,absent,moderate,none,>1l,6.5,normal,distended small intestine,33.0,6.5,,,died,yes
148,yes,adult,38.3,132.0,,,reduced,dark cyanotic,>=3,depressed,absent,slight,slight,<1l,6.2,absent,distended small intestine,57.0,8.0,,5.2,lived,yes
149,no,adult,38.7,48.0,24.0,,,,,alert no pain,hypermotile,,none,none,,normal,,34.0,63.0,,,lived,no
150,no,adult,38.9,44.0,14.0,cool,normal,normal pink,<3,depressed,hypomotile,slight,,,,,other,33.0,64.0,,,lived,no
151,yes,adult,39.3,,,cold,reduced,dark cyanotic,>=3,intermittent severe pain,absent,slight,none,<1l,4.0,absent,distended small intestine,75.0,,serosanguinous,4.3,died,yes
152,yes,adult,,100.0,,cool,reduced,pale cyanotic,>=3,,absent,severe,slight,none,2.0,,,68.0,64.0,serosanguinous,2.0,lived,yes
153,no,adult,38.6,48.0,20.0,cool,normal,normal pink,<3,alert no pain,hypomotile,slight,slight,none,,decreased,other,50.0,7.3,clear,,lived,no
154,no,adult,38.8,48.0,40.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,severe,slight,,,,distended large intestine,41.0,65.0,,,lived,yes
155,no,adult,38.0,48.0,20.0,cool,reduced,pale cyanotic,<3,alert no pain,absent,slight,slight,,5.0,,other,49.0,8.3,clear,,lived,no
156,no,adult,38.6,52.0,20.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,none,,normal,firm feces in large intestine,36.0,6.6,clear,5.0,lived,no
157,yes,adult,37.8,60.0,24.0,normal,,pale pink,>=3,,absent,severe,slight,<1l,2.0,,distended large intestine,52.0,75.0,,,euthanized,yes
158,no,adult,38.0,42.0,40.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,none,,,,,,,,,,lived,no
159,no,adult,,,12.0,normal,normal,bright pink,<3,depressed,hypermotile,slight,significant,none,,normal,firm feces in large intestine,44.0,7.5,cloudy,,lived,no
160,yes,adult,,,,,,,,intermittent severe pain,,,none,none,,,distended large intestine,35.0,58.0,cloudy,1.0,lived,yes
161,yes,adult,38.3,42.0,24.0,,,,<3,,,,,,,,,40.0,8.5,,,died,yes
162,no,adult,39.5,60.0,10.0,cool,,,>=3,intermittent mild pain,hypomotile,slight,slight,none,,decreased,,38.0,56.0,clear,,lived,no
163,yes,adult,38.0,66.0,20.0,normal,reduced,pale pink,<3,continuous severe pain,hypomotile,none,none,none,,decreased,,46.0,46.0,serosanguinous,2.0,euthanized,yes
164,yes,adult,38.7,76.0,,normal,normal,bright red,>=3,intermittent mild pain,hypomotile,slight,slight,>1l,,absent,distended small intestine,50.0,8.0,,,lived,yes
165,yes,adult,39.4,120.0,48.0,,,bright red,<3,,hypomotile,moderate,none,,,absent,,56.0,64.0,clear,2.0,euthanized,no
166,yes,adult,38.3,40.0,18.0,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,none,,,,increased,normal,43.0,5.9,clear,,lived,no
167,no,adult,,44.0,24.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,none,slight,none,,,normal,,6.3,,,lived,no
168,yes,adult,38.4,104.0,40.0,normal,normal,pale pink,<3,depressed,absent,slight,slight,<1l,6.5,,distended small intestine,55.0,8.5,,,lived,yes
169,yes,adult,,65.0,24.0,,,,>=3,continuous severe pain,,severe,significant,none,,,distended large intestine,,,,,euthanized,yes
170,no,adult,37.5,44.0,20.0,normal,normal,pale pink,<3,,hypermotile,none,,,,normal,,35.0,7.2,,,lived,no
171,no,adult,39.0,86.0,16.0,cool,reduced,bright red,,intermittent mild pain,hypomotile,moderate,,>1l,,,,68.0,5.8,serosanguinous,6.0,died,yes
172,yes,adult,38.5,129.0,48.0,cool,reduced,pale pink,<3,depressed,absent,moderate,none,<1l,2.0,,,57.0,66.0,serosanguinous,2.0,lived,yes
173,yes,adult,,104.0,,cool,reduced,bright red,>=3,depressed,absent,moderate,,<1l,,absent,distended small intestine,69.0,8.6,cloudy,3.4,died,yes
174,no,adult,,,,cool,absent,dark cyanotic,,intermittent severe pain,,severe,,,,,,,,,,died,yes
175,yes,adult,,,,,,,,,,,,,,,,,,,,lived,yes
176,yes,adult,38.2,60.0,30.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,none,slight,none,,decreased,other,48.0,66.0,,,lived,yes
177,yes,adult,,68.0,14.0,,,pale cyanotic,<3,intermittent severe pain,,,,none,4.3,,,,,cloudy,2.8,died,yes
178,yes,adult,,60.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,none,none,,absent,,45.0,70.0,serosanguinous,2.0,lived,yes
179,no,adult,38.5,100.0,,cool,reduced,bright red,>=3,intermittent severe pain,hypomotile,severe,slight,none,,absent,distended large intestine,,,,,euthanized,no
