,Winner_cat,Judge_cat,Official_cat,Round_cat
85,Trinidad,Associated_Press,No,2
86,de_la_Hoya,Associated_Press,No,3
87,de_la_Hoya,Associated_Press,No,4
88,de_la_Hoya,Associated_Press,No,5
89,de_la_Hoya,Associated_Press,No,6
90,Trinidad,Associated_Press,No,7
91,de_la_Hoya,Associated_Press,No,8
92,de_la_Hoya,Associated_Press,No,9
93,Trinidad,Associated_Press,No,10
94,Trinidad,Associated_Press,No,11
95,Trinidad,Associated_Press,No,12
96,de_la_Hoya,Las_Vegas_Review-Journal,No,1
97,Trinidad,Las_Vegas_Review-Journal,No,2
98,de_la_Hoya,Las_Vegas_Review-Journal,No,3
99,Trinidad,Las_Vegas_Review-Journal,No,4
100,de_la_Hoya,Las_Vegas_Review-Journal,No,5
101,de_la_Hoya,Las_Vegas_Review-Journal,No,6
102,de_la_Hoya,Las_Vegas_Review-Journal,No,7
103,de_la_Hoya,Las_Vegas_Review-Journal,No,8
104,de_la_Hoya,Las_Vegas_Review-Journal,No,9
105,de_la_Hoya,Las_Vegas_Review-Journal,No,10
106,Trinidad,Las_Vegas_Review-Journal,No,11
107,Trinidad,Las_Vegas_Review-Journal,No,12
108,de_la_Hoya,Los_Angeles_Times-Springer,No,1
109,de_la_Hoya,Los_Angeles_Times-Springer,No,2
110,de_la_Hoya,Los_Angeles_Times-Springer,No,3
111,Trinidad,Los_Angeles_Times-Springer,No,4
112,de_la_Hoya,Los_Angeles_Times-Springer,No,5
113,de_la_Hoya,Los_Angeles_Times-Springer,No,6
114,Trinidad,Los_Angeles_Times-Springer,No,7
115,de_la_Hoya,Los_Angeles_Times-Springer,No,8
116,de_la_Hoya,Los_Angeles_Times-Springer,No,9
117,Trinidad,Los_Angeles_Times-Springer,No,10
118,Trinidad,Los_Angeles_Times-Springer,No,11
119,Trinidad,Los_Angeles_Times-Springer,No,12
120,de_la_Hoya,van_de_Wiele,No,1
121,Trinidad,van_de_Wiele,No,2
122,de_la_Hoya,van_de_Wiele,No,3
123,Trinidad,van_de_Wiele,No,4
124,Trinidad,van_de_Wiele,No,5
125,de_la_Hoya,van_de_Wiele,No,6
126,de_la_Hoya,van_de_Wiele,No,7
127,de_la_Hoya,van_de_Wiele,No,8
128,Trinidad,van_de_Wiele,No,9
129,Trinidad,van_de_Wiele,No,10
130,Trinidad,van_de_Wiele,No,11
131,Trinidad,van_de_Wiele,No,12
