,Show_run_cat,Type_cat,Revival_cat,NYT_rating_num,DN_rating_num,Tony_awards_cat,Tony_nominations_cat,Week_1_attendance_num
69,Less_than_6_months,Musical_revue,No,1.0,1.66667,0,0,60.59
70,Less_than_6_months,Play,Yes,4.66667,5.0,0,3,71.9
71,Less_than_6_months,Play,No,2.0,1.66667,0,0,29.35
72,Less_than_6_months,Play,Yes,4.0,5.0,0,3,99.94
73,Less_than_6_months,Play,No,1.66667,3.66667,0,0,79.69
74,1-2_years,Play,No,3.0,4.33333,1,4,81.39
75,1-2_years,Musical,No,2.33333,2.0,2,6,44.08
76,Less_than_6_months,Play,Yes,2.0,1.66667,0,1,92.21
77,More_than_3_years,Musical,No,3.33333,5.0,2,4,96.63
78,Less_than_6_months,Play,Yes,1.66667,2.0,0,1,74.4
79,Less_than_6_months,Play,No,2.66667,5.0,0,4,42.33
80,Less_than_6_months,Play,No,5.0,3.0,0,0,83.91
81,Less_than_6_months,Play,Yes,2.0,1.33333,0,0,73.85
82,1-2_years,Musical,No,2.0,2.66667,0,2,92.78
83,1-2_years,Musical,Yes,2.66667,2.0,0,1,87.43
84,6-12_months,Play,Yes,4.33333,5.0,0,0,65.21
85,Less_than_6_months,Play,Yes,4.66667,1.66667,0,0,
86,Less_than_6_months,Play,Yes,3.0,1.66667,0,0,100.0
87,6-12_months,Play,No,5.0,4.66667,0,0,91.91
88,Less_than_6_months,Play,No,3.33333,5.0,0,3,56.99
89,1-2_years,Musical,No,2.0,3.0,1,1,71.26
90,Less_than_6_months,Musical,No,2.0,4.33333,0,1,77.28
91,Less_than_6_months,Play,Yes,3.0,5.0,0,1,97.47
92,Less_than_6_months,Play,Yes,1.66667,1.0,0,0,92.44
93,Less_than_6_months,Musical,Yes,2.0,2.0,2,4,54.05
94,6-12_months,Musical,Yes,4.33333,5.0,0,3,99.15
