,abdomen_cat,nasogastric_reflux_cat,packed_cell_volume_num,rectal_temperature_num,surgical_lesion_cat,pain_cat,abdominocentesis_appearance_cat,abdomcentesis_total_protein_num,pulse_num,Age_cat,outcome_cat,temperature_of_extremities_cat,total_protein_num,nasogastric_tube_cat
40,5,3,63.0,,1,5,3,,88.0,1,2,3,6.5,1
41,,,47.0,39.0,1,,,0.1,150.0,9,1,,8.5,
42,2,1,47.0,38.0,2,3,,,60.0,1,1,3,7.0,1
43,5,1,52.0,,1,4,2,2.0,120.0,1,3,3,67.0,1
44,5,1,57.0,35.4,1,4,3,2.0,140.0,1,3,3,69.0,2
45,5,1,60.0,,1,5,3,,120.0,1,2,4,6.5,1
46,5,2,65.0,37.9,1,5,,,60.0,1,1,3,7.5,2
47,,1,37.0,37.5,2,1,,,48.0,1,1,1,6.5,1
48,1,2,54.0,38.9,1,2,3,,80.0,1,2,3,6.5,2
49,1,2,73.0,37.2,2,4,2,4.1,84.0,1,2,3,5.5,1
50,2,1,49.0,38.6,2,1,1,1.6,46.0,1,1,1,9.1,1
51,5,,,37.4,1,3,3,,84.0,1,2,1,,
52,2,,43.0,,2,1,,,,1,1,1,7.7,
53,,,41.0,38.6,2,,,,40.0,1,1,,6.4,
54,5,1,57.0,40.3,1,2,3,4.5,114.0,1,3,3,8.1,2
55,,,38.0,38.6,1,3,2,,160.0,9,2,3,,3
56,,,24.0,,1,,,,,1,1,,6.7,
57,,2,42.0,,1,5,,,64.0,1,2,2,7.7,2
58,4,,53.0,,1,5,3,,,1,2,4,5.9,2
59,5,2,60.0,,1,5,,,96.0,1,2,3,,1
60,5,1,37.0,37.8,2,2,,,48.0,1,1,1,6.7,1
61,1,1,44.0,38.5,2,1,,,60.0,1,1,2,7.7,2
62,,,64.0,37.8,1,3,1,6.0,88.0,1,2,2,8.0,2
63,,1,65.0,38.2,2,2,2,2.0,130.0,1,3,4,82.0,1
64,5,2,44.0,39.0,1,3,3,5.0,64.0,1,1,3,7.5,1
65,4,1,26.0,,1,3,2,1.0,60.0,1,1,3,72.0,1
66,4,3,58.0,37.9,1,3,1,2.0,72.0,1,1,1,74.0,1
67,2,1,49.0,38.4,2,1,1,,54.0,1,1,1,7.2,2
68,,3,55.0,,2,,,,52.0,1,1,1,7.2,2
69,2,1,42.0,38.0,2,1,2,4.1,48.0,1,1,1,6.3,1
70,4,2,43.0,37.0,1,3,,,60.0,1,3,3,7.6,2
71,1,,46.0,37.8,2,1,2,7.0,48.0,1,1,1,5.9,2
72,,,,37.7,1,,,,56.0,1,2,,,
73,,3,54.0,38.1,1,4,2,2.6,52.0,1,2,1,7.5,2
74,,,37.0,,1,,,,,9,2,,4.9,
75,,,48.0,39.7,1,2,2,2.0,100.0,9,3,3,57.0,
76,,,37.0,37.6,1,3,,,38.0,1,1,3,68.0,
77,1,1,33.0,38.7,2,1,,,52.0,1,1,2,77.0,1
78,5,2,46.0,,1,5,,,,1,2,3,5.9,3
79,4,3,69.0,37.5,1,3,3,,96.0,1,1,1,8.9,2
80,4,,47.0,36.4,1,4,3,3.6,98.0,1,2,3,6.4,
81,5,1,36.0,37.3,1,2,3,2.0,40.0,1,1,,,3
82,,,36.0,38.1,1,3,,,100.0,9,1,3,5.7,
83,,1,68.0,38.0,1,5,,,,1,2,3,7.8,1
84,,2,40.0,37.8,1,2,2,,60.0,1,1,1,4.5,
85,4,2,45.0,38.0,2,3,,,54.0,1,1,2,6.2,2
86,5,,50.0,,1,5,3,1.4,88.0,1,2,3,7.7,3
87,,,50.0,,1,,2,3.9,40.0,1,3,,7.0,
88,3,1,42.0,39.0,2,3,2,2.3,64.0,1,1,1,7.5,2
89,,,38.0,38.3,2,1,,,42.0,1,1,1,61.0,
90,1,3,53.0,38.0,1,2,,,52.0,1,1,,86.0,
91,5,1,57.0,40.3,1,2,3,4.5,114.0,1,2,3,8.1,2
92,1,1,42.0,38.8,2,1,,,50.0,1,1,3,6.2,2
93,5,1,38.0,,1,5,,,,1,2,3,6.5,1
94,1,1,48.0,37.5,2,,,,48.0,1,1,4,8.6,1
95,5,1,41.0,37.3,1,3,,,48.0,1,1,,69.0,2
96,2,1,44.0,,1,,,,84.0,1,1,,8.5,2
97,5,3,55.0,38.1,2,2,,,88.0,1,3,3,60.0,
98,5,1,41.0,37.7,2,1,,,44.0,1,1,2,60.0,1
99,5,2,59.0,39.6,2,2,2,2.6,108.0,1,1,3,8.0,1
100,1,,34.0,38.2,2,1,,,40.0,1,1,3,66.0,
101,5,1,,,1,5,,,60.0,1,3,4,,
102,,,37.0,38.3,2,2,,,40.0,1,1,3,57.0,
103,1,,39.0,38.0,1,3,,,140.0,9,1,1,5.3,
104,5,3,48.0,37.8,1,4,1,3.7,52.0,1,2,1,6.6,2
105,5,,36.0,,1,2,,,70.0,1,1,1,7.3,2
106,,1,43.0,38.3,1,,,,52.0,1,1,,6.1,1
107,,,44.0,37.3,2,1,,,50.0,1,1,1,7.0,
108,5,,53.0,38.7,1,4,3,2.0,60.0,1,3,4,64.0,
109,,1,36.0,38.4,1,3,2,2.8,84.0,9,2,3,6.6,1
110,5,1,60.0,,1,2,,,70.0,1,2,3,7.5,2
111,,,38.0,38.3,1,1,1,2.0,40.0,1,1,3,58.0,
112,5,1,39.0,,1,1,,,40.0,1,1,2,56.0,1
113,,,,36.8,1,,,10.0,60.0,1,2,,,
114,5,1,50.0,38.4,1,5,,,44.0,1,1,3,77.0,2
115,,,45.0,,2,3,,,,1,1,3,70.0,
116,5,1,42.0,38.0,1,3,,,44.0,1,1,1,65.0,2
117,5,3,,39.5,1,3,1,,,1,3,3,6.7,
118,,1,34.0,36.5,1,5,2,1.0,78.0,1,1,1,75.0,
119,,1,46.0,38.1,2,1,,,56.0,1,1,2,70.0,1
120,4,1,39.0,39.4,1,2,2,,54.0,1,1,1,6.0,1
121,4,2,67.0,38.3,1,4,2,1.0,80.0,1,3,,10.2,
122,,,39.0,38.7,2,3,1,1.0,40.0,1,1,2,62.0,
123,4,1,45.0,38.2,1,4,1,2.0,64.0,1,2,1,7.5,2
124,1,1,37.0,37.6,1,1,,,48.0,1,3,3,5.5,2
125,4,2,41.0,38.0,1,3,,,42.0,1,1,4,7.6,2
126,,,33.0,38.7,1,5,2,,,1,1,3,6.5,
127,,1,45.0,37.4,1,4,2,1.0,50.0,1,1,3,7.9,2
128,,,31.0,37.4,2,2,,1.0,84.0,1,3,,61.0,
129,,1,44.0,38.4,1,,,,49.0,1,1,,7.6,2
130,,,,37.8,1,,,,30.0,1,2,,,
131,,3,44.0,37.6,1,3,,,88.0,1,2,3,6.0,1
132,5,1,43.0,38.0,1,4,2,1.0,48.0,1,,3,73.0,2
133,3,,40.0,37.9,1,2,,,40.0,1,1,1,5.7,
134,,,59.0,,1,5,,,100.0,1,2,3,6.3,2
135,,2,33.0,38.1,1,5,2,2.9,136.0,9,2,3,4.9,2
136,5,2,46.0,,1,5,,,,1,2,3,5.9,3
137,5,2,,38.0,1,1,,,48.0,1,1,1,,2
138,1,1,42.0,38.0,2,1,,,56.0,1,1,1,71.0,1
139,,1,50.0,38.0,2,3,1,1.0,60.0,1,1,1,7.0,1
140,5,1,31.0,38.1,2,2,,,44.0,1,1,3,7.3,1
141,,,64.0,36.0,2,,,,42.0,1,2,,6.8,
142,5,,57.0,,1,5,3,3.9,120.0,1,2,4,4.5,
143,1,,46.0,37.8,2,1,2,7.0,48.0,1,1,1,5.9,2
144,5,2,75.0,37.1,2,2,,,84.0,1,3,3,81.0,3
145,,1,50.0,,1,2,,,80.0,1,1,3,80.0,2
146,5,3,42.0,38.2,1,3,,,48.0,1,1,1,71.0,1
147,4,2,33.0,38.0,1,3,,,44.0,1,2,2,6.5,1
148,4,3,57.0,38.3,1,2,,5.2,132.0,1,1,,8.0,2
149,,1,34.0,38.7,2,1,,,48.0,1,1,,63.0,1
150,2,,33.0,38.9,2,2,,,44.0,1,1,3,64.0,
151,4,3,75.0,39.3,1,4,3,4.3,,1,2,4,,1
152,,1,68.0,,1,,3,2.0,100.0,1,1,3,64.0,2
153,2,1,50.0,38.6,2,1,1,,48.0,1,1,3,7.3,2
154,5,,41.0,38.8,1,3,,,48.0,1,1,1,65.0,2
155,2,,49.0,38.0,2,1,1,,48.0,1,1,3,8.3,2
156,3,1,36.0,38.6,2,3,1,5.0,52.0,1,1,1,6.6,1
157,5,3,52.0,37.8,1,,,,60.0,1,3,1,75.0,2
158,,,,38.0,2,3,,,42.0,1,1,3,,
159,3,1,44.0,,2,2,2,,,1,1,1,7.5,3
160,5,1,35.0,,1,4,2,1.0,,1,1,,58.0,1
161,,,40.0,38.3,1,,,,42.0,1,2,,8.5,
162,,1,38.0,39.5,2,3,1,,60.0,1,1,3,56.0,2
163,,1,46.0,38.0,1,5,3,2.0,66.0,1,3,1,46.0,1
164,4,2,50.0,38.7,1,3,,,76.0,1,1,1,8.0,2
165,,,56.0,39.4,2,,1,2.0,120.0,1,3,,64.0,1
166,1,,43.0,38.3,2,3,1,,40.0,1,1,1,5.9,
167,1,1,,,2,3,,,44.0,1,1,1,6.3,2
168,4,3,55.0,38.4,1,2,,,104.0,1,1,1,8.5,2
169,5,1,,,1,5,,,65.0,1,3,,,3
170,,,35.0,37.5,2,,,,44.0,1,1,1,7.2,
171,,2,68.0,39.0,1,3,3,6.0,86.0,1,2,3,5.8,
172,,3,57.0,38.5,1,2,3,2.0,129.0,1,1,3,66.0,1
173,4,3,69.0,,1,2,2,3.4,104.0,1,2,3,8.6,
174,,,,,1,4,,,,1,2,3,,
175,,,,,1,,,,,1,1,,,
176,2,1,48.0,38.2,1,3,,,60.0,1,1,1,66.0,2
177,,1,,,1,4,2,2.8,68.0,1,2,,,
178,,1,45.0,,1,5,3,2.0,60.0,1,1,3,70.0,1
179,5,1,,38.5,2,4,,,100.0,1,3,3,,2
180,4,3,47.0,38.4,1,4,3,,84.0,1,2,3,7.5,2
181,,3,35.0,37.8,2,3,,,48.0,1,1,,7.5,1
182,,1,68.0,38.0,1,5,,,,1,2,3,7.8,1
183,,1,44.0,37.8,2,2,1,1.0,56.0,1,1,1,68.0,2
184,1,1,43.0,38.2,2,1,,,68.0,1,1,2,65.0,3
185,,,54.0,38.5,1,,,,120.0,1,1,4,,
186,,2,39.0,39.3,1,,,,64.0,1,1,2,6.7,1
187,5,3,32.0,38.4,1,3,3,4.3,80.0,1,1,4,6.1,3
188,,,33.0,38.5,1,,1,,60.0,1,1,1,53.0,
189,4,2,30.0,38.3,1,2,1,3.0,60.0,1,1,3,6.0,2
190,3,1,23.0,37.1,1,3,3,,40.0,1,1,,6.7,1
191,,,37.0,,2,4,,,100.0,9,1,2,4.7,
192,,2,48.0,38.2,1,3,1,2.0,48.0,1,1,1,74.0,1
193,,,58.0,,1,4,,,60.0,1,2,3,7.6,
194,1,,37.0,37.9,2,2,,,88.0,1,1,1,56.0,
195,,,42.0,38.0,2,,,,44.0,1,1,3,64.0,
196,3,1,63.0,38.5,2,2,2,2.3,60.0,1,3,1,7.5,2
197,5,2,70.0,38.5,1,2,,,96.0,1,2,3,8.5,1
198,,,34.0,38.3,2,1,,,60.0,1,1,1,66.0,
199,2,,49.0,38.5,2,2,,,60.0,1,1,3,59.0,
200,3,1,40.0,37.3,1,3,2,,48.0,1,1,1,6.6,2
201,5,1,45.0,38.5,1,4,1,3.4,86.0,1,2,1,7.4,2
202,5,1,41.0,37.5,1,,3,2.0,48.0,1,3,,55.0,1
203,1,1,35.0,37.2,2,2,,,36.0,1,1,1,5.7,2
204,,,36.0,39.2,1,4,1,3.0,,1,1,3,6.6,2
205,5,1,,38.5,2,4,,,100.0,1,3,3,,2
206,5,1,50.0,38.5,1,4,,,96.0,1,1,2,65.0,2
207,,,45.0,,1,,,,,1,2,,8.7,
208,5,3,64.0,37.8,1,,,,88.0,1,3,3,89.0,2
209,3,,43.0,37.5,2,3,1,1.0,44.0,1,1,3,51.0,2
210,5,,45.0,37.9,1,2,3,2.8,68.0,1,2,,4.0,
211,5,1,45.0,38.0,1,2,1,10.1,86.0,1,2,4,5.5,1
212,,1,47.0,38.9,2,3,1,,120.0,9,1,1,6.3,3
213,4,1,39.0,37.6,1,,2,1.5,45.0,1,1,3,7.0,2
214,,,40.0,38.6,2,1,2,2.1,56.0,1,1,2,7.0,2
215,2,1,38.0,37.8,1,1,,,40.0,1,1,1,7.0,2
216,,,,,2,,,,,1,1,,,
217,,,71.0,38.0,1,,,,76.0,1,1,,11.0,
218,,,,38.1,1,2,,,40.0,1,3,1,,
219,4,1,37.0,,1,3,,,52.0,1,1,3,8.1,2
220,,,,39.2,2,5,2,2.0,88.0,1,3,4,,
221,,,46.0,38.5,1,2,2,2.0,92.0,1,1,4,67.0,
222,4,1,60.0,,1,2,3,,112.0,1,1,4,6.3,2
223,4,,31.5,37.7,1,3,2,1.6,66.0,1,1,1,6.2,2
224,5,1,38.0,38.8,1,3,,,50.0,1,1,1,58.0,1
225,2,1,49.0,38.4,2,1,1,8.0,54.0,1,1,1,7.2,2
226,4,3,60.0,39.2,1,2,3,,120.0,1,2,4,8.8,1
227,,,45.0,,1,,2,,,9,1,,6.5,
228,5,2,65.0,37.3,1,5,3,2.0,90.0,1,3,3,50.0,2
229,,,35.0,38.5,1,,1,1.0,120.0,9,1,,54.0,2
230,,,,38.5,1,4,,,104.0,1,1,3,,
231,,3,72.0,39.5,2,5,,3.6,92.0,1,2,3,6.4,
232,,,40.0,38.5,1,,,,30.0,1,1,,7.7,
233,5,1,43.0,38.3,1,3,2,3.9,72.0,1,1,4,7.0,2
234,1,1,48.0,37.5,2,,,,48.0,1,1,4,8.6,1
235,,3,54.0,38.1,1,4,2,2.6,52.0,1,2,1,7.5,2
236,,,36.0,38.2,2,3,,,42.0,1,1,1,6.9,
237,2,1,47.0,37.9,2,3,3,1.0,54.0,1,1,2,54.0,
238,4,3,45.0,36.1,1,3,3,4.8,88.0,1,3,3,7.0,2
239,5,,36.0,38.1,1,5,,,70.0,1,3,,65.0,
240,5,,55.0,38.0,1,5,,,90.0,1,2,4,6.1,
241,,1,43.0,38.2,2,1,,,52.0,1,1,1,8.1,1
242,4,3,41.0,,1,5,,,36.0,1,2,1,5.9,2
243,,,,38.4,1,,,,92.0,1,1,1,,
244,,,47.0,38.2,1,2,1,,124.0,9,1,1,8.0,
245,5,1,60.0,,1,5,,,96.0,1,2,3,,
246,5,2,47.0,37.6,1,4,1,,68.0,1,1,3,7.2,2
247,4,1,41.0,38.1,1,5,,,88.0,1,2,3,4.6,2
248,4,,,38.0,1,4,3,,108.0,1,1,2,,2
249,2,1,34.0,38.2,2,3,,,48.0,1,1,2,6.6,2
250,4,3,66.0,39.3,1,2,3,2.0,100.0,1,3,4,13.0,1
251,5,1,52.0,36.6,1,1,,,42.0,1,2,3,7.1,1
252,4,1,50.0,38.8,1,2,3,,124.0,9,2,3,7.6,1
253,,,40.0,,2,5,3,2.6,112.0,1,1,3,5.3,
254,5,,43.0,,1,4,,,80.0,1,1,3,70.0,
255,,,33.0,38.8,1,4,,,184.0,9,2,1,3.3,
256,,1,35.0,37.5,1,2,2,2.0,72.0,1,3,2,65.0,1
257,,3,64.0,38.7,1,,,,96.0,1,2,3,9.0,
258,5,1,36.0,37.5,2,2,1,1.0,52.0,1,1,1,61.0,2
259,,1,54.0,40.8,1,2,3,,72.0,1,2,3,7.4,2
260,,1,37.0,38.0,2,4,,,40.0,1,1,,69.0,1
261,2,1,39.0,38.4,2,1,,,48.0,1,1,2,6.5,2
262,,,35.0,38.6,2,,,,88.0,9,1,,5.9,
263,4,3,48.0,37.1,1,4,3,3.2,75.0,1,2,,7.4,2
264,5,1,44.0,38.3,1,3,2,4.4,44.0,1,1,3,6.5,2
265,,1,40.0,,1,3,,,56.0,1,3,3,6.0,2
266,5,1,38.0,38.6,2,3,1,,68.0,1,1,2,6.5,1
267,4,3,44.0,38.3,2,2,3,,54.0,1,1,3,7.2,
268,,,47.0,38.2,2,,,,42.0,1,1,,60.0,
269,5,2,39.0,39.3,1,,,,64.0,1,1,2,6.7,1
270,4,2,35.0,37.5,1,3,,,60.0,1,2,3,6.5,2
271,1,3,50.0,37.7,1,5,3,2.0,80.0,1,1,3,55.0,2
272,4,3,52.0,,1,5,,,100.0,1,1,3,6.6,3
273,,1,65.0,37.7,1,5,3,,120.0,1,2,3,7.0,1
274,5,,,,1,,,,76.0,1,3,,,
275,,1,50.0,38.8,1,5,,,150.0,9,2,1,6.2,1
276,,3,37.0,38.0,2,4,2,1.0,36.0,1,3,3,75.0,3
277,,1,37.5,36.9,2,1,,,50.0,1,1,2,6.5,3
278,1,,37.0,37.8,2,1,,,40.0,1,1,1,6.8,
279,,2,47.0,38.2,2,2,1,2.5,56.0,1,1,4,7.2,2
280,,,36.0,38.6,2,1,,,48.0,1,1,,67.0,
281,1,1,66.0,40.0,1,2,,,78.0,1,2,3,6.5,1
282,5,1,60.0,,1,2,,,70.0,1,2,3,7.5,2
283,,,35.0,38.2,1,,,,72.0,1,1,,6.4,
284,,1,40.0,38.5,2,3,2,7.0,54.0,1,1,1,6.8,2
285,5,1,40.0,38.5,1,3,1,,66.0,1,1,1,6.7,2
286,,3,50.0,37.8,1,4,,,82.0,1,3,3,7.0,1
287,,,28.0,39.5,2,,,,84.0,9,1,,5.0,
288,,,,,1,,,,,1,1,,,
289,,,39.0,38.0,1,3,1,5.3,50.0,1,1,,6.6,
290,1,,43.0,38.6,2,1,,,45.0,1,1,2,58.0,
291,1,2,54.0,38.9,1,2,3,,80.0,1,2,3,6.5,2
292,5,,35.0,37.0,1,4,2,,66.0,1,2,1,6.9,1
293,4,1,43.0,,2,,,2.0,78.0,1,3,3,62.0,2
294,2,,37.0,38.5,2,2,,,40.0,1,1,1,67.0,
295,5,,55.0,,2,2,,,120.0,1,3,4,65.0,
296,4,1,44.0,37.2,1,4,3,3.3,72.0,1,3,3,,3
297,5,1,60.0,37.5,1,4,,,72.0,1,2,4,6.8,2
298,4,1,50.0,36.5,1,3,3,3.4,100.0,1,1,3,6.0,3
299,1,,36.0,37.2,2,,1,1.0,40.0,1,3,,62.0,
300,2,2,42.0,38.5,2,3,,,54.0,1,1,,6.3,2
301,,,44.0,37.6,2,,1,5.0,48.0,1,1,,6.3,
302,5,1,45.0,37.7,1,5,3,2.0,44.0,1,1,,70.0,1
303,,1,35.0,37.0,2,4,3,2.0,56.0,1,3,3,61.0,1
304,2,,37.0,38.0,2,1,,,42.0,1,1,3,5.8,
305,5,2,42.0,,1,,,,60.0,1,1,3,72.0,3
306,1,2,54.0,38.4,2,3,,,80.0,1,1,3,6.9,2
307,,,48.0,37.8,2,3,1,,48.0,1,1,2,7.3,2
308,5,,,38.0,1,2,,,65.0,1,,,,
309,,1,33.0,37.9,1,2,3,,45.0,1,1,3,5.7,2
310,4,2,62.0,39.0,1,2,2,2.2,84.0,1,2,3,5.9,1
311,4,3,53.0,38.2,2,3,2,1.4,60.0,1,1,3,7.5,3
312,5,1,30.0,,2,5,,,140.0,1,2,,69.0,1
313,5,2,52.0,37.9,1,5,3,1.8,120.0,1,2,3,6.6,2
314,5,1,38.0,38.0,2,3,2,2.0,72.0,1,1,1,6.8,2
315,,,37.0,38.0,2,1,1,1.1,92.0,9,1,1,6.1,3
316,5,2,37.0,38.3,1,2,,,66.0,1,1,2,6.0,3
317,2,1,43.0,37.5,2,2,1,2.8,48.0,1,1,3,6.0,1
318,,,35.0,37.5,1,4,1,,88.0,1,2,2,6.4,
319,,,,,1,5,,,150.0,9,2,4,,
320,5,,65.0,39.7,1,4,,,100.0,1,3,,75.0,1
321,4,1,45.0,38.3,1,5,2,4.6,80.0,1,1,3,7.5,2
322,5,1,32.0,37.5,1,3,1,1.1,40.0,1,1,3,6.4,2
323,4,3,47.0,38.4,1,4,3,,84.0,1,2,3,7.5,2
324,4,3,60.0,38.1,1,5,,5.7,84.0,1,2,4,6.8,1
325,3,,4.0,38.7,2,1,,,52.0,1,1,1,74.0,
326,3,,35.0,38.1,2,3,,,44.0,1,1,2,6.8,
327,5,1,41.0,38.4,2,1,1,1.0,52.0,1,1,2,63.0,2
328,4,1,43.0,38.2,1,2,2,3.9,60.0,1,1,1,6.2,1
329,3,1,36.0,37.7,2,3,,,40.0,1,1,1,3.5,1
330,4,,,39.1,1,2,,,60.0,1,1,,,
331,3,1,43.0,37.8,2,,,,48.0,1,1,1,7.5,2
332,,3,65.0,39.0,2,2,3,4.6,120.0,1,1,4,8.2,2
333,5,2,35.0,38.2,1,5,2,0.9,76.0,1,1,2,6.5,1
334,,,,38.3,2,,,,88.0,1,2,,,
335,,,48.0,38.0,1,,,4.3,80.0,1,1,3,8.3,
336,4,3,,,1,2,2,,,1,2,3,,1
337,1,,,37.6,1,1,2,2.1,40.0,1,1,1,,
338,,,45.0,37.5,2,3,2,1.4,44.0,1,1,1,5.8,
339,,,35.0,38.2,2,1,1,1.0,42.0,1,1,1,60.0,
340,,1,47.0,38.0,2,,2,1.0,56.0,1,1,3,70.0,2
341,,,,38.3,2,2,,,45.0,1,1,3,,2
342,4,1,42.0,,1,,1,,48.0,1,1,1,8.0,2
343,5,3,,37.7,1,2,,,55.0,1,1,2,,
344,5,1,74.0,36.0,1,2,2,2.5,100.0,1,3,4,5.7,1
345,4,2,64.0,37.1,1,3,2,,60.0,1,1,2,8.5,
346,3,,32.0,37.1,2,2,3,6.5,114.0,1,1,3,,
347,5,1,37.0,38.1,1,4,3,1.0,72.0,1,1,3,56.0,2
348,2,,40.0,37.0,1,1,3,8.0,44.0,1,1,3,6.7,
349,,,37.0,38.6,1,4,,,48.0,1,1,3,75.0,
350,4,3,53.0,,1,2,3,2.0,82.0,1,3,3,65.0,
351,,,59.0,38.2,1,3,3,3.1,78.0,9,2,4,5.8,
352,,2,41.0,37.8,2,2,,,60.0,1,3,1,73.0,1
353,,,33.0,38.7,1,2,,2.0,34.0,1,3,2,69.0,
354,5,1,44.0,,1,1,,,36.0,1,1,1,,1
355,,,6.4,38.3,1,,,,44.0,1,1,,36.0,
356,5,2,30.0,37.4,1,3,2,,54.0,1,1,3,7.1,2
357,,,54.0,,1,2,3,2.0,,1,1,4,76.0,
358,,1,27.0,36.6,1,4,,,48.0,1,3,3,56.0,1
359,5,3,47.0,38.5,1,3,,,90.0,1,1,1,79.0,2
360,,3,58.0,,1,5,1,,75.0,1,1,1,8.5,
361,2,1,35.0,38.2,2,1,2,,42.0,1,1,3,5.9,2
362,,,59.0,38.2,1,3,3,3.1,78.0,9,2,4,5.8,
363,,1,40.0,38.6,1,4,1,,60.0,1,1,1,6.0,1
364,3,,36.0,37.8,2,1,,,42.0,1,1,1,6.2,
365,4,1,44.0,38.0,1,2,3,2.0,60.0,1,3,1,65.0,1
366,1,,37.0,38.0,2,1,,,42.0,1,1,3,5.8,
367,,3,44.0,37.6,1,3,,,88.0,1,2,3,6.0,1
