,education-spending_cat,physician-fee-freeze_cat,el-salvador-aid_cat,Class_cat,mx-missile_cat,adoption-of-the-budget-resolution_cat,handicapped-infants_cat,immigration_cat
54,y,n,n,democrat,n,y,y,n
55,y,y,y,republican,n,n,n,y
56,y,y,y,republican,n,n,n,y
57,y,y,y,republican,n,n,n,y
58,y,y,y,republican,n,n,n,y
59,y,y,y,republican,n,n,n,y
60,n,n,n,democrat,y,y,y,y
61,y,y,y,republican,n,n,n,n
62,n,n,n,democrat,y,y,y,n
63,n,n,n,democrat,y,y,y,n
64,,n,n,democrat,y,y,y,n
65,y,y,y,republican,n,n,y,n
66,y,y,y,republican,n,n,n,n
67,y,y,y,republican,n,n,n,y
68,n,n,n,democrat,y,y,y,n
69,n,n,n,democrat,y,y,y,n
70,n,n,n,democrat,y,y,y,n
71,n,y,n,republican,y,y,y,y
72,n,n,n,democrat,y,y,y,n
73,n,y,y,republican,y,y,y,y
74,n,n,n,democrat,y,y,y,y
75,n,y,y,democrat,n,y,n,y
76,y,n,y,democrat,n,y,n,y
77,y,y,y,democrat,y,y,n,y
78,n,n,y,democrat,n,y,y,y
79,y,y,y,republican,n,n,n,y
80,y,n,n,democrat,y,y,y,y
81,y,n,n,democrat,,y,y,y
82,y,y,y,republican,n,n,n,y
83,y,y,y,republican,n,n,n,n
84,y,y,y,republican,n,n,n,y
85,y,n,y,democrat,n,y,n,y
86,y,y,y,republican,n,n,n,y
87,y,y,y,republican,n,n,n,n
88,n,n,y,democrat,y,y,n,y
89,,y,y,republican,n,n,n,y
90,n,n,n,democrat,y,y,y,y
91,n,n,n,democrat,y,y,y,y
92,n,n,n,democrat,n,y,y,y
93,n,n,n,democrat,y,y,y,y
94,n,n,y,democrat,n,y,y,n
95,,n,y,democrat,,y,y,n
96,y,n,y,democrat,n,,n,n
97,n,n,y,democrat,n,n,y,y
98,n,n,n,democrat,y,y,y,y
99,y,y,y,republican,n,n,n,y
100,y,n,y,democrat,n,n,y,n
101,n,n,y,democrat,n,y,y,n
102,n,n,y,democrat,,y,y,n
103,n,n,y,democrat,,n,y,n
104,n,,n,democrat,y,,,y
105,n,n,n,democrat,y,y,y,n
106,y,y,y,republican,n,n,n,n
107,,,,republican,,,n,
108,n,n,n,democrat,y,y,y,n
109,n,n,n,democrat,y,y,y,n
110,n,n,n,democrat,y,y,n,y
111,y,y,y,republican,n,n,n,y
112,n,n,n,democrat,n,y,n,y
113,y,y,y,republican,n,n,n,y
114,n,n,n,democrat,y,y,y,n
115,,n,,democrat,y,y,n,y
116,n,n,n,democrat,y,y,y,n
117,y,y,y,republican,n,y,y,n
118,n,n,n,democrat,y,y,n,y
119,y,y,y,republican,n,n,n,n
120,y,y,y,republican,n,,n,y
121,y,y,y,republican,n,n,n,y
122,y,y,y,republican,n,n,n,y
123,y,y,y,republican,n,n,y,n
124,n,n,n,democrat,y,y,n,n
125,y,y,y,republican,n,n,n,y
126,y,y,y,republican,n,n,n,n
127,n,n,n,democrat,y,y,n,y
128,n,n,n,democrat,n,y,n,y
129,,n,n,democrat,,y,,n
130,n,n,,democrat,y,y,y,n
131,n,n,n,democrat,y,y,n,y
132,y,y,y,republican,n,n,n,y
133,y,y,y,republican,n,n,n,y
134,y,y,y,republican,n,n,n,n
135,y,y,y,republican,n,n,n,y
136,y,y,y,republican,n,n,n,y
137,n,n,n,democrat,y,y,n,y
138,n,n,n,democrat,y,y,n,y
139,n,n,n,democrat,y,y,y,n
140,n,y,n,republican,y,n,n,y
141,y,y,y,republican,y,n,n,y
142,y,y,y,republican,y,n,n,y
143,n,n,n,democrat,y,n,,y
144,n,n,n,democrat,y,n,n,y
145,n,n,n,democrat,y,y,n,y
146,y,y,y,republican,n,n,n,n
147,y,n,n,democrat,y,n,n,y
148,y,y,y,republican,n,n,n,y
149,n,n,n,democrat,y,y,n,y
150,y,y,y,republican,n,n,y,y
151,,y,y,democrat,y,,y,n
152,n,n,n,democrat,y,y,n,y
153,n,n,n,democrat,y,y,n,y
154,y,y,y,republican,n,n,n,n
155,y,y,y,republican,n,n,y,n
156,y,y,y,republican,n,n,y,n
157,n,n,n,democrat,y,y,n,n
158,y,y,y,republican,n,n,n,y
159,n,n,,democrat,y,y,n,y
160,y,n,y,democrat,n,n,n,n
161,y,n,y,democrat,n,n,n,n
162,y,n,y,democrat,n,y,n,n
163,y,y,y,republican,n,n,n,n
164,y,n,y,democrat,n,n,y,y
165,n,n,n,democrat,y,y,n,y
166,y,y,y,republican,n,y,y,y
167,y,y,y,republican,n,y,y,y
168,n,y,y,democrat,y,y,n,n
169,n,n,n,democrat,y,y,y,y
170,n,n,n,democrat,y,y,y,
171,y,y,y,republican,n,n,n,y
172,n,n,n,democrat,y,y,n,y
173,y,n,y,democrat,n,n,n,y
174,n,n,n,democrat,y,y,y,n
175,n,n,n,democrat,y,y,n,y
176,n,y,n,republican,y,y,n,y
177,,n,n,democrat,y,y,n,y
178,,n,n,democrat,y,y,,y
179,n,n,n,democrat,y,y,y,y
180,n,n,n,democrat,y,y,,
181,n,n,n,democrat,y,y,n,y
182,n,n,n,democrat,y,y,y,n
183,,,,democrat,y,,,
184,n,n,n,democrat,y,y,n,y
185,,n,n,democrat,y,y,y,y
186,n,n,n,democrat,y,y,n,y
187,n,n,n,democrat,y,y,y,n
188,y,y,y,republican,n,n,y,n
189,n,n,n,democrat,y,y,y,n
190,y,y,y,republican,n,n,n,n
191,y,y,y,republican,n,n,n,y
192,n,n,n,democrat,y,n,n,n
193,n,n,n,democrat,y,y,n,n
194,n,n,n,democrat,y,y,n,y
195,y,y,y,republican,n,n,n,n
196,y,n,n,democrat,y,y,n,n
197,n,y,y,republican,n,y,n,y
198,n,n,n,democrat,y,y,n,y
199,n,n,n,democrat,,n,y,n
200,n,n,n,democrat,y,y,n,n
201,n,n,n,democrat,y,y,y,n
202,n,n,n,democrat,y,y,y,y
203,n,n,n,democrat,y,y,y,y
204,y,y,y,republican,n,y,n,n
205,y,n,n,democrat,y,y,n,y
206,y,y,y,republican,n,n,n,y
207,y,y,y,republican,n,n,y,y
208,,n,n,democrat,y,y,n,n
209,n,n,n,democrat,y,y,y,y
210,n,n,n,democrat,y,y,n,n
211,y,y,y,republican,n,n,n,y
212,n,n,n,democrat,y,y,n,n
213,n,n,n,democrat,y,y,n,n
214,y,y,y,republican,n,n,y,y
215,y,y,y,democrat,n,y,n,y
216,n,n,y,democrat,,y,y,y
217,y,y,y,republican,n,n,n,y
218,n,n,n,democrat,y,y,y,n
219,n,n,n,democrat,y,y,n,n
220,n,n,n,democrat,y,y,n,n
221,n,n,y,democrat,n,y,n,n
222,n,n,n,democrat,y,y,y,n
223,y,y,y,republican,n,n,n,n
224,,y,y,republican,n,n,n,y
225,y,y,y,republican,n,n,n,n
226,n,n,n,democrat,y,y,n,n
227,n,n,n,democrat,y,y,y,n
228,y,y,y,republican,n,n,n,n
229,y,y,y,republican,y,y,n,y
230,y,y,y,republican,n,n,n,n
231,y,y,y,republican,y,n,n,y
232,n,n,n,democrat,n,y,n,n
233,y,y,y,republican,n,n,n,y
234,y,n,n,democrat,y,y,n,y
235,y,y,y,republican,n,n,n,y
236,n,n,n,democrat,y,y,n,n
237,y,n,n,democrat,n,y,y,n
238,n,n,n,democrat,,y,y,y
239,n,y,y,republican,n,n,n,y
240,y,y,n,republican,y,n,n,n
241,n,n,n,democrat,y,y,y,y
242,,n,y,republican,n,n,n,n
243,n,n,n,democrat,,y,n,y
244,n,n,n,democrat,y,y,y,y
245,n,n,n,democrat,y,y,y,y
246,n,n,y,democrat,y,y,n,n
247,,y,y,republican,n,n,n,n
248,,,,republican,,,,
249,n,n,n,democrat,,y,y,n
250,y,y,y,republican,n,n,n,n
251,y,y,y,republican,n,n,n,n
252,n,n,n,democrat,y,y,y,n
253,y,y,y,republican,n,n,n,n
254,n,n,n,democrat,y,y,y,y
255,n,n,n,democrat,y,y,y,y
256,y,y,y,republican,n,n,n,n
257,y,y,y,republican,n,n,n,n
258,n,n,n,democrat,y,y,n,n
259,n,n,n,democrat,y,y,y,n
260,n,n,n,democrat,y,y,y,y
261,,n,n,democrat,y,y,y,n
262,n,n,n,democrat,y,y,y,y
263,n,n,n,democrat,y,y,y,n
264,n,n,n,democrat,y,y,y,n
265,n,n,n,democrat,y,y,y,y
266,y,y,y,republican,n,n,n,y
267,n,n,n,republican,y,n,y,y
268,n,n,n,democrat,y,y,y,n
269,n,n,n,democrat,y,y,y,n
270,n,n,n,democrat,y,y,y,n
271,n,n,n,democrat,y,y,n,n
272,n,n,n,democrat,y,y,y,y
273,y,y,y,republican,n,n,n,y
274,n,y,y,republican,n,n,y,y
275,n,n,y,democrat,n,y,n,n
276,y,y,y,republican,n,n,n,n
277,n,y,y,republican,n,y,n,y
278,y,y,y,republican,n,n,n,n
279,y,y,y,republican,n,n,n,y
280,n,n,n,democrat,y,y,n,y
281,n,y,y,republican,n,y,y,n
282,,y,y,republican,n,n,y,y
283,y,y,y,republican,n,n,n,n
284,n,n,n,democrat,y,y,n,y
285,n,n,n,democrat,y,y,n,y
286,y,n,n,democrat,,y,n,y
287,n,,n,democrat,y,y,y,n
288,n,n,y,democrat,n,y,y,y
289,n,n,y,democrat,n,y,y,y
290,n,n,,democrat,y,y,y,y
291,,n,n,democrat,y,y,y,y
292,n,n,n,democrat,n,y,y,y
293,n,n,n,democrat,y,y,y,y
294,n,n,n,democrat,n,y,n,y
295,y,y,y,republican,n,n,n,y
296,y,y,y,republican,n,y,n,y
297,n,n,n,democrat,y,y,y,y
298,n,n,n,democrat,y,n,n,y
299,n,n,n,democrat,y,y,n,y
300,y,y,y,republican,y,n,n,y
301,n,n,n,democrat,y,,n,n
302,y,y,y,republican,n,n,n,y
303,y,y,y,republican,n,n,n,n
304,y,y,y,republican,n,n,n,y
305,y,y,y,republican,n,n,n,y
306,y,y,y,republican,n,n,n,n
307,n,n,n,democrat,y,y,y,n
308,y,y,y,republican,n,n,n,y
309,n,n,n,democrat,y,n,y,y
310,y,y,y,republican,n,n,n,y
311,n,n,n,democrat,y,y,n,y
312,n,n,n,democrat,y,y,y,y
313,y,y,y,republican,n,y,n,y
314,y,y,y,republican,n,n,n,n
315,n,y,y,republican,n,y,n,n
316,y,n,n,democrat,y,n,n,n
317,n,n,n,democrat,y,n,y,y
318,n,n,n,democrat,y,y,n,n
319,n,n,n,democrat,y,y,y,n
320,n,n,n,democrat,y,y,n,y
321,n,n,n,democrat,y,y,y,y
322,n,n,,democrat,n,y,y,n
323,n,n,y,democrat,,y,y,y
324,y,y,y,republican,n,n,n,n
325,y,n,y,democrat,,n,n,n
326,n,y,n,democrat,y,n,y,n
327,y,y,y,republican,n,n,n,n
328,n,n,n,democrat,y,y,y,n
329,n,n,n,democrat,y,y,y,y
330,y,y,y,republican,n,n,n,y
331,n,n,n,democrat,y,y,y,n
332,n,n,n,democrat,y,y,y,n
333,n,n,n,democrat,y,y,n,n
334,y,n,n,democrat,,y,n,n
335,y,y,y,republican,n,n,n,y
336,n,n,n,democrat,n,y,n,n
337,n,n,n,democrat,y,y,y,n
338,n,n,n,democrat,y,y,y,y
339,y,y,y,republican,n,n,y,n
340,y,y,y,republican,n,n,n,y
341,n,,n,democrat,y,y,n,y
342,n,n,y,democrat,n,y,n,y
343,n,y,y,republican,y,n,n,y
344,n,n,n,democrat,y,y,n,y
345,y,y,y,republican,n,n,n,y
346,y,y,y,republican,n,n,n,y
347,y,y,y,republican,n,n,y,y
348,y,n,n,democrat,y,y,y,y
349,y,y,y,republican,y,y,n,n
350,n,n,n,democrat,y,n,n,n
351,y,y,y,republican,y,y,n,y
352,n,y,n,democrat,y,n,n,n
353,y,y,y,republican,n,y,n,y
354,,n,n,democrat,y,y,n,y
355,n,y,n,republican,y,y,y,y
356,y,y,y,republican,n,n,n,n
357,y,y,y,republican,n,n,n,n
358,y,n,n,democrat,y,y,y,y
359,y,y,y,republican,n,n,n,y
360,n,n,n,democrat,y,y,y,y
361,n,n,y,democrat,y,y,y,y
362,y,n,n,democrat,y,y,y,y
363,n,y,y,republican,n,n,y,y
364,n,y,y,republican,n,n,y,n
365,n,n,y,democrat,n,n,n,y
366,n,n,n,democrat,n,y,y,y
367,n,n,y,democrat,n,y,y,y
368,n,n,n,democrat,n,y,n,y
369,n,y,y,republican,n,n,n,n
370,,n,,democrat,n,y,y,y
371,n,n,,democrat,y,y,y,y
372,y,y,y,democrat,n,y,n,n
373,n,,y,democrat,n,y,n,y
374,y,y,y,republican,n,n,n,n
375,y,y,y,democrat,n,n,n,n
376,n,n,n,democrat,y,y,y,n
377,,y,y,republican,n,n,n,n
378,y,y,y,republican,n,n,n,n
379,y,y,y,republican,n,n,n,n
380,n,n,n,democrat,y,y,y,n
381,n,n,y,democrat,y,y,y,y
382,n,y,y,democrat,n,n,y,n
383,n,n,y,democrat,y,y,y,y
384,y,y,y,democrat,n,y,y,n
385,y,n,y,democrat,n,n,y,n
386,n,n,y,democrat,n,y,n,n
387,n,n,y,democrat,y,y,y,n
388,y,y,y,democrat,n,y,n,n
389,n,n,n,democrat,y,y,y,
390,y,n,,democrat,n,n,,n
391,n,n,n,democrat,y,n,y,n
392,y,y,y,republican,n,n,y,n
393,y,,n,republican,y,,,n
394,n,,,democrat,n,,y,n
395,,,n,democrat,n,y,y,n
396,n,n,y,democrat,n,y,y,n
397,n,n,y,democrat,n,n,y,n
398,n,n,y,democrat,n,y,n,n
399,y,y,,republican,n,n,n,y
400,,y,y,republican,n,n,n,n
401,y,y,y,republican,n,n,n,y
402,y,y,n,republican,y,y,,y
403,y,y,y,republican,n,n,n,y
404,y,y,y,republican,n,n,y,y
405,y,y,y,republican,n,n,n,n
406,n,n,y,democrat,y,y,y,y
407,y,y,y,democrat,n,n,n,n
408,y,n,n,democrat,y,y,y,n
409,y,y,y,republican,n,n,n,n
410,y,y,y,republican,n,n,n,n
411,n,n,n,democrat,y,y,y,y
412,y,y,y,republican,n,n,n,y
413,,y,y,republican,n,y,y,y
414,n,n,n,democrat,y,y,y,n
415,n,n,n,democrat,,y,n,y
416,n,y,y,republican,n,n,y,y
417,n,n,n,democrat,y,y,y,y
418,n,n,n,democrat,n,y,y,y
419,n,n,n,democrat,y,y,y,n
420,n,y,y,republican,n,y,y,y
421,n,n,y,democrat,n,y,n,n
422,n,n,n,democrat,y,y,n,n
423,n,n,n,democrat,y,y,n,n
424,n,n,n,democrat,y,y,n,y
425,n,n,n,democrat,n,y,n,y
426,n,n,n,democrat,y,y,y,y
427,y,y,y,republican,n,n,n,y
428,n,n,n,democrat,y,,,y
429,y,n,,democrat,y,y,y,y
430,y,y,y,republican,y,y,n,y
431,n,n,n,democrat,y,y,n,y
432,y,y,y,republican,n,n,n,n
433,y,y,y,republican,,n,n,
434,y,y,y,republican,n,n,n,y
