,leaves_cat,leafspots-halo_cat,fruit-pods_cat,seed_cat,external-decay_cat,seed-tmt_cat,sclerotia_cat,class_cat,mycelium_cat,leafspots-marg_cat,date_cat,leaf-shread_cat,seed-discolor_cat,seed-size_cat,stem_cat,int-discolor_cat,germination_cat,temp_cat
23,norm,absent,dna,norm,firm-and-dry,fungicide,absent,rhizoctonia-root-rot,absent,dna,april,absent,absent,norm,abnorm,none,lt-80,lt-norm
24,norm,absent,dna,norm,firm-and-dry,fungicide,absent,rhizoctonia-root-rot,absent,dna,april,absent,absent,norm,abnorm,none,lt-80,lt-norm
25,norm,absent,dna,norm,firm-and-dry,none,absent,rhizoctonia-root-rot,absent,dna,may,absent,absent,norm,abnorm,none,lt-80,lt-norm
26,norm,absent,dna,norm,firm-and-dry,none,absent,rhizoctonia-root-rot,absent,dna,may,absent,absent,norm,abnorm,none,80-89,lt-norm
27,norm,absent,dna,norm,firm-and-dry,none,absent,rhizoctonia-root-rot,absent,dna,june,absent,absent,norm,abnorm,none,80-89,lt-norm
28,norm,absent,dna,norm,firm-and-dry,none,absent,rhizoctonia-root-rot,absent,dna,may,absent,absent,norm,abnorm,none,lt-80,lt-norm
29,norm,absent,dna,norm,firm-and-dry,none,absent,rhizoctonia-root-rot,absent,dna,june,absent,absent,norm,abnorm,none,lt-80,lt-norm
30,abnorm,absent,dna,norm,firm-and-dry,none,absent,phytophthora-rot,absent,dna,april,absent,absent,norm,abnorm,none,90-100,norm
31,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,may,absent,,,abnorm,none,,norm
32,abnorm,,,,absent,,absent,phytophthora-rot,absent,,june,,,,abnorm,none,,gt-norm
33,abnorm,absent,dna,norm,absent,fungicide,absent,phytophthora-rot,absent,dna,may,absent,absent,norm,abnorm,none,80-89,lt-norm
34,abnorm,,,,absent,,absent,phytophthora-rot,absent,,june,,,,abnorm,none,,gt-norm
35,abnorm,,,,absent,,absent,phytophthora-rot,absent,,july,,,,abnorm,none,,norm
36,abnorm,absent,dna,norm,absent,none,absent,phytophthora-rot,absent,dna,april,absent,absent,norm,abnorm,none,90-100,norm
37,abnorm,absent,dna,norm,absent,fungicide,absent,phytophthora-rot,absent,dna,july,absent,absent,norm,abnorm,none,80-89,lt-norm
38,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,june,absent,,,abnorm,none,,norm
39,abnorm,absent,dna,norm,absent,none,absent,phytophthora-rot,absent,dna,june,absent,absent,norm,abnorm,none,80-89,lt-norm
40,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,june,absent,,,abnorm,none,,norm
41,abnorm,,,,absent,,absent,phytophthora-rot,absent,,may,,,,abnorm,none,,norm
42,abnorm,absent,dna,norm,absent,none,absent,phytophthora-rot,absent,dna,april,absent,absent,norm,abnorm,none,90-100,norm
43,abnorm,absent,dna,norm,firm-and-dry,fungicide,absent,phytophthora-rot,absent,dna,april,absent,absent,norm,abnorm,none,90-100,norm
44,abnorm,absent,dna,norm,absent,fungicide,absent,phytophthora-rot,absent,dna,july,absent,absent,norm,abnorm,none,90-100,lt-norm
45,abnorm,,,,absent,,absent,phytophthora-rot,absent,,june,,,,abnorm,none,,gt-norm
46,abnorm,absent,dna,norm,absent,none,absent,phytophthora-rot,absent,dna,april,absent,absent,norm,abnorm,none,80-89,norm
47,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,june,absent,,,abnorm,none,,gt-norm
48,abnorm,absent,dna,norm,firm-and-dry,none,absent,phytophthora-rot,absent,dna,june,absent,absent,norm,abnorm,none,lt-80,norm
49,abnorm,absent,dna,norm,absent,none,absent,phytophthora-rot,absent,dna,april,absent,absent,norm,abnorm,none,lt-80,norm
50,abnorm,absent,dna,norm,absent,fungicide,absent,phytophthora-rot,absent,dna,may,absent,absent,norm,abnorm,none,80-89,norm
51,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,may,absent,,,abnorm,none,,norm
52,abnorm,,,,absent,,absent,phytophthora-rot,absent,,july,,,,abnorm,none,,norm
53,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,june,absent,,,abnorm,none,,norm
54,abnorm,,,,absent,,absent,phytophthora-rot,absent,,july,,,,abnorm,none,,gt-norm
55,abnorm,absent,dna,norm,firm-and-dry,none,absent,phytophthora-rot,absent,dna,may,absent,absent,norm,abnorm,none,80-89,norm
56,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,july,absent,,,abnorm,none,,norm
57,abnorm,,,,absent,,absent,phytophthora-rot,absent,,june,,,,abnorm,none,,gt-norm
58,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,july,absent,,,abnorm,none,,gt-norm
59,abnorm,,,,absent,,absent,phytophthora-rot,absent,,may,,,,abnorm,none,,gt-norm
60,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,june,absent,,,abnorm,none,,gt-norm
61,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,july,absent,,,abnorm,none,,norm
62,abnorm,absent,dna,norm,absent,none,absent,phytophthora-rot,absent,dna,june,absent,absent,norm,abnorm,none,90-100,lt-norm
63,abnorm,absent,,,absent,,absent,phytophthora-rot,absent,dna,july,absent,,,abnorm,none,,norm
64,abnorm,,,,absent,,absent,phytophthora-rot,absent,,june,,,,abnorm,none,,gt-norm
65,abnorm,absent,dna,norm,absent,fungicide,absent,phytophthora-rot,absent,dna,may,absent,absent,norm,abnorm,none,90-100,lt-norm
66,abnorm,,,,absent,,absent,phytophthora-rot,absent,,july,,,,abnorm,none,,norm
67,abnorm,,,,absent,,absent,phytophthora-rot,absent,,july,,,,abnorm,none,,norm
68,abnorm,absent,dna,norm,absent,fungicide,absent,phytophthora-rot,absent,dna,july,absent,absent,norm,abnorm,none,lt-80,lt-norm
69,abnorm,,,,absent,,absent,phytophthora-rot,absent,,july,,,,abnorm,none,,gt-norm
70,abnorm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,lt-80,norm
71,abnorm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,lt-80,norm
72,norm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,july,absent,absent,norm,abnorm,brown,lt-80,lt-norm
73,abnorm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,september,absent,absent,norm,abnorm,brown,lt-80,gt-norm
74,abnorm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,september,absent,absent,norm,abnorm,brown,80-89,gt-norm
75,abnorm,absent,norm,norm,absent,none,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,80-89,norm
76,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-stem-rot,absent,w-s-marg,september,absent,absent,norm,abnorm,brown,lt-80,norm
77,norm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,october,absent,absent,norm,abnorm,brown,90-100,norm
78,abnorm,absent,norm,norm,absent,none,absent,brown-stem-rot,absent,dna,september,absent,absent,norm,abnorm,brown,90-100,lt-norm
79,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,w-s-marg,september,absent,absent,norm,abnorm,brown,90-100,norm
80,norm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,lt-80,lt-norm
81,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,w-s-marg,august,absent,absent,norm,abnorm,brown,80-89,lt-norm
82,abnorm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,90-100,norm
83,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-stem-rot,absent,w-s-marg,july,absent,absent,norm,abnorm,brown,80-89,lt-norm
84,abnorm,absent,norm,norm,absent,none,absent,brown-stem-rot,absent,dna,september,absent,absent,norm,abnorm,brown,80-89,norm
85,abnorm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,90-100,norm
86,abnorm,absent,norm,norm,absent,none,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,lt-80,norm
87,abnorm,absent,norm,norm,absent,fungicide,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,lt-80,norm
88,abnorm,absent,norm,norm,absent,none,absent,brown-stem-rot,absent,dna,august,absent,absent,norm,abnorm,brown,90-100,norm
89,abnorm,absent,norm,norm,absent,none,absent,brown-stem-rot,absent,dna,july,absent,absent,norm,abnorm,brown,90-100,norm
90,abnorm,absent,norm,norm,absent,none,absent,powdery-mildew,absent,dna,september,absent,absent,norm,norm,none,80-89,norm
91,abnorm,absent,norm,norm,absent,fungicide,absent,powdery-mildew,absent,dna,october,absent,absent,norm,norm,none,lt-80,lt-norm
92,abnorm,absent,norm,norm,absent,other,absent,powdery-mildew,absent,dna,may,absent,absent,norm,norm,none,90-100,norm
93,abnorm,absent,norm,norm,absent,fungicide,absent,powdery-mildew,absent,dna,october,absent,absent,norm,norm,none,lt-80,lt-norm
94,abnorm,absent,norm,norm,absent,other,absent,powdery-mildew,absent,dna,august,absent,absent,norm,norm,none,90-100,lt-norm
95,abnorm,absent,norm,norm,absent,none,absent,powdery-mildew,absent,dna,october,absent,absent,norm,norm,none,lt-80,norm
96,abnorm,absent,norm,norm,absent,none,absent,powdery-mildew,absent,dna,june,absent,absent,norm,norm,none,80-89,lt-norm
97,abnorm,absent,norm,norm,absent,fungicide,absent,powdery-mildew,absent,dna,october,absent,absent,norm,norm,none,lt-80,norm
98,abnorm,absent,norm,norm,absent,none,absent,powdery-mildew,absent,dna,september,absent,absent,norm,norm,none,80-89,norm
99,abnorm,absent,norm,norm,absent,other,absent,powdery-mildew,absent,dna,may,absent,absent,norm,norm,none,90-100,norm
100,abnorm,no-yellow-halos,norm,abnorm,absent,fungicide,absent,downy-mildew,absent,w-s-marg,october,absent,absent,norm,norm,none,lt-80,lt-norm
101,abnorm,no-yellow-halos,norm,abnorm,absent,fungicide,absent,downy-mildew,absent,w-s-marg,june,absent,absent,norm,norm,none,lt-80,norm
102,abnorm,yellow-halos,norm,abnorm,absent,none,absent,downy-mildew,absent,w-s-marg,may,absent,absent,norm,norm,none,80-89,norm
103,abnorm,yellow-halos,norm,abnorm,absent,none,absent,downy-mildew,absent,w-s-marg,august,absent,absent,norm,norm,none,80-89,gt-norm
104,abnorm,yellow-halos,norm,abnorm,absent,none,absent,downy-mildew,absent,w-s-marg,may,absent,absent,norm,norm,none,80-89,lt-norm
105,abnorm,yellow-halos,norm,abnorm,absent,none,absent,downy-mildew,absent,w-s-marg,june,absent,absent,norm,norm,none,80-89,lt-norm
106,abnorm,no-yellow-halos,norm,abnorm,absent,none,absent,downy-mildew,absent,w-s-marg,june,absent,absent,norm,norm,none,80-89,norm
107,abnorm,yellow-halos,norm,abnorm,absent,fungicide,absent,downy-mildew,absent,w-s-marg,august,absent,absent,norm,norm,none,lt-80,gt-norm
108,abnorm,no-yellow-halos,norm,abnorm,absent,none,absent,downy-mildew,absent,w-s-marg,august,absent,absent,norm,norm,none,80-89,lt-norm
109,abnorm,yellow-halos,norm,abnorm,absent,none,absent,downy-mildew,absent,w-s-marg,september,absent,absent,norm,norm,none,80-89,norm
110,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,may,absent,absent,norm,norm,none,lt-80,gt-norm
111,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-spot,absent,w-s-marg,june,absent,absent,norm,norm,none,80-89,norm
112,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-spot,absent,w-s-marg,june,present,absent,norm,norm,none,90-100,norm
113,abnorm,no-yellow-halos,norm,norm,absent,other,absent,brown-spot,absent,w-s-marg,june,present,absent,norm,norm,none,90-100,norm
114,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-spot,absent,w-s-marg,may,absent,absent,norm,norm,none,80-89,gt-norm
115,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,may,present,absent,norm,norm,none,lt-80,norm
116,abnorm,no-yellow-halos,norm,norm,absent,other,absent,brown-spot,absent,w-s-marg,april,absent,absent,norm,norm,none,80-89,gt-norm
117,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,june,present,absent,norm,norm,none,90-100,norm
118,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-spot,absent,w-s-marg,may,present,absent,norm,norm,none,80-89,norm
119,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,june,present,absent,norm,norm,none,lt-80,norm
120,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,september,absent,absent,norm,abnorm,none,80-89,norm
121,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-spot,absent,w-s-marg,may,present,absent,norm,norm,none,lt-80,norm
122,abnorm,no-yellow-halos,norm,norm,absent,other,absent,brown-spot,absent,w-s-marg,may,present,absent,norm,norm,none,90-100,norm
123,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,august,present,absent,norm,abnorm,none,90-100,norm
124,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,may,present,absent,norm,norm,none,80-89,norm
125,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,august,absent,absent,norm,abnorm,none,lt-80,norm
126,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,june,present,absent,norm,norm,none,90-100,norm
127,abnorm,no-yellow-halos,norm,norm,absent,other,absent,brown-spot,absent,w-s-marg,april,absent,absent,norm,norm,none,80-89,norm
128,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,may,absent,absent,norm,norm,none,lt-80,norm
129,abnorm,no-yellow-halos,norm,norm,absent,other,absent,brown-spot,absent,w-s-marg,may,present,absent,norm,norm,none,lt-80,norm
130,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,may,absent,absent,norm,abnorm,none,90-100,norm
131,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-spot,absent,w-s-marg,june,present,absent,norm,norm,none,80-89,norm
132,abnorm,no-yellow-halos,norm,norm,firm-and-dry,other,absent,brown-spot,absent,w-s-marg,july,absent,absent,norm,abnorm,none,80-89,norm
133,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-spot,absent,w-s-marg,june,absent,absent,norm,norm,none,90-100,gt-norm
134,abnorm,no-yellow-halos,norm,norm,absent,other,absent,brown-spot,absent,w-s-marg,may,present,absent,norm,norm,none,90-100,norm
135,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,may,present,absent,norm,norm,none,lt-80,norm
136,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,september,present,absent,norm,abnorm,none,90-100,norm
137,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,august,absent,absent,norm,abnorm,none,lt-80,norm
138,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,july,present,absent,norm,abnorm,none,lt-80,norm
139,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,may,absent,absent,norm,norm,none,90-100,norm
140,abnorm,no-yellow-halos,norm,norm,firm-and-dry,fungicide,absent,brown-spot,absent,w-s-marg,august,absent,absent,norm,abnorm,none,80-89,norm
141,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,june,absent,absent,norm,norm,none,lt-80,norm
142,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,brown-spot,absent,w-s-marg,june,absent,absent,norm,norm,none,90-100,norm
143,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,july,absent,absent,norm,abnorm,none,lt-80,norm
144,abnorm,no-yellow-halos,norm,norm,firm-and-dry,other,absent,brown-spot,absent,w-s-marg,july,absent,absent,norm,abnorm,none,90-100,norm
145,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,june,absent,absent,norm,abnorm,none,80-89,norm
146,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,july,present,absent,norm,norm,none,90-100,norm
147,abnorm,no-yellow-halos,norm,norm,absent,none,absent,brown-spot,absent,w-s-marg,july,present,absent,norm,abnorm,none,lt-80,norm
148,abnorm,no-yellow-halos,norm,norm,absent,other,absent,brown-spot,absent,w-s-marg,june,present,absent,norm,norm,none,lt-80,norm
149,abnorm,no-yellow-halos,norm,norm,firm-and-dry,none,absent,brown-spot,absent,w-s-marg,september,absent,absent,norm,abnorm,none,lt-80,norm
150,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,bacterial-blight,absent,w-s-marg,september,present,absent,norm,norm,none,90-100,norm
151,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,bacterial-blight,absent,w-s-marg,august,present,absent,norm,norm,none,80-89,gt-norm
152,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-blight,absent,w-s-marg,june,absent,absent,norm,norm,none,90-100,norm
153,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-blight,absent,w-s-marg,july,present,absent,norm,norm,none,90-100,norm
154,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-blight,absent,w-s-marg,july,present,absent,norm,norm,none,90-100,norm
155,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,bacterial-blight,absent,w-s-marg,july,present,absent,norm,norm,none,90-100,norm
156,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-blight,absent,w-s-marg,july,present,absent,norm,norm,none,80-89,norm
157,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,bacterial-blight,absent,w-s-marg,august,present,absent,norm,norm,none,80-89,norm
158,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-blight,absent,w-s-marg,june,present,absent,norm,norm,none,90-100,norm
159,abnorm,no-yellow-halos,norm,norm,absent,fungicide,absent,bacterial-blight,absent,w-s-marg,august,present,absent,norm,norm,none,lt-80,gt-norm
160,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-pustule,absent,no-w-s-marg,june,absent,absent,norm,norm,none,lt-80,gt-norm
161,abnorm,no-yellow-halos,norm,abnorm,absent,fungicide,absent,bacterial-pustule,absent,no-w-s-marg,july,present,present,norm,norm,none,80-89,lt-norm
162,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-pustule,absent,no-w-s-marg,june,absent,absent,norm,norm,none,90-100,lt-norm
163,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-pustule,absent,w-s-marg,august,present,absent,lt-norm,norm,none,lt-80,norm
164,abnorm,yellow-halos,norm,abnorm,absent,none,absent,bacterial-pustule,absent,no-w-s-marg,july,present,present,lt-norm,norm,none,80-89,norm
165,abnorm,no-yellow-halos,norm,norm,absent,none,absent,bacterial-pustule,absent,no-w-s-marg,july,absent,absent,norm,norm,none,lt-80,lt-norm
166,abnorm,yellow-halos,norm,abnorm,absent,none,absent,bacterial-pustule,absent,no-w-s-marg,july,present,present,lt-norm,norm,none,80-89,norm
167,abnorm,yellow-halos,norm,norm,absent,none,absent,bacterial-pustule,absent,no-w-s-marg,july,present,absent,lt-norm,norm,none,lt-80,norm
168,abnorm,yellow-halos,norm,abnorm,absent,none,absent,bacterial-pustule,absent,no-w-s-marg,august,present,present,lt-norm,norm,none,80-89,norm
169,abnorm,yellow-halos,norm,norm,absent,fungicide,absent,bacterial-pustule,absent,no-w-s-marg,september,present,absent,norm,norm,none,lt-80,norm
170,norm,absent,diseased,abnorm,absent,none,absent,purple-seed-stain,absent,dna,october,absent,present,norm,abnorm,none,90-100,lt-norm
171,abnorm,no-yellow-halos,diseased,abnorm,absent,fungicide,absent,purple-seed-stain,absent,w-s-marg,october,absent,present,norm,abnorm,none,80-89,lt-norm
172,norm,absent,norm,abnorm,absent,fungicide,absent,purple-seed-stain,absent,dna,august,absent,present,norm,norm,none,lt-80,norm
173,abnorm,no-yellow-halos,norm,abnorm,absent,none,absent,purple-seed-stain,absent,w-s-marg,august,absent,present,norm,norm,none,80-89,norm
174,abnorm,no-yellow-halos,norm,abnorm,absent,none,absent,purple-seed-stain,absent,w-s-marg,august,absent,present,norm,norm,none,lt-80,lt-norm
175,abnorm,no-yellow-halos,diseased,abnorm,absent,none,absent,purple-seed-stain,absent,w-s-marg,october,absent,present,norm,abnorm,none,80-89,gt-norm
176,norm,absent,norm,abnorm,absent,none,absent,purple-seed-stain,absent,dna,july,absent,present,norm,norm,none,80-89,lt-norm
177,norm,absent,norm,abnorm,absent,fungicide,absent,purple-seed-stain,absent,dna,july,absent,present,norm,norm,none,80-89,norm
178,abnorm,no-yellow-halos,diseased,abnorm,absent,none,absent,purple-seed-stain,absent,w-s-marg,september,absent,present,norm,abnorm,none,90-100,norm
179,norm,absent,norm,abnorm,absent,fungicide,absent,purple-seed-stain,absent,dna,august,absent,present,norm,abnorm,none,80-89,norm
180,norm,absent,diseased,norm,absent,fungicide,absent,anthracnose,absent,dna,september,absent,absent,norm,abnorm,none,90-100,norm
181,abnorm,absent,diseased,abnorm,firm-and-dry,fungicide,absent,anthracnose,absent,dna,september,absent,present,norm,abnorm,none,lt-80,gt-norm
182,norm,absent,diseased,abnorm,absent,fungicide,absent,anthracnose,absent,dna,october,absent,absent,lt-norm,abnorm,none,80-89,norm
183,abnorm,absent,norm,norm,firm-and-dry,none,absent,anthracnose,absent,dna,june,absent,absent,norm,abnorm,none,90-100,gt-norm
184,abnorm,absent,diseased,abnorm,firm-and-dry,none,absent,anthracnose,absent,dna,july,absent,present,norm,abnorm,none,90-100,norm
185,abnorm,absent,diseased,norm,firm-and-dry,none,absent,anthracnose,absent,dna,august,absent,absent,norm,abnorm,none,80-89,gt-norm
186,norm,absent,diseased,abnorm,absent,none,absent,anthracnose,absent,dna,october,absent,absent,lt-norm,abnorm,none,80-89,norm
187,abnorm,absent,norm,abnorm,firm-and-dry,fungicide,absent,anthracnose,absent,dna,may,absent,present,norm,abnorm,none,80-89,norm
188,norm,absent,diseased,abnorm,absent,fungicide,absent,anthracnose,absent,dna,october,absent,absent,lt-norm,abnorm,none,80-89,norm
189,abnorm,absent,diseased,abnorm,firm-and-dry,other,absent,anthracnose,absent,dna,september,absent,present,norm,abnorm,none,lt-80,norm
190,abnorm,absent,diseased,norm,firm-and-dry,fungicide,absent,anthracnose,absent,dna,september,absent,absent,norm,abnorm,none,lt-80,gt-norm
191,abnorm,absent,norm,abnorm,firm-and-dry,fungicide,absent,anthracnose,absent,dna,april,absent,absent,lt-norm,abnorm,none,lt-80,norm
192,abnorm,absent,diseased,abnorm,firm-and-dry,none,absent,anthracnose,absent,dna,october,absent,present,lt-norm,abnorm,none,90-100,norm
193,norm,absent,diseased,abnorm,absent,none,absent,anthracnose,absent,dna,september,absent,absent,lt-norm,abnorm,none,80-89,norm
194,norm,absent,diseased,norm,absent,none,absent,anthracnose,absent,dna,september,absent,absent,norm,abnorm,none,lt-80,norm
195,abnorm,absent,diseased,norm,firm-and-dry,none,absent,anthracnose,absent,dna,october,absent,absent,norm,abnorm,none,80-89,gt-norm
196,norm,absent,diseased,abnorm,absent,none,absent,anthracnose,absent,dna,september,absent,absent,lt-norm,abnorm,none,90-100,norm
197,abnorm,absent,diseased,norm,firm-and-dry,other,absent,anthracnose,absent,dna,october,absent,absent,norm,abnorm,none,80-89,gt-norm
198,norm,absent,diseased,abnorm,absent,none,absent,anthracnose,absent,dna,september,absent,absent,lt-norm,abnorm,none,80-89,norm
199,norm,absent,diseased,abnorm,absent,fungicide,absent,anthracnose,absent,dna,september,absent,absent,lt-norm,abnorm,none,80-89,norm
200,abnorm,no-yellow-halos,norm,norm,absent,none,absent,phyllosticta-leaf-spot,absent,w-s-marg,july,absent,absent,norm,norm,none,lt-80,norm
