,binaryClass_cat,Gore00_num,Bush00_num,Buchanan00_num,Nader00_num,Browne00_num,Hagelin00_num,Harris00_num,McReynolds00_num,Moorehead00_num,Phillips00_num,Total00_num,Clinton96_num,Dole96_num,Perot96_num
49,N,268945.0,152846.0,3407.0,5564.0,743.0,143.0,45.0,302.0,103.0,188.0,432286.0,230621.0,133762.0,30739.0
50,N,69550.0,68581.0,570.0,3392.0,412.0,82.0,18.0,14.0,77.0,17.0,142713.0,66472.0,48346.0,18011.0
51,N,199660.0,184312.0,1010.0,9986.0,1222.0,444.0,40.0,27.0,167.0,70.0,396938.0,184728.0,152125.0,36990.0
52,N,74977.0,90101.0,538.0,2060.0,365.0,59.0,8.0,5.0,36.0,46.0,168195.0,66735.0,67943.0,14991.0
53,P,12091.0,13439.0,147.0,379.0,114.0,7.0,2.0,4.0,12.0,10.0,26205.0,12008.0,9781.0,3272.0
54,P,19482.0,39497.0,229.0,1214.0,210.0,11.0,4.0,2.0,13.0,12.0,60674.0,10923.0,26244.0,4957.0
55,N,41559.0,34705.0,124.0,1368.0,165.0,12.0,4.0,10.0,29.0,13.0,77989.0,63648.0,69198.0,14939.0
56,N,12795.0,36248.0,311.0,723.0,131.0,13.0,1.0,1.0,19.0,43.0,50285.0,45051.0,59778.0,9357.0
57,P,72854.0,83100.0,305.0,4066.0,431.0,94.0,11.0,5.0,59.0,15.0,160940.0,16713.0,27311.0,4205.0
58,P,58888.0,75293.0,194.0,1940.0,551.0,38.0,38.0,5.0,70.0,27.0,137044.0,36168.0,28892.0,8482.0
59,P,9634.0,12126.0,114.0,307.0,53.0,2.0,2.0,0.0,17.0,3.0,22258.0,7014.0,5960.0,2375.0
60,P,4084.0,8014.0,108.0,182.0,53.0,4.0,2.0,0.0,5.0,9.0,12461.0,4479.0,5742.0,1874.0
61,P,2647.0,4051.0,27.0,59.0,4.0,3.0,0.0,1.0,1.0,8.0,6801.0,3583.0,3188.0,1140.0
62,P,1399.0,2326.0,26.0,29.0,13.0,0.0,1.0,0.0,0.0,0.0,3794.0,1388.0,1636.0,425.0
63,N,97063.0,82214.0,396.0,2436.0,3211.0,33.0,9888.0,3.0,59.0,2927.0,198230.0,78905.0,63067.0,17319.0
64,P,3835.0,4511.0,46.0,149.0,30.0,3.0,2.0,1.0,6.0,0.0,8583.0,3054.0,2931.0,1091.0
65,P,5637.0,12176.0,120.0,265.0,68.0,11.0,3.0,2.0,18.0,7.0,18307.0,5341.0,7706.0,2342.0
66,P,2796.0,4983.0,88.0,93.0,32.0,20.0,0.0,0.0,5.0,9.0,8026.0,2992.0,3522.0,1287.0
