,attribute_36_num,Class_cat,attribute_47_num,attribute_56_num,attribute_23_num,attribute_46_num,attribute_35_num,attribute_28_num,attribute_50_num,attribute_32_num,attribute_1_num,attribute_30_num,attribute_44_num,attribute_27_num,attribute_9_num,attribute_10_num,attribute_13_num,attribute_57_num,attribute_29_num,attribute_51_num,attribute_17_num,attribute_59_num,attribute_42_num,attribute_54_num,attribute_12_num,attribute_14_num,attribute_55_num,attribute_16_num,attribute_2_num,attribute_25_num
10,0.4499,Rock,0.0402,0.0093,0.4382,0.069,0.5021,0.8555,0.0073,0.7209,0.0039,0.9221,0.1269,0.7654,0.0323,0.0452,0.1424,0.0042,0.972,0.0062,0.1177,0.0053,0.0511,0.0052,0.0996,0.1194,0.0056,0.0907,0.0063,0.6654
11,0.2698,Rock,0.0872,0.0118,0.5312,0.0861,0.2757,0.8673,0.0217,0.2576,0.0123,0.4591,0.0337,1.0,0.1122,0.0835,0.2026,0.0026,0.6301,0.0188,0.1463,0.0009,0.1354,0.0224,0.0847,0.2557,0.0074,0.2032,0.0309,0.5973
12,0.3649,Rock,0.1202,0.0019,0.948,0.0663,0.2489,0.0832,0.0266,0.1235,0.0079,0.2344,0.0819,0.309,0.1009,0.124,0.1874,0.0059,0.4019,0.0174,0.3943,0.0059,0.0839,0.0088,0.1215,0.3383,0.0098,0.2723,0.0086,0.6833
13,0.7761,Rock,0.0479,0.0152,0.6414,0.157,0.7402,0.7669,0.0068,0.5375,0.009,0.462,0.3051,0.8345,0.0955,0.1895,0.4073,0.0158,0.5081,0.0187,0.4022,0.0189,0.2312,0.0194,0.2547,0.2988,0.008,0.5326,0.0062,0.6009
14,0.4109,Rock,0.0621,0.0054,0.4449,0.0724,0.3024,0.498,0.0167,0.3666,0.0124,0.235,0.2298,0.8978,0.1052,0.212,0.3026,0.0114,0.3333,0.0078,0.3657,0.0147,0.2802,0.0174,0.1901,0.2019,0.0188,0.239,0.0433,0.6446
15,0.7133,Rock,0.1252,0.0076,0.354,0.1633,0.7863,0.6613,0.0064,0.6962,0.0298,0.42,0.1867,0.2771,0.1459,0.0852,0.2777,0.0152,0.8028,0.0154,0.5638,0.02,0.2898,0.0071,0.3645,0.2826,0.0212,0.4335,0.0615,0.9371
16,0.7552,Rock,0.2303,0.0048,0.5854,0.3424,0.7837,0.6941,0.0469,0.3664,0.0352,0.866,0.1803,0.8145,0.1466,0.2912,0.247,0.0095,0.6985,0.0426,0.2299,0.0073,0.5977,0.0154,0.2237,0.156,0.0109,0.3308,0.0116,0.2561
17,0.5771,Rock,0.079,0.0024,0.7849,0.1288,0.2495,0.2457,0.0216,0.4493,0.0192,0.0613,0.1419,0.4181,0.1037,0.1186,0.352,0.0045,0.0716,0.036,0.6426,0.0112,0.6378,0.012,0.1601,0.4479,0.0108,0.5761,0.0607,0.578
18,0.5972,Rock,0.0749,0.0039,0.5782,0.1373,0.6239,0.9166,0.0179,0.7352,0.027,0.7736,0.1778,0.9823,0.0794,0.152,0.1361,0.012,0.7423,0.0045,0.683,0.007,0.2031,0.0018,0.137,0.1345,0.0068,0.5354,0.0092,0.8132
19,0.1547,Rock,0.0073,0.0006,0.7839,0.0516,0.0329,0.3971,0.0121,0.0587,0.0126,0.2385,0.1381,0.5448,0.4983,0.592,0.5472,0.0181,0.0882,0.0153,0.8292,0.0116,0.0836,0.0098,0.5419,0.5314,0.0121,0.6985,0.0149,0.4562
20,0.586,Rock,0.0604,0.0054,0.8626,0.1643,0.6048,0.3788,0.0175,0.7328,0.0473,0.6281,0.2527,0.3392,0.383,0.3759,0.2301,0.0049,0.4488,0.0107,0.4474,0.0028,0.1791,0.0064,0.2909,0.1411,0.0042,0.243,0.0509,0.4122
21,0.8169,Rock,0.1306,0.0026,0.2082,0.1216,0.744,0.4655,0.0235,0.7981,0.0664,0.7474,0.3639,0.2984,0.2353,0.1838,0.3647,0.0024,0.699,0.0135,0.5837,0.0109,0.5898,0.0043,0.4129,0.1984,0.0036,0.4039,0.0575,0.2484
22,0.7523,Rock,0.4331,0.0139,0.1668,0.5507,0.5725,0.5356,0.0779,0.6015,0.0099,0.6291,0.2838,0.1036,0.0075,0.1882,0.3176,0.0029,0.7124,0.0396,0.2589,0.0106,0.7911,0.0115,0.1892,0.134,0.0202,0.2458,0.0484,0.2476
23,0.5757,Rock,0.1015,0.0026,0.3306,0.1668,0.568,0.9503,0.0167,0.7571,0.0115,0.9084,0.2887,0.7552,0.0931,0.0734,0.1055,0.0029,1.0,0.0107,0.3232,0.007,0.1891,0.0084,0.0622,0.1183,0.0064,0.2584,0.015,0.4466
24,0.896,Rock,0.1634,0.0075,0.3361,0.1433,1.0,0.2862,0.0133,0.725,0.0293,0.8344,0.2228,0.0874,0.0736,0.086,0.0835,0.0105,0.5606,0.017,0.1179,0.0095,0.3821,0.0083,0.0472,0.0938,0.0078,0.0809,0.0644,0.4609
25,0.5307,Rock,0.1043,0.0011,0.6313,0.2024,0.7892,0.8357,0.0122,0.8903,0.0201,0.9619,0.2998,0.7901,0.0505,0.1097,0.1204,0.0007,0.9631,0.0072,0.0624,0.0057,0.4105,0.0063,0.0942,0.042,0.003,0.0162,0.0026,0.8675
26,0.1866,Rock,0.0493,0.0054,0.8335,0.0422,0.3609,0.4926,0.0059,0.0404,0.0151,0.4161,0.1559,0.504,0.0889,0.1205,0.2305,0.0011,0.4992,0.0086,0.695,0.0023,0.2379,0.0084,0.1518,0.2793,0.0128,0.4527,0.032,0.6993
27,0.2226,Rock,0.1467,0.0124,0.7389,0.1917,0.2876,0.6172,0.027,0.4983,0.0177,0.6592,0.1901,0.5593,0.0624,0.0613,0.4561,0.0099,0.8635,0.0168,0.5153,0.0032,0.0983,0.0044,0.3476,0.5188,0.0075,0.7201,0.03,1.0
28,0.5077,Rock,0.1211,0.0047,0.5789,0.1948,0.3984,0.1811,0.0247,0.2042,0.01,0.3917,0.0908,0.4081,0.1896,0.2668,0.2432,0.0117,0.2064,0.0118,0.6795,0.0091,0.1986,0.0036,0.3282,0.1268,0.0088,0.4441,0.0275,0.7043
29,0.1369,Rock,0.0183,0.014,0.3393,0.0663,0.304,0.8616,0.0143,0.1745,0.0189,0.4084,0.1886,0.4967,0.1789,0.2522,0.3906,0.0099,0.8339,0.0091,0.6988,0.0052,0.1583,0.0142,0.371,0.2672,0.019,0.4183,0.0308,0.6053
30,0.5564,Rock,0.0738,0.0094,0.6987,0.1687,0.2467,0.8913,0.0226,0.2446,0.024,0.8063,0.1078,0.8929,0.0569,0.0389,0.2906,0.0054,0.861,0.0061,0.3015,0.0066,0.3745,0.0093,0.2434,0.2606,0.0112,0.4997,0.0218,0.7781
31,0.3195,Rock,0.0426,0.006,0.3776,0.0956,0.2627,0.7862,0.0179,0.3865,0.0084,0.3635,0.0951,0.7772,0.0692,0.1753,0.1683,0.0058,0.5652,0.0056,0.7231,0.0072,0.0933,0.0136,0.1167,0.0814,0.0117,0.5121,0.0153,0.8673
32,0.448,Rock,0.0562,0.0089,0.3156,0.159,0.3504,0.5487,0.037,0.159,0.0195,0.6235,0.0845,0.4375,0.0691,0.0242,0.3002,0.0095,0.472,0.0261,0.3175,0.0021,0.2028,0.0271,0.0639,0.3854,0.0203,0.4602,0.0213,0.7732
33,0.5569,Rock,0.1344,0.0073,0.9664,0.137,0.556,0.5669,0.0637,0.76,0.0442,0.4877,0.2659,0.2054,0.0974,0.1268,0.2007,0.008,0.5726,0.021,0.2468,0.0059,0.1466,0.0135,0.2375,0.214,0.0055,0.2036,0.0477,0.6626
34,0.4676,Rock,0.0761,0.0101,0.4148,0.0779,0.2487,0.8049,0.0068,0.666,0.0311,0.4999,0.0713,0.6158,0.2025,0.0767,0.2812,0.0229,0.6289,0.0089,0.5395,0.0046,0.2328,0.013,0.2555,0.2722,0.0188,0.3463,0.0491,0.3178
35,0.3228,Rock,0.05,0.0096,1.0,0.0522,0.2883,0.7143,0.0144,0.1921,0.0206,0.3728,0.0976,0.6197,0.1571,0.1573,0.1507,0.0077,0.5605,0.0307,0.236,0.0109,0.0334,0.0018,0.1785,0.1916,0.01,0.2307,0.0132,0.4718
36,0.6695,Rock,0.0465,0.0129,0.9606,0.0635,0.8647,0.654,0.0172,0.6316,0.0094,0.7575,0.2205,0.5674,0.0381,0.1328,0.0644,0.0217,0.7802,0.0134,0.1224,0.0077,0.22,0.0145,0.0273,0.0712,0.0065,0.0717,0.0166,0.6905
37,0.5142,Rock,0.0598,0.0063,0.9146,0.0695,0.6825,0.8833,0.0068,0.5499,0.0333,0.8296,0.1651,0.8553,0.0759,0.092,0.1119,0.0143,1.0,0.0036,0.1642,0.0051,0.1883,0.006,0.0522,0.097,0.0054,0.1678,0.0221,0.8677
38,0.3929,Rock,0.0319,0.0018,0.4645,0.058,0.5147,0.9228,0.0074,0.5181,0.0123,0.7238,0.1955,0.8594,0.0791,0.0475,0.1192,0.0113,0.8387,0.0149,0.1956,0.0047,0.1757,0.0026,0.052,0.1943,0.0038,0.2077,0.0022,0.6776
39,0.6718,Rock,0.0797,0.0097,0.6634,0.0187,0.8573,0.756,0.0155,0.3328,0.0091,0.6387,0.246,0.7049,0.0743,0.0837,0.0309,0.0098,0.7466,0.03,0.1264,0.0071,0.3594,0.0102,0.0898,0.1856,0.0026,0.2032,0.0213,0.7663
40,0.4546,Rock,0.0354,0.0068,0.6384,0.0213,0.4396,0.8558,0.0204,0.7575,0.0068,0.9621,0.1705,0.6997,0.1911,0.2475,0.2398,0.0041,1.0,0.0199,0.0666,0.0194,0.1754,0.0055,0.0922,0.322,0.0045,0.2652,0.0232,0.7026
41,0.5868,Rock,0.0365,0.0054,0.452,0.0791,0.6976,0.7321,0.012,0.6354,0.0093,1.0,0.1211,0.6632,0.0425,0.064,0.1541,0.0089,0.8534,0.0022,0.3491,0.0058,0.1449,0.0129,0.1599,0.2768,0.0114,0.2799,0.0185,0.6217
42,1.0,Rock,0.1096,0.002,0.6592,0.191,0.9017,0.7887,0.0383,0.7508,0.0211,0.9376,0.2298,0.8745,0.0695,0.0568,0.1478,0.0105,0.8725,0.0053,0.6861,0.007,0.2331,0.0153,0.1935,0.1871,0.0106,0.3283,0.0319,0.8099
43,0.9922,Rock,0.1106,0.0092,0.5544,0.1938,0.9919,0.9401,0.0205,0.67,0.0093,0.8575,0.0701,0.942,0.074,0.136,0.3738,0.007,0.9379,0.0309,0.7312,0.006,0.1769,0.0056,0.3738,0.2673,0.0086,0.5367,0.0269,0.8589
44,0.7313,Rock,0.3096,0.0198,0.3647,0.4514,0.6776,0.365,0.0206,0.4082,0.0257,0.8659,0.7762,0.4006,0.0847,0.0561,0.1531,0.0025,0.6685,0.0206,0.2009,0.0255,0.7247,0.0096,0.0861,0.1524,0.0131,0.2871,0.0447,0.5161
45,0.7468,Rock,0.0663,0.0198,0.7609,0.0442,0.7676,0.5897,0.0235,0.7241,0.0408,0.0823,0.3877,0.7652,0.0583,0.2176,0.3087,0.0199,0.3037,0.0066,0.4203,0.007,0.4824,0.0184,0.3332,0.2613,0.0069,0.3731,0.0653,0.8367
46,0.7022,Rock,0.1034,0.0051,0.6471,0.1136,0.7298,0.4195,0.0117,0.5624,0.0308,0.1354,0.2808,0.6111,0.1593,0.2795,0.1608,0.0029,0.299,0.007,0.735,0.0056,0.3178,0.0138,0.294,0.3335,0.009,0.7295,0.0339,0.8218
47,0.5393,Rock,0.1482,0.0073,0.8391,0.2518,0.5902,0.4402,0.0269,0.5965,0.0373,0.4411,0.4087,0.5736,0.0993,0.0802,0.2624,0.0096,0.4056,0.0066,0.2241,0.0085,0.6633,0.0024,0.2565,0.1179,0.0006,0.1563,0.0281,0.771
48,0.5271,Rock,0.0651,0.014,0.8242,0.1124,0.5356,0.5087,0.007,0.4532,0.019,0.453,0.2479,0.6563,0.074,0.0349,0.3197,0.0072,0.4817,0.0026,0.2164,0.0055,0.5067,0.0112,0.3473,0.2823,0.0094,0.0572,0.0038,1.0
49,0.6078,Rock,0.0838,0.0069,0.7867,0.1343,0.5956,0.6008,0.0074,0.5141,0.0119,0.5387,0.247,0.7539,0.0487,0.0864,0.2665,0.0076,0.5437,0.0069,0.1934,0.003,0.5147,0.0074,0.372,0.2113,0.0123,0.1136,0.0582,1.0
50,1.0,Rock,0.1316,0.0108,0.143,0.2193,0.838,0.5998,0.0035,0.894,0.0353,0.6295,0.3363,0.7158,0.0298,0.088,0.225,0.0037,0.5583,0.0098,0.1699,0.0093,0.2304,0.0043,0.0979,0.2819,0.0202,0.124,0.0713,0.5756
51,0.5122,Rock,0.0383,0.0039,0.4663,0.0527,0.5175,0.6404,0.0077,0.4592,0.0131,0.3425,0.0949,0.8875,0.0726,0.0901,0.1226,0.0053,0.3308,0.0109,0.3526,0.0052,0.2873,0.004,0.0844,0.1619,0.0075,0.2934,0.0068,0.6948
52,0.2157,Rock,0.0469,0.005,0.6774,0.0138,0.1171,0.8564,0.0045,0.2946,0.0087,0.5587,0.1424,1.0,0.0576,0.0818,0.2789,0.003,0.679,0.0015,0.2933,0.0058,0.1745,0.0079,0.1862,0.2579,0.0114,0.2568,0.0046,0.8856
53,0.2561,Rock,0.1091,0.0102,0.6826,0.0681,0.1665,0.9134,0.0093,0.4638,0.0293,0.6318,0.1801,0.9928,0.0973,0.0751,0.1763,0.0041,0.708,0.0076,0.2676,0.005,0.2522,0.0108,0.1209,0.2039,0.0051,0.2321,0.0378,0.8504
54,0.2123,Rock,0.0926,0.0048,0.6234,0.1286,0.1362,0.8965,0.0258,0.5007,0.0132,0.6736,0.1696,0.9196,0.0899,0.0922,0.2087,0.0138,0.7549,0.0136,0.2394,0.0028,0.2633,0.0021,0.1475,0.2558,0.0022,0.1985,0.008,0.8282
55,0.268,Rock,0.1225,0.0037,0.6696,0.1044,0.1416,0.9785,0.0224,0.4989,0.0201,0.7639,0.1541,1.0,0.1335,0.1199,0.2042,0.0045,0.8473,0.0032,0.2532,0.0008,0.2655,0.0056,0.1387,0.258,0.0075,0.2097,0.0116,0.893
56,0.2297,Rock,0.1117,0.0046,0.5854,0.0815,0.077,0.9578,0.012,0.4323,0.0152,0.7128,0.1624,1.0,0.0949,0.1504,0.2249,0.0037,0.8642,0.0048,0.2538,0.0034,0.2064,0.0036,0.2115,0.2573,0.0013,0.2023,0.0102,0.95
57,0.6764,Rock,0.0452,0.0122,0.7022,0.0978,0.6498,0.7949,0.0092,0.6312,0.0216,0.718,0.1657,0.8807,0.116,0.0866,0.0997,0.0047,0.799,0.0018,0.174,0.0006,0.153,0.0096,0.078,0.0915,0.0134,0.1134,0.0124,0.7973
58,0.5459,Rock,0.0241,0.0057,0.8773,0.0297,0.6275,0.9071,0.0073,0.6071,0.0225,0.7293,0.0486,1.0,0.1624,0.1452,0.0618,0.003,0.8545,0.0051,0.259,0.0021,0.0652,0.01,0.0948,0.1641,0.0044,0.0844,0.0019,0.9282
59,0.5071,Rock,0.0247,0.0048,0.8225,0.0505,0.5197,0.8752,0.0047,0.5128,0.0125,0.6616,0.0492,1.0,0.1252,0.1302,0.0628,0.0017,0.7583,0.0019,0.2048,0.0086,0.1041,0.003,0.05,0.1274,0.005,0.0742,0.0152,0.9065
60,0.5318,Rock,0.0179,0.0045,0.9273,0.0278,0.5531,0.9092,0.0116,0.5447,0.013,0.6962,0.0375,0.9821,0.1711,0.1483,0.089,0.0039,0.8184,0.0092,0.2137,0.0023,0.0674,0.0013,0.11,0.1236,0.0011,0.1145,0.0006,0.9192
61,0.5284,Rock,0.0408,0.0024,1.0,0.0473,0.567,0.905,0.0094,0.4924,0.0135,0.6986,0.0583,0.9307,0.1596,0.1908,0.1197,0.0037,0.8228,0.0025,0.2658,0.003,0.0431,0.0102,0.1112,0.1174,0.0096,0.2215,0.0045,0.842
62,0.668,Rock,0.0205,0.0029,0.9237,0.0333,0.729,0.9858,0.0095,0.681,0.0086,0.8114,0.0845,1.0,0.1229,0.1185,0.1042,0.0058,0.9427,0.0047,0.269,0.0024,0.1013,0.0022,0.1101,0.0853,0.0016,0.1304,0.0215,0.8052
63,0.5515,Rock,0.0602,0.0019,0.6308,0.0687,0.5463,0.8513,0.0154,0.6177,0.0067,0.9166,0.1491,0.6906,0.0836,0.118,0.0656,0.0034,1.0,0.0029,0.2038,0.0051,0.1641,0.002,0.0909,0.0593,0.004,0.1297,0.0096,0.4958
64,0.9517,Rock,0.0879,0.0105,0.0667,0.0971,1.0,0.4855,0.0233,0.5989,0.0071,0.5508,0.1705,0.3399,0.0117,0.0898,0.1437,0.0054,0.5206,0.0252,0.0892,0.0073,0.4161,0.0076,0.1554,0.1035,0.0124,0.1227,0.0103,0.0395
65,0.9705,Rock,0.0911,0.005,0.1965,0.064,0.9481,0.6471,0.0187,0.5376,0.0176,0.6107,0.1916,0.4642,0.0258,0.0474,0.104,0.0112,0.634,0.0088,0.1568,0.0294,0.4813,0.0171,0.1854,0.0948,0.0079,0.1688,0.0172,0.0616
66,0.9348,Rock,0.0931,0.0097,0.206,0.0508,0.9885,0.8457,0.0188,0.626,0.0265,0.7679,0.1997,0.5872,0.0844,0.0779,0.1908,0.0073,0.8467,0.01,0.207,0.0086,0.5247,0.0156,0.206,0.1065,0.0068,0.2232,0.044,0.0904
67,0.9605,Rock,0.0804,0.007,0.24,0.0801,0.9518,0.7003,0.0175,0.5373,0.0368,0.6443,0.2278,0.4753,0.0155,0.0506,0.1464,0.0135,0.6825,0.0058,0.1424,0.0078,0.5155,0.016,0.2545,0.1272,0.0081,0.1669,0.0403,0.024
68,0.4593,Rock,0.1077,0.0022,0.4193,0.2414,0.5447,0.6897,0.0187,0.8835,0.0195,1.0,0.3846,0.4772,0.084,0.1191,0.1434,0.0058,0.9797,0.0125,0.1226,0.0067,0.1654,0.012,0.1322,0.1244,0.0012,0.089,0.0142,0.5643
69,0.2344,Rock,0.0342,0.0021,0.2605,0.067,0.31,0.6742,0.0136,0.2055,0.0216,0.4638,0.0942,0.8684,0.1151,0.0973,0.1192,0.0047,0.5537,0.0082,0.1929,0.0009,0.1915,0.0052,0.1102,0.1762,0.0073,0.2138,0.0215,0.844
70,0.1725,Rock,0.0608,0.0036,0.4238,0.1178,0.236,0.5816,0.01,0.141,0.0065,0.3539,0.148,0.828,0.1054,0.1109,0.092,0.0026,0.4667,0.0023,0.1268,0.0006,0.3041,0.0027,0.0827,0.0911,0.0052,0.1666,0.0122,0.8167
71,0.2268,Rock,0.0381,0.0004,0.3368,0.0965,0.3147,0.6624,0.0055,0.2054,0.0036,0.3925,0.0948,0.8457,0.1239,0.0888,0.1599,0.0018,0.5564,0.0079,0.1477,0.0024,0.2507,0.0035,0.1245,0.1542,0.0036,0.1732,0.0078,0.8505
72,0.1787,Rock,0.0441,0.0044,0.429,0.091,0.1952,0.6119,0.0095,0.102,0.0208,0.3677,0.0696,0.8087,0.0989,0.1093,0.1291,0.0028,0.526,0.014,0.1615,0.0049,0.292,0.0081,0.1179,0.1591,0.0087,0.1918,0.0186,0.9061
73,0.2288,Rock,0.0898,0.0022,0.7483,0.1717,0.1982,0.7043,0.011,0.2628,0.0139,0.3773,0.1789,0.6858,0.0786,0.1015,0.0493,0.0025,0.5864,0.0024,0.1066,0.0039,0.2112,0.0113,0.0828,0.0848,0.0012,0.1396,0.0222,0.9048
74,0.2276,Rock,0.0327,0.0077,0.887,0.0025,0.2569,0.9134,0.0108,0.2959,0.0109,0.4659,0.0431,1.0,0.0941,0.1036,0.1546,0.0076,0.6762,0.0124,0.7738,0.0055,0.0288,0.0117,0.0501,0.3404,0.0053,0.657,0.0093,0.898
75,0.1348,Rock,0.0426,0.0065,0.9409,0.057,0.2459,0.7317,0.0006,0.4611,0.0202,0.3244,0.1262,0.9351,0.1317,0.137,0.1254,0.0049,0.4421,0.0188,0.8341,0.0073,0.0569,0.0067,0.0269,0.3046,0.0043,0.7973,0.0104,0.9725
76,0.0733,Rock,0.0546,0.0078,0.9872,0.0391,0.2222,0.7633,0.0095,0.4007,0.0239,0.3822,0.1459,0.9675,0.1384,0.1376,0.1499,0.0045,0.4434,0.0155,0.8669,0.0036,0.03,0.008,0.0259,0.2851,0.0018,0.8278,0.0189,0.9009
77,0.0549,Rock,0.0949,0.0169,0.962,0.0505,0.1742,0.5877,0.017,0.341,0.0336,0.4235,0.1268,0.7931,0.1235,0.0842,0.1705,0.0137,0.3474,0.0033,0.7327,0.0069,0.0799,0.0032,0.0689,0.3257,0.0035,0.6225,0.0294,0.9118
78,0.0352,Rock,0.0844,0.0072,0.8057,0.0654,0.1037,0.65,0.0313,0.2285,0.0231,0.2423,0.1381,0.8846,0.1063,0.0347,0.2274,0.0056,0.297,0.0154,0.7521,0.0043,0.044,0.0022,0.1382,0.4038,0.0052,0.6847,0.0351,0.9066
79,0.0671,Rock,0.0509,0.0058,0.9645,0.021,0.1052,0.4492,0.0101,0.3195,0.0108,0.6153,0.0778,0.6501,0.0472,0.0393,0.2202,0.0003,0.4739,0.0161,0.539,0.0026,0.0644,0.0114,0.1412,0.2976,0.0083,0.4754,0.0086,0.8658
80,0.2312,Rock,0.0763,0.0056,0.7484,0.0276,0.3044,0.8713,0.024,0.1319,0.0229,0.8014,0.1148,0.6981,0.075,0.1631,0.4091,0.0026,0.9013,0.0115,0.8137,0.0104,0.0056,0.0122,0.3358,0.44,0.0151,0.7213,0.0369,0.4106
81,0.1975,Rock,0.193,0.006,0.7302,0.2195,0.173,0.4808,0.0196,0.4235,0.01,0.7152,0.1129,0.6319,0.2696,0.299,0.3951,0.008,0.6291,0.0122,1.0,0.0053,0.2054,0.0077,0.3565,0.5201,0.0075,0.8468,0.0194,0.7159
82,0.0899,Rock,0.1874,0.0087,0.6967,0.2732,0.2908,0.6084,0.0405,0.2897,0.0409,0.8557,0.0971,0.6053,0.2302,0.2259,0.3827,0.0061,0.8877,0.0113,0.9522,0.003,0.2191,0.0105,0.3323,0.484,0.012,0.7555,0.0421,0.6948
83,0.1422,Rock,0.1829,0.0094,0.6212,0.17,0.158,0.2989,0.0224,0.4055,0.0217,0.6628,0.1606,0.5601,0.1147,0.1777,0.3973,0.0031,0.5009,0.0095,0.9819,0.0013,0.2029,0.0078,0.4113,0.5078,0.0077,0.8073,0.034,0.7745
84,0.1036,Rock,0.2198,0.0065,0.5847,0.22,0.2314,0.5002,0.0162,0.3318,0.0378,0.4831,0.0584,0.6389,0.1779,0.2053,0.3686,0.0061,0.5578,0.0093,0.9739,0.0043,0.2714,0.0078,0.3118,0.3885,0.0102,0.7868,0.0318,0.5946
85,0.6847,Rock,0.1587,0.0063,0.8311,0.1704,0.3597,0.5014,0.0151,0.0773,0.0365,0.4456,0.2059,0.7009,0.2992,0.3735,0.2679,0.0078,0.3942,0.0223,0.835,0.011,0.3868,0.0205,0.0387,0.5397,0.0164,0.7257,0.1632,0.8762
86,0.7147,Rock,0.196,0.0057,0.8596,0.1886,0.3967,0.5843,0.0398,0.1592,0.0188,0.5201,0.2,0.6971,0.1873,0.1806,0.1975,0.009,0.4772,0.0143,0.7906,0.0068,0.3874,0.0113,0.1523,0.4844,0.003,0.7807,0.037,0.8457
87,0.7409,Rock,0.2392,0.0051,0.8643,0.2798,0.5305,0.681,0.0358,0.24,0.0856,0.5775,0.2235,0.6024,0.2837,0.2751,0.102,0.0258,0.5047,0.0128,0.7066,0.0037,0.4208,0.0079,0.0946,0.4519,0.0037,0.6699,0.0454,0.9372
88,0.5843,Rock,0.119,0.0074,0.7755,0.0729,0.3725,0.4146,0.0067,0.2024,0.0274,0.4437,0.1761,0.5759,0.144,0.1808,0.1749,0.0104,0.3495,0.0255,0.9062,0.022,0.2975,0.0085,0.0906,0.4012,0.0047,0.7312,0.0242,0.7283
89,0.665,Rock,0.1723,0.003,0.8297,0.1946,0.4603,0.6124,0.0179,0.182,0.0235,0.5648,0.1392,0.7726,0.2876,0.3674,0.1912,0.0132,0.4936,0.0242,0.7505,0.0108,0.4041,0.0095,0.0837,0.504,0.0105,0.6804,0.0291,0.824
90,0.718,Rock,0.0491,0.0022,0.7082,0.066,0.8529,0.6203,0.0287,0.6762,0.0126,0.2595,0.2812,0.8105,0.3416,0.4284,0.3299,0.0037,0.2356,0.0027,1.0,0.0114,0.1167,0.0199,0.1207,0.5707,0.0126,0.9751,0.0519,0.8109
