,middle-left-square_cat,top-left-square_cat,middle-middle-square_cat,Class_cat,bottom-left-square_cat
73,b,x,b,positive,b
74,b,x,b,positive,b
75,b,x,b,positive,o
76,b,x,b,positive,o
77,b,x,b,positive,b
78,x,x,x,positive,o
79,x,x,o,positive,x
80,x,x,o,positive,x
81,x,x,o,positive,x
82,x,x,o,positive,x
83,x,x,o,positive,x
84,x,x,b,positive,x
85,x,x,b,positive,x
86,o,x,x,positive,o
87,o,x,x,positive,o
88,o,x,x,positive,x
89,o,x,x,positive,o
90,o,x,x,positive,b
91,o,x,x,positive,b
92,o,x,x,positive,o
93,o,x,x,positive,o
94,o,x,x,positive,b
95,o,x,x,positive,b
96,b,x,x,positive,o
97,b,x,x,positive,o
98,b,x,x,positive,b
99,b,x,x,positive,o
100,b,x,x,positive,o
101,x,x,o,positive,x
102,x,x,o,positive,x
103,x,x,o,positive,x
104,x,x,b,positive,x
105,o,x,x,positive,o
106,o,x,x,positive,o
107,o,x,x,positive,b
108,o,x,x,positive,b
109,o,x,x,positive,o
110,o,x,x,positive,o
111,b,x,x,positive,o
112,b,x,x,positive,o
113,x,x,x,positive,x
114,x,x,x,positive,o
115,x,x,o,positive,x
116,x,x,o,positive,x
117,x,x,o,positive,x
118,x,x,b,positive,x
119,x,x,b,positive,x
120,x,x,b,positive,x
121,o,x,x,positive,x
122,o,x,x,positive,o
123,o,x,x,positive,x
124,o,x,x,positive,x
125,o,x,x,positive,x
126,o,x,x,positive,o
127,o,x,x,positive,b
128,o,x,x,positive,x
129,o,x,x,positive,x
130,o,x,x,positive,o
131,o,x,x,positive,b
132,o,x,o,positive,o
133,o,x,o,positive,b
134,o,x,b,positive,o
135,o,x,b,positive,b
136,b,x,x,positive,x
137,b,x,x,positive,x
138,b,x,x,positive,o
139,b,x,x,positive,b
140,b,x,x,positive,x
141,b,x,x,positive,o
142,b,x,o,positive,o
143,b,x,b,positive,o
144,x,x,x,positive,x
145,x,x,x,positive,o
146,x,x,x,positive,o
147,x,x,x,positive,o
148,x,x,x,positive,b
149,x,x,x,positive,b
150,x,x,x,positive,x
151,x,x,x,positive,x
152,x,x,x,positive,o
153,x,x,x,positive,b
154,x,x,x,positive,x
155,x,x,x,positive,x
156,x,x,x,positive,o
157,x,x,x,positive,b
158,x,x,o,positive,x
159,x,x,o,positive,x
160,x,x,o,positive,x
161,x,x,o,positive,x
162,x,x,o,positive,x
163,x,x,b,positive,x
164,x,x,b,positive,x
165,x,x,b,positive,x
166,x,x,b,positive,x
167,x,x,b,positive,x
168,x,x,b,positive,x
169,x,x,b,positive,x
170,o,x,x,positive,x
171,o,x,x,positive,o
172,o,x,x,positive,b
173,o,x,x,positive,x
174,o,x,x,positive,x
175,o,x,x,positive,b
176,o,x,o,positive,x
177,o,x,b,positive,x
178,b,x,x,positive,o
179,b,x,x,positive,b
180,b,x,x,positive,x
181,b,x,x,positive,b
182,b,x,x,positive,x
183,b,x,x,positive,o
184,b,x,x,positive,b
185,b,x,o,positive,x
186,b,x,b,positive,x
187,x,x,x,positive,o
188,x,x,x,positive,o
189,x,x,x,positive,b
190,x,x,x,positive,x
191,x,x,x,positive,x
192,x,x,x,positive,o
193,x,x,x,positive,b
194,x,x,x,positive,x
195,x,x,x,positive,o
196,x,x,o,positive,x
197,x,x,o,positive,x
198,x,x,o,positive,x
199,x,x,o,positive,x
200,x,x,o,positive,x
201,x,x,b,positive,x
202,x,x,b,positive,x
203,x,x,b,positive,x
204,x,x,b,positive,x
205,x,x,b,positive,x
206,x,x,b,positive,x
207,o,x,x,positive,o
208,o,x,x,positive,b
209,o,x,x,positive,x
210,o,x,x,positive,b
211,o,x,x,positive,x
212,o,x,x,positive,o
213,o,x,x,positive,b
214,o,x,o,positive,x
215,o,x,b,positive,x
216,b,x,x,positive,o
217,b,x,x,positive,x
218,b,x,x,positive,o
219,b,x,x,positive,b
220,b,x,x,positive,o
221,b,x,x,positive,b
222,b,x,o,positive,x
223,x,x,o,positive,x
224,x,x,o,positive,x
225,x,x,o,positive,x
226,x,x,b,positive,x
227,o,x,x,positive,x
228,o,x,x,positive,x
229,o,x,x,positive,o
230,o,x,x,positive,b
231,o,x,x,positive,x
232,o,x,x,positive,o
233,o,x,o,positive,o
234,o,x,o,positive,b
235,o,x,b,positive,o
236,b,x,x,positive,x
237,b,x,x,positive,o
238,b,x,o,positive,o
239,x,x,x,positive,o
240,x,x,x,positive,o
241,x,x,x,positive,b
242,x,x,x,positive,x
243,x,x,x,positive,o
244,x,x,x,positive,b
245,x,x,x,positive,x
246,x,x,x,positive,o
247,x,x,o,positive,x
248,x,x,o,positive,x
249,x,x,o,positive,x
250,x,x,o,positive,x
251,x,x,o,positive,x
252,x,x,o,positive,x
253,x,x,o,positive,x
254,x,x,b,positive,x
255,x,x,b,positive,x
256,x,x,b,positive,x
257,x,x,b,positive,x
258,x,x,b,positive,x
259,o,x,x,positive,o
260,o,x,x,positive,b
261,o,x,x,positive,x
262,o,x,x,positive,b
263,o,x,x,positive,x
264,o,x,x,positive,o
265,o,x,x,positive,b
266,o,x,o,positive,x
267,o,x,b,positive,x
268,b,x,x,positive,o
269,b,x,x,positive,x
270,b,x,x,positive,o
271,b,x,x,positive,b
272,b,x,x,positive,o
273,b,x,x,positive,b
274,b,x,o,positive,x
275,x,x,x,positive,x
276,x,x,x,positive,o
277,x,x,o,positive,x
278,x,x,o,positive,x
279,x,x,o,positive,x
280,x,x,o,positive,x
281,x,x,o,positive,x
282,x,x,o,positive,x
283,x,x,b,positive,x
284,x,x,b,positive,x
285,x,x,b,positive,x
286,o,x,x,positive,o
287,o,x,x,positive,x
288,o,x,x,positive,o
289,o,x,x,positive,b
290,o,x,x,positive,o
291,o,x,x,positive,b
292,b,x,x,positive,o
293,b,x,x,positive,b
294,b,x,x,positive,o
295,x,o,x,positive,x
296,x,o,x,positive,o
297,x,o,o,positive,o
298,o,o,x,positive,x
299,o,o,x,positive,x
300,o,o,x,positive,x
301,o,o,x,positive,x
302,o,o,x,positive,b
303,o,o,x,positive,x
304,o,o,x,positive,x
305,o,o,x,positive,b
306,o,o,o,positive,x
307,o,o,o,positive,b
308,o,o,b,positive,b
309,b,o,x,positive,x
310,b,o,x,positive,x
311,b,o,x,positive,o
312,b,o,x,positive,b
313,b,o,x,positive,x
314,b,o,x,positive,o
315,b,o,o,positive,o
316,b,o,o,positive,b
317,b,o,b,positive,o
318,x,o,x,positive,x
319,x,o,x,positive,o
320,x,o,x,positive,o
321,x,o,x,positive,o
322,x,o,x,positive,b
323,x,o,x,positive,b
324,x,o,x,positive,o
325,x,o,x,positive,b
326,x,o,x,positive,o
327,x,o,x,positive,b
328,x,o,o,positive,x
329,o,o,x,positive,x
330,o,o,x,positive,b
331,o,o,x,positive,x
332,o,o,x,positive,x
333,o,o,x,positive,b
334,o,o,o,positive,x
335,o,o,b,positive,x
336,b,o,x,positive,o
337,b,o,x,positive,b
338,b,o,x,positive,x
339,b,o,x,positive,b
340,b,o,x,positive,x
341,b,o,x,positive,o
342,b,o,x,positive,b
343,b,o,o,positive,x
344,b,o,b,positive,x
345,x,o,x,positive,o
346,x,o,x,positive,o
347,x,o,x,positive,b
348,x,o,x,positive,o
349,x,o,x,positive,b
350,x,o,x,positive,o
351,o,o,x,positive,b
352,o,o,x,positive,x
353,o,o,x,positive,b
354,o,o,x,positive,x
355,o,o,x,positive,b
356,o,o,o,positive,x
357,o,o,b,positive,x
358,b,o,x,positive,o
359,b,o,x,positive,x
360,b,o,x,positive,o
361,b,o,x,positive,b
362,b,o,x,positive,o
363,b,o,x,positive,b
364,b,o,o,positive,x
365,x,o,x,positive,x
366,x,o,x,positive,o
367,x,o,x,positive,o
368,x,o,x,positive,o
369,x,o,x,positive,b
370,x,o,x,positive,b
371,x,o,x,positive,x
372,x,o,x,positive,x
373,x,o,x,positive,x
374,x,o,x,positive,x
375,x,o,x,positive,x
376,x,o,o,positive,o
377,x,o,o,positive,b
378,x,o,o,positive,x
379,x,o,b,positive,o
380,x,o,b,positive,b
381,o,o,x,positive,x
382,o,o,x,positive,x
383,o,o,x,positive,x
384,o,o,x,positive,b
385,o,o,x,positive,x
386,o,o,x,positive,x
387,o,o,x,positive,x
388,o,o,o,positive,x
389,o,o,b,positive,x
390,o,o,b,positive,b
391,o,o,b,positive,x
392,b,o,x,positive,x
393,b,o,x,positive,x
394,b,o,x,positive,o
395,b,o,x,positive,b
396,b,o,x,positive,x
397,b,o,x,positive,x
398,b,o,x,positive,x
399,b,o,x,positive,x
400,b,o,x,positive,x
401,b,o,o,positive,x
402,b,o,o,positive,b
403,b,o,o,positive,x
404,b,o,b,positive,x
405,b,o,b,positive,o
406,b,o,b,positive,b
407,b,o,b,positive,x
408,x,o,x,positive,x
409,x,o,x,positive,x
410,x,o,x,positive,o
411,x,o,x,positive,o
412,x,o,x,positive,b
413,x,o,x,positive,b
414,x,o,x,positive,b
415,x,o,o,positive,x
416,x,o,b,positive,x
417,o,o,x,positive,x
418,o,o,b,positive,x
419,b,o,x,positive,x
420,b,o,o,positive,x
421,b,o,b,positive,x
422,x,o,x,positive,o
423,x,o,x,positive,o
424,x,o,x,positive,b
425,x,o,x,positive,x
426,x,o,x,positive,x
427,x,o,x,positive,x
428,x,o,o,positive,o
429,x,o,o,positive,b
430,x,o,b,positive,o
431,o,o,x,positive,x
432,o,o,x,positive,x
433,o,o,x,positive,b
434,o,o,x,positive,x
435,o,o,x,positive,x
436,o,o,x,positive,x
437,o,o,x,positive,x
438,o,o,x,positive,x
439,o,o,o,positive,x
440,o,o,o,positive,b
441,o,o,o,positive,x
442,o,o,b,positive,x
443,o,o,b,positive,b
444,o,o,b,positive,x
445,b,o,x,positive,x
446,b,o,x,positive,o
447,b,o,x,positive,x
448,b,o,x,positive,x
449,b,o,x,positive,x
450,b,o,x,positive,x
451,b,o,x,positive,x
452,b,o,o,positive,x
453,b,o,o,positive,o
454,b,o,o,positive,b
455,b,o,o,positive,x
456,b,o,b,positive,o
457,b,o,b,positive,b
458,x,o,x,positive,x
459,x,o,x,positive,x
460,x,o,x,positive,o
461,x,o,x,positive,o
462,x,o,x,positive,b
463,x,o,x,positive,b
464,x,o,x,positive,b
465,x,o,o,positive,x
466,x,o,b,positive,x
467,o,o,x,positive,x
468,o,o,b,positive,x
469,b,o,x,positive,x
470,b,o,o,positive,x
471,b,o,b,positive,x
472,x,o,x,positive,x
473,x,o,x,positive,o
474,x,o,x,positive,o
475,x,o,x,positive,o
476,x,o,x,positive,b
477,x,o,x,positive,b
478,x,o,o,positive,x
479,o,o,x,positive,x
480,o,o,o,positive,x
481,o,o,b,positive,x
482,b,o,o,positive,x
483,b,o,b,positive,x
484,o,b,x,positive,x
485,o,b,x,positive,x
486,o,b,x,positive,o
487,o,b,x,positive,b
488,o,b,x,positive,x
489,o,b,x,positive,o
490,o,b,o,positive,o
491,o,b,o,positive,b
492,o,b,b,positive,o
493,b,b,x,positive,x
494,b,b,x,positive,o
495,b,b,o,positive,o
496,x,b,x,positive,o
497,x,b,x,positive,o
498,x,b,x,positive,b
499,x,b,x,positive,o
500,x,b,x,positive,o
501,o,b,x,positive,o
502,o,b,x,positive,b
503,o,b,x,positive,x
504,o,b,x,positive,b
505,o,b,x,positive,x
506,o,b,x,positive,o
507,o,b,x,positive,b
508,o,b,o,positive,x
509,o,b,b,positive,x
510,b,b,x,positive,o
511,b,b,x,positive,o
512,b,b,x,positive,b
513,b,b,x,positive,o
514,b,b,x,positive,b
515,b,b,o,positive,x
516,x,b,x,positive,o
517,o,b,x,positive,o
518,o,b,x,positive,x
519,o,b,x,positive,o
520,o,b,x,positive,b
521,o,b,x,positive,o
522,o,b,x,positive,b
523,b,b,x,positive,o
524,b,b,x,positive,b
525,b,b,x,positive,o
526,x,b,x,positive,o
527,x,b,x,positive,o
528,x,b,x,positive,b
529,x,b,x,positive,x
530,x,b,x,positive,x
531,x,b,x,positive,x
532,x,b,o,positive,o
533,x,b,b,positive,o
534,o,b,x,positive,x
535,o,b,x,positive,x
536,o,b,x,positive,o
537,o,b,x,positive,b
538,o,b,x,positive,x
539,o,b,x,positive,x
540,o,b,x,positive,x
541,o,b,x,positive,x
542,o,b,x,positive,x
543,o,b,o,positive,x
544,o,b,o,positive,b
545,o,b,o,positive,x
546,o,b,b,positive,x
547,o,b,b,positive,o
548,o,b,b,positive,b
549,o,b,b,positive,x
550,b,b,x,positive,x
551,b,b,x,positive,o
552,b,b,x,positive,x
553,b,b,x,positive,x
554,b,b,x,positive,x
555,b,b,x,positive,x
556,b,b,x,positive,x
557,b,b,o,positive,o
558,b,b,o,positive,b
559,b,b,o,positive,x
560,b,b,b,positive,o
561,b,b,b,positive,b
562,x,b,x,positive,x
563,x,b,x,positive,x
564,x,b,x,positive,o
565,x,b,x,positive,o
566,x,b,x,positive,b
567,x,b,x,positive,b
568,x,b,x,positive,b
569,x,b,o,positive,x
570,x,b,b,positive,x
571,o,b,x,positive,x
572,o,b,b,positive,x
573,b,b,x,positive,x
574,b,b,o,positive,x
575,b,b,b,positive,x
576,x,b,x,positive,x
577,x,b,x,positive,o
578,x,b,x,positive,o
579,x,b,x,positive,o
580,x,b,x,positive,b
581,x,b,x,positive,b
582,x,b,o,positive,x
583,o,b,x,positive,x
584,o,b,o,positive,x
585,o,b,b,positive,x
586,b,b,o,positive,x
587,b,b,b,positive,x
588,x,b,x,positive,x
589,x,b,o,positive,o
590,o,b,x,positive,x
591,o,b,x,positive,o
592,o,b,x,positive,x
593,o,b,x,positive,x
594,o,b,x,positive,x
595,o,b,x,positive,x
596,o,b,x,positive,x
597,o,b,o,positive,x
598,o,b,o,positive,o
599,o,b,o,positive,b
600,o,b,b,positive,o
601,o,b,b,positive,b
602,b,b,x,positive,x
603,b,b,x,positive,x
604,b,b,x,positive,x
605,b,b,o,positive,o
606,b,b,o,positive,b
607,b,b,b,positive,o
608,x,b,x,positive,x
609,x,b,x,positive,o
610,x,b,x,positive,o
611,x,b,x,positive,o
612,x,b,x,positive,b
613,x,b,x,positive,b
614,x,b,o,positive,x
615,o,b,x,positive,x
616,o,b,o,positive,x
617,o,b,b,positive,x
618,b,b,o,positive,x
619,b,b,b,positive,x
620,x,b,x,positive,o
621,x,b,x,positive,o
622,x,b,x,positive,b
623,o,b,o,positive,x
624,o,b,b,positive,x
625,b,b,o,positive,x
626,x,x,x,negative,o
627,x,x,x,negative,b
628,x,x,x,negative,o
629,x,x,o,negative,o
630,x,x,o,negative,o
631,x,x,o,negative,o
632,x,x,o,negative,o
633,x,x,o,negative,b
634,x,x,o,negative,o
635,x,x,o,negative,o
636,x,x,o,negative,o
637,x,x,b,negative,o
638,x,x,b,negative,o
639,x,x,b,negative,b
640,o,x,x,negative,x
641,o,x,o,negative,o
642,o,x,o,negative,o
643,o,x,o,negative,x
644,o,x,o,negative,x
645,o,x,o,negative,b
646,o,x,o,negative,o
647,o,x,b,negative,x
648,b,x,x,negative,o
649,b,x,x,negative,x
650,b,x,x,negative,b
651,b,x,o,negative,o
652,b,x,o,negative,o
653,b,x,o,negative,o
654,b,x,o,negative,x
655,b,x,o,negative,o
656,b,x,o,negative,o
657,b,x,o,negative,o
658,b,x,b,negative,x
659,b,x,b,negative,b
660,x,x,x,negative,o
661,x,x,o,negative,o
662,x,x,b,negative,o
663,o,x,x,negative,o
664,o,x,o,negative,x
665,o,x,o,negative,x
666,o,x,o,negative,x
667,o,x,o,negative,o
668,o,x,o,negative,b
669,o,x,o,negative,b
670,b,x,x,negative,o
671,b,x,b,negative,o
672,x,x,x,negative,o
673,x,x,o,negative,o
674,x,x,o,negative,b
675,x,x,o,negative,b
676,x,x,o,negative,o
677,x,x,o,negative,b
678,x,x,b,negative,o
679,o,x,o,negative,x
680,o,x,o,negative,x
681,o,x,o,negative,x
682,o,x,o,negative,b
683,o,x,o,negative,x
684,b,x,x,negative,o
685,b,x,o,negative,x
686,b,x,o,negative,b
687,b,x,o,negative,x
688,b,x,o,negative,x
689,b,x,o,negative,b
690,x,x,x,negative,b
691,x,x,o,negative,o
692,x,x,o,negative,o
693,x,x,o,negative,b
694,x,x,o,negative,o
695,b,x,x,negative,x
696,b,x,o,negative,x
697,b,x,o,negative,o
698,x,x,o,negative,o
699,x,x,o,negative,b
700,x,x,o,negative,b
701,o,x,o,negative,x
702,b,x,o,negative,x
703,b,x,o,negative,b
704,b,x,o,negative,x
705,x,x,x,negative,o
706,x,x,o,negative,o
707,x,x,b,negative,o
708,o,x,x,negative,o
709,o,x,o,negative,x
710,o,x,o,negative,x
711,o,x,o,negative,x
712,o,x,o,negative,o
713,o,x,o,negative,b
714,o,x,o,negative,b
715,b,x,x,negative,o
716,b,x,b,negative,o
717,x,x,x,negative,o
718,x,x,x,negative,b
719,x,x,o,negative,o
720,x,x,o,negative,o
721,x,x,o,negative,o
722,x,x,o,negative,o
723,x,x,o,negative,o
724,x,x,o,negative,o
725,x,x,b,negative,b
726,o,x,x,negative,x
727,o,x,o,negative,o
728,b,x,x,negative,x
729,b,x,x,negative,b
730,b,x,o,negative,o
731,b,x,o,negative,o
732,b,x,o,negative,o
733,b,x,b,negative,x
734,x,x,x,negative,o
735,x,x,b,negative,o
736,o,x,o,negative,x
737,o,x,o,negative,x
738,o,x,o,negative,b
739,b,x,x,negative,o
740,x,o,x,negative,o
741,x,o,o,negative,o
742,x,o,o,negative,b
743,x,o,o,negative,x
744,x,o,o,negative,b
745,x,o,o,negative,x
746,x,o,o,negative,o
747,x,o,o,negative,b
748,x,o,b,negative,o
749,o,o,x,negative,o
750,o,o,x,negative,o
751,o,o,x,negative,o
752,o,o,x,negative,o
753,o,o,x,negative,o
754,o,o,o,negative,x
755,o,o,o,negative,o
756,o,o,o,negative,b
757,o,o,o,negative,x
758,o,o,o,negative,x
759,o,o,o,negative,b
760,o,o,o,negative,x
761,o,o,o,negative,o
762,o,o,b,negative,o
763,o,o,b,negative,o
764,o,o,b,negative,o
765,o,o,b,negative,o
766,o,o,b,negative,o
767,b,o,x,negative,o
768,b,o,o,negative,x
769,b,o,o,negative,o
770,b,o,o,negative,b
771,b,o,o,negative,x
772,b,o,o,negative,x
773,b,o,o,negative,b
774,x,o,x,negative,x
775,x,o,o,negative,x
776,x,o,o,negative,o
777,x,o,o,negative,o
778,x,o,o,negative,b
779,x,o,o,negative,x
780,x,o,o,negative,o
781,x,o,b,negative,x
782,o,o,x,negative,o
783,o,o,b,negative,o
784,b,o,o,negative,x
785,b,o,o,negative,o
786,x,o,o,negative,x
787,x,o,o,negative,o
788,x,o,o,negative,b
789,x,o,o,negative,x
790,x,o,o,negative,x
791,x,o,o,negative,b
792,o,o,x,negative,o
793,o,o,x,negative,o
794,o,o,x,negative,o
795,o,o,o,negative,x
796,o,o,o,negative,o
797,o,o,b,negative,o
798,o,o,b,negative,o
799,o,o,b,negative,o
800,b,o,o,negative,x
801,b,o,o,negative,b
802,b,o,o,negative,x
803,x,o,o,negative,x
804,x,o,o,negative,x
805,x,o,o,negative,b
806,x,o,o,negative,x
807,x,o,o,negative,x
808,o,o,x,negative,o
809,o,o,x,negative,o
810,b,o,o,negative,x
811,x,o,x,negative,x
812,x,o,x,negative,x
813,x,o,x,negative,b
814,x,o,x,negative,x
815,x,o,x,negative,x
816,x,o,x,negative,x
817,x,o,x,negative,o
818,x,o,x,negative,b
819,x,o,x,negative,b
820,x,o,o,negative,x
821,x,o,o,negative,x
822,x,o,o,negative,b
823,x,o,b,negative,x
824,x,o,b,negative,x
825,x,o,b,negative,x
826,x,o,b,negative,o
827,x,o,b,negative,b
828,x,o,b,negative,b
829,x,o,b,negative,x
830,x,o,b,negative,x
831,x,o,b,negative,b
832,o,o,x,negative,x
833,o,o,x,negative,x
834,o,o,x,negative,b
835,b,o,x,negative,x
836,b,o,x,negative,x
837,b,o,x,negative,x
838,b,o,x,negative,o
839,b,o,x,negative,b
840,b,o,x,negative,b
841,b,o,x,negative,x
842,b,o,x,negative,x
843,b,o,x,negative,b
844,b,o,b,negative,x
845,b,o,b,negative,x
846,b,o,b,negative,b
847,x,o,o,negative,x
848,x,o,o,negative,x
849,o,o,x,negative,o
850,x,o,o,negative,x
851,x,o,o,negative,o
852,x,o,o,negative,b
853,x,o,o,negative,x
854,x,o,o,negative,x
855,x,o,o,negative,b
856,o,o,x,negative,o
857,o,o,x,negative,o
858,o,o,x,negative,o
859,o,o,x,negative,o
860,o,o,x,negative,o
861,o,o,o,negative,x
862,o,o,b,negative,o
863,o,o,b,negative,o
864,b,o,o,negative,x
865,b,o,o,negative,b
866,b,o,o,negative,x
867,x,o,x,negative,x
868,x,o,o,negative,x
869,x,o,o,negative,o
870,o,o,x,negative,o
871,x,o,o,negative,x
872,x,o,o,negative,b
873,x,o,o,negative,x
874,o,o,x,negative,o
875,o,o,x,negative,o
876,o,o,x,negative,o
877,o,o,b,negative,o
878,b,o,o,negative,x
879,x,b,x,negative,o
880,x,b,o,negative,o
881,x,b,b,negative,o
882,o,b,x,negative,o
883,o,b,o,negative,x
884,o,b,o,negative,x
885,o,b,o,negative,x
886,o,b,o,negative,o
887,o,b,o,negative,b
888,o,b,o,negative,b
889,b,b,x,negative,o
890,b,b,b,negative,o
891,x,b,x,negative,x
892,x,b,x,negative,b
893,x,b,o,negative,o
894,x,b,o,negative,o
895,x,b,o,negative,o
896,x,b,o,negative,x
897,x,b,o,negative,o
898,x,b,o,negative,o
899,x,b,o,negative,o
900,x,b,b,negative,x
901,x,b,b,negative,b
902,o,b,o,negative,o
903,b,b,x,negative,x
904,b,b,o,negative,o
905,b,b,o,negative,o
906,b,b,o,negative,o
907,b,b,b,negative,x
908,x,b,x,negative,o
909,x,b,b,negative,o
910,o,b,o,negative,x
911,o,b,o,negative,x
912,o,b,o,negative,b
913,b,b,x,negative,o
914,x,b,o,negative,x
915,x,b,o,negative,b
916,x,b,o,negative,x
917,x,b,o,negative,x
918,x,b,o,negative,b
919,b,b,o,negative,x
920,b,b,o,negative,x
921,x,b,x,negative,x
922,x,b,o,negative,x
923,x,b,o,negative,o
924,x,b,o,negative,x
925,x,b,o,negative,b
926,x,b,o,negative,x
927,b,b,o,negative,x
928,x,b,x,negative,o
929,x,b,b,negative,o
930,o,b,o,negative,x
931,o,b,o,negative,x
932,o,b,o,negative,b
933,b,b,x,negative,o
934,x,b,x,negative,x
935,x,b,x,negative,b
936,x,b,o,negative,o
937,x,b,o,negative,o
938,x,b,o,negative,o
939,x,b,b,negative,x
940,b,b,x,negative,x
941,b,b,o,negative,o
942,o,x,x,negative,x
943,o,x,o,negative,x
944,o,x,o,negative,x
945,x,x,x,negative,o
946,x,x,o,negative,o
947,x,x,o,negative,o
948,o,x,x,negative,o
949,o,x,o,negative,x
950,o,x,x,negative,x
951,x,o,x,negative,o
952,x,o,o,negative,x
953,x,o,o,negative,o
954,x,o,x,negative,x
955,x,o,o,negative,x
956,o,o,x,negative,x
957,x,o,x,negative,o
