,field_goal_attempts_num,year_num,field_goals_num
183,7,87,2
184,20,87,9
185,18,87,8
186,11,87,6
187,13,87,4
188,20,87,9
189,12,87,6
190,16,87,7
191,10,87,4
192,3,87,0
193,11,87,5
194,6,87,2
195,8,87,4
196,7,87,3
197,8,87,1
198,10,87,2
199,10,87,3
200,19,87,12
201,16,87,7
202,14,87,4
203,14,87,8
204,21,87,9
205,10,87,3
206,20,87,10
207,10,87,6
208,13,87,8
209,11,87,3
210,15,87,9
211,13,87,7
212,13,87,9
213,5,87,1
214,5,87,2
215,8,87,2
216,3,87,0
217,14,87,7
218,13,87,5
219,9,87,5
220,11,87,4
221,10,87,2
222,16,87,10
223,16,87,5
224,6,87,1
225,17,87,7
226,13,87,6
227,9,87,3
228,5,87,0
229,15,87,8
230,9,87,3
231,10,87,5
232,3,87,0
233,11,87,6
234,9,87,3
235,13,87,6
236,7,87,3
237,13,87,7
238,12,87,5
239,10,87,4
240,4,87,1
241,5,87,0
242,5,87,1
243,17,87,9
244,8,87,5
245,14,87,7
246,11,87,4
247,10,87,3
248,12,87,4
249,12,87,6
250,10,87,4
251,12,87,7
252,10,87,6
253,12,87,7
254,12,87,6
255,12,87,4
256,17,87,8
257,16,87,9
258,6,87,0
259,9,87,2
260,8,87,3
261,6,87,3
262,10,87,4
263,14,87,4
264,8,87,2
265,13,87,9
266,10,87,7
267,12,87,3
268,9,87,5
269,18,87,9
270,11,87,5
271,5,87,1
272,1,87,0
273,15,87,10
274,11,87,7
275,14,87,3
276,11,87,3
277,11,87,6
278,16,87,8
279,7,87,2
280,14,87,5
281,8,88,4
282,7,88,1
283,13,88,8
284,12,88,7
285,8,88,3
286,3,88,1
287,7,88,3
288,8,88,2
289,3,88,2
290,17,88,6
291,9,88,6
292,8,88,4
293,18,88,8
294,13,88,5
295,10,88,5
296,5,88,1
297,16,88,7
298,4,88,0
299,12,88,4
300,7,88,3
301,7,88,2
302,9,88,3
303,15,88,7
304,16,88,9
305,16,88,8
306,13,88,5
307,8,88,2
308,15,88,9
309,16,88,9
310,11,88,4
311,8,88,2
312,15,88,7
313,10,88,5
314,12,88,7
315,12,88,7
316,12,88,7
317,20,88,9
318,16,88,8
319,22,88,10
320,16,88,10
321,13,88,4
322,18,88,9
323,17,88,10
324,16,88,9
325,10,88,4
326,17,88,8
327,11,88,1
328,18,88,9
329,16,88,9
330,8,88,3
331,8,88,3
332,9,88,3
333,21,88,13
334,11,88,6
335,10,88,7
336,12,88,4
337,11,88,4
338,10,88,3
339,12,88,4
340,10,88,9
341,20,88,12
342,16,88,6
343,5,88,0
344,4,88,2
345,11,88,5
346,14,88,4
347,4,88,0
348,16,88,10
349,5,88,1
350,21,88,10
351,13,88,4
352,14,88,6
353,23,88,11
354,13,88,9
355,11,88,7
356,22,88,13
357,10,88,3
358,9,88,5
359,10,88,4
360,16,88,7
361,7,88,1
362,17,88,10
363,9,88,1
364,10,88,5
365,18,88,10
366,11,88,5
367,14,88,7
368,12,88,5
369,5,88,1
370,11,88,3
371,11,88,4
372,14,88,6
373,8,88,3
374,14,88,8
375,13,88,3
376,14,88,9
377,14,88,8
378,11,88,8
379,11,88,5
