,RIVER_cat,LOCATION_cat,ERECTED_cat,PURPOSE_cat,LENGTH_cat,LANES_cat,CLEAR-G_cat,T-OR-D_cat,MATERIAL_cat,SPAN_cat,REL-L_cat,TYPE_cat
18,A,32,EMERGING,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
19,M,16,EMERGING,RR,,2,,THROUGH,IRON,,,SIMPLE-T
20,M,1,EMERGING,HIGHWAY,MEDIUM,,,THROUGH,STEEL,LONG,F,SUSPEN
21,A,24,EMERGING,HIGHWAY,MEDIUM,4,G,THROUGH,WOOD,SHORT,S,WOOD
22,O,45,EMERGING,RR,,2,G,,STEEL,,,SIMPLE-T
23,M,10,EMERGING,RR,,2,G,,STEEL,,,SIMPLE-T
24,A,39,EMERGING,RR,,2,G,THROUGH,STEEL,,F,SIMPLE-T
25,M,12,EMERGING,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
26,A,31,EMERGING,RR,,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
27,A,26,EMERGING,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,,SUSPEN
28,M,3,EMERGING,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,ARCH
29,A,30,EMERGING,HIGHWAY,,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
30,M,8,EMERGING,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
31,O,41,EMERGING,RR,LONG,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
32,M,19,EMERGING,HIGHWAY,MEDIUM,,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
33,O,45,MATURE,HIGHWAY,,2,G,THROUGH,IRON,SHORT,F,SIMPLE-T
34,A,27,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
35,M,17,MATURE,HIGHWAY,,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
36,M,18,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
37,A,25,MATURE,HIGHWAY,,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
38,A,27,MATURE,AQUEDUCT,MEDIUM,1,N,THROUGH,WOOD,SHORT,S,WOOD
39,M,22,MATURE,HIGHWAY,,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
40,M,11,MATURE,HIGHWAY,,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
41,M,9,MATURE,HIGHWAY,LONG,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
42,O,48,MATURE,HIGHWAY,,2,G,THROUGH,STEEL,LONG,F,SUSPEN
43,M,7,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,ARCH
44,A,37,MATURE,RR,LONG,2,G,DECK,STEEL,LONG,F,SIMPLE-T
45,M,14,MATURE,RR,LONG,,G,THROUGH,STEEL,,F,SIMPLE-T
46,M,15,MATURE,RR,LONG,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
47,A,33,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
48,A,38,MATURE,HIGHWAY,LONG,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
49,M,13,MATURE,RR,,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
50,A,34,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
51,M,16,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
52,A,35,MATURE,RR,LONG,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
53,M,6,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
54,M,21,MATURE,RR,MEDIUM,,G,THROUGH,STEEL,LONG,F,SIMPLE-T
55,M,4,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
56,A,28,MATURE,RR,SHORT,4,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
57,M,2,MATURE,RR,MEDIUM,,G,THROUGH,STEEL,LONG,F,CANTILEV
58,Y,,MATURE,HIGHWAY,MEDIUM,,G,,STEEL,MEDIUM,F,SIMPLE-T
59,M,23,MATURE,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
60,A,36,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
61,O,49,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,LONG,F,CANTILEV
62,O,43,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,CANTILEV
63,M,10,MATURE,RR,LONG,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
64,O,41,MATURE,RR,LONG,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
65,A,24,MATURE,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,SIMPLE-T
66,A,37,MATURE,RR,LONG,2,N,DECK,STEEL,LONG,F,CONT-T
67,A,31,MATURE,RR,LONG,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
68,A,30,MATURE,WALK,,,G,THROUGH,STEEL,,F,SUSPEN
69,A,29,MATURE,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,F,ARCH
70,A,32,MATURE,HIGHWAY,LONG,4,G,THROUGH,STEEL,MEDIUM,S,ARCH
71,A,27,MATURE,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
72,A,26,MATURE,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
73,O,46,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,S-F,CANTILEV
74,A,38,MATURE,HIGHWAY,MEDIUM,,G,THROUGH,STEEL,MEDIUM,S,ARCH
75,M,5,MATURE,HIGHWAY,LONG,4,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
76,M,1,MATURE,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,CANTILEV
77,A,30,MATURE,HIGHWAY,LONG,4,G,DECK,STEEL,MEDIUM,F,ARCH
78,M,20,MATURE,HIGHWAY,LONG,2,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
79,A,25,MATURE,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
80,M,17,MATURE,HIGHWAY,LONG,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
81,O,40,MATURE,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,ARCH
82,O,42,MATURE,HIGHWAY,MEDIUM,4,N,THROUGH,STEEL,LONG,F,ARCH
83,M,6,MATURE,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,SUSPEN
84,M,11,MATURE,HIGHWAY,MEDIUM,4,N,DECK,STEEL,LONG,S-F,CONT-T
85,A,34,MATURE,HIGHWAY,MEDIUM,4,G,DECK,STEEL,MEDIUM,F,CANTILEV
86,A,39.5,MODERN,HIGHWAY,MEDIUM,4,G,DECK,STEEL,MEDIUM,S-F,CONT-T
87,A,39.7,MODERN,RR,SHORT,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
88,A,38.5,MODERN,HIGHWAY,MEDIUM,2,N,DECK,STEEL,MEDIUM,S-F,CONT-T
89,O,48,MODERN,HIGHWAY,LONG,2,G,THROUGH,STEEL,LONG,F,CANTILEV
90,Y,52,MODERN,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,S,ARCH
91,Y,51,MODERN,RR,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
92,M,23,MODERN,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
93,M,22,MODERN,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,F,CONT-T
94,M,14,MODERN,HIGHWAY,LONG,4,G,DECK,STEEL,LONG,F,CONT-T
95,M,19,MODERN,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,CANTILEV
96,A,37,MODERN,HIGHWAY,LONG,4,N,DECK,STEEL,LONG,F,CONT-T
97,O,42,MODERN,HIGHWAY,SHORT,,G,THROUGH,STEEL,,F,SIMPLE-T
98,O,47,MODERN,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,CONT-T
99,M,1,MODERN,HIGHWAY,MEDIUM,6,G,THROUGH,STEEL,LONG,F,ARCH
100,A,33,MODERN,HIGHWAY,SHORT,4,G,DECK,STEEL,MEDIUM,S-F,CONT-T
101,M,9,MODERN,HIGHWAY,LONG,4,G,DECK,STEEL,LONG,F,CONT-T
102,A,24,MODERN,HIGHWAY,SHORT,6,G,THROUGH,STEEL,MEDIUM,F,ARCH
103,O,44,MODERN,HIGHWAY,LONG,6,G,THROUGH,STEEL,LONG,F,ARCH
104,M,7,MODERN,HIGHWAY,SHORT,6,G,THROUGH,STEEL,LONG,F,ARCH
