,binaryClass_cat,Species_cat,Length1_num,Length2_num,Length3_num,Height_num,Width_num,Sex_cat
53,P,3,22.0,24.0,27.2,27.7,14.1,
54,P,3,22.0,23.4,26.7,25.9,13.6,
55,P,3,22.1,23.5,26.8,27.6,15.4,0
56,P,3,23.6,25.2,27.9,25.4,14.0,
57,P,3,24.0,26.0,29.2,30.4,15.4,
58,P,3,25.0,27.0,30.6,28.0,15.6,0
59,P,3,29.5,31.7,35.0,27.1,15.3,
60,P,4,13.5,14.7,16.5,41.5,14.1,
61,P,4,14.3,15.5,17.4,37.8,13.3,1
62,P,4,16.3,17.7,19.8,37.4,13.5,1
63,P,4,17.5,19.0,21.3,39.4,13.7,1
64,P,4,18.4,20.0,22.4,39.7,14.7,
65,P,4,19.0,20.7,23.2,36.8,14.2,
66,P,4,19.0,20.7,23.2,40.5,14.7,0
67,P,4,19.8,21.5,24.1,40.4,13.1,0
68,P,4,21.2,23.0,25.8,40.1,14.2,
69,P,4,23.0,25.0,28.0,39.6,14.8,0
70,P,4,24.0,26.0,29.0,39.2,14.6,0
71,P,5,9.3,9.8,10.8,16.1,9.7,1
72,P,5,10.0,10.5,11.6,17.0,10.0,0
73,P,5,10.1,10.6,11.6,14.9,9.9,1
74,P,5,10.4,11.0,12.0,18.3,11.5,0
75,P,5,10.7,11.2,12.4,16.8,10.3,1
76,P,5,10.8,11.3,12.6,15.7,10.2,1
77,P,5,11.3,11.8,13.1,16.9,9.8,1
78,P,5,11.3,11.8,13.1,16.9,8.9,0
79,P,5,11.4,12.0,13.2,16.7,8.7,0
80,P,5,11.5,12.2,13.4,15.6,10.4,0
81,P,5,11.7,12.4,13.5,18.0,9.4,0
82,P,5,12.1,13.0,13.8,16.5,9.1,0
83,P,5,13.2,14.3,15.2,18.9,13.6,0
84,P,5,13.8,15.0,16.2,18.1,11.6,0
85,P,6,30.0,32.3,34.8,16.0,9.7,
86,P,6,31.7,34.0,37.8,15.1,11.0,0
87,P,6,32.7,35.0,38.8,15.3,11.3,
88,P,6,34.8,37.3,39.8,15.8,10.1,
89,N,6,35.5,38.0,40.5,18.0,11.3,
90,P,6,36.0,38.5,41.0,15.6,9.7,1
91,N,6,40.0,42.5,45.5,16.0,9.5,
92,N,6,40.0,42.5,45.5,15.0,9.8,
93,N,6,40.1,43.0,45.8,17.0,11.2,
94,N,6,42.0,45.0,48.0,14.5,10.2,
95,N,6,43.2,46.0,48.7,16.0,10.0,0
96,N,6,44.8,48.0,51.2,15.0,10.5,0
97,N,6,48.3,51.7,55.1,16.2,11.2,
98,N,6,52.0,56.0,59.7,17.9,11.7,
99,N,6,56.0,60.0,64.0,15.0,9.6,
100,N,6,56.0,60.0,64.0,15.0,9.6,0
101,N,6,59.0,63.4,68.0,15.9,11.0,0
102,P,7,7.5,8.4,8.8,24.0,16.0,
103,P,7,12.5,13.7,14.7,24.0,13.6,
104,P,7,13.8,15.0,16.0,23.9,15.2,
105,P,7,15.0,16.2,17.2,26.7,15.3,
106,P,7,15.7,17.4,18.5,24.8,15.9,
107,P,7,16.2,18.0,19.2,27.2,17.3,
108,P,7,16.8,18.7,19.4,26.8,16.1,
109,P,7,17.2,19.0,20.2,27.9,15.1,
110,P,7,17.8,19.6,20.8,24.7,14.6,
111,P,7,18.2,20.0,21.0,24.2,13.2,
112,P,7,19.0,21.0,22.5,25.3,15.8,
113,P,7,19.0,21.0,22.5,26.3,14.7,
114,P,7,19.0,21.0,22.5,25.3,16.3,1
115,P,7,19.3,21.3,22.8,28.0,15.5,0
116,P,7,20.0,22.0,23.5,26.0,14.5,0
117,P,7,20.0,22.0,23.5,24.0,15.0,
118,P,7,20.0,22.0,23.5,26.0,15.0,
119,P,7,20.0,22.0,23.5,25.0,15.0,
120,P,7,20.0,22.0,23.5,23.5,17.0,0
121,P,7,20.5,22.5,24.0,24.4,15.1,0
122,P,7,20.5,22.5,24.0,28.3,15.1,0
123,P,7,20.7,22.7,24.2,24.6,15.0,
124,P,7,21.0,23.0,24.5,21.3,14.8,
125,P,7,21.5,23.5,25.0,25.1,14.9,
126,P,7,22.0,24.0,25.5,28.6,14.6,
127,P,7,22.0,24.0,25.5,25.0,15.0,
128,P,7,22.6,24.6,26.2,25.7,15.9,
129,P,7,23.0,25.0,26.5,24.3,13.9,0
130,P,7,23.5,25.6,27.0,24.3,15.7,
131,P,7,25.0,26.5,28.0,25.6,14.8,
132,P,7,25.2,27.3,28.7,29.0,17.9,0
133,P,7,25.4,27.5,28.9,24.8,15.0,0
134,P,7,25.4,27.5,28.9,24.4,15.0,
135,P,7,25.4,27.5,28.9,25.2,15.8,0
136,P,7,25.9,28.0,29.4,26.6,14.3,
137,P,7,26.9,28.7,30.1,25.2,15.4,0
138,P,7,27.8,30.0,31.6,24.1,15.1,0
139,N,7,30.5,32.8,34.0,29.5,17.7,
140,N,7,32.0,34.5,36.5,28.1,17.5,
141,N,7,32.5,35.0,37.3,30.8,20.9,0
142,N,7,34.0,36.5,39.0,27.9,17.6,0
143,N,7,34.0,36.0,38.3,27.7,17.6,0
144,N,7,34.5,37.0,39.4,27.5,15.9,0
145,N,7,34.6,37.0,39.3,26.9,16.2,0
146,N,7,36.5,39.0,41.4,26.9,18.1,0
147,N,7,36.5,39.0,41.4,26.9,14.5,
148,N,7,36.6,39.0,41.3,30.1,17.8,
149,N,7,36.9,40.0,42.3,28.2,16.8,0
150,N,7,37.0,40.0,42.5,27.6,17.0,0
151,N,7,37.0,40.0,42.4,29.2,17.6,0
152,N,7,37.1,40.0,42.5,26.2,15.6,0
153,N,7,39.0,42.0,44.6,28.7,15.4,0
154,N,7,39.8,43.0,45.2,26.4,16.1,0
155,N,7,40.1,43.0,45.5,27.5,16.3,0
156,N,7,40.2,43.5,46.0,27.4,17.7,1
157,N,7,41.1,44.0,46.6,26.8,16.3,0
