,Day_of_week_cat,Month_cat,Day_cat,Births_num
290,Wednesday,10/1/00,18,9388
291,Thursday,10/1/00,19,9502
292,Friday,10/1/00,20,9625
293,Saturday,10/1/00,21,8411
294,Sunday,10/1/00,22,7936
295,Monday,10/1/00,23,9425
296,Tuesday,10/1/00,24,9576
297,Wednesday,10/1/00,25,9328
298,Thursday,10/1/00,26,9501
299,Friday,10/1/00,27,9537
300,Saturday,10/1/00,28,8415
301,Sunday,10/1/00,29,8155
302,Monday,10/1/00,30,9457
303,Tuesday,10/1/00,31,9333
304,Wednesday,11/1/00,1,9321
305,Thursday,11/1/00,2,9245
306,Friday,11/1/00,3,9774
307,Saturday,11/1/00,4,8246
308,Sunday,11/1/00,5,8011
309,Monday,11/1/00,6,9507
310,Tuesday,11/1/00,7,9769
311,Wednesday,11/1/00,8,9501
312,Thursday,11/1/00,9,9609
313,Friday,11/1/00,10,9652
314,Saturday,11/1/00,11,8352
315,Sunday,11/1/00,12,7967
316,Monday,11/1/00,13,9606
317,Tuesday,11/1/00,14,10014
318,Wednesday,11/1/00,15,9536
319,Thursday,11/1/00,16,9568
320,Friday,11/1/00,17,9835
321,Saturday,11/1/00,18,8432
322,Sunday,11/1/00,19,7868
323,Monday,11/1/00,20,9592
324,Tuesday,11/1/00,21,9950
325,Wednesday,11/1/00,22,9548
326,Thursday,11/1/00,23,7915
327,Friday,11/1/00,24,9037
328,Saturday,11/1/00,25,8275
329,Sunday,11/1/00,26,8068
330,Monday,11/1/00,27,9825
331,Tuesday,11/1/00,28,9814
332,Wednesday,11/1/00,29,9438
333,Thursday,11/1/00,30,9396
334,Friday,12/1/00,1,9592
335,Saturday,12/1/00,2,8528
336,Sunday,12/1/00,3,8196
337,Monday,12/1/00,4,9767
338,Tuesday,12/1/00,5,9881
339,Wednesday,12/1/00,6,9402
340,Thursday,12/1/00,7,9480
341,Friday,12/1/00,8,9398
342,Saturday,12/1/00,9,8335
343,Sunday,12/1/00,10,8093
344,Monday,12/1/00,11,9686
345,Tuesday,12/1/00,12,10063
346,Wednesday,12/1/00,13,9509
347,Thursday,12/1/00,14,9524
348,Friday,12/1/00,15,9951
349,Saturday,12/1/00,16,8507
350,Sunday,12/1/00,17,8172
351,Monday,12/1/00,18,10196
352,Tuesday,12/1/00,19,10605
353,Wednesday,12/1/00,20,9998
354,Thursday,12/1/00,21,9398
355,Friday,12/1/00,22,9008
356,Saturday,12/1/00,23,7939
357,Sunday,12/1/00,24,7964
358,Monday,12/1/00,25,7846
359,Tuesday,12/1/00,26,8902
360,Wednesday,12/1/00,27,9907
361,Thursday,12/1/00,28,10177
362,Friday,12/1/00,29,10401
363,Saturday,12/1/00,30,8474
364,Sunday,12/1/00,31,8028
