,class_cat,mcg_num,gvh_num,lip_num,chg_num,aac_num,alm1_num,alm2_num
75,cp,0.42,0.3,0.48,0.5,0.48,0.26,0.36
76,cp,0.48,0.42,0.48,0.5,0.45,0.25,0.35
77,cp,0.41,0.48,0.48,0.5,0.51,0.44,0.51
78,cp,0.44,0.28,0.48,0.5,0.43,0.27,0.37
79,cp,0.29,0.41,0.48,0.5,0.48,0.38,0.46
80,cp,0.34,0.28,0.48,0.5,0.41,0.35,0.44
81,cp,0.41,0.43,0.48,0.5,0.45,0.31,0.41
82,cp,0.29,0.47,0.48,0.5,0.41,0.23,0.34
83,cp,0.34,0.55,0.48,0.5,0.58,0.31,0.41
84,cp,0.36,0.56,0.48,0.5,0.43,0.45,0.53
85,cp,0.4,0.46,0.48,0.5,0.52,0.49,0.56
86,cp,0.5,0.49,0.48,0.5,0.49,0.46,0.53
87,cp,0.52,0.44,0.48,0.5,0.37,0.36,0.42
88,cp,0.5,0.51,0.48,0.5,0.27,0.23,0.34
89,cp,0.53,0.42,0.48,0.5,0.16,0.29,0.39
90,cp,0.34,0.46,0.48,0.5,0.52,0.35,0.44
91,cp,0.4,0.42,0.48,0.5,0.37,0.27,0.27
92,cp,0.41,0.43,0.48,0.5,0.5,0.24,0.25
93,cp,0.3,0.45,0.48,0.5,0.36,0.21,0.32
94,cp,0.31,0.47,0.48,0.5,0.29,0.28,0.39
95,cp,0.64,0.76,0.48,0.5,0.45,0.35,0.38
96,cp,0.35,0.37,0.48,0.5,0.3,0.34,0.43
97,cp,0.57,0.54,0.48,0.5,0.37,0.28,0.33
98,cp,0.65,0.55,0.48,0.5,0.34,0.37,0.28
99,cp,0.51,0.46,0.48,0.5,0.58,0.31,0.41
100,cp,0.38,0.4,0.48,0.5,0.63,0.25,0.35
101,cp,0.24,0.57,0.48,0.5,0.63,0.34,0.43
102,cp,0.38,0.26,0.48,0.5,0.54,0.16,0.28
103,cp,0.33,0.47,0.48,0.5,0.53,0.18,0.29
104,cp,0.24,0.34,0.48,0.5,0.38,0.3,0.4
105,cp,0.26,0.5,0.48,0.5,0.44,0.32,0.41
106,cp,0.44,0.49,0.48,0.5,0.39,0.38,0.4
107,cp,0.43,0.32,0.48,0.5,0.33,0.45,0.52
108,cp,0.49,0.43,0.48,0.5,0.49,0.3,0.4
109,cp,0.47,0.28,0.48,0.5,0.56,0.2,0.25
110,cp,0.32,0.33,0.48,0.5,0.6,0.06,0.2
111,cp,0.34,0.35,0.48,0.5,0.51,0.49,0.56
112,cp,0.35,0.34,0.48,0.5,0.46,0.3,0.27
113,cp,0.38,0.3,0.48,0.5,0.43,0.29,0.39
114,cp,0.38,0.44,0.48,0.5,0.43,0.2,0.31
115,cp,0.41,0.51,0.48,0.5,0.58,0.2,0.31
116,cp,0.34,0.42,0.48,0.5,0.41,0.34,0.43
117,cp,0.51,0.49,0.48,0.5,0.53,0.14,0.26
118,cp,0.25,0.51,0.48,0.5,0.37,0.42,0.5
119,cp,0.29,0.28,0.48,0.5,0.5,0.42,0.5
120,cp,0.25,0.26,0.48,0.5,0.39,0.32,0.42
121,cp,0.24,0.41,0.48,0.5,0.49,0.23,0.34
122,cp,0.17,0.39,0.48,0.5,0.53,0.3,0.39
123,cp,0.04,0.31,0.48,0.5,0.41,0.29,0.39
124,cp,0.61,0.36,0.48,0.5,0.49,0.35,0.44
125,cp,0.34,0.51,0.48,0.5,0.44,0.37,0.46
126,cp,0.28,0.33,0.48,0.5,0.45,0.22,0.33
127,cp,0.4,0.46,0.48,0.5,0.42,0.35,0.44
128,cp,0.23,0.34,0.48,0.5,0.43,0.26,0.37
129,cp,0.37,0.44,0.48,0.5,0.42,0.39,0.47
130,cp,0.0,0.38,0.48,0.5,0.42,0.48,0.55
131,cp,0.39,0.31,0.48,0.5,0.38,0.34,0.43
132,cp,0.3,0.44,0.48,0.5,0.49,0.22,0.33
133,cp,0.27,0.3,0.48,0.5,0.71,0.28,0.39
134,cp,0.17,0.52,0.48,0.5,0.49,0.37,0.46
135,cp,0.36,0.42,0.48,0.5,0.53,0.32,0.41
136,cp,0.3,0.37,0.48,0.5,0.43,0.18,0.3
137,cp,0.26,0.4,0.48,0.5,0.36,0.26,0.37
138,cp,0.4,0.41,0.48,0.5,0.55,0.22,0.33
139,cp,0.22,0.34,0.48,0.5,0.42,0.29,0.39
140,cp,0.44,0.35,0.48,0.5,0.44,0.52,0.59
141,cp,0.27,0.42,0.48,0.5,0.37,0.38,0.43
142,cp,0.16,0.43,0.48,0.5,0.54,0.27,0.37
143,im,0.06,0.61,0.48,0.5,0.49,0.92,0.37
144,im,0.44,0.52,0.48,0.5,0.43,0.47,0.54
145,im,0.63,0.47,0.48,0.5,0.51,0.82,0.84
146,im,0.23,0.48,0.48,0.5,0.59,0.88,0.89
147,im,0.34,0.49,0.48,0.5,0.58,0.85,0.8
148,im,0.43,0.4,0.48,0.5,0.58,0.75,0.78
149,im,0.46,0.61,0.48,0.5,0.48,0.86,0.87
150,im,0.27,0.35,0.48,0.5,0.51,0.77,0.79
151,im,0.52,0.39,0.48,0.5,0.65,0.71,0.73
152,im,0.29,0.47,0.48,0.5,0.71,0.65,0.69
153,im,0.55,0.47,0.48,0.5,0.57,0.78,0.8
154,im,0.12,0.67,0.48,0.5,0.74,0.58,0.63
155,im,0.4,0.5,0.48,0.5,0.65,0.82,0.84
156,im,0.73,0.36,0.48,0.5,0.53,0.91,0.92
157,im,0.84,0.44,0.48,0.5,0.48,0.71,0.74
158,im,0.48,0.45,0.48,0.5,0.6,0.78,0.8
159,im,0.54,0.49,0.48,0.5,0.4,0.87,0.88
160,im,0.48,0.41,0.48,0.5,0.51,0.9,0.88
161,im,0.5,0.66,0.48,0.5,0.31,0.92,0.92
162,im,0.72,0.46,0.48,0.5,0.51,0.66,0.7
163,im,0.47,0.55,0.48,0.5,0.58,0.71,0.75
164,im,0.33,0.56,0.48,0.5,0.33,0.78,0.8
165,im,0.64,0.58,0.48,0.5,0.48,0.78,0.73
166,im,0.54,0.57,0.48,0.5,0.56,0.81,0.83
167,im,0.47,0.59,0.48,0.5,0.52,0.76,0.79
168,im,0.63,0.5,0.48,0.5,0.59,0.85,0.86
169,im,0.49,0.42,0.48,0.5,0.53,0.79,0.81
170,im,0.31,0.5,0.48,0.5,0.57,0.84,0.85
171,im,0.74,0.44,0.48,0.5,0.55,0.88,0.89
172,im,0.33,0.45,0.48,0.5,0.45,0.88,0.89
173,im,0.45,0.4,0.48,0.5,0.61,0.74,0.77
174,im,0.71,0.4,0.48,0.5,0.71,0.7,0.74
175,im,0.5,0.37,0.48,0.5,0.66,0.64,0.69
176,im,0.66,0.53,0.48,0.5,0.59,0.66,0.66
177,im,0.6,0.61,0.48,0.5,0.54,0.67,0.71
178,im,0.83,0.37,0.48,0.5,0.61,0.71,0.74
179,im,0.34,0.51,0.48,0.5,0.67,0.9,0.9
180,im,0.63,0.54,0.48,0.5,0.65,0.79,0.81
181,im,0.7,0.4,0.48,0.5,0.56,0.86,0.83
182,im,0.6,0.5,1.0,0.5,0.54,0.77,0.8
183,im,0.16,0.51,0.48,0.5,0.33,0.39,0.48
184,im,0.74,0.7,0.48,0.5,0.66,0.65,0.69
185,im,0.2,0.46,0.48,0.5,0.57,0.78,0.81
186,im,0.89,0.55,0.48,0.5,0.51,0.72,0.76
187,im,0.7,0.46,0.48,0.5,0.56,0.78,0.73
188,im,0.12,0.43,0.48,0.5,0.63,0.7,0.74
189,im,0.61,0.52,0.48,0.5,0.54,0.67,0.52
190,im,0.33,0.37,0.48,0.5,0.46,0.65,0.69
191,im,0.63,0.65,0.48,0.5,0.66,0.67,0.71
192,im,0.41,0.51,0.48,0.5,0.53,0.75,0.78
193,im,0.34,0.67,0.48,0.5,0.52,0.76,0.79
194,im,0.58,0.34,0.48,0.5,0.56,0.87,0.81
195,im,0.59,0.56,0.48,0.5,0.55,0.8,0.82
196,im,0.51,0.4,0.48,0.5,0.57,0.62,0.67
197,im,0.5,0.57,0.48,0.5,0.71,0.61,0.66
198,im,0.6,0.46,0.48,0.5,0.45,0.81,0.83
199,im,0.37,0.47,0.48,0.5,0.39,0.76,0.79
200,im,0.58,0.55,0.48,0.5,0.57,0.7,0.74
201,im,0.36,0.47,0.48,0.5,0.51,0.69,0.72
202,im,0.39,0.41,0.48,0.5,0.52,0.72,0.75
203,im,0.35,0.51,0.48,0.5,0.61,0.71,0.74
204,im,0.31,0.44,0.48,0.5,0.5,0.79,0.82
205,im,0.61,0.66,0.48,0.5,0.46,0.87,0.88
206,im,0.48,0.49,0.48,0.5,0.52,0.77,0.71
207,im,0.11,0.5,0.48,0.5,0.58,0.72,0.68
208,im,0.31,0.36,0.48,0.5,0.58,0.94,0.94
209,im,0.68,0.51,0.48,0.5,0.71,0.75,0.78
210,im,0.69,0.39,0.48,0.5,0.57,0.76,0.79
211,im,0.52,0.54,0.48,0.5,0.62,0.76,0.79
212,im,0.46,0.59,0.48,0.5,0.36,0.76,0.23
213,im,0.36,0.45,0.48,0.5,0.38,0.79,0.17
214,im,0.0,0.51,0.48,0.5,0.35,0.67,0.44
215,im,0.1,0.49,0.48,0.5,0.41,0.67,0.21
216,im,0.3,0.51,0.48,0.5,0.42,0.61,0.34
217,im,0.61,0.47,0.48,0.5,0.0,0.8,0.32
218,im,0.63,0.75,0.48,0.5,0.64,0.73,0.66
219,im,0.71,0.52,0.48,0.5,0.64,1.0,0.99
220,imS,0.85,0.53,0.48,0.5,0.53,0.52,0.35
221,imS,0.63,0.49,0.48,0.5,0.54,0.76,0.79
222,imL,0.75,0.55,1.0,1.0,0.4,0.47,0.3
223,imL,0.7,0.39,1.0,0.5,0.51,0.82,0.84
224,imU,0.72,0.42,0.48,0.5,0.65,0.77,0.79
225,imU,0.79,0.41,0.48,0.5,0.66,0.81,0.83
226,imU,0.83,0.48,0.48,0.5,0.65,0.76,0.79
227,imU,0.69,0.43,0.48,0.5,0.59,0.74,0.77
228,imU,0.79,0.36,0.48,0.5,0.46,0.82,0.7
229,imU,0.78,0.33,0.48,0.5,0.57,0.77,0.79
230,imU,0.75,0.37,0.48,0.5,0.64,0.7,0.74
231,imU,0.59,0.29,0.48,0.5,0.64,0.75,0.77
232,imU,0.67,0.37,0.48,0.5,0.54,0.64,0.68
233,imU,0.66,0.48,0.48,0.5,0.54,0.7,0.74
234,imU,0.64,0.46,0.48,0.5,0.48,0.73,0.76
235,imU,0.76,0.71,0.48,0.5,0.5,0.71,0.75
236,imU,0.84,0.49,0.48,0.5,0.55,0.78,0.74
237,imU,0.77,0.55,0.48,0.5,0.51,0.78,0.74
238,imU,0.81,0.44,0.48,0.5,0.42,0.67,0.68
239,imU,0.58,0.6,0.48,0.5,0.59,0.73,0.76
240,imU,0.63,0.42,0.48,0.5,0.48,0.77,0.8
241,imU,0.62,0.42,0.48,0.5,0.58,0.79,0.81
242,imU,0.86,0.39,0.48,0.5,0.59,0.89,0.9
243,imU,0.81,0.53,0.48,0.5,0.57,0.87,0.88
244,imU,0.87,0.49,0.48,0.5,0.61,0.76,0.79
245,imU,0.47,0.46,0.48,0.5,0.62,0.74,0.77
246,imU,0.76,0.41,0.48,0.5,0.5,0.59,0.62
247,imU,0.7,0.53,0.48,0.5,0.7,0.86,0.87
248,imU,0.64,0.45,0.48,0.5,0.67,0.61,0.66
249,imU,0.81,0.52,0.48,0.5,0.57,0.78,0.8
250,imU,0.73,0.26,0.48,0.5,0.57,0.75,0.78
251,imU,0.49,0.61,1.0,0.5,0.56,0.71,0.74
252,imU,0.88,0.42,0.48,0.5,0.52,0.73,0.75
253,imU,0.84,0.54,0.48,0.5,0.75,0.92,0.7
254,imU,0.63,0.51,0.48,0.5,0.64,0.72,0.76
255,imU,0.86,0.55,0.48,0.5,0.63,0.81,0.83
256,imU,0.79,0.54,0.48,0.5,0.5,0.66,0.68
257,imU,0.57,0.38,0.48,0.5,0.06,0.49,0.33
258,imU,0.78,0.44,0.48,0.5,0.45,0.73,0.68
259,om,0.78,0.68,0.48,0.5,0.83,0.4,0.29
260,om,0.63,0.69,0.48,0.5,0.65,0.41,0.28
261,om,0.67,0.88,0.48,0.5,0.73,0.5,0.25
262,om,0.61,0.75,0.48,0.5,0.51,0.33,0.33
263,om,0.67,0.84,0.48,0.5,0.74,0.54,0.37
264,om,0.74,0.9,0.48,0.5,0.57,0.53,0.29
265,om,0.73,0.84,0.48,0.5,0.86,0.58,0.29
266,om,0.75,0.76,0.48,0.5,0.83,0.57,0.3
267,om,0.77,0.57,0.48,0.5,0.88,0.53,0.2
268,om,0.74,0.78,0.48,0.5,0.75,0.54,0.15
269,om,0.68,0.76,0.48,0.5,0.84,0.45,0.27
270,om,0.56,0.68,0.48,0.5,0.77,0.36,0.45
271,om,0.65,0.51,0.48,0.5,0.66,0.54,0.33
272,om,0.52,0.81,0.48,0.5,0.72,0.38,0.38
273,om,0.64,0.57,0.48,0.5,0.7,0.33,0.26
274,om,0.6,0.76,1.0,0.5,0.77,0.59,0.52
275,om,0.69,0.59,0.48,0.5,0.77,0.39,0.21
276,om,0.63,0.49,0.48,0.5,0.79,0.45,0.28
277,om,0.71,0.71,0.48,0.5,0.68,0.43,0.36
278,om,0.68,0.63,0.48,0.5,0.73,0.4,0.3
279,omL,0.77,0.57,1.0,0.5,0.37,0.54,0.01
280,omL,0.66,0.49,1.0,0.5,0.54,0.56,0.36
281,omL,0.71,0.46,1.0,0.5,0.52,0.59,0.3
282,omL,0.67,0.55,1.0,0.5,0.66,0.58,0.16
283,omL,0.68,0.49,1.0,0.5,0.62,0.55,0.28
284,pp,0.74,0.49,0.48,0.5,0.42,0.54,0.36
285,pp,0.7,0.61,0.48,0.5,0.56,0.52,0.43
286,pp,0.66,0.86,0.48,0.5,0.34,0.41,0.36
287,pp,0.73,0.78,0.48,0.5,0.58,0.51,0.31
288,pp,0.65,0.57,0.48,0.5,0.47,0.47,0.51
289,pp,0.72,0.86,0.48,0.5,0.17,0.55,0.21
290,pp,0.67,0.7,0.48,0.5,0.46,0.45,0.33
291,pp,0.67,0.81,0.48,0.5,0.54,0.49,0.23
292,pp,0.67,0.61,0.48,0.5,0.51,0.37,0.38
293,pp,0.63,1.0,0.48,0.5,0.35,0.51,0.49
294,pp,0.57,0.59,0.48,0.5,0.39,0.47,0.33
295,pp,0.71,0.71,0.48,0.5,0.4,0.54,0.39
296,pp,0.66,0.74,0.48,0.5,0.31,0.38,0.43
297,pp,0.67,0.81,0.48,0.5,0.25,0.42,0.25
298,pp,0.64,0.72,0.48,0.5,0.49,0.42,0.19
299,pp,0.68,0.82,0.48,0.5,0.38,0.65,0.56
300,pp,0.32,0.39,0.48,0.5,0.53,0.28,0.38
301,pp,0.7,0.64,0.48,0.5,0.47,0.51,0.47
302,pp,0.63,0.57,0.48,0.5,0.49,0.7,0.2
303,pp,0.74,0.82,0.48,0.5,0.49,0.49,0.41
304,pp,0.63,0.86,0.48,0.5,0.39,0.47,0.34
305,pp,0.63,0.83,0.48,0.5,0.4,0.39,0.19
306,pp,0.63,0.71,0.48,0.5,0.6,0.4,0.39
307,pp,0.71,0.86,0.48,0.5,0.4,0.54,0.32
308,pp,0.68,0.78,0.48,0.5,0.43,0.44,0.42
309,pp,0.64,0.84,0.48,0.5,0.37,0.45,0.4
310,pp,0.74,0.47,0.48,0.5,0.5,0.57,0.42
311,pp,0.75,0.84,0.48,0.5,0.35,0.52,0.33
312,pp,0.63,0.65,0.48,0.5,0.39,0.44,0.35
313,pp,0.69,0.67,0.48,0.5,0.3,0.39,0.24
314,pp,0.7,0.71,0.48,0.5,0.42,0.84,0.85
315,pp,0.69,0.8,0.48,0.5,0.46,0.57,0.26
316,pp,0.64,0.66,0.48,0.5,0.41,0.39,0.2
317,pp,0.63,0.8,0.48,0.5,0.46,0.31,0.29
318,pp,0.66,0.71,0.48,0.5,0.41,0.5,0.35
319,pp,0.69,0.59,0.48,0.5,0.46,0.44,0.52
320,pp,0.68,0.67,0.48,0.5,0.49,0.4,0.34
321,pp,0.64,0.78,0.48,0.5,0.5,0.36,0.38
322,pp,0.62,0.78,0.48,0.5,0.47,0.49,0.54
323,pp,0.76,0.73,0.48,0.5,0.44,0.39,0.39
324,pp,0.64,0.81,0.48,0.5,0.37,0.39,0.44
325,pp,0.29,0.39,0.48,0.5,0.52,0.4,0.48
326,pp,0.62,0.83,0.48,0.5,0.46,0.36,0.4
327,pp,0.56,0.54,0.48,0.5,0.43,0.37,0.3
328,pp,0.69,0.66,0.48,0.5,0.41,0.5,0.25
329,pp,0.69,0.65,0.48,0.5,0.63,0.48,0.41
330,pp,0.43,0.59,0.48,0.5,0.52,0.49,0.56
331,pp,0.74,0.56,0.48,0.5,0.47,0.68,0.3
332,pp,0.71,0.57,0.48,0.5,0.48,0.35,0.32
333,pp,0.61,0.6,0.48,0.5,0.44,0.39,0.38
334,pp,0.59,0.61,0.48,0.5,0.42,0.42,0.37
335,pp,0.74,0.74,0.48,0.5,0.31,0.53,0.52
