,seed_cat,shriveling_cat,fruit-pods_cat,precip_cat,stem_cat,leaf-malf_cat,stem-cankers_cat,fruiting-bodies_cat,fruit-spots_cat,int-discolor_cat,sclerotia_cat,seed-size_cat,external-decay_cat,mycelium_cat,temp_cat,plant-stand_cat,leafspots-marg_cat,germination_cat
102,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
103,abnorm,absent,norm,gt-norm,norm,present,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,w-s-marg,80-89
104,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,normal,w-s-marg,80-89
105,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,lt-normal,w-s-marg,80-89
106,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,80-89
107,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,w-s-marg,lt-80
108,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,lt-normal,w-s-marg,80-89
109,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,80-89
110,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,w-s-marg,lt-80
111,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
112,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
113,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
114,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,w-s-marg,80-89
115,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
116,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,w-s-marg,80-89
117,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
118,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
119,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
120,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
121,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
122,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
123,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
124,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
125,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
126,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
127,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,80-89
128,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
129,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
130,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
131,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
132,norm,absent,norm,gt-norm,abnorm,absent,absent,present,absent,none,absent,norm,firm-and-dry,absent,norm,normal,w-s-marg,80-89
133,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,w-s-marg,90-100
134,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
135,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
136,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
137,norm,absent,norm,norm,abnorm,absent,above-sec-nde,present,colored,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
138,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
139,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
140,norm,absent,norm,gt-norm,abnorm,absent,absent,present,absent,none,absent,norm,firm-and-dry,absent,norm,normal,w-s-marg,80-89
141,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
142,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,90-100
143,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
144,norm,absent,norm,gt-norm,abnorm,absent,absent,present,absent,none,absent,norm,firm-and-dry,absent,norm,normal,w-s-marg,90-100
145,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
146,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
147,norm,absent,norm,gt-norm,abnorm,absent,above-sec-nde,present,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
148,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
149,norm,absent,norm,gt-norm,abnorm,absent,absent,present,absent,none,absent,norm,firm-and-dry,absent,norm,lt-normal,w-s-marg,lt-80
150,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
151,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,normal,w-s-marg,80-89
152,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
153,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
154,norm,absent,norm,norm,norm,present,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
155,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
156,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
157,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
158,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
159,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,w-s-marg,lt-80
160,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,no-w-s-marg,lt-80
161,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,normal,no-w-s-marg,80-89
162,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,normal,no-w-s-marg,90-100
163,norm,absent,norm,gt-norm,norm,present,absent,absent,absent,none,absent,lt-norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
164,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,lt-norm,absent,absent,norm,normal,no-w-s-marg,80-89
165,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,lt-normal,no-w-s-marg,lt-80
166,abnorm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,lt-norm,absent,absent,norm,normal,no-w-s-marg,80-89
167,norm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,lt-norm,absent,absent,norm,lt-normal,no-w-s-marg,lt-80
168,abnorm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,lt-norm,absent,absent,norm,normal,no-w-s-marg,80-89
169,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,no-w-s-marg,lt-80
170,abnorm,absent,diseased,gt-norm,abnorm,absent,absent,absent,colored,none,absent,norm,absent,absent,lt-norm,normal,dna,90-100
171,abnorm,absent,diseased,gt-norm,abnorm,absent,absent,absent,colored,none,absent,norm,absent,absent,lt-norm,normal,w-s-marg,80-89
172,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,dna,lt-80
173,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
174,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,normal,w-s-marg,lt-80
175,abnorm,absent,diseased,gt-norm,abnorm,absent,absent,absent,colored,none,absent,norm,absent,absent,gt-norm,normal,w-s-marg,80-89
176,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,lt-norm,normal,dna,80-89
177,abnorm,absent,norm,gt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,dna,80-89
178,abnorm,absent,diseased,gt-norm,abnorm,absent,absent,absent,colored,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
179,abnorm,absent,norm,gt-norm,abnorm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,dna,80-89
180,norm,absent,diseased,gt-norm,abnorm,absent,above-sec-nde,absent,brown-w/blk-specks,none,absent,norm,absent,absent,norm,lt-normal,dna,90-100
181,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,norm,firm-and-dry,absent,gt-norm,lt-normal,dna,lt-80
182,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,lt-norm,absent,absent,norm,normal,dna,80-89
183,norm,absent,norm,gt-norm,abnorm,absent,above-soil,absent,absent,none,absent,norm,firm-and-dry,absent,gt-norm,lt-normal,dna,90-100
184,abnorm,absent,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,norm,firm-and-dry,absent,norm,normal,dna,90-100
185,norm,absent,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,norm,firm-and-dry,absent,gt-norm,lt-normal,dna,80-89
186,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,lt-norm,absent,absent,norm,normal,dna,80-89
187,abnorm,absent,norm,gt-norm,abnorm,absent,above-soil,absent,absent,none,absent,norm,firm-and-dry,absent,norm,normal,dna,80-89
188,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,lt-norm,absent,absent,norm,lt-normal,dna,80-89
189,abnorm,absent,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,norm,firm-and-dry,absent,norm,normal,dna,lt-80
190,norm,absent,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,norm,firm-and-dry,absent,gt-norm,lt-normal,dna,lt-80
191,abnorm,absent,norm,gt-norm,abnorm,absent,above-soil,absent,absent,none,absent,lt-norm,firm-and-dry,absent,norm,normal,dna,lt-80
192,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,lt-norm,firm-and-dry,absent,norm,normal,dna,90-100
193,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,absent,brown-w/blk-specks,none,absent,lt-norm,absent,absent,norm,lt-normal,dna,80-89
194,norm,absent,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,norm,absent,absent,norm,normal,dna,lt-80
195,norm,absent,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,norm,firm-and-dry,absent,gt-norm,lt-normal,dna,80-89
196,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,lt-norm,absent,absent,norm,normal,dna,90-100
197,norm,absent,diseased,gt-norm,abnorm,absent,above-sec-nde,present,brown-w/blk-specks,none,absent,norm,firm-and-dry,absent,gt-norm,lt-normal,dna,80-89
198,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,absent,brown-w/blk-specks,none,absent,lt-norm,absent,absent,norm,lt-normal,dna,80-89
199,abnorm,present,diseased,gt-norm,abnorm,absent,above-sec-nde,absent,brown-w/blk-specks,none,absent,lt-norm,absent,absent,norm,lt-normal,dna,80-89
200,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,lt-80
201,norm,absent,norm,lt-norm,norm,present,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,80-89
202,norm,absent,norm,norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,lt-normal,w-s-marg,90-100
203,norm,absent,norm,lt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,90-100
204,norm,absent,norm,norm,norm,present,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,lt-normal,w-s-marg,80-89
205,norm,absent,norm,lt-norm,norm,absent,absent,absent,absent,none,absent,norm,absent,absent,norm,normal,w-s-marg,lt-80
206,norm,absent,norm,lt-norm,norm,present,absent,absent,absent,none,absent,norm,absent,absent,gt-norm,normal,w-s-marg,80-89
