,binaryClass_cat,symboling_num,normalized-losses_num,wheel-base_num,length_num,width_num,height_num,curb-weight_num,engine-size_num,bore_num,stroke_num,compression-ratio_num,horsepower_num,peak-rpm_num,city-mpg_num,highway-mpg_num
108,N,0.0,85.0,96.9,173.6,65.4,54.9,2650.0,108.0,3.62,2.64,7.7,111.0,4800.0,23.0,23.0
109,P,1.0,87.0,95.7,158.7,63.6,54.5,1985.0,92.0,3.05,3.03,9.0,62.0,4800.0,35.0,39.0
110,P,1.0,87.0,95.7,158.7,63.6,54.5,2040.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,38.0
111,P,1.0,74.0,95.7,158.7,63.6,54.5,2015.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,38.0
112,P,0.0,77.0,95.7,169.7,63.6,59.1,2280.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,37.0
113,P,0.0,81.0,95.7,169.7,63.6,59.1,2290.0,92.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0
114,P,0.0,91.0,95.7,169.7,63.6,59.1,3110.0,92.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0
115,P,0.0,91.0,95.7,166.3,64.4,53.0,2081.0,98.0,3.19,3.03,9.0,70.0,4800.0,30.0,37.0
116,P,0.0,91.0,95.7,166.3,64.4,52.8,2109.0,98.0,3.19,3.03,9.0,70.0,4800.0,30.0,37.0
117,P,0.0,91.0,95.7,166.3,64.4,53.0,2275.0,110.0,3.27,3.35,22.5,56.0,4500.0,34.0,36.0
118,P,0.0,91.0,95.7,166.3,64.4,52.8,2275.0,110.0,3.27,3.35,22.5,56.0,4500.0,38.0,47.0
119,P,0.0,91.0,95.7,166.3,64.4,53.0,2094.0,98.0,3.19,3.03,9.0,70.0,4800.0,38.0,47.0
120,P,0.0,91.0,95.7,166.3,64.4,52.8,2122.0,98.0,3.19,3.03,9.0,70.0,4800.0,28.0,34.0
121,P,0.0,91.0,95.7,166.3,64.4,52.8,2140.0,98.0,3.19,3.03,9.0,70.0,4800.0,28.0,34.0
122,P,1.0,168.0,94.5,168.7,64.0,52.6,2169.0,98.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0
123,P,1.0,168.0,94.5,168.7,64.0,52.6,2204.0,98.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0
124,P,1.0,168.0,94.5,168.7,64.0,52.6,2265.0,98.0,3.24,3.08,9.4,112.0,6600.0,26.0,29.0
125,P,1.0,168.0,94.5,168.7,64.0,52.6,2300.0,98.0,3.24,3.08,9.4,112.0,6600.0,26.0,29.0
126,P,2.0,134.0,98.4,176.2,65.6,52.0,2540.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0
127,P,2.0,134.0,98.4,176.2,65.6,52.0,2536.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0
128,P,2.0,134.0,98.4,176.2,65.6,52.0,2551.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0
129,P,2.0,134.0,98.4,176.2,65.6,52.0,2679.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0
130,N,2.0,134.0,98.4,176.2,65.6,52.0,2714.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0
131,N,2.0,134.0,98.4,176.2,65.6,53.0,2975.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0
132,P,-1.0,65.0,102.4,175.6,66.5,54.9,2326.0,122.0,3.31,3.54,8.7,92.0,4200.0,29.0,34.0
133,P,-1.0,65.0,102.4,175.6,66.5,54.9,2480.0,110.0,3.27,3.35,22.5,73.0,4500.0,30.0,33.0
134,P,-1.0,65.0,102.4,175.6,66.5,53.9,2414.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0
135,P,-1.0,65.0,102.4,175.6,66.5,54.9,2414.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0
136,P,-1.0,65.0,102.4,175.6,66.5,53.9,2458.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0
137,N,3.0,197.0,102.9,183.5,67.7,52.0,2976.0,171.0,3.27,3.35,9.3,161.0,5200.0,20.0,24.0
138,N,3.0,197.0,102.9,183.5,67.7,52.0,3016.0,171.0,3.27,3.35,9.3,161.0,5200.0,19.0,24.0
139,N,-1.0,90.0,104.5,187.8,66.5,54.1,3131.0,171.0,3.27,3.35,9.2,156.0,5200.0,20.0,24.0
140,P,2.0,122.0,97.3,171.7,65.5,55.7,2261.0,97.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0
141,P,2.0,122.0,97.3,171.7,65.5,55.7,2209.0,109.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0
142,P,2.0,94.0,97.3,171.7,65.5,55.7,2264.0,97.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0
143,P,2.0,94.0,97.3,171.7,65.5,55.7,2212.0,109.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0
144,P,2.0,94.0,97.3,171.7,65.5,55.7,2275.0,109.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0
145,P,2.0,94.0,97.3,171.7,65.5,55.7,2319.0,97.0,3.01,3.4,23.0,68.0,4500.0,37.0,42.0
146,P,2.0,94.0,97.3,171.7,65.5,55.7,2300.0,109.0,3.19,3.4,10.0,100.0,5500.0,26.0,32.0
147,P,3.0,256.0,94.5,165.7,64.0,51.4,2221.0,109.0,3.19,3.4,8.5,90.0,5500.0,24.0,29.0
148,N,-2.0,103.0,104.3,188.8,67.2,56.2,2912.0,141.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0
149,N,-1.0,74.0,104.3,188.8,67.2,57.5,3034.0,141.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0
150,N,-2.0,103.0,104.3,188.8,67.2,56.2,2935.0,141.0,3.78,3.15,9.5,114.0,5400.0,24.0,28.0
151,N,-1.0,74.0,104.3,188.8,67.2,57.5,3042.0,141.0,3.78,3.15,9.5,114.0,5400.0,24.0,28.0
152,N,-2.0,103.0,104.3,188.8,67.2,56.2,3045.0,130.0,3.62,3.15,7.5,162.0,5100.0,17.0,22.0
153,N,-1.0,74.0,104.3,188.8,67.2,57.5,3157.0,130.0,3.62,3.15,7.5,162.0,5100.0,17.0,22.0
154,N,-1.0,95.0,109.1,188.8,68.9,55.5,2952.0,141.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0
155,N,-1.0,95.0,109.1,188.8,68.8,55.5,3049.0,141.0,3.78,3.15,8.7,160.0,5300.0,19.0,25.0
156,N,-1.0,95.0,109.1,188.8,68.9,55.5,3012.0,173.0,3.58,2.87,8.8,134.0,5500.0,18.0,23.0
157,N,-1.0,95.0,109.1,188.8,68.9,55.5,3217.0,145.0,3.01,3.4,23.0,106.0,4800.0,26.0,27.0
158,N,-1.0,95.0,109.1,188.8,68.9,55.5,3062.0,141.0,3.78,3.15,9.5,114.0,5400.0,19.0,25.0
