,handicapped-infants_cat,water-project-cost-sharing_cat,adoption-of-the-budget-resolution_cat,physician-fee-freeze_cat,el-salvador-aid_cat,religious-groups-in-schools_cat,anti-satellite-test-ban_cat,aid-to-nicaraguan-contras_cat,mx-missile_cat,immigration_cat,synfuels-corporation-cutback_cat,education-spending_cat,superfund-right-to-sue_cat,crime_cat,duty-free-exports_cat,export-administration-act-south-africa_cat,Class_cat
87,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
88,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y,democrat
89,n,n,n,y,y,y,n,n,n,y,n,,y,y,n,,republican
90,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
91,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
92,y,y,y,n,n,n,y,y,n,y,y,n,n,,y,y,democrat
93,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,democrat
94,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y,democrat
95,y,n,y,n,y,y,n,,,n,y,,,,y,y,democrat
96,n,n,,n,y,y,n,n,n,n,y,y,y,y,n,y,democrat
97,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y,democrat
98,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,democrat
99,n,n,n,y,y,y,n,n,n,y,,y,y,y,n,n,republican
100,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y,democrat
101,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,democrat
102,y,n,y,n,y,y,y,n,,n,y,n,y,y,y,,democrat
103,y,n,n,n,y,y,,n,,n,n,n,n,y,,n,democrat
104,,,,,n,y,y,y,y,y,,n,y,y,n,,democrat
105,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y,democrat
106,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
107,n,,,,,,,,,,,,,y,,,republican
108,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
109,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
110,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
111,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
112,n,,y,n,n,y,y,y,n,y,n,n,n,n,y,,democrat
113,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
114,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
115,n,,y,n,,,y,y,y,y,,,n,n,y,y,democrat
116,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
117,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,republican
118,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,democrat
119,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
120,n,,,y,y,y,n,n,n,y,n,y,y,y,,y,republican
121,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
122,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
123,y,,n,y,y,y,n,y,n,n,n,y,y,y,n,y,republican
124,n,,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
125,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
126,n,,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
127,n,,y,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
128,n,,y,n,n,y,n,y,n,y,y,n,n,n,y,y,democrat
129,,,y,n,n,n,y,y,,n,,,,,,,democrat
130,y,,y,n,,,y,y,y,n,n,n,n,n,y,,democrat
131,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,democrat
132,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,,republican
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
134,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,,republican
135,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
136,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,republican
137,n,,y,n,n,y,y,y,y,y,n,n,n,y,y,y,democrat
138,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,democrat
139,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
140,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,republican
141,n,n,n,y,y,y,y,y,y,y,n,y,y,y,,y,republican
142,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,republican
143,,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
144,n,,n,n,n,y,y,y,y,y,n,n,n,y,n,,democrat
145,n,n,y,n,n,y,y,y,y,y,n,n,n,y,,y,democrat
146,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
147,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y,democrat
148,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,republican
149,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
150,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
151,y,y,,y,y,y,n,n,y,n,y,,y,y,n,n,democrat
152,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y,democrat
153,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,democrat
154,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
155,y,y,n,y,y,y,n,,n,n,y,y,y,y,n,n,republican
156,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n,republican
157,n,y,y,n,n,y,n,y,y,n,y,n,,,,,democrat
158,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
159,n,y,y,n,,y,y,y,y,y,y,n,n,,n,,democrat
160,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y,democrat
161,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,democrat
162,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,democrat
163,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
164,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,,democrat
165,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,,democrat
166,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,republican
167,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y,republican
168,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,,democrat
169,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y,democrat
170,y,n,y,n,n,n,,y,y,,n,n,n,n,y,,democrat
171,n,,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
172,n,y,y,n,n,n,y,y,y,y,n,n,,n,y,y,democrat
173,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,democrat
174,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
175,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
176,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,republican
177,n,n,y,n,n,n,y,y,y,y,y,,n,n,y,y,democrat
178,,n,y,n,n,n,y,y,y,y,y,,n,n,y,,democrat
179,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
180,,,y,n,n,n,y,y,y,,,n,n,n,,,democrat
181,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
182,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
183,,,,,,,,,y,,,,,,,,democrat
184,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
185,y,n,y,n,n,n,y,y,y,y,n,,n,n,y,y,democrat
186,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
187,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
188,y,,n,y,y,y,y,y,n,n,n,y,,y,,,republican
189,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
190,n,,n,y,y,y,n,n,n,n,n,y,y,y,n,,republican
191,n,y,n,y,y,y,n,,n,y,n,y,y,y,n,,republican
192,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
193,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
194,n,n,y,n,n,y,y,,y,y,y,n,n,n,y,y,democrat
195,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,,republican
196,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,,democrat
197,n,,y,y,y,y,n,n,n,y,n,n,n,y,n,y,republican
198,n,n,y,n,n,n,y,y,y,y,y,n,,n,y,,democrat
199,y,y,n,n,n,n,y,y,,n,y,n,n,n,y,,democrat
200,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y,democrat
201,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
202,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,democrat
203,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
204,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
205,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y,democrat
206,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
207,y,,n,y,y,y,y,n,n,y,n,y,y,y,n,y,republican
208,n,n,y,n,n,n,y,y,y,n,n,,n,n,y,y,democrat
209,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y,democrat
210,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
211,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
212,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
213,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,democrat
214,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
215,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,,democrat
216,y,y,y,n,y,y,n,n,,y,n,n,n,y,y,,democrat
217,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
218,y,,y,n,n,n,y,y,y,n,,n,n,n,y,,democrat
219,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,democrat
220,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
221,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,,democrat
222,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,,democrat
223,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y,republican
224,n,y,n,y,y,y,n,n,n,y,n,,y,y,n,n,republican
225,n,,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
226,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
227,y,n,y,n,n,n,y,y,y,n,n,n,n,n,,y,democrat
228,n,y,n,y,y,y,n,n,n,n,n,y,y,,n,y,republican
229,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,republican
230,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
231,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,republican
232,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,,democrat
233,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
234,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,,democrat
235,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
236,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
237,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y,democrat
238,y,y,y,n,n,n,y,y,,y,n,n,n,n,y,,democrat
239,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,republican
240,n,n,n,y,n,y,y,,y,n,n,y,y,y,n,y,republican
241,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
242,n,n,n,n,y,y,y,n,n,n,n,,n,y,y,y,republican
243,n,y,y,n,n,n,y,y,,y,n,n,y,n,y,y,democrat
244,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y,democrat
245,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
246,n,n,y,n,y,n,y,y,y,n,n,n,n,y,,y,democrat
247,n,y,n,y,y,y,,n,n,n,n,,y,y,n,n,republican
248,,,,,,,,,,,,,,,,,republican
249,y,n,y,n,n,n,y,y,,n,y,n,n,n,y,y,democrat
250,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
252,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
253,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
254,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
255,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,democrat
256,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,republican
257,n,n,n,y,y,n,n,n,n,n,n,y,n,y,,y,republican
258,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
259,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
260,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
261,y,n,y,n,n,,y,y,y,n,,,n,,,,democrat
262,y,n,y,n,n,n,y,y,y,y,n,n,,n,y,y,democrat
263,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
264,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
265,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
266,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
267,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y,republican
268,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
269,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
270,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
271,n,y,y,n,n,y,y,y,y,n,,n,n,n,n,y,democrat
272,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,,democrat
273,n,n,n,y,y,n,y,y,n,y,n,y,y,y,,y,republican
274,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,republican
275,n,n,y,n,y,y,n,n,n,n,,n,y,y,n,n,democrat
276,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,republican
277,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,republican
278,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
279,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
280,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,democrat
281,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,,republican
282,y,n,n,y,y,y,n,n,n,y,n,,y,y,n,n,republican
283,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
284,n,n,y,n,n,y,y,y,y,y,y,n,n,n,,y,democrat
285,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,democrat
286,n,n,y,n,n,y,,y,,y,y,y,n,y,y,,democrat
287,y,y,y,,n,y,y,y,y,n,y,n,y,n,,y,democrat
288,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,democrat
289,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,,democrat
290,y,n,y,n,,y,,y,y,y,n,n,y,y,n,y,democrat
291,y,n,y,n,n,y,y,y,y,y,n,,n,y,n,y,democrat
292,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y,democrat
293,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,democrat
294,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,,democrat
295,n,y,n,y,y,y,,,n,y,n,y,,,,,republican
296,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,republican
297,y,y,y,n,n,y,y,y,y,y,n,n,,n,y,,democrat
298,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
299,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y,democrat
300,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,republican
301,n,n,,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
302,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,republican
303,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
304,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,,republican
305,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
306,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
307,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,,democrat
308,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
309,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y,democrat
310,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,republican
311,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,democrat
312,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
313,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
314,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,republican
315,n,y,y,y,y,y,y,,n,n,n,n,,,y,,republican
316,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n,democrat
317,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
318,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
319,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
320,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y,democrat
321,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y,democrat
322,y,y,y,n,,y,n,,n,n,y,n,y,y,n,,democrat
323,y,y,y,n,y,y,n,y,,y,n,n,y,y,n,,democrat
324,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
325,n,y,n,n,y,y,n,n,,n,n,y,y,y,n,y,democrat
326,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y,democrat
327,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
328,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,democrat
329,y,,y,n,n,y,y,y,y,y,n,n,n,n,y,,democrat
330,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
331,y,,y,n,n,n,y,y,y,n,n,n,n,n,y,,democrat
332,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,,democrat
333,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
334,n,y,y,n,n,y,y,y,,n,y,y,n,n,y,y,democrat
335,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,,republican
336,n,n,y,n,n,y,y,y,n,n,y,n,n,y,,y,democrat
337,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
338,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,democrat
339,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
340,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,republican
341,n,,y,,n,y,y,y,y,y,y,n,,,y,y,democrat
342,n,y,y,n,y,,y,n,n,y,y,n,y,n,y,y,democrat
343,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,republican
344,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
345,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y,republican
346,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
347,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
348,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,,democrat
349,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y,republican
350,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y,democrat
351,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y,republican
352,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,,democrat
353,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y,republican
354,n,y,y,n,n,y,y,y,y,y,n,,n,n,y,y,democrat
355,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,republican
356,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
357,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
358,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,,democrat
359,n,n,n,y,y,y,n,n,n,y,,y,y,y,n,y,republican
360,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,democrat
361,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,,democrat
362,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y,democrat
363,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n,republican
364,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,republican
365,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n,democrat
366,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,,democrat
367,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,,democrat
368,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,democrat
