,class_num,vendor_cat,MYCT_num,MMIN_num,MMAX_num,CACH_num,CHMIN_num,CHMAX_num
44,54.0,dec,133.0,1000.0,12000.0,9.0,3.0,12.0
45,41.0,dec,133.0,1000.0,8000.0,9.0,3.0,12.0
46,18.0,dec,810.0,512.0,512.0,8.0,1.0,1.0
47,28.0,dec,810.0,1000.0,5000.0,0.0,1.0,1.0
48,36.0,dec,320.0,512.0,8000.0,4.0,1.0,5.0
49,38.0,dec,200.0,512.0,8000.0,8.0,1.0,8.0
50,34.0,dg,700.0,384.0,8000.0,0.0,1.0,1.0
51,19.0,dg,700.0,256.0,2000.0,0.0,1.0,1.0
52,72.0,dg,140.0,1000.0,16000.0,16.0,1.0,3.0
53,36.0,dg,200.0,1000.0,8000.0,0.0,1.0,2.0
54,30.0,dg,110.0,1000.0,4000.0,16.0,1.0,2.0
55,56.0,dg,110.0,1000.0,12000.0,16.0,1.0,2.0
56,42.0,dg,220.0,1000.0,8000.0,16.0,1.0,2.0
57,34.0,formation,800.0,256.0,8000.0,0.0,1.0,4.0
58,34.0,formation,800.0,256.0,8000.0,0.0,1.0,4.0
59,34.0,formation,800.0,256.0,8000.0,0.0,1.0,4.0
60,34.0,formation,800.0,256.0,8000.0,0.0,1.0,4.0
61,34.0,formation,800.0,256.0,8000.0,0.0,1.0,4.0
62,19.0,four-phase,125.0,512.0,1000.0,0.0,8.0,20.0
63,75.0,gould,75.0,2000.0,8000.0,64.0,1.0,38.0
64,113.0,gould,75.0,2000.0,16000.0,64.0,1.0,38.0
65,157.0,gould,75.0,2000.0,16000.0,128.0,1.0,38.0
66,18.0,hp,90.0,256.0,1000.0,0.0,3.0,10.0
67,20.0,hp,105.0,256.0,2000.0,0.0,3.0,10.0
68,28.0,hp,105.0,1000.0,4000.0,0.0,3.0,24.0
69,33.0,hp,105.0,2000.0,4000.0,8.0,3.0,19.0
70,47.0,hp,75.0,2000.0,8000.0,8.0,3.0,24.0
71,54.0,hp,75.0,3000.0,8000.0,8.0,3.0,48.0
72,20.0,hp,175.0,256.0,2000.0,0.0,3.0,24.0
73,23.0,harris,300.0,768.0,3000.0,0.0,6.0,24.0
74,25.0,harris,300.0,768.0,3000.0,6.0,6.0,24.0
75,52.0,harris,300.0,768.0,12000.0,6.0,6.0,24.0
76,27.0,harris,300.0,768.0,4500.0,0.0,1.0,24.0
77,50.0,harris,300.0,384.0,12000.0,6.0,1.0,24.0
78,18.0,harris,300.0,192.0,768.0,6.0,6.0,24.0
79,53.0,harris,180.0,768.0,12000.0,6.0,1.0,31.0
80,23.0,honeywell,330.0,1000.0,3000.0,0.0,2.0,4.0
81,30.0,honeywell,300.0,1000.0,4000.0,8.0,3.0,64.0
82,73.0,honeywell,300.0,1000.0,16000.0,8.0,2.0,112.0
83,20.0,honeywell,330.0,1000.0,2000.0,0.0,1.0,2.0
84,25.0,honeywell,330.0,1000.0,4000.0,0.0,3.0,6.0
85,28.0,honeywell,140.0,2000.0,4000.0,0.0,3.0,6.0
86,29.0,honeywell,140.0,2000.0,4000.0,0.0,4.0,8.0
87,32.0,honeywell,140.0,2000.0,4000.0,8.0,1.0,20.0
88,175.0,honeywell,140.0,2000.0,32000.0,32.0,1.0,20.0
89,57.0,honeywell,140.0,2000.0,8000.0,32.0,1.0,54.0
90,181.0,honeywell,140.0,2000.0,32000.0,32.0,1.0,54.0
91,181.0,honeywell,140.0,2000.0,32000.0,32.0,1.0,54.0
92,32.0,honeywell,140.0,2000.0,4000.0,8.0,1.0,20.0
93,82.0,ibm,57.0,4000.0,16000.0,1.0,6.0,12.0
94,171.0,ibm,57.0,4000.0,24000.0,64.0,12.0,16.0
95,361.0,ibm,26.0,16000.0,32000.0,64.0,16.0,24.0
96,350.0,ibm,26.0,16000.0,32000.0,64.0,8.0,24.0
97,220.0,ibm,26.0,8000.0,32000.0,0.0,8.0,24.0
98,113.0,ibm,26.0,8000.0,16000.0,0.0,8.0,16.0
99,15.0,ibm,480.0,96.0,512.0,0.0,1.0,1.0
100,21.0,ibm,203.0,1000.0,2000.0,0.0,1.0,5.0
101,35.0,ibm,115.0,512.0,6000.0,16.0,1.0,6.0
102,18.0,ibm,1100.0,512.0,1500.0,0.0,1.0,1.0
103,20.0,ibm,1100.0,768.0,2000.0,0.0,1.0,1.0
104,20.0,ibm,600.0,768.0,2000.0,0.0,1.0,1.0
105,28.0,ibm,400.0,2000.0,4000.0,0.0,1.0,1.0
106,45.0,ibm,400.0,4000.0,8000.0,0.0,1.0,1.0
107,18.0,ibm,900.0,1000.0,1000.0,0.0,1.0,2.0
108,17.0,ibm,900.0,512.0,1000.0,0.0,1.0,2.0
109,26.0,ibm,900.0,1000.0,4000.0,4.0,1.0,2.0
110,28.0,ibm,900.0,1000.0,4000.0,8.0,1.0,2.0
111,28.0,ibm,900.0,2000.0,4000.0,0.0,3.0,6.0
112,31.0,ibm,225.0,2000.0,4000.0,8.0,3.0,6.0
113,31.0,ibm,225.0,2000.0,4000.0,8.0,3.0,6.0
114,42.0,ibm,180.0,2000.0,8000.0,8.0,1.0,6.0
115,76.0,ibm,185.0,2000.0,16000.0,16.0,1.0,6.0
116,76.0,ibm,180.0,2000.0,16000.0,16.0,1.0,6.0
117,26.0,ibm,225.0,1000.0,4000.0,2.0,3.0,6.0
118,59.0,ibm,25.0,2000.0,12000.0,8.0,1.0,4.0
119,65.0,ibm,25.0,2000.0,12000.0,16.0,3.0,5.0
120,101.0,ibm,17.0,4000.0,16000.0,8.0,6.0,12.0
121,116.0,ibm,17.0,4000.0,16000.0,32.0,6.0,12.0
122,18.0,ibm,1500.0,768.0,1000.0,0.0,0.0,0.0
123,20.0,ibm,1500.0,768.0,2000.0,0.0,0.0,0.0
124,20.0,ibm,800.0,768.0,2000.0,0.0,0.0,0.0
125,30.0,ipl,50.0,2000.0,4000.0,0.0,3.0,6.0
126,44.0,ipl,50.0,2000.0,8000.0,8.0,3.0,6.0
127,44.0,ipl,50.0,2000.0,8000.0,8.0,1.0,6.0
128,82.0,ipl,50.0,2000.0,16000.0,24.0,1.0,6.0
129,82.0,ipl,50.0,2000.0,16000.0,24.0,1.0,6.0
130,128.0,ipl,50.0,8000.0,16000.0,48.0,1.0,10.0
131,37.0,magnuson,100.0,1000.0,8000.0,0.0,2.0,6.0
132,46.0,magnuson,100.0,1000.0,8000.0,24.0,2.0,6.0
133,46.0,magnuson,100.0,1000.0,8000.0,24.0,3.0,6.0
134,80.0,magnuson,50.0,2000.0,16000.0,12.0,3.0,16.0
135,88.0,magnuson,50.0,2000.0,16000.0,24.0,6.0,16.0
136,88.0,magnuson,50.0,2000.0,16000.0,24.0,6.0,16.0
137,33.0,microdata,150.0,512.0,4000.0,0.0,8.0,128.0
138,46.0,nas,115.0,2000.0,8000.0,16.0,1.0,3.0
139,29.0,nas,115.0,2000.0,4000.0,2.0,1.0,5.0
140,53.0,nas,92.0,2000.0,8000.0,32.0,1.0,6.0
141,53.0,nas,92.0,2000.0,8000.0,32.0,1.0,6.0
142,41.0,nas,92.0,2000.0,8000.0,4.0,1.0,6.0
143,86.0,nas,75.0,4000.0,16000.0,16.0,1.0,6.0
144,95.0,nas,60.0,4000.0,16000.0,32.0,1.0,6.0
145,107.0,nas,60.0,2000.0,16000.0,64.0,5.0,8.0
146,117.0,nas,60.0,4000.0,16000.0,64.0,5.0,8.0
147,119.0,nas,50.0,4000.0,16000.0,64.0,5.0,10.0
148,120.0,nas,72.0,4000.0,16000.0,64.0,8.0,16.0
149,48.0,nas,72.0,2000.0,8000.0,16.0,6.0,8.0
150,126.0,nas,40.0,8000.0,16000.0,32.0,8.0,16.0
151,266.0,nas,40.0,8000.0,32000.0,64.0,8.0,24.0
152,270.0,nas,35.0,8000.0,32000.0,64.0,8.0,24.0
153,426.0,nas,38.0,16000.0,32000.0,128.0,16.0,32.0
154,151.0,nas,48.0,4000.0,24000.0,32.0,8.0,24.0
155,267.0,nas,38.0,8000.0,32000.0,64.0,8.0,24.0
156,603.0,nas,30.0,16000.0,32000.0,256.0,16.0,24.0
157,19.0,ncr,112.0,1000.0,1000.0,0.0,1.0,4.0
158,21.0,ncr,84.0,1000.0,2000.0,0.0,1.0,6.0
159,26.0,ncr,56.0,1000.0,4000.0,0.0,1.0,6.0
160,35.0,ncr,56.0,2000.0,6000.0,0.0,1.0,8.0
161,41.0,ncr,56.0,2000.0,8000.0,0.0,1.0,8.0
162,47.0,ncr,56.0,4000.0,8000.0,0.0,1.0,8.0
163,62.0,ncr,56.0,4000.0,12000.0,0.0,1.0,8.0
164,78.0,ncr,56.0,4000.0,16000.0,0.0,1.0,8.0
165,80.0,ncr,38.0,4000.0,8000.0,32.0,16.0,32.0
166,80.0,ncr,38.0,4000.0,8000.0,32.0,16.0,32.0
167,142.0,ncr,38.0,8000.0,16000.0,64.0,4.0,8.0
168,281.0,ncr,38.0,8000.0,24000.0,160.0,4.0,8.0
169,190.0,ncr,38.0,4000.0,16000.0,128.0,16.0,32.0
170,21.0,nixdorf,200.0,1000.0,2000.0,0.0,1.0,2.0
171,25.0,nixdorf,200.0,1000.0,4000.0,0.0,1.0,4.0
172,67.0,nixdorf,200.0,2000.0,8000.0,64.0,1.0,5.0
173,24.0,perkin-elmer,250.0,512.0,4000.0,0.0,1.0,7.0
174,24.0,perkin-elmer,250.0,512.0,4000.0,0.0,4.0,7.0
175,64.0,perkin-elmer,250.0,1000.0,16000.0,1.0,1.0,8.0
176,25.0,prime,160.0,512.0,4000.0,2.0,1.0,5.0
177,20.0,prime,160.0,512.0,2000.0,2.0,3.0,8.0
178,29.0,prime,160.0,1000.0,4000.0,8.0,1.0,14.0
179,43.0,prime,160.0,1000.0,8000.0,16.0,1.0,14.0
180,53.0,prime,160.0,2000.0,8000.0,32.0,1.0,13.0
181,19.0,siemens,240.0,512.0,1000.0,8.0,1.0,3.0
182,22.0,siemens,240.0,512.0,2000.0,8.0,1.0,5.0
183,31.0,siemens,105.0,2000.0,4000.0,8.0,3.0,8.0
184,41.0,siemens,105.0,2000.0,6000.0,16.0,6.0,16.0
185,47.0,siemens,105.0,2000.0,8000.0,16.0,4.0,14.0
186,99.0,siemens,52.0,4000.0,16000.0,32.0,4.0,12.0
187,67.0,siemens,70.0,4000.0,12000.0,8.0,6.0,8.0
188,81.0,siemens,59.0,4000.0,12000.0,32.0,6.0,12.0
189,149.0,siemens,59.0,8000.0,16000.0,64.0,12.0,24.0
190,183.0,siemens,26.0,8000.0,24000.0,32.0,8.0,16.0
191,275.0,siemens,26.0,8000.0,32000.0,64.0,12.0,16.0
192,382.0,siemens,26.0,8000.0,32000.0,128.0,24.0,32.0
193,56.0,sperry,116.0,2000.0,8000.0,32.0,5.0,28.0
194,182.0,sperry,50.0,2000.0,32000.0,24.0,6.0,26.0
195,227.0,sperry,50.0,2000.0,32000.0,48.0,26.0,52.0
196,341.0,sperry,50.0,2000.0,32000.0,112.0,52.0,104.0
197,360.0,sperry,50.0,4000.0,32000.0,112.0,52.0,104.0
198,919.0,sperry,30.0,8000.0,64000.0,96.0,12.0,176.0
199,978.0,sperry,30.0,8000.0,64000.0,128.0,12.0,176.0
200,24.0,sperry,180.0,262.0,4000.0,0.0,1.0,3.0
201,24.0,sperry,180.0,512.0,4000.0,0.0,1.0,3.0
202,24.0,sperry,180.0,262.0,4000.0,0.0,1.0,3.0
203,24.0,sperry,180.0,512.0,4000.0,0.0,1.0,3.0
204,37.0,sperry,124.0,1000.0,8000.0,0.0,1.0,8.0
205,50.0,sperry,98.0,1000.0,8000.0,32.0,2.0,8.0
206,41.0,sratus,125.0,2000.0,8000.0,0.0,2.0,14.0
207,47.0,wang,480.0,512.0,8000.0,32.0,0.0,0.0
208,25.0,wang,480.0,1000.0,4000.0,0.0,0.0,0.0
