,Wifes_education_cat,Media_exposure_cat,Wifes_now_working%3F_cat,Number_of_children_ever_born_num,Contraceptive_method_used_cat
84,4,0,1,2,1
85,4,0,1,2,1
86,4,0,1,1,1
87,4,0,1,3,1
88,2,0,1,4,1
89,2,0,0,3,1
90,2,0,1,0,1
91,2,0,1,6,1
92,2,0,1,3,1
93,2,0,0,1,1
94,1,0,1,3,1
95,1,1,1,10,1
96,2,0,0,1,1
97,4,0,1,5,1
98,2,0,1,3,1
99,2,0,1,5,1
100,1,1,1,4,1
101,2,0,0,0,1
102,2,0,0,3,1
103,4,0,1,4,1
104,2,0,1,2,1
105,3,0,1,3,1
106,4,0,1,0,1
107,3,0,0,4,1
108,2,0,1,2,1
109,2,0,1,3,1
110,4,0,0,1,1
111,3,0,0,7,1
112,4,0,1,1,1
113,2,0,1,4,1
114,3,0,1,0,1
115,4,0,1,1,1
116,4,0,0,3,1
117,3,0,1,1,1
118,4,0,1,5,1
119,2,0,1,2,1
120,1,1,1,1,1
121,2,0,1,5,1
122,3,0,1,2,1
123,2,0,1,1,1
124,2,0,0,3,1
125,3,1,1,2,1
126,4,0,1,1,1
127,2,1,1,2,1
128,1,1,0,2,1
129,3,0,1,0,1
130,3,0,1,3,1
131,4,0,0,0,1
132,1,0,1,8,1
133,3,1,1,1,1
134,4,0,1,1,1
135,3,0,0,3,1
136,4,0,1,2,1
137,3,0,1,2,1
138,4,0,1,2,1
139,4,0,1,1,1
140,4,0,1,2,1
141,4,0,0,0,1
142,4,0,0,1,1
143,4,0,1,2,1
144,2,0,1,2,1
145,4,0,1,3,1
146,4,0,1,4,1
147,4,0,1,2,1
148,4,0,0,1,1
149,4,0,1,5,1
150,4,0,1,3,1
151,1,0,1,4,1
152,3,1,1,2,1
153,4,0,1,2,1
154,1,0,1,4,1
155,1,1,1,7,1
156,4,0,0,2,1
157,2,0,1,4,1
158,1,1,1,5,1
159,2,0,1,2,1
160,1,1,1,3,1
161,4,0,0,0,1
162,1,0,1,0,1
163,3,0,0,1,1
164,4,0,1,4,1
165,3,0,1,1,1
166,3,0,1,5,1
167,4,0,1,1,1
168,4,0,1,0,1
169,3,0,0,0,1
170,4,0,1,4,1
171,2,0,0,8,1
172,2,0,1,1,1
173,3,0,1,2,1
174,3,0,1,2,1
175,2,0,0,0,1
176,4,0,1,0,1
177,2,0,0,4,1
178,2,0,0,2,1
179,2,0,0,10,1
180,4,0,0,2,1
181,2,0,1,1,1
182,1,0,1,12,1
183,2,0,0,3,1
184,3,0,0,5,1
185,2,0,1,1,1
186,2,0,1,0,1
187,2,1,1,4,1
188,3,0,1,2,1
189,3,0,1,3,1
190,1,0,1,4,1
191,3,0,0,3,1
192,1,1,1,11,1
193,3,0,1,2,1
194,3,0,0,0,1
195,1,1,1,6,1
196,2,0,0,3,1
197,3,0,1,6,1
198,1,0,1,5,1
199,2,0,1,2,1
200,1,1,1,11,1
201,2,0,1,0,1
202,2,0,0,2,1
203,2,0,1,2,1
204,3,0,1,1,1
205,2,0,1,2,1
206,2,0,1,0,1
207,3,0,0,0,1
208,4,0,1,1,1
209,2,0,0,3,1
210,3,0,1,1,1
211,1,0,0,1,1
212,3,0,1,3,1
213,1,0,1,5,1
214,1,0,1,8,1
215,3,0,0,2,1
216,3,0,1,1,1
217,3,1,0,8,1
218,3,1,1,4,1
219,3,0,0,2,1
220,2,0,1,1,1
221,3,0,1,0,1
222,1,1,1,2,1
223,1,0,1,0,1
224,4,0,1,4,1
225,4,0,0,4,1
226,3,0,1,2,1
227,1,1,1,1,1
228,1,0,1,8,1
229,3,0,1,0,1
230,1,1,1,4,1
231,2,0,1,1,1
232,3,0,0,0,1
233,2,0,1,1,1
234,1,1,0,5,1
235,2,0,0,1,1
236,2,0,0,5,1
237,4,0,1,1,1
238,3,0,1,6,1
239,3,0,1,1,1
240,3,0,1,1,1
241,3,0,1,4,1
242,1,0,1,4,1
243,4,0,1,2,1
244,3,0,1,4,1
245,4,0,1,2,1
246,4,0,0,2,1
247,4,0,1,2,1
248,4,0,1,1,1
249,3,1,0,11,1
250,4,0,1,3,1
251,4,0,1,5,1
252,3,0,1,1,1
253,4,0,0,1,1
254,1,1,1,4,1
255,4,0,1,2,1
256,3,0,1,2,1
257,1,0,1,7,1
258,2,0,0,1,1
259,3,0,1,1,1
260,1,0,0,7,1
261,1,0,0,5,1
262,3,0,0,3,1
263,3,0,1,0,1
264,2,0,1,5,1
265,4,0,1,0,1
266,3,0,1,6,1
267,3,0,0,10,1
268,3,0,1,7,1
269,1,0,0,6,1
270,4,0,1,2,1
271,3,0,1,1,1
272,3,0,1,1,1
273,2,0,1,6,1
274,3,0,0,2,1
275,3,0,1,1,1
276,2,0,1,5,1
277,2,0,1,0,1
278,3,0,1,6,1
279,4,0,1,3,1
280,2,0,0,6,1
281,2,0,1,2,1
282,4,0,1,0,1
283,3,0,1,5,1
284,2,1,0,2,1
285,4,0,1,5,1
286,4,0,0,0,1
287,2,0,1,4,1
288,2,0,1,0,1
289,1,1,1,0,1
290,4,0,1,1,1
291,4,0,1,4,1
292,1,0,1,2,1
293,4,0,1,3,1
294,4,0,1,1,1
295,3,0,1,6,1
296,3,0,1,9,1
297,4,0,1,2,1
298,4,0,1,3,1
299,4,0,1,1,1
300,1,0,1,7,1
301,4,0,0,0,1
302,3,0,1,1,1
303,2,0,1,2,1
304,4,0,0,1,1
305,4,0,0,2,1
306,1,0,1,2,1
307,3,0,1,6,1
308,3,0,1,0,1
309,3,0,1,2,1
310,3,0,1,3,1
311,3,0,0,2,1
312,1,1,0,2,1
313,4,0,1,2,1
314,2,0,0,0,1
315,2,0,0,5,1
316,1,0,0,2,1
317,3,0,0,5,1
318,3,0,1,1,1
319,2,0,1,4,1
320,4,0,1,3,1
321,1,0,0,2,1
322,3,0,1,2,1
323,1,1,0,0,1
324,4,0,1,1,1
325,4,0,1,1,1
326,1,1,1,4,1
327,4,0,1,2,1
328,4,0,1,4,1
329,3,0,1,1,1
330,3,0,1,1,1
331,1,0,0,0,1
332,1,0,0,1,1
333,4,0,1,1,1
334,4,0,1,1,1
335,2,1,1,8,1
336,4,0,0,0,1
337,4,0,0,3,1
338,4,0,0,0,1
339,3,0,1,3,1
340,2,0,0,4,1
341,3,0,1,8,1
342,4,0,1,0,1
343,3,0,1,3,1
344,4,0,1,1,1
345,4,0,1,1,1
346,4,0,0,1,1
347,1,1,1,4,1
348,2,0,1,3,1
349,3,0,1,1,1
350,2,0,1,2,1
351,1,1,1,6,1
352,2,1,1,2,1
353,2,0,1,1,1
354,2,0,1,8,1
355,2,1,0,1,1
356,2,0,1,2,1
357,2,0,1,4,1
358,2,0,1,0,1
359,2,0,1,0,1
360,3,0,1,1,1
361,3,0,1,4,1
362,1,0,1,0,1
363,2,0,0,2,1
364,3,0,1,0,1
365,2,0,1,3,1
366,3,0,0,3,1
367,4,0,1,1,1
368,2,0,0,7,1
369,3,0,1,6,1
370,3,0,1,5,1
371,2,0,1,4,1
372,2,0,1,1,1
373,3,0,1,3,1
374,1,1,1,0,1
375,3,0,1,2,1
376,3,1,1,3,1
377,2,0,1,5,1
378,2,0,1,1,1
379,1,1,1,8,1
380,3,0,1,6,1
381,2,0,1,5,1
382,2,0,0,2,1
383,2,0,0,1,1
384,2,0,1,5,1
385,4,0,0,2,1
386,4,1,0,3,1
387,4,0,1,0,1
388,2,0,0,1,1
389,2,0,1,1,1
390,4,0,0,0,1
391,4,0,1,5,1
392,1,0,1,6,1
393,3,0,1,0,1
394,4,0,0,0,1
395,4,0,1,2,1
396,1,0,1,6,1
397,1,1,0,8,1
398,2,0,1,0,1
399,1,1,1,3,1
400,1,1,1,2,1
401,3,0,1,5,1
402,2,0,1,8,1
403,1,1,1,1,1
404,3,0,0,4,1
405,3,0,1,2,1
406,2,0,1,3,1
407,3,0,1,2,1
408,3,0,0,2,1
409,3,0,1,1,1
410,2,0,0,4,1
411,2,0,1,2,1
412,1,0,1,1,1
413,2,0,1,2,1
414,2,0,1,3,1
415,3,0,1,6,2
416,4,0,1,5,2
417,4,0,1,4,2
418,4,0,0,2,2
419,3,0,0,5,2
420,3,0,1,3,2
421,2,0,1,4,2
422,4,0,1,2,2
423,2,0,1,6,2
424,2,0,1,7,2
425,4,0,0,2,2
426,4,0,1,4,2
427,1,0,1,2,2
428,2,0,1,3,2
429,4,0,0,4,2
430,4,0,1,1,2
431,3,0,1,1,2
432,3,0,1,3,2
433,4,0,0,2,2
434,3,0,1,1,2
435,4,0,1,7,2
436,2,0,0,2,2
437,2,0,1,3,2
438,2,0,1,2,2
439,2,0,0,1,2
440,4,0,1,4,2
441,4,0,0,7,2
442,4,0,0,2,2
443,4,0,0,2,2
444,4,0,1,10,2
445,2,0,0,6,2
446,4,0,1,3,2
447,4,0,0,5,2
448,4,0,1,3,2
449,3,0,1,1,2
450,4,0,1,1,2
451,2,0,1,2,2
452,3,0,1,1,2
453,4,0,1,1,2
454,4,0,1,2,2
455,3,0,0,2,2
456,4,0,1,3,2
457,4,0,1,3,2
458,4,0,1,4,2
459,4,0,1,8,2
460,4,0,0,4,2
461,4,0,1,2,2
462,4,0,1,3,2
463,4,0,1,3,2
464,4,0,1,4,2
465,4,0,1,2,2
466,3,0,0,1,2
467,4,0,1,8,2
468,1,1,0,1,2
469,2,0,1,8,2
470,4,0,0,3,2
471,2,0,1,2,2
472,4,0,1,4,2
473,4,0,0,4,2
474,4,0,1,8,2
475,4,0,1,3,2
476,4,0,1,6,2
477,4,0,1,1,2
478,4,0,1,6,2
479,4,0,0,4,2
480,4,0,1,1,2
481,1,1,0,7,2
482,4,0,1,1,2
483,3,0,1,7,2
484,3,0,0,2,2
485,3,0,0,11,2
486,4,0,0,6,2
487,4,0,1,4,2
488,3,0,1,4,2
489,3,0,1,3,2
490,4,0,1,3,2
491,4,0,0,6,2
492,4,0,1,3,2
493,4,0,1,5,2
494,4,0,1,2,2
495,4,0,1,4,2
496,4,0,1,3,2
497,4,0,1,1,2
498,4,0,0,5,2
499,4,0,0,1,2
500,2,0,1,6,2
501,4,0,0,2,2
502,2,0,1,7,2
503,3,0,1,3,2
504,2,0,1,6,2
505,4,0,1,4,2
506,4,0,1,1,2
507,3,1,0,5,2
508,4,0,1,3,2
509,4,0,0,5,2
510,4,0,1,2,2
511,3,0,0,2,2
512,4,0,0,2,2
513,4,0,0,3,2
514,4,0,0,2,2
515,4,0,1,4,2
516,4,0,1,4,2
517,4,0,1,3,2
518,3,0,1,5,2
519,2,0,1,13,2
520,3,0,1,6,2
521,4,0,1,5,2
522,3,0,1,4,2
523,3,0,1,2,2
524,4,0,1,1,2
525,3,0,1,1,2
526,2,0,0,5,2
527,3,0,1,7,2
528,4,0,0,2,2
529,2,0,1,7,2
530,3,0,1,6,2
531,3,0,1,8,2
532,4,0,0,6,2
533,3,0,0,2,2
534,4,0,1,7,2
535,2,0,1,2,2
536,4,0,0,2,2
537,4,0,1,5,2
538,3,0,1,4,2
539,4,0,1,3,2
540,3,0,0,1,2
541,4,0,0,1,2
542,3,0,1,7,2
543,4,0,1,4,2
544,4,0,1,6,2
545,4,0,1,7,2
546,4,0,1,1,2
547,4,0,1,2,2
548,4,0,1,4,2
549,3,0,1,5,2
550,4,0,0,1,2
551,4,0,1,3,2
552,4,0,0,3,2
553,4,0,0,4,2
554,4,0,1,4,2
555,2,0,1,1,2
556,3,0,0,6,2
557,3,0,1,2,2
558,4,0,1,5,2
559,4,0,0,4,2
560,4,0,0,3,2
561,3,0,1,11,2
562,3,0,1,5,2
563,3,1,1,5,2
564,1,0,1,10,2
565,4,0,1,1,2
566,4,0,0,1,2
567,3,0,1,2,2
568,3,0,1,4,2
569,4,0,0,3,2
570,4,0,1,3,2
571,4,0,1,1,2
572,3,0,0,4,2
573,2,0,0,1,2
574,4,0,0,4,2
575,4,0,0,4,2
576,4,0,0,4,2
577,4,0,1,3,2
578,4,0,1,3,2
579,4,0,0,2,2
580,4,0,1,6,2
581,4,0,1,7,2
582,4,0,1,2,2
583,4,0,1,1,2
584,4,0,0,3,2
585,4,0,1,3,2
586,4,0,1,1,2
587,4,0,1,5,2
588,4,0,1,2,2
589,4,0,1,5,2
590,4,0,1,1,2
591,3,0,1,3,2
592,3,0,1,5,2
593,4,0,0,2,2
594,4,0,1,4,2
595,4,0,1,5,2
596,4,0,1,6,2
597,4,0,1,3,2
598,4,0,1,5,2
599,2,1,0,3,2
600,4,0,1,2,2
601,4,0,1,3,2
602,4,0,1,3,2
603,4,0,1,2,2
604,3,0,1,2,2
605,4,0,1,1,2
606,3,0,0,3,2
607,3,0,1,3,2
608,4,0,1,5,2
609,3,0,1,6,2
610,4,0,1,6,2
611,4,0,0,3,2
612,4,0,0,4,2
613,4,0,0,3,2
614,4,0,1,4,2
615,3,0,1,7,2
616,4,0,0,7,2
617,2,0,1,6,2
618,4,0,1,6,2
619,4,0,1,4,2
620,4,0,1,6,2
621,3,0,1,2,2
622,4,0,1,4,2
623,4,0,1,3,2
624,4,0,1,6,2
625,4,0,1,7,2
626,4,0,0,2,2
627,4,0,1,4,2
628,4,0,1,4,2
629,4,0,1,5,2
630,4,0,1,4,2
631,4,0,1,3,2
632,4,0,1,3,2
633,4,0,0,3,2
634,3,0,1,6,2
635,3,0,1,5,2
636,2,0,1,8,2
637,3,0,1,5,2
638,1,1,1,8,2
639,2,1,1,3,2
640,3,1,1,5,2
641,4,0,0,4,2
642,3,0,1,4,3
643,2,0,1,5,3
644,3,0,1,5,3
645,2,0,1,6,3
646,4,0,0,1,3
647,4,0,0,2,3
648,2,0,1,1,3
649,1,0,1,4,3
650,2,0,1,1,3
651,3,0,1,1,3
652,2,0,1,4,3
653,4,0,1,16,3
654,2,0,0,3,3
655,4,0,1,2,3
656,3,0,1,2,3
657,4,0,1,1,3
658,2,0,0,5,3
659,3,0,0,1,3
660,2,0,1,1,3
661,4,0,1,3,3
662,4,0,1,2,3
663,4,0,1,1,3
664,1,1,1,3,3
665,3,0,1,8,3
666,3,0,0,5,3
667,2,0,1,3,3
668,2,0,1,3,3
669,2,0,0,6,3
670,3,0,1,2,3
671,2,0,1,3,3
672,3,0,1,2,3
673,1,0,1,3,3
674,3,0,1,4,3
675,4,0,1,13,3
676,4,0,1,5,3
677,3,0,1,8,3
678,3,0,1,3,3
679,2,0,1,4,3
680,2,0,1,4,3
681,4,0,1,1,3
682,4,0,1,4,3
683,4,0,1,1,3
684,4,0,0,2,3
685,3,0,1,1,3
686,3,0,1,3,3
687,4,1,1,6,3
688,4,0,1,4,3
689,4,0,1,1,3
690,3,0,1,3,3
691,2,0,1,3,3
692,4,0,1,1,3
693,2,0,1,2,3
694,2,0,1,3,3
695,4,0,1,1,3
696,4,0,1,7,3
697,3,0,1,2,3
698,4,0,1,2,3
699,4,0,0,1,3
700,4,0,1,1,3
701,2,0,1,7,3
702,1,0,0,5,3
703,2,0,1,4,3
704,3,0,1,2,3
705,2,0,1,1,3
706,3,0,0,4,3
707,3,0,1,3,3
708,4,0,1,3,3
709,4,0,1,2,3
710,2,0,1,4,3
711,3,0,1,2,3
712,3,1,1,3,3
713,4,0,1,4,3
714,3,0,1,7,3
715,3,0,0,5,3
716,2,0,1,4,3
717,4,0,1,3,3
718,4,0,1,3,3
719,4,0,1,5,3
720,4,0,1,3,3
721,4,0,1,4,3
722,3,0,0,3,3
723,4,0,1,1,3
724,4,0,1,3,3
725,4,0,1,1,3
726,4,0,1,1,3
727,2,0,0,1,3
728,4,0,1,1,3
729,4,0,1,4,3
730,4,0,0,2,3
731,1,0,1,2,3
732,3,0,1,6,3
733,2,0,1,1,3
734,2,0,0,7,3
735,2,0,1,2,3
736,3,0,1,3,3
737,2,0,1,5,3
738,4,0,0,2,3
739,4,0,0,2,3
740,1,0,1,5,3
741,3,0,1,1,3
742,2,0,1,7,3
743,2,0,1,1,3
744,4,0,1,4,3
745,3,0,1,4,3
746,2,0,1,7,3
747,4,0,1,11,3
748,3,0,1,4,3
749,4,0,1,2,3
750,2,0,1,2,3
751,4,0,1,2,3
752,4,0,1,3,3
753,3,0,1,4,3
754,2,0,1,2,3
755,4,0,1,4,3
756,4,0,1,6,3
757,4,0,1,2,3
758,3,0,1,3,3
759,4,0,1,1,3
760,4,0,1,1,3
761,3,0,1,8,3
762,2,0,0,5,3
763,3,0,1,3,3
764,3,0,1,3,3
765,3,0,1,4,3
766,4,0,1,5,3
767,4,0,1,8,3
768,4,0,1,1,3
769,4,0,1,3,3
770,4,0,1,3,3
771,4,0,1,2,3
772,4,0,1,2,3
773,3,0,1,4,3
774,4,0,0,2,3
775,3,0,0,8,3
776,4,0,1,4,3
777,4,0,0,3,3
778,4,0,0,2,3
779,4,0,0,3,3
780,4,0,1,2,3
781,4,0,1,3,3
782,4,0,1,4,3
783,4,0,1,6,3
784,4,0,1,4,3
785,3,0,1,3,3
786,1,0,1,2,3
787,2,0,1,2,3
788,3,0,1,3,3
789,2,1,1,2,3
790,4,0,1,2,3
791,3,0,1,5,3
792,3,0,0,3,3
793,3,0,0,5,3
794,3,0,0,3,3
795,4,0,1,2,3
796,4,0,1,5,3
797,4,0,0,1,3
798,3,0,1,3,3
799,4,0,1,3,3
800,2,0,1,8,3
801,2,0,1,1,3
802,2,0,0,7,3
803,2,0,1,2,3
804,2,0,1,5,3
805,2,0,1,3,3
806,4,0,0,2,3
807,2,0,1,4,3
808,2,0,0,4,3
809,3,0,1,1,3
810,3,0,1,1,3
811,1,1,1,6,3
812,3,0,1,3,3
813,3,0,1,6,3
814,3,0,1,1,3
815,2,0,1,3,3
816,3,0,1,1,3
817,4,0,1,1,3
818,2,0,1,3,3
819,1,0,1,4,3
820,1,1,1,3,3
821,3,0,1,2,3
822,3,0,1,2,3
823,3,0,1,3,3
824,3,0,1,5,3
825,1,0,1,4,3
826,3,0,1,2,3
827,3,0,1,3,3
828,4,0,1,3,3
829,4,0,0,1,3
830,4,0,1,1,3
831,2,0,1,5,3
832,3,0,1,2,3
833,3,0,1,1,3
834,1,0,1,9,3
835,2,0,1,3,3
836,4,1,1,3,3
837,2,0,1,2,3
838,4,0,0,6,3
839,3,0,1,3,3
840,4,0,1,3,3
841,1,1,1,4,3
842,4,0,0,2,3
843,3,0,1,2,3
844,3,0,1,1,3
845,2,0,0,4,3
846,1,1,1,3,3
847,3,0,1,1,3
848,2,0,1,2,3
849,2,0,1,3,3
850,2,0,1,2,3
851,4,0,1,8,3
852,3,0,1,4,3
853,3,0,0,1,3
854,3,0,1,6,3
855,3,0,1,3,3
856,2,0,1,3,3
857,4,0,1,1,3
858,2,0,1,2,3
859,3,0,1,2,3
860,3,0,1,3,3
861,3,0,1,7,3
862,3,0,0,2,3
863,4,0,1,1,3
864,1,0,1,4,3
865,2,0,1,2,3
866,1,0,0,3,3
867,1,1,1,3,3
868,4,0,1,3,3
869,3,0,1,5,3
870,4,0,1,3,3
871,2,0,1,4,3
872,3,0,1,3,3
873,2,0,1,2,3
874,4,0,1,3,3
875,4,0,0,3,3
876,3,0,0,4,3
877,4,0,1,5,3
878,4,0,1,2,3
879,3,0,1,5,3
880,3,0,1,1,3
881,1,1,1,1,3
882,3,0,1,1,3
883,3,0,1,4,3
884,3,0,0,1,3
885,3,0,1,1,3
886,3,0,1,2,3
887,4,0,0,3,3
888,3,0,0,3,3
889,4,0,1,4,3
890,3,0,1,6,3
891,4,0,0,2,3
892,2,0,1,1,3
893,3,0,1,2,3
894,4,0,1,2,3
895,2,0,1,4,3
896,4,0,1,2,3
897,4,0,1,4,3
898,4,0,0,2,3
899,4,0,1,5,3
900,3,0,1,1,3
901,3,0,1,2,3
902,3,0,1,2,3
903,4,0,1,1,3
904,1,0,1,3,3
905,1,0,1,2,3
906,4,0,1,4,3
907,3,0,1,2,3
908,4,0,0,2,3
909,3,1,1,3,3
910,1,0,1,4,3
911,2,0,1,6,3
912,2,0,1,5,3
913,4,0,1,2,3
914,4,0,0,3,3
915,4,0,1,5,3
916,4,0,0,2,3
917,3,0,1,2,3
918,4,0,1,2,3
919,4,0,1,5,3
920,4,0,1,1,3
921,3,0,1,2,3
922,1,1,1,5,3
923,2,0,1,1,3
924,1,0,1,6,3
925,3,0,1,5,3
926,2,0,0,6,3
927,1,0,1,6,3
928,4,0,1,3,3
929,3,0,1,3,3
930,3,0,1,4,3
931,4,0,1,3,3
932,2,0,1,4,3
933,4,0,1,2,3
934,4,0,1,4,3
935,4,0,1,3,3
936,3,0,0,2,3
937,4,0,0,3,3
938,3,0,0,3,3
939,4,0,1,6,3
940,2,0,1,4,3
941,1,0,1,6,3
942,2,0,0,0,3
943,3,0,1,1,3
944,2,0,1,1,3
945,2,0,0,2,3
946,2,0,1,1,3
947,1,0,0,4,3
948,3,0,1,4,3
949,2,0,1,5,3
950,3,0,0,4,3
951,3,0,1,3,3
952,3,0,1,4,3
953,1,0,0,2,3
954,3,0,1,2,3
955,3,0,0,9,3
956,2,0,1,1,3
957,2,0,1,5,3
958,3,0,1,7,3
959,2,0,1,8,3
960,2,0,1,3,3
961,4,0,0,3,3
962,3,0,1,4,3
963,3,0,1,1,3
964,4,0,0,4,3
965,2,0,0,3,3
966,3,0,0,4,3
967,4,0,0,3,3
968,3,0,1,5,3
969,4,0,1,2,3
970,4,0,1,1,3
971,4,0,1,2,3
972,4,0,1,2,3
973,1,0,1,2,3
974,4,0,1,3,3
975,4,0,1,3,3
976,2,0,0,3,3
977,4,1,0,3,3
978,3,0,1,2,3
979,4,0,1,3,3
980,3,0,1,3,3
981,4,0,1,3,3
982,4,0,1,3,3
983,4,0,1,2,3
984,4,0,0,3,3
985,4,0,0,4,3
986,4,0,1,1,3
987,4,0,1,3,3
988,2,0,1,5,3
989,3,0,1,5,3
990,2,0,1,3,3
991,3,0,1,3,3
992,3,0,0,3,3
993,3,0,1,9,3
994,4,0,1,1,3
995,2,1,0,3,3
996,2,0,0,4,3
997,2,0,1,6,3
998,2,1,1,11,3
999,1,1,0,9,3
1000,2,1,0,6,1
1001,3,0,1,11,1
1002,2,0,0,1,1
1003,4,0,0,0,1
1004,2,0,1,2,1
1005,1,1,0,1,1
1006,4,0,0,0,1
1007,3,0,1,2,1
1008,4,0,1,1,1
1009,2,0,1,2,1
1010,2,0,1,3,1
1011,2,0,1,1,1
1012,3,0,1,4,1
1013,1,0,1,12,1
1014,4,0,1,2,1
1015,4,0,1,0,1
1016,3,0,1,0,1
1017,4,0,1,1,1
1018,2,0,1,1,1
1019,2,0,1,3,1
1020,1,1,1,4,1
1021,2,0,1,1,1
1022,3,0,0,0,1
1023,4,0,0,1,1
1024,4,0,0,1,1
1025,4,0,1,2,1
1026,2,1,0,5,1
1027,2,0,1,5,1
1028,2,0,1,8,1
1029,3,0,1,10,1
1030,3,0,0,6,1
1031,3,0,1,0,1
1032,2,0,1,4,1
1033,2,0,1,4,1
1034,4,0,1,1,1
1035,4,0,1,4,1
1036,4,0,1,3,1
1037,4,0,1,2,1
1038,3,0,0,1,1
1039,3,0,0,0,1
1040,2,0,1,3,1
1041,3,0,0,2,1
1042,2,0,0,0,1
1043,1,0,0,0,1
1044,4,0,0,3,1
1045,1,0,1,9,1
1046,2,0,1,1,1
1047,3,0,1,1,1
1048,1,0,0,0,1
1049,4,0,1,6,1
1050,3,0,1,4,1
1051,1,0,1,2,1
1052,4,0,0,0,1
1053,2,1,1,8,1
1054,4,0,1,1,1
1055,1,1,1,8,1
1056,1,1,1,8,1
1057,3,0,1,2,1
1058,1,0,1,7,1
1059,4,0,1,1,1
1060,4,0,0,1,1
1061,1,0,1,1,1
1062,3,0,1,4,1
1063,2,0,1,11,1
1064,3,0,1,2,1
1065,1,0,1,1,1
1066,1,1,1,8,1
1067,1,0,1,7,1
1068,4,0,1,4,1
1069,2,0,1,2,1
1070,1,1,1,6,1
1071,1,1,1,2,1
1072,3,0,0,1,1
1073,3,0,1,5,1
1074,1,1,1,8,1
1075,3,0,1,0,1
1076,4,0,1,3,1
1077,1,1,1,5,1
1078,3,0,1,7,1
1079,2,0,1,6,1
1080,3,0,1,3,1
1081,4,0,0,6,1
1082,4,0,0,1,1
1083,4,0,1,5,1
1084,2,0,1,0,1
1085,4,0,0,0,1
1086,4,0,0,2,1
1087,2,0,1,8,1
1088,3,0,1,5,1
1089,1,0,0,0,1
1090,2,0,1,0,1
1091,3,0,1,2,1
1092,3,0,1,5,1
1093,3,0,1,1,1
1094,1,1,1,6,1
1095,3,0,1,1,1
1096,3,0,1,2,1
1097,3,0,1,1,1
1098,1,0,1,1,1
1099,3,1,1,4,1
1100,4,0,0,1,1
1101,4,0,1,3,1
1102,3,0,1,2,1
1103,3,0,0,1,1
1104,4,1,1,0,1
1105,2,0,1,6,1
1106,3,0,1,0,1
1107,2,0,1,7,1
1108,2,0,1,1,1
1109,4,0,1,3,1
1110,2,0,0,9,1
1111,4,0,0,1,1
1112,3,0,1,1,1
1113,2,0,1,2,1
1114,3,0,0,0,1
1115,4,0,1,1,1
1116,4,0,1,1,1
1117,4,0,1,0,1
1118,4,0,1,5,1
1119,1,0,0,4,1
1120,2,0,1,10,1
1121,2,1,1,6,1
1122,3,0,1,4,1
1123,2,1,1,2,1
1124,2,0,1,6,1
1125,3,0,1,5,1
1126,4,0,1,2,1
1127,1,0,1,2,1
1128,4,0,0,3,1
1129,4,0,1,2,1
1130,2,0,0,6,1
1131,1,0,0,7,1
1132,4,0,1,5,1
1133,3,0,0,0,1
1134,3,0,1,0,1
1135,2,0,0,1,1
1136,3,0,1,1,1
1137,3,0,0,4,1
1138,3,0,1,11,1
1139,2,0,1,12,1
1140,2,0,1,1,1
1141,4,0,1,1,1
1142,1,0,1,12,1
1143,4,0,1,3,1
