,type_cat,hair_cat,feathers_cat,eggs_cat,milk_cat,airborne_cat,aquatic_cat,predator_cat,toothed_cat,backbone_cat,breathes_cat,venomous_cat,fins_cat,legs_num,tail_cat,domestic_cat,catsize_cat
57,bird,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,True,False
58,bird,False,True,True,False,False,True,True,False,True,True,False,False,2.0,True,False,True
59,bird,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,False
60,fish,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,True
61,fish,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,False
62,reptile,False,False,True,False,False,False,True,True,True,True,True,False,0.0,True,False,False
63,mammal,True,False,True,True,False,True,True,False,True,True,False,False,4.0,True,False,True
64,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
65,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,True
66,mammal,False,False,False,True,False,True,True,True,True,True,False,True,0.0,True,False,True
67,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
68,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,True,True
69,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
70,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,True,True
71,bird,False,True,True,False,False,False,True,False,True,True,False,False,2.0,True,False,True
72,invertebrate,False,False,False,False,False,False,True,False,False,True,True,False,8.0,True,False,False
73,fish,False,False,True,False,False,True,False,True,True,False,False,True,0.0,True,False,False
74,mammal,True,False,False,True,False,True,True,True,True,True,False,True,0.0,False,False,True
75,mammal,True,False,False,True,False,True,True,True,True,True,False,True,2.0,True,False,True
76,reptile,False,False,False,False,False,True,True,True,True,False,True,False,0.0,True,False,False
77,invertebrate,False,False,True,False,False,True,True,False,False,False,True,False,0.0,False,False,False
78,bird,False,True,True,False,True,True,True,False,True,True,False,False,2.0,True,False,False
79,bird,False,True,True,False,True,True,True,False,True,True,False,False,2.0,True,False,False
80,reptile,False,False,True,False,False,False,True,True,True,True,False,False,0.0,True,False,False
81,invertebrate,False,False,True,False,False,False,False,False,False,True,False,False,0.0,False,False,False
82,fish,False,False,True,False,False,True,False,True,True,False,False,True,0.0,True,False,False
83,bird,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,False
84,mammal,True,False,False,True,False,False,False,True,True,True,False,False,2.0,True,False,False
85,invertebrate,False,False,True,False,False,True,True,False,False,False,False,False,5.0,False,False,False
86,fish,False,False,True,False,False,True,True,True,True,False,True,True,0.0,True,False,True
87,bird,False,True,True,False,True,True,False,False,True,True,False,False,2.0,True,False,True
88,insect,False,False,True,False,False,False,False,False,False,True,False,False,6.0,False,False,False
89,amphibian,False,False,True,False,False,True,False,True,True,True,False,False,4.0,False,False,False
90,reptile,False,False,True,False,False,False,False,False,True,True,False,False,4.0,True,False,True
91,reptile,False,False,True,False,False,False,True,True,True,True,False,False,4.0,True,False,False
92,fish,False,False,True,False,False,True,True,True,True,False,False,True,0.0,True,False,True
93,mammal,True,False,False,True,True,False,False,True,True,True,False,False,2.0,True,False,False
94,mammal,True,False,False,True,False,False,False,True,True,True,False,False,4.0,True,False,False
95,bird,False,True,True,False,True,False,True,False,True,True,False,False,2.0,True,False,True
96,mammal,True,False,False,True,False,False,False,True,True,True,False,False,2.0,True,False,True
97,insect,True,False,True,False,True,False,False,False,False,True,True,False,6.0,False,False,False
98,mammal,True,False,False,True,False,False,True,True,True,True,False,False,4.0,True,False,True
99,invertebrate,False,False,True,False,False,False,False,False,False,True,False,False,0.0,False,False,False
100,bird,False,True,True,False,True,False,False,False,True,True,False,False,2.0,True,False,False
