,day_num,pm10_concentration_num,cars_per_hour_num,temperature_at_2m_num,wind_speed_num,temperature_diff_2m_25m_num,wind_direction_num,hour_of_day_num
46,402,3.8712,4.77068,-0.5,0.5,0.7,358.0,4
47,208,4.00733,7.88721,7.6,4.0,-0.6,180.0,13
48,567,2.94444,5.42053,3.4,2.9,0.4,74.7,3
49,205,3.09104,3.80666,7.4,3.2,-0.1,225.0,3
50,418,1.94591,4.8752,-3.5,3.8,-0.1,60.5,3
51,206,3.52636,8.25088,19.8,4.8,-1.9,260.0,17
52,605,3.8712,7.85516,16.3,3.4,-0.1,225.3,20
53,506,2.99573,8.25427,-7.3,5.0,0.0,60.0,8
54,422,4.07754,7.36201,-0.6,0.8,1.1,88.3,21
55,430,3.21888,7.59388,-0.4,4.5,-0.2,64.6,13
56,599,3.49651,8.35208,17.8,5.0,-2.5,219.6,16
57,172,3.2581,4.62497,-1.9,2.2,2.2,268.0,4
58,449,2.99573,7.39879,-10.0,3.8,-0.1,78.4,20
59,397,2.70805,6.48616,-1.3,2.9,0.7,63.3,24
60,588,3.09104,6.20456,4.7,1.5,1.1,104.4,1
61,130,4.06044,7.64348,0.3,1.5,-0.3,172.0,13
62,577,3.61092,7.59337,8.8,2.2,0.0,186.0,21
63,450,2.56495,6.43455,-9.3,3.6,0.1,71.2,9
64,418,1.60944,7.00033,-2.4,5.8,0.0,61.0,22
65,543,5.0876,7.49499,2.9,1.2,2.1,271.1,21
66,128,2.30259,7.80221,2.5,5.0,0.1,135.0,7
67,606,3.2581,7.55276,13.4,3.9,0.3,216.8,19
68,460,3.66356,6.82979,-15.5,3.1,0.2,70.3,22
69,501,3.04452,7.49053,-1.6,2.2,-0.9,211.7,12
70,66,3.4012,7.59035,0.1,2.6,-0.1,73.0,11
71,155,3.04452,5.51745,-2.8,0.5,2.2,5.0,5
72,67,3.4012,8.18619,-0.9,1.3,0.6,57.0,8
73,86,3.55535,5.95842,-10.3,1.2,2.5,86.0,24
74,401,3.97029,7.55276,-4.1,0.7,-0.7,264.8,13
75,166,4.72739,7.77022,-3.8,4.9,-0.2,68.0,7
76,212,4.30407,7.99834,8.2,5.6,-0.6,210.0,15
77,441,2.56495,7.15305,-4.8,4.7,-0.1,74.6,23
78,82,3.78419,7.95997,-4.3,6.0,0.1,18.0,13
79,200,4.95583,6.57508,6.2,1.3,1.1,226.0,24
80,557,3.66356,7.88231,3.3,5.8,-0.1,46.9,19
81,44,5.26786,7.43603,-1.0,1.8,1.4,89.0,20
82,165,3.46574,4.95583,-4.0,1.7,1.0,65.0,2
83,604,2.07944,5.1299,7.8,1.6,1.7,184.3,4
84,451,3.3673,7.20638,-5.3,1.8,-0.2,80.0,13
85,470,3.29584,7.46107,2.2,3.1,0.1,62.3,13
86,588,2.19722,7.53209,14.8,4.2,-4.5,227.7,11
87,100,3.43399,8.13359,-4.8,1.5,0.0,196.0,17
88,602,3.2581,6.91771,12.8,1.0,0.3,103.5,24
89,427,2.83321,7.12206,-3.2,4.6,-0.1,62.2,12
90,541,3.63759,8.2845,0.7,0.8,-0.8,86.0,8
91,482,2.70805,7.56528,3.5,6.9,0.2,204.4,15
92,517,2.99573,7.65112,-6.8,2.2,-0.4,78.8,16
93,532,4.00733,7.67183,8.3,0.7,-1.3,206.2,14
94,461,3.43399,6.31173,-19.0,2.3,0.8,60.9,8
95,578,0.69315,7.0775,7.0,4.0,-0.2,54.3,10
96,457,3.52636,7.34148,-14.6,1.6,-0.4,228.9,14
97,42,2.63906,7.96346,3.6,3.2,1.2,268.0,18
98,107,1.94591,7.35116,3.5,1.9,0.2,215.0,20
99,155,3.71357,7.54115,5.2,0.9,-1.0,280.0,11
100,85,2.83321,6.64249,-8.3,2.6,0.2,60.0,23
101,507,3.43399,7.56579,0.6,3.8,-0.4,64.6,12
102,124,3.29584,8.1806,-0.5,0.7,-0.2,248.0,15
103,38,3.17805,7.60738,1.0,2.4,-0.1,192.0,13
104,94,4.81218,7.54327,-8.0,0.6,0.5,88.0,13
105,470,4.63473,8.20985,-3.0,1.5,2.7,89.6,8
106,195,3.04452,5.76205,5.0,3.2,0.0,58.0,6
107,137,3.8712,6.91274,-5.1,0.8,1.4,241.0,23
108,72,3.68888,8.19781,0.2,2.4,0.5,80.0,8
109,188,4.33073,7.6024,12.9,5.6,-0.8,46.0,13
110,45,4.61512,7.54327,2.6,2.6,-1.9,243.0,11
111,556,4.43082,7.70661,7.8,8.0,-1.2,33.7,13
112,542,3.4012,5.54518,-0.7,2.0,-0.3,254.0,1
113,209,2.48491,7.68432,7.7,1.5,-0.1,89.0,16
114,422,3.29584,7.90064,1.5,1.3,0.9,334.7,18
115,595,2.94444,7.76684,15.8,3.2,-0.2,125.5,17
116,156,3.3673,7.97797,4.3,5.7,-1.0,232.0,9
117,577,2.89037,7.89767,8.1,6.4,-0.5,199.4,7
118,193,4.90527,8.24065,11.6,6.0,-1.3,213.0,16
119,69,2.63906,7.07581,2.8,3.2,0.3,223.0,10
120,82,3.29584,7.7424,-4.4,4.9,-0.1,23.0,10
121,98,3.71357,6.97915,-5.1,3.3,1.4,81.0,23
122,536,4.39445,8.27741,2.0,2.5,-0.3,207.2,16
123,600,3.82864,8.01268,10.0,4.8,-0.5,83.2,9
124,70,2.56495,5.78996,1.1,4.0,-0.1,79.0,3
125,210,3.3322,7.45934,6.1,2.5,0.0,92.0,22
126,538,3.13549,6.22851,0.1,1.9,1.1,208.8,6
127,405,0.69315,6.45362,-2.6,4.9,0.2,38.3,23
128,184,4.00733,7.7178,7.9,0.4,0.5,276.0,19
129,474,3.2581,7.92696,4.8,9.4,0.6,204.0,14
130,545,3.2581,6.56244,2.6,2.8,-0.7,224.1,8
131,94,4.84419,8.17273,-9.6,1.1,1.3,191.0,16
132,510,2.63906,5.1299,-1.5,2.5,-0.1,245.1,4
133,473,1.38629,4.54329,3.8,5.8,0.7,201.9,3
134,527,3.2581,5.71043,1.8,2.7,0.9,181.9,1
135,121,2.30259,8.19257,-0.7,4.1,0.6,252.0,8
136,533,3.09104,5.00395,3.6,2.7,1.2,344.7,4
137,155,2.94444,7.39817,3.9,6.2,0.7,206.0,20
138,196,3.4012,6.63988,4.7,3.6,0.0,59.0,24
139,167,2.99573,6.29342,-2.5,4.9,-0.2,84.0,7
140,89,3.82864,7.4378,-9.9,4.5,-0.1,55.0,11
141,63,2.30259,7.7977,1.7,2.0,0.3,38.0,15
142,97,4.29046,7.33629,-12.8,3.5,0.0,79.0,19
143,555,4.41884,7.51589,4.3,2.1,0.6,32.3,20
144,64,3.3673,7.70841,2.1,3.1,0.0,79.0,10
145,114,2.30259,4.64439,-2.2,4.9,-0.1,77.0,2
146,155,3.98898,7.77402,3.3,1.8,-0.3,220.0,10
147,184,4.12713,5.05625,5.6,3.5,-0.1,78.0,4
148,79,3.68888,5.86363,-0.6,0.6,1.7,142.0,1
149,474,2.30259,5.52943,3.4,4.7,0.8,220.1,5
150,53,3.29584,7.91754,0.2,2.8,0.4,335.0,15
151,84,3.13549,6.74052,-6.4,2.8,-0.1,77.0,22
152,578,2.07944,6.53669,8.0,1.9,-0.2,54.6,8
153,529,5.25227,7.82844,3.6,0.8,1.5,87.7,19
154,448,3.78419,7.74846,-13.4,4.0,0.2,74.1,13
155,485,3.97029,5.71043,-2.1,1.3,1.8,87.8,1
156,450,2.99573,5.64897,-8.7,4.3,-0.2,74.5,1
157,76,2.56495,6.42972,1.6,1.3,1.0,58.0,8
158,398,3.21888,6.51323,-3.9,2.8,0.4,71.3,8
159,525,1.38629,7.93057,1.4,2.5,0.2,210.5,19
160,138,3.13549,7.59337,3.3,4.2,1.2,235.0,20
161,192,4.06044,7.19818,3.0,1.8,1.1,191.0,22
162,173,4.27667,8.23377,7.2,3.8,-0.2,31.0,15
163,515,3.49651,8.13212,-1.7,1.5,-0.1,68.0,8
164,514,3.21888,7.87284,0.8,5.0,0.1,76.2,19
165,397,4.07754,7.53102,0.1,3.5,1.2,66.3,20
166,156,4.20469,7.49276,4.5,6.6,-0.1,210.0,12
167,529,4.18965,5.65599,0.3,1.5,1.7,303.4,1
168,510,2.48491,7.07327,-0.9,1.6,-0.5,256.5,9
169,63,1.09861,6.33683,2.2,2.8,0.1,142.0,1
170,134,2.48491,7.21229,-0.6,2.1,0.1,60.0,21
171,42,2.48491,7.86978,3.2,2.6,1.3,286.0,20
172,56,0.69315,7.84031,4.1,2.7,0.2,175.0,19
173,445,4.34381,7.98344,-4.8,0.8,1.1,230.1,17
174,593,2.63906,7.03086,7.1,1.6,0.5,66.4,22
175,82,3.29584,7.90175,-4.4,3.8,0.1,15.0,9
176,197,4.17439,7.72223,7.1,3.9,-0.9,90.0,10
177,500,3.71357,8.19451,0.0,0.8,-0.3,254.2,16
178,200,4.02535,7.84698,11.6,4.2,-2.7,247.0,14
179,148,4.85203,7.58731,3.1,2.2,-3.4,227.0,11
180,191,4.64439,6.47235,1.5,1.2,1.3,101.0,24
181,584,3.63759,7.74932,15.0,7.3,-2.2,229.9,14
182,138,3.4012,8.12711,3.6,4.9,1.2,238.0,18
183,189,1.79176,5.68358,5.7,1.9,0.3,49.0,6
184,548,4.11087,7.58274,3.4,6.9,-0.1,194.9,11
185,189,3.3673,8.01434,10.1,2.4,-0.3,44.0,17
186,398,4.44265,7.65539,-2.4,2.6,0.7,78.3,18
187,157,2.77259,7.83716,0.2,4.5,0.0,80.0,7
188,462,3.71357,6.9921,-15.0,3.3,0.6,66.0,23
189,537,5.17048,8.08209,5.2,7.2,-1.3,202.7,14
190,170,3.09104,7.85554,4.1,3.4,0.1,79.0,7
191,160,2.70805,7.68064,6.3,9.4,0.2,248.0,16
192,538,4.11087,7.5438,8.7,4.0,-1.2,216.3,14
193,556,4.79579,8.30598,2.4,4.2,-0.7,65.1,8
194,77,2.3979,5.95324,-5.3,1.0,2.2,60.0,9
195,69,2.99573,6.2634,2.5,4.3,-0.1,79.0,24
196,212,3.13549,8.25036,9.3,5.4,-0.8,213.0,16
197,519,3.43399,7.61776,-5.6,3.1,-0.5,77.4,11
198,471,3.4012,7.44425,5.6,7.0,1.0,248.1,12
199,51,3.09104,7.87169,-1.7,0.5,0.0,218.0,18
200,409,4.45435,7.64492,-5.6,4.9,-0.1,56.7,7
201,520,4.18965,7.46851,-3.5,0.7,0.2,165.1,20
202,96,3.73767,8.18256,-11.2,3.7,0.2,78.0,16
203,489,4.20469,5.10595,-11.9,0.6,0.8,286.5,4
204,32,2.56495,5.79301,2.1,2.6,3.1,241.0,1
205,145,2.56495,7.14125,1.0,4.5,1.3,232.0,21
206,547,4.85981,7.69303,8.8,3.6,-2.5,85.4,12
207,122,5.25227,7.23056,-4.6,6.5,0.1,80.0,21
208,518,2.63906,6.0845,-5.8,2.0,-0.3,107.5,1
209,76,3.13549,5.72031,1.0,1.8,0.6,92.0,3
210,112,1.94591,6.81892,0.1,1.7,-0.1,214.0,11
211,397,3.4012,5.67332,-1.9,0.9,3.7,109.2,5
212,43,4.72739,8.26178,1.0,3.4,1.3,248.0,8
213,531,3.3673,5.92959,2.1,3.8,0.5,64.2,1
214,572,3.2581,7.53262,6.1,2.5,-0.1,182.5,21
215,113,3.73767,8.11761,0.2,0.8,0.9,11.0,16
216,80,1.79176,7.98446,1.9,5.8,0.2,9.0,9
217,582,4.06044,7.7463,11.8,6.0,-0.7,212.7,14
218,423,3.91202,8.19229,-4.4,1.5,0.5,87.9,8
219,62,0.69315,6.43294,1.9,2.4,0.1,133.0,24
220,34,1.60944,5.2832,8.6,1.8,1.5,242.0,3
221,556,4.46591,8.22336,9.1,9.4,-0.5,39.4,16
222,602,3.17805,7.68983,13.0,0.3,0.4,114.0,22
223,141,2.89037,6.70564,1.8,0.8,0.1,269.0,6
224,554,4.17439,7.58426,4.0,3.1,-1.7,103.7,12
225,95,3.73767,8.04943,-7.8,0.6,-0.1,177.0,17
226,573,4.00733,7.72886,8.7,5.5,-0.4,132.3,14
227,436,3.04452,7.51806,-4.9,4.1,-0.2,73.8,13
228,90,2.63906,7.58172,-8.8,8.1,-0.1,53.0,18
229,397,4.11087,8.28425,2.9,3.3,0.8,22.1,17
230,507,4.47734,8.01731,0.4,3.9,0.7,67.4,18
231,151,3.17805,7.67786,-0.7,4.3,-0.4,59.0,13
232,526,3.3322,7.8598,4.2,2.7,1.1,230.7,18
233,131,0.69315,4.79579,2.7,2.8,0.2,187.0,4
234,184,4.58497,7.66528,7.4,0.9,-0.2,55.0,13
235,171,0.69315,4.36945,0.6,4.6,0.1,350.0,3
236,571,3.4012,7.5251,6.0,3.5,-0.2,78.1,21
237,525,2.07944,7.73849,1.6,1.6,0.3,211.3,21
238,164,4.55388,7.62071,3.4,5.9,-0.6,45.0,13
239,202,3.21888,5.39363,3.3,1.7,-0.1,187.0,4
240,441,2.77259,5.87774,-5.4,5.1,-0.2,72.2,2
241,587,3.29584,5.8522,4.2,1.7,1.0,175.0,5
242,61,3.3322,8.02027,2.0,6.0,-0.1,152.0,18
243,457,4.02535,7.23706,-14.2,1.4,-0.1,238.1,18
244,540,4.38203,7.83281,9.4,2.9,-0.3,248.4,15
245,480,2.99573,4.60517,1.5,1.1,0.2,233.7,3
246,54,3.55535,8.11073,0.6,6.8,0.3,10.0,8
247,64,3.2581,7.57917,2.5,3.0,-0.2,83.0,13
248,554,4.47734,8.31361,-0.3,3.0,-0.8,71.8,8
249,563,4.06044,4.86753,1.4,0.7,1.5,79.4,4
250,507,3.21888,7.50879,-0.7,4.0,-0.5,65.1,11
251,143,4.46591,6.51323,-8.1,0.7,1.2,111.0,24
252,97,3.13549,6.6107,-13.1,3.5,0.0,83.0,9
253,586,2.30259,4.70048,6.3,6.0,0.9,219.2,2
254,74,3.61092,6.94986,-3.8,0.7,-0.2,258.0,23
255,470,3.13549,5.72685,-3.6,0.8,4.0,302.4,5
256,521,3.89182,8.16337,-1.1,1.5,-0.2,157.4,16
257,595,3.21888,7.7012,15.8,3.9,-0.4,119.5,15
258,507,3.17805,4.45435,-5.1,3.4,0.4,58.4,3
259,205,3.73767,8.28248,8.5,3.1,-0.7,238.0,8
260,114,2.3979,8.05833,-2.1,4.1,-0.2,82.0,8
261,509,3.68888,7.90027,1.5,0.5,-0.6,99.2,13
262,32,4.26268,7.34148,3.0,0.8,0.6,86.0,21
263,488,4.94164,7.90027,-12.6,2.2,0.2,77.8,19
264,169,3.29584,7.65917,3.0,3.1,-0.1,221.0,14
265,90,2.07944,5.60947,-5.2,2.9,0.1,60.0,2
266,169,2.19722,7.15227,3.5,0.9,0.2,265.0,22
267,404,2.07944,5.42495,2.8,1.3,0.0,75.8,2
268,173,4.54329,7.8071,6.5,4.3,-1.1,44.0,11
269,574,2.07944,7.94839,2.5,3.6,-0.1,54.7,16
270,166,4.36945,8.34069,6.3,4.2,-0.1,76.0,16
271,51,3.97029,7.54062,-1.4,1.7,-0.2,86.0,12
272,533,3.98898,5.89164,1.7,1.1,2.4,173.1,1
273,557,2.99573,7.52402,2.4,7.9,-0.1,43.5,21
274,55,3.52636,6.43294,-0.1,1.6,-0.2,75.0,22
275,69,2.99573,7.50219,3.1,1.7,0.3,269.0,12
276,551,5.39363,8.04045,12.9,8.3,-1.1,357.5,14
277,448,3.63759,7.31986,-13.4,3.8,0.1,75.0,11
278,491,2.30259,5.43372,0.7,3.9,0.1,182.9,2
279,533,4.92725,7.94058,2.4,1.0,0.4,110.7,7
280,149,2.94444,8.17808,-1.3,5.6,-0.2,46.0,17
281,408,2.70805,7.65728,-6.3,4.0,-0.1,51.6,19
282,576,2.07944,7.56164,3.5,1.8,0.0,71.2,21
283,430,3.4012,7.98752,0.0,4.0,-0.3,78.5,9
284,535,5.05625,7.63143,11.8,2.4,-1.5,232.5,14
285,541,4.93447,7.63192,5.8,1.9,-3.1,260.8,12
286,576,2.56495,7.6324,3.1,4.7,-0.1,48.0,12
287,525,3.04452,7.9248,1.4,2.1,0.0,221.0,17
288,50,1.38629,4.30407,0.8,3.1,1.6,77.0,3
289,160,2.77259,7.67555,6.8,9.9,-0.2,249.0,15
290,557,3.91202,7.1025,1.3,8.0,0.0,61.6,23
291,585,4.35671,7.95437,6.8,1.5,-0.6,124.9,7
292,84,3.4012,7.87474,-6.8,1.0,0.0,207.0,15
293,198,4.02535,7.85166,10.5,4.4,-0.9,69.0,15
294,163,3.73767,8.26049,3.8,5.2,0.0,222.0,8
295,460,2.94444,7.7411,-12.8,3.6,0.1,68.4,14
296,563,4.09434,5.24702,1.3,0.8,1.1,72.3,5
297,155,3.04452,5.24175,-4.2,1.4,3.6,230.0,2
298,111,3.17805,7.55224,-0.6,2.5,-0.1,75.0,13
299,82,2.56495,7.96242,-6.1,5.2,0.4,27.0,18
300,126,2.63906,6.85751,5.1,5.5,0.1,230.0,10
301,65,3.09104,8.1191,0.8,3.0,-0.1,78.0,17
302,68,3.4012,8.00068,-4.4,3.7,-0.1,78.0,14
303,451,2.19722,4.11087,-6.5,2.1,-0.1,68.2,5
304,513,3.7612,4.81218,-3.7,0.9,-0.1,281.3,4
305,473,2.77259,6.42811,0.7,2.9,1.4,229.6,24
306,401,3.4012,4.95583,-5.7,3.3,0.6,72.0,2
307,564,3.61092,6.16121,8.4,3.3,0.7,80.5,24
308,72,3.3673,6.55251,-0.2,2.8,0.7,71.0,23
309,40,0.69315,5.1299,-1.9,4.5,0.4,17.0,2
310,118,2.94444,5.18739,-7.3,1.9,0.5,85.0,3
311,49,4.17439,7.91608,0.1,2.1,2.0,77.0,18
312,406,2.83321,7.33954,-5.9,2.9,0.2,64.6,22
313,211,3.04452,7.0076,4.7,5.6,0.0,69.0,23
314,472,3.2581,7.87664,4.2,4.4,0.6,189.8,15
315,61,3.21888,7.23778,2.1,5.4,0.1,159.0,21
316,513,4.23411,7.64348,-0.5,2.1,-2.0,247.8,14
317,101,4.81218,7.08339,-3.7,1.1,0.1,192.0,22
318,547,4.39445,7.95718,6.5,6.2,-0.1,210.8,18
319,43,2.63906,6.42162,2.1,4.1,0.7,260.0,24
320,102,3.2581,7.29029,-3.1,1.0,-0.2,211.0,21
321,91,1.94591,5.42495,-12.8,0.8,1.2,55.0,6
322,105,2.94444,7.29029,3.8,4.3,0.5,210.0,22
323,482,2.56495,7.52348,3.4,6.0,0.2,191.0,14
324,68,3.21888,5.63479,-4.2,2.1,1.1,91.0,2
325,124,2.77259,7.97694,-1.7,5.2,0.0,76.0,8
326,173,4.61512,7.78197,5.4,3.6,-1.1,44.0,10
327,140,1.60944,5.743,3.4,4.9,0.7,243.0,2
328,553,2.07944,5.743,-0.2,5.6,0.2,16.6,2
329,533,3.8712,5.62762,2.1,1.5,2.0,227.8,5
330,456,3.17805,7.85477,-12.5,3.2,0.2,82.1,15
331,409,3.58352,7.56941,-4.1,4.3,-0.1,44.7,14
332,83,4.68213,7.08087,-9.8,0.5,0.2,131.0,21
333,441,2.56495,7.43603,-4.9,4.7,-0.1,79.6,21
334,90,2.30259,6.11368,-5.2,3.5,0.0,59.0,1
335,480,3.55535,7.97488,-1.6,3.5,0.5,34.5,18
336,207,3.46574,6.69084,6.4,1.2,0.0,188.0,6
337,127,2.48491,7.79523,2.0,2.8,1.6,242.0,18
338,93,4.21951,5.21494,-8.5,1.5,2.8,279.0,10
339,482,2.30259,7.65112,3.6,7.6,0.5,199.3,17
340,524,2.70805,6.12905,0.4,0.8,0.1,297.0,7
341,411,2.99573,8.08979,1.2,3.6,0.1,63.9,15
342,504,2.48491,5.76519,-3.5,3.2,0.0,240.2,2
343,549,3.13549,8.06401,3.6,2.3,-0.3,9.4,9
344,91,4.15888,7.39265,-14.9,1.9,0.8,65.0,20
345,70,1.79176,6.43294,1.0,2.5,-0.2,75.0,10
346,51,3.29584,7.62462,-1.7,1.6,-0.1,172.0,19
347,565,2.83321,5.22036,3.4,1.1,1.4,89.0,6
348,34,3.52636,6.35611,6.9,7.0,0.8,220.0,24
349,101,3.2581,4.47734,-4.8,2.5,0.4,84.0,3
350,197,3.98898,6.50279,4.2,3.9,0.6,78.0,24
351,523,1.60944,6.88959,1.5,4.0,0.1,240.4,22
352,468,3.49651,7.32909,-2.9,1.9,1.7,337.8,19
353,408,3.17805,7.3601,-8.2,4.7,-0.2,76.5,11
354,185,4.67283,7.77107,7.0,3.1,-0.3,73.0,10
355,578,3.43399,6.16121,8.1,1.9,-0.1,211.9,1
356,128,2.07944,7.97281,3.7,4.2,0.2,172.0,9
357,473,3.29584,7.90323,0.7,2.1,1.3,207.1,18
358,39,2.30259,8.16223,0.4,8.6,0.1,34.0,17
359,86,2.07944,4.83628,-10.4,1.9,1.1,75.0,7
360,57,0.69315,4.91998,6.5,4.5,0.4,206.0,2
361,587,3.13549,7.47591,9.0,4.6,-0.9,208.7,10
362,188,3.82864,7.52941,10.1,1.1,-3.1,255.0,11
363,416,3.8712,7.88796,-0.3,1.7,0.4,26.9,15
364,38,2.99573,4.47734,-4.4,2.6,0.8,85.0,4
365,158,3.2581,7.73281,1.7,1.5,1.1,345.0,19
366,68,3.3322,6.93245,-3.2,0.8,-0.1,260.0,22
367,85,3.49651,7.65634,-5.9,3.1,-0.1,77.0,16
368,107,1.94591,7.0193,3.7,3.6,0.1,195.0,22
369,177,4.57471,8.0762,9.9,2.2,0.0,92.0,16
370,190,3.91202,7.90175,7.4,4.3,-0.3,178.0,18
371,197,3.80666,6.89669,5.1,2.5,0.7,80.0,23
372,194,3.93183,4.30407,3.2,1.5,0.4,75.0,3
373,477,2.48491,5.15906,0.0,4.3,0.1,102.7,3
374,441,3.13549,7.82764,-5.6,6.1,-0.2,79.5,17
375,542,2.94444,7.02554,0.7,2.4,-0.2,232.5,23
376,567,3.4012,7.90175,15.1,2.9,0.2,113.9,19
377,124,1.94591,5.73334,-2.2,4.3,-0.1,72.0,5
378,511,3.17805,5.34711,-3.8,2.7,-0.2,80.5,3
379,474,3.21888,7.58477,4.2,6.5,0.4,214.3,11
380,462,2.63906,6.84055,-13.1,4.8,-0.2,52.8,11
381,430,3.3322,7.55381,-0.2,3.9,-0.2,79.6,12
382,61,2.70805,4.78749,1.5,3.2,0.1,153.0,4
383,540,3.78419,6.86485,0.8,1.5,-0.1,231.5,23
384,122,3.78419,7.81197,-6.6,2.2,1.3,87.0,7
385,574,1.60944,7.89469,2.1,4.0,-0.1,47.8,14
386,60,3.3673,7.76132,1.7,2.9,-0.1,81.0,14
387,427,3.04452,6.07764,-4.1,5.4,-0.1,66.5,1
388,568,4.45435,7.80954,18.2,3.7,-2.7,250.7,15
389,473,1.94591,5.4848,2.2,2.0,1.9,253.8,5
390,450,2.63906,5.27811,-7.8,4.6,-0.1,71.5,19
391,85,3.3322,7.76684,-5.4,3.0,-0.2,77.0,14
392,507,3.43399,5.5835,-4.5,4.1,0.3,59.4,1
393,212,3.89182,7.86634,8.0,6.1,0.1,197.0,19
394,128,2.19722,8.19644,2.7,3.8,0.2,139.0,8
395,116,4.59512,7.59186,-5.6,3.9,-0.2,41.0,13
396,190,3.49651,5.54126,4.6,0.9,0.5,108.0,5
397,584,2.83321,7.55799,12.0,4.4,0.2,274.2,20
398,33,2.19722,6.51471,4.4,2.0,0.7,205.0,6
399,196,2.89037,6.21461,4.5,3.5,0.0,55.0,9
400,483,3.4012,6.63988,0.2,0.5,1.4,84.8,24
401,457,2.99573,6.02345,-18.6,2.3,0.1,79.4,7
402,175,3.73767,7.62413,0.1,2.6,1.5,230.0,19
403,590,2.94444,5.84064,7.4,4.3,0.3,189.6,1
404,583,3.58352,8.32579,7.6,4.2,0.0,224.1,8
405,577,3.29584,7.32053,8.6,2.6,-0.1,189.2,22
406,143,4.8752,7.91571,-2.5,3.6,0.0,64.0,15
407,177,4.33073,7.7424,10.6,1.8,-1.6,245.0,14
408,51,3.29584,6.91771,-1.6,1.1,0.0,282.0,23
409,545,3.78419,7.78239,5.0,3.1,-0.4,230.0,16
410,126,3.61092,5.18739,5.2,4.4,0.8,206.0,4
411,587,2.83321,6.14204,5.3,2.3,1.2,153.1,1
412,464,3.7612,5.48064,-13.1,1.1,1.3,62.9,5
413,562,3.58352,5.2933,3.3,2.2,0.5,77.1,2
414,522,3.17805,5.4848,-0.8,3.5,0.0,176.8,5
415,521,3.52636,5.03044,-4.0,1.5,-0.1,108.2,2
416,167,4.21951,7.6406,1.7,2.3,-0.3,85.0,15
417,173,3.93183,8.29255,6.1,4.2,0.3,23.0,17
418,189,2.30259,5.70378,5.8,2.8,0.0,43.0,7
419,204,3.2581,5.4848,5.7,3.3,0.5,228.0,5
420,594,2.70805,7.02997,14.9,2.8,-5.0,255.5,10
421,165,3.55535,5.31321,-5.7,2.2,0.6,82.0,5
