,Count_num,Political_system_cat,Age_cat,Time_of_survey_cat,Schooling_cat,Region_cat
76,7,Very_well,30-44,1991,Basic,East_Germany
77,9,Very_well,30-44,1991,Medium,East_Germany
78,0,Very_well,30-44,1991,Upper_medium,East_Germany
79,1,Very_well,30-44,1991,Intensive,East_Germany
80,0,Very_poorly,45-59,1991,Basic_incomplete,West_Germany
81,26,Very_poorly,45-59,1991,Basic,West_Germany
82,4,Very_poorly,45-59,1991,Medium,West_Germany
83,2,Very_poorly,45-59,1991,Upper_medium,West_Germany
84,5,Very_poorly,45-59,1991,Intensive,West_Germany
85,0,Very_poorly,45-59,1991,Basic_incomplete,East_Germany
86,4,Very_poorly,45-59,1991,Basic,East_Germany
87,0,Very_poorly,45-59,1991,Medium,East_Germany
88,0,Very_poorly,45-59,1991,Upper_medium,East_Germany
89,2,Very_poorly,45-59,1991,Intensive,East_Germany
90,2,Poorly,45-59,1991,Basic_incomplete,West_Germany
91,120,Poorly,45-59,1991,Basic,West_Germany
92,62,Poorly,45-59,1991,Medium,West_Germany
93,17,Poorly,45-59,1991,Upper_medium,West_Germany
94,29,Poorly,45-59,1991,Intensive,West_Germany
95,14,Poorly,45-59,1991,Basic_incomplete,East_Germany
96,134,Poorly,45-59,1991,Basic,East_Germany
97,50,Poorly,45-59,1991,Medium,East_Germany
98,5,Poorly,45-59,1991,Upper_medium,East_Germany
99,32,Poorly,45-59,1991,Intensive,East_Germany
100,1,Well,45-59,1991,Basic_incomplete,West_Germany
101,27,Well,45-59,1991,Basic,West_Germany
102,10,Well,45-59,1991,Medium,West_Germany
103,2,Well,45-59,1991,Upper_medium,West_Germany
104,3,Well,45-59,1991,Intensive,West_Germany
105,13,Well,45-59,1991,Basic_incomplete,East_Germany
106,61,Well,45-59,1991,Basic,East_Germany
107,18,Well,45-59,1991,Medium,East_Germany
108,3,Well,45-59,1991,Upper_medium,East_Germany
109,18,Well,45-59,1991,Intensive,East_Germany
110,0,Very_well,45-59,1991,Basic_incomplete,West_Germany
111,6,Very_well,45-59,1991,Basic,West_Germany
112,2,Very_well,45-59,1991,Medium,West_Germany
113,0,Very_well,45-59,1991,Upper_medium,West_Germany
114,0,Very_well,45-59,1991,Intensive,West_Germany
115,1,Very_well,45-59,1991,Basic_incomplete,East_Germany
116,7,Very_well,45-59,1991,Basic,East_Germany
117,3,Very_well,45-59,1991,Medium,East_Germany
118,0,Very_well,45-59,1991,Upper_medium,East_Germany
119,2,Very_well,45-59,1991,Intensive,East_Germany
120,2,Very_poorly,60-74,1991,Basic_incomplete,West_Germany
121,41,Very_poorly,60-74,1991,Basic,West_Germany
122,12,Very_poorly,60-74,1991,Medium,West_Germany
123,1,Very_poorly,60-74,1991,Upper_medium,West_Germany
124,7,Very_poorly,60-74,1991,Intensive,West_Germany
125,0,Very_poorly,60-74,1991,Basic_incomplete,East_Germany
126,4,Very_poorly,60-74,1991,Basic,East_Germany
127,1,Very_poorly,60-74,1991,Medium,East_Germany
128,0,Very_poorly,60-74,1991,Upper_medium,East_Germany
129,0,Very_poorly,60-74,1991,Intensive,East_Germany
130,6,Poorly,60-74,1991,Basic_incomplete,West_Germany
131,107,Poorly,60-74,1991,Basic,West_Germany
132,32,Poorly,60-74,1991,Medium,West_Germany
133,4,Poorly,60-74,1991,Upper_medium,West_Germany
134,26,Poorly,60-74,1991,Intensive,West_Germany
135,7,Poorly,60-74,1991,Basic_incomplete,East_Germany
136,81,Poorly,60-74,1991,Basic,East_Germany
137,15,Poorly,60-74,1991,Medium,East_Germany
138,1,Poorly,60-74,1991,Upper_medium,East_Germany
139,12,Poorly,60-74,1991,Intensive,East_Germany
140,1,Well,60-74,1991,Basic_incomplete,West_Germany
141,18,Well,60-74,1991,Basic,West_Germany
142,3,Well,60-74,1991,Medium,West_Germany
143,0,Well,60-74,1991,Upper_medium,West_Germany
144,2,Well,60-74,1991,Intensive,West_Germany
145,6,Well,60-74,1991,Basic_incomplete,East_Germany
146,56,Well,60-74,1991,Basic,East_Germany
147,8,Well,60-74,1991,Medium,East_Germany
148,1,Well,60-74,1991,Upper_medium,East_Germany
149,7,Well,60-74,1991,Intensive,East_Germany
150,1,Very_well,60-74,1991,Basic_incomplete,West_Germany
151,3,Very_well,60-74,1991,Basic,West_Germany
152,0,Very_well,60-74,1991,Medium,West_Germany
153,0,Very_well,60-74,1991,Upper_medium,West_Germany
154,0,Very_well,60-74,1991,Intensive,West_Germany
155,1,Very_well,60-74,1991,Basic_incomplete,East_Germany
156,5,Very_well,60-74,1991,Basic,East_Germany
157,0,Very_well,60-74,1991,Medium,East_Germany
158,0,Very_well,60-74,1991,Upper_medium,East_Germany
159,0,Very_well,60-74,1991,Intensive,East_Germany
160,1,Very_poorly,75+,1991,Basic_incomplete,West_Germany
161,8,Very_poorly,75+,1991,Basic,West_Germany
162,3,Very_poorly,75+,1991,Medium,West_Germany
163,1,Very_poorly,75+,1991,Upper_medium,West_Germany
164,2,Very_poorly,75+,1991,Intensive,West_Germany
165,0,Very_poorly,75+,1991,Basic_incomplete,East_Germany
166,3,Very_poorly,75+,1991,Basic,East_Germany
167,0,Very_poorly,75+,1991,Medium,East_Germany
168,0,Very_poorly,75+,1991,Upper_medium,East_Germany
169,0,Very_poorly,75+,1991,Intensive,East_Germany
170,1,Poorly,75+,1991,Basic_incomplete,West_Germany
171,28,Poorly,75+,1991,Basic,West_Germany
172,8,Poorly,75+,1991,Medium,West_Germany
173,3,Poorly,75+,1991,Upper_medium,West_Germany
174,6,Poorly,75+,1991,Intensive,West_Germany
175,5,Poorly,75+,1991,Basic_incomplete,East_Germany
176,16,Poorly,75+,1991,Basic,East_Germany
177,1,Poorly,75+,1991,Medium,East_Germany
178,1,Poorly,75+,1991,Upper_medium,East_Germany
179,3,Poorly,75+,1991,Intensive,East_Germany
180,0,Well,75+,1991,Basic_incomplete,West_Germany
181,9,Well,75+,1991,Basic,West_Germany
182,2,Well,75+,1991,Medium,West_Germany
183,0,Well,75+,1991,Upper_medium,West_Germany
184,0,Well,75+,1991,Intensive,West_Germany
185,0,Well,75+,1991,Basic_incomplete,East_Germany
186,10,Well,75+,1991,Basic,East_Germany
187,1,Well,75+,1991,Medium,East_Germany
188,0,Well,75+,1991,Upper_medium,East_Germany
189,1,Well,75+,1991,Intensive,East_Germany
190,1,Very_well,75+,1991,Basic_incomplete,West_Germany
191,0,Very_well,75+,1991,Basic,West_Germany
192,0,Very_well,75+,1991,Medium,West_Germany
193,0,Very_well,75+,1991,Upper_medium,West_Germany
194,0,Very_well,75+,1991,Intensive,West_Germany
195,0,Very_well,75+,1991,Basic_incomplete,East_Germany
196,1,Very_well,75+,1991,Basic,East_Germany
197,0,Very_well,75+,1991,Medium,East_Germany
198,0,Very_well,75+,1991,Upper_medium,East_Germany
199,0,Very_well,75+,1991,Intensive,East_Germany
200,0,Very_poorly,19-29,1992,Basic_incomplete,West_Germany
201,6,Very_poorly,19-29,1992,Basic,West_Germany
202,4,Very_poorly,19-29,1992,Medium,West_Germany
203,0,Very_poorly,19-29,1992,Upper_medium,West_Germany
204,7,Very_poorly,19-29,1992,Intensive,West_Germany
205,0,Very_poorly,19-29,1992,Basic_incomplete,East_Germany
206,0,Very_poorly,19-29,1992,Basic,East_Germany
207,0,Very_poorly,19-29,1992,Medium,East_Germany
208,0,Very_poorly,19-29,1992,Upper_medium,East_Germany
209,0,Very_poorly,19-29,1992,Intensive,East_Germany
210,2,Poorly,19-29,1992,Basic_incomplete,West_Germany
211,68,Poorly,19-29,1992,Basic,West_Germany
212,101,Poorly,19-29,1992,Medium,West_Germany
213,17,Poorly,19-29,1992,Upper_medium,West_Germany
214,100,Poorly,19-29,1992,Intensive,West_Germany
215,1,Poorly,19-29,1992,Basic_incomplete,East_Germany
216,8,Poorly,19-29,1992,Basic,East_Germany
217,58,Poorly,19-29,1992,Medium,East_Germany
218,1,Poorly,19-29,1992,Upper_medium,East_Germany
219,13,Poorly,19-29,1992,Intensive,East_Germany
220,3,Well,19-29,1992,Basic_incomplete,West_Germany
221,40,Well,19-29,1992,Basic,West_Germany
222,48,Well,19-29,1992,Medium,West_Germany
223,3,Well,19-29,1992,Upper_medium,West_Germany
224,29,Well,19-29,1992,Intensive,West_Germany
225,1,Well,19-29,1992,Basic_incomplete,East_Germany
226,8,Well,19-29,1992,Basic,East_Germany
227,68,Well,19-29,1992,Medium,East_Germany
228,2,Well,19-29,1992,Upper_medium,East_Germany
229,16,Well,19-29,1992,Intensive,East_Germany
230,0,Very_well,19-29,1992,Basic_incomplete,West_Germany
231,6,Very_well,19-29,1992,Basic,West_Germany
232,8,Very_well,19-29,1992,Medium,West_Germany
233,2,Very_well,19-29,1992,Upper_medium,West_Germany
234,1,Very_well,19-29,1992,Intensive,West_Germany
235,0,Very_well,19-29,1992,Basic_incomplete,East_Germany
236,1,Very_well,19-29,1992,Basic,East_Germany
237,13,Very_well,19-29,1992,Medium,East_Germany
238,0,Very_well,19-29,1992,Upper_medium,East_Germany
239,1,Very_well,19-29,1992,Intensive,East_Germany
240,0,Very_poorly,30-44,1992,Basic_incomplete,West_Germany
241,10,Very_poorly,30-44,1992,Basic,West_Germany
242,7,Very_poorly,30-44,1992,Medium,West_Germany
243,4,Very_poorly,30-44,1992,Upper_medium,West_Germany
244,8,Very_poorly,30-44,1992,Intensive,West_Germany
245,0,Very_poorly,30-44,1992,Basic_incomplete,East_Germany
246,0,Very_poorly,30-44,1992,Basic,East_Germany
247,0,Very_poorly,30-44,1992,Medium,East_Germany
248,0,Very_poorly,30-44,1992,Upper_medium,East_Germany
249,1,Very_poorly,30-44,1992,Intensive,East_Germany
250,4,Poorly,30-44,1992,Basic_incomplete,West_Germany
251,186,Poorly,30-44,1992,Basic,West_Germany
252,100,Poorly,30-44,1992,Medium,West_Germany
253,47,Poorly,30-44,1992,Upper_medium,West_Germany
254,99,Poorly,30-44,1992,Intensive,West_Germany
255,0,Poorly,30-44,1992,Basic_incomplete,East_Germany
256,28,Poorly,30-44,1992,Basic,East_Germany
257,104,Poorly,30-44,1992,Medium,East_Germany
258,5,Poorly,30-44,1992,Upper_medium,East_Germany
259,26,Poorly,30-44,1992,Intensive,East_Germany
260,6,Well,30-44,1992,Basic_incomplete,West_Germany
261,102,Well,30-44,1992,Basic,West_Germany
262,67,Well,30-44,1992,Medium,West_Germany
263,10,Well,30-44,1992,Upper_medium,West_Germany
264,25,Well,30-44,1992,Intensive,West_Germany
265,1,Well,30-44,1992,Basic_incomplete,East_Germany
266,22,Well,30-44,1992,Basic,East_Germany
267,86,Well,30-44,1992,Medium,East_Germany
268,3,Well,30-44,1992,Upper_medium,East_Germany
269,38,Well,30-44,1992,Intensive,East_Germany
270,1,Very_well,30-44,1992,Basic_incomplete,West_Germany
271,14,Very_well,30-44,1992,Basic,West_Germany
272,5,Very_well,30-44,1992,Medium,West_Germany
273,0,Very_well,30-44,1992,Upper_medium,West_Germany
274,3,Very_well,30-44,1992,Intensive,West_Germany
275,1,Very_well,30-44,1992,Basic_incomplete,East_Germany
276,2,Very_well,30-44,1992,Basic,East_Germany
277,13,Very_well,30-44,1992,Medium,East_Germany
278,3,Very_well,30-44,1992,Upper_medium,East_Germany
279,3,Very_well,30-44,1992,Intensive,East_Germany
280,1,Very_poorly,45-59,1992,Basic_incomplete,West_Germany
281,19,Very_poorly,45-59,1992,Basic,West_Germany
282,11,Very_poorly,45-59,1992,Medium,West_Germany
283,2,Very_poorly,45-59,1992,Upper_medium,West_Germany
284,9,Very_poorly,45-59,1992,Intensive,West_Germany
285,1,Very_poorly,45-59,1992,Basic_incomplete,East_Germany
286,2,Very_poorly,45-59,1992,Basic,East_Germany
287,0,Very_poorly,45-59,1992,Medium,East_Germany
288,1,Very_poorly,45-59,1992,Upper_medium,East_Germany
289,0,Very_poorly,45-59,1992,Intensive,East_Germany
290,2,Poorly,45-59,1992,Basic_incomplete,West_Germany
291,182,Poorly,45-59,1992,Basic,West_Germany
292,76,Poorly,45-59,1992,Medium,West_Germany
293,17,Poorly,45-59,1992,Upper_medium,West_Germany
294,42,Poorly,45-59,1992,Intensive,West_Germany
295,2,Poorly,45-59,1992,Basic_incomplete,East_Germany
296,89,Poorly,45-59,1992,Basic,East_Germany
297,25,Poorly,45-59,1992,Medium,East_Germany
298,14,Poorly,45-59,1992,Upper_medium,East_Germany
299,30,Poorly,45-59,1992,Intensive,East_Germany
300,6,Well,45-59,1992,Basic_incomplete,West_Germany
301,102,Well,45-59,1992,Basic,West_Germany
302,24,Well,45-59,1992,Medium,West_Germany
303,6,Well,45-59,1992,Upper_medium,West_Germany
304,13,Well,45-59,1992,Intensive,West_Germany
305,3,Well,45-59,1992,Basic_incomplete,East_Germany
306,74,Well,45-59,1992,Basic,East_Germany
307,27,Well,45-59,1992,Medium,East_Germany
308,14,Well,45-59,1992,Upper_medium,East_Germany
309,7,Well,45-59,1992,Intensive,East_Germany
310,0,Very_well,45-59,1992,Basic_incomplete,West_Germany
311,11,Very_well,45-59,1992,Basic,West_Germany
312,3,Very_well,45-59,1992,Medium,West_Germany
313,1,Very_well,45-59,1992,Upper_medium,West_Germany
314,1,Very_well,45-59,1992,Intensive,West_Germany
315,3,Very_well,45-59,1992,Basic_incomplete,East_Germany
316,13,Very_well,45-59,1992,Basic,East_Germany
317,3,Very_well,45-59,1992,Medium,East_Germany
318,2,Very_well,45-59,1992,Upper_medium,East_Germany
319,1,Very_well,45-59,1992,Intensive,East_Germany
320,1,Very_poorly,60-74,1992,Basic_incomplete,West_Germany
321,11,Very_poorly,60-74,1992,Basic,West_Germany
322,7,Very_poorly,60-74,1992,Medium,West_Germany
323,0,Very_poorly,60-74,1992,Upper_medium,West_Germany
324,4,Very_poorly,60-74,1992,Intensive,West_Germany
325,0,Very_poorly,60-74,1992,Basic_incomplete,East_Germany
326,0,Very_poorly,60-74,1992,Basic,East_Germany
327,0,Very_poorly,60-74,1992,Medium,East_Germany
328,1,Very_poorly,60-74,1992,Upper_medium,East_Germany
329,0,Very_poorly,60-74,1992,Intensive,East_Germany
330,4,Poorly,60-74,1992,Basic_incomplete,West_Germany
331,177,Poorly,60-74,1992,Basic,West_Germany
332,57,Poorly,60-74,1992,Medium,West_Germany
333,9,Poorly,60-74,1992,Upper_medium,West_Germany
334,26,Poorly,60-74,1992,Intensive,West_Germany
335,1,Poorly,60-74,1992,Basic_incomplete,East_Germany
336,62,Poorly,60-74,1992,Basic,East_Germany
337,16,Poorly,60-74,1992,Medium,East_Germany
338,3,Poorly,60-74,1992,Upper_medium,East_Germany
339,7,Poorly,60-74,1992,Intensive,East_Germany
340,5,Well,60-74,1992,Basic_incomplete,West_Germany
341,82,Well,60-74,1992,Basic,West_Germany
342,10,Well,60-74,1992,Medium,West_Germany
343,1,Well,60-74,1992,Upper_medium,West_Germany
344,6,Well,60-74,1992,Intensive,West_Germany
345,2,Well,60-74,1992,Basic_incomplete,East_Germany
346,46,Well,60-74,1992,Basic,East_Germany
347,9,Well,60-74,1992,Medium,East_Germany
348,5,Well,60-74,1992,Upper_medium,East_Germany
349,6,Well,60-74,1992,Intensive,East_Germany
350,0,Very_well,60-74,1992,Basic_incomplete,West_Germany
351,21,Very_well,60-74,1992,Basic,West_Germany
352,5,Very_well,60-74,1992,Medium,West_Germany
353,0,Very_well,60-74,1992,Upper_medium,West_Germany
354,3,Very_well,60-74,1992,Intensive,West_Germany
355,1,Very_well,60-74,1992,Basic_incomplete,East_Germany
356,5,Very_well,60-74,1992,Basic,East_Germany
357,1,Very_well,60-74,1992,Medium,East_Germany
358,0,Very_well,60-74,1992,Upper_medium,East_Germany
359,2,Very_well,60-74,1992,Intensive,East_Germany
360,0,Very_poorly,75+,1992,Basic_incomplete,West_Germany
361,12,Very_poorly,75+,1992,Basic,West_Germany
362,2,Very_poorly,75+,1992,Medium,West_Germany
363,0,Very_poorly,75+,1992,Upper_medium,West_Germany
364,1,Very_poorly,75+,1992,Intensive,West_Germany
365,0,Very_poorly,75+,1992,Basic_incomplete,East_Germany
366,3,Very_poorly,75+,1992,Basic,East_Germany
367,0,Very_poorly,75+,1992,Medium,East_Germany
368,0,Very_poorly,75+,1992,Upper_medium,East_Germany
369,0,Very_poorly,75+,1992,Intensive,East_Germany
370,3,Poorly,75+,1992,Basic_incomplete,West_Germany
371,51,Poorly,75+,1992,Basic,West_Germany
372,16,Poorly,75+,1992,Medium,West_Germany
373,1,Poorly,75+,1992,Upper_medium,West_Germany
374,6,Poorly,75+,1992,Intensive,West_Germany
375,0,Poorly,75+,1992,Basic_incomplete,East_Germany
376,18,Poorly,75+,1992,Basic,East_Germany
377,4,Poorly,75+,1992,Medium,East_Germany
378,1,Poorly,75+,1992,Upper_medium,East_Germany
379,0,Poorly,75+,1992,Intensive,East_Germany
380,1,Well,75+,1992,Basic_incomplete,West_Germany
381,22,Well,75+,1992,Basic,West_Germany
382,6,Well,75+,1992,Medium,West_Germany
383,1,Well,75+,1992,Upper_medium,West_Germany
384,4,Well,75+,1992,Intensive,West_Germany
385,0,Well,75+,1992,Basic_incomplete,East_Germany
386,14,Well,75+,1992,Basic,East_Germany
387,1,Well,75+,1992,Medium,East_Germany
388,1,Well,75+,1992,Upper_medium,East_Germany
389,0,Well,75+,1992,Intensive,East_Germany
390,0,Very_well,75+,1992,Basic_incomplete,West_Germany
391,7,Very_well,75+,1992,Basic,West_Germany
392,1,Very_well,75+,1992,Medium,West_Germany
393,0,Very_well,75+,1992,Upper_medium,West_Germany
394,0,Very_well,75+,1992,Intensive,West_Germany
395,0,Very_well,75+,1992,Basic_incomplete,East_Germany
396,0,Very_well,75+,1992,Basic,East_Germany
397,0,Very_well,75+,1992,Medium,East_Germany
398,0,Very_well,75+,1992,Upper_medium,East_Germany
399,0,Very_well,75+,1992,Intensive,East_Germany
