,class_num,Manufacturer_cat,Type_cat,City_MPG_num,Highway_MPG_num,Air_Bags_standard_cat,Drive_train_type_cat,Number_of_cylinders_num,Engine_size_num,Horsepower_num,RPM_num,Engine_revolutions_per_mile_num,Manual_transmission_available_cat,Fuel_tank_capacity_num,Passenger_capacity_num,Length_num,Wheelbase_num,Width_num,U-turn_space_num,Rear_seat_room_num,Luggage_capacity_num,Weight_num,Domestic_cat
28,12.2,Eagle,Small,29.0,33.0,0,1,4.0,1.5,92.0,6000.0,2505.0,1,13.2,5.0,174.0,98.0,66.0,36.0,26.5,11.0,2295.0,1
29,19.3,Eagle,Large,20.0,28.0,2,1,6.0,3.5,214.0,5800.0,1980.0,0,18.0,6.0,202.0,113.0,74.0,40.0,30.0,15.0,3490.0,1
30,7.4,Ford,Small,31.0,33.0,0,1,4.0,1.3,63.0,5000.0,3150.0,1,10.0,4.0,141.0,90.0,63.0,33.0,26.0,12.0,1845.0,1
31,10.1,Ford,Small,23.0,30.0,0,1,4.0,1.8,127.0,6500.0,2410.0,1,13.2,5.0,171.0,98.0,67.0,36.0,28.0,12.0,2530.0,1
32,11.3,Ford,Compact,22.0,27.0,0,1,4.0,2.3,96.0,4200.0,2805.0,1,15.9,5.0,177.0,100.0,68.0,39.0,27.5,13.0,2690.0,1
33,15.9,Ford,Sporty,22.0,29.0,1,0,4.0,2.3,105.0,4600.0,2285.0,1,15.4,4.0,180.0,101.0,68.0,40.0,24.0,12.0,2850.0,1
34,14.0,Ford,Sporty,24.0,30.0,1,1,4.0,2.0,115.0,5500.0,2340.0,1,15.5,4.0,179.0,103.0,70.0,38.0,23.0,18.0,2710.0,1
35,19.9,Ford,Van,15.0,20.0,1,2,6.0,3.0,145.0,4800.0,2080.0,1,21.0,7.0,176.0,119.0,72.0,45.0,30.0,,3735.0,1
36,20.2,Ford,Midsize,21.0,30.0,1,1,6.0,3.0,140.0,4800.0,1885.0,0,16.0,5.0,192.0,106.0,71.0,40.0,27.5,18.0,3325.0,1
37,20.9,Ford,Large,18.0,26.0,1,0,8.0,4.6,190.0,4200.0,1415.0,0,20.0,6.0,212.0,114.0,78.0,43.0,30.0,21.0,3950.0,1
38,8.4,Geo,Small,46.0,50.0,0,1,3.0,1.0,55.0,5700.0,3755.0,1,10.6,4.0,151.0,93.0,63.0,34.0,27.5,10.0,1695.0,0
39,12.5,Geo,Sporty,30.0,36.0,1,1,4.0,1.6,90.0,5400.0,3250.0,1,12.4,4.0,164.0,97.0,67.0,37.0,24.5,11.0,2475.0,0
40,19.8,Honda,Sporty,24.0,31.0,2,1,4.0,2.3,160.0,5800.0,2855.0,1,15.9,4.0,175.0,100.0,70.0,39.0,23.5,8.0,2865.0,0
41,12.1,Honda,Small,42.0,46.0,1,1,4.0,1.5,102.0,5900.0,2650.0,1,11.9,4.0,173.0,103.0,67.0,36.0,28.0,12.0,2350.0,0
42,17.5,Honda,Compact,24.0,31.0,2,1,4.0,2.2,140.0,5600.0,2610.0,1,17.0,4.0,185.0,107.0,67.0,41.0,28.0,14.0,3040.0,0
43,8.0,Hyundai,Small,29.0,33.0,0,1,4.0,1.5,81.0,5500.0,2710.0,1,11.9,5.0,168.0,94.0,63.0,35.0,26.0,11.0,2345.0,0
44,10.0,Hyundai,Small,22.0,29.0,0,1,4.0,1.8,124.0,6000.0,2745.0,1,13.7,5.0,172.0,98.0,66.0,36.0,28.0,12.0,2620.0,0
45,10.0,Hyundai,Sporty,26.0,34.0,0,1,4.0,1.5,92.0,5550.0,2540.0,1,11.9,4.0,166.0,94.0,64.0,34.0,23.5,9.0,2285.0,0
46,13.9,Hyundai,Midsize,20.0,27.0,0,1,4.0,2.0,128.0,6000.0,2335.0,1,17.2,5.0,184.0,104.0,69.0,41.0,31.0,14.0,2885.0,0
47,47.9,Infiniti,Midsize,17.0,22.0,1,0,8.0,4.5,278.0,6000.0,1955.0,0,22.5,5.0,200.0,113.0,72.0,42.0,29.0,15.0,4000.0,0
48,28.0,Lexus,Midsize,18.0,24.0,1,1,6.0,3.0,185.0,5200.0,2325.0,1,18.5,5.0,188.0,103.0,70.0,40.0,27.5,14.0,3510.0,0
49,35.2,Lexus,Midsize,18.0,23.0,2,0,6.0,3.0,225.0,6000.0,2510.0,1,20.6,4.0,191.0,106.0,71.0,39.0,25.0,9.0,3515.0,0
50,34.3,Lincoln,Midsize,17.0,26.0,2,1,6.0,3.8,160.0,4400.0,1835.0,0,18.4,6.0,205.0,109.0,73.0,42.0,30.0,19.0,3695.0,1
51,36.1,Lincoln,Large,18.0,26.0,2,0,8.0,4.6,210.0,4600.0,1840.0,0,20.0,6.0,219.0,117.0,77.0,45.0,31.5,22.0,4055.0,1
52,8.3,Mazda,Small,29.0,37.0,0,1,4.0,1.6,82.0,5000.0,2370.0,1,13.2,4.0,164.0,97.0,66.0,34.0,27.0,16.0,2325.0,0
53,11.6,Mazda,Small,28.0,36.0,0,1,4.0,1.8,103.0,5500.0,2220.0,1,14.5,5.0,172.0,98.0,66.0,36.0,26.5,13.0,2440.0,0
54,16.5,Mazda,Compact,26.0,34.0,1,1,4.0,2.5,164.0,5600.0,2505.0,1,15.5,5.0,184.0,103.0,69.0,40.0,29.5,14.0,2970.0,0
55,19.1,Mazda,Van,18.0,24.0,0,2,6.0,3.0,155.0,5000.0,2240.0,0,19.6,7.0,190.0,110.0,72.0,39.0,27.5,,3735.0,0
56,32.5,Mazda,Sporty,17.0,25.0,1,0,,1.3,255.0,6500.0,2325.0,1,20.0,2.0,169.0,96.0,69.0,37.0,,,2895.0,0
57,31.9,Mercedes-Benz,Compact,20.0,29.0,1,0,4.0,2.3,130.0,5100.0,2425.0,1,14.5,5.0,175.0,105.0,67.0,34.0,26.0,12.0,2920.0,0
58,61.9,Mercedes-Benz,Midsize,19.0,25.0,2,0,6.0,3.2,217.0,5500.0,2220.0,0,18.5,5.0,187.0,110.0,69.0,37.0,27.0,15.0,3525.0,0
59,14.1,Mercury,Sporty,23.0,26.0,1,1,4.0,1.6,100.0,5750.0,2475.0,1,11.1,4.0,166.0,95.0,65.0,36.0,19.0,6.0,2450.0,1
60,14.9,Mercury,Midsize,19.0,26.0,0,0,6.0,3.8,140.0,3800.0,1730.0,0,18.0,5.0,199.0,113.0,73.0,38.0,28.0,15.0,3610.0,1
61,10.3,Mitsubishi,Small,29.0,33.0,0,1,4.0,1.5,92.0,6000.0,2505.0,1,13.2,5.0,172.0,98.0,67.0,36.0,26.0,11.0,2295.0,0
62,26.1,Mitsubishi,Midsize,18.0,24.0,1,1,6.0,3.0,202.0,6000.0,2210.0,0,19.0,5.0,190.0,107.0,70.0,43.0,27.5,14.0,3730.0,0
63,11.8,Nissan,Small,29.0,33.0,1,1,4.0,1.6,110.0,6000.0,2435.0,1,13.2,5.0,170.0,96.0,66.0,33.0,26.0,12.0,2545.0,0
64,15.7,Nissan,Compact,24.0,30.0,1,1,4.0,2.4,150.0,5600.0,2130.0,1,15.9,5.0,181.0,103.0,67.0,40.0,28.5,14.0,3050.0,0
65,19.1,Nissan,Van,17.0,23.0,0,1,6.0,3.0,151.0,4800.0,2065.0,0,20.0,7.0,190.0,112.0,74.0,41.0,27.0,,4100.0,0
66,21.5,Nissan,Midsize,21.0,26.0,1,1,6.0,3.0,160.0,5200.0,2045.0,0,18.5,5.0,188.0,104.0,69.0,41.0,28.5,14.0,3200.0,0
67,13.5,Oldsmobile,Compact,24.0,31.0,0,1,4.0,2.3,155.0,6000.0,2380.0,0,15.2,5.0,188.0,103.0,67.0,39.0,28.0,14.0,2910.0,1
68,16.3,Oldsmobile,Midsize,23.0,31.0,1,1,4.0,2.2,110.0,5200.0,2565.0,0,16.5,5.0,190.0,105.0,70.0,42.0,28.0,16.0,2890.0,1
69,19.5,Oldsmobile,Van,18.0,23.0,0,1,6.0,3.8,170.0,4800.0,1690.0,0,20.0,7.0,194.0,110.0,74.0,44.0,30.5,,3715.0,1
70,20.7,Oldsmobile,Large,19.0,28.0,1,1,6.0,3.8,170.0,4800.0,1570.0,0,18.0,6.0,201.0,111.0,74.0,42.0,31.5,17.0,3470.0,1
71,14.4,Plymouth,Sporty,23.0,30.0,0,2,4.0,1.8,92.0,5000.0,2360.0,1,15.9,4.0,173.0,97.0,67.0,39.0,24.5,8.0,2640.0,1
72,9.0,Pontiac,Small,31.0,41.0,0,1,4.0,1.6,74.0,5600.0,3130.0,1,13.2,4.0,177.0,99.0,66.0,35.0,25.5,17.0,2350.0,1
73,11.1,Pontiac,Compact,23.0,31.0,0,1,4.0,2.0,110.0,5200.0,2665.0,1,15.2,5.0,181.0,101.0,66.0,39.0,25.0,13.0,2575.0,1
74,17.7,Pontiac,Sporty,19.0,28.0,2,0,6.0,3.4,160.0,4600.0,1805.0,1,15.5,4.0,196.0,101.0,75.0,43.0,25.0,13.0,3240.0,1
75,18.5,Pontiac,Midsize,19.0,27.0,0,1,6.0,3.4,200.0,5000.0,1890.0,1,16.5,5.0,195.0,108.0,72.0,41.0,28.5,16.0,3450.0,1
76,24.4,Pontiac,Large,19.0,28.0,2,1,6.0,3.8,170.0,4800.0,1565.0,0,18.0,6.0,177.0,111.0,74.0,43.0,30.5,18.0,3495.0,1
77,28.7,Saab,Compact,20.0,26.0,1,1,4.0,2.1,140.0,6000.0,2910.0,1,18.0,5.0,184.0,99.0,67.0,37.0,26.5,14.0,2775.0,0
78,11.1,Saturn,Small,28.0,38.0,1,1,4.0,1.9,85.0,5000.0,2145.0,1,12.8,5.0,176.0,102.0,68.0,40.0,26.5,12.0,2495.0,1
79,8.4,Subaru,Small,33.0,37.0,0,2,3.0,1.2,73.0,5600.0,2875.0,1,9.2,4.0,146.0,90.0,60.0,32.0,23.5,10.0,2045.0,0
80,10.9,Subaru,Small,25.0,30.0,0,2,4.0,1.8,90.0,5200.0,3375.0,1,15.9,5.0,175.0,97.0,65.0,35.0,27.5,15.0,2490.0,0
81,19.5,Subaru,Compact,23.0,30.0,1,2,4.0,2.2,130.0,5600.0,2330.0,1,15.9,5.0,179.0,102.0,67.0,37.0,27.0,14.0,3085.0,0
82,8.6,Suzuki,Small,39.0,43.0,0,1,3.0,1.3,70.0,6000.0,3360.0,1,10.6,4.0,161.0,93.0,63.0,34.0,27.5,10.0,1965.0,0
83,9.8,Toyota,Small,32.0,37.0,1,1,4.0,1.5,82.0,5200.0,3505.0,1,11.9,5.0,162.0,94.0,65.0,36.0,24.0,11.0,2055.0,0
84,18.4,Toyota,Sporty,25.0,32.0,1,1,4.0,2.2,135.0,5400.0,2405.0,1,15.9,4.0,174.0,99.0,69.0,39.0,23.0,13.0,2950.0,0
85,18.2,Toyota,Midsize,22.0,29.0,1,1,4.0,2.2,130.0,5400.0,2340.0,1,18.5,5.0,188.0,103.0,70.0,38.0,28.5,15.0,3030.0,0
86,22.7,Toyota,Van,18.0,22.0,1,2,4.0,2.4,138.0,5000.0,2515.0,1,19.8,7.0,187.0,113.0,71.0,41.0,35.0,,3785.0,0
87,9.1,Volkswagen,Small,25.0,33.0,0,1,4.0,1.8,81.0,5500.0,2550.0,1,12.4,4.0,163.0,93.0,63.0,34.0,26.0,10.0,2240.0,0
88,19.7,Volkswagen,Van,17.0,21.0,0,1,5.0,2.5,109.0,4500.0,2915.0,1,21.1,7.0,187.0,115.0,72.0,38.0,34.0,,3960.0,0
89,20.0,Volkswagen,Compact,21.0,30.0,0,1,4.0,2.0,134.0,5800.0,2685.0,1,18.5,5.0,180.0,103.0,67.0,35.0,31.5,14.0,2985.0,0
90,23.3,Volkswagen,Sporty,18.0,25.0,0,1,6.0,2.8,178.0,5800.0,2385.0,1,18.5,4.0,159.0,97.0,66.0,36.0,26.0,15.0,2810.0,0
91,22.7,Volvo,Compact,21.0,28.0,1,0,4.0,2.3,114.0,5400.0,2215.0,1,15.8,5.0,190.0,104.0,67.0,37.0,29.5,14.0,2985.0,0
92,26.7,Volvo,Midsize,20.0,28.0,2,1,5.0,2.4,168.0,6200.0,2310.0,1,19.3,5.0,184.0,105.0,69.0,38.0,30.0,15.0,3245.0,0
