,col_9_num,col_1_cat,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num,col_7_num,col_8_num
61,0.1464,78,4,108,298.0,345.0,1.1577,5.6971,5.8435
62,0.1431,78,5,109,299.0,345.0,1.1538,5.7004,5.8435
63,0.1356,78,6,110,303.0,347.0,1.1452,5.7137,5.8493
64,0.1352,78,7,111,304.0,348.0,1.1447,5.717,5.8522
65,0.1381,78,8,112,304.0,349.0,1.148,5.717,5.8551
66,0.1343,78,9,113,306.0,350.0,1.1438,5.7236,5.8579
67,0.1254,78,10,114,307.0,348.0,1.1336,5.7268,5.8522
68,0.1323,78,11,115,304.0,347.0,1.1414,5.717,5.8493
69,0.1376,78,15,119,305.0,350.0,1.1475,5.7203,5.8579
70,0.1397,78,16,120,307.0,353.0,1.1498,5.7268,5.8665
71,0.1425,78,17,121,307.0,354.0,1.1531,5.7268,5.8693
72,0.1453,78,18,122,307.0,355.0,1.1564,5.7268,5.8721
73,0.142,78,19,123,308.0,355.0,1.1526,5.7301,5.8721
74,0.142,78,20,124,308.0,355.0,1.1526,5.7301,5.8721
75,0.1388,78,21,125,309.0,355.0,1.1489,5.7333,5.8721
76,0.1291,78,22,126,312.0,355.0,1.1378,5.743,5.8721
77,0.1279,78,23,127,315.0,358.0,1.1365,5.7526,5.8805
78,0.1311,78,24,128,314.0,358.0,1.1401,5.7494,5.8805
79,0.1355,78,25,129,310.0,355.0,1.1452,5.7366,5.8721
80,0.1192,78,33,137,316.0,356.0,1.1266,5.7557,5.8749
81,0.1255,78,34,138,314.0,356.0,1.1338,5.7494,5.8749
82,0.1192,78,35,139,316.0,356.0,1.1266,5.7557,5.8749
83,0.1255,78,36,140,314.0,356.0,1.1338,5.7494,5.8749
84,0.1255,78,37,141,314.0,356.0,1.1338,5.7494,5.8749
85,0.122,78,38,142,316.0,357.0,1.1297,5.7557,5.8777
86,0.122,78,39,143,316.0,357.0,1.1297,5.7557,5.8777
87,0.1192,78,40,144,316.0,356.0,1.1266,5.7557,5.8749
88,0.1216,78,41,145,317.0,358.0,1.1293,5.7589,5.8805
89,0.1216,78,42,146,317.0,358.0,1.1293,5.7589,5.8805
90,0.1248,78,43,147,316.0,358.0,1.1329,5.7557,5.8805
91,0.1307,78,44,148,315.0,359.0,1.1397,5.7526,5.8833
92,0.1307,78,45,149,315.0,359.0,1.1397,5.7526,5.8833
93,0.1279,78,46,150,315.0,358.0,1.1365,5.7526,5.8805
94,0.1251,78,47,151,315.0,357.0,1.1333,5.7526,5.8777
95,0.122,78,48,152,316.0,357.0,1.1297,5.7557,5.8777
96,0.124,78,49,153,318.0,360.0,1.1321,5.7621,5.8861
97,0.124,78,50,154,318.0,360.0,1.1321,5.7621,5.8861
98,0.1184,79,2,158,318.0,358.0,1.1258,5.7621,5.8805
99,0.1181,79,3,159,319.0,359.0,1.1254,5.7652,5.8833
100,0.1292,79,4,160,319.0,363.0,1.1379,5.7652,5.8944
101,0.1261,79,5,161,320.0,363.0,1.1344,5.7683,5.8944
102,0.1416,79,6,162,322.0,371.0,1.1522,5.7746,5.9162
103,0.1384,79,7,163,330.0,379.0,1.1485,5.7991,5.9375
104,0.1538,79,8,164,343.0,400.0,1.1662,5.8377,5.9915
105,0.1346,79,9,165,354.0,405.0,1.1441,5.8693,6.0039
106,0.1461,79,10,166,356.0,412.0,1.1573,5.8749,6.021
107,0.1542,79,11,167,366.0,427.0,1.1667,5.9026,6.0568
108,0.1596,79,12,168,364.0,427.0,1.1731,5.8972,6.0568
109,0.1568,79,13,169,371.0,434.0,1.1698,5.9162,6.073
110,0.194,79,14,170,369.0,448.0,1.2141,5.9108,6.1048
111,0.2076,79,18,174,364.0,448.0,1.2308,5.8972,6.1048
112,0.2562,79,19,175,363.0,469.0,1.292,5.8944,6.1506
113,0.259,79,20,176,362.0,469.0,1.2956,5.8916,6.1506
114,0.2534,79,21,177,364.0,469.0,1.2885,5.8972,6.1506
115,0.2617,79,22,178,361.0,469.0,1.2992,5.8889,6.1506
116,0.2645,79,23,179,360.0,469.0,1.3028,5.8861,6.1506
117,0.244,79,24,180,362.0,462.0,1.2762,5.8916,6.1356
118,0.2412,79,25,181,363.0,462.0,1.2727,5.8944,6.1356
119,0.2467,79,26,182,361.0,462.0,1.2798,5.8889,6.1356
120,0.2384,79,31,187,364.0,462.0,1.2692,5.8972,6.1356
121,0.2291,79,34,190,369.0,464.0,1.2575,5.9108,6.1399
122,0.24,79,35,191,365.0,464.0,1.2712,5.8999,6.1399
123,0.2373,79,36,192,366.0,464.0,1.2678,5.9026,6.1399
124,0.2425,79,37,193,368.0,469.0,1.2745,5.9081,6.1506
125,0.2371,79,38,194,370.0,469.0,1.2676,5.9135,6.1506
126,0.249,79,39,195,382.0,490.0,1.2827,5.9454,6.1944
127,0.2445,79,40,196,408.0,521.0,1.277,6.0113,6.2558
128,0.2582,79,41,197,414.0,536.0,1.2947,6.0259,6.2841
129,0.2926,79,42,198,400.0,536.0,1.34,5.9915,6.2841
130,0.2746,79,43,199,405.0,533.0,1.316,6.0039,6.2785
131,0.2795,79,44,200,397.0,525.0,1.3224,5.9839,6.2634
132,0.2755,79,45,201,394.0,519.0,1.3173,5.9764,6.2519
133,0.2757,79,46,202,397.0,523.0,1.3174,5.9839,6.2596
134,0.287,79,47,203,388.0,517.0,1.3325,5.961,6.248
135,0.2949,79,48,204,379.0,509.0,1.343,5.9375,6.2324
136,0.2963,79,49,205,377.0,507.0,1.3448,5.9322,6.2285
137,0.2744,79,50,206,380.0,500.0,1.3158,5.9402,6.2146
138,0.2864,80,2,210,383.0,510.0,1.3316,5.948,6.2344
139,0.2851,80,3,211,394.0,524.0,1.3299,5.9764,6.2615
140,0.2766,80,4,212,408.0,538.0,1.3186,6.0113,6.2879
141,0.2645,80,5,213,413.0,538.0,1.3027,6.0234,6.2879
142,0.2802,80,7,215,433.0,573.0,1.3233,6.0707,6.3509
143,0.3173,80,13,221,415.0,570.0,1.3735,6.0283,6.3456
144,0.3127,80,14,222,414.0,566.0,1.3671,6.0259,6.3386
145,0.3145,80,15,223,414.0,567.0,1.3696,6.0259,6.3404
146,0.3489,80,16,224,412.0,584.0,1.4175,6.021,6.3699
147,0.3677,80,17,225,405.0,585.0,1.4444,6.0039,6.3716
148,0.3537,80,18,226,396.0,564.0,1.4242,5.9814,6.3351
149,0.3554,80,19,227,396.0,565.0,1.4268,5.9814,6.3368
150,0.347,80,20,228,405.0,573.0,1.4148,6.0039,6.3509
151,0.3662,80,22,230,407.0,587.0,1.4423,6.0088,6.375
152,0.3579,80,23,231,409.0,585.0,1.4303,6.0137,6.3716
153,0.3607,80,24,232,403.0,578.0,1.4342,5.9989,6.3596
154,0.3631,80,25,233,402.0,578.0,1.4378,5.9965,6.3596
155,0.3656,80,26,234,401.0,578.0,1.4414,5.994,6.3596
156,0.3747,80,31,239,396.0,576.0,1.4545,5.9814,6.3561
157,0.3468,80,35,243,398.0,563.0,1.4146,5.9865,6.3333
158,0.3462,80,36,244,394.0,557.0,1.4137,5.9764,6.3226
159,0.3285,80,37,245,396.0,550.0,1.3889,5.9814,6.3099
160,0.3337,80,38,246,404.0,564.0,1.396,6.0014,6.3351
161,0.3238,80,39,247,408.0,564.0,1.3824,6.0113,6.3351
162,0.3411,80,40,248,401.0,564.0,1.4065,5.994,6.3351
163,0.3198,80,41,249,398.0,548.0,1.3769,5.9865,6.3063
164,0.311,80,42,250,392.0,535.0,1.3648,5.9713,6.2823
165,0.3215,80,43,251,393.0,542.0,1.3791,5.9738,6.2953
166,0.3002,80,44,252,397.0,536.0,1.3501,5.9839,6.2841
167,0.2926,80,45,253,400.0,536.0,1.34,5.9915,6.2841
168,0.2927,80,46,254,403.0,540.0,1.34,5.9989,6.2916
169,0.2664,80,47,255,416.0,543.0,1.3053,6.0307,6.2971
170,0.2706,80,48,256,415.0,544.0,1.3108,6.0283,6.2989
171,0.2582,80,49,257,414.0,536.0,1.2947,6.0259,6.2841
172,0.2394,80,50,258,414.0,526.0,1.2705,6.0259,6.2653
173,0.2408,81,3,263,415.0,528.0,1.2723,6.0283,6.2691
174,0.2208,81,4,264,425.0,530.0,1.2471,6.0521,6.2729
175,0.2236,81,5,265,427.0,534.0,1.2506,6.0568,6.2804
176,0.2109,81,6,266,426.0,526.0,1.2347,6.0544,6.2653
177,0.2208,81,7,267,421.0,525.0,1.247,6.0426,6.2634
178,0.2231,81,8,268,420.0,525.0,1.25,6.0403,6.2634
179,0.2236,81,9,269,419.0,524.0,1.2506,6.0379,6.2615
180,0.2265,81,10,270,417.0,523.0,1.2542,6.0331,6.2596
181,0.2333,81,11,271,411.0,519.0,1.2628,6.0186,6.2519
182,0.2455,81,12,272,406.0,519.0,1.2783,6.0064,6.2519
183,0.2623,81,13,273,410.0,533.0,1.3,6.0162,6.2785
184,0.2779,81,14,274,409.0,540.0,1.3203,6.0137,6.2916
185,0.273,81,15,275,411.0,540.0,1.3139,6.0186,6.2916
186,0.2737,81,18,278,413.0,543.0,1.3148,6.0234,6.2971
187,0.2688,81,19,279,415.0,543.0,1.3084,6.0283,6.2971
188,0.2647,81,20,280,419.0,546.0,1.3031,6.0379,6.3026
189,0.246,81,21,281,423.0,541.0,1.279,6.0474,6.2934
190,0.2447,81,22,282,422.0,539.0,1.2773,6.045,6.2897
191,0.2376,81,23,283,425.0,539.0,1.2682,6.0521,6.2897
192,0.2306,81,25,285,428.0,539.0,1.2593,6.0591,6.2897
193,0.2403,81,26,286,427.0,543.0,1.2717,6.0568,6.2971
194,0.2403,81,31,291,427.0,543.0,1.2717,6.0568,6.2971
195,0.245,81,35,295,425.0,543.0,1.2776,6.0521,6.2971
196,0.2026,81,36,296,423.0,518.0,1.2246,6.0474,6.25
197,0.2069,81,37,297,422.0,519.0,1.2299,6.045,6.2519
198,0.2069,81,39,299,422.0,519.0,1.2299,6.045,6.2519
199,0.2116,81,40,300,420.0,519.0,1.2357,6.0403,6.2519
200,0.2151,81,41,301,421.0,522.0,1.2399,6.0426,6.2577
201,0.217,81,42,302,421.0,523.0,1.2423,6.0426,6.2596
202,0.2183,81,43,303,418.0,520.0,1.244,6.0355,6.2538
203,0.2151,81,44,304,421.0,522.0,1.2399,6.0426,6.2577
204,0.2135,81,45,305,420.0,520.0,1.2381,6.0403,6.2538
205,0.2165,81,46,306,422.0,524.0,1.2417,6.045,6.2615
206,0.2099,81,47,307,424.0,523.0,1.2335,6.0497,6.2596
207,0.2075,81,48,308,425.0,523.0,1.2306,6.0521,6.2596
208,0.2103,81,49,309,423.0,522.0,1.234,6.0474,6.2577
209,0.2127,81,50,310,422.0,522.0,1.237,6.045,6.2577
210,0.2165,81,51,311,422.0,524.0,1.2417,6.045,6.2615
211,0.2141,82,3,315,423.0,524.0,1.2388,6.0474,6.2615
212,0.2255,82,4,316,423.0,530.0,1.253,6.0474,6.2729
213,0.2255,82,5,317,427.0,535.0,1.2529,6.0568,6.2823
214,0.2232,82,6,318,428.0,535.0,1.25,6.0591,6.2823
215,0.219,82,7,319,437.0,544.0,1.2449,6.0799,6.2989
216,0.2209,82,8,320,441.0,550.0,1.2472,6.089,6.3099
217,0.2231,82,9,321,440.0,550.0,1.25,6.0868,6.3099
218,0.2191,82,10,322,445.0,554.0,1.2449,6.0981,6.3172
219,0.2294,82,11,323,446.0,561.0,1.2578,6.1003,6.3297
220,0.2677,82,12,324,443.0,579.0,1.307,6.0936,6.3613
221,0.2632,82,13,325,445.0,579.0,1.3011,6.0981,6.3613
222,0.2707,82,14,326,444.0,582.0,1.3108,6.0958,6.3665
223,0.2713,82,18,330,446.0,585.0,1.3117,6.1003,6.3716
224,0.2667,82,19,331,445.0,581.0,1.3056,6.0981,6.3648
225,0.2712,82,20,332,443.0,581.0,1.3115,6.0936,6.3648
226,0.2735,82,21,333,442.0,581.0,1.3145,6.0913,6.3648
227,0.2627,82,22,334,446.0,580.0,1.3004,6.1003,6.363
228,0.2565,82,23,335,448.0,579.0,1.2924,6.1048,6.3613
229,0.2543,82,24,336,449.0,579.0,1.2895,6.107,6.3613
230,0.2632,82,25,337,445.0,579.0,1.3011,6.0981,6.3613
231,0.2677,82,26,338,443.0,579.0,1.307,6.0936,6.3613
232,0.2814,82,27,339,437.0,579.0,1.3249,6.0799,6.3613
233,0.2768,82,30,342,439.0,579.0,1.3189,6.0845,6.3613
234,0.2784,82,34,346,433.0,572.0,1.321,6.0707,6.3491
235,0.283,82,35,347,431.0,572.0,1.3271,6.0661,6.3491
236,0.2853,82,36,348,430.0,572.0,1.3302,6.0638,6.3491
237,0.2762,82,37,349,437.0,576.0,1.3181,6.0799,6.3561
238,0.2808,82,38,350,435.0,576.0,1.3241,6.0753,6.3561
239,0.259,82,39,351,433.0,561.0,1.2956,6.0707,6.3297
240,0.2613,82,40,352,432.0,561.0,1.2986,6.0684,6.3297
241,0.247,82,41,353,432.0,553.0,1.2801,6.0684,6.3154
242,0.2583,82,42,354,431.0,558.0,1.2947,6.0661,6.3244
243,0.247,82,43,355,432.0,553.0,1.2801,6.0684,6.3154
244,0.236,82,44,356,432.0,547.0,1.2662,6.0684,6.3044
245,0.2631,82,45,357,432.0,562.0,1.3009,6.0684,6.3315
246,0.2684,82,46,358,432.0,565.0,1.3079,6.0684,6.3368
247,0.2713,82,47,359,430.0,564.0,1.3116,6.0638,6.3351
248,0.2549,82,48,360,427.0,551.0,1.2904,6.0568,6.3117
249,0.2537,82,49,361,426.0,549.0,1.2887,6.0544,6.3081
250,0.2537,82,50,362,426.0,549.0,1.2887,6.0544,6.3081
251,0.2593,83,2,366,429.0,556.0,1.296,6.0615,6.3208
252,0.2649,83,3,367,432.0,563.0,1.3032,6.0684,6.3333
253,0.286,83,4,368,435.0,579.0,1.331,6.0753,6.3613
254,0.2808,83,5,369,438.0,580.0,1.3242,6.0822,6.363
255,0.2843,83,6,370,438.0,582.0,1.3288,6.0822,6.3665
256,0.2802,83,7,371,436.0,577.0,1.3234,6.0776,6.3578
257,0.2843,83,8,372,435.0,578.0,1.3287,6.0753,6.3596
258,0.2808,83,9,373,435.0,576.0,1.3241,6.0753,6.3561
259,0.2845,83,10,374,471.0,626.0,1.3291,6.1549,6.4394
260,0.2876,83,11,375,471.0,628.0,1.3333,6.1549,6.4425
261,0.3188,83,12,376,466.0,641.0,1.3755,6.1442,6.463
262,0.2882,83,13,377,467.0,623.0,1.334,6.1463,6.4345
263,0.3072,83,17,381,470.0,639.0,1.3596,6.1527,6.4599
264,0.3134,83,18,382,470.0,643.0,1.3681,6.1527,6.4661
265,0.2962,83,19,383,470.0,632.0,1.3447,6.1527,6.4489
266,0.3004,83,20,384,468.0,632.0,1.3504,6.1485,6.4489
267,0.3026,83,21,385,467.0,632.0,1.3533,6.1463,6.4489
268,0.2966,83,22,386,472.0,635.0,1.3453,6.157,6.4536
269,0.2945,83,23,387,473.0,635.0,1.3425,6.1591,6.4536
270,0.3065,83,24,388,474.0,644.0,1.3586,6.1612,6.4677
271,0.3097,83,25,389,471.0,642.0,1.3631,6.1549,6.4646
272,0.2824,83,30,394,481.0,638.0,1.3264,6.1759,6.4583
273,0.265,83,34,398,481.0,627.0,1.3035,6.1759,6.4409
274,0.265,83,35,399,481.0,627.0,1.3035,6.1759,6.4409
275,0.2603,83,36,400,481.0,624.0,1.2973,6.1759,6.4362
276,0.263,83,37,401,482.0,627.0,1.3008,6.1779,6.4409
277,0.263,83,38,402,482.0,627.0,1.3008,6.1779,6.4409
278,0.2726,83,39,403,482.0,633.0,1.3133,6.1779,6.4505
279,0.2603,83,40,404,481.0,624.0,1.2973,6.1759,6.4362
280,0.2559,83,41,405,480.0,620.0,1.2917,6.1738,6.4297
281,0.2532,83,42,406,479.0,617.0,1.2881,6.1717,6.4249
282,0.2622,83,43,407,477.0,620.0,1.2998,6.1675,6.4297
283,0.2703,83,44,408,477.0,625.0,1.3103,6.1675,6.4378
284,0.2622,83,45,409,477.0,620.0,1.2998,6.1675,6.4297
285,0.2708,83,46,410,476.0,624.0,1.3109,6.1654,6.4362
286,0.2691,83,47,411,476.0,623.0,1.3088,6.1654,6.4345
287,0.2755,83,48,412,476.0,627.0,1.3172,6.1654,6.4409
288,0.2792,83,49,413,475.0,628.0,1.3221,6.1633,6.4425
289,0.2898,83,50,414,476.0,636.0,1.3361,6.1654,6.4552
290,0.3016,84,2,418,480.0,649.0,1.3521,6.1738,6.4754
291,0.3288,84,3,419,483.0,671.0,1.3892,6.18,6.5088
292,0.3848,84,4,420,488.0,717.0,1.4693,6.1903,6.5751
293,0.423,84,5,421,490.0,748.0,1.5265,6.1944,6.6174
294,0.3973,84,6,422,488.0,726.0,1.4877,6.1903,6.5876
295,0.431,84,7,423,490.0,754.0,1.5388,6.1944,6.6254
296,0.431,84,8,424,490.0,754.0,1.5388,6.1944,6.6254
297,0.4728,84,9,425,493.0,791.0,1.6045,6.2005,6.6733
298,0.4585,84,10,426,490.0,775.0,1.5816,6.1944,6.6529
299,0.4559,84,11,427,490.0,773.0,1.5776,6.1944,6.6503
300,0.4581,84,12,428,487.0,770.0,1.5811,6.1883,6.6464
301,0.4685,84,13,429,492.0,786.0,1.5976,6.1985,6.667
302,0.4624,84,14,430,495.0,786.0,1.5879,6.2046,6.667
303,0.4645,84,18,434,494.0,786.0,1.5911,6.2025,6.667
304,0.4604,84,19,435,496.0,786.0,1.5847,6.2066,6.667
305,0.4624,84,20,436,495.0,786.0,1.5879,6.2046,6.667
306,0.4624,84,21,437,495.0,786.0,1.5879,6.2046,6.667
307,0.4584,84,22,438,497.0,786.0,1.5815,6.2086,6.667
308,0.4604,84,25,441,496.0,786.0,1.5847,6.2066,6.667
309,0.4544,84,26,442,499.0,786.0,1.5752,6.2126,6.667
