,binaryClass_cat,company1_num,company2_num,company3_num,company4_num,company5_num,company6_num,company7_num,company8_num,company9_num
43,P,20.828,53.875,19.375,47.0,63.25,30.125,69.75,18.25,48.625
44,P,21.063,54.5,19.25,46.75,63.25,30.25,68.75,18.875,48.625
45,P,21.063,54.0,19.5,46.375,63.75,30.5,68.75,18.875,49.5
46,P,21.109,53.125,19.875,46.25,63.125,30.0,68.0,18.75,50.125
47,P,21.172,53.0,19.25,45.0,62.5,29.875,67.0,18.875,50.25
48,P,21.109,53.0,19.25,45.875,62.0,30.25,67.125,19.0,50.0
49,P,21.281,53.75,19.875,45.625,62.125,30.0,67.5,19.375,50.625
50,P,21.672,54.0,20.625,45.625,62.375,29.75,67.375,19.75,50.75
51,P,21.563,55.0,21.125,46.625,62.75,29.875,68.125,20.0,51.5
52,P,21.719,55.75,23.125,47.25,63.625,30.125,69.75,20.125,52.125
53,P,22.0,57.125,25.0,48.125,63.75,31.0,69.625,20.0,53.0
54,P,21.672,58.125,25.125,47.75,63.125,30.625,69.125,20.125,52.25
55,P,21.563,58.5,23.875,47.875,63.625,31.625,69.125,21.5,51.0
56,P,21.063,57.75,23.625,47.75,63.625,31.375,69.375,20.875,51.0
57,P,20.609,56.125,22.875,47.25,63.75,30.25,68.75,20.125,50.5
58,P,20.891,54.875,22.625,46.25,62.375,29.75,67.625,19.625,50.375
59,P,20.781,55.0,24.0,45.375,61.625,29.875,66.375,20.125,49.5
60,P,20.938,54.25,24.375,44.75,61.875,30.0,66.5,20.0,50.25
61,P,20.672,53.375,23.375,44.0,61.5,30.0,66.25,19.875,50.0
62,P,20.672,53.0,23.25,44.5,61.75,29.875,66.5,19.75,49.25
63,P,19.938,52.375,23.125,44.125,61.875,29.375,65.25,19.25,48.75
64,P,20.438,52.5,23.125,45.0,62.625,29.625,65.875,19.875,48.5
65,P,21.0,54.125,24.0,45.875,64.25,31.5,65.625,19.75,48.75
66,P,20.781,54.625,23.75,45.5,64.625,30.875,65.875,19.875,48.5
67,P,21.063,55.5,23.625,45.75,64.875,30.75,66.125,20.25,48.625
68,P,21.063,54.625,23.875,45.5,65.625,30.75,67.375,20.0,48.5
69,P,21.063,54.5,23.875,45.25,65.375,31.125,67.875,19.875,48.125
70,P,21.063,54.875,23.5,45.25,65.75,30.0,68.625,20.0,48.125
71,P,20.438,54.125,22.0,43.75,63.875,28.5,66.5,18.125,45.25
72,P,20.5,53.625,22.0,42.875,64.25,28.375,66.625,18.375,45.125
73,P,20.172,53.5,21.875,42.625,64.25,28.0,66.25,18.125,44.75
74,P,20.0,53.5,21.75,42.75,64.0,27.75,66.375,18.125,44.25
75,P,20.0,53.625,21.5,42.625,63.75,27.375,65.375,18.5,44.25
76,P,20.172,53.0,21.25,42.625,63.875,27.75,65.75,18.125,44.25
77,P,20.281,54.25,21.75,43.125,64.0,28.625,66.125,19.125,44.375
78,P,20.891,54.5,21.625,43.5,64.25,28.625,66.5,19.0,44.0
79,P,20.828,54.75,21.625,43.125,64.625,28.875,66.375,18.875,43.125
80,P,20.938,54.75,21.875,42.875,64.75,28.375,66.25,18.875,43.5
81,P,21.438,54.75,21.5,42.625,64.125,28.25,66.375,18.75,43.0
82,P,21.328,54.875,21.0,42.5,63.875,28.75,66.75,18.25,43.25
83,P,21.438,55.25,21.125,43.25,64.125,29.0,67.0,18.25,44.0
84,P,22.0,56.625,21.375,43.75,64.25,29.25,67.75,18.375,44.375
85,P,21.828,55.25,21.125,44.0,64.25,29.375,66.875,18.375,44.25
86,P,21.672,55.375,20.625,43.125,63.875,29.625,67.0,18.125,43.5
87,P,21.781,55.0,20.75,43.25,62.75,28.875,66.75,18.625,43.0
88,P,21.609,55.125,20.625,43.625,62.875,28.625,66.625,18.75,42.25
89,P,21.719,55.375,20.5,43.75,64.125,28.875,66.75,18.625,43.125
90,P,21.5,54.625,20.375,43.375,63.75,28.25,65.5,18.5,43.0
91,P,21.5,53.625,20.125,42.625,63.625,28.25,65.625,18.125,43.0
92,P,22.109,54.375,20.375,42.5,63.0,28.625,66.125,18.25,44.25
93,P,22.281,55.0,20.625,43.0,63.125,29.25,66.0,18.625,44.5
94,P,22.438,54.25,20.375,42.5,62.5,28.375,65.25,18.5,44.625
95,P,22.0,53.125,19.75,42.375,62.0,28.25,63.875,18.25,44.5
96,P,21.781,53.5,19.625,41.75,61.75,28.875,63.25,18.5,44.5
97,P,22.438,54.5,19.875,41.875,61.5,29.125,62.875,18.5,44.75
98,P,23.0,53.875,19.625,41.625,60.25,29.0,62.75,18.0,44.75
99,P,23.938,53.625,19.875,42.375,60.625,28.875,63.25,18.5,44.875
100,P,23.828,53.625,19.875,41.875,60.5,28.625,62.5,18.75,45.0
101,P,23.781,53.0,20.25,40.75,60.125,29.0,61.75,18.75,45.25
102,P,23.938,53.0,19.875,40.0,59.5,28.75,61.5,18.625,45.0
103,P,24.438,54.125,19.875,41.0,59.5,29.5,62.5,19.25,46.0
104,P,24.5,53.25,20.0,43.0,59.75,29.375,62.0,19.375,47.0
105,P,24.438,52.875,20.0,42.375,59.625,29.0,63.125,19.375,46.625
106,P,24.5,52.75,19.75,41.875,60.375,28.875,63.75,19.5,46.75
107,P,24.672,53.375,20.625,41.625,60.875,29.375,64.125,19.75,46.5
108,P,24.109,52.75,20.75,41.25,61.0,29.0,63.625,19.25,45.875
109,P,24.391,54.0,20.75,42.875,61.5,29.75,64.75,19.5,47.75
110,P,24.609,54.5,20.5,42.875,61.25,29.625,64.75,19.75,47.875
111,P,24.828,54.5,20.625,43.625,61.875,29.375,64.75,20.0,47.25
112,P,24.781,54.25,21.125,43.875,62.25,29.5,64.875,20.25,46.25
113,P,25.063,55.0,21.125,44.75,63.25,29.875,65.75,20.875,47.25
114,P,25.219,55.25,21.25,45.0,63.5,30.25,66.5,21.125,47.375
115,P,24.109,55.0,20.75,45.0,62.75,29.625,65.625,20.125,47.875
116,P,24.391,55.25,21.125,45.125,62.75,29.375,65.875,21.0,48.5
117,P,24.281,54.0,21.5,44.25,62.375,29.125,65.5,20.375,47.625
118,P,24.938,54.5,22.375,44.25,62.875,29.25,64.625,21.25,48.25
119,P,25.719,54.75,23.0,45.125,64.0,29.5,65.25,21.5,48.75
120,P,25.672,53.625,23.125,44.5,64.0,29.125,65.5,21.375,48.875
121,P,25.672,53.125,22.75,44.25,64.125,28.875,65.875,21.25,49.0
122,P,25.672,53.625,22.375,43.25,63.5,28.75,65.125,20.75,48.0
123,P,25.672,53.625,22.5,43.75,63.875,29.125,65.625,20.75,48.125
124,P,25.828,52.75,21.625,44.0,64.0,29.0,65.625,20.375,47.5
125,P,26.109,53.0,21.75,44.75,64.125,29.875,66.0,21.125,49.0
126,P,26.219,53.0,22.625,43.75,64.25,29.375,66.0,21.25,48.0
127,P,26.281,52.75,23.0,43.5,64.875,30.25,66.5,21.75,47.875
128,P,26.172,52.75,22.25,43.125,64.375,30.125,65.625,21.25,46.375
129,P,26.219,52.75,22.5,43.875,64.625,29.875,65.375,20.875,46.0
130,P,26.109,53.0,22.5,43.875,64.375,30.0,65.125,20.875,46.375
131,P,26.219,53.25,22.75,44.125,64.25,30.375,65.125,21.0,47.5
132,P,26.063,52.625,22.375,43.25,64.0,31.0,64.75,20.625,47.875
133,P,26.438,53.0,22.5,43.875,64.5,31.5,65.375,21.125,48.625
134,P,26.281,53.375,22.625,43.625,65.0,32.25,66.0,21.125,48.75
135,P,26.281,53.75,22.5,43.5,65.375,31.625,66.125,21.5,49.0
136,P,25.781,53.25,22.25,43.125,65.0,31.5,66.375,21.25,47.25
137,P,25.672,53.25,22.125,42.625,64.75,31.0,65.625,21.125,46.375
138,P,25.828,53.875,22.125,43.25,65.125,30.625,66.625,21.5,46.75
139,P,25.609,53.75,21.75,42.75,64.625,30.625,65.75,21.0,46.125
140,P,25.563,53.375,21.25,41.25,63.75,30.125,65.25,20.25,45.0
141,P,25.891,53.0,21.5,41.375,64.25,30.5,65.25,20.5,45.5
142,P,26.219,53.0,21.0,41.5,64.125,30.375,65.625,20.375,45.25
143,P,25.828,52.125,21.0,40.75,64.25,30.375,65.75,19.875,45.25
144,P,26.5,52.25,21.125,41.25,64.875,30.875,66.25,20.875,45.5
145,P,26.891,52.875,22.125,41.25,66.125,31.25,66.5,21.875,47.125
146,P,27.719,53.0,21.75,41.0,65.75,31.125,67.5,21.625,47.5
147,P,27.781,53.125,21.75,41.125,65.375,31.0,67.5,21.5,46.75
148,P,27.781,52.875,21.25,41.0,65.625,31.125,67.75,20.875,46.25
149,P,27.781,52.5,21.375,41.375,65.125,31.0,67.5,20.875,45.625
150,P,27.672,52.5,21.5,41.75,65.0,30.875,66.75,20.875,45.375
151,P,26.891,51.75,21.5,40.875,64.875,30.5,68.0,20.75,44.625
152,P,27.109,51.125,21.25,39.375,63.875,30.0,67.125,20.125,44.0
153,P,26.5,50.875,20.5,39.0,63.125,29.875,65.375,19.75,43.125
154,P,26.5,51.0,20.75,39.25,63.125,30.25,65.0,19.75,43.125
155,P,26.438,50.5,20.75,40.375,63.0,30.0,65.625,19.875,42.75
156,P,26.063,49.875,20.75,40.0,62.625,29.625,64.75,19.625,41.0
157,P,26.0,49.5,21.5,39.0,63.0,29.625,64.25,19.75,41.75
158,P,26.281,50.25,21.75,39.0,62.75,29.625,65.125,19.875,41.75
159,P,26.063,49.875,21.875,38.875,64.0,29.625,64.75,20.0,41.5
160,P,25.938,49.75,21.75,39.125,64.5,30.0,64.125,19.5,41.125
161,P,25.563,49.375,21.25,39.0,63.875,29.875,63.5,19.625,40.75
162,P,25.172,49.125,21.125,38.75,63.0,29.5,63.75,19.75,41.0
163,P,26.109,49.625,21.5,39.125,62.25,29.75,64.75,19.875,41.75
164,P,26.063,49.625,21.25,39.25,63.0,29.5,64.5,19.875,42.125
165,P,26.219,49.75,21.125,39.375,62.625,29.25,64.875,19.875,42.125
166,P,26.5,49.75,21.375,39.625,62.5,29.625,65.5,20.125,42.75
167,P,26.438,49.25,22.5,39.5,62.875,29.5,65.75,20.125,42.0
168,P,26.219,49.5,22.25,39.0,62.0,29.875,66.0,20.375,42.25
169,P,25.938,49.75,21.875,39.125,61.0,29.5,64.5,19.875,42.25
170,P,26.438,51.75,22.125,40.0,62.875,30.0,65.25,20.875,42.125
171,P,26.438,51.375,22.125,40.125,64.0,30.0,65.875,21.0,41.875
172,P,26.563,51.5,22.125,40.625,64.0,29.875,66.375,20.875,41.625
173,P,26.672,51.5,22.125,40.625,64.375,29.875,66.875,21.0,42.125
174,P,26.828,51.5,22.0,40.25,63.75,30.375,67.375,20.75,42.75
175,P,27.0,51.25,22.0,40.375,63.875,30.25,69.0,20.625,42.75
176,P,27.672,51.375,22.125,40.625,64.125,30.25,68.75,20.375,42.75
177,P,27.781,51.375,22.125,41.0,64.875,30.375,68.75,20.25,43.75
178,P,27.563,51.0,22.0,40.625,64.625,30.25,68.5,20.0,43.5
179,P,27.328,51.25,21.875,40.625,65.25,30.25,69.625,21.125,43.875
180,P,27.281,50.75,21.875,40.625,64.625,30.0,70.5,21.0,43.375
181,P,27.109,50.625,21.875,40.375,64.75,30.625,70.125,21.375,43.625
182,P,27.063,50.75,21.75,40.625,65.0,30.25,70.0,21.375,43.75
183,P,26.781,50.75,21.625,40.5,65.875,30.375,69.375,21.375,43.875
184,P,27.281,50.375,21.0,40.875,66.375,30.375,69.5,21.625,44.25
185,P,27.563,50.125,21.25,41.0,66.875,30.375,69.625,21.625,44.25
186,P,27.438,50.25,21.75,41.5,67.0,30.25,69.375,21.75,44.25
187,P,27.672,50.25,21.5,41.875,67.75,30.25,69.625,21.875,44.25
188,P,28.281,50.0,21.625,42.125,69.0,30.875,70.375,21.75,44.375
189,P,28.5,50.5,21.625,42.875,69.625,30.875,71.5,22.25,44.625
190,P,28.172,50.625,21.5,42.5,70.125,31.625,71.375,22.375,46.0
191,P,28.328,50.5,21.75,41.625,71.375,31.5,71.5,21.875,45.75
192,P,28.563,50.625,22.25,42.0,72.0,31.625,71.625,22.0,46.375
193,P,28.5,50.375,22.75,42.125,72.25,31.5,72.25,21.875,46.5
194,P,29.219,50.75,22.875,42.75,74.0,32.625,73.75,22.625,47.625
195,P,29.391,51.125,22.625,43.125,74.5,32.625,73.5,23.0,46.75
196,P,29.328,51.625,22.75,43.0,74.0,33.125,73.25,22.5,46.5
197,P,28.672,50.75,22.375,42.125,73.0,32.875,73.0,21.875,45.625
198,P,28.609,50.75,22.375,42.625,73.25,32.875,72.875,21.875,45.875
199,P,28.891,50.75,22.25,42.75,73.25,32.875,72.25,21.5,45.875
200,P,29.109,51.25,22.875,42.75,72.5,32.75,72.125,21.75,47.0
201,P,29.781,51.375,22.625,43.0,74.5,32.875,72.75,22.0,45.25
202,P,29.5,51.25,22.25,42.25,75.375,32.75,71.875,21.0,45.0
203,P,30.0,51.75,22.25,43.375,77.375,33.125,73.875,22.25,45.75
204,P,29.781,53.375,22.5,44.0,77.875,33.25,73.25,22.5,46.0
205,P,29.563,52.875,22.375,43.0,77.875,32.875,72.875,21.75,45.0
206,P,29.281,52.625,22.25,43.75,77.0,33.0,73.0,21.625,45.125
207,P,29.172,52.625,22.125,43.875,75.75,33.125,73.0,21.375,44.75
208,P,28.828,52.0,22.75,43.75,75.0,33.125,72.25,20.375,44.125
209,P,28.781,52.875,22.625,44.125,75.75,33.375,72.5,21.0,44.0
210,P,28.828,53.5,23.25,44.375,76.375,34.375,72.0,21.75,44.0
211,P,28.828,54.25,23.625,44.375,77.25,35.0,71.625,22.0,44.875
212,P,28.328,54.25,23.0,43.625,78.375,35.25,72.125,21.625,44.25
213,P,28.891,54.0,23.125,43.625,79.0,35.125,72.125,21.625,44.0
214,P,28.5,53.125,22.75,43.375,78.5,34.625,71.0,21.25,43.0
215,P,28.328,52.625,22.5,42.875,78.125,34.5,70.5,20.625,42.25
216,P,28.438,52.75,22.375,43.125,78.0,35.0,70.375,20.875,43.0
217,P,28.219,52.125,21.375,43.375,77.75,35.125,69.625,19.875,42.75
218,P,28.063,52.125,21.375,43.375,77.75,34.875,70.0,20.125,42.5
219,P,27.391,51.125,20.75,42.5,76.5,33.0,68.0,18.875,40.75
220,P,27.172,51.25,20.75,42.375,76.5,32.75,68.5,19.625,41.125
221,P,27.391,51.0,21.0,41.875,76.75,33.125,68.75,19.5,41.25
222,P,27.063,50.25,20.25,41.625,76.0,32.75,68.25,18.875,41.25
223,P,27.5,49.875,20.125,41.375,76.5,32.5,68.75,19.25,41.625
224,P,27.672,50.125,20.375,41.375,75.75,32.75,69.375,19.625,41.75
225,P,27.5,50.25,20.625,41.5,76.125,32.875,69.125,19.875,42.375
226,P,27.5,50.5,21.0,41.75,75.875,33.0,69.5,19.75,42.125
227,P,27.891,50.125,21.125,41.75,76.0,32.75,69.375,19.875,41.375
228,P,27.563,50.125,20.875,40.75,75.75,31.875,69.25,19.375,41.25
229,P,27.063,50.125,20.5,41.625,75.375,32.25,69.25,19.625,41.75
230,P,27.438,50.0,20.5,41.5,75.375,32.5,71.5,19.875,42.125
231,P,27.563,50.5,21.0,41.875,76.875,32.5,70.875,20.5,42.25
232,P,27.438,49.875,21.125,42.125,77.25,31.875,70.25,20.375,42.25
233,P,27.719,49.375,21.0,41.75,77.375,31.75,70.5,20.25,41.625
234,P,28.5,50.125,21.25,42.0,77.875,31.875,70.25,20.75,42.0
235,P,28.281,50.875,21.25,41.875,78.0,31.625,70.75,21.0,42.75
236,P,28.063,50.125,21.125,40.625,77.375,30.75,71.625,21.125,43.0
237,P,27.891,50.0,20.75,40.0,76.625,29.0,71.0,20.75,42.875
238,P,27.891,50.375,20.75,39.875,76.5,29.125,71.0,20.5,42.125
239,P,27.563,50.375,20.875,39.875,76.875,28.5,71.0,20.625,42.0
240,P,27.391,50.625,20.5,40.125,76.75,28.875,71.0,21.125,41.5
241,P,27.391,50.5,20.625,40.25,76.5,28.75,70.75,21.0,41.875
242,P,27.328,51.0,20.25,39.75,76.625,28.25,70.375,20.875,42.625
243,P,27.172,51.0,20.375,40.0,76.25,28.5,70.125,20.875,43.75
244,P,27.172,50.875,20.125,40.375,76.0,27.25,69.75,21.5,43.375
245,P,26.719,50.75,19.875,40.0,76.125,26.5,69.625,21.5,42.25
246,P,26.0,50.5,19.375,39.75,74.75,25.75,69.875,21.0,41.625
247,P,26.281,50.75,19.5,39.5,75.0,25.625,68.875,20.625,41.0
248,P,26.563,50.875,19.5,39.75,74.875,25.5,68.375,21.125,41.375
249,P,26.172,50.75,19.375,40.0,74.5,25.75,68.375,21.0,41.125
250,P,26.563,50.25,19.625,40.0,75.125,26.25,68.0,21.625,41.25
251,P,27.109,50.375,20.0,40.5,75.375,27.0,68.0,22.0,41.75
252,P,26.938,50.75,19.75,40.5,75.25,27.75,67.0,21.75,41.625
253,P,26.5,50.625,19.625,39.625,75.25,27.75,66.75,21.875,41.5
254,P,26.609,50.875,20.125,40.25,76.75,28.0,67.5,22.0,42.25
255,P,26.719,50.875,20.125,40.75,77.125,27.875,67.375,21.625,42.25
256,P,27.0,50.875,20.125,40.875,77.375,28.25,67.75,21.625,42.375
257,P,26.672,52.0,19.875,40.875,77.625,28.25,67.0,20.875,43.0
258,P,26.5,51.625,20.125,40.5,78.0,28.125,66.375,21.125,42.0
259,P,26.719,51.375,20.0,40.5,78.875,28.375,66.375,21.375,42.5
260,P,27.328,50.25,19.75,40.75,79.5,28.125,67.125,21.75,42.25
261,P,27.172,50.875,19.75,40.625,79.375,27.125,67.5,21.875,42.5
262,P,27.172,51.375,19.875,40.375,80.0,26.625,67.125,21.625,41.75
263,P,26.891,51.125,19.875,40.0,79.75,26.5,67.0,22.0,42.375
264,P,27.281,51.25,20.0,40.0,81.0,26.375,67.25,21.875,42.5
265,P,27.219,51.25,20.0,40.375,82.5,26.25,66.875,21.75,42.75
266,P,26.609,50.875,20.125,40.25,82.25,26.5,67.125,21.625,42.5
267,P,26.0,50.25,19.875,40.125,82.375,26.125,66.875,21.25,42.875
268,P,26.438,50.25,20.125,40.625,83.5,26.75,67.5,21.75,43.625
269,P,27.172,50.125,20.0,41.125,84.0,26.25,68.75,21.5,44.0
270,P,28.0,49.875,19.875,42.25,84.625,26.125,70.25,21.625,44.0
271,P,28.109,50.875,20.0,42.625,86.0,26.5,70.5,21.625,44.125
272,P,27.938,51.25,20.125,42.5,85.625,26.75,70.5,21.625,44.375
273,P,28.172,51.25,20.25,42.25,86.375,26.625,71.5,22.0,44.5
274,P,28.391,50.0,20.375,42.25,86.875,27.0,71.75,22.125,44.375
275,P,28.219,51.0,20.5,42.0,86.75,27.375,71.0,22.125,44.375
276,P,28.281,50.875,20.125,41.75,87.0,27.75,71.25,22.0,44.625
277,P,28.109,51.0,19.875,42.125,88.125,27.875,71.125,22.5,45.125
278,P,28.281,51.5,20.125,43.625,89.0,28.0,71.25,22.875,45.875
279,P,28.063,51.5,20.25,44.375,91.25,27.75,71.125,22.25,44.75
280,P,27.891,50.75,20.0,44.125,90.0,27.5,70.75,21.75,45.5
281,P,27.781,50.125,20.0,43.25,88.875,27.0,69.875,22.0,45.0
282,P,27.5,50.375,20.125,43.375,88.75,27.375,68.75,22.0,45.25
283,P,27.781,49.875,20.0,43.875,89.0,27.375,68.25,21.75,45.125
284,P,27.719,49.75,20.0,43.875,89.125,26.875,68.375,22.0,45.0
285,P,27.609,50.5,20.125,43.75,89.625,27.375,68.5,22.0,44.875
286,P,27.938,50.625,20.0,44.125,90.25,28.125,68.375,22.25,45.625
287,P,28.281,50.875,20.0,43.75,89.75,27.625,68.0,22.375,45.375
288,P,27.781,50.625,20.0,43.0,88.375,27.5,67.75,21.625,45.125
289,P,27.781,50.625,20.0,43.0,88.625,27.75,67.375,21.375,45.25
290,P,27.172,50.25,20.0,42.0,86.75,27.5,66.625,21.0,44.875
291,P,27.109,50.75,20.125,42.375,86.375,27.75,66.5,21.125,44.375
292,P,27.5,50.75,20.25,43.125,87.375,28.0,67.25,21.5,44.75
293,P,27.563,50.375,20.5,42.625,87.375,28.0,66.25,21.25,44.5
294,P,28.219,50.875,20.625,43.375,88.5,28.375,66.75,22.0,44.75
295,P,28.938,50.75,20.75,44.25,88.75,28.5,68.0,22.125,45.0
296,P,29.063,50.75,21.625,43.875,90.0,29.25,69.375,22.875,45.375
297,P,29.063,50.875,21.375,43.875,89.75,29.125,68.625,22.25,45.25
298,P,28.891,53.25,21.5,44.125,89.5,29.625,68.25,22.0,45.125
299,P,28.938,52.875,21.625,44.625,89.75,29.375,68.0,21.875,44.75
300,P,29.563,52.75,21.5,44.875,90.0,29.0,67.875,21.625,44.625
301,P,29.719,53.0,21.75,45.75,90.75,29.0,68.0,22.125,45.125
302,P,29.781,53.0,21.625,45.5,91.25,28.5,68.0,21.875,44.875
303,P,30.281,53.5,21.75,45.875,92.25,28.0,68.625,22.0,44.875
304,P,30.781,54.0,22.125,45.875,92.625,28.125,69.0,22.5,45.25
305,P,30.109,53.375,21.5,44.875,89.375,27.5,67.5,22.25,44.125
306,P,29.391,53.125,21.5,45.0,89.5,27.125,66.75,21.5,44.0
307,P,29.328,53.375,21.625,45.125,90.375,27.25,66.125,21.5,43.75
308,P,29.109,53.75,21.875,45.375,90.75,27.5,66.125,21.5,43.5
309,P,28.891,53.5,22.0,45.125,90.875,27.0,66.0,21.125,42.75
310,P,28.828,53.625,21.875,45.0,90.375,26.75,66.375,21.0,43.375
311,P,29.781,54.0,21.75,45.375,90.25,26.75,66.875,21.0,43.75
312,P,29.938,53.625,22.0,45.0,91.125,27.125,67.0,20.875,44.0
313,P,30.219,53.75,22.375,45.625,92.5,27.0,67.375,22.0,44.125
314,P,30.328,54.25,22.0,45.5,91.875,27.5,68.625,22.25,44.5
315,P,30.063,54.25,21.875,45.25,91.625,27.625,69.0,22.0,45.125
316,P,30.5,53.875,21.375,44.625,91.875,27.25,69.0,22.0,45.125
317,P,30.891,53.5,21.25,45.0,91.625,27.625,67.875,21.75,44.875
318,P,30.781,53.25,20.875,45.0,91.75,27.5,67.75,21.375,44.75
319,P,30.719,53.75,21.125,45.0,91.125,28.0,67.875,21.875,44.5
320,P,30.781,54.0,20.75,45.125,91.25,28.125,67.875,21.625,44.125
321,P,31.063,54.5,21.0,45.125,91.375,28.5,67.75,21.5,44.375
322,P,31.172,55.0,21.375,45.125,92.5,27.75,67.625,21.875,44.75
323,P,30.938,54.375,21.0,44.75,92.5,27.375,67.0,21.5,44.375
324,P,31.781,55.0,21.375,45.625,92.0,27.75,67.625,22.0,45.25
325,P,31.891,55.125,21.25,45.75,93.0,27.5,67.375,21.875,45.0
326,N,32.5,56.0,21.25,46.375,94.125,27.625,68.0,22.0,44.875
327,N,32.563,56.375,20.875,46.375,93.875,26.875,68.625,22.0,45.0
328,N,32.328,56.5,21.0,46.125,93.75,27.125,68.875,22.125,44.875
329,N,32.438,56.875,21.25,45.5,88.125,27.375,68.625,22.5,45.125
330,N,32.219,56.375,20.75,45.75,85.125,27.375,68.75,22.125,45.25
331,N,32.109,56.625,20.625,45.25,85.875,26.75,69.0,22.0,45.25
332,N,32.891,56.375,20.25,45.25,84.125,26.625,69.375,21.875,45.25
333,N,33.672,56.25,20.625,45.875,84.375,26.75,69.875,21.75,45.125
334,N,33.719,55.875,20.5,45.25,84.75,26.875,69.875,22.125,44.875
335,N,34.281,56.75,20.625,45.25,84.5,27.125,69.625,22.125,44.75
336,N,34.828,56.875,20.75,45.125,83.5,26.75,69.875,22.0,44.125
337,N,34.563,56.625,20.625,45.0,82.0,26.75,70.0,22.25,44.25
338,N,34.0,56.0,20.5,44.875,80.625,26.625,69.625,22.0,44.75
339,N,34.063,56.875,20.625,44.0,80.375,26.75,70.125,22.0,44.75
340,N,33.719,57.0,20.375,43.75,78.75,26.25,68.875,21.875,43.875
341,N,33.609,56.375,20.625,43.875,78.75,26.375,68.375,21.875,43.25
342,N,33.5,56.25,20.75,43.5,78.625,26.25,68.375,21.875,42.875
343,N,34.5,56.25,20.625,43.625,79.125,26.25,68.375,21.875,42.875
344,N,35.563,56.5,20.875,44.125,79.375,26.375,68.875,22.125,43.5
345,N,36.281,56.5,20.875,45.125,78.875,26.25,69.25,22.25,44.0
346,N,36.609,56.75,20.875,45.625,78.625,26.125,69.625,22.25,43.75
