,binaryClass_cat,Gold2000_num,Silver2000_num,Bronze2000_num,Total2000_num,Population_num,Athletes_num,GDP_num,Total1996_num,Log1996_num,Log.population_num,Log.GDP_num
40,P,0.0,1.0,4.0,5.0,6660.0,55.0,297953.0,1.0,0.0,8.803875,12.604691
41,P,0.0,1.0,4.0,5.0,27377.0,60.0,34936.0,2.0,0.693147,10.217459,10.461273
42,P,3.0,0.0,1.0,4.0,65758.0,35.0,347600.0,3.0,1.098612,11.093737,12.758808
43,P,2.0,1.0,1.0,4.0,5154.0,78.0,119086.0,4.0,1.386294,8.547528,11.687601
44,P,1.0,1.0,2.0,4.0,23574.0,80.0,23490.0,2.0,0.693147,10.0679,10.06433
45,N,1.0,0.0,3.0,4.0,3796.0,165.0,57135.0,6.0,1.791759,8.241703,10.953172
46,N,0.0,2.0,2.0,4.0,36123.0,152.0,295131.0,3.0,1.098612,10.494685,12.595175
47,P,0.0,1.0,3.0,4.0,46109.0,31.0,20867.0,5.0,1.609438,10.738763,9.945924
48,P,2.0,1.0,0.0,3.0,8140.0,97.0,226510.0,3.0,1.098612,9.004545,12.330544
49,P,2.0,0.0,1.0,3.0,7669.0,31.0,3642.0,1.0,0.0,8.944942,8.200288
50,P,1.0,1.0,1.0,3.0,2424.0,48.0,5730.0,1.0,0.0,7.793174,8.653471
51,N,1.0,1.0,1.0,3.0,10635.0,121.0,20039.0,4.0,1.386294,9.271906,9.905436
52,P,1.0,0.0,2.0,3.0,60300.0,59.0,177476.0,2.0,0.693147,11.007087,12.086591
53,P,0.0,3.0,0.0,3.0,106409.0,91.0,27599.0,6.0,1.791759,11.575045,10.225535
54,P,2.0,0.0,0.0,2.0,1993.0,90.0,18390.0,2.0,0.693147,7.597396,9.819562
55,P,1.0,1.0,0.0,2.0,296.0,28.0,3391.0,1.0,0.0,5.690359,8.12888
56,N,1.0,0.0,1.0,2.0,4784.0,113.0,181130.0,2.0,0.693147,8.473032,12.10697
57,P,0.0,1.0,1.0,2.0,1283.0,23.0,5017.0,2.0,0.693147,7.156956,8.520587
58,P,0.0,1.0,1.0,2.0,4378.0,34.0,2542.0,2.0,0.693147,8.384347,7.840706
59,P,0.0,0.0,2.0,2.0,3841.0,7.0,9081.0,1.0,0.0,8.253488,9.11394
60,P,0.0,0.0,2.0,2.0,9869.0,85.0,100934.0,2.0,0.693147,9.197154,11.522222
61,P,1.0,0.0,0.0,1.0,18880.0,5.0,1472.0,1.0,0.0,9.845858,7.294377
62,P,0.0,1.0,0.0,1.0,3681.0,78.0,73700.0,4.0,1.386294,8.21094,11.207758
63,P,0.0,0.0,1.0,1.0,3536.0,28.0,2387.0,2.0,0.693147,8.170751,7.777793
64,P,0.0,0.0,1.0,1.0,5984.0,40.0,90310.0,1.0,0.0,8.696845,11.411003
65,P,0.0,0.0,1.0,1.0,982223.0,78.0,357759.0,1.0,0.0,13.797574,12.787615
