,Bonds.out_cat,StL.month_cat,StL.date_num,StL.season.day_num,StL.home_cat,StL.runs_num,StL.opp.runs_num,StL.win_cat,McGwire.HR_cat,McGwire.out_cat,Chi.month_cat,Chi.date_num,Chi.season.day_num,Chi.home_cat,Chi.runs_num,Chi.opp.runs_num,Chi.win_cat,Sosa.HR_cat,Sosa.out_cat,SF.month_cat,SF.date_num,SF.season.day_num,SF.home_cat,SF.runs_num,SF.opp.runs_num,SF.win_cat,Bonds.HR_cat
29,0,May,3,34,0,8,5,1,0,0,May,3,34,1,5,8,0,1,0,May,6.0,35.0,0,8.0,10.0,0,0
30,0,May,5,36,0,2,5,0,0,0,May,5,36,1,5,10,0,0,0,May,7.0,36.0,1,6.0,2.0,1,0
31,0,May,6,37,0,0,5,0,0,0,May,6,37,1,2,0,1,0,0,May,8.0,37.0,1,9.0,1.0,1,0
32,0,May,7,38,0,1,4,0,0,0,May,8,39,1,5,4,1,0,0,May,9.0,38.0,1,0.0,8.0,0,0
33,1,May,8,39,0,2,9,0,1,0,May,9,40,1,6,0,1,0,0,May,10.0,39.0,1,13.0,0.0,1,0
34,0,May,11,42,1,7,0,1,0,0,May,9,40,1,1,5,0,0,0,May,11.0,40.0,1,3.0,2.0,1,1
35,0,May,12,43,1,6,5,1,1,0,May,10,41,1,0,3,0,0,0,May,12.0,41.0,1,10.0,3.0,1,0
36,0,May,13,44,1,2,10,0,0,0,May,11,42,0,4,2,1,0,0,May,13.0,42.0,1,6.0,3.0,1,0
37,0,May,14,45,1,3,7,0,1,0,May,12,43,0,7,6,1,0,0,May,15.0,44.0,0,7.0,4.0,1,0
38,0,May,15,46,1,7,8,0,0,0,May,13,44,0,9,3,1,0,0,May,16.0,45.0,0,3.0,4.0,0,0
39,0,May,16,47,1,5,4,1,1,0,May,14,45,0,9,7,1,0,0,May,17.0,46.0,0,3.0,8.0,0,1
40,0,May,17,48,1,13,4,1,0,0,May,15,46,0,3,11,0,0,0,May,18.0,47.0,0,5.0,6.0,0,1
41,0,May,18,49,1,3,7,0,1,0,May,16,47,0,5,4,1,1,0,May,19.0,48.0,0,6.0,3.0,1,3
42,0,May,19,50,0,10,8,1,3,0,May,17,48,0,10,1,1,0,0,May,20.0,49.0,0,6.0,11.0,0,2
43,0,May,20,51,0,8,5,1,0,1,May,19,50,1,6,3,1,0,0,May,21.0,50.0,0,2.0,4.0,0,1
44,0,May,21,52,0,3,4,0,0,0,May,20,51,1,5,0,1,0,0,May,22.0,51.0,0,8.0,12.0,0,1
45,0,May,22,53,1,4,3,1,1,0,May,21,52,1,3,7,0,0,0,May,23.0,52.0,0,5.0,1.0,1,0
46,0,May,23,54,1,11,10,1,2,0,May,22,53,0,2,8,0,1,0,May,24.0,53.0,1,5.0,1.0,1,1
47,0,May,24,55,1,6,9,0,1,0,May,23,54,0,10,6,1,0,0,May,25.0,54.0,1,1.0,6.0,0,0
48,1,May,25,56,1,1,6,0,1,0,May,24,55,0,1,2,0,0,0,May,26.0,55.0,1,4.0,10.0,0,0
49,0,May,27,58,1,2,1,1,0,0,May,25,56,0,5,9,0,2,0,May,27.0,56.0,1,5.0,4.0,1,1
50,0,May,28,59,1,4,1,1,0,0,May,27,58,1,5,10,0,2,0,May,28.0,57.0,1,1.0,2.0,0,0
51,0,May,29,60,0,8,3,1,1,0,May,28,59,1,7,8,0,0,0,May,29.0,58.0,1,0.0,1.0,0,0
52,0,May,30,61,0,2,3,0,1,0,May,29,60,1,5,3,1,0,1,May,30.0,59.0,1,3.0,4.0,0,2
53,0,May,31,62,0,3,7,0,0,0,May,30,61,1,9,8,1,0,1,June,1.0,61.0,0,11.0,7.0,1,1
54,0,June,1,63,0,2,3,0,0,0,May,31,62,1,4,2,1,0,1,June,2.0,62.0,0,5.0,7.0,0,0
55,0,June,2,64,0,7,4,1,0,1,June,1,63,1,10,2,1,2,0,June,3.0,63.0,0,2.0,11.0,0,0
56,0,June,3,65,0,4,7,0,0,1,June,2,64,1,2,1,1,0,0,June,4.0,64.0,1,3.0,1.0,1,1
57,0,June,4,66,0,2,3,0,0,1,June,3,65,1,5,1,1,1,0,June,5.0,65.0,1,7.0,6.0,1,1
58,1,June,5,67,1,2,3,0,1,0,June,5,67,1,6,5,1,1,0,June,6.0,66.0,1,6.0,4.0,1,0
59,0,June,6,68,1,4,5,0,0,0,June,6,68,1,7,6,1,1,0,June,7.0,67.0,1,7.0,10.0,0,1
60,0,June,7,69,1,5,6,0,0,0,June,7,69,1,13,7,1,1,0,June,8.0,68.0,0,2.0,4.0,0,0
61,0,June,8,70,0,6,8,0,1,0,June,8,70,0,8,1,1,1,0,June,9.0,69.0,0,4.0,3.0,1,0
62,0,June,9,71,0,5,4,1,0,0,June,9,71,0,0,8,0,0,0,June,10.0,70.0,0,2.0,6.0,0,0
63,0,June,10,72,0,8,10,0,1,0,June,10,72,0,1,5,0,0,0,June,12.0,72.0,1,3.0,2.0,1,1
64,0,June,12,74,0,9,4,1,1,0,June,12,74,0,0,4,0,0,0,June,13.0,73.0,1,1.0,0.0,1,0
65,0,June,13,75,0,4,7,0,0,0,June,13,75,0,10,8,1,1,0,June,14.0,74.0,1,10.0,4.0,1,1
66,0,June,14,76,0,2,0,1,0,0,June,14,76,0,2,4,0,0,0,June,15.0,75.0,1,3.0,1.0,1,2
67,0,June,16,78,0,9,4,1,0,0,June,15,77,1,6,5,1,3,0,June,16.0,76.0,1,2.0,1.0,1,0
68,0,June,17,79,0,5,6,0,1,0,June,16,78,1,2,11,0,0,0,June,17.0,77.0,1,3.0,0.0,1,0
69,0,June,18,80,0,7,6,1,1,0,June,17,79,1,5,6,0,1,0,June,19.0,79.0,0,3.0,4.0,0,1
70,0,June,19,81,1,5,0,1,0,0,June,18,80,1,12,5,1,0,0,June,20.0,80.0,0,8.0,6.0,1,1
71,1,June,20,82,1,4,2,1,0,0,June,19,81,1,8,9,0,2,0,June,21.0,81.0,0,8.0,3.0,1,0
72,0,June,21,83,1,5,4,1,0,0,June,20,82,1,9,4,1,2,0,June,22.0,82.0,0,10.0,5.0,1,0
73,0,June,22,84,1,4,1,1,0,0,June,21,83,1,2,7,0,1,0,June,23.0,83.0,0,5.0,6.0,0,1
74,0,June,23,85,1,1,8,0,0,0,June,22,84,1,1,3,0,0,0,June,24.0,84.0,0,3.0,7.0,0,0
75,0,June,24,86,0,3,14,0,1,0,June,23,85,1,4,5,0,0,0,June,25.0,85.0,1,5.0,2.0,1,0
76,0,June,25,87,0,2,8,0,1,0,June,24,86,0,6,7,0,1,0,June,26.0,86.0,1,8.0,14.0,0,0
77,0,June,26,88,0,1,5,0,0,0,June,25,87,0,4,6,0,1,0,June,27.0,87.0,1,3.0,7.0,0,0
78,0,June,27,89,0,7,2,1,1,0,June,26,88,0,3,6,0,0,0,June,29.0,89.0,1,3.0,2.0,1,0
79,1,June,28,90,0,2,3,0,0,0,June,27,89,0,3,4,0,0,0,June,30.0,90.0,1,5.0,2.0,1,0
80,0,June,30,92,1,1,6,0,1,0,June,28,90,0,6,3,1,0,0,July,1.0,91.0,1,5.0,4.0,1,0
81,0,July,1,93,1,4,6,0,0,0,June,30,92,1,4,5,0,1,0,July,2.0,92.0,0,6.0,8.0,0,0
82,0,July,2,94,1,3,0,1,0,0,July,1,93,1,6,4,1,0,0,July,3.0,93.0,0,3.0,4.0,0,0
83,0,July,3,95,0,3,6,0,0,0,July,2,94,1,3,2,1,0,0,July,4.0,94.0,0,3.0,4.0,0,0
84,0,July,4,96,0,4,5,0,0,0,July,3,95,1,12,9,1,0,0,July,5.0,95.0,0,3.0,2.0,1,0
85,0,July,5,97,0,1,6,0,0,0,July,4,96,1,5,4,1,0,0,July,6.0,96.0,1,3.0,2.0,1,0
86,0,July,9,101,1,4,5,0,0,0,July,5,97,1,7,6,1,0,1,July,7.0,97.0,1,3.0,13.0,0,0
87,0,July,10,102,1,6,3,1,0,0,July,9,101,0,9,12,0,1,0,July,8.0,98.0,1,4.0,6.0,0,0
88,0,July,11,103,1,4,3,1,1,0,July,10,102,0,5,6,0,1,0,July,12.0,102.0,0,3.0,4.0,0,1
89,0,July,12,104,1,6,4,1,2,0,July,11,103,0,11,8,1,0,0,July,13.0,103.0,0,5.0,3.0,1,0
90,0,July,13,105,1,5,6,0,0,0,July,12,104,0,3,0,1,0,0,July,14.0,104.0,0,2.0,3.0,0,0
91,0,July,14,106,1,4,7,0,0,0,July,13,105,0,2,6,0,0,0,July,15.0,105.0,0,7.0,6.0,1,0
92,0,July,15,107,1,2,4,0,0,0,July,14,106,0,7,4,1,0,0,July,16.0,106.0,0,0.0,2.0,0,0
93,0,July,16,108,1,2,8,0,0,0,July,15,107,0,0,3,0,0,0,July,17.0,107.0,0,10.0,2.0,1,0
94,0,July,17,109,1,4,1,1,2,0,July,17,109,0,6,1,1,1,0,July,18.0,108.0,1,10.0,0.0,1,2
95,0,July,18,110,1,8,10,0,0,0,July,18,110,0,1,2,0,0,0,July,19.0,109.0,1,2.0,1.0,1,0
96,0,July,19,111,1,5,4,1,0,0,July,19,111,0,7,6,1,0,0,July,20.0,110.0,1,1.0,0.0,1,0
97,0,July,20,112,0,13,1,1,1,0,July,20,112,0,11,4,1,0,0,July,21.0,111.0,1,2.0,9.0,0,0
98,0,July,21,113,0,3,6,0,0,0,July,21,113,0,3,0,1,0,0,July,22.0,112.0,1,4.0,12.0,0,0
99,0,July,22,114,0,3,2,1,0,0,July,22,114,1,9,5,1,1,0,July,23.0,113.0,0,2.0,8.0,0,0
100,0,July,23,115,0,8,1,1,0,0,July,23,115,1,2,1,1,0,0,July,24.0,114.0,0,4.0,6.0,0,0
101,0,July,24,116,0,3,12,0,0,0,July,24,116,1,0,5,0,0,0,July,25.0,115.0,0,9.0,3.0,1,0
102,0,July,25,117,0,2,5,0,0,0,July,24,116,1,3,7,0,0,0,July,26.0,116.0,0,11.0,3.0,1,2
103,0,July,26,118,0,3,1,1,1,0,July,25,117,1,3,2,1,0,0,July,27.0,117.0,0,9.0,5.0,1,1
104,0,July,28,120,1,10,13,0,1,0,July,26,118,1,3,1,1,1,0,July,28.0,118.0,0,11.0,4.0,1,0
105,0,July,29,121,1,1,2,0,0,0,July,27,119,0,6,2,1,2,0,July,29.0,119.0,0,4.0,3.0,1,0
106,0,July,30,122,1,3,2,1,0,0,July,28,120,0,5,7,0,1,0,July,31.0,121.0,1,8.0,7.0,1,0
107,0,July,31,123,0,3,2,1,0,0,July,29,121,0,7,3,1,0,0,August,1.0,122.0,1,3.0,1.0,1,1
108,1,August,1,124,0,1,3,0,0,0,July,30,122,0,0,4,0,0,0,August,2.0,123.0,1,3.0,0.0,1,0
109,0,August,2,125,0,3,4,0,0,0,July,31,123,1,9,1,1,1,0,August,3.0,124.0,1,4.0,2.0,1,0
110,0,August,3,126,0,5,6,0,0,0,August,1,124,1,3,2,1,0,0,August,4.0,125.0,1,2.0,12.0,0,1
111,0,August,4,127,0,2,1,1,0,0,August,2,125,1,3,6,0,0,0,August,5.0,126.0,1,8.0,4.0,1,0
112,0,August,5,128,0,5,1,1,0,1,August,3,126,1,5,6,0,0,0,August,7.0,128.0,0,9.0,3.0,1,1
113,0,August,7,130,1,16,3,1,0,0,August,4,127,1,2,0,1,0,0,August,8.0,129.0,0,9.0,11.0,0,0
114,0,August,8,131,1,9,8,1,1,0,August,5,128,1,7,10,0,1,0,August,9.0,130.0,0,6.0,4.0,1,1
115,1,August,9,132,1,2,1,1,0,0,August,7,130,0,3,16,0,0,0,August,10.0,131.0,0,3.0,9.0,0,0
116,0,August,10,133,1,2,4,0,0,0,August,8,131,0,8,9,0,1,0,August,11.0,132.0,0,9.0,4.0,1,1
117,0,August,11,134,1,3,8,0,1,0,August,9,132,0,1,2,0,0,0,August,12.0,133.0,0,7.0,6.0,1,0
118,0,August,12,135,1,5,4,1,0,0,August,10,133,0,8,5,1,2,0,August,14.0,135.0,1,13.0,7.0,1,1
119,0,August,14,137,1,10,5,1,0,0,August,11,134,0,7,8,0,0,0,August,15.0,136.0,1,2.0,1.0,1,0
120,0,August,15,138,1,8,7,1,0,0,August,12,135,0,10,2,1,0,0,August,16.0,137.0,1,5.0,3.0,1,2
121,0,August,16,139,1,1,4,0,0,0,August,14,137,0,6,4,1,0,0,August,17.0,138.0,1,1.0,2.0,0,0
122,0,August,18,141,0,1,4,0,0,0,August,15,138,0,4,5,0,0,0,August,18.0,139.0,1,1.0,3.0,0,1
123,0,August,19,142,0,8,6,1,2,0,August,16,139,0,2,1,1,1,0,August,19.0,140.0,1,4.0,1.0,1,0
124,0,August,20,143,0,2,0,1,1,0,August,18,141,1,4,1,1,0,0,August,21.0,142.0,0,10.0,2.0,1,0
125,0,August,20,143,0,4,5,0,1,0,August,19,142,1,6,8,0,1,0,August,22.0,143.0,0,1.0,7.0,0,0
126,0,August,21,144,0,10,5,1,0,0,August,20,143,1,7,3,1,0,0,August,23.0,144.0,0,10.0,5.0,1,1
127,0,August,21,144,0,0,1,0,0,0,August,21,144,1,6,5,1,1,0,August,24.0,145.0,0,3.0,4.0,0,0
128,0,August,22,145,0,4,14,0,1,0,August,22,145,1,3,8,0,0,0,August,25.0,146.0,0,2.0,3.0,0,0
129,0,August,23,146,0,3,4,0,1,0,August,23,146,1,3,13,0,2,0,August,26.0,147.0,0,5.0,6.0,0,0
130,0,August,24,147,0,5,5,-1,0,1,August,24,147,1,3,12,0,0,0,August,27.0,148.0,0,6.0,5.0,1,1
131,0,August,25,148,1,3,4,0,0,0,August,25,148,0,9,10,0,0,0,August,28.0,149.0,0,1.0,4.0,0,0
132,0,August,26,149,1,6,7,0,1,0,August,26,149,0,9,2,1,1,0,August,29.0,150.0,0,0.0,2.0,0,0
133,0,August,27,150,1,4,6,0,0,0,August,27,150,0,11,10,1,0,0,August,30.0,151.0,0,13.0,5.0,1,0
134,0,August,28,151,1,5,4,1,0,0,August,28,151,0,10,5,1,1,0,August,31.0,152.0,1,2.0,5.0,0,1
135,0,August,29,152,1,3,4,0,0,0,August,29,152,0,3,7,0,0,0,September,1.0,153.0,1,2.0,1.0,1,0
136,0,August,30,153,1,8,7,1,1,0,August,30,153,0,4,3,1,1,0,September,2.0,154.0,1,3.0,1.0,1,0
137,0,August,31,154,0,5,3,1,0,0,August,31,154,1,5,4,1,1,0,September,3.0,155.0,1,1.0,4.0,0,1
138,0,September,1,155,0,7,1,1,2,0,September,1,155,1,6,5,1,0,0,September,4.0,156.0,1,5.0,2.0,1,1
139,0,September,2,156,0,14,4,1,2,0,September,2,156,1,4,2,1,1,0,September,5.0,157.0,1,2.0,7.0,0,0
140,0,September,4,158,1,2,3,0,0,0,September,4,158,0,5,2,1,1,0,September,6.0,158.0,1,9.0,5.0,1,1
141,0,September,5,159,1,7,0,1,1,0,September,5,159,0,8,4,1,1,0,September,7.0,159.0,0,2.0,3.0,0,0
142,0,September,6,160,1,5,2,1,0,0,September,6,160,0,3,4,0,0,0,September,8.0,160.0,0,7.0,3.0,1,0
143,0,September,7,161,1,3,2,1,1,0,September,7,161,0,2,3,0,0,0,September,9.0,161.0,0,9.0,4.0,1,3
144,0,September,8,162,1,6,3,1,1,0,September,8,162,0,3,6,0,0,0,September,18.0,163.0,1,2.0,3.0,0,0
145,0,September,9,163,0,3,6,0,0,0,September,9,163,1,4,2,1,0,0,September,19.0,164.0,1,3.0,10.0,0,0
146,0,September,10,164,0,8,7,1,0,0,September,10,164,1,5,2,1,0,0,September,20.0,165.0,1,4.0,5.0,0,1
147,0,September,11,165,0,2,8,0,0,0,September,11,165,1,11,13,0,1,0,September,21.0,166.0,0,2.0,0.0,1,0
148,0,September,12,166,0,2,3,0,0,0,September,12,166,1,15,12,1,1,0,September,22.0,167.0,0,3.0,4.0,0,0
149,0,September,13,167,0,3,2,1,0,0,September,13,167,1,11,10,1,2,0,September,23.0,168.0,0,11.0,2.0,1,2
150,0,September,14,168,1,7,3,1,0,0,September,14,168,0,3,4,0,0,0,September,24.0,169.0,0,2.0,1.0,1,1
151,0,September,15,169,1,6,8,0,1,0,September,15,169,0,4,2,1,0,0,September,25.0,170.0,0,5.0,9.0,0,0
152,0,September,15,169,1,9,3,1,0,0,September,16,170,0,6,3,1,1,0,September,26.0,171.0,0,6.0,4.0,1,0
153,0,September,16,170,1,4,0,1,0,0,September,17,171,0,4,3,1,0,0,September,28.0,173.0,1,10.0,5.0,1,1
154,0,September,18,172,0,5,2,1,1,0,September,18,172,1,4,6,0,0,0,September,29.0,174.0,1,3.0,1.0,1,1
155,0,September,19,173,0,7,4,1,0,0,September,19,173,1,2,7,0,0,0,September,30.0,175.0,1,4.0,5.0,0,0
156,0,September,20,174,0,11,6,1,1,0,September,20,174,1,3,7,0,0,0,October,2.0,177.0,0,4.0,1.0,1,0
157,0,September,22,176,1,4,0,1,0,0,September,22,176,0,5,2,1,0,0,October,3.0,178.0,0,11.0,8.0,1,0
158,0,September,23,177,1,1,7,0,0,0,September,23,177,0,7,8,0,2,0,October,4.0,179.0,0,10.0,2.0,1,1
159,0,September,24,178,1,6,3,1,0,0,September,25,179,0,2,6,0,1,0,October,5.0,180.0,1,10.0,11.0,0,2
160,0,September,25,179,1,6,5,1,1,0,September,26,180,0,3,2,1,0,0,October,6.0,181.0,1,2.0,6.0,0,0
161,0,September,26,180,1,6,7,0,2,0,September,27,181,0,3,4,0,0,0,October,7.0,182.0,1,2.0,1.0,1,1
162,,September,27,181,1,6,3,1,2,0,September,28,182,1,5,3,1,0,0,,,,,,,,
