,Laid.off_cat,Length.of.service_num,CAP_num,PA.normalized_num,Minority_cat
187,0,21.28,46,17.78,0
188,0,14.99,43,23.34,0
189,0,7.58,47,22.23,0
190,0,28.12,38,24.45,0
191,0,13.15,41,26.67,0
192,0,19.17,39,26.67,0
193,0,6.75,51,18.9,1
194,0,3.19,60,11.1,0
195,0,7.19,51,18.9,0
196,0,17.33,46,21.12,0
197,0,13.31,42,26.67,0
198,0,9.75,50,20.01,1
199,0,7.84,54,16.67,0
200,0,7.31,52,18.9,1
201,0,6.98,51,20.01,0
202,0,3.68,58,14.44,0
203,0,12.31,43,26.67,0
204,0,22.41,43,23.34,0
205,0,9.81,45,25.56,0
206,0,18.54,41,26.67,0
207,0,7.04,45,26.67,0
208,0,4.81,57,15.56,0
209,0,14.62,43,26.67,0
210,0,7.64,51,21.12,1
211,0,12.19,44,26.67,0
212,0,22.3,50,17.78,1
213,0,10.41,44,27.78,0
214,0,7.29,54,18.9,1
215,0,25.99,40,26.67,0
216,0,25.52,44,23.34,1
217,0,6.81,55,18.9,0
218,0,13.54,45,26.67,0
219,0,13.15,49,23.34,0
220,0,8.46,54,20.01,0
221,0,21.83,43,26.67,0
222,0,22.0,43,26.67,0
223,0,13.69,46,26.67,1
224,0,22.67,43,26.67,0
225,0,6.94,54,21.12,0
226,0,7.74,54,21.12,1
227,0,23.49,44,26.67,1
228,0,9.22,49,26.67,0
229,0,21.98,45,26.67,0
230,0,8.19,53,23.34,1
231,0,15.68,48,26.67,0
232,0,16.3,48,26.67,0
233,0,22.61,46,26.67,1
234,0,21.3,47,26.67,0
235,0,27.08,46,26.67,0
236,0,14.11,51,26.67,0
237,0,14.44,51,26.67,0
238,0,17.43,50,26.67,0
239,0,18.35,51,25.56,0
240,0,7.58,58,22.23,1
241,0,15.14,49,28.89,0
242,0,25.52,48,26.67,0
243,0,29.43,46,27.78,0
244,0,20.98,51,26.67,0
245,0,18.52,52,26.67,0
246,0,10.07,56,26.67,0
247,0,22.73,52,26.67,0
248,0,36.47,48,26.67,0
249,0,7.64,60,24.45,0
250,0,13.76,56,26.67,0
251,0,21.26,54,26.67,0
252,0,14.05,57,26.67,0
253,0,17.76,53,30.0,0
254,0,18.05,57,26.67,0
255,0,17.29,54,30.0,0
256,0,14.36,56,30.0,0
257,0,28.56,56,26.67,0
258,0,11.39,59,30.0,0
259,0,10.57,60,30.0,0
260,0,14.62,60,28.89,0
261,0,26.01,59,26.67,0
262,0,15.38,60,30.0,0
263,0,21.2,59,30.0,0
