,RIVER_cat,LOCATION_cat,ERECTED_num,PURPOSE_cat,LENGTH_num,LANES_num,CLEAR-G_cat,T-OR-D_cat,MATERIAL_cat,SPAN_cat,REL-L_cat,TYPE_cat
33,O,45,1890.0,HIGHWAY,,2.0,G,THROUGH,IRON,SHORT,F,SIMPLE-T
34,A,27,1890.0,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
35,M,17,1891.0,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
36,M,18,1891.0,RR,1350.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
37,A,25,1892.0,HIGHWAY,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
38,A,27,1892.0,AQUEDUCT,1092.0,1.0,N,THROUGH,WOOD,SHORT,S,WOOD
39,M,22,1893.0,HIGHWAY,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
40,M,11,1894.0,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
41,M,9,1895.0,HIGHWAY,2367.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
42,O,48,1896.0,HIGHWAY,,2.0,G,THROUGH,STEEL,LONG,F,SUSPEN
43,M,7,1896.0,HIGHWAY,1040.0,2.0,G,THROUGH,STEEL,LONG,F,ARCH
44,A,37,1897.0,RR,4000.0,2.0,G,DECK,STEEL,LONG,F,SIMPLE-T
45,M,14,1897.0,RR,2264.0,,G,THROUGH,STEEL,,F,SIMPLE-T
46,M,15,1898.0,RR,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
47,A,33,1900.0,HIGHWAY,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
48,A,38,1900.0,HIGHWAY,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
49,M,13,1901.0,RR,,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
50,A,34,1902.0,HIGHWAY,1850.0,2.0,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
51,M,16,1903.0,RR,1300.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
52,A,35,1903.0,RR,3000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
53,M,6,1903.0,RR,1417.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
54,M,21,1903.0,RR,1154.0,,G,THROUGH,STEEL,LONG,F,SIMPLE-T
55,M,4,1904.0,RR,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
56,A,28,1904.0,RR,965.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
57,M,2,1904.0,RR,1504.0,,G,THROUGH,STEEL,LONG,F,CANTILEV
58,Y,,1908.0,HIGHWAY,1240.0,,G,,STEEL,MEDIUM,F,SIMPLE-T
59,M,23,1909.0,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
60,A,36,1909.0,HIGHWAY,1730.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
61,O,49,1910.0,RR,1620.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
62,O,43,1911.0,HIGHWAY,1652.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
63,M,10,1914.0,RR,2210.0,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
64,O,41,1915.0,RR,2822.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
65,A,24,1915.0,HIGHWAY,1000.0,4.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
66,A,37,1918.0,RR,2300.0,2.0,N,DECK,STEEL,LONG,F,CONT-T
67,A,31,1920.0,RR,2122.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
68,A,30,1921.0,WALK,,,G,THROUGH,STEEL,,F,SUSPEN
69,A,29,1923.0,HIGHWAY,885.0,4.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
70,A,32,1924.0,HIGHWAY,2365.0,4.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
71,A,27,1926.0,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
72,A,26,1926.0,HIGHWAY,884.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
73,O,46,1927.0,HIGHWAY,1770.0,2.0,G,THROUGH,STEEL,LONG,S-F,CANTILEV
74,A,38,1927.0,HIGHWAY,1508.0,,G,THROUGH,STEEL,MEDIUM,S,ARCH
75,M,5,1927.0,HIGHWAY,2663.0,4.0,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
76,M,1,1927.0,HIGHWAY,1330.0,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
77,A,30,1928.0,HIGHWAY,2678.0,4.0,G,DECK,STEEL,MEDIUM,F,ARCH
78,M,20,1928.0,HIGHWAY,2220.0,2.0,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
79,A,25,1928.0,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
80,M,17,1928.0,HIGHWAY,2250.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
81,O,40,1931.0,HIGHWAY,1365.0,4.0,G,THROUGH,STEEL,LONG,F,ARCH
82,O,42,1931.0,HIGHWAY,1450.0,4.0,N,THROUGH,STEEL,LONG,F,ARCH
83,M,6,1931.0,HIGHWAY,1500.0,4.0,G,THROUGH,STEEL,LONG,F,SUSPEN
84,M,11,1937.0,HIGHWAY,1690.0,4.0,N,DECK,STEEL,LONG,S-F,CONT-T
85,A,34,1939.0,HIGHWAY,1800.0,4.0,G,DECK,STEEL,MEDIUM,F,CANTILEV
86,A,39.5,1945.0,HIGHWAY,1060.0,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
87,A,39.7,1945.0,RR,840.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
88,A,38.5,1945.0,HIGHWAY,1710.0,2.0,N,DECK,STEEL,MEDIUM,S-F,CONT-T
89,O,48,1945.0,HIGHWAY,2160.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
90,Y,52,1945.0,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,S,ARCH
91,Y,51,1945.0,RR,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
92,M,23,1950.0,HIGHWAY,1320.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
93,M,22,1951.0,HIGHWAY,900.0,4.0,G,THROUGH,STEEL,MEDIUM,F,CONT-T
94,M,14,1951.0,HIGHWAY,2423.0,4.0,G,DECK,STEEL,LONG,F,CONT-T
95,M,19,1951.0,HIGHWAY,1031.0,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
96,A,37,1955.0,HIGHWAY,2300.0,4.0,N,DECK,STEEL,LONG,F,CONT-T
97,O,42,1955.0,HIGHWAY,804.0,,G,THROUGH,STEEL,,F,SIMPLE-T
98,O,47,1959.0,HIGHWAY,1700.0,2.0,G,THROUGH,STEEL,LONG,F,CONT-T
99,M,1,1959.0,HIGHWAY,1000.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
100,A,33,1961.0,HIGHWAY,980.0,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
101,M,9,1962.0,HIGHWAY,2213.0,4.0,G,DECK,STEEL,LONG,F,CONT-T
102,A,24,1969.0,HIGHWAY,870.0,6.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
103,O,44,1975.0,HIGHWAY,3756.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
104,M,7,1978.0,HIGHWAY,950.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
