,Count_cat,Show_cat,Type_cat,Revival_cat,NYT_rating_num,DN_rating_num,Week_1_attendance_num,Award_cat
81,6,Hughie,Play,Yes,4.0,2.0,101.58,No_nomination
82,0,Hughie,Play,Yes,4.0,2.0,101.58,Losing_nomination
83,0,Hughie,Play,Yes,4.0,2.0,101.58,Win
84,6,Into_the_Whirlwind,Play,No,,,,No_nomination
85,0,Into_the_Whirlwind,Play,No,,,,Losing_nomination
86,0,Into_the_Whirlwind,Play,No,,,,Win
87,3,It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,No_nomination
88,3,It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,Losing_nomination
89,0,It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,Win
90,5,Ivanov,Play,Yes,4.0,1.66667,92.1,No_nomination
91,1,Ivanov,Play,Yes,4.0,1.66667,92.1,Losing_nomination
92,0,Ivanov,Play,Yes,4.0,1.66667,92.1,Win
93,6,Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,No_nomination
94,0,Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,Losing_nomination
95,0,Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,Win
96,5,Jekyll_and_Hyde,Musical,No,1.66667,4.0,67.76,No_nomination
97,1,Jekyll_and_Hyde,Musical,No,1.66667,4.0,67.76,Losing_nomination
98,0,Jekyll_and_Hyde,Musical,No,1.66667,4.0,67.76,Win
99,4,Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4.0,50.76,No_nomination
100,2,Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4.0,50.76,Losing_nomination
101,0,Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4.0,50.76,Win
102,6,King_David,Musical,No,2.0,2.33333,68.75,No_nomination
103,0,King_David,Musical,No,2.0,2.33333,68.75,Losing_nomination
104,0,King_David,Musical,No,2.0,2.33333,68.75,Win
105,4,Little_Me,Musical,Yes,3.0,2.66667,90.61,No_nomination
106,1,Little_Me,Musical,Yes,3.0,2.66667,90.61,Losing_nomination
107,1,Little_Me,Musical,Yes,3.0,2.66667,90.61,Win
108,3,London_Assurance,Play,Yes,4.66667,5.0,95.54,No_nomination
109,3,London_Assurance,Play,Yes,4.66667,5.0,95.54,Losing_nomination
110,0,London_Assurance,Play,Yes,4.66667,5.0,95.54,Win
111,5,Marlene,Musical,No,1.66667,2.0,56.26,No_nomination
112,1,Marlene,Musical,No,1.66667,2.0,56.26,Losing_nomination
113,0,Marlene,Musical,No,1.66667,2.0,56.26,Win
114,6,More_to_Love,Play,No,1.33333,2.0,,No_nomination
115,0,More_to_Love,Play,No,1.33333,2.0,,Losing_nomination
116,0,More_to_Love,Play,No,1.33333,2.0,,Win
117,6,Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,No_nomination
118,0,Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,Losing_nomination
119,0,Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,Win
120,2,Not_About_Nightingales,Play,No,4.33333,4.0,81.77,No_nomination
121,4,Not_About_Nightingales,Play,No,4.33333,4.0,81.77,Losing_nomination
122,0,Not_About_Nightingales,Play,No,4.33333,4.0,81.77,Win
123,5,On_the_Town,Musical,Yes,1.66667,1.66667,77.31,No_nomination
124,1,On_the_Town,Musical,Yes,1.66667,1.66667,77.31,Losing_nomination
125,0,On_the_Town,Musical,Yes,1.66667,1.66667,77.31,Win
126,5,Once_Upon_a_Mattress,Musical,Yes,2.0,3.33333,91.71,No_nomination
127,1,Once_Upon_a_Mattress,Musical,Yes,2.0,3.33333,91.71,Losing_nomination
128,0,Once_Upon_a_Mattress,Musical,Yes,2.0,3.33333,91.71,Win
129,2,Parade,Musical,No,2.0,4.66667,62.87,No_nomination
130,4,Parade,Musical,No,2.0,4.66667,62.87,Losing_nomination
131,0,Parade,Musical,No,2.0,4.66667,62.87,Win
132,5,Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,No_nomination
133,1,Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,Losing_nomination
134,0,Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,Win
135,4,Play_On!,Musical,No,2.33333,2.66667,79.9,No_nomination
136,2,Play_On!,Musical,No,2.33333,2.66667,79.9,Losing_nomination
137,0,Play_On!,Musical,No,2.33333,2.66667,79.9,Win
138,5,Present_Laughter,Play,Yes,3.0,2.0,83.33,No_nomination
139,1,Present_Laughter,Play,Yes,3.0,2.0,83.33,Losing_nomination
140,0,Present_Laughter,Play,Yes,3.0,2.0,83.33,Win
141,6,Proposals,Play,No,2.0,3.0,56.94,No_nomination
142,0,Proposals,Play,No,2.0,3.0,56.94,Losing_nomination
143,0,Proposals,Play,No,2.0,3.0,56.94,Win
144,0,Ragtime,Musical,No,3.0,5.0,90.97,No_nomination
145,5,Ragtime,Musical,No,3.0,5.0,90.97,Losing_nomination
146,1,Ragtime,Musical,No,3.0,5.0,90.97,Win
147,5,Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,No_nomination
148,1,Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,Losing_nomination
149,0,Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,Win
150,6,Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,No_nomination
151,0,Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,Losing_nomination
152,0,Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,Win
153,6,Sex_and_Longing,Play,No,2.66667,1.0,87.56,No_nomination
154,0,Sex_and_Longing,Play,No,2.66667,1.0,87.56,Losing_nomination
155,0,Sex_and_Longing,Play,No,2.66667,1.0,87.56,Win
156,4,Side_Man,Play,No,4.66667,5.0,92.41,No_nomination
157,0,Side_Man,Play,No,4.66667,5.0,92.41,Losing_nomination
158,2,Side_Man,Play,No,4.66667,5.0,92.41,Win
159,4,Side_Show,Musical,No,4.33333,2.33333,61.93,No_nomination
160,2,Side_Show,Musical,No,4.33333,2.33333,61.93,Losing_nomination
161,0,Side_Show,Musical,No,4.33333,2.33333,61.93,Win
162,2,Skylight,Play,No,4.66667,4.66667,96.89,No_nomination
163,4,Skylight,Play,No,4.66667,4.66667,96.89,Losing_nomination
164,0,Skylight,Play,No,4.66667,4.66667,96.89,Win
165,3,Stanley,Play,No,3.66667,2.33333,96.65,No_nomination
166,3,Stanley,Play,No,3.66667,2.33333,96.65,Losing_nomination
167,0,Stanley,Play,No,3.66667,2.33333,96.65,Win
168,0,Steel_Pier,Musical,No,1.66667,2.0,82.31,No_nomination
169,6,Steel_Pier,Musical,No,1.66667,2.0,82.31,Losing_nomination
170,0,Steel_Pier,Musical,No,1.66667,2.0,82.31,Win
171,6,Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,No_nomination
172,0,Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,Losing_nomination
173,0,Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,Win
174,6,Summer_and_Smoke,Play,Yes,1.0,,96.69,No_nomination
175,0,Summer_and_Smoke,Play,Yes,1.0,,96.69,Losing_nomination
176,0,Summer_and_Smoke,Play,Yes,1.0,,96.69,Win
177,4,Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,No_nomination
178,1,Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,Losing_nomination
179,1,Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,Win
180,6,Taking_Sides,Play,No,2.0,4.0,80.88,No_nomination
181,0,Taking_Sides,Play,No,2.0,4.0,80.88,Losing_nomination
182,0,Taking_Sides,Play,No,2.0,4.0,80.88,Win
183,0,The_Beauty_Queen_of_Leenane,Play,No,5.0,5.0,87.23,No_nomination
184,2,The_Beauty_Queen_of_Leenane,Play,No,5.0,5.0,87.23,Losing_nomination
185,4,The_Beauty_Queen_of_Leenane,Play,No,5.0,5.0,87.23,Win
186,6,The_Blue_Room,Play,No,3.0,5.0,97.29,No_nomination
187,0,The_Blue_Room,Play,No,3.0,5.0,97.29,Losing_nomination
188,0,The_Blue_Room,Play,No,3.0,5.0,97.29,Win
189,6,The_Capeman,Musical,No,1.66667,2.33333,70.36,No_nomination
190,0,The_Capeman,Musical,No,1.66667,2.33333,70.36,Losing_nomination
191,0,The_Capeman,Musical,No,1.66667,2.33333,70.36,Win
192,2,The_Chairs,Play,Yes,5.0,4.66667,65.22,No_nomination
193,4,The_Chairs,Play,Yes,5.0,4.66667,65.22,Losing_nomination
194,0,The_Chairs,Play,Yes,5.0,4.66667,65.22,Win
195,6,The_Cherry_Orchard,Play,Yes,5.0,5.0,60.0,No_nomination
196,0,The_Cherry_Orchard,Play,Yes,5.0,5.0,60.0,Losing_nomination
197,0,The_Cherry_Orchard,Play,Yes,5.0,5.0,60.0,Win
198,5,The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,No_nomination
199,1,The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,Losing_nomination
200,0,The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,Win
201,6,The_Deep_Blue_Sea,Play,Yes,2.0,2.0,88.2,No_nomination
202,0,The_Deep_Blue_Sea,Play,Yes,2.0,2.0,88.2,Losing_nomination
203,0,The_Deep_Blue_Sea,Play,Yes,2.0,2.0,88.2,Win
204,4,The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,No_nomination
205,2,The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,Losing_nomination
206,0,The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,Win
207,6,The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1.0,1.66667,60.59,No_nomination
208,0,The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1.0,1.66667,60.59,Losing_nomination
209,0,The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1.0,1.66667,60.59,Win
210,3,The_Gin_Game,Play,Yes,4.66667,5.0,71.9,No_nomination
211,3,The_Gin_Game,Play,Yes,4.66667,5.0,71.9,Losing_nomination
212,0,The_Gin_Game,Play,Yes,4.66667,5.0,71.9,Win
213,6,The_Herbal_Bed,Play,No,2.0,1.66667,29.35,No_nomination
214,0,The_Herbal_Bed,Play,No,2.0,1.66667,29.35,Losing_nomination
215,0,The_Herbal_Bed,Play,No,2.0,1.66667,29.35,Win
216,3,The_Iceman_Cometh,Play,Yes,4.0,5.0,99.94,No_nomination
217,3,The_Iceman_Cometh,Play,Yes,4.0,5.0,99.94,Losing_nomination
218,0,The_Iceman_Cometh,Play,Yes,4.0,5.0,99.94,Win
219,6,The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,No_nomination
220,0,The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,Losing_nomination
221,0,The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,Win
222,2,The_Last_Night_of_Ballyhoo,Play,No,3.0,4.33333,81.39,No_nomination
223,3,The_Last_Night_of_Ballyhoo,Play,No,3.0,4.33333,81.39,Losing_nomination
224,1,The_Last_Night_of_Ballyhoo,Play,No,3.0,4.33333,81.39,Win
225,0,The_Life,Musical,No,2.33333,2.0,44.08,No_nomination
226,4,The_Life,Musical,No,2.33333,2.0,44.08,Losing_nomination
227,2,The_Life,Musical,No,2.33333,2.0,44.08,Win
228,5,The_Lion_in_Winter,Play,Yes,2.0,1.66667,92.21,No_nomination
229,1,The_Lion_in_Winter,Play,Yes,2.0,1.66667,92.21,Losing_nomination
230,0,The_Lion_in_Winter,Play,Yes,2.0,1.66667,92.21,Win
231,2,The_Lion_King,Musical,No,3.33333,5.0,96.63,No_nomination
232,2,The_Lion_King,Musical,No,3.33333,5.0,96.63,Losing_nomination
233,2,The_Lion_King,Musical,No,3.33333,5.0,96.63,Win
234,5,The_Little_Foxes,Play,Yes,1.66667,2.0,74.4,No_nomination
235,1,The_Little_Foxes,Play,Yes,1.66667,2.0,74.4,Losing_nomination
236,0,The_Little_Foxes,Play,Yes,1.66667,2.0,74.4,Win
237,2,The_Lonesome_West,Play,No,2.66667,5.0,42.33,No_nomination
238,4,The_Lonesome_West,Play,No,2.66667,5.0,42.33,Losing_nomination
239,0,The_Lonesome_West,Play,No,2.66667,5.0,42.33,Win
240,6,The_Old_Neighborhood,Play,No,5.0,3.0,83.91,No_nomination
241,0,The_Old_Neighborhood,Play,No,5.0,3.0,83.91,Losing_nomination
242,0,The_Old_Neighborhood,Play,No,5.0,3.0,83.91,Win
243,6,The_Rehearsal,Play,Yes,2.0,1.33333,73.85,No_nomination
244,0,The_Rehearsal,Play,Yes,2.0,1.33333,73.85,Losing_nomination
245,0,The_Rehearsal,Play,Yes,2.0,1.33333,73.85,Win
246,4,The_Scarlet_Pimpernel,Musical,No,2.0,2.66667,92.78,No_nomination
247,2,The_Scarlet_Pimpernel,Musical,No,2.0,2.66667,92.78,Losing_nomination
248,0,The_Scarlet_Pimpernel,Musical,No,2.0,2.66667,92.78,Win
249,5,The_Sound_of_Music,Musical,Yes,2.66667,2.0,87.43,No_nomination
250,1,The_Sound_of_Music,Musical,Yes,2.66667,2.0,87.43,Losing_nomination
251,0,The_Sound_of_Music,Musical,Yes,2.66667,2.0,87.43,Win
252,6,The_Sunshine_Boys,Play,Yes,4.33333,5.0,65.21,No_nomination
253,0,The_Sunshine_Boys,Play,Yes,4.33333,5.0,65.21,Losing_nomination
254,0,The_Sunshine_Boys,Play,Yes,4.33333,5.0,65.21,Win
255,6,The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,No_nomination
256,0,The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,Losing_nomination
257,0,The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,Win
258,6,The_Three_Sisters_(2),Play,Yes,3.0,1.66667,100.0,No_nomination
259,0,The_Three_Sisters_(2),Play,Yes,3.0,1.66667,100.0,Losing_nomination
260,0,The_Three_Sisters_(2),Play,Yes,3.0,1.66667,100.0,Win
261,6,The_Weir,Play,No,5.0,4.66667,91.91,No_nomination
262,0,The_Weir,Play,No,5.0,4.66667,91.91,Losing_nomination
263,0,The_Weir,Play,No,5.0,4.66667,91.91,Win
264,3,The_Young_Man_From_Atlanta,Play,No,3.33333,5.0,56.99,No_nomination
265,3,The_Young_Man_From_Atlanta,Play,No,3.33333,5.0,56.99,Losing_nomination
266,0,The_Young_Man_From_Atlanta,Play,No,3.33333,5.0,56.99,Win
267,5,Titanic,Musical,No,2.0,3.0,71.26,No_nomination
268,0,Titanic,Musical,No,2.0,3.0,71.26,Losing_nomination
269,1,Titanic,Musical,No,2.0,3.0,71.26,Win
270,5,Triumph_of_Love,Musical,No,2.0,4.33333,77.28,No_nomination
271,1,Triumph_of_Love,Musical,No,2.0,4.33333,77.28,Losing_nomination
272,0,Triumph_of_Love,Musical,No,2.0,4.33333,77.28,Win
273,5,Twelfth_Night,Play,Yes,3.0,5.0,97.47,No_nomination
274,1,Twelfth_Night,Play,Yes,3.0,5.0,97.47,Losing_nomination
275,0,Twelfth_Night,Play,Yes,3.0,5.0,97.47,Win
276,6,Wait_Until_Dark,Play,Yes,1.66667,1.0,92.44,No_nomination
277,0,Wait_Until_Dark,Play,Yes,1.66667,1.0,92.44,Losing_nomination
278,0,Wait_Until_Dark,Play,Yes,1.66667,1.0,92.44,Win
279,2,Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2.0,2.0,54.05,No_nomination
280,2,Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2.0,2.0,54.05,Losing_nomination
281,2,Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2.0,2.0,54.05,Win
282,3,1776,Musical,Yes,4.33333,5.0,99.15,No_nomination
283,3,1776,Musical,Yes,4.33333,5.0,99.15,Losing_nomination
284,0,1776,Musical,Yes,4.33333,5.0,99.15,Win
