,binaryClass_cat,a1_num,a2_num,a3_num,a4_num,a5_num,a6_num,a7_num,a8_num,a9_num,a10_num
36,P,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
37,N,-1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0
38,P,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0
39,P,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
40,N,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
41,P,1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0
42,N,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0
43,N,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0
44,P,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0
45,N,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0
46,P,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,1.0
47,N,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
48,N,-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0
49,P,1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0
50,N,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,1.0
51,N,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
52,N,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0
53,P,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0
54,P,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
55,P,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-1.0
56,N,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0
57,P,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
58,P,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0
59,P,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0
60,P,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0
61,N,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0
62,P,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0
63,N,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0
64,N,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0
65,N,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,-1.0
66,N,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
67,P,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0
68,P,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0
69,P,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
70,P,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0
71,N,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
72,P,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0
73,N,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0
74,N,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0
75,N,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0
76,N,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0
77,P,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0
78,N,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
79,N,1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0
80,P,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
81,N,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0
82,P,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0
83,N,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
84,P,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0
85,N,-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0
86,P,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0
87,N,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
88,N,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
89,N,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0
90,P,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0
91,N,-1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0
92,N,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0
93,P,1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0
94,P,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0
95,P,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0
96,P,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
97,P,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0
98,N,-1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
99,P,1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0
100,P,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
101,P,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
102,P,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0
103,N,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0
104,P,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0
105,N,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
106,P,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0
107,N,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0
108,N,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0
109,P,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0
110,P,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0
111,P,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0
112,P,1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0
113,N,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
114,N,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0
115,P,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0
116,P,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0
117,N,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0
118,N,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0
119,P,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,-1.0
120,P,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
121,P,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0
122,N,-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0
123,N,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
124,P,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0
125,P,1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0
126,N,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0
127,N,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0
128,P,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
129,P,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0
130,P,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0
131,N,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0
132,P,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
133,N,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
134,N,-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0
135,P,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0
136,N,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0
137,N,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0
138,P,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
139,P,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0
140,P,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0
141,P,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0
142,P,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0
143,P,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0
144,N,-1.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
145,N,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0
146,N,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0
147,N,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0
148,P,1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0
149,P,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0
150,P,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
151,P,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0
152,N,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
153,N,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0
154,N,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0
155,P,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0
156,P,1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0
157,P,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
158,N,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0
159,N,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0
160,N,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0
161,N,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0
162,N,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0
163,N,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-1.0
164,N,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.0
165,N,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0
166,N,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0
167,P,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0
168,N,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
169,N,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0
170,P,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
171,P,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0
172,P,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0
173,N,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0
174,N,-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
175,N,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0
176,P,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0
177,N,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0
178,P,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0
179,P,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0
180,P,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0
181,N,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
182,N,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
183,P,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0
184,P,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0
185,N,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
186,P,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,1.0
187,N,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0
188,P,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0
189,N,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0
190,P,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0
191,N,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
192,N,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
193,P,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0
194,P,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
195,N,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
196,P,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0
197,P,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
198,N,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0
199,N,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0
